년도,월,나이,거제시,일운면,동부면,남부면,거제면,둔덕면,사등면,사등면가조출장소,연초면,하청면,하청면칠천출장소,장목면,장목면외포출장소,장승포동,능포동,아주동,옥포1동,옥포2동,장평동,고현동,상문동,수양동
2020,2,80,"1,427",95,78,45,135,79,92,17,98,76,31,99,34,42,67,43,27,90,34,111,69,65
2020,2,90,125,8,4,4,13,6,11,3,11,5,4,6,3,4,6,3,1,4,5,14,5,5
2020,2,100,5,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,3,총,"129,979","3,893","1,645",794,"3,618","1,559","6,400",580,"4,641","1,928",562,"1,643",704,"3,644","5,284","14,874","3,930","13,911","11,882","18,765","17,612","12,110"
2020,3,0,"14,594",263,49,15,229,35,791,22,292,116,17,46,30,249,323,"2,489",328,"1,414",856,"2,003","3,097","1,930"
2020,3,10,"14,795",328,76,34,307,93,556,31,374,153,17,80,40,372,569,"1,702",357,"1,674","1,233","2,315","2,510","1,974"
2020,3,20,"13,895",397,152,51,320,154,544,46,487,167,34,133,44,415,591,"1,410",512,"1,629","1,717","2,280","1,594","1,218"
2020,3,30,"20,883",411,133,49,358,103,"1,023",49,580,196,42,109,58,481,577,"3,442",637,"2,102","2,279","2,923","3,522","1,809"
2020,3,40,"25,939",654,229,97,541,188,"1,243",66,852,307,71,267,112,767,991,"3,294",744,"2,611","2,677","3,713","3,824","2,691"
2020,3,50,"20,459",826,355,193,670,323,"1,032",129,985,367,120,348,133,720,"1,075","1,596",677,"2,365","2,041","3,023","1,948","1,533"
2020,3,60,"12,941",629,336,202,671,367,722,156,661,340,139,324,156,442,808,721,506,"1,628",820,"1,833",802,678
2020,3,70,"4,896",279,233,104,373,211,383,62,297,197,88,230,95,150,276,173,141,395,219,547,239,204
2020,3,80,"1,449",97,78,45,135,79,95,16,102,79,30,100,33,44,67,44,27,89,35,114,71,69
2020,3,90,123,8,3,4,12,6,11,3,11,6,4,6,3,4,6,3,1,4,5,14,5,4
2020,3,100,5,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,4,총,"129,950","3,916","1,643",807,"3,614","1,559","6,375",583,"4,643","1,924",560,"1,629",707,"3,622","5,275","14,879","3,937","13,924","11,897","18,681","17,641","12,134"
2020,4,0,"14,506",264,50,16,224,36,789,23,292,113,17,44,29,249,312,"2,465",330,"1,403",857,"1,980","3,088","1,925"
2020,4,10,"14,785",332,74,35,305,92,554,32,375,153,16,80,40,360,564,"1,710",351,"1,679","1,223","2,298","2,533","1,979"
2020,4,20,"13,871",393,151,54,318,154,543,46,491,164,35,127,42,415,591,"1,408",514,"1,614","1,720","2,278","1,586","1,227"
2020,4,30,"20,775",415,132,49,356,98,"1,007",50,567,201,39,109,59,481,576,"3,441",640,"2,088","2,273","2,901","3,503","1,790"
2020,4,40,"25,951",659,229,100,550,195,"1,238",67,854,309,71,266,115,763,985,"3,305",750,"2,618","2,671","3,668","3,835","2,703"
2020,4,50,"20,529",827,349,194,664,321,"1,033",126,984,359,120,342,130,710,"1,072","1,600",678,"2,387","2,067","3,038","1,974","1,554"
2020,4,60,"13,008",641,343,206,675,369,713,158,662,341,140,326,160,443,821,726,502,"1,640",829,"1,837",800,676
2020,4,70,"4,932",277,230,104,373,209,387,61,302,200,88,229,95,153,278,178,144,402,216,551,247,208
2020,4,80,"1,465",99,81,45,135,79,100,17,105,78,30,100,34,44,69,42,27,90,36,117,70,67
2020,4,90,123,8,3,4,12,6,11,3,11,6,4,6,3,4,6,4,1,3,5,13,5,5
2020,4,100,5,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,5,총,"129,761","3,934","1,631",808,"3,611","1,549","6,380",577,"4,607","1,918",557,"1,623",703,"3,584","5,265","14,831","3,933","13,904","11,916","18,671","17,605","12,154"
2020,5,0,"14,434",269,47,14,228,34,792,21,290,113,16,44,28,242,312,"2,452",328,"1,395",859,"1,967","3,055","1,928"
2020,5,10,"14,713",332,73,35,304,94,552,32,373,151,17,78,40,354,561,"1,707",348,"1,678","1,215","2,283","2,518","1,968"
2020,5,20,"13,882",394,148,52,316,152,546,45,485,167,33,125,43,400,589,"1,403",524,"1,603","1,737","2,286","1,595","1,239"
2020,5,30,"20,614",419,129,54,352,92,995,48,555,198,39,110,55,477,577,"3,402",618,"2,077","2,260","2,896","3,480","1,781"
2020,5,40,"25,933",660,223,99,549,193,"1,235",67,844,303,71,261,114,757,977,"3,321",754,"2,628","2,674","3,657","3,833","2,713"
2020,5,50,"20,572",831,349,193,663,319,"1,044",125,973,359,118,338,128,713,"1,070","1,593",683,"2,382","2,069","3,053","1,998","1,571"
2020,5,60,"13,053",646,345,209,678,367,714,155,670,342,140,330,162,440,824,726,502,"1,642",841,"1,840",805,675
2020,5,70,"4,967",276,228,104,370,213,387,64,303,200,89,231,95,153,280,181,148,407,223,556,250,209
2020,5,80,"1,466",99,85,44,137,79,104,17,103,79,30,100,35,44,68,42,27,89,33,120,66,65
2020,5,90,122,7,3,4,12,6,11,3,11,6,4,6,3,4,6,4,1,3,5,13,5,5
2020,5,100,5,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,6,총,"129,682","3,955","1,631",813,"3,599","1,541","6,379",574,"4,600","1,906",553,"1,622",701,"3,566","5,234","14,828","3,943","13,892","11,879","18,668","17,637","12,161"
2020,6,0,"14,349",269,47,14,227,33,785,22,290,110,16,43,29,239,306,"2,437",325,"1,384",858,"1,959","3,048","1,908"
2020,6,10,"14,716",333,70,35,303,94,556,31,367,151,16,77,39,350,558,"1,720",349,"1,670","1,204","2,280","2,538","1,975"
2020,6,20,"13,854",393,142,52,314,151,532,42,476,162,33,127,42,401,588,"1,398",528,"1,605","1,736","2,297","1,590","1,245"
2020,6,30,"20,467",424,132,55,346,94,989,50,558,196,39,109,52,460,565,"3,382",617,"2,062","2,223","2,882","3,449","1,783"
2020,6,40,"25,954",666,224,99,543,189,"1,236",67,846,301,72,258,114,755,967,"3,326",764,"2,642","2,672","3,651","3,857","2,705"
2020,6,50,"20,612",831,348,195,661,311,"1,049",123,972,358,118,340,129,715,"1,060","1,602",682,"2,378","2,073","3,061","2,021","1,585"
2020,6,60,"13,145",656,346,208,683,372,724,155,673,344,136,332,163,443,834,736,501,"1,656",848,"1,845",811,679
2020,6,70,"4,994",278,232,108,372,212,392,64,301,199,90,231,95,157,280,181,150,404,226,560,251,211
2020,6,80,"1,462",97,86,43,137,79,105,17,106,79,30,99,35,42,68,41,26,88,34,120,66,64
2020,6,90,123,7,3,4,11,6,11,3,11,6,3,6,3,4,6,5,1,3,5,13,6,6
2020,6,100,6,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020,7,총,"129,586","3,981","1,629",813,"3,608","1,542","6,388",574,"4,593","1,910",554,"1,618",700,"3,557","5,211","14,806","3,935","13,882","11,854","18,633","17,669","12,129"
2020,7,0,"14,293",272,47,16,229,34,789,22,288,110,16,46,29,235,304,"2,432",322,"1,362",848,"1,946","3,059","1,887"
2020,7,10,"14,712",335,70,35,300,94,555,29,366,151,16,75,38,349,554,"1,720",346,"1,683","1,205","2,288","2,533","1,970"
2020,7,20,"13,802",393,140,51,315,148,531,43,470,161,31,129,43,405,583,"1,397",526,"1,594","1,723","2,285","1,583","1,251"
2020,7,30,"20,336",427,131,55,352,95,978,52,557,194,40,105,53,453,555,"3,350",621,"2,045","2,207","2,851","3,443","1,772"
2020,7,40,"25,946",666,225,98,539,186,"1,241",64,847,302,70,254,112,753,957,"3,343",753,"2,644","2,686","3,645","3,866","2,695"
2020,7,50,"20,636",842,351,195,662,310,"1,056",126,968,356,119,335,130,715,"1,064","1,599",679,"2,390","2,057","3,058","2,036","1,588"
2020,7,60,"13,246",660,341,208,685,375,727,155,680,347,138,338,162,442,834,742,511,"1,666",860,"1,865",825,685
2020,7,70,"5,017",281,232,107,371,214,395,63,299,205,91,231,94,158,284,178,150,406,231,565,253,209
2020,7,80,"1,468",97,88,44,142,80,105,17,108,78,30,99,36,42,68,40,26,89,32,116,65,66
2020,7,90,123,7,3,4,11,6,11,3,10,6,3,6,3,5,6,5,1,3,5,13,6,6
2020,7,100,7,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
2020,8,총,"129,473","3,990","1,629",812,"3,610","1,535","6,382",572,"4,591","1,903",554,"1,620",704,"3,540","5,198","14,776","3,937","13,871","11,817","18,606","17,669","12,157"
2020,8,0,"14,194",274,48,14,230,34,783,22,286,102,15,47,31,229,301,"2,408",323,"1,347",840,"1,936","3,040","1,884"
2020,8,10,"14,731",338,67,34,302,93,560,29,366,155,17,73,40,347,552,"1,729",345,"1,686","1,203","2,282","2,534","1,979"
2020,8,20,"13,784",393,139,50,313,148,536,42,466,158,29,127,43,402,582,"1,396",525,"1,576","1,722","2,289","1,593","1,255"
2020,8,30,"20,147",425,134,56,346,89,964,52,547,190,41,107,53,447,558,"3,322",609,"2,040","2,177","2,820","3,400","1,770"
2020,8,40,"25,985",669,224,96,542,185,"1,241",63,854,298,70,257,111,751,947,"3,356",767,"2,644","2,682","3,647","3,883","2,698"
2020,8,50,"20,633",831,346,199,663,306,"1,048",124,964,361,118,333,131,714,"1,056","1,593",676,"2,389","2,061","3,057","2,056","1,607"
2020,8,60,"13,366",674,346,206,689,377,739,158,690,350,140,341,163,446,842,747,511,"1,688",866,"1,875",833,685
2020,8,70,"5,018",280,230,108,368,218,393,63,298,203,91,231,92,158,285,179,153,408,227,566,258,209
2020,8,80,"1,483",98,91,45,144,79,106,16,110,80,30,98,37,41,68,41,27,89,34,119,66,64
2020,8,90,124,6,3,4,11,6,12,3,10,6,3,6,3,5,5,5,1,4,5,14,6,6
2020,8,100,8,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
2020,9,총,"129,325","4,000","1,620",809,"3,603","1,546","6,365",575,"4,575","1,892",554,"1,611",702,"3,527","5,194","14,766","3,949","13,870","11,788","18,550","17,677","12,152"
2020,9,0,"14,119",276,49,13,228,38,771,24,288,98,15,48,32,228,301,"2,395",323,"1,336",840,"1,906","3,029","1,881"
2020,9,10,"14,729",335,69,35,298,93,566,32,367,152,14,73,36,346,544,"1,744",351,"1,683","1,199","2,285","2,538","1,969"
2020,9,20,"13,738",384,136,50,314,150,539,40,462,160,29,124,42,396,578,"1,394",520,"1,590","1,710","2,278","1,595","1,247"
2020,9,30,"19,932",429,134,55,339,89,952,52,531,187,39,108,55,436,556,"3,291",612,"1,999","2,158","2,775","3,364","1,771"
2020,9,40,"25,961",664,217,95,542,189,"1,241",64,847,294,74,249,106,746,943,"3,363",771,"2,651","2,669","3,646","3,899","2,691"
2020,9,50,"20,713",842,343,198,665,307,"1,044",124,969,355,119,333,134,715,"1,062","1,600",675,"2,398","2,060","3,074","2,076","1,620"
2020,9,60,"13,482",683,348,205,689,375,741,158,694,357,140,345,166,455,847,753,514,"1,704",885,"1,887",846,690
2020,9,70,"5,040",283,231,108,370,220,395,63,297,204,91,229,91,158,288,182,155,414,227,562,259,213
2020,9,80,"1,481",96,89,47,144,78,104,15,110,81,31,97,37,42,68,39,27,91,35,121,65,64
2020,9,90,122,6,3,3,12,7,12,3,10,4,2,5,3,5,5,5,1,4,5,15,6,6
2020,9,100,8,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
2020,10,총,"129,230","4,015","1,616",813,"3,612","1,543","6,356",571,"4,561","1,896",554,"1,612",704,"3,500","5,167","14,768","3,958","13,849","11,778","18,516","17,688","12,153"
2020,10,0,"14,023",275,49,13,223,37,757,23,285,98,15,48,30,231,297,"2,385",324,"1,329",837,"1,893","3,005","1,869"
2020,10,10,"14,683",337,67,34,299,91,576,32,361,151,13,71,37,343,545,"1,744",343,"1,664","1,198","2,265","2,548","1,964"
2020,10,20,"13,784",386,135,52,316,148,536,39,471,157,29,124,42,395,575,"1,411",529,"1,578","1,714","2,291","1,606","1,250"
2020,10,30,"19,714",423,134,55,340,88,941,52,521,185,39,106,55,420,544,"3,259",611,"1,995","2,128","2,733","3,335","1,750"
2020,10,40,"25,940",665,211,93,544,188,"1,245",62,836,292,73,251,105,740,931,"3,371",772,"2,646","2,674","3,649","3,904","2,688"
2020,10,50,"20,829",847,346,201,662,305,"1,046",124,975,360,120,332,137,712,"1,069","1,619",685,"2,412","2,066","3,073","2,094","1,644"
2020,10,60,"13,570",695,348,204,697,379,746,156,693,360,142,349,166,453,842,754,513,"1,711",893,"1,905",862,702
2020,10,70,"5,067",282,230,111,372,222,394,65,296,207,90,230,92,160,288,183,153,417,229,566,264,216
2020,10,80,"1,487",96,92,47,146,78,103,14,112,82,31,96,37,41,69,38,27,93,34,123,64,64
2020,10,90,125,7,3,3,11,7,12,4,11,4,2,5,3,5,5,4,1,4,5,17,6,6
2020,10,100,8,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
2020,11,총,"129,085","4,026","1,621",807,"3,601","1,541","6,325",571,"4,551","1,890",550,"1,608",700,"3,496","5,155","14,724","3,965","13,858","11,772","18,478","17,693","12,153"
2020,11,0,"13,925",279,51,12,221,37,750,23,280,98,15,47,33,225,293,"2,367",322,"1,323",835,"1,888","2,980","1,846"
2020,11,10,"14,676",331,66,34,297,91,573,33,359,149,14,69,32,341,544,"1,760",346,"1,671","1,192","2,251","2,562","1,961"
2020,11,20,"13,776",384,134,52,311,146,534,38,473,154,27,123,43,401,573,"1,383",530,"1,582","1,704","2,303","1,619","1,262"
2020,11,30,"19,492",426,138,54,333,88,925,50,513,181,38,104,53,410,536,"3,213",612,"1,979","2,122","2,694","3,292","1,731"
2020,11,40,"25,968",664,210,92,549,189,"1,242",63,829,285,69,248,107,741,932,"3,397",759,"2,650","2,680","3,640","3,929","2,693"
2020,11,50,"20,880",842,345,200,660,304,"1,042",123,975,367,121,327,139,717,"1,067","1,615",699,"2,411","2,079","3,079","2,105","1,663"
2020,11,60,"13,652",709,347,205,702,379,749,158,699,362,143,355,165,454,845,760,515,"1,718",896,"1,913",867,711
2020,11,70,"5,097",287,235,109,368,222,395,65,301,209,90,233,91,159,288,187,155,424,225,569,270,215
2020,11,80,"1,485",95,91,46,147,77,103,14,111,81,31,97,35,43,70,38,26,96,34,122,63,65
2020,11,90,125,7,3,3,11,8,12,4,11,4,2,5,2,5,5,4,1,4,5,18,5,6
2020,11,100,9,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
2020,12,총,"128,978","4,040","1,619",806,"3,594","1,537","6,334",574,"4,565","1,882",548,"1,608",700,"3,473","5,133","14,700","3,999","13,828","11,751","18,433","17,683","12,171"
2020,12,0,"13,823",279,48,12,216,37,749,23,280,99,15,45,32,222,287,"2,357",322,"1,313",827,"1,877","2,948","1,835"
2020,12,10,"14,651",331,67,33,294,88,577,32,357,149,14,66,32,337,538,"1,765",357,"1,662","1,182","2,242","2,564","1,964"
2020,12,20,"13,758",385,134,53,309,146,534,38,477,154,26,126,42,404,582,"1,361",530,"1,572","1,694","2,312","1,602","1,277"
2020,12,30,"19,352",430,138,50,332,89,920,51,520,181,37,106,54,399,519,"3,182",615,"1,966","2,107","2,658","3,276","1,722"
2020,12,40,"25,962",663,209,92,546,186,"1,248",66,827,281,69,246,103,737,916,"3,412",771,"2,640","2,680","3,634","3,940","2,696"
2020,12,50,"20,931",838,343,201,657,305,"1,043",121,979,359,118,325,143,712,"1,062","1,626",705,"2,425","2,093","3,071","2,131","1,674"
2020,12,60,"13,742",718,350,206,714,380,749,161,700,362,146,357,167,454,857,762,519,"1,716",903,"1,926",877,718
2020,12,70,"5,126",289,236,110,369,221,399,64,302,210,91,234,90,160,294,191,153,434,223,567,273,216
2020,12,80,"1,494",98,89,46,144,76,102,14,112,83,30,97,35,43,71,40,25,95,37,127,66,64
2020,12,90,130,7,4,3,11,9,13,4,11,4,2,6,2,5,5,4,2,5,5,18,5,5
2020,12,100,9,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
2021,1,총,"128,819","4,060","1,625",808,"3,593","1,538","6,309",579,"4,552","1,885",550,"1,603",707,"3,460","5,106","14,678","3,996","13,819","11,737","18,404","17,642","12,168"
2021,1,0,"13,701",282,47,14,218,38,736,23,278,98,19,44,31,224,283,"2,335",317,"1,294",824,"1,842","2,919","1,835"
2021,1,10,"14,645",336,69,34,293,86,580,34,351,148,14,64,31,328,535,"1,773",351,"1,657","1,172","2,252","2,585","1,952"
2021,1,20,"13,708",379,129,52,310,144,536,38,472,154,24,123,46,399,573,"1,349",537,"1,579","1,695","2,304","1,592","1,273"
2021,1,30,"19,173",433,139,49,331,91,909,52,515,180,35,106,53,397,508,"3,146",613,"1,946","2,088","2,647","3,221","1,714"
2021,1,40,"25,944",662,214,92,546,187,"1,243",65,819,283,70,247,107,736,915,"3,425",766,"2,654","2,662","3,618","3,938","2,695"
2021,1,50,"20,978",840,344,198,656,303,"1,041",121,973,358,120,319,144,710,"1,052","1,641",706,"2,434","2,106","3,079","2,149","1,684"
2021,1,60,"13,869",728,349,208,715,386,749,163,717,362,145,362,167,456,869,771,524,"1,724",920,"1,937",894,723
2021,1,70,"5,144",289,240,112,362,215,399,65,302,212,90,234,90,162,294,194,152,435,227,577,273,220
2021,1,80,"1,515",102,88,46,150,79,103,14,114,85,31,97,36,43,69,39,28,91,38,131,65,66
2021,1,90,133,7,5,3,10,9,13,4,11,5,2,7,2,5,6,5,2,5,5,16,5,6
2021,1,100,9,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
2021,2,총,"128,574","4,083","1,630",813,"3,602","1,545","6,292",577,"4,569","1,874",551,"1,609",711,"3,456","5,082","14,645","3,993","13,745","11,712","18,363","17,568","12,154"
2021,2,0,"13,564",289,46,13,211,39,725,22,279,95,19,43,29,223,283,"2,324",309,"1,272",809,"1,825","2,886","1,823"
2021,2,10,"14,602",336,68,33,297,86,584,34,366,147,14,64,31,327,528,"1,778",351,"1,642","1,169","2,227","2,567","1,953"
2021,2,20,"13,623",381,130,53,311,145,542,37,469,148,24,121,45,399,565,"1,328",537,"1,569","1,673","2,311","1,590","1,245"
2021,2,30,"18,925",439,139,50,328,95,892,52,506,173,34,105,54,391,500,"3,105",604,"1,902","2,090","2,610","3,169","1,687"
2021,2,40,"25,943",661,214,91,547,184,"1,239",66,817,280,69,247,107,742,910,"3,443",763,"2,642","2,639","3,610","3,938","2,734"
2021,2,50,"21,075",843,341,201,655,303,"1,038",119,977,365,121,326,148,703,"1,053","1,645",723,"2,441","2,117","3,090","2,176","1,690"
2021,2,60,"13,979",729,353,209,728,388,755,164,728,364,147,363,167,461,871,779,526,"1,739",936,"1,957",894,721
2021,2,70,"5,177",290,244,114,357,215,400,64,302,213,89,232,91,162,294,200,150,439,234,580,277,230
2021,2,80,"1,546",106,88,46,156,81,104,15,115,85,32,101,37,43,70,38,28,94,40,137,65,65
2021,2,90,130,7,6,3,10,9,13,4,10,4,2,7,2,5,6,5,2,5,5,15,5,5
2021,2,100,10,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1
2021,3,총,"128,130","4,094","1,623",809,"3,574","1,538","6,259",570,"4,533","1,864",547,"1,607",704,"3,440","5,041","14,576","3,977","13,706","11,751","18,259","17,520","12,138"
2021,3,0,"13,430",285,48,13,208,42,707,19,274,96,18,44,27,219,278,"2,284",308,"1,261",812,"1,803","2,863","1,821"
2021,3,10,"14,614",339,68,33,285,84,586,34,364,147,15,62,32,348,523,"1,794",347,"1,632","1,181","2,211","2,576","1,953"
2021,3,20,"13,507",381,129,50,310,141,538,36,468,143,26,119,44,394,560,"1,321",531,"1,568","1,647","2,296","1,568","1,237"
2021,3,30,"18,728",439,138,50,318,90,878,51,495,171,34,106,52,381,494,"3,055",596,"1,878","2,107","2,581","3,150","1,664"
2021,3,40,"25,824",657,210,90,545,181,"1,233",64,807,278,68,245,108,728,903,"3,449",758,"2,640","2,614","3,582","3,925","2,739"
2021,3,50,"21,097",845,339,203,654,303,"1,031",119,979,358,120,319,150,703,"1,046","1,656",722,"2,436","2,158","3,079","2,179","1,698"
2021,3,60,"14,052",740,352,209,728,390,769,161,725,365,140,369,166,461,865,772,534,"1,750",955,"1,969",903,729
2021,3,70,"5,204",296,244,112,361,216,402,67,299,217,91,236,83,162,298,203,153,441,229,585,285,224
2021,3,80,"1,543",104,88,46,155,82,103,15,113,85,33,100,40,41,68,37,26,95,43,137,65,67
2021,3,90,122,7,6,3,9,9,12,4,9,4,2,6,2,3,5,5,2,5,4,15,5,5
2021,3,100,9,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
2021,4,총,"127,950","4,102","1,619",807,"3,559","1,525","6,252",563,"4,509","1,863",543,"1,613",700,"3,426","5,036","14,535","3,991","13,685","11,801","18,159","17,493","12,169"
2021,4,0,"13,318",283,48,13,207,39,698,17,273,95,19,42,27,215,276,"2,270",305,"1,241",816,"1,791","2,834","1,809"
2021,4,10,"14,592",339,66,33,284,83,595,31,359,148,15,67,34,348,523,"1,801",347,"1,618","1,172","2,185","2,581","1,963"
2021,4,20,"13,488",388,128,49,302,138,530,38,458,142,23,116,45,388,553,"1,315",535,"1,566","1,677","2,285","1,565","1,247"
2021,4,30,"18,541",431,139,50,311,89,866,49,488,172,34,106,50,375,491,"3,023",598,"1,860","2,085","2,549","3,116","1,659"
2021,4,40,"25,788",655,207,91,536,181,"1,239",62,799,275,68,246,108,722,905,"3,441",752,"2,657","2,619","3,555","3,923","2,747"
2021,4,50,"21,152",846,339,199,654,299,"1,035",119,978,359,119,320,150,702,"1,046","1,665",733,"2,431","2,182","3,073","2,196","1,707"
2021,4,60,"14,132",751,353,212,733,386,773,159,733,362,138,370,163,469,863,776,537,"1,763",961,"1,980",913,737
2021,4,70,"5,244",296,244,110,367,219,397,70,297,218,91,238,82,162,303,202,156,446,241,589,290,226
2021,4,80,"1,559",105,88,47,155,82,107,14,115,88,34,100,39,42,70,37,26,97,43,135,68,67
2021,4,90,127,7,6,3,9,9,12,4,9,4,2,7,2,3,5,5,2,6,4,16,6,6
2021,4,100,9,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
2021,5,총,"127,683","4,098","1,619",809,"3,546","1,518","6,240",565,"4,515","1,855",544,"1,605",696,"3,413","5,027","14,518","3,978","13,656","11,790","18,070","17,498","12,123"
2021,5,0,"13,213",281,49,14,205,37,690,17,265,95,19,41,27,211,278,"2,248",304,"1,232",817,"1,763","2,820","1,800"
2021,5,10,"14,551",336,65,33,283,84,596,31,355,148,15,66,31,344,519,"1,804",348,"1,612","1,169","2,176","2,593","1,943"
2021,5,20,"13,404",389,121,49,298,135,534,38,458,137,23,114,44,385,548,"1,316",523,"1,550","1,676","2,266","1,558","1,242"
2021,5,30,"18,367",428,139,52,307,89,859,48,488,169,34,105,51,377,483,"2,998",595,"1,845","2,060","2,516","3,100","1,624"
2021,5,40,"25,719",654,208,91,532,183,"1,230",61,801,271,68,237,106,709,903,"3,449",757,"2,653","2,608","3,531","3,921","2,746"
2021,5,50,"21,212",838,340,199,651,290,"1,036",121,977,360,120,322,151,703,"1,043","1,674",732,"2,444","2,199","3,076","2,214","1,722"
2021,5,60,"14,226",762,356,211,732,391,783,158,746,359,138,372,163,476,870,784,535,"1,762",970,"1,997",916,745
2021,5,70,"5,284",295,243,109,371,218,396,71,304,224,90,239,81,162,305,203,157,453,244,593,298,228
2021,5,80,"1,565",107,91,48,156,80,103,16,111,88,35,101,40,43,72,37,25,99,42,134,71,66
2021,5,90,133,7,6,3,10,11,13,4,10,4,2,7,2,3,5,5,2,6,4,17,6,6
2021,5,100,9,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
2021,6,총,"127,510","4,097","1,618",805,"3,547","1,506","6,237",564,"4,502","1,850",544,"1,600",695,"3,392","5,002","14,486","3,981","13,654","11,784","18,018","17,490","12,138"
2021,6,0,"13,130",279,50,13,202,37,683,17,261,94,19,40,26,209,277,"2,236",310,"1,211",825,"1,745","2,795","1,801"
2021,6,10,"14,554",331,64,33,279,84,598,31,353,147,15,66,31,343,508,"1,815",346,"1,617","1,155","2,177","2,609","1,952"
2021,6,20,"13,355",382,122,50,306,132,530,36,447,138,25,116,44,380,544,"1,298",519,"1,553","1,676","2,254","1,562","1,241"
2021,6,30,"18,189",424,137,50,303,89,852,53,488,168,34,102,51,371,480,"2,970",594,"1,835","2,034","2,486","3,054","1,614"
