년도,월,나이,양양군,양양읍,서면,손양면,현북면,현남면,강현면
2020,5,20,"1,416",696,134,116,99,103,268
2020,5,30,"1,286",634,115,79,110,139,209
2020,5,40,"1,948",966,181,154,147,205,295
2020,5,50,"2,744","1,117",307,266,248,303,503
2020,5,60,"2,636",924,307,245,322,353,485
2020,5,70,"1,683",550,214,168,202,250,299
2020,5,80,648,211,91,83,81,99,83
2020,5,90,66,27,5,7,8,6,13
2020,5,100,1,1,0,0,0,0,0
2020,6,총,"14,136","6,200","1,484","1,196","1,315","1,584","2,357"
2020,6,0,713,454,38,36,39,50,96
2020,6,10,994,604,100,45,54,69,122
2020,6,20,"1,403",696,134,111,102,101,259
2020,6,30,"1,286",628,109,79,112,144,214
2020,6,40,"1,942",966,179,153,144,207,293
2020,6,50,"2,739","1,128",307,262,245,302,495
2020,6,60,"2,658",930,310,250,327,356,485
2020,6,70,"1,689",556,210,170,202,252,299
2020,6,80,648,210,92,83,82,99,82
2020,6,90,63,27,5,7,8,4,12
2020,6,100,1,1,0,0,0,0,0
2020,7,총,"14,159","6,217","1,486","1,194","1,316","1,584","2,362"
2020,7,0,704,451,37,35,38,47,96
2020,7,10,995,605,100,44,52,71,123
2020,7,20,"1,401",701,136,113,98,98,255
2020,7,30,"1,285",627,107,80,118,139,214
2020,7,40,"1,942",971,177,149,143,210,292
2020,7,50,"2,756","1,131",309,265,245,309,497
2020,7,60,"2,680",933,313,251,328,360,495
2020,7,70,"1,688",562,209,166,203,251,297
2020,7,80,645,208,93,85,83,95,81
2020,7,90,62,27,5,6,8,4,12
2020,7,100,1,1,0,0,0,0,0
2020,8,총,"14,160","6,242","1,483","1,187","1,316","1,573","2,359"
2020,8,0,703,450,36,34,38,48,97
2020,8,10,982,604,97,42,53,68,118
2020,8,20,"1,397",705,136,115,98,92,251
2020,8,30,"1,283",632,107,77,119,137,211
2020,8,40,"1,937",972,175,146,140,209,295
2020,8,50,"2,758","1,135",309,265,244,308,497
2020,8,60,"2,692",936,313,252,329,365,497
2020,8,70,"1,692",571,210,166,198,247,300
2020,8,80,652,209,94,84,89,95,81
2020,8,90,63,27,6,6,8,4,12
2020,8,100,1,1,0,0,0,0,0
2020,9,총,"14,200","6,269","1,486","1,186","1,327","1,577","2,355"
2020,9,0,698,441,39,34,38,48,98
2020,9,10,983,609,93,43,53,66,119
2020,9,20,"1,401",709,139,113,101,93,246
2020,9,30,"1,286",634,104,79,117,138,214
2020,9,40,"1,946",980,171,147,143,212,293
2020,9,50,"2,755","1,138",314,263,245,308,487
2020,9,60,"2,712",942,314,250,335,366,505
2020,9,70,"1,695",575,210,168,198,245,299
2020,9,80,662,215,96,83,89,97,82
2020,9,90,61,25,6,6,8,4,12
2020,9,100,1,1,0,0,0,0,0
2020,10,총,"14,215","6,282","1,485","1,191","1,327","1,577","2,353"
2020,10,0,697,433,40,36,39,49,100
2020,10,10,979,609,93,44,53,64,116
2020,10,20,"1,403",714,137,114,100,96,242
2020,10,30,"1,277",628,103,79,115,135,217
2020,10,40,"1,940",990,168,145,141,208,288
2020,10,50,"2,754","1,140",313,261,244,308,488
2020,10,60,"2,739",952,316,257,336,370,508
2020,10,70,"1,695",575,213,163,200,244,300
2020,10,80,667,214,96,86,90,99,82
2020,10,90,63,26,6,6,9,4,12
2020,10,100,1,1,0,0,0,0,0
2020,11,총,"14,194","6,304","1,482","1,183","1,324","1,575","2,326"
2020,11,0,692,438,39,35,38,48,94
2020,11,10,978,613,92,42,52,65,114
2020,11,20,"1,412",717,136,116,107,96,240
2020,11,30,"1,269",632,100,78,114,135,210
2020,11,40,"1,927",983,168,143,144,204,285
2020,11,50,"2,738","1,143",309,260,238,304,484
2020,11,60,"2,748",964,323,253,330,373,505
2020,11,70,"1,695",570,213,164,202,247,299
2020,11,80,671,217,97,86,89,99,83
2020,11,90,63,26,5,6,10,4,12
2020,11,100,1,1,0,0,0,0,0
2020,12,총,"14,220","6,333","1,481","1,184","1,320","1,583","2,319"
2020,12,0,692,433,40,36,38,52,93
2020,12,10,977,616,95,42,51,62,111
2020,12,20,"1,417",722,132,116,104,101,242
2020,12,30,"1,265",640,98,78,115,133,201
2020,12,40,"1,934",980,172,147,143,206,286
2020,12,50,"2,725","1,144",310,254,233,305,479
2020,12,60,"2,775",977,320,256,336,373,513
2020,12,70,"1,693",573,213,164,203,244,296
2020,12,80,677,220,96,85,88,102,86
2020,12,90,64,27,5,6,9,5,12
2020,12,100,1,1,0,0,0,0,0
2021,1,총,"14,210","6,349","1,477","1,179","1,323","1,557","2,325"
2021,1,0,689,427,42,38,40,50,92
2021,1,10,971,615,93,37,52,61,113
2021,1,20,"1,423",736,130,114,100,99,244
2021,1,30,"1,256",643,97,77,117,122,200
2021,1,40,"1,926",979,172,147,144,202,282
2021,1,50,"2,707","1,138",307,254,230,296,482
2021,1,60,"2,803",992,321,255,340,375,520
2021,1,70,"1,684",572,208,165,203,243,293
2021,1,80,686,220,101,86,88,104,87
2021,1,90,64,26,6,6,9,5,12
2021,1,100,1,1,0,0,0,0,0
2021,2,총,"14,244","6,359","1,482","1,176","1,328","1,560","2,339"
2021,2,0,689,421,43,38,41,51,95
2021,2,10,971,615,94,38,53,59,112
2021,2,20,"1,416",730,129,114,102,99,242
2021,2,30,"1,257",646,95,74,118,124,200
2021,2,40,"1,931",974,173,150,145,203,286
2021,2,50,"2,703","1,148",305,252,229,289,480
2021,2,60,"2,829","1,000",325,252,343,382,527
2021,2,70,"1,681",572,211,165,200,239,294
2021,2,80,701,226,101,87,88,109,90
2021,2,90,65,26,6,6,9,5,13
2021,2,100,1,1,0,0,0,0,0
2021,3,총,"14,233","6,393","1,474","1,171","1,321","1,558","2,316"
2021,3,0,676,424,36,35,38,51,92
2021,3,10,974,621,91,37,53,59,113
2021,3,20,"1,414",737,129,117,97,98,236
2021,3,30,"1,254",650,95,74,118,123,194
2021,3,40,"1,927",976,173,148,147,203,280
2021,3,50,"2,693","1,144",302,246,229,289,483
2021,3,60,"2,843","1,010",326,253,342,384,528
2021,3,70,"1,678",575,213,165,196,241,288
2021,3,80,705,229,103,89,92,105,87
2021,3,90,68,26,6,7,9,5,15
2021,3,100,1,1,0,0,0,0,0
2021,4,총,"14,238","6,425","1,470","1,160","1,327","1,549","2,307"
2021,4,0,672,426,36,30,40,50,90
2021,4,10,975,618,91,37,54,61,114
2021,4,20,"1,390",742,127,111,91,92,227
2021,4,30,"1,272",663,95,77,123,120,194
2021,4,40,"1,902",960,172,146,145,202,277
2021,4,50,"2,687","1,148",298,243,229,287,482
2021,4,60,"2,882","1,032",330,255,349,388,528
2021,4,70,"1,688",582,212,166,195,239,294
2021,4,80,702,228,103,88,92,105,86
2021,4,90,67,25,6,7,9,5,15
2021,4,100,1,1,0,0,0,0,0
2021,5,총,"14,269","6,443","1,463","1,156","1,332","1,567","2,308"
2021,5,0,674,433,32,28,41,50,90
2021,5,10,974,613,93,39,53,61,115
2021,5,20,"1,403",747,126,109,95,99,227
2021,5,30,"1,263",656,93,78,121,123,192
2021,5,40,"1,896",960,169,142,144,204,277
2021,5,50,"2,673","1,148",299,239,227,287,473
2021,5,60,"2,911","1,042",331,258,353,390,537
2021,5,70,"1,700",587,212,167,197,242,295
2021,5,80,708,231,103,89,92,106,87
2021,5,90,66,25,5,7,9,5,15
2021,5,100,1,1,0,0,0,0,0
2021,6,총,"14,305","6,461","1,463","1,161","1,343","1,566","2,311"
2021,6,0,675,432,30,28,41,50,94
2021,6,10,978,617,92,39,53,63,114
2021,6,20,"1,401",749,124,111,93,99,225
2021,6,30,"1,251",651,93,79,120,120,188
2021,6,40,"1,902",966,169,141,148,205,273
2021,6,50,"2,678","1,148",304,240,223,285,478
2021,6,60,"2,941","1,054",330,258,367,390,542
2021,6,70,"1,695",584,210,168,197,242,294
2021,6,80,714,232,106,89,92,107,88
2021,6,90,68,26,5,8,9,5,15
2021,6,100,2,2,0,0,0,0,0
2021,7,총,"14,356","6,485","1,472","1,164","1,347","1,565","2,323"
2021,7,0,672,429,31,29,42,46,95
2021,7,10,972,618,90,38,50,61,115
2021,7,20,"1,413",748,129,107,99,102,228
2021,7,30,"1,254",657,92,81,117,120,187
2021,7,40,"1,910",977,164,142,149,202,276
2021,7,50,"2,684","1,152",311,238,221,287,475
2021,7,60,"2,953","1,056",329,263,369,392,544
2021,7,70,"1,709",586,214,169,197,244,299
2021,7,80,716,232,107,88,94,106,89
2021,7,90,71,28,5,9,9,5,15
2021,7,100,2,2,0,0,0,0,0
2021,8,총,"14,340","6,491","1,462","1,162","1,343","1,550","2,332"
2021,8,0,670,428,32,28,40,46,96
2021,8,10,960,608,90,37,51,60,114
2021,8,20,"1,416",750,129,111,97,96,233
2021,8,30,"1,247",652,93,82,118,115,187
2021,8,40,"1,904",986,162,137,146,203,270
2021,8,50,"2,681","1,152",303,241,219,283,483
2021,8,60,"2,966","1,069",330,263,371,389,544
2021,8,70,"1,699",584,210,166,198,245,296
2021,8,80,726,234,108,89,94,108,93
2021,8,90,69,26,5,8,9,5,16
2021,8,100,2,2,0,0,0,0,0
2021,9,총,"14,330","6,512","1,466","1,153","1,331","1,539","2,329"
2021,9,0,666,428,31,28,37,46,96
2021,9,10,954,605,90,37,51,57,114
2021,9,20,"1,409",753,128,108,91,90,239
2021,9,30,"1,246",657,93,81,115,116,184
2021,9,40,"1,906",992,164,136,145,201,268
2021,9,50,"2,674","1,155",301,238,221,280,479
2021,9,60,"2,969","1,073",331,263,364,391,547
2021,9,70,"1,701",585,212,163,202,247,292
2021,9,80,733,236,111,91,96,106,93
2021,9,90,70,26,5,8,9,5,17
2021,9,100,2,2,0,0,0,0,0
2021,10,총,"14,309","6,499","1,459","1,147","1,335","1,540","2,329"
2021,10,0,657,422,31,28,35,43,98
2021,10,10,945,597,88,36,52,58,114
2021,10,20,"1,407",754,128,102,100,90,233
2021,10,30,"1,245",654,92,82,115,116,186
2021,10,40,"1,884",978,160,133,143,202,268
2021,10,50,"2,672","1,156",302,238,221,280,475
2021,10,60,"2,989","1,085",332,266,362,391,553
2021,10,70,"1,698",588,210,162,202,246,290
2021,10,80,741,238,110,92,96,109,96
2021,10,90,69,25,6,8,9,5,16
2021,10,100,2,2,0,0,0,0,0
2021,11,총,"14,289","6,485","1,446","1,152","1,339","1,532","2,335"
2021,11,0,656,421,30,28,36,41,100
2021,11,10,941,594,88,37,52,58,112
2021,11,20,"1,400",754,119,98,102,90,237
2021,11,30,"1,243",648,90,88,113,115,189
2021,11,40,"1,870",973,160,132,146,197,262
2021,11,50,"2,671","1,153",296,239,222,279,482
2021,11,60,"3,003","1,084",336,269,364,395,555
2021,11,70,"1,691",593,207,159,199,246,287
2021,11,80,742,237,114,94,96,107,94
2021,11,90,70,26,6,8,9,4,17
2021,11,100,2,2,0,0,0,0,0
2021,12,총,"14,251","6,462","1,432","1,162","1,340","1,529","2,326"
2021,12,0,653,416,28,28,40,41,100
2021,12,10,936,594,90,37,50,59,106
2021,12,20,"1,390",746,114,103,101,92,234
2021,12,30,"1,236",638,88,88,117,115,190
2021,12,40,"1,868",980,158,131,146,195,258
2021,12,50,"2,654","1,141",292,245,220,275,481
2021,12,60,"3,001","1,085",337,268,358,396,557
2021,12,70,"1,690",588,205,158,203,247,289
2021,12,80,753,246,113,96,97,105,96
2021,12,90,68,26,7,8,8,4,15
2021,12,100,2,2,0,0,0,0,0
