년도,월,나이,옥천군,옥천읍,동이면,안남면,안내면,청성면,청산면,이원면,군서면,군북면
2020,3,100,7,1,0,0,3,0,1,2,0,0
2020,4,총,"25,608","14,613","1,667",719,976,"1,179","1,495","2,162","1,193","1,604"
2020,4,0,"1,445","1,179",53,20,14,17,29,58,32,43
2020,4,10,"2,088","1,622",68,37,37,36,74,103,42,69
2020,4,20,"2,553","1,761",152,45,57,62,87,157,103,129
2020,4,30,"2,090","1,444",105,43,46,45,66,162,71,108
2020,4,40,"3,470","2,350",176,69,109,89,140,250,117,170
2020,4,50,"4,839","2,575",338,140,189,244,308,441,246,358
2020,4,60,"4,875","2,045",419,190,267,342,402,500,304,406
2020,4,70,"2,836","1,133",227,110,158,215,272,337,180,204
2020,4,80,"1,269",466,110,57,86,111,104,137,93,105
2020,4,90,136,37,19,8,10,18,12,15,5,12
2020,4,100,7,1,0,0,3,0,1,2,0,0
2020,5,총,"25,618","14,608","1,670",718,980,"1,172","1,495","2,169","1,206","1,600"
2020,5,0,"1,433","1,171",53,18,14,17,30,58,32,40
2020,5,10,"2,077","1,615",68,38,37,34,74,102,42,67
2020,5,20,"2,552","1,763",152,45,58,57,84,161,103,129
2020,5,30,"2,089","1,444",104,44,45,42,70,163,73,104
2020,5,40,"3,440","2,329",172,67,108,89,137,252,115,171
2020,5,50,"4,862","2,591",345,140,192,245,309,435,246,359
2020,5,60,"4,897","2,052",418,190,267,343,402,504,314,407
2020,5,70,"2,854","1,145",231,111,158,216,268,339,182,204
2020,5,80,"1,271",460,109,57,87,111,108,138,94,107
2020,5,90,136,37,18,8,11,18,12,15,5,12
2020,5,100,7,1,0,0,3,0,1,2,0,0
2020,6,총,"25,585","14,586","1,664",712,983,"1,168","1,491","2,173","1,211","1,597"
2020,6,0,"1,416","1,157",55,17,14,15,30,57,33,38
2020,6,10,"2,063","1,604",66,38,37,33,74,103,42,66
2020,6,20,"2,547","1,764",149,43,61,57,83,161,100,129
2020,6,30,"2,082","1,442",102,41,46,42,67,166,74,102
2020,6,40,"3,437","2,326",172,67,108,87,136,255,115,171
2020,6,50,"4,853","2,582",344,142,195,246,307,430,251,356
2020,6,60,"4,930","2,069",419,190,266,346,404,509,314,413
2020,6,70,"2,845","1,144",230,111,156,214,270,336,181,203
2020,6,80,"1,269",459,109,56,86,110,107,139,96,107
2020,6,90,136,38,18,7,11,18,12,15,5,12
2020,6,100,7,1,0,0,3,0,1,2,0,0
2020,7,총,"25,574","14,568","1,661",718,987,"1,164","1,481","2,184","1,203","1,608"
2020,7,0,"1,405","1,147",55,19,14,15,30,57,31,37
2020,7,10,"2,077","1,614",64,38,39,33,72,106,43,68
2020,7,20,"2,528","1,748",147,41,59,57,85,164,98,129
2020,7,30,"2,072","1,429",101,44,47,42,64,165,74,106
2020,7,40,"3,413","2,306",173,67,106,87,135,255,112,172
2020,7,50,"4,872","2,597",342,143,200,245,306,432,252,355
2020,7,60,"4,924","2,070",421,192,267,348,400,504,309,413
2020,7,70,"2,873","1,160",232,112,155,207,272,343,183,209
2020,7,80,"1,261",455,108,55,86,110,104,140,96,107
2020,7,90,142,41,18,7,11,20,12,16,5,12
2020,7,100,7,1,0,0,3,0,1,2,0,0
2020,8,총,"25,583","14,575","1,663",717,984,"1,172","1,471","2,199","1,205","1,597"
2020,8,0,"1,399","1,143",54,19,14,15,28,57,33,36
2020,8,10,"2,077","1,618",63,38,37,34,73,107,39,68
2020,8,20,"2,512","1,744",143,41,58,56,81,166,99,124
2020,8,30,"2,076","1,430",104,44,48,41,60,168,77,104
2020,8,40,"3,401","2,294",174,66,104,88,136,256,110,173
2020,8,50,"4,863","2,606",338,141,201,245,302,431,247,352
2020,8,60,"4,956","2,084",428,191,263,355,401,507,314,413
2020,8,70,"2,892","1,161",234,115,159,207,272,348,184,212
2020,8,80,"1,253",453,106,55,86,111,104,140,95,103
2020,8,90,147,41,19,7,11,20,13,17,7,12
2020,8,100,7,1,0,0,3,0,1,2,0,0
2020,9,총,"25,548","14,562","1,665",712,984,"1,169","1,467","2,190","1,202","1,597"
2020,9,0,"1,392","1,130",57,20,17,15,25,56,34,38
2020,9,10,"2,073","1,618",63,38,37,34,73,106,36,68
2020,9,20,"2,498","1,745",140,37,56,56,80,166,97,121
2020,9,30,"2,069","1,420",104,45,49,43,61,163,78,106
2020,9,40,"3,395","2,294",173,67,105,85,137,254,110,170
2020,9,50,"4,845","2,605",342,140,193,248,294,427,248,348
2020,9,60,"4,979","2,091",429,191,266,354,407,509,312,420
2020,9,70,"2,889","1,157",234,114,160,204,269,352,186,213
2020,9,80,"1,253",458,104,53,87,112,107,137,93,102
2020,9,90,148,43,19,7,11,18,13,18,8,11
2020,9,100,7,1,0,0,3,0,1,2,0,0
2020,10,총,"25,519","14,544","1,654",712,989,"1,174","1,467","2,189","1,196","1,594"
2020,10,0,"1,383","1,129",54,21,17,15,25,54,32,36
2020,10,10,"2,076","1,617",62,37,38,33,73,112,37,67
2020,10,20,"2,492","1,736",141,38,56,58,81,163,97,122
2020,10,30,"2,046","1,403",103,46,48,44,61,161,75,105
2020,10,40,"3,382","2,292",165,67,105,85,133,256,111,168
2020,10,50,"4,837","2,597",339,142,194,254,293,427,248,343
2020,10,60,"4,976","2,098",432,187,265,350,410,507,305,422
2020,10,70,"2,917","1,170",233,115,165,206,269,353,191,215
2020,10,80,"1,255",461,105,51,87,110,108,136,92,105
2020,10,90,148,40,20,8,11,19,13,18,8,11
2020,10,100,7,1,0,0,3,0,1,2,0,0
2020,11,총,"25,494","14,520","1,656",713,993,"1,181","1,472","2,181","1,186","1,592"
2020,11,0,"1,367","1,116",49,21,18,16,25,52,32,38
2020,11,10,"2,071","1,611",64,37,38,33,73,112,36,67
2020,11,20,"2,497","1,736",144,40,58,58,82,163,95,121
2020,11,30,"2,024","1,389",99,45,50,46,61,157,73,104
2020,11,40,"3,374","2,294",164,66,103,86,131,255,109,166
2020,11,50,"4,819","2,584",339,143,192,255,296,427,244,339
2020,11,60,"5,001","2,116",440,188,267,348,409,504,307,422
2020,11,70,"2,926","1,171",230,114,165,210,272,357,188,219
2020,11,80,"1,262",462,108,51,88,110,109,135,94,105
2020,11,90,147,40,19,8,11,19,13,18,8,11
2020,11,100,6,1,0,0,3,0,1,1,0,0
2020,12,총,"25,489","14,498","1,665",713,992,"1,181","1,472","2,183","1,199","1,586"
2020,12,0,"1,351","1,102",47,20,18,16,25,53,33,37
2020,12,10,"2,062","1,604",66,38,38,33,73,108,37,65
2020,12,20,"2,517","1,748",146,39,59,56,86,163,101,119
2020,12,30,"2,023","1,385",100,46,53,47,61,154,74,103
2020,12,40,"3,366","2,279",170,65,103,86,129,256,110,168
2020,12,50,"4,799","2,569",336,142,194,255,293,427,246,337
2020,12,60,"5,023","2,128",444,190,262,351,408,511,309,420
2020,12,70,"2,931","1,178",230,115,164,208,270,358,187,221
2020,12,80,"1,265",465,107,50,87,110,113,134,94,105
2020,12,90,146,39,19,8,11,19,13,18,8,11
2020,12,100,6,1,0,0,3,0,1,1,0,0
2021,1,총,"25,447","14,496","1,666",713,985,"1,173","1,470","2,173","1,194","1,577"
2021,1,0,"1,334","1,092",45,20,16,14,22,53,34,38
2021,1,10,"2,065","1,608",67,38,39,33,75,103,37,65
2021,1,20,"2,478","1,730",147,38,57,55,83,158,96,114
2021,1,30,"2,012","1,385",98,46,51,45,60,155,70,102
2021,1,40,"3,339","2,265",167,66,100,85,130,250,111,165
2021,1,50,"4,782","2,574",337,140,189,250,293,421,243,335
2021,1,60,"5,072","2,146",448,189,268,356,408,520,314,423
2021,1,70,"2,933","1,185",229,118,164,202,270,357,188,220
2021,1,80,"1,279",469,109,50,86,115,115,137,93,105
2021,1,90,147,41,19,8,12,18,13,18,8,10
2021,1,100,6,1,0,0,3,0,1,1,0,0
2021,2,총,"25,431","14,536","1,657",709,981,"1,174","1,465","2,166","1,185","1,558"
2021,2,0,"1,334","1,093",45,20,18,14,22,52,35,35
2021,2,10,"2,058","1,608",63,38,40,32,75,102,37,63
2021,2,20,"2,469","1,732",144,37,55,55,83,157,95,111
2021,2,30,"1,990","1,383",98,44,47,43,57,151,67,100
2021,2,40,"3,336","2,277",164,65,100,86,129,249,106,160
2021,2,50,"4,759","2,572",335,137,184,249,293,421,238,330
2021,2,60,"5,113","2,169",455,190,273,357,408,519,316,426
2021,2,70,"2,927","1,182",224,116,163,203,271,359,190,219
2021,2,80,"1,288",477,111,53,85,117,112,137,93,103
2021,2,90,151,42,18,9,13,18,14,18,8,11
2021,2,100,6,1,0,0,3,0,1,1,0,0
2021,3,총,"25,378","14,512","1,657",705,980,"1,178","1,458","2,153","1,173","1,562"
2021,3,0,"1,318","1,077",46,20,20,13,21,52,33,36
2021,3,10,"2,046","1,600",62,37,40,33,76,101,35,62
2021,3,20,"2,464","1,744",139,38,52,57,81,155,89,109
2021,3,30,"1,992","1,387",98,41,48,46,56,150,67,99
2021,3,40,"3,312","2,268",162,65,99,83,128,243,107,157
2021,3,50,"4,736","2,557",333,136,183,251,289,423,230,334
2021,3,60,"5,150","2,176",461,190,275,361,414,523,318,432
2021,3,70,"2,920","1,183",224,118,164,200,269,355,191,216
2021,3,80,"1,287",480,114,51,84,115,109,133,95,106
2021,3,90,150,40,17,9,13,19,15,18,8,11
2021,3,100,3,0,1,0,2,0,0,0,0,0
2021,4,총,"25,378","14,520","1,653",705,983,"1,183","1,456","2,143","1,170","1,565"
2021,4,0,"1,313","1,076",45,20,20,13,19,51,33,36
2021,4,10,"2,036","1,604",62,36,36,33,77,96,34,58
2021,4,20,"2,443","1,723",139,38,54,56,78,155,88,112
2021,4,30,"1,980","1,385",97,39,50,42,59,145,67,96
2021,4,40,"3,305","2,277",155,65,93,84,126,239,107,159
2021,4,50,"4,729","2,556",335,137,189,247,286,417,227,335
2021,4,60,"5,202","2,188",465,191,277,373,418,534,320,436
2021,4,70,"2,923","1,188",227,120,164,198,266,355,192,213
2021,4,80,"1,292",483,110,50,85,118,112,133,94,107
2021,4,90,152,40,17,9,13,19,15,18,8,13
2021,4,100,3,0,1,0,2,0,0,0,0,0
2021,5,총,"25,358","14,520","1,656",705,982,"1,185","1,454","2,134","1,164","1,558"
2021,5,0,"1,300","1,067",47,20,20,13,18,49,32,34
2021,5,10,"2,016","1,586",61,36,35,31,79,94,36,58
2021,5,20,"2,444","1,727",140,37,56,58,75,155,87,109
2021,5,30,"1,965","1,382",94,38,48,42,58,141,64,98
2021,5,40,"3,290","2,267",155,65,93,83,125,239,106,157
2021,5,50,"4,735","2,572",338,136,186,245,284,414,225,335
2021,5,60,"5,229","2,196",467,195,282,377,420,539,316,437
2021,5,70,"2,928","1,197",226,117,163,197,268,352,196,212
2021,5,80,"1,293",486,109,52,84,119,112,133,94,104
2021,5,90,155,40,18,9,13,20,15,18,8,14
2021,5,100,3,0,1,0,2,0,0,0,0,0
2021,6,총,"25,348","14,528","1,656",702,984,"1,183","1,452","2,129","1,159","1,555"
2021,6,0,"1,292","1,059",46,20,21,16,18,47,31,34
2021,6,10,"2,017","1,588",63,34,34,33,78,94,36,57
2021,6,20,"2,436","1,728",138,36,55,56,75,156,83,109
2021,6,30,"1,952","1,373",92,39,48,40,60,139,64,97
2021,6,40,"3,287","2,273",155,63,93,81,122,238,107,155
2021,6,50,"4,713","2,558",337,137,186,247,283,409,222,334
2021,6,60,"5,282","2,226",472,195,286,378,422,546,319,438
2021,6,70,"2,918","1,193",226,117,163,195,267,350,196,211
2021,6,80,"1,293",488,109,52,83,118,112,132,93,106
2021,6,90,156,42,18,9,13,19,15,18,8,14
2021,6,100,2,0,0,0,2,0,0,0,0,0
2021,7,총,"25,350","14,532","1,658",698,979,"1,191","1,451","2,133","1,154","1,554"
2021,7,0,"1,277","1,047",47,19,21,18,17,46,31,31
2021,7,10,"2,016","1,592",61,33,33,33,81,94,33,56
2021,7,20,"2,412","1,717",139,34,52,55,71,156,79,109
2021,7,30,"1,947","1,367",90,41,48,38,61,143,63,96
2021,7,40,"3,290","2,271",158,62,92,84,124,236,109,154
2021,7,50,"4,720","2,575",338,133,189,245,276,408,222,334
2021,7,60,"5,299","2,230",473,198,284,383,423,546,319,443
2021,7,70,"2,934","1,202",226,115,164,194,271,351,197,214
2021,7,80,"1,300",489,109,53,83,122,112,135,92,105
2021,7,90,154,42,17,10,12,19,15,18,9,12
2021,7,100,1,0,0,0,1,0,0,0,0,0
2021,8,총,"25,333","14,544","1,651",700,980,"1,196","1,443","2,121","1,148","1,550"
2021,8,0,"1,270","1,044",46,20,22,19,16,43,30,30
2021,8,10,"2,021","1,596",60,35,34,34,79,92,33,58
2021,8,20,"2,401","1,716",133,33,53,55,71,154,79,107
2021,8,30,"1,934","1,360",91,42,44,36,58,143,62,98
2021,8,40,"3,280","2,272",160,57,92,85,125,230,108,151
2021,8,50,"4,714","2,581",332,136,186,246,275,407,221,330
2021,8,60,"5,304","2,230",472,197,285,384,422,549,320,445
2021,8,70,"2,952","1,217",231,117,167,198,267,349,194,212
2021,8,80,"1,303",487,109,53,84,120,114,136,93,107
2021,8,90,153,41,17,10,12,19,16,18,8,12
2021,8,100,1,0,0,0,1,0,0,0,0,0
2021,9,총,"25,283","14,531","1,648",701,972,"1,185","1,435","2,109","1,146","1,556"
2021,9,0,"1,265","1,044",45,21,20,18,17,40,29,31
2021,9,10,"2,009","1,589",57,35,34,33,77,94,34,56
2021,9,20,"2,362","1,698",134,32,52,52,66,143,75,110
2021,9,30,"1,924","1,353",92,43,42,34,57,145,61,97
2021,9,40,"3,275","2,273",155,56,91,86,123,233,110,148
2021,9,50,"4,717","2,595",335,133,187,237,274,402,222,332
2021,9,60,"5,317","2,235",473,199,283,389,420,552,318,448
2021,9,70,"2,951","1,212",233,119,168,200,270,342,194,213
2021,9,80,"1,311",492,106,53,83,117,116,140,95,109
2021,9,90,151,40,18,10,11,19,15,18,8,12
2021,9,100,1,0,0,0,1,0,0,0,0,0
2021,10,총,"25,274","14,535","1,655",701,970,"1,182","1,433","2,099","1,142","1,557"
2021,10,0,"1,259","1,035",47,20,20,18,17,40,29,33
2021,10,10,"2,003","1,583",58,35,34,33,76,94,35,55
2021,10,20,"2,348","1,696",132,33,50,52,67,139,70,109
2021,10,30,"1,928","1,358",91,42,42,35,57,146,62,95
2021,10,40,"3,248","2,258",156,56,89,84,122,229,108,146
2021,10,50,"4,740","2,621",334,134,186,241,272,397,219,336
2021,10,60,"5,320","2,230",476,198,284,387,423,553,318,451
2021,10,70,"2,968","1,223",237,121,168,201,266,343,197,212
2021,10,80,"1,309",493,106,52,85,111,119,139,96,108
2021,10,90,150,38,18,10,11,20,14,19,8,12
2021,10,100,1,0,0,0,1,0,0,0,0,0
2021,11,총,"25,287","14,550","1,652",700,976,"1,179","1,429","2,095","1,139","1,567"
2021,11,0,"1,248","1,033",46,21,20,16,16,38,26,32
2021,11,10,"2,008","1,587",60,35,32,35,76,93,34,56
2021,11,20,"2,352","1,696",131,32,54,50,68,138,73,110
2021,11,30,"1,922","1,349",90,41,42,36,58,143,65,98
2021,11,40,"3,231","2,244",156,57,92,82,121,232,102,145
2021,11,50,"4,757","2,643",334,133,184,235,268,397,223,340
2021,11,60,"5,342","2,245",476,199,285,388,427,553,317,452
2021,11,70,"2,973","1,224",237,121,169,204,265,344,195,214
2021,11,80,"1,306",490,105,52,86,113,117,139,96,108
2021,11,90,147,39,17,9,11,20,13,18,8,12
2021,11,100,1,0,0,0,1,0,0,0,0,0
2021,12,총,"25,242","14,541","1,647",698,975,"1,175","1,434","2,083","1,140","1,549"
2021,12,0,"1,235","1,024",42,21,20,16,15,39,26,32
2021,12,10,"2,003","1,586",61,35,31,33,75,91,35,56
2021,12,20,"2,337","1,690",128,31,53,53,69,135,72,106
2021,12,30,"1,899","1,339",91,40,39,36,53,138,65,98
2021,12,40,"3,238","2,253",156,56,95,83,126,230,102,137
2021,12,50,"4,747","2,643",334,134,183,231,268,400,222,332
2021,12,60,"5,341","2,246",471,196,286,386,430,547,323,456
2021,12,70,"2,980","1,224",241,124,171,204,266,346,190,214
2021,12,80,"1,315",496,106,52,86,113,119,138,97,108
2021,12,90,146,40,17,9,11,20,13,19,7,10
2021,12,100,1,0,0,0,0,0,0,0,1,0
