년도,월,나이,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020,6,10,998,610,46,45,47,25,68,44,10,31,33,39
2020,6,20,"1,012",613,46,40,44,37,53,47,20,36,43,33
2020,6,30,"1,021",655,30,51,42,29,54,45,12,31,35,37
2020,6,40,"1,492",911,69,65,64,47,82,73,24,36,50,71
2020,6,50,"2,704","1,263",194,107,184,114,188,154,57,146,137,160
2020,6,60,"3,224","1,233",214,133,276,222,248,224,101,214,177,182
2020,6,70,"2,548",871,196,117,240,196,225,161,64,172,170,136
2020,6,80,"2,043",658,91,96,201,171,177,153,49,168,137,142
2020,6,90,376,105,32,20,33,17,17,45,13,29,35,30
2020,6,100,26,9,2,2,2,3,2,2,0,1,1,2
2020,7,총,"16,149","7,434",927,716,"1,156",872,"1,143",974,359,891,831,846
2020,7,0,723,503,15,42,26,11,32,27,11,27,17,12
2020,7,10,997,608,45,45,47,25,70,45,10,32,30,40
2020,7,20,"1,002",608,44,40,42,38,54,49,19,31,44,33
2020,7,30,"1,017",658,28,48,43,29,52,43,13,31,35,37
2020,7,40,"1,484",911,69,65,64,47,81,71,23,35,48,70
2020,7,50,"2,689","1,261",189,107,180,110,188,152,55,149,140,158
2020,7,60,"3,241","1,241",217,135,280,225,247,224,100,214,173,185
2020,7,70,"2,553",874,193,117,240,195,225,160,65,174,173,137
2020,7,80,"2,036",651,93,96,199,171,176,154,50,167,137,142
2020,7,90,382,110,32,19,33,18,17,47,13,30,33,30
2020,7,100,25,9,2,2,2,3,1,2,0,1,1,2
2020,8,총,"16,152","7,446",923,716,"1,155",869,"1,138",975,356,893,836,845
2020,8,0,718,500,15,42,26,10,31,27,11,27,17,12
2020,8,10,"1,002",612,44,46,47,26,70,45,10,32,30,40
2020,8,20,983,602,43,38,39,37,53,49,16,30,44,32
2020,8,30,"1,020",666,28,46,43,28,52,41,14,31,36,35
2020,8,40,"1,480",910,65,69,61,46,80,72,23,35,48,71
2020,8,50,"2,685","1,254",189,107,183,111,183,152,53,151,142,160
2020,8,60,"3,259","1,256",217,134,281,223,250,226,101,214,174,183
2020,8,70,"2,556",871,195,116,240,197,226,160,64,174,174,139
2020,8,80,"2,038",654,93,97,201,170,174,154,51,166,137,141
2020,8,90,385,111,32,19,32,18,18,47,13,32,33,30
2020,8,100,26,10,2,2,2,3,1,2,0,1,1,2
2020,9,총,"16,163","7,471",926,709,"1,154",859,"1,137",973,357,893,841,843
2020,9,0,716,507,15,37,25,10,31,25,9,28,16,13
2020,9,10,"1,000",616,43,47,44,25,66,48,10,33,30,38
2020,9,20,986,604,43,34,41,36,55,50,15,30,45,33
2020,9,30,"1,016",665,30,46,43,27,50,40,13,30,37,35
2020,9,40,"1,470",910,64,69,59,42,81,70,23,36,47,69
2020,9,50,"2,676","1,253",186,106,185,110,180,153,55,149,143,156
2020,9,60,"3,285","1,266",220,135,279,224,253,225,103,215,179,186
2020,9,70,"2,540",872,196,113,244,194,223,160,64,171,169,134
2020,9,80,"2,062",657,95,101,200,169,179,154,52,167,141,147
2020,9,90,386,110,32,19,32,19,18,47,13,33,33,30
2020,9,100,26,11,2,2,2,3,1,1,0,1,1,2
2020,10,총,"16,148","7,491",928,704,"1,147",857,"1,133",973,351,892,832,840
2020,10,0,713,505,15,37,25,9,30,25,9,28,16,14
2020,10,10,"1,000",620,42,45,44,26,64,49,10,32,31,37
2020,10,20,983,607,44,34,38,36,56,50,13,30,42,33
2020,10,30,"1,009",654,33,45,43,26,53,40,14,31,38,32
2020,10,40,"1,474",922,66,69,58,42,75,69,22,36,44,71
2020,10,50,"2,668","1,257",184,105,183,111,179,151,52,146,144,156
2020,10,60,"3,287","1,275",220,135,279,219,255,223,103,217,175,186
2020,10,70,"2,546",873,197,113,243,197,224,163,64,172,168,132
2020,10,80,"2,054",657,92,100,202,168,177,154,51,166,140,147
2020,10,90,388,110,33,19,30,20,19,48,13,33,33,30
2020,10,100,26,11,2,2,2,3,1,1,0,1,1,2
2020,11,총,"16,130","7,488",922,705,"1,144",856,"1,131",969,352,887,833,843
2020,11,0,710,509,13,37,25,9,30,23,9,25,17,13
2020,11,10,987,613,43,44,43,26,63,48,10,33,29,35
2020,11,20,982,614,40,33,37,35,55,48,13,31,42,34
2020,11,30,"1,003",645,35,47,42,26,53,42,14,30,37,32
2020,11,40,"1,465",918,61,69,59,40,75,69,22,36,44,72
2020,11,50,"2,660","1,253",186,106,178,112,178,149,53,147,142,156
2020,11,60,"3,304","1,282",220,135,281,218,258,224,103,216,180,187
2020,11,70,"2,551",879,198,113,241,199,223,164,64,169,168,133
2020,11,80,"2,050",651,92,100,206,167,176,154,51,165,140,148
2020,11,90,391,113,32,19,29,21,19,47,13,34,33,31
2020,11,100,27,11,2,2,3,3,1,1,0,1,1,2
2020,12,총,"16,120","7,507",918,701,"1,142",856,"1,124",964,353,886,829,840
2020,12,0,715,512,14,37,26,9,29,21,13,25,16,13
2020,12,10,982,615,40,42,43,27,61,46,10,33,30,35
2020,12,20,987,621,43,34,37,36,53,47,13,30,40,33
2020,12,30,"1,001",649,33,46,40,26,53,43,13,31,37,30
2020,12,40,"1,446",908,60,68,59,39,74,66,23,36,43,70
2020,12,50,"2,662","1,266",183,107,176,109,176,152,52,146,140,155
2020,12,60,"3,318","1,286",223,134,279,220,258,226,103,215,182,192
2020,12,70,"2,542",879,197,112,243,199,222,160,64,169,166,131
2020,12,80,"2,051",648,92,100,207,167,176,158,49,165,142,147
2020,12,90,389,112,31,19,29,21,21,44,13,35,32,32
2020,12,100,27,11,2,2,3,3,1,1,0,1,1,2
2021,1,총,"16,093","7,484",920,696,"1,145",853,"1,131",961,349,886,825,843
2021,1,0,707,505,15,36,26,9,30,20,11,26,16,13
2021,1,10,978,612,41,43,41,26,62,47,10,33,29,34
2021,1,20,973,605,42,33,39,37,56,48,12,30,38,33
2021,1,30,995,640,34,49,40,25,55,40,12,30,39,31
2021,1,40,"1,446",915,57,68,59,39,73,65,20,36,43,71
2021,1,50,"2,641","1,268",185,99,175,105,169,150,54,142,138,156
2021,1,60,"3,338","1,288",225,138,277,224,266,228,103,218,180,191
2021,1,70,"2,532",877,196,109,247,193,218,159,64,170,167,132
2021,1,80,"2,064",649,93,100,209,170,181,159,50,165,140,148
2021,1,90,393,114,30,19,29,23,20,44,13,35,34,32
2021,1,100,26,11,2,2,3,2,1,1,0,1,1,2
2021,2,총,"16,090","7,489",915,698,"1,148",849,"1,128",956,345,888,826,848
2021,2,0,707,508,15,37,26,9,30,19,10,24,16,13
2021,2,10,968,604,41,42,43,25,59,48,10,34,29,33
2021,2,20,964,600,38,33,37,36,57,48,12,31,36,36
2021,2,30,977,633,32,52,39,23,51,37,10,29,38,33
2021,2,40,"1,450",918,58,68,60,39,75,65,19,36,42,70
2021,2,50,"2,631","1,264",183,98,177,105,169,148,52,139,141,155
2021,2,60,"3,375","1,308",227,139,278,225,267,227,104,223,182,195
2021,2,70,"2,523",870,198,109,248,191,216,160,62,172,165,132
2021,2,80,"2,072",657,91,99,209,171,182,160,53,162,141,147
2021,2,90,397,116,30,19,29,23,21,43,13,37,35,31
2021,2,100,26,11,2,2,2,2,1,1,0,1,1,3
2021,3,총,"15,971","7,461",903,686,"1,139",841,"1,122",947,342,881,809,840
2021,3,0,694,500,13,37,25,9,30,20,10,23,16,11
2021,3,10,962,603,43,40,44,25,56,49,10,33,28,31
2021,3,20,957,594,38,31,38,35,58,47,13,31,34,38
2021,3,30,956,628,32,51,36,25,49,37,9,28,34,27
2021,3,40,"1,443",913,57,66,61,40,73,67,18,34,45,69
2021,3,50,"2,591","1,258",176,93,171,104,167,144,49,138,138,153
2021,3,60,"3,389","1,329",225,145,275,220,269,223,104,222,177,200
2021,3,70,"2,506",865,197,105,247,191,211,158,62,172,164,134
2021,3,80,"2,066",650,93,99,210,169,187,160,54,162,137,145
2021,3,90,392,115,28,18,30,23,21,41,13,37,35,31
2021,3,100,15,6,1,1,2,0,1,1,0,1,1,1
2021,4,총,"15,965","7,467",900,686,"1,134",839,"1,130",941,342,878,810,838
2021,4,0,694,497,13,37,25,9,31,20,10,24,16,12
2021,4,10,960,606,42,41,45,24,54,47,10,32,28,31
2021,4,20,964,597,40,30,39,34,61,50,12,32,31,38
2021,4,30,946,628,28,52,35,26,49,35,7,27,34,25
2021,4,40,"1,448",919,58,66,60,39,73,66,19,33,46,69
2021,4,50,"2,573","1,252",172,94,166,103,169,139,50,139,140,149
2021,4,60,"3,408","1,332",228,144,278,221,271,227,105,224,177,201
2021,4,70,"2,479",860,195,102,244,183,211,157,61,169,164,133
2021,4,80,"2,085",653,94,101,211,177,187,159,55,162,139,147
2021,4,90,393,117,29,18,29,23,23,40,13,35,34,32
2021,4,100,15,6,1,1,2,0,1,1,0,1,1,1
2021,5,총,"15,944","7,453",899,691,"1,130",840,"1,131",940,340,872,810,838
2021,5,0,688,496,13,36,25,9,29,19,10,23,16,12
2021,5,10,959,599,41,44,45,25,56,48,10,31,28,32
2021,5,20,953,590,41,30,39,35,62,50,10,30,28,38
2021,5,30,943,624,29,54,33,26,48,35,7,27,33,27
2021,5,40,"1,435",920,55,66,56,38,72,64,19,34,42,69
2021,5,50,"2,556","1,239",175,90,172,101,166,136,49,138,142,148
2021,5,60,"3,448","1,350",229,148,280,223,273,234,106,221,180,204
2021,5,70,"2,467",860,195,102,237,181,211,158,60,168,164,131
2021,5,80,"2,088",652,93,103,212,177,188,157,56,164,142,144
2021,5,90,393,117,27,17,29,25,25,38,13,35,34,33
2021,5,100,14,6,1,1,2,0,1,1,0,1,1,0
2021,6,총,"15,908","7,447",900,689,"1,121",835,"1,126",941,337,872,803,837
2021,6,0,681,500,13,37,24,6,27,18,8,23,15,10
2021,6,10,958,599,41,42,44,26,57,49,11,30,28,31
2021,6,20,949,581,41,32,39,34,63,51,11,30,26,41
2021,6,30,929,617,28,54,35,25,46,32,6,28,32,26
2021,6,40,"1,436",923,55,66,56,38,73,65,18,33,42,67
2021,6,50,"2,524","1,230",176,88,164,100,163,136,49,137,137,144
2021,6,60,"3,473","1,360",230,150,279,226,272,238,105,223,183,207
2021,6,70,"2,467",863,195,101,237,180,212,157,61,166,162,133
2021,6,80,"2,083",650,94,101,214,174,187,154,55,166,143,145
2021,6,90,395,118,26,17,28,26,25,40,13,35,34,33
2021,6,100,13,6,1,1,1,0,1,1,0,1,1,0
2021,7,총,"15,892","7,441",900,689,"1,125",833,"1,123",941,336,870,805,829
2021,7,0,675,498,13,38,21,5,28,16,8,23,15,10
2021,7,10,961,604,41,41,45,25,57,50,11,30,27,30
2021,7,20,941,577,42,31,39,33,61,51,11,31,25,40
2021,7,30,931,617,29,56,36,25,47,30,6,28,32,25
2021,7,40,"1,425",917,55,64,57,38,74,67,18,31,41,63
2021,7,50,"2,514","1,230",174,90,164,100,159,134,47,135,138,143
2021,7,60,"3,494","1,369",233,150,282,225,273,240,107,220,186,209
2021,7,70,"2,463",859,191,101,236,181,213,156,61,168,164,133
2021,7,80,"2,084",649,96,100,216,174,187,156,54,166,143,143
2021,7,90,390,115,25,17,27,27,23,40,13,37,33,33
2021,7,100,14,6,1,1,2,0,1,1,0,1,1,0
2021,8,총,"15,878","7,453",905,684,"1,113",829,"1,123",940,335,871,800,825
2021,8,0,671,496,14,38,22,3,28,16,8,22,14,10
2021,8,10,964,606,42,40,44,26,57,50,11,30,27,31
2021,8,20,928,576,41,34,35,30,61,48,11,31,25,36
2021,8,30,934,622,29,54,34,25,48,29,6,29,33,25
2021,8,40,"1,424",916,55,62,56,38,74,67,18,33,40,65
2021,8,50,"2,501","1,234",174,87,162,97,157,133,45,134,135,143
2021,8,60,"3,505","1,371",236,143,285,228,276,241,109,219,188,209
2021,8,70,"2,459",862,191,107,235,177,211,154,61,168,162,131
2021,8,80,"2,092",648,97,102,213,177,187,161,53,168,144,142
2021,8,90,386,116,25,16,25,28,23,40,13,36,31,33
2021,8,100,14,6,1,1,2,0,1,1,0,1,1,0
2021,9,총,"15,843","7,428",909,688,"1,116",822,"1,122",937,336,866,798,821
2021,9,0,662,492,13,38,22,3,27,16,9,20,12,10
2021,9,10,962,603,45,42,43,23,58,49,11,31,26,31
2021,9,20,917,572,42,34,34,31,60,47,10,28,24,35
2021,9,30,926,618,29,52,33,23,49,30,5,29,33,25
2021,9,40,"1,406",908,53,64,55,35,72,64,20,32,40,63
2021,9,50,"2,503","1,237",175,86,163,99,158,133,45,132,133,142
2021,9,60,"3,517","1,370",238,145,290,225,275,243,109,223,188,211
2021,9,70,"2,444",855,191,108,235,177,211,153,60,165,162,127
2021,9,80,"2,102",652,99,102,210,176,187,161,54,171,146,144
2021,9,90,389,115,23,16,29,30,24,40,13,34,32,33
2021,9,100,15,6,1,1,2,0,1,1,0,1,2,0
2021,10,총,"15,836","7,428",906,691,"1,115",822,"1,119",935,335,865,797,823
2021,10,0,654,488,13,38,22,5,25,15,8,19,11,10
2021,10,10,961,608,43,43,43,23,56,47,12,32,26,28
2021,10,20,914,571,42,32,33,30,58,51,9,27,24,37
2021,10,30,921,612,28,53,33,24,47,30,5,29,33,27
2021,10,40,"1,392",900,50,63,58,33,72,63,20,32,39,62
2021,10,50,"2,501","1,238",174,84,160,100,160,133,44,132,134,142
2021,10,60,"3,541","1,383",242,147,294,222,275,245,111,222,189,211
2021,10,70,"2,430",844,189,109,234,178,215,151,59,164,160,127
2021,10,80,"2,118",664,101,105,207,177,185,160,54,173,147,145
2021,10,90,389,113,23,16,29,30,25,39,13,34,33,34
2021,10,100,15,7,1,1,2,0,1,1,0,1,1,0
2021,11,총,"15,830","7,426",899,692,"1,118",821,"1,122",934,333,863,797,825
2021,11,0,652,485,13,37,22,6,24,17,8,19,11,10
2021,11,10,962,609,42,44,44,24,57,45,12,33,27,25
2021,11,20,905,569,42,32,33,27,57,51,8,25,23,38
2021,11,30,928,616,27,52,31,22,52,30,6,30,34,28
2021,11,40,"1,394",902,48,63,62,34,70,62,20,32,39,62
2021,11,50,"2,480","1,231",172,85,155,100,156,133,44,131,131,142
2021,11,60,"3,565","1,389",241,149,299,223,282,244,110,222,193,213
2021,11,70,"2,414",839,187,107,232,179,213,150,57,164,158,128
2021,11,80,"2,126",667,104,106,209,178,184,160,55,173,146,144
2021,11,90,390,112,23,16,29,28,26,41,13,33,34,35
2021,11,100,14,7,0,1,2,0,1,1,0,1,1,0
2021,12,총,"15,804","7,411",894,683,"1,118",823,"1,129",936,333,862,797,818
2021,12,0,643,478,11,38,21,7,24,18,7,19,10,10
2021,12,10,954,608,42,41,43,24,55,45,11,33,27,25
2021,12,20,894,563,41,27,35,27,63,48,8,25,23,34
2021,12,30,927,614,25,53,31,22,54,32,7,29,33,27
2021,12,40,"1,389",900,50,62,59,35,73,61,18,32,38,61
2021,12,50,"2,486","1,225",171,85,160,101,154,136,47,131,133,143
2021,12,60,"3,569","1,395",242,150,300,221,282,244,110,221,192,212
2021,12,70,"2,392",834,185,105,230,177,207,149,57,164,158,126
2021,12,80,"2,140",674,104,103,209,180,190,160,54,174,147,145
2021,12,90,396,113,23,18,28,29,26,42,14,33,35,35
2021,12,100,14,7,0,1,2,0,1,1,0,1,1,0
