년도,월,나이,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020,9,10,"1,781",867,100,175,23,65,103,130,56,48,5,76,22,102,9
2020,9,20,"1,571",778,95,123,12,100,71,114,49,52,0,61,21,70,25
2020,9,30,"1,853",907,116,172,29,65,101,116,59,44,3,73,27,121,20
2020,9,40,"2,603","1,293",143,238,35,127,145,185,67,73,9,96,39,131,22
2020,9,50,"3,641","1,473",260,304,55,224,245,266,166,151,14,152,71,196,64
2020,9,60,"4,287","1,435",354,307,84,362,303,367,251,206,15,240,79,210,74
2020,9,70,"4,160",985,364,378,65,338,341,511,265,219,28,289,104,194,79
2020,9,80,"2,973",566,268,300,24,265,267,358,185,201,28,201,99,153,58
2020,9,90,461,95,42,45,2,43,34,58,28,33,6,25,15,23,12
2020,9,100,22,9,2,1,2,2,1,2,0,0,1,0,1,0,1
2020,10,총,"24,886","9,063","1,858","2,222",352,"1,643","1,690","2,211","1,171","1,063",111,"1,291",494,"1,337",380
2020,10,0,"1,542",675,110,177,22,45,75,104,43,38,2,77,19,133,22
2020,10,10,"1,780",859,99,176,24,68,104,131,54,47,5,78,22,104,9
2020,10,20,"1,568",773,97,123,13,98,73,113,48,54,0,61,22,69,24
2020,10,30,"1,844",904,117,168,26,65,99,116,60,45,3,74,27,121,19
2020,10,40,"2,608","1,284",146,243,36,128,145,186,71,73,9,94,39,132,22
2020,10,50,"3,621","1,464",259,296,56,224,245,269,167,150,14,152,71,192,62
2020,10,60,"4,299","1,445",356,311,83,364,304,363,251,203,15,239,76,215,74
2020,10,70,"4,156",985,357,381,66,337,341,511,262,221,28,290,104,194,79
2020,10,80,"2,984",574,273,301,22,269,267,357,187,199,28,199,99,154,55
2020,10,90,461,91,42,45,2,43,36,58,28,33,6,27,14,23,13
2020,10,100,23,9,2,1,2,2,1,3,0,0,1,0,1,0,1
2020,11,총,"24,838","9,058","1,859","2,217",350,"1,626","1,681","2,201","1,174","1,063",111,"1,287",491,"1,335",385
2020,11,0,"1,526",670,108,175,22,39,76,103,45,39,2,76,19,130,22
2020,11,10,"1,774",854,101,175,24,68,105,129,55,47,5,77,21,104,9
2020,11,20,"1,566",775,97,124,13,98,66,115,47,54,0,61,21,69,26
2020,11,30,"1,826",898,115,165,25,63,99,115,57,44,3,74,29,120,19
2020,11,40,"2,595","1,284",146,240,36,121,141,183,72,74,9,94,37,134,24
2020,11,50,"3,612","1,468",257,296,55,225,243,266,169,150,13,149,71,192,58
2020,11,60,"4,314","1,448",359,315,82,364,306,364,248,203,16,241,75,214,79
2020,11,70,"4,144",981,357,381,64,335,341,513,263,222,27,287,103,192,78
2020,11,80,"2,998",579,275,300,25,269,267,354,189,198,29,201,100,156,56
2020,11,90,460,92,42,45,2,42,36,56,29,32,6,27,14,24,13
2020,11,100,23,9,2,1,2,2,1,3,0,0,1,0,1,0,1
2020,12,총,"24,817","9,050","1,858","2,219",353,"1,629","1,675","2,190","1,177","1,057",108,"1,286",490,"1,338",387
2020,12,0,"1,529",669,108,179,23,37,75,105,45,38,2,79,22,125,22
2020,12,10,"1,760",847,99,173,23,68,105,127,55,46,5,75,21,107,9
2020,12,20,"1,570",772,98,122,15,100,68,111,50,55,0,61,22,69,27
2020,12,30,"1,821",899,117,167,25,59,96,111,56,44,3,74,31,120,19
2020,12,40,"2,590","1,280",143,243,36,123,141,178,71,74,9,95,37,136,24
2020,12,50,"3,596","1,465",253,292,56,229,236,266,171,149,12,148,69,193,57
2020,12,60,"4,318","1,452",362,316,82,363,309,364,247,202,16,237,75,213,80
2020,12,70,"4,144",984,359,378,64,336,340,516,262,220,26,289,100,192,78
2020,12,80,"3,006",581,276,301,25,269,269,354,191,199,27,200,98,159,57
2020,12,90,460,92,41,47,2,43,35,55,29,30,7,28,14,24,13
2020,12,100,23,9,2,1,2,2,1,3,0,0,1,0,1,0,1
2021,1,총,"24,755","9,032","1,858","2,203",353,"1,619","1,666","2,186","1,178","1,058",108,"1,284",491,"1,335",384
2021,1,0,"1,524",672,109,175,24,38,72,101,45,37,2,78,24,125,22
2021,1,10,"1,750",842,99,175,23,66,106,127,53,45,5,74,20,106,9
2021,1,20,"1,558",766,97,120,15,98,66,110,51,56,0,62,22,70,25
2021,1,30,"1,798",882,117,162,24,58,93,111,57,47,3,74,31,119,20
2021,1,40,"2,590","1,279",143,244,36,123,138,178,70,74,10,98,38,135,24
2021,1,50,"3,566","1,458",250,286,54,225,237,265,171,145,11,147,69,191,57
2021,1,60,"4,334","1,464",366,317,84,362,311,364,245,206,14,235,75,213,78
2021,1,70,"4,134",982,358,375,65,337,336,516,264,218,26,289,99,192,77
2021,1,80,"3,013",582,277,302,24,268,271,355,192,197,29,199,99,160,58
2021,1,90,464,96,40,46,2,42,35,56,29,33,7,28,13,24,13
2021,1,100,24,9,2,1,2,2,1,3,1,0,1,0,1,0,1
2021,2,총,"24,724","9,039","1,853","2,198",353,"1,618","1,665","2,175","1,172","1,056",109,"1,280",495,"1,327",384
2021,2,0,"1,522",679,108,173,28,37,73,95,43,36,2,77,25,123,23
2021,2,10,"1,736",842,97,175,22,68,104,127,52,42,5,70,19,104,9
2021,2,20,"1,554",764,97,119,14,92,70,109,49,57,0,62,25,70,26
2021,2,30,"1,782",873,119,156,24,59,93,108,59,47,3,74,31,117,19
2021,2,40,"2,590","1,291",138,244,36,123,137,174,69,73,10,99,37,135,24
2021,2,50,"3,553","1,452",253,288,54,224,236,266,165,145,11,146,70,187,56
2021,2,60,"4,338","1,469",364,316,83,363,311,362,249,204,14,234,75,216,78
2021,2,70,"4,129",980,358,375,64,337,335,519,265,219,26,290,99,185,77
2021,2,80,"3,032",585,278,304,25,269,270,355,191,199,30,200,101,166,59
2021,2,90,465,95,39,47,2,44,35,57,29,34,7,28,12,24,12
2021,2,100,23,9,2,1,1,2,1,3,1,0,1,0,1,0,1
2021,3,총,"24,678","9,005","1,855","2,198",351,"1,612","1,669","2,172","1,169","1,057",106,"1,277",493,"1,325",389
2021,3,0,"1,511",670,108,169,28,38,75,95,44,36,2,78,23,122,23
2021,3,10,"1,729",837,97,178,20,67,102,130,51,42,5,68,20,103,9
2021,3,20,"1,558",765,96,120,15,88,71,109,52,59,0,57,26,73,27
2021,3,30,"1,768",861,120,156,23,59,94,111,56,46,3,74,28,116,21
2021,3,40,"2,583","1,286",140,242,35,123,138,175,69,72,8,101,36,134,24
2021,3,50,"3,534","1,453",249,289,54,224,235,259,164,143,11,144,67,186,56
2021,3,60,"4,341","1,460",369,313,84,362,310,360,250,206,14,237,80,216,80
2021,3,70,"4,118",986,352,375,64,337,337,518,260,220,25,286,97,185,76
2021,3,80,"3,049",588,284,309,25,269,269,356,192,197,30,201,103,166,60
2021,3,90,472,94,40,46,2,45,37,56,30,36,7,31,12,24,12
2021,3,100,15,5,0,1,1,0,1,3,1,0,1,0,1,0,1
2021,4,총,"24,644","8,998","1,847","2,189",348,"1,606","1,676","2,166","1,169","1,060",105,"1,277",495,"1,322",386
2021,4,0,"1,501",669,107,165,28,37,74,95,44,36,2,77,23,121,23
2021,4,10,"1,715",833,97,177,20,64,100,129,52,42,5,67,19,102,8
2021,4,20,"1,561",771,92,120,16,85,72,109,51,60,0,57,29,73,26
2021,4,30,"1,758",858,120,152,22,60,93,107,57,47,3,75,28,115,21
2021,4,40,"2,574","1,285",141,244,33,123,138,177,68,71,8,96,35,133,22
2021,4,50,"3,517","1,444",247,288,54,221,236,254,164,141,11,148,67,186,56
2021,4,60,"4,352","1,461",366,313,84,364,316,364,249,208,14,236,80,217,80
2021,4,70,"4,108",989,353,378,64,333,335,509,260,218,23,287,97,186,76
2021,4,80,"3,062",585,286,304,24,274,274,361,193,199,31,202,104,164,61
2021,4,90,481,98,38,47,2,45,37,58,30,38,7,32,12,25,12
2021,4,100,15,5,0,1,1,0,1,3,1,0,1,0,1,0,1
2021,5,총,"24,559","8,971","1,840","2,183",351,"1,599","1,687","2,145","1,150","1,063",105,"1,269",499,"1,311",386
2021,5,0,"1,498",668,107,164,28,36,76,94,43,38,2,76,24,119,23
2021,5,10,"1,708",821,97,175,21,65,102,133,52,41,5,66,19,103,8
2021,5,20,"1,554",776,92,121,16,87,70,104,49,60,0,54,29,70,26
2021,5,30,"1,741",845,121,156,23,61,97,101,54,46,3,74,27,112,21
2021,5,40,"2,541","1,283",140,239,31,116,137,165,65,73,8,95,37,131,21
2021,5,50,"3,506","1,437",244,285,56,221,240,251,163,143,10,147,67,186,56
2021,5,60,"4,350","1,466",369,310,84,364,313,365,247,206,15,236,79,215,81
2021,5,70,"4,097",988,350,377,65,330,336,501,257,220,23,287,100,188,75
2021,5,80,"3,064",582,282,308,24,274,277,371,188,199,31,201,104,161,62
2021,5,90,486,100,38,47,2,45,38,58,31,37,7,33,12,26,12
2021,5,100,14,5,0,1,1,0,1,2,1,0,1,0,1,0,1
2021,6,총,"24,509","8,974","1,830","2,184",353,"1,593","1,679","2,141","1,144","1,055",109,"1,259",496,"1,308",384
2021,6,0,"1,476",658,105,162,28,34,74,95,43,33,2,76,24,120,22
2021,6,10,"1,705",827,99,176,21,62,101,130,51,41,5,64,19,100,9
2021,6,20,"1,558",785,89,120,16,86,71,104,50,55,0,56,28,72,26
2021,6,30,"1,733",845,117,152,23,61,98,99,52,48,3,74,27,113,21
2021,6,40,"2,527","1,276",141,243,31,116,134,164,65,72,8,93,35,128,21
2021,6,50,"3,493","1,432",244,287,56,220,240,251,162,140,14,142,66,183,56
2021,6,60,"4,358","1,480",365,310,82,365,310,360,246,208,15,237,81,219,80
2021,6,70,"4,078",983,345,377,68,330,332,500,252,221,23,288,99,186,74
2021,6,80,"3,072",586,285,306,25,273,278,378,191,199,31,195,101,162,62
2021,6,90,495,97,40,50,2,46,40,58,31,38,7,34,15,25,12
2021,6,100,14,5,0,1,1,0,1,2,1,0,1,0,1,0,1
2021,7,총,"24,472","8,965","1,826","2,178",354,"1,588","1,674","2,138","1,140","1,057",107,"1,260",493,"1,303",389
2021,7,0,"1,459",650,104,160,27,35,74,91,43,33,2,76,23,119,22
2021,7,10,"1,706",827,98,176,21,61,101,134,52,40,5,64,19,99,9
2021,7,20,"1,551",784,87,117,16,84,72,102,51,54,0,56,27,72,29
2021,7,30,"1,723",843,116,152,22,60,99,98,49,48,3,75,26,111,21
2021,7,40,"2,522","1,271",141,244,32,114,132,165,64,75,8,93,33,128,22
2021,7,50,"3,474","1,429",241,282,57,219,236,247,159,140,13,143,68,183,57
2021,7,60,"4,368","1,484",368,315,82,366,308,360,243,210,15,237,81,220,79
2021,7,70,"4,065",984,345,367,69,329,331,497,253,219,23,288,98,186,76
2021,7,80,"3,091",592,287,312,25,273,280,382,193,200,30,194,102,160,61
2021,7,90,499,96,39,52,2,47,40,60,32,38,7,34,15,25,12
2021,7,100,14,5,0,1,1,0,1,2,1,0,1,0,1,0,1
2021,8,총,"24,414","8,958","1,823","2,174",354,"1,585","1,670","2,128","1,130","1,062",106,"1,244",494,"1,297",389
2021,8,0,"1,456",649,106,159,27,36,74,91,43,32,2,73,24,118,22
2021,8,10,"1,687",823,97,176,20,59,99,129,51,39,4,64,19,98,9
2021,8,20,"1,543",784,85,121,16,83,71,102,49,56,0,52,26,70,28
2021,8,30,"1,711",842,115,150,22,57,98,96,48,48,3,75,26,109,22
2021,8,40,"2,500","1,262",140,240,32,113,133,162,64,74,7,90,33,128,22
2021,8,50,"3,465","1,427",234,279,56,220,237,247,158,142,14,141,70,182,58
2021,8,60,"4,371","1,478",376,316,84,365,306,361,243,211,15,235,81,221,79
2021,8,70,"4,054",994,339,365,68,326,333,491,249,216,23,291,96,187,76
2021,8,80,"3,109",597,289,312,26,279,279,387,192,206,30,190,102,159,61
2021,8,90,503,97,42,55,2,46,39,60,32,38,7,33,16,25,11
2021,8,100,15,5,0,1,1,1,1,2,1,0,1,0,1,0,1
2021,9,총,"24,313","8,936","1,807","2,155",353,"1,579","1,663","2,124","1,126","1,062",105,"1,241",493,"1,286",383
2021,9,0,"1,440",643,105,157,27,36,74,91,42,32,2,71,24,117,19
2021,9,10,"1,679",816,98,176,20,59,97,129,51,39,4,65,19,97,9
2021,9,20,"1,506",782,80,112,15,83,67,100,45,54,0,52,28,63,25
2021,9,30,"1,686",834,111,147,24,54,93,93,48,49,3,73,24,110,23
2021,9,40,"2,505","1,262",142,239,33,111,134,165,64,75,7,91,34,126,22
2021,9,50,"3,456","1,428",229,278,53,223,238,246,159,139,13,140,70,182,58
2021,9,60,"4,359","1,477",377,317,83,362,308,356,243,213,15,232,77,221,78
2021,9,70,"4,057",995,337,364,69,328,333,492,246,219,23,293,98,186,74
2021,9,80,"3,107",596,287,310,27,276,279,390,195,205,30,190,102,159,61
2021,9,90,503,98,41,54,1,46,39,60,32,37,7,34,16,25,13
2021,9,100,15,5,0,1,1,1,1,2,1,0,1,0,1,0,1
2021,10,총,"24,255","8,931","1,803","2,152",352,"1,578","1,650","2,118","1,123","1,057",102,"1,236",490,"1,283",380
2021,10,0,"1,427",643,103,154,26,35,71,90,43,32,1,71,23,117,18
2021,10,10,"1,677",812,97,176,21,62,99,131,51,37,4,64,19,95,9
2021,10,20,"1,489",785,78,109,15,80,60,94,46,54,0,52,29,64,23
2021,10,30,"1,678",830,115,147,24,53,89,94,48,47,2,72,23,111,23
2021,10,40,"2,490","1,256",140,238,32,114,133,164,62,76,7,89,33,125,21
2021,10,50,"3,450","1,425",231,277,53,224,238,246,157,141,13,139,68,179,59
2021,10,60,"4,359","1,483",371,321,81,361,309,355,241,209,15,235,78,223,77
2021,10,70,"4,053","1,000",340,364,71,327,330,486,245,219,22,292,98,184,75
2021,10,80,"3,115",595,287,312,27,273,281,396,198,205,29,190,101,160,61
2021,10,90,502,97,41,53,1,48,39,60,31,37,8,32,17,25,13
2021,10,100,15,5,0,1,1,1,1,2,1,0,1,0,1,0,1
2021,11,총,"24,233","8,936","1,797","2,157",351,"1,568","1,639","2,122","1,125","1,054",103,"1,229",490,"1,280",382
2021,11,0,"1,410",638,101,155,24,36,66,89,43,32,1,70,22,116,17
2021,11,10,"1,680",819,93,178,22,60,98,132,50,36,4,61,20,97,10
2021,11,20,"1,486",781,78,110,16,80,62,95,47,52,0,54,27,61,23
2021,11,30,"1,676",831,115,149,23,53,85,95,47,47,2,72,24,110,23
2021,11,40,"2,473","1,252",140,236,32,111,130,160,65,77,7,86,34,122,21
2021,11,50,"3,449","1,422",228,277,53,224,240,251,157,137,14,140,68,179,59
2021,11,60,"4,366","1,485",374,324,80,356,304,354,244,211,15,238,78,227,76
2021,11,70,"4,051","1,007",336,361,72,330,331,485,242,220,22,289,97,181,78
2021,11,80,"3,118",597,291,312,27,271,279,399,198,202,29,189,102,161,61
2021,11,90,508,99,41,54,1,46,43,59,31,40,8,30,17,26,13
2021,11,100,16,5,0,1,1,1,1,3,1,0,1,0,1,0,1
2021,12,총,"24,156","8,928","1,794","2,140",343,"1,565","1,625","2,121","1,121","1,051",103,"1,225",487,"1,275",378
2021,12,0,"1,390",637,99,150,22,35,65,85,42,31,1,69,22,115,17
2021,12,10,"1,675",814,92,180,22,59,96,134,51,35,4,60,19,100,9
2021,12,20,"1,466",774,75,107,16,78,59,94,48,51,0,53,28,61,22
2021,12,30,"1,664",839,115,143,20,53,84,94,46,46,2,71,24,104,23
2021,12,40,"2,465","1,248",142,233,30,107,126,162,66,78,6,86,34,125,22
2021,12,50,"3,439","1,424",230,277,53,225,235,250,154,137,14,140,66,176,58
2021,12,60,"4,372","1,486",371,325,81,359,309,352,245,210,16,239,77,228,74
2021,12,70,"4,043","1,008",337,362,71,327,330,483,241,219,22,289,98,179,77
2021,12,80,"3,119",596,292,306,27,277,276,401,197,204,29,187,102,162,63
2021,12,90,509,97,41,56,1,44,44,63,30,40,8,31,17,25,12
2021,12,100,14,5,0,1,0,1,1,3,1,0,1,0,0,0,1
