년도,월,나이,서대문구,천연동,북아현동,충현동,신촌동,연희동,홍제제1동,홍제제3동,홍제제2동,홍은제1동,홍은제2동,남가좌제1동,남가좌제2동,북가좌제1동,북가좌제2동
2020,12,총,"149,360","8,434","7,943","10,016","8,589","17,448","11,439","7,663","6,773","11,118","13,038","7,651","14,496","8,895","15,857"
2020,12,0,"10,267",636,750,618,393,846,781,379,445,752,645,"1,079","1,326",732,885
2020,12,10,"11,870",725,530,675,416,"1,254",924,611,546,897,"1,119",693,"1,205","1,038","1,237"
2020,12,20,"24,073","1,109","1,074","1,649","2,872","3,884","1,559","1,064",926,"1,470","2,139",753,"2,091","1,050","2,433"
2020,12,30,"22,383","1,178","1,418","1,621","1,640","2,815","1,665","1,027",958,"1,522","1,825","1,100","2,268","1,125","2,221"
2020,12,40,"23,456","1,363","1,350","1,541",971,"2,445","1,828","1,101",973,"1,693","1,973","1,627","2,488","1,638","2,465"
2020,12,50,"23,979","1,491","1,375","1,663",999,"2,495","1,905","1,370","1,224","1,958","2,198","1,045","2,185","1,445","2,626"
2020,12,60,"18,100","1,045",842,"1,292",642,"1,916","1,513","1,077",955,"1,577","1,706",729,"1,573","1,035","2,198"
2020,12,70,"10,358",573,426,639,423,"1,173",864,680,502,855,983,422,948,576,"1,294"
2020,12,80,"4,329",273,149,273,202,533,361,315,216,349,413,182,368,237,458
2020,12,90,464,32,26,31,24,78,37,29,26,40,32,17,39,17,36
2020,12,100,81,9,3,14,7,9,2,10,2,5,5,4,5,2,4
2021,1,총,"149,211","8,421","7,953","10,009","8,577","17,430","11,428","7,637","6,735","11,150","13,030","7,634","14,442","8,898","15,867"
2021,1,0,"10,186",633,740,612,382,841,773,377,427,763,638,"1,066","1,324",727,883
2021,1,10,"11,827",726,536,670,415,"1,251",923,603,544,895,"1,113",696,"1,187","1,039","1,229"
2021,1,20,"23,953","1,094","1,068","1,643","2,858","3,867","1,555","1,056",925,"1,462","2,131",744,"2,072","1,046","2,432"
2021,1,30,"22,343","1,181","1,430","1,624","1,652","2,816","1,663","1,031",935,"1,526","1,821","1,089","2,249","1,121","2,205"
2021,1,40,"23,368","1,356","1,359","1,529",969,"2,418","1,820","1,092",974,"1,703","1,970","1,615","2,470","1,634","2,459"
2021,1,50,"24,016","1,497","1,374","1,674","1,001","2,504","1,900","1,364","1,218","1,956","2,206","1,054","2,185","1,445","2,638"
2021,1,60,"18,211","1,051",837,"1,296",646,"1,931","1,525","1,078",963,"1,583","1,706",740,"1,591","1,047","2,217"
2021,1,70,"10,386",570,428,638,422,"1,177",867,681,504,857,987,424,948,583,"1,300"
2021,1,80,"4,368",272,152,276,199,538,364,315,216,358,423,185,371,236,463
2021,1,90,467,32,26,33,26,77,35,30,26,42,29,17,39,18,37
2021,1,100,86,9,3,14,7,10,3,10,3,5,6,4,6,2,4
2021,2,총,"148,908","8,370","7,936","10,036","8,574","17,353","11,357","7,608","6,725","11,134","13,005","7,624","14,459","8,887","15,840"
2021,2,0,"10,092",615,728,610,379,833,764,378,420,755,625,"1,065","1,323",724,873
2021,2,10,"11,807",728,530,673,420,"1,233",912,596,549,882,"1,114",698,"1,202","1,034","1,236"
2021,2,20,"23,818","1,067","1,069","1,652","2,876","3,855","1,532","1,044",910,"1,454","2,101",732,"2,068","1,040","2,418"
2021,2,30,"22,247","1,166","1,411","1,632","1,646","2,812","1,651","1,028",940,"1,526","1,830","1,074","2,216","1,124","2,191"
2021,2,40,"23,294","1,355","1,363","1,530",960,"2,388","1,801","1,091",975,"1,692","1,961","1,617","2,480","1,624","2,457"
2021,2,50,"24,052","1,505","1,373","1,667","1,001","2,505","1,894","1,354","1,215","1,968","2,211","1,064","2,209","1,453","2,633"
2021,2,60,"18,296","1,053",853,"1,311",644,"1,925","1,533","1,079",971,"1,595","1,715",742,"1,596","1,050","2,229"
2021,2,70,"10,369",569,426,637,420,"1,175",864,679,502,859,987,424,952,582,"1,293"
2021,2,80,"4,378",270,154,277,197,538,367,320,215,356,427,186,369,235,467
2021,2,90,469,33,26,33,24,79,36,29,25,42,28,18,38,19,39
2021,2,100,86,9,3,14,7,10,3,10,3,5,6,4,6,2,4
2021,3,총,"147,655","8,246","7,845","9,900","8,535","17,215","11,297","7,550","6,637","11,034","12,928","7,534","14,344","8,848","15,742"
2021,3,0,"10,026",604,727,609,376,824,756,377,418,741,619,"1,061","1,330",717,867
2021,3,10,"11,713",721,528,659,427,"1,218",914,591,541,877,"1,107",696,"1,183","1,031","1,220"
2021,3,20,"23,825","1,058","1,057","1,644","2,895","3,867","1,541","1,044",902,"1,439","2,088",731,"2,084","1,050","2,425"
2021,3,30,"22,066","1,144","1,392","1,628","1,643","2,822","1,636","1,025",920,"1,520","1,818","1,065","2,179","1,114","2,160"
2021,3,40,"23,087","1,340","1,356","1,527",940,"2,332","1,791","1,079",970,"1,683","1,931","1,607","2,464","1,614","2,453"
2021,3,50,"23,842","1,498","1,361","1,631",994,"2,489","1,891","1,329","1,199","1,934","2,206","1,062","2,191","1,456","2,601"
2021,3,60,"18,201","1,051",844,"1,280",643,"1,917","1,521","1,069",965,"1,608","1,720",727,"1,581","1,048","2,227"
2021,3,70,"10,150",548,414,623,404,"1,138",850,675,493,839,980,394,938,567,"1,287"
2021,3,80,"4,305",259,147,268,192,532,364,321,206,357,426,175,364,232,462
2021,3,90,408,21,18,28,21,73,33,30,20,36,27,15,29,18,39
2021,3,100,32,2,1,3,0,3,0,10,3,0,6,1,1,1,1
2021,4,총,"147,264","8,207","7,802","9,875","8,565","17,145","11,252","7,530","6,609","11,009","12,911","7,528","14,325","8,826","15,680"
2021,4,0,"9,980",605,720,602,378,822,754,378,411,739,618,"1,061","1,319",722,851
2021,4,10,"11,626",714,518,656,421,"1,197",913,580,537,870,"1,104",701,"1,191","1,021","1,203"
2021,4,20,"23,721","1,036","1,050","1,639","2,902","3,860","1,531","1,043",887,"1,438","2,084",727,"2,071","1,041","2,412"
2021,4,30,"22,028","1,152","1,390","1,624","1,664","2,817","1,621","1,018",915,"1,522","1,826","1,048","2,155","1,115","2,161"
2021,4,40,"22,996","1,333","1,355","1,513",947,"2,323","1,782","1,071",964,"1,675","1,919","1,621","2,460","1,603","2,430"
2021,4,50,"23,782","1,489","1,351","1,628",983,"2,484","1,893","1,332","1,199","1,930","2,203","1,050","2,188","1,458","2,594"
2021,4,60,"18,258","1,049",842,"1,291",653,"1,906","1,512","1,069",972,"1,611","1,720",734,"1,608","1,048","2,243"
2021,4,70,"10,093",547,409,625,399,"1,126",841,675,491,826,972,393,934,565,"1,290"
2021,4,80,"4,340",259,149,264,197,535,372,323,210,363,432,177,368,233,458
2021,4,90,408,21,17,30,20,72,33,31,20,35,27,15,30,19,38
2021,4,100,32,2,1,3,1,3,0,10,3,0,6,1,1,1,0
2021,5,총,"147,056","8,199","7,787","9,892","8,584","17,071","11,263","7,494","6,589","10,989","12,862","7,528","14,336","8,818","15,644"
2021,5,0,"9,919",596,712,602,381,810,747,371,412,732,609,"1,063","1,331",708,845
2021,5,10,"11,575",714,511,651,413,"1,193",912,583,530,862,"1,084",704,"1,187","1,030","1,201"
2021,5,20,"23,665","1,036","1,048","1,643","2,910","3,861","1,530","1,032",890,"1,431","2,081",725,"2,063","1,035","2,380"
2021,5,30,"22,010","1,150","1,388","1,622","1,689","2,798","1,622","1,010",903,"1,522","1,832","1,045","2,154","1,116","2,159"
2021,5,40,"22,882","1,318","1,350","1,515",948,"2,307","1,777","1,071",962,"1,664","1,894","1,614","2,451","1,593","2,418"
2021,5,50,"23,761","1,488","1,349","1,633",981,"2,470","1,894","1,327","1,188","1,923","2,203","1,050","2,204","1,449","2,602"
2021,5,60,"18,340","1,061",848,"1,295",650,"1,901","1,525","1,065",984,"1,623","1,721",741,"1,614","1,060","2,252"
2021,5,70,"10,096",551,413,630,392,"1,124",849,673,485,830,969,389,932,572,"1,287"
2021,5,80,"4,358",262,150,267,198,532,373,320,211,366,433,181,368,235,462
2021,5,90,415,21,17,31,21,72,34,30,21,36,29,15,31,19,38
2021,5,100,35,2,1,3,1,3,0,12,3,0,7,1,1,1,0
2021,6,총,"146,844","8,173","7,758","9,915","8,613","16,994","11,242","7,476","6,562","10,988","12,835","7,516","14,393","8,795","15,584"
2021,6,0,"9,891",593,709,601,367,808,742,372,416,732,609,"1,064","1,343",702,833
2021,6,10,"11,511",712,513,646,414,"1,188",909,580,523,859,"1,082",703,"1,175","1,022","1,185"
2021,6,20,"23,613","1,020","1,047","1,650","2,933","3,824","1,530","1,022",883,"1,446","2,077",723,"2,074","1,035","2,349"
2021,6,30,"21,948","1,144","1,378","1,634","1,700","2,781","1,617","1,011",901,"1,516","1,820","1,033","2,166","1,097","2,150"
2021,6,40,"22,809","1,318","1,342","1,505",950,"2,303","1,763","1,058",949,"1,663","1,890","1,606","2,455","1,590","2,417"
2021,6,50,"23,729","1,487","1,335","1,641",981,"2,457","1,883","1,330","1,187","1,906","2,199","1,058","2,211","1,451","2,603"
2021,6,60,"18,439","1,064",853,"1,311",656,"1,907","1,536","1,067",981,"1,635","1,726",745,"1,638","1,069","2,251"
2021,6,70,"10,060",548,413,629,390,"1,119",847,678,483,822,968,383,921,570,"1,289"
2021,6,80,"4,396",264,151,263,200,532,382,317,215,373,429,185,377,239,469
2021,6,90,413,21,16,32,20,72,33,29,22,36,28,15,32,19,38
2021,6,100,35,2,1,3,2,3,0,12,2,0,7,1,1,1,0
2021,7,총,"146,724","8,154","7,748","9,896","8,654","16,952","11,224","7,476","6,555","10,978","12,850","7,507","14,384","8,774","15,572"
2021,7,0,"9,836",583,706,600,370,795,743,367,414,742,606,"1,067","1,332",693,818
2021,7,10,"11,494",712,509,643,416,"1,187",904,574,522,850,"1,080",707,"1,174","1,016","1,200"
2021,7,20,"23,594","1,017","1,042","1,655","2,963","3,804","1,530","1,022",873,"1,441","2,081",715,"2,075","1,035","2,341"
2021,7,30,"21,933","1,133","1,375","1,624","1,714","2,764","1,618","1,018",895,"1,511","1,840","1,027","2,163","1,096","2,155"
2021,7,40,"22,726","1,311","1,333","1,494",938,"2,304","1,741","1,056",955,"1,654","1,879","1,601","2,450","1,590","2,420"
2021,7,50,"23,737","1,490","1,344","1,628",982,"2,466","1,897","1,323","1,189","1,905","2,202","1,066","2,214","1,438","2,593"
2021,7,60,"18,495","1,073",852,"1,325",661,"1,917","1,526","1,075",983,"1,641","1,727",741,"1,638","1,079","2,257"
2021,7,70,"10,040",545,417,628,389,"1,099",848,681,486,829,969,378,927,568,"1,276"
2021,7,80,"4,421",266,152,265,199,542,385,318,214,370,430,188,377,240,475
2021,7,90,413,22,17,31,20,71,32,30,22,35,29,16,33,18,37
2021,7,100,35,2,1,3,2,3,0,12,2,0,7,1,1,1,0
2021,8,총,"146,553","8,143","7,722","9,883","8,684","16,943","11,211","7,474","6,509","10,981","12,870","7,475","14,393","8,764","15,501"
2021,8,0,"9,781",584,714,605,353,789,741,366,407,740,602,"1,064","1,315",691,810
2021,8,10,"11,425",704,497,629,425,"1,180",903,567,515,852,"1,082",705,"1,175","1,016","1,175"
2021,8,20,"23,587","1,014","1,036","1,639","2,983","3,815","1,523","1,025",868,"1,426","2,080",709,"2,100","1,032","2,337"
2021,8,30,"21,933","1,129","1,364","1,633","1,721","2,775","1,609","1,021",898,"1,514","1,858","1,011","2,167","1,091","2,142"
2021,8,40,"22,598","1,306","1,323","1,485",940,"2,283","1,742","1,045",938,"1,646","1,869","1,592","2,434","1,588","2,407"
2021,8,50,"23,692","1,488","1,349","1,626",988,"2,472","1,895","1,319","1,172","1,904","2,195","1,064","2,200","1,435","2,585"
2021,8,60,"18,619","1,076",851,"1,345",665,"1,920","1,530","1,090",990,"1,654","1,746",740,"1,665","1,086","2,261"
2021,8,70,"10,015",552,417,619,389,"1,093",846,673,480,832,970,385,922,563,"1,274"
2021,8,80,"4,456",266,153,269,198,544,390,326,219,376,431,186,380,243,475
2021,8,90,412,22,17,30,20,69,32,30,20,37,30,18,34,18,35
2021,8,100,35,2,1,3,2,3,0,12,2,0,7,1,1,1,0
2021,9,총,"146,388","8,131","7,712","9,869","8,739","16,926","11,164","7,470","6,501","10,964","12,884","7,460","14,379","8,742","15,447"
2021,9,0,"9,732",578,712,601,353,791,729,365,404,740,604,"1,068","1,309",690,788
2021,9,10,"11,381",701,493,626,428,"1,170",908,566,513,844,"1,084",702,"1,158","1,012","1,176"
2021,9,20,"23,553","1,013","1,027","1,639","3,015","3,839","1,504","1,018",860,"1,410","2,069",701,"2,112","1,020","2,326"
2021,9,30,"21,854","1,131","1,359","1,620","1,724","2,753","1,599","1,023",895,"1,509","1,873","1,006","2,163","1,079","2,120"
2021,9,40,"22,569","1,298","1,325","1,485",947,"2,285","1,731","1,047",930,"1,636","1,864","1,586","2,436","1,588","2,411"
2021,9,50,"23,674","1,489","1,347","1,623",984,"2,463","1,890","1,318","1,166","1,915","2,194","1,066","2,205","1,436","2,578"
2021,9,60,"18,672","1,077",859,"1,349",673,"1,916","1,537","1,090","1,008","1,661","1,752",737,"1,661","1,090","2,262"
