년도,월,나이,중구,동인동,삼덕동,성내1동,성내2동,성내3동,대신동,남산1동,남산2동,남산3동,남산4동,대봉1동,대봉2동
2020,12,20,"5,660",714,805,624,383,320,421,408,310,332,685,516,142
2020,12,30,"5,567",632,650,433,344,518,672,317,315,465,684,430,107
2020,12,40,"5,470",618,477,288,269,375,612,349,291,551,900,565,175
2020,12,50,"5,597",701,336,338,405,362,570,409,355,509,824,588,200
2020,12,60,"4,719",601,255,294,397,334,520,325,245,406,727,434,181
2020,12,70,"3,106",397,157,175,257,194,277,231,197,281,485,292,163
2020,12,80,"1,256",158,71,67,92,62,105,84,79,105,194,174,65
2020,12,90,117,16,8,12,10,6,9,3,4,9,14,20,6
2020,12,100,21,2,1,4,3,1,1,1,3,0,3,2,0
2021,1,총,"36,724","4,194","3,182","2,442","2,320","2,577","3,958","2,425","2,070","3,234","5,566","3,608","1,148"
2021,1,0,"2,628",145,224,84,69,291,435,141,125,322,480,274,38
2021,1,10,"2,601",246,185,115,94,121,314,149,140,266,564,318,89
2021,1,20,"5,682",695,818,638,384,319,426,412,311,330,692,517,140
2021,1,30,"5,548",636,655,432,341,512,675,320,316,455,672,428,106
2021,1,40,"5,449",608,477,286,266,378,616,350,291,546,897,561,173
2021,1,50,"5,570",693,334,332,410,360,571,404,353,508,829,583,193
2021,1,60,"4,729",600,254,298,393,333,528,329,247,404,730,435,178
2021,1,70,"3,109",395,153,175,256,194,275,230,198,288,489,294,162
2021,1,80,"1,268",156,73,66,94,62,108,86,81,107,196,176,63
2021,1,90,119,18,8,12,10,6,9,3,5,8,14,20,6
2021,1,100,21,2,1,4,3,1,1,1,3,0,3,2,0
2021,2,총,"36,586","4,185","3,189","2,447","2,304","2,573","3,942","2,407","2,060","3,222","5,569","3,572","1,116"
2021,2,0,"2,592",143,220,85,68,287,431,138,125,310,477,271,37
2021,2,10,"2,586",249,183,115,94,117,311,147,136,267,570,310,87
2021,2,20,"5,641",689,821,635,375,317,428,409,308,335,685,504,135
2021,2,30,"5,544",634,665,435,348,511,658,320,316,448,672,432,105
2021,2,40,"5,394",603,476,282,256,379,622,340,293,543,892,544,164
2021,2,50,"5,561",693,335,333,409,358,571,400,346,508,831,584,193
2021,2,60,"4,763",609,254,306,394,336,530,331,250,408,734,435,176
2021,2,70,"3,082",386,151,172,254,198,269,231,195,286,492,291,157
2021,2,80,"1,280",158,75,68,93,63,112,86,83,108,200,177,57
2021,2,90,123,19,8,12,10,6,9,4,5,9,14,22,5
2021,2,100,20,2,1,4,3,1,1,1,3,0,2,2,0
2021,3,총,"36,334","4,162","3,183","2,416","2,286","2,542","3,914","2,410","2,051","3,215","5,536","3,542","1,077"
2021,3,0,"2,556",140,216,85,63,287,427,137,124,311,467,264,35
2021,3,10,"2,565",246,184,111,93,117,310,144,134,266,568,307,85
2021,3,20,"5,615",693,826,626,383,302,424,416,307,334,676,495,133
2021,3,30,"5,502",633,659,424,340,513,648,314,316,449,666,432,108
2021,3,40,"5,368",602,469,283,255,378,619,340,294,540,894,537,157
2021,3,50,"5,536",693,340,329,400,353,568,401,341,508,833,584,186
2021,3,60,"4,744",601,256,306,397,336,528,331,247,406,729,437,170
2021,3,70,"3,060",378,150,171,249,196,267,238,196,284,494,289,148
2021,3,80,"1,261",158,74,70,93,57,113,84,84,109,193,175,51
2021,3,90,112,17,8,10,10,3,8,4,5,8,14,21,4
2021,3,100,15,1,1,1,3,0,2,1,3,0,2,1,0
2021,4,총,"36,199","4,131","3,176","2,401","2,279","2,519","3,921","2,409","2,043","3,207","5,522","3,532","1,059"
2021,4,0,"2,540",139,212,82,63,284,431,139,125,311,461,260,33
2021,4,10,"2,552",243,181,112,92,112,309,143,134,267,571,307,81
2021,4,20,"5,572",689,824,626,379,293,424,417,299,334,663,494,130
2021,4,30,"5,491",623,667,426,342,510,644,319,321,447,661,423,108
2021,4,40,"5,337",592,465,278,254,376,618,340,291,540,892,537,154
2021,4,50,"5,532",687,335,327,402,349,573,401,341,508,838,587,184
2021,4,60,"4,740",606,262,303,391,341,527,330,245,406,726,436,167
2021,4,70,"3,043",376,148,165,250,194,270,234,194,277,496,291,148
2021,4,80,"1,266",159,73,71,93,57,115,81,85,109,197,176,50
2021,4,90,111,16,8,10,10,3,8,4,5,8,15,20,4
2021,4,100,15,1,1,1,3,0,2,1,3,0,2,1,0
2021,5,총,"36,106","4,114","3,180","2,411","2,277","2,492","3,905","2,407","2,044","3,204","5,501","3,515","1,056"
2021,5,0,"2,515",139,210,78,62,285,429,137,123,306,453,258,35
2021,5,10,"2,556",236,184,111,91,111,309,144,133,273,579,307,78
2021,5,20,"5,549",687,824,634,376,288,425,415,296,335,654,482,133
2021,5,30,"5,468",625,660,429,349,496,632,322,324,440,658,426,107
2021,5,40,"5,322",589,468,279,252,381,617,338,291,543,888,524,152
2021,5,50,"5,518",682,338,327,402,337,572,403,340,507,834,595,181
2021,5,60,"4,740",600,267,305,389,339,527,330,250,407,725,431,170
2021,5,70,"3,049",381,146,167,249,195,268,233,195,277,498,293,147
2021,5,80,"1,260",159,74,70,94,57,116,80,83,107,195,177,48
2021,5,90,114,15,8,10,10,3,8,4,6,9,15,21,5
2021,5,100,15,1,1,1,3,0,2,1,3,0,2,1,0
2021,6,총,"35,922","4,103","3,161","2,389","2,273","2,485","3,904","2,381","2,029","3,178","5,489","3,500","1,030"
2021,6,0,"2,498",132,211,78,61,287,426,132,124,304,450,258,35
2021,6,10,"2,558",237,185,113,92,112,308,141,133,273,577,309,78
2021,6,20,"5,516",691,817,633,371,286,424,409,289,331,656,480,129
2021,6,30,"5,432",626,658,426,356,492,632,325,309,436,648,421,103
2021,6,40,"5,317",582,469,275,257,386,619,339,299,539,884,522,146
2021,6,50,"5,477",678,339,324,393,330,571,396,336,500,832,598,180
2021,6,60,"4,722",600,259,300,387,340,525,332,252,407,731,425,164
2021,6,70,"3,020",381,147,163,251,190,272,222,195,272,493,291,143
2021,6,80,"1,255",160,69,66,92,59,116,80,83,107,201,175,47
2021,6,90,113,15,7,10,10,3,9,4,6,9,15,20,5
2021,6,100,14,1,0,1,3,0,2,1,3,0,2,1,0
2021,7,총,"35,757","4,085","3,155","2,363","2,257","2,474","3,902","2,373","2,039","3,175","5,469","3,457","1,008"
2021,7,0,"2,477",129,206,77,60,286,420,131,128,306,449,251,34
2021,7,10,"2,533",238,185,111,91,110,309,134,135,267,569,307,77
2021,7,20,"5,471",686,808,622,373,280,423,411,289,332,650,476,121
2021,7,30,"5,420",620,671,423,350,494,621,332,309,434,648,416,102
2021,7,40,"5,288",579,461,270,255,391,627,332,302,540,877,511,143
2021,7,50,"5,454",679,341,321,386,321,572,393,338,498,835,593,177
2021,7,60,"4,708",596,257,297,389,338,529,332,250,412,730,417,161
2021,7,70,"3,008",379,151,167,244,192,271,223,195,270,492,284,140
2021,7,80,"1,266",162,67,65,95,60,119,80,83,107,201,179,48
2021,7,90,118,16,8,9,11,2,9,4,7,9,16,22,5
2021,7,100,14,1,0,1,3,0,2,1,3,0,2,1,0
2021,8,총,"35,580","4,076","3,146","2,372","2,238","2,453","3,901","2,376","2,046","3,146","5,430","3,394","1,002"
2021,8,0,"2,476",127,207,80,59,284,427,132,130,303,443,250,34
2021,8,10,"2,505",238,188,112,88,105,303,137,131,265,564,296,78
2021,8,20,"5,451",691,801,621,370,278,417,419,289,330,644,468,123
2021,8,30,"5,370",617,664,425,344,483,626,324,310,430,632,413,102
2021,8,40,"5,252",569,458,272,257,391,626,332,302,536,873,499,137
2021,8,50,"5,436",681,344,322,381,322,569,395,342,492,825,587,176
2021,8,60,"4,707",592,259,297,390,336,534,336,252,407,734,408,162
2021,8,70,"2,994",376,152,168,240,191,272,218,196,268,495,279,139
2021,8,80,"1,256",168,65,65,95,61,117,77,84,105,202,171,46
2021,8,90,120,16,8,9,11,2,9,5,7,10,16,22,5
2021,8,100,13,1,0,1,3,0,1,1,3,0,2,1,0
2021,9,총,"35,535","4,082","3,169","2,358","2,236","2,450","3,887","2,356","2,094","3,141","5,412","3,360",990
2021,9,0,"2,471",130,207,81,56,283,423,135,138,298,440,246,34
2021,9,10,"2,495",235,185,110,92,107,300,135,131,267,565,292,76
2021,9,20,"5,479",693,824,607,376,277,423,418,295,331,639,471,125
2021,9,30,"5,355",617,666,432,343,476,616,321,324,433,626,400,101
2021,9,40,"5,259",574,458,274,258,393,631,327,313,536,867,493,135
2021,9,50,"5,407",680,339,316,381,320,566,386,343,487,825,589,175
2021,9,60,"4,706",597,266,293,386,339,530,336,260,408,731,404,156
2021,9,70,"2,975",369,151,167,238,192,270,217,195,267,501,269,139
2021,9,80,"1,257",170,65,68,93,61,118,75,85,103,202,173,44
2021,9,90,118,16,8,9,10,2,9,5,7,11,14,22,5
2021,9,100,13,1,0,1,3,0,1,1,3,0,2,1,0
2021,10,총,"35,858","4,080","3,151","2,331","2,220","2,434","3,850","2,341","2,703","3,121","5,391","3,262",974
2021,10,0,"2,559",128,208,75,55,285,423,135,254,290,433,240,33
2021,10,10,"2,513",229,185,113,91,108,289,133,176,272,562,281,74
2021,10,20,"5,467",708,799,593,377,270,418,411,347,326,638,455,125
2021,10,30,"5,460",611,674,431,341,472,602,318,471,434,622,387,97
2021,10,40,"5,317",570,460,261,256,391,630,325,418,535,860,478,133
2021,10,50,"5,473",685,336,319,371,319,563,387,425,480,834,579,175
2021,10,60,"4,711",594,263,295,385,335,528,337,305,406,720,391,152
2021,10,70,"2,971",369,151,166,238,190,273,216,208,265,503,257,135
2021,10,80,"1,257",168,67,68,93,62,116,73,89,102,202,171,46
2021,10,90,118,17,8,9,10,2,8,5,7,11,15,22,4
2021,10,100,12,1,0,1,3,0,0,1,3,0,2,1,0
2021,11,총,"35,927","4,071","3,130","2,312","2,203","2,421","3,829","2,328","2,967","3,097","5,373","3,236",960
2021,11,0,"2,566",129,206,76,55,280,415,129,302,283,426,234,31
2021,11,10,"2,536",228,188,107,88,111,288,134,201,272,562,282,75
2021,11,20,"5,450",710,781,586,380,270,413,407,367,327,633,451,125
2021,11,30,"5,458",605,671,426,334,464,604,321,512,426,618,384,93
2021,11,40,"5,341",575,457,262,253,392,620,323,474,530,854,471,130
2021,11,50,"5,491",678,337,319,372,315,559,388,457,479,834,580,173
2021,11,60,"4,727",593,263,292,380,332,529,335,332,406,725,391,149
2021,11,70,"2,964",366,151,163,237,193,272,214,225,259,500,251,133
2021,11,80,"1,271",168,68,71,94,62,119,72,90,104,206,170,47
2021,11,90,120,18,8,9,10,2,10,5,7,11,15,21,4
2021,11,100,3,1,0,1,0,0,0,0,0,0,0,1,0
2021,12,총,"35,948","4,039","3,123","2,332","2,204","2,408","3,827","2,295","3,100","3,083","5,358","3,232",947
2021,12,0,"2,562",124,201,76,56,278,413,125,322,278,424,234,31
2021,12,10,"2,548",224,187,109,89,109,289,133,217,276,557,284,74
2021,12,20,"5,442",705,773,596,379,275,406,407,372,323,630,453,123
2021,12,30,"5,469",596,674,439,339,454,607,318,545,418,608,378,93
2021,12,40,"5,361",567,456,267,254,400,619,310,504,531,855,470,128
2021,12,50,"5,493",672,339,316,369,312,563,383,473,480,834,583,169
2021,12,60,"4,726",596,269,289,378,325,525,336,339,401,731,393,144
2021,12,70,"2,941",366,147,159,236,194,275,206,227,263,496,241,131
2021,12,80,"1,283",169,69,71,92,59,121,72,94,103,208,175,50
2021,12,90,120,19,8,9,12,2,9,5,7,10,15,20,4
2021,12,100,3,1,0,1,0,0,0,0,0,0,0,1,0
