년도,월,나이,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2020,3,70,"10,481",605,470,273,811,454,800,160,605,403,199,521,214,351,573,390,286,811,427,"1,143",549,436
2020,3,80,"4,876",332,247,148,495,249,336,63,334,240,109,328,114,165,207,183,98,295,145,393,201,194
2020,3,90,771,43,26,19,95,41,54,13,54,40,23,45,18,22,29,27,16,46,30,62,34,34
2020,3,100,38,3,1,0,8,2,3,0,2,1,0,1,1,6,3,0,0,2,0,2,1,2
2020,4,총,"247,427","7,712","3,174","1,600","7,334","3,016","12,277","1,120","8,451","3,705","1,112","3,236","1,404","6,529","9,744","27,647","7,245","26,716","20,801","36,245","34,681","23,678"
2020,4,0,"28,122",539,85,32,420,69,"1,572",36,550,218,30,82,58,477,590,"4,759",619,"2,727","1,675","3,797","6,118","3,669"
2020,4,10,"28,038",630,138,63,604,159,"1,090",56,693,272,30,132,75,681,"1,025","3,317",634,"3,128","2,324","4,395","4,876","3,716"
2020,4,20,"24,833",686,258,91,589,238,973,80,835,320,65,238,76,701,"1,059","2,497",840,"2,976","2,855","4,179","3,070","2,207"
2020,4,30,"39,038",820,222,86,660,163,"1,981",77,978,355,67,195,103,771,"1,008","6,415","1,131","3,916","3,550","5,510","7,153","3,877"
2020,4,40,"47,480","1,228",381,165,"1,015",335,"2,160",116,"1,440",494,112,408,185,"1,264","1,724","5,800","1,323","4,975","4,482","7,115","7,361","5,397"
2020,4,50,"38,724","1,580",651,338,"1,310",618,"1,910",234,"1,718",679,212,626,249,"1,255","2,016","2,903","1,343","4,790","3,707","5,989","3,731","2,865"
2020,4,60,"24,937","1,243",693,385,"1,323",691,"1,392",284,"1,232",685,263,657,307,835,"1,504","1,354",950,"3,033","1,605","3,646","1,576","1,279"
2020,4,70,"10,537",605,471,271,813,450,799,160,611,405,200,522,216,354,580,393,288,827,423,"1,150",561,438
2020,4,80,"4,900",334,248,150,495,251,343,64,338,235,110,330,116,164,208,180,101,295,149,399,197,193
2020,4,90,777,44,26,19,97,41,53,13,54,41,23,45,18,20,27,29,16,47,30,62,37,35
2020,4,100,41,3,1,0,8,1,4,0,2,1,0,1,1,7,3,0,0,2,1,3,1,2
2020,5,총,"247,096","7,742","3,156","1,603","7,338","3,005","12,272","1,114","8,393","3,691","1,105","3,221","1,402","6,483","9,721","27,572","7,241","26,648","20,814","36,235","34,630","23,710"
2020,5,0,"27,979",546,80,30,427,67,"1,570",34,547,220,28,81,56,468,589,"4,738",614,"2,710","1,669","3,763","6,079","3,663"
2020,5,10,"27,969",633,138,63,600,160,"1,093",56,695,267,31,129,77,678,"1,021","3,307",633,"3,111","2,311","4,385","4,863","3,718"
2020,5,20,"24,770",687,257,91,586,235,967,77,823,318,62,234,77,683,"1,049","2,478",850,"2,950","2,875","4,189","3,066","2,216"
2020,5,30,"38,752",824,215,91,662,156,"1,962",74,961,352,67,194,100,766,"1,008","6,355","1,105","3,884","3,535","5,488","7,101","3,852"
2020,5,40,"47,480","1,224",374,164,"1,012",331,"2,162",115,"1,422",487,111,401,185,"1,253","1,714","5,833","1,332","4,981","4,481","7,100","7,370","5,428"
2020,5,50,"38,780","1,591",651,333,"1,305",616,"1,924",235,"1,703",676,209,620,243,"1,259","2,004","2,902","1,344","4,794","3,706","6,014","3,765","2,886"
2020,5,60,"25,048","1,252",692,389,"1,331",688,"1,395",281,"1,240",688,261,661,311,833,"1,515","1,352",954,"3,039","1,628","3,669","1,592","1,277"
2020,5,70,"10,594",605,470,273,812,459,793,164,613,403,204,524,217,356,581,397,294,832,432,"1,163",564,438
2020,5,80,"4,906",335,252,150,498,252,351,65,335,237,109,331,117,161,208,179,99,298,147,398,190,194
2020,5,90,777,42,26,19,96,39,51,13,53,42,23,45,18,19,29,31,16,47,29,64,39,36
2020,5,100,41,3,1,0,9,2,4,0,1,1,0,1,1,7,3,0,0,2,1,2,1,2
2020,6,총,"246,878","7,782","3,153","1,611","7,319","2,996","12,242","1,112","8,385","3,670","1,101","3,216","1,398","6,443","9,661","27,576","7,257","26,629","20,752","36,186","34,688","23,701"
2020,6,0,"27,837",547,80,30,424,66,"1,549",37,546,214,28,80,58,456,578,"4,726",614,"2,694","1,657","3,745","6,066","3,642"
2020,6,10,"27,948",636,132,64,597,162,"1,097",54,691,268,29,124,76,672,"1,008","3,315",633,"3,090","2,306","4,366","4,906","3,722"
2020,6,20,"24,666",687,250,91,585,233,941,73,813,308,63,233,76,683,"1,046","2,468",851,"2,947","2,867","4,186","3,047","2,218"
2020,6,30,"38,498",835,218,91,651,158,"1,947",76,961,347,68,191,98,744,993,"6,330","1,100","3,857","3,483","5,458","7,056","3,836"
2020,6,40,"47,519","1,228",376,165,"1,006",324,"2,172",115,"1,423",481,112,400,183,"1,248","1,703","5,853","1,340","4,998","4,474","7,089","7,405","5,424"
2020,6,50,"38,792","1,591",644,335,"1,300",605,"1,923",235,"1,697",672,208,620,245,"1,258","1,979","2,913","1,347","4,790","3,711","6,005","3,815","2,899"
2020,6,60,"25,262","1,271",694,388,"1,349",697,"1,407",281,"1,247",696,257,666,309,838,"1,530","1,366",960,"3,072","1,642","3,708","1,599","1,285"
2020,6,70,"10,645",612,477,279,812,458,798,165,612,403,205,523,218,361,584,399,295,834,436,"1,166",564,444
2020,6,80,"4,897",330,253,149,490,252,355,64,342,236,109,333,116,158,207,174,101,300,146,400,189,193
2020,6,90,770,41,28,19,96,39,49,12,52,44,22,45,18,17,29,32,16,45,29,61,40,36
2020,6,100,44,4,1,0,9,2,4,0,1,1,0,1,1,8,4,0,0,2,1,2,1,2
2020,7,총,"246,660","7,830","3,157","1,610","7,324","2,994","12,245","1,117","8,371","3,668","1,099","3,208","1,393","6,427","9,631","27,511","7,265","26,597","20,677","36,124","34,741","23,671"
2020,7,0,"27,709",551,81,33,428,66,"1,544",37,540,209,28,80,57,446,575,"4,715",615,"2,659","1,638","3,723","6,076","3,608"
2020,7,10,"27,923",639,131,64,594,161,"1,102",52,687,271,28,122,71,671,"1,001","3,315",630,"3,100","2,297","4,366","4,896","3,725"
2020,7,20,"24,558",688,245,86,578,229,939,74,801,307,60,233,78,687,"1,040","2,463",853,"2,927","2,849","4,165","3,039","2,217"
2020,7,30,"38,220",835,220,90,662,159,"1,926",79,960,341,67,185,98,733,986,"6,264","1,104","3,818","3,445","5,402","7,039","3,807"
2020,7,40,"47,552","1,234",378,162,994,319,"2,187",113,"1,419",483,109,395,183,"1,243","1,689","5,888","1,330","5,004","4,477","7,094","7,425","5,426"
2020,7,50,"38,843","1,609",643,337,"1,299",603,"1,920",241,"1,705",672,209,618,245,"1,260","1,977","2,893","1,348","4,811","3,693","6,002","3,848","2,910"
2020,7,60,"25,443","1,282",692,390,"1,355",704,"1,416",281,"1,256",695,261,672,306,838,"1,534","1,376",974,"3,092","1,661","3,740","1,615","1,303"
2020,7,70,"10,703",617,482,279,811,459,806,164,610,414,205,524,219,364,588,398,293,838,444,"1,175",569,444
2020,7,80,"4,894",331,256,149,496,252,353,64,342,232,110,333,117,160,207,168,103,300,142,393,192,194
2020,7,90,771,41,28,20,98,40,48,12,50,43,22,45,18,17,30,31,15,46,30,61,41,35
2020,7,100,44,3,1,0,9,2,4,0,1,1,0,1,1,8,4,0,0,2,1,3,1,2
2020,8,총,"246,402","7,858","3,157","1,604","7,334","2,981","12,241","1,119","8,351","3,656","1,101","3,202","1,398","6,391","9,603","27,470","7,266","26,577","20,603","36,055","34,733","23,702"
2020,8,0,"27,507",556,83,29,429,65,"1,530",38,533,199,27,82,60,435,570,"4,669",618,"2,632","1,615","3,700","6,034","3,603"
2020,8,10,"27,935",644,127,63,599,161,"1,111",52,684,277,29,117,73,666,992,"3,340",630,"3,093","2,291","4,355","4,899","3,732"
2020,8,20,"24,479",687,246,84,570,228,948,72,791,301,57,230,76,687,"1,037","2,446",844,"2,914","2,831","4,157","3,049","2,224"
2020,8,30,"37,909",837,223,88,655,152,"1,900",79,940,336,69,186,102,719,981,"6,218","1,096","3,806","3,416","5,339","6,970","3,797"
2020,8,40,"47,596","1,244",372,160,991,317,"2,193",114,"1,432",481,110,396,178,"1,234","1,677","5,918","1,343","4,991","4,462","7,092","7,456","5,435"
2020,8,50,"38,852","1,591",639,341,"1,312",595,"1,907",240,"1,696",674,208,613,249,"1,265","1,973","2,891","1,334","4,809","3,700","5,998","3,884","2,933"
2020,8,60,"25,688","1,308",701,389,"1,362",709,"1,437",285,"1,269",697,264,675,307,839,"1,544","1,388",983,"3,143","1,669","3,775","1,633","1,311"
2020,8,70,"10,717",616,482,279,810,463,808,164,607,413,206,526,216,363,589,401,298,840,443,"1,178",574,441
2020,8,80,"4,898",330,256,151,500,250,354,64,346,233,108,329,116,158,206,168,105,300,144,396,192,192
2020,8,90,777,41,27,20,97,39,49,11,52,44,23,47,20,17,30,31,15,47,31,63,41,32
2020,8,100,44,4,1,0,9,2,4,0,1,1,0,1,1,8,4,0,0,2,1,2,1,2
2020,9,총,"246,231","7,874","3,146","1,599","7,320","2,998","12,223","1,123","8,343","3,646","1,101","3,193","1,398","6,383","9,587","27,463","7,275","26,576","20,589","35,968","34,730","23,696"
2020,9,0,"27,314",557,84,26,424,71,"1,511",39,531,196,27,83,59,429,570,"4,643",611,"2,604","1,617","3,647","6,006","3,579"
2020,9,10,"27,960",641,128,63,599,163,"1,115",56,687,275,26,117,72,669,977,"3,363",642,"3,092","2,282","4,366","4,908","3,719"
2020,9,20,"24,410",678,244,84,565,229,955,70,788,301,56,223,73,679,"1,034","2,431",840,"2,922","2,828","4,142","3,034","2,234"
2020,9,30,"37,598",840,222,87,644,154,"1,882",79,922,330,67,186,104,711,977,"6,172","1,088","3,767","3,393","5,281","6,915","3,777"
2020,9,40,"47,575","1,239",367,158,993,320,"2,202",115,"1,430",476,113,386,172,"1,232","1,665","5,948","1,340","4,996","4,436","7,067","7,484","5,436"
2020,9,50,"38,953","1,602",637,339,"1,311",598,"1,898",241,"1,698",668,209,614,254,"1,259","1,971","2,893","1,336","4,826","3,712","6,018","3,918","2,951"
2020,9,60,"25,955","1,326",701,390,"1,366",708,"1,443",284,"1,281",705,265,684,312,858,"1,565","1,411",997,"3,168","1,700","3,804","1,659","1,328"
2020,9,70,"10,730",618,483,279,814,465,810,164,608,415,203,523,214,361,588,402,300,849,444,"1,170",576,444
2020,9,80,"4,902",328,249,154,493,249,353,64,344,235,111,330,116,159,207,167,107,304,146,405,187,194
2020,9,90,789,41,30,19,101,39,50,11,53,44,24,46,21,18,29,33,14,46,30,66,42,32
2020,9,100,45,4,1,0,10,2,4,0,1,1,0,1,1,8,4,0,0,2,1,2,1,2
2020,10,총,"246,133","7,904","3,135","1,608","7,329","2,986","12,207","1,124","8,306","3,649","1,099","3,193","1,398","6,346","9,548","27,466","7,291","26,573","20,592","35,906","34,752","23,721"
2020,10,0,"27,108",559,83,29,417,67,"1,489",41,521,194,27,83,55,429,558,"4,618",604,"2,596","1,609","3,617","5,958","3,554"
2020,10,10,"27,928",641,123,62,599,161,"1,124",57,673,274,25,116,72,659,979,"3,371",633,"3,071","2,281","4,341","4,940","3,726"
2020,10,20,"24,487",681,243,87,569,227,954,68,801,299,55,222,71,683,"1,031","2,442",853,"2,922","2,834","4,151","3,050","2,244"
2020,10,30,"37,222",828,218,88,644,153,"1,862",80,906,329,66,183,103,694,956,"6,120","1,083","3,743","3,357","5,210","6,849","3,750"
2020,10,40,"47,580","1,241",362,156,995,320,"2,204",113,"1,405",470,113,389,171,"1,225","1,647","5,975","1,347","4,987","4,447","7,074","7,511","5,428"
2020,10,50,"39,115","1,620",639,341,"1,305",595,"1,907",241,"1,707",672,211,604,256,"1,254","1,974","2,921","1,349","4,838","3,720","6,024","3,949","2,988"
2020,10,60,"26,161","1,343",703,391,"1,379",710,"1,450",283,"1,281",711,267,696,316,852,"1,568","1,419","1,002","3,199","1,718","3,838","1,683","1,352"
2020,10,70,"10,784",617,481,283,817,467,810,166,607,416,201,525,215,364,592,403,300,865,449,"1,174",583,449
2020,10,80,"4,915",327,252,152,493,247,355,64,350,239,111,328,118,160,208,167,106,304,145,407,186,196
2020,10,90,788,43,30,19,100,37,49,11,54,44,23,46,20,18,31,30,14,46,31,68,42,32
2020,10,100,45,4,1,0,11,2,3,0,1,1,0,1,1,8,4,0,0,2,1,2,1,2
2020,11,총,"245,956","7,929","3,139","1,604","7,302","2,991","12,168","1,127","8,294","3,643","1,097","3,183","1,402","6,314","9,510","27,400","7,311","26,609","20,592","35,837","34,763","23,741"
2020,11,0,"26,935",560,84,27,413,67,"1,479",43,516,192,27,83,60,417,552,"4,587",607,"2,586","1,602","3,593","5,907","3,533"
2020,11,10,"27,943",639,120,61,591,163,"1,116",57,674,272,25,114,66,652,974,"3,390",639,"3,079","2,281","4,327","4,972","3,731"
2020,11,20,"24,439",677,239,88,569,226,944,68,802,296,52,215,72,682,"1,025","2,416",847,"2,932","2,809","4,163","3,061","2,256"
2020,11,30,"36,877",828,226,86,630,153,"1,844",79,890,319,67,184,102,683,941,"6,032","1,088","3,723","3,354","5,148","6,784","3,716"
2020,11,40,"47,624","1,235",360,157,997,323,"2,203",112,"1,400",461,108,387,173,"1,223","1,643","6,016","1,333","5,002","4,453","7,051","7,552","5,435"
2020,11,50,"39,199","1,621",636,340,"1,305",597,"1,904",242,"1,706",686,214,600,257,"1,258","1,963","2,919","1,363","4,823","3,732","6,034","3,973","3,026"
2020,11,60,"26,358","1,366",707,392,"1,376",710,"1,458",286,"1,292",712,269,702,317,854,"1,577","1,432","1,012","3,232","1,739","3,866","1,694","1,365"
2020,11,70,"10,815",626,486,279,814,465,811,165,611,422,201,526,218,361,591,411,303,870,444,"1,174",588,449
2020,11,80,"4,926",328,251,153,496,247,357,64,348,238,111,326,117,158,211,169,104,311,146,408,187,196
2020,11,90,792,45,29,21,100,38,49,11,53,44,23,45,19,18,29,28,15,49,30,71,43,32
2020,11,100,48,4,1,0,11,2,3,0,2,1,0,1,1,8,4,0,0,2,2,2,2,2
2020,12,총,"245,754","7,961","3,131","1,605","7,293","2,972","12,172","1,130","8,298","3,632","1,096","3,173","1,398","6,294","9,474","27,363","7,370","26,565","20,558","35,739","34,743","23,787"
2020,12,0,"26,716",563,80,26,410,65,"1,469",43,509,193,27,80,58,409,542,"4,557",611,"2,565","1,589","3,566","5,845","3,509"
2020,12,10,"27,963",637,121,61,589,157,"1,120",56,674,272,25,111,66,651,970,"3,408",654,"3,075","2,262","4,321","4,985","3,748"
2020,12,20,"24,350",680,243,89,562,222,939,68,800,298,51,211,70,689,"1,022","2,380",849,"2,910","2,791","4,152","3,049","2,275"
2020,12,30,"36,640",839,223,82,629,153,"1,840",79,894,315,67,181,101,672,920,"5,988","1,098","3,713","3,333","5,081","6,738","3,694"
2020,12,40,"47,635","1,240",358,156,993,319,"2,211",113,"1,397",456,109,388,170,"1,221","1,627","6,046","1,341","4,971","4,458","7,047","7,565","5,449"
2020,12,50,"39,273","1,609",632,343,"1,302",594,"1,903",240,"1,709",673,212,599,261,"1,255","1,958","2,925","1,365","4,851","3,745","6,028","4,024","3,045"
2020,12,60,"26,544","1,385",708,392,"1,387",713,"1,466",291,"1,301",716,273,703,319,851,"1,595","1,448","1,030","3,239","1,753","3,878","1,711","1,385"
2020,12,70,"10,826",628,485,282,818,457,810,161,609,421,200,522,214,359,592,414,302,886,443,"1,180",592,451
2020,12,80,"4,964",332,250,154,492,251,361,67,350,243,111,330,118,161,215,169,103,304,150,417,188,198
2020,12,90,797,44,30,20,100,39,50,12,54,44,21,47,20,18,29,28,17,49,32,68,44,31
2020,12,100,46,4,1,0,11,2,3,0,1,1,0,1,1,8,4,0,0,2,2,1,2,2
2021,1,총,"245,492","7,966","3,133","1,617","7,291","2,973","12,129","1,138","8,289","3,639","1,101","3,155","1,410","6,271","9,429","27,365","7,370","26,563","20,523","35,695","34,650","23,785"
2021,1,0,"26,466",558,79,29,413,65,"1,445",44,508,191,31,80,56,410,529,"4,537",606,"2,542","1,572","3,502","5,773","3,496"
2021,1,10,"27,954",640,125,62,587,156,"1,120",58,668,272,28,109,67,634,968,"3,426",648,"3,066","2,247","4,328","5,007","3,738"
2021,1,20,"24,270",677,233,90,560,220,934,66,790,297,49,205,77,684,"1,013","2,366",858,"2,901","2,788","4,154","3,029","2,279"
2021,1,30,"36,340",834,221,85,630,154,"1,819",85,883,309,64,179,101,667,907,"5,935","1,093","3,684","3,308","5,054","6,651","3,677"
2021,1,40,"47,650","1,244",358,158,995,319,"2,210",112,"1,392",463,110,387,175,"1,220","1,615","6,080","1,335","4,999","4,430","7,015","7,580","5,453"
2021,1,50,"39,273","1,596",632,341,"1,297",590,"1,896",236,"1,694",670,211,585,263,"1,240","1,937","2,939","1,361","4,873","3,758","6,044","4,051","3,059"
2021,1,60,"26,853","1,405",713,393,"1,387",724,"1,472",296,"1,338",720,275,712,319,864,"1,621","1,471","1,043","3,262","1,791","3,910","1,739","1,398"
2021,1,70,"10,842",625,490,285,812,451,817,162,609,423,201,518,211,362,595,415,303,883,443,"1,194",591,452
2021,1,80,"4,992",338,250,154,498,252,362,67,352,248,109,329,120,164,212,169,106,303,152,424,183,200
2021,1,90,807,45,31,20,102,40,51,12,54,45,23,50,20,18,28,27,17,48,32,69,44,31
2021,1,100,45,4,1,0,10,2,3,0,1,1,0,1,1,8,4,0,0,2,2,1,2,2
2021,2,총,"245,008","8,010","3,137","1,620","7,297","2,971","12,086","1,134","8,309","3,627","1,101","3,158","1,415","6,248","9,381","27,271","7,366","26,434","20,487","35,616","34,569","23,771"
2021,2,0,"26,188",565,79,29,403,67,"1,425",43,508,187,31,78,54,404,526,"4,496",597,"2,487","1,548","3,467","5,710","3,484"
2021,2,10,"27,868",642,121,61,592,154,"1,119",55,679,273,27,110,66,637,955,"3,427",643,"3,043","2,238","4,293","5,001","3,732"
2021,2,20,"24,082",667,236,89,557,220,941,68,775,293,49,202,75,676,989,"2,323",868,"2,886","2,761","4,145","3,018","2,244"
2021,2,30,"35,930",852,220,87,628,156,"1,794",84,877,296,62,178,103,654,899,"5,855","1,071","3,620","3,299","4,995","6,560","3,640"
2021,2,40,"47,653","1,263",355,155,993,314,"2,199",112,"1,394",462,110,383,175,"1,224","1,608","6,114","1,332","4,969","4,398","7,008","7,599","5,486"
2021,2,50,"39,392","1,588",631,344,"1,300",584,"1,883",234,"1,697",676,209,592,268,"1,224","1,932","2,952","1,375","4,875","3,792","6,048","4,102","3,086"
2021,2,60,"27,110","1,417",714,394,"1,400",730,"1,490",299,"1,363",727,277,716,319,874,"1,632","1,487","1,052","3,303","1,812","3,955","1,751","1,398"
2021,2,70,"10,879",619,497,283,808,450,813,159,607,422,203,517,213,362,595,420,300,893,451,"1,203",596,468
2021,2,80,"5,045",345,249,158,503,255,368,69,352,244,110,329,121,166,213,170,111,308,155,432,185,202
2021,2,90,815,48,34,20,103,39,51,11,56,46,23,52,20,19,28,27,17,48,31,69,45,28
2021,2,100,46,4,1,0,10,2,3,0,1,1,0,1,1,8,4,0,0,2,2,1,2,3
2021,3,총,"244,154","8,020","3,120","1,612","7,225","2,957","12,036","1,113","8,239","3,601","1,086","3,139","1,404","6,181","9,306","27,167","7,345","26,356","20,577","35,454","34,485","23,731"
2021,3,0,"25,965",560,82,30,396,72,"1,395",38,492,187,29,79,52,401,518,"4,430",605,"2,462","1,553","3,427","5,674","3,483"
2021,3,10,"27,834",639,121,61,572,149,"1,121",54,678,269,29,106,66,663,938,"3,449",638,"3,022","2,251","4,269","5,005","3,734"
2021,3,20,"23,877",673,226,86,555,214,938,65,770,288,49,202,73,665,984,"2,305",856,"2,878","2,739","4,115","2,985","2,211"
2021,3,30,"35,614",853,218,89,612,155,"1,762",80,863,297,63,178,98,645,879,"5,786","1,061","3,581","3,317","4,946","6,508","3,623"
2021,3,40,"47,496","1,252",349,151,981,305,"2,194",109,"1,381",452,105,375,181,"1,201","1,598","6,131","1,325","4,969","4,381","6,976","7,595","5,485"
2021,3,50,"39,290","1,596",625,342,"1,285",575,"1,877",228,"1,691",670,204,581,266,"1,199","1,908","2,955","1,366","4,854","3,850","6,030","4,094","3,094"
2021,3,60,"27,282","1,428",716,393,"1,403",739,"1,515",300,"1,350",720,266,717,320,865,"1,638","1,496","1,061","3,331","1,851","3,978","1,789","1,406"
2021,3,70,"10,924",625,498,284,811,448,811,159,608,426,205,522,205,362,600,423,310,903,446,"1,212",606,460
2021,3,80,"5,044",341,250,156,504,256,367,69,350,245,113,329,123,162,215,167,107,306,158,435,186,205
2021,3,90,800,52,34,20,101,42,54,11,55,46,23,47,20,17,27,25,16,49,28,65,41,27
2021,3,100,28,1,1,0,5,2,2,0,1,1,0,3,0,1,1,0,0,1,3,1,2,3
2021,4,총,"243,902","8,011","3,109","1,608","7,204","2,930","12,024","1,105","8,192","3,596","1,079","3,152","1,401","6,160","9,308","27,114","7,384","26,317","20,703","35,265","34,460","23,780"
2021,4,0,"25,739",553,82,28,394,67,"1,385",35,485,184,30,77,52,396,510,"4,394",608,"2,422","1,564","3,400","5,607","3,466"
2021,4,10,"27,845",633,117,62,567,148,"1,136",51,671,270,29,111,69,662,941,"3,468",643,"3,013","2,240","4,235","5,028","3,751"
2021,4,20,"23,812",673,224,85,545,209,923,66,765,284,46,202,73,656,976,"2,301",858,"2,866","2,777","4,077","2,984","2,222"
2021,4,30,"35,293",839,218,89,600,151,"1,732",75,847,295,63,178,95,638,875,"5,731","1,063","3,545","3,301","4,889","6,451","3,618"
2021,4,40,"47,488","1,246",341,154,968,306,"2,205",109,"1,358",452,103,379,185,"1,192","1,596","6,119","1,328","4,994","4,403","6,939","7,609","5,502"
2021,4,50,"39,315","1,595",623,335,"1,289",563,"1,887",230,"1,687",669,204,580,266,"1,194","1,904","2,979","1,373","4,833","3,886","6,002","4,112","3,104"
