년도,월,나이,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020,5,총,"46,077","14,271","2,879","3,253","1,271","3,675","1,933","2,869","2,665","1,902","2,466","4,497","4,396"
2020,5,0,"2,345","1,068",133,124,40,145,65,78,84,78,113,218,199
2020,5,10,"3,044","1,239",113,179,51,208,109,142,132,85,122,323,341
2020,5,20,"4,885","1,677",250,286,102,333,183,624,226,169,202,418,415
2020,5,30,"3,714","1,493",229,247,80,252,127,161,200,131,185,306,303
2020,5,40,"5,319","1,922",322,339,114,382,182,233,264,185,254,574,548
2020,5,50,"8,190","2,260",543,641,255,713,395,439,455,355,467,837,830
2020,5,60,"7,921","2,037",557,642,259,683,376,461,544,390,481,784,707
2020,5,70,"6,286","1,580",447,494,204,552,286,406,427,321,395,572,602
2020,5,80,"3,753",845,245,254,138,360,179,280,281,159,220,395,397
2020,5,90,588,141,39,44,27,41,30,43,49,27,26,67,54
2020,5,100,32,9,1,3,1,6,1,2,3,2,1,3,0
2020,6,총,"46,045","14,269","2,866","3,243","1,268","3,668","1,927","2,873","2,674","1,904","2,453","4,503","4,397"
2020,6,0,"2,335","1,069",134,125,37,144,67,76,83,78,110,215,197
2020,6,10,"3,046","1,232",112,179,47,205,107,140,128,88,124,324,360
2020,6,20,"4,846","1,684",244,277,104,325,178,617,225,168,193,422,409
2020,6,30,"3,689","1,481",232,241,78,253,125,161,199,131,182,307,299
2020,6,40,"5,287","1,911",314,335,115,380,183,232,266,185,254,568,544
2020,6,50,"8,128","2,246",524,640,251,705,393,438,459,356,464,835,817
2020,6,60,"8,005","2,064",568,644,265,693,375,473,537,394,478,796,718
2020,6,70,"6,317","1,590",452,497,204,556,287,410,438,318,397,571,597
2020,6,80,"3,772",842,246,257,139,361,181,281,286,159,224,395,401
2020,6,90,589,141,39,45,27,40,30,44,50,25,26,67,55
2020,6,100,31,9,1,3,1,6,1,1,3,2,1,3,0
2020,7,총,"46,040","14,297","2,846","3,237","1,276","3,669","1,931","2,853","2,661","1,899","2,444","4,533","4,394"
2020,7,0,"2,325","1,060",136,122,36,148,68,74,83,78,112,214,194
2020,7,10,"3,047","1,228",111,181,50,208,105,137,128,87,123,326,363
2020,7,20,"4,818","1,696",234,276,104,317,175,606,217,166,189,432,406
2020,7,30,"3,687","1,482",227,238,79,256,128,158,199,132,183,310,295
2020,7,40,"5,251","1,899",307,339,119,380,179,232,261,181,248,564,542
2020,7,50,"8,138","2,259",522,633,251,704,398,439,454,353,464,847,814
2020,7,60,"8,035","2,077",569,646,269,687,375,472,541,394,478,802,725
2020,7,70,"6,331","1,592",453,500,204,561,289,409,434,320,399,574,596
2020,7,80,"3,782",850,246,254,136,363,183,281,291,161,221,394,402
2020,7,90,595,144,40,45,27,40,30,44,50,25,26,67,57
2020,7,100,31,10,1,3,1,5,1,1,3,2,1,3,0
2020,8,총,"45,980","14,274","2,838","3,208","1,276","3,672","1,927","2,848","2,654","1,887","2,457","4,525","4,414"
2020,8,0,"2,322","1,051",132,121,36,149,69,71,88,77,114,213,201
2020,8,10,"3,030","1,223",111,178,48,208,105,136,128,86,123,323,361
2020,8,20,"4,768","1,685",233,268,108,313,175,596,215,158,187,423,407
2020,8,30,"3,671","1,473",224,234,77,256,128,159,197,134,185,306,298
2020,8,40,"5,230","1,891",309,336,115,380,175,230,257,179,248,569,541
2020,8,50,"8,123","2,266",516,627,254,697,399,435,456,349,458,850,816
2020,8,60,"8,075","2,082",573,646,270,693,375,483,537,390,490,805,731
2020,8,70,"6,328","1,592",453,496,204,570,288,409,430,323,400,572,591
2020,8,80,"3,806",856,246,255,136,361,182,285,295,163,225,393,409
2020,8,90,595,146,40,44,27,40,29,43,47,26,26,68,59
2020,8,100,32,9,1,3,1,5,2,1,4,2,1,3,0
2020,9,총,"45,938","14,262","2,835","3,211","1,280","3,656","1,938","2,843","2,653","1,873","2,450","4,534","4,403"
2020,9,0,"2,331","1,062",129,124,37,150,71,72,90,73,108,217,198
2020,9,10,"3,004","1,213",112,173,51,204,104,135,128,83,123,320,358
2020,9,20,"4,746","1,673",232,272,104,317,177,587,210,157,186,430,401
2020,9,30,"3,644","1,466",222,231,81,249,130,160,196,132,188,293,296
2020,9,40,"5,211","1,876",310,337,113,372,176,229,256,178,244,577,543
2020,9,50,"8,095","2,265",510,619,251,699,394,433,457,347,460,849,811
2020,9,60,"8,129","2,096",578,653,275,691,383,488,537,389,491,809,739
2020,9,70,"6,329","1,597",451,498,203,568,291,408,432,320,399,579,583
2020,9,80,"3,815",856,248,256,136,363,180,287,296,167,225,387,414
2020,9,90,601,149,42,44,28,38,30,43,47,25,25,70,60
2020,9,100,33,9,1,4,1,5,2,1,4,2,1,3,0
2020,10,총,"45,903","14,249","2,828","3,188","1,277","3,671","1,927","2,828","2,659","1,872","2,453","4,547","4,404"
2020,10,0,"2,335","1,058",129,123,36,149,68,72,94,77,111,218,200
2020,10,10,"2,988","1,215",113,168,52,203,106,125,126,84,121,321,354
2020,10,20,"4,747","1,659",231,276,102,319,176,587,216,156,189,433,403
2020,10,30,"3,627","1,464",222,228,81,246,122,160,194,131,185,294,300
2020,10,40,"5,178","1,858",309,331,113,374,174,229,258,179,247,575,531
2020,10,50,"8,058","2,266",507,609,243,701,394,423,456,342,455,846,816
2020,10,60,"8,181","2,105",579,655,282,699,381,494,538,390,493,819,746
2020,10,70,"6,328","1,603",447,499,202,571,294,405,428,320,400,578,581
2020,10,80,"3,829",862,249,254,138,366,179,290,297,166,226,388,414
2020,10,90,599,150,41,42,27,38,31,42,48,25,24,72,59
2020,10,100,33,9,1,3,1,5,2,1,4,2,2,3,0
2020,11,총,"45,936","14,336","2,813","3,193","1,273","3,666","1,923","2,810","2,656","1,865","2,457","4,538","4,406"
2020,11,0,"2,337","1,075",124,125,30,150,68,71,94,73,106,223,198
2020,11,10,"2,985","1,224",111,168,52,201,109,119,120,82,123,322,354
2020,11,20,"4,753","1,666",231,283,102,312,175,583,215,156,196,428,406
2020,11,30,"3,622","1,474",218,225,80,248,122,154,194,131,187,289,300
2020,11,40,"5,162","1,878",306,335,112,367,176,225,256,179,240,567,521
2020,11,50,"8,072","2,274",505,607,248,706,388,428,457,339,455,846,819
2020,11,60,"8,200","2,122",584,651,281,700,378,494,538,390,497,823,742
2020,11,70,"6,338","1,601",443,500,203,572,296,402,431,320,400,579,591
2020,11,80,"3,835",862,248,255,138,368,177,293,299,167,226,387,415
2020,11,90,597,149,42,41,26,37,32,40,48,26,25,71,60
2020,11,100,35,11,1,3,1,5,2,1,4,2,2,3,0
2020,12,총,"46,280","14,667","2,797","3,171","1,264","3,704","1,935","2,795","2,654","1,870","2,470","4,547","4,406"
2020,12,0,"2,345","1,105",119,120,30,148,66,69,92,73,105,219,199
2020,12,10,"3,029","1,230",108,166,52,241,109,117,119,85,121,327,354
2020,12,20,"4,834","1,726",228,280,102,312,178,578,220,160,203,433,414
2020,12,30,"3,644","1,523",208,225,74,250,124,148,188,128,193,283,300
2020,12,40,"5,187","1,937",301,321,112,360,177,220,255,174,243,563,524
2020,12,50,"8,146","2,343",504,601,246,706,392,432,464,343,448,859,808
2020,12,60,"8,281","2,160",590,664,282,701,383,497,535,395,503,825,746
2020,12,70,"6,346","1,613",445,497,202,572,297,400,431,319,402,576,592
2020,12,80,"3,835",868,250,252,138,371,178,293,300,165,225,386,409
2020,12,90,598,151,43,42,25,38,29,40,46,26,25,73,60
2020,12,100,35,11,1,3,1,5,2,1,4,2,2,3,0
2021,1,총,"46,475","14,920","2,783","3,162","1,250","3,702","1,945","2,787","2,654","1,849","2,484","4,534","4,405"
2021,1,0,"2,357","1,126",120,117,29,151,64,68,89,67,108,218,200
2021,1,10,"3,011","1,252",106,163,51,237,107,111,116,82,122,320,344
2021,1,20,"4,843","1,736",224,282,95,314,178,579,225,158,205,430,417
2021,1,30,"3,682","1,570",205,225,74,253,123,147,186,122,194,281,302
2021,1,40,"5,221","1,996",299,315,110,357,180,216,256,173,244,557,518
2021,1,50,"8,190","2,391",506,599,244,699,394,430,463,335,449,866,814
2021,1,60,"8,335","2,185",586,664,281,711,389,501,539,398,504,828,749
2021,1,70,"6,348","1,628",440,499,201,568,299,400,432,318,402,570,591
2021,1,80,"3,856",871,253,253,138,372,181,294,298,167,229,388,412
2021,1,90,599,154,43,42,26,36,28,41,46,27,25,73,58
2021,1,100,33,11,1,3,1,4,2,0,4,2,2,3,0
2021,2,총,"46,545","15,034","2,790","3,150","1,246","3,701","1,945","2,772","2,644","1,849","2,470","4,544","4,400"
2021,2,0,"2,370","1,134",124,114,31,151,66,67,88,67,106,219,203
2021,2,10,"3,002","1,257",109,160,50,232,104,109,117,83,119,326,336
2021,2,20,"4,797","1,732",225,278,89,314,180,572,218,160,194,420,415
2021,2,30,"3,706","1,597",204,225,74,254,123,145,186,120,191,287,300
2021,2,40,"5,224","2,015",296,311,109,360,179,212,256,166,243,562,515
2021,2,50,"8,198","2,423",507,591,246,692,388,427,464,336,452,856,816
2021,2,60,"8,393","2,195",589,674,283,719,398,501,535,401,507,838,753
2021,2,70,"6,309","1,629",440,496,195,560,293,400,430,316,397,568,585
2021,2,80,"3,906",888,252,257,142,377,183,295,300,171,233,392,416
2021,2,90,604,152,43,41,26,38,29,43,45,27,26,73,61
2021,2,100,36,12,1,3,1,4,2,1,5,2,2,3,0
2021,3,총,"46,541","15,096","2,774","3,159","1,234","3,682","1,944","2,759","2,640","1,847","2,471","4,545","4,390"
2021,3,0,"2,341","1,136",123,113,28,144,61,66,87,67,103,216,197
2021,3,10,"2,984","1,250",106,159,52,228,104,106,117,80,120,322,340
2021,3,20,"4,773","1,731",220,275,87,310,180,564,217,162,189,426,412
2021,3,30,"3,684","1,613",203,225,73,245,124,141,185,113,189,279,294
2021,3,40,"5,246","2,039",290,316,108,355,175,215,256,167,244,566,515
2021,3,50,"8,189","2,429",504,586,243,693,388,427,460,335,448,863,813
2021,3,60,"8,493","2,220",592,686,283,731,406,504,533,403,520,850,765
2021,3,70,"6,305","1,632",442,500,193,557,284,405,428,319,399,566,580
2021,3,80,"3,901",891,249,258,141,377,189,286,304,172,231,387,416
2021,3,90,599,148,44,38,25,40,32,44,48,27,26,69,58
2021,3,100,26,7,1,3,1,2,1,1,5,2,2,1,0
2021,4,총,"46,624","15,158","2,780","3,151","1,237","3,680","1,937","2,747","2,617","1,848","2,480","4,555","4,434"
2021,4,0,"2,331","1,137",128,111,28,138,60,65,86,68,105,203,202
2021,4,10,"2,981","1,242",108,159,50,226,105,107,113,80,119,320,352
2021,4,20,"4,770","1,749",220,271,88,307,174,553,212,162,188,431,415
2021,4,30,"3,676","1,619",203,224,75,240,118,140,181,111,191,276,298
2021,4,40,"5,269","2,054",290,308,106,360,178,215,251,167,244,569,527
2021,4,50,"8,212","2,440",509,589,244,691,387,427,457,331,450,867,820
2021,4,60,"8,534","2,232",590,685,288,734,408,506,537,407,521,862,764
2021,4,70,"6,301","1,629",441,499,189,562,285,406,427,315,401,568,579
2021,4,80,"3,923",901,244,263,142,379,189,285,299,178,232,390,421
2021,4,90,601,148,46,39,26,41,32,42,49,27,27,68,56
2021,4,100,26,7,1,3,1,2,1,1,5,2,2,1,0
2021,5,총,"46,650","15,221","2,771","3,159","1,232","3,667","1,926","2,726","2,616","1,849","2,469","4,569","4,445"
2021,5,0,"2,320","1,143",124,110,28,135,59,61,86,65,104,203,202
2021,5,10,"2,988","1,249",106,162,50,225,108,104,116,79,118,317,354
2021,5,20,"4,747","1,742",221,269,88,304,174,539,208,167,188,433,414
2021,5,30,"3,674","1,613",202,222,73,241,115,137,185,114,192,276,304
2021,5,40,"5,242","2,060",290,301,106,350,179,209,255,167,241,566,518
2021,5,50,"8,222","2,463",508,595,247,687,384,430,448,327,443,865,825
2021,5,60,"8,601","2,255",592,694,289,746,408,513,531,406,520,876,771
2021,5,70,"6,283","1,636",438,499,182,554,280,404,430,313,400,569,578
2021,5,80,"3,943",903,242,265,143,383,186,288,300,182,234,394,423
2021,5,90,605,150,48,39,25,40,32,40,52,27,27,69,56
2021,5,100,25,7,0,3,1,2,1,1,5,2,2,1,0
2021,6,총,"46,522","15,172","2,756","3,150","1,227","3,697","1,916","2,708","2,620","1,840","2,443","4,576","4,417"
2021,6,0,"2,305","1,142",124,107,28,133,58,58,87,64,100,206,198
2021,6,10,"3,021","1,248",105,163,49,264,107,103,118,76,114,316,358
2021,6,20,"4,711","1,737",215,272,87,302,169,532,205,165,187,433,407
2021,6,30,"3,652","1,611",203,218,73,238,114,133,183,113,185,278,303
2021,6,40,"5,235","2,062",290,301,108,351,179,210,252,171,241,560,510
2021,6,50,"8,177","2,450",509,590,245,684,382,422,450,323,437,864,821
2021,6,60,"8,608","2,251",588,693,289,743,410,515,531,408,519,888,773
2021,6,70,"6,228","1,614",430,494,178,554,279,402,431,309,400,567,570
2021,6,80,"3,958",901,244,271,143,386,185,291,304,182,233,398,420
2021,6,90,603,150,48,38,26,40,32,41,54,27,25,65,57
2021,6,100,24,6,0,3,1,2,1,1,5,2,2,1,0
2021,7,총,"46,421","15,151","2,752","3,139","1,221","3,683","1,908","2,672","2,621","1,843","2,440","4,587","4,404"
2021,7,0,"2,280","1,127",125,105,27,132,55,56,88,64,96,206,199
2021,7,10,"3,004","1,247",100,162,50,260,109,102,115,75,117,315,352
2021,7,20,"4,670","1,741",215,268,84,299,167,516,207,163,181,429,400
2021,7,30,"3,641","1,595",206,215,72,239,114,129,184,112,182,288,305
2021,7,40,"5,194","2,054",290,302,106,343,173,200,247,176,241,555,507
2021,7,50,"8,186","2,457",505,586,242,685,388,419,450,322,440,867,825
2021,7,60,"8,619","2,261",587,693,293,743,408,512,532,412,520,892,766
2021,7,70,"6,228","1,610",432,497,174,552,280,407,428,311,401,567,569
2021,7,80,"3,976",906,244,272,146,387,183,289,311,180,234,400,424
2021,7,90,599,147,48,36,26,41,30,41,54,26,26,67,57
2021,7,100,24,6,0,3,1,2,1,1,5,2,2,1,0
2021,8,총,"46,314","15,161","2,745","3,116","1,216","3,666","1,890","2,675","2,615","1,824","2,433","4,597","4,376"
2021,8,0,"2,280","1,138",122,102,28,127,52,58,87,62,100,204,200
2021,8,10,"2,980","1,251",100,159,50,254,106,97,113,74,117,315,344
2021,8,20,"4,646","1,739",215,269,83,299,163,520,204,153,175,425,401
2021,8,30,"3,600","1,592",198,205,68,239,109,133,183,110,178,290,295
2021,8,40,"5,156","2,048",290,295,103,336,170,198,243,176,240,558,499
2021,8,50,"8,193","2,462",508,585,246,683,387,420,451,321,439,876,815
2021,8,60,"8,636","2,263",586,696,290,745,409,513,535,409,521,896,773
2021,8,70,"6,201","1,595",431,493,177,550,279,403,430,312,400,559,572
2021,8,80,"3,993",918,248,272,144,389,184,289,311,180,233,404,421
2021,8,90,605,148,47,37,26,42,30,43,54,25,28,69,56
2021,8,100,24,7,0,3,1,2,1,1,4,2,2,1,0
2021,9,총,"46,178","15,129","2,752","3,108","1,211","3,642","1,884","2,660","2,589","1,817","2,427","4,594","4,365"
2021,9,0,"2,242","1,117",124,98,28,124,50,57,82,62,98,209,193
2021,9,10,"2,977","1,250",103,162,49,247,107,98,112,73,121,311,344
2021,9,20,"4,539","1,728",213,257,83,289,154,496,198,148,169,416,388
2021,9,30,"3,576","1,575",197,208,66,239,108,136,178,109,172,297,291
2021,9,40,"5,135","2,043",289,296,101,333,170,201,239,174,235,551,503
2021,9,50,"8,192","2,456",509,585,245,683,391,418,449,320,445,875,816
2021,9,60,"8,688","2,284",589,703,290,749,411,513,533,410,523,903,780
2021,9,70,"6,178","1,594",433,488,177,551,278,396,425,311,398,556,571
2021,9,80,"4,016",924,249,271,146,385,185,299,316,184,235,404,418
2021,9,90,610,151,46,37,24,40,29,45,53,24,29,71,61
2021,9,100,25,7,0,3,2,2,1,1,4,2,2,1,0
2021,10,총,"46,198","15,141","2,760","3,109","1,206","3,637","1,892","2,658","2,591","1,813","2,415","4,606","4,370"
2021,10,0,"2,217","1,117",124,97,26,123,50,57,80,62,89,206,186
2021,10,10,"2,992","1,263",105,160,48,245,104,98,112,75,123,314,345
2021,10,20,"4,530","1,711",217,261,80,292,161,494,196,138,171,423,386
2021,10,30,"3,545","1,570",194,205,66,231,109,135,172,109,166,297,291
2021,10,40,"5,121","2,042",291,293,99,332,168,201,245,177,228,548,497
2021,10,50,"8,205","2,461",503,584,245,687,387,419,451,318,448,882,820
2021,10,60,"8,736","2,300",593,710,290,750,416,515,534,408,525,907,788
2021,10,70,"6,181","1,595",434,487,180,546,278,394,424,319,395,558,571
2021,10,80,"4,038",926,254,272,146,387,188,297,319,180,240,405,424
2021,10,90,606,150,45,37,24,42,29,46,53,25,28,65,62
2021,10,100,27,6,0,3,2,2,2,2,5,2,2,1,0
2021,11,총,"46,184","15,158","2,760","3,100","1,206","3,615","1,893","2,659","2,580","1,814","2,405","4,639","4,355"
2021,11,0,"2,196","1,114",126,93,25,122,47,56,78,61,85,206,183
2021,11,10,"2,975","1,259",106,157,47,241,102,97,111,74,125,313,343
2021,11,20,"4,534","1,717",212,260,82,286,168,491,195,143,168,431,381
2021,11,30,"3,559","1,585",190,209,66,235,108,136,166,107,164,303,290
2021,11,40,"5,104","2,033",292,289,100,324,171,200,246,178,227,547,497
2021,11,50,"8,199","2,450",507,588,244,682,385,424,448,318,447,888,818
2021,11,60,"8,746","2,324",593,707,288,752,415,513,534,405,521,913,781
2021,11,70,"6,192","1,594",427,486,183,544,280,395,425,321,399,566,572
2021,11,80,"4,044",923,262,271,146,387,187,300,318,179,239,405,427
2021,11,90,608,151,45,38,23,41,28,45,54,26,28,66,63
2021,11,100,27,8,0,2,2,1,2,2,5,2,2,1,0
2021,12,총,"46,180","15,164","2,750","3,108","1,202","3,590","1,890","2,647","2,568","1,816","2,414","4,677","4,354"
2021,12,0,"2,177","1,117",125,89,25,118,46,49,76,57,86,208,181
2021,12,10,"2,985","1,264",106,160,46,233,102,96,111,76,126,319,346
2021,12,20,"4,543","1,714",213,257,84,284,172,490,202,142,167,437,381
2021,12,30,"3,534","1,572",188,206,66,231,104,136,162,106,163,309,291
2021,12,40,"5,118","2,033",298,292,98,327,174,204,245,175,230,544,498
2021,12,50,"8,192","2,450",499,589,242,681,381,420,446,321,446,900,817
2021,12,60,"8,766","2,333",592,710,288,749,417,508,529,408,527,922,783
2021,12,70,"6,148","1,595",421,489,179,540,274,393,422,318,399,554,564
2021,12,80,"4,077",928,265,275,148,384,191,301,314,184,239,418,430
2021,12,90,613,150,43,39,24,42,27,48,56,27,29,65,63
2021,12,100,27,8,0,2,2,1,2,2,5,2,2,1,0
