년도,월,나이,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020,4,70,"9,905","2,997","1,552","1,037",576,528,584,454,426,585,615,551
2020,4,80,"6,307","1,534",849,606,432,422,492,363,326,395,499,389
2020,4,90,814,213,110,77,59,42,47,63,43,51,66,43
2020,4,100,59,16,20,3,1,2,2,1,0,7,5,2
2020,5,총,"100,013","38,503","8,594","28,296","3,495","3,460","2,953","2,345","2,121","3,262","3,540","3,444"
2020,5,0,"7,959","2,606",295,"4,399",107,133,82,49,28,82,84,94
2020,5,10,"9,644","4,448",466,"3,596",142,233,117,75,69,149,165,184
2020,5,20,"9,722","4,895",613,"2,727",225,239,155,124,115,216,186,227
2020,5,30,"10,760","3,725",516,"5,185",217,190,145,106,108,156,209,203
2020,5,40,"14,607","6,228",845,"5,335",339,376,245,171,134,286,287,361
2020,5,50,"15,930","6,812","1,515","3,335",652,596,463,390,369,577,600,621
2020,5,60,"14,256","4,998","1,815","1,987",745,695,621,545,504,752,825,769
2020,5,70,"9,941","3,022","1,549","1,040",578,530,582,455,426,589,618,552
2020,5,80,"6,311","1,537",848,612,429,425,493,363,325,397,494,388
2020,5,90,824,216,112,77,60,41,48,66,43,51,67,43
2020,5,100,59,16,20,3,1,2,2,1,0,7,5,2
2020,6,총,"99,980","38,416","8,581","28,377","3,507","3,453","2,953","2,334","2,128","3,261","3,522","3,448"
2020,6,0,"7,944","2,596",289,"4,410",107,130,79,49,28,82,82,92
2020,6,10,"9,642","4,433",468,"3,620",138,233,118,73,66,149,159,185
2020,6,20,"9,679","4,881",615,"2,709",222,229,154,124,119,213,187,226
2020,6,30,"10,707","3,692",506,"5,189",222,189,146,105,107,151,200,200
2020,6,40,"14,631","6,217",838,"5,368",339,381,245,171,134,293,286,359
2020,6,50,"15,882","6,786","1,511","3,338",651,596,458,390,368,572,594,618
2020,6,60,"14,318","5,016","1,822","1,998",758,689,626,536,505,756,828,784
2020,6,70,"9,979","3,027","1,552","1,044",583,535,584,459,434,591,619,551
2020,6,80,"6,310","1,536",850,618,427,425,494,360,324,396,495,385
2020,6,90,828,216,110,79,59,44,47,66,43,51,67,46
2020,6,100,60,16,20,4,1,2,2,1,0,7,5,2
2020,7,총,"100,020","38,374","8,566","28,476","3,510","3,438","2,965","2,322","2,125","3,266","3,521","3,457"
2020,7,0,"7,917","2,573",287,"4,414",107,130,79,47,28,81,79,92
2020,7,10,"9,654","4,425",474,"3,647",136,225,120,70,66,151,157,183
2020,7,20,"9,669","4,871",612,"2,706",227,232,154,124,116,212,189,226
2020,7,30,"10,671","3,682",494,"5,188",217,186,146,99,103,151,204,201
2020,7,40,"14,617","6,182",834,"5,415",335,372,247,168,134,293,280,357
2020,7,50,"15,883","6,807","1,497","3,340",650,592,458,389,368,572,590,620
2020,7,60,"14,359","5,021","1,829","2,011",761,689,628,536,509,757,831,787
2020,7,70,"10,022","3,034","1,557","1,054",589,541,586,462,430,595,615,559
2020,7,80,"6,330","1,548",849,616,427,427,496,360,325,394,503,385
2020,7,90,837,215,112,81,60,42,49,66,46,53,68,45
2020,7,100,61,16,21,4,1,2,2,1,0,7,5,2
2020,8,총,"99,984","38,344","8,535","28,521","3,501","3,457","2,956","2,316","2,116","3,260","3,513","3,465"
2020,8,0,"7,902","2,563",292,"4,413",103,131,80,46,26,80,76,92
2020,8,10,"9,627","4,399",462,"3,656",135,229,119,71,64,150,157,185
2020,8,20,"9,648","4,854",611,"2,712",228,235,149,120,118,211,189,221
2020,8,30,"10,638","3,676",487,"5,181",215,191,144,100,97,146,201,200
2020,8,40,"14,600","6,164",831,"5,432",334,371,239,167,134,293,281,354
2020,8,50,"15,889","6,806","1,488","3,352",651,589,466,390,367,569,573,638
2020,8,60,"14,413","5,047","1,819","2,018",764,698,631,537,513,762,840,784
2020,8,70,"10,034","3,046","1,566","1,059",584,538,584,462,427,593,616,559
2020,8,80,"6,320","1,553",846,613,425,428,493,353,324,394,506,385
2020,8,90,853,220,112,82,61,45,49,69,46,55,69,45
2020,8,100,60,16,21,3,1,2,2,1,0,7,5,2
2020,9,총,"99,909","38,292","8,509","28,562","3,504","3,456","2,942","2,308","2,111","3,260","3,517","3,448"
2020,9,0,"7,851","2,540",287,"4,399",102,129,81,44,26,79,77,87
2020,9,10,"9,625","4,395",460,"3,677",132,223,119,70,64,146,153,186
2020,9,20,"9,615","4,846",601,"2,707",227,238,143,119,115,213,190,216
2020,9,30,"10,584","3,665",478,"5,159",213,187,142,99,97,145,202,197
2020,9,40,"14,546","6,133",828,"5,427",335,374,237,165,129,291,278,349
2020,9,50,"15,884","6,785","1,477","3,393",648,587,467,381,370,568,574,634
2020,9,60,"14,496","5,075","1,829","2,033",773,702,626,544,515,768,844,787
2020,9,70,"10,037","3,051","1,571","1,055",587,537,581,459,425,594,618,559
2020,9,80,"6,348","1,565",841,627,428,430,496,357,323,393,504,384
2020,9,90,862,220,116,82,58,47,48,69,47,56,72,47
2020,9,100,61,17,21,3,1,2,2,1,0,7,5,2
2020,10,총,"99,844","38,235","8,497","28,588","3,508","3,448","2,931","2,300","2,111","3,251","3,507","3,468"
2020,10,0,"7,797","2,524",286,"4,374",102,128,76,41,24,79,74,89
2020,10,10,"9,632","4,367",461,"3,718",132,223,117,70,64,148,145,187
2020,10,20,"9,606","4,851",594,"2,703",231,232,147,120,114,202,192,220
2020,10,30,"10,546","3,628",481,"5,152",212,185,142,98,97,146,203,202
2020,10,40,"14,473","6,114",814,"5,420",324,373,233,164,130,289,269,343
2020,10,50,"15,902","6,790","1,472","3,404",655,581,467,378,369,564,579,643
2020,10,60,"14,554","5,093","1,834","2,046",774,707,628,543,518,773,849,789
2020,10,70,"10,056","3,064","1,575","1,057",586,542,577,459,426,595,615,560
2020,10,80,"6,342","1,566",840,630,430,428,494,357,322,389,502,384
2020,10,90,875,221,119,81,61,47,48,69,47,59,74,49
2020,10,100,61,17,21,3,1,2,2,1,0,7,5,2
2020,11,총,"99,890","38,213","8,493","28,707","3,501","3,448","2,922","2,300","2,110","3,242","3,506","3,448"
2020,11,0,"7,770","2,503",282,"4,385",98,129,76,40,23,76,73,85
2020,11,10,"9,615","4,355",461,"3,723",131,224,113,70,64,147,144,183
2020,11,20,"9,635","4,847",594,"2,731",227,234,148,123,117,201,195,218
2020,11,30,"10,503","3,607",476,"5,140",215,187,143,96,96,148,201,194
2020,11,40,"14,462","6,101",811,"5,440",318,367,231,164,129,288,271,342
2020,11,50,"15,930","6,801","1,469","3,444",652,585,466,380,367,553,575,638
2020,11,60,"14,622","5,104","1,843","2,074",780,706,625,544,522,782,847,795
2020,11,70,"10,061","3,082","1,572","1,061",583,542,576,458,422,594,616,555
2020,11,80,"6,356","1,575",844,627,434,427,492,355,324,386,504,388
2020,11,90,875,220,120,80,62,45,50,69,46,60,75,48
2020,11,100,61,18,21,2,1,2,2,1,0,7,5,2
2020,12,총,"100,102","38,232","8,520","28,834","3,500","3,432","2,919","2,311","2,103","3,252","3,533","3,466"
2020,12,0,"7,716","2,458",282,"4,380",96,125,74,40,23,78,74,86
2020,12,10,"9,606","4,341",487,"3,713",126,224,115,69,65,144,145,177
2020,12,20,"9,730","4,874",591,"2,784",236,233,147,127,117,207,202,212
2020,12,30,"10,481","3,583",477,"5,147",206,183,143,97,94,150,204,197
2020,12,40,"14,480","6,107",810,"5,452",324,358,229,168,127,286,272,347
2020,12,50,"15,925","6,783","1,466","3,460",644,586,467,385,359,552,581,642
2020,12,60,"14,759","5,164","1,841","2,115",784,710,635,539,530,787,849,805
2020,12,70,"10,058","3,100","1,564","1,062",582,535,565,461,418,596,620,555
2020,12,80,"6,405","1,587",862,633,437,431,494,354,323,385,505,394
2020,12,90,881,217,119,86,64,45,48,70,47,60,76,49
2020,12,100,61,18,21,2,1,2,2,1,0,7,5,2
2021,1,총,"99,850","38,069","8,508","28,787","3,495","3,431","2,912","2,301","2,094","3,254","3,540","3,459"
2021,1,0,"7,646","2,434",281,"4,342",92,126,72,39,21,77,77,85
2021,1,10,"9,539","4,303",485,"3,712",121,217,112,65,61,144,146,173
2021,1,20,"9,625","4,835",584,"2,742",239,232,148,128,115,202,196,204
2021,1,30,"10,435","3,537",474,"5,144",204,183,144,97,95,150,209,198
2021,1,40,"14,439","6,070",805,"5,456",322,360,228,167,125,287,274,345
2021,1,50,"15,862","6,768","1,451","3,471",641,574,465,380,361,547,572,632
2021,1,60,"14,848","5,187","1,852","2,136",789,720,633,535,526,799,852,819
2021,1,70,"10,093","3,116","1,567","1,058",582,541,563,464,421,599,625,557
2021,1,80,"6,409","1,583",865,634,436,431,498,354,323,382,508,395
2021,1,90,892,218,124,90,68,45,47,71,46,60,74,49
2021,1,100,62,18,20,2,1,2,2,1,0,7,7,2
2021,2,총,"99,753","38,035","8,498","28,736","3,504","3,439","2,914","2,296","2,088","3,252","3,541","3,450"
2021,2,0,"7,637","2,432",277,"4,337",94,130,71,42,21,76,76,81
2021,2,10,"9,523","4,283",487,"3,712",121,215,114,62,60,143,149,177
2021,2,20,"9,502","4,787",574,"2,698",234,233,147,127,111,202,194,195
2021,2,30,"10,367","3,540",472,"5,090",204,185,144,93,96,141,205,197
2021,2,40,"14,445","6,065",802,"5,473",323,358,224,173,123,288,274,342
2021,2,50,"15,830","6,761","1,439","3,486",638,567,458,371,359,544,576,631
2021,2,60,"14,964","5,230","1,866","2,157",801,729,644,541,522,803,853,818
2021,2,70,"10,086","3,124","1,565","1,054",582,535,561,463,421,596,627,558
2021,2,80,"6,438","1,577",870,635,436,439,501,351,328,393,508,400
2021,2,90,898,218,125,92,70,46,47,72,46,60,73,49
2021,2,100,63,18,21,2,1,2,3,1,1,6,6,2
2021,3,총,"99,756","38,034","8,459","28,807","3,502","3,434","2,915","2,279","2,088","3,243","3,537","3,458"
2021,3,0,"7,614","2,430",282,"4,323",91,128,72,39,21,74,74,80
2021,3,10,"9,546","4,277",508,"3,721",121,215,114,61,63,139,150,177
2021,3,20,"9,459","4,764",566,"2,705",228,229,143,121,108,204,198,193
2021,3,30,"10,343","3,548",466,"5,082",203,189,141,87,94,140,198,195
2021,3,40,"14,410","6,038",794,"5,477",327,355,226,175,121,282,274,341
2021,3,50,"15,800","6,755","1,429","3,512",639,564,452,364,356,539,566,624
2021,3,60,"15,114","5,289","1,864","2,194",804,736,652,548,523,809,858,837
2021,3,70,"10,082","3,118","1,558","1,061",586,530,562,460,422,598,627,560
2021,3,80,"6,466","1,588",867,641,436,440,506,351,333,393,510,401
2021,3,90,891,218,119,90,67,46,47,73,45,61,76,49
2021,3,100,31,9,6,1,0,2,0,0,2,4,6,1
2021,4,총,"99,755","38,043","8,457","28,796","3,492","3,438","2,916","2,287","2,092","3,234","3,536","3,464"
2021,4,0,"7,621","2,439",280,"4,329",91,126,71,39,19,72,75,80
2021,4,10,"9,534","4,258",519,"3,716",121,222,116,61,63,137,148,173
2021,4,20,"9,450","4,770",556,"2,704",223,228,142,122,110,204,201,190
2021,4,30,"10,293","3,538",465,"5,045",199,192,140,91,94,139,195,195
2021,4,40,"14,399","6,020",785,"5,492",330,356,224,176,122,280,276,338
2021,4,50,"15,788","6,743","1,444","3,507",632,567,453,364,359,533,562,624
2021,4,60,"15,190","5,328","1,859","2,211",810,731,656,549,521,813,863,849
2021,4,70,"10,085","3,126","1,554","1,068",582,528,558,460,421,600,630,558
2021,4,80,"6,474","1,594",866,633,437,438,510,353,337,389,511,406
2021,4,90,896,219,123,90,67,48,46,72,44,63,74,50
2021,4,100,25,8,6,1,0,2,0,0,2,4,1,1
2021,5,총,"99,757","38,007","8,446","28,850","3,497","3,431","2,908","2,284","2,089","3,233","3,534","3,478"
2021,5,0,"7,578","2,414",277,"4,319",93,120,71,38,20,71,74,81
2021,5,10,"9,542","4,255",525,"3,723",121,225,113,58,62,136,152,172
2021,5,20,"9,439","4,776",549,"2,705",221,223,143,125,109,198,198,192
2021,5,30,"10,249","3,517",460,"5,032",200,185,138,90,92,142,195,198
2021,5,40,"14,341","5,969",777,"5,506",322,356,227,175,124,277,277,331
2021,5,50,"15,806","6,765","1,445","3,542",631,565,447,356,353,524,551,627
2021,5,60,"15,303","5,360","1,872","2,225",823,735,659,556,520,828,871,854
2021,5,70,"10,092","3,127","1,553","1,068",581,526,557,465,425,600,626,564
2021,5,80,"6,477","1,601",858,636,437,442,506,350,338,390,514,405
2021,5,90,905,215,124,93,68,52,47,71,44,63,75,53
2021,5,100,25,8,6,1,0,2,0,0,2,4,1,1
2021,6,총,"99,440","37,846","8,342","28,868","3,509","3,429","2,883","2,270","2,082","3,228","3,506","3,477"
2021,6,0,"7,570","2,396",278,"4,319",97,118,71,39,23,73,74,82
2021,6,10,"9,543","4,238",525,"3,739",121,230,111,58,59,140,151,171
2021,6,20,"9,404","4,771",546,"2,697",224,219,142,122,105,195,193,190
2021,6,30,"10,215","3,502",453,"5,022",202,183,136,91,91,140,194,201
2021,6,40,"14,290","5,938",756,"5,531",322,355,219,171,122,276,273,327
2021,6,50,"15,656","6,704","1,413","3,526",625,568,443,350,348,514,542,623
2021,6,60,"15,313","5,367","1,856","2,239",827,736,654,554,526,835,863,856
2021,6,70,"10,050","3,108","1,525","1,070",585,524,556,463,420,599,632,568
2021,6,80,"6,469","1,596",860,634,437,443,502,351,342,390,509,405
2021,6,90,905,217,124,90,69,51,49,71,45,62,74,53
2021,6,100,25,9,6,1,0,2,0,0,1,4,1,1
2021,7,총,"99,425","37,857","8,322","28,883","3,503","3,427","2,875","2,272","2,090","3,224","3,501","3,471"
2021,7,0,"7,536","2,380",278,"4,314",93,115,68,38,24,72,74,80
2021,7,10,"9,534","4,231",525,"3,737",123,232,111,58,57,142,150,168
2021,7,20,"9,428","4,765",535,"2,732",226,216,143,126,107,189,192,197
2021,7,30,"10,169","3,493",448,"4,997",200,181,134,91,96,141,193,195
2021,7,40,"14,251","5,916",768,"5,519",318,352,219,174,120,278,265,322
2021,7,50,"15,645","6,716","1,401","3,537",622,568,434,347,345,508,538,629
2021,7,60,"15,390","5,404","1,856","2,253",829,743,659,553,532,831,874,856
2021,7,70,"10,061","3,133","1,512","1,069",587,526,555,463,420,598,632,566
2021,7,80,"6,479","1,592",871,634,435,441,503,347,344,399,509,404
2021,7,90,908,218,123,90,70,51,49,75,44,62,73,53
2021,7,100,24,9,5,1,0,2,0,0,1,4,1,1
2021,8,총,"99,465","37,915","8,311","28,894","3,507","3,404","2,875","2,265","2,082","3,234","3,507","3,471"
2021,8,0,"7,490","2,366",278,"4,291",91,112,69,37,24,71,73,78
2021,8,10,"9,524","4,219",515,"3,761",123,228,109,57,55,143,146,168
2021,8,20,"9,434","4,788",536,"2,708",234,206,145,124,104,193,198,198
2021,8,30,"10,168","3,515",446,"4,964",203,184,135,87,98,143,196,197
2021,8,40,"14,222","5,902",764,"5,531",314,348,215,170,115,279,266,318
2021,8,50,"15,683","6,722","1,397","3,576",617,573,434,348,346,503,535,632
2021,8,60,"15,423","5,415","1,859","2,273",831,735,658,555,530,838,876,853
2021,8,70,"10,085","3,156","1,512","1,061",585,528,554,466,417,598,634,574
2021,8,80,"6,496","1,599",874,639,441,436,507,345,346,400,510,399
2021,8,90,915,224,125,89,67,52,49,76,46,62,72,53
2021,8,100,25,9,5,1,1,2,0,0,1,4,1,1
2021,9,총,"99,399","37,801","8,303","29,032","3,502","3,393","2,853","2,268","2,074","3,214","3,492","3,467"
2021,9,0,"7,467","2,341",275,"4,294",91,114,68,38,22,70,73,81
2021,9,10,"9,508","4,197",518,"3,783",123,225,107,58,54,129,143,171
2021,9,20,"9,371","4,738",520,"2,727",229,204,139,123,101,193,201,196
2021,9,30,"10,117","3,502",448,"4,954",197,183,129,85,97,138,188,196
2021,9,40,"14,213","5,881",754,"5,558",309,354,217,170,115,275,266,314
2021,9,50,"15,696","6,720","1,396","3,620",618,566,427,349,340,498,528,634
2021,9,60,"15,446","5,413","1,864","2,304",830,731,658,556,533,842,874,841
2021,9,70,"10,102","3,162","1,510","1,061",588,526,553,465,419,605,633,580
2021,9,80,"6,525","1,612",886,640,448,436,506,348,345,396,508,400
2021,9,90,928,225,127,90,68,52,49,76,47,64,77,53
2021,9,100,26,10,5,1,1,2,0,0,1,4,1,1
2021,10,총,"99,407","37,757","8,280","29,086","3,507","3,386","2,855","2,262","2,085","3,226","3,490","3,473"
2021,10,0,"7,437","2,315",272,"4,290",94,113,68,38,21,71,74,81
2021,10,10,"9,496","4,180",505,"3,800",123,220,108,60,55,131,141,173
2021,10,20,"9,337","4,720",512,"2,726",223,209,137,122,105,185,201,197
2021,10,30,"10,104","3,499",450,"4,955",194,179,131,82,95,141,183,195
2021,10,40,"14,219","5,869",752,"5,570",311,352,215,169,120,273,274,314
2021,10,50,"15,724","6,733","1,393","3,642",623,564,427,343,341,503,525,630
2021,10,60,"15,462","5,423","1,865","2,302",826,727,659,559,539,845,866,851
2021,10,70,"10,134","3,175","1,505","1,069",593,533,553,463,417,607,641,578
2021,10,80,"6,529","1,603",893,641,451,434,507,350,345,400,506,399
2021,10,90,937,230,128,88,68,53,50,76,46,66,78,54
2021,10,100,28,10,5,3,1,2,0,0,1,4,1,1
2021,11,총,"99,336","37,705","8,274","29,083","3,502","3,402","2,846","2,244","2,072","3,222","3,502","3,484"
2021,11,0,"7,391","2,312",270,"4,262",92,113,68,34,20,70,73,77
2021,11,10,"9,490","4,166",504,"3,804",125,217,109,59,54,131,142,179
2021,11,20,"9,323","4,683",505,"2,751",221,220,134,121,100,186,199,203
2021,11,30,"10,073","3,492",457,"4,934",187,176,132,81,97,138,184,195
2021,11,40,"14,178","5,853",750,"5,554",309,349,214,167,117,275,275,315
2021,11,50,"15,736","6,727","1,389","3,666",628,562,425,340,334,505,529,631
2021,11,60,"15,504","5,449","1,865","2,307",824,740,656,558,541,837,872,855
2021,11,70,"10,130","3,173","1,507","1,077",595,535,549,459,414,607,636,578
2021,11,80,"6,544","1,609",897,635,452,434,509,351,347,404,513,393
2021,11,90,939,231,125,90,68,54,50,74,47,65,78,57
2021,11,100,28,10,5,3,1,2,0,0,1,4,1,1
2021,12,총,"99,324","37,645","8,292","29,123","3,502","3,411","2,837","2,237","2,056","3,205","3,521","3,495"
2021,12,0,"7,358","2,300",267,"4,251",91,113,69,30,21,67,74,75
2021,12,10,"9,458","4,139",505,"3,806",126,214,104,60,55,128,139,182
2021,12,20,"9,298","4,668",506,"2,739",219,228,135,119,102,182,201,199
2021,12,30,"10,078","3,482",472,"4,917",190,176,134,82,97,140,192,196
2021,12,40,"14,183","5,829",746,"5,596",310,347,208,164,117,272,277,317
2021,12,50,"15,726","6,732","1,388","3,671",622,559,422,340,330,500,529,633
2021,12,60,"15,545","5,461","1,863","2,323",831,741,655,554,536,840,881,860
2021,12,70,"10,123","3,162","1,506","1,085",592,534,551,465,409,606,636,577
2021,12,80,"6,569","1,628",909,635,450,439,508,350,339,402,511,398
2021,12,90,962,235,125,97,70,58,51,73,49,66,81,57
2021,12,100,24,9,5,3,1,2,0,0,1,2,0,1
