년도,월,나이,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020,12,80,721,53,39,168,36,8,107,182,52,26,50
2020,12,90,189,13,18,48,6,4,29,38,11,8,14
2020,12,100,10,1,1,3,0,0,1,3,1,0,0
2021,1,총,"8,805",545,466,"2,138",518,86,862,"2,832",428,182,748
2021,1,0,463,18,13,168,28,2,23,142,10,5,54
2021,1,10,503,25,11,160,30,1,39,165,15,9,48
2021,1,20,730,37,22,220,49,6,53,197,35,13,98
2021,1,30,726,33,24,251,44,3,32,244,16,7,72
2021,1,40,887,53,46,227,38,3,65,330,31,16,78
2021,1,50,"1,522",84,86,308,100,9,130,587,71,28,119
2021,1,60,"1,850",149,131,364,91,20,205,596,107,43,144
2021,1,70,"1,200",77,74,222,96,31,176,348,79,27,70
2021,1,80,726,55,40,168,36,7,108,183,52,26,51
2021,1,90,188,12,18,47,6,4,30,38,11,8,14
2021,1,100,10,2,1,3,0,0,1,2,1,0,0
2021,2,총,"8,785",546,463,"2,117",519,85,858,"2,834",427,185,751
2021,2,0,463,19,13,170,28,2,22,139,10,5,55
2021,2,10,495,25,11,152,30,1,40,163,15,9,49
2021,2,20,715,34,22,212,48,6,50,199,33,14,97
2021,2,30,730,34,22,253,46,3,33,246,17,6,70
2021,2,40,872,55,47,219,38,1,64,326,30,17,75
2021,2,50,"1,514",82,85,302,99,10,130,585,71,29,121
2021,2,60,"1,868",150,130,370,93,20,204,601,108,43,149
2021,2,70,"1,197",77,74,221,95,29,176,351,78,28,68
2021,2,80,728,56,40,169,36,9,107,181,53,25,52
2021,2,90,194,12,18,47,6,4,31,41,11,9,15
2021,2,100,9,2,1,2,0,0,1,2,1,0,0
2021,3,총,"8,794",555,467,"2,106",516,85,859,"2,849",425,184,748
2021,3,0,455,22,12,164,27,2,24,137,10,4,53
2021,3,10,495,25,12,151,28,1,40,166,14,9,49
2021,3,20,724,34,23,214,51,6,51,201,33,15,96
2021,3,30,724,34,22,244,46,3,35,245,16,6,73
2021,3,40,861,56,44,223,37,1,60,321,27,17,75
2021,3,50,"1,504",82,86,298,96,10,130,581,75,28,118
2021,3,60,"1,902",155,131,373,95,20,206,621,110,42,149
2021,3,70,"1,196",77,77,222,93,29,174,350,76,30,68
2021,3,80,729,55,40,170,37,9,106,184,52,24,52
2021,3,90,195,13,19,45,6,4,32,41,11,9,15
2021,3,100,9,2,1,2,0,0,1,2,1,0,0
2021,4,총,"8,786",549,471,"2,101",517,85,862,"2,843",427,184,747
2021,4,0,450,19,11,162,27,2,24,138,9,5,53
2021,4,10,492,24,12,149,29,1,39,168,14,9,47
2021,4,20,721,36,24,213,50,6,49,196,33,15,99
2021,4,30,714,32,23,245,46,2,37,233,17,6,73
2021,4,40,871,54,44,223,37,2,60,333,27,18,73
2021,4,50,"1,499",84,86,298,96,10,134,573,74,27,117
2021,4,60,"1,919",154,134,373,97,20,207,631,110,43,150
2021,4,70,"1,191",76,77,221,93,29,173,347,78,29,68
2021,4,80,725,54,40,170,35,10,107,183,52,22,52
2021,4,90,195,14,19,45,7,3,31,39,12,10,15
2021,4,100,9,2,1,2,0,0,1,2,1,0,0
2021,5,총,"8,795",546,471,"2,102",512,85,865,"2,849",431,184,750
2021,5,0,452,19,10,161,26,2,26,141,9,5,53
2021,5,10,494,24,13,149,28,1,38,170,14,9,48
2021,5,20,718,37,22,215,47,6,51,195,32,15,98
2021,5,30,713,30,24,245,46,2,37,233,16,6,74
2021,5,40,871,52,43,222,36,2,60,337,29,18,72
2021,5,50,"1,487",84,88,292,96,10,132,564,76,27,118
2021,5,60,"1,934",155,134,380,98,20,208,634,110,43,152
2021,5,70,"1,195",77,78,222,93,29,172,349,79,29,67
2021,5,80,724,54,39,167,35,10,108,184,52,22,53
2021,5,90,197,11,19,47,7,3,32,40,13,10,15
2021,5,100,10,3,1,2,0,0,1,2,1,0,0
2021,6,총,"8,780",543,468,"2,094",514,84,869,"2,845",431,183,749
2021,6,0,448,19,9,161,26,2,25,139,9,5,53
2021,6,10,493,24,13,146,28,1,39,170,14,9,49
2021,6,20,725,37,21,220,48,5,54,194,34,14,98
2021,6,30,693,29,22,243,47,2,37,224,14,6,69
2021,6,40,870,49,45,218,36,2,58,340,29,18,75
2021,6,50,"1,480",85,85,292,95,10,131,564,75,26,117
2021,6,60,"1,946",155,134,379,98,20,211,640,111,44,154
2021,6,70,"1,191",76,79,221,93,29,173,347,77,29,67
2021,6,80,724,55,40,164,36,9,105,187,54,22,52
2021,6,90,202,11,19,48,7,4,35,40,13,10,15
2021,6,100,8,3,1,2,0,0,1,0,1,0,0
2021,7,총,"8,792",541,470,"2,099",515,83,871,"2,857",429,181,746
2021,7,0,445,19,9,159,26,2,23,142,9,4,52
2021,7,10,497,25,13,149,28,1,40,168,14,10,49
2021,7,20,727,36,20,224,48,4,56,193,33,12,101
2021,7,30,693,30,22,243,46,3,35,225,15,7,67
2021,7,40,868,49,47,218,38,2,57,344,27,16,70
2021,7,50,"1,466",78,88,289,93,10,131,558,74,26,119
2021,7,60,"1,967",160,133,378,99,20,216,651,112,44,154
2021,7,70,"1,196",76,77,224,94,28,174,350,77,29,67
2021,7,80,721,54,41,166,36,9,104,183,54,23,51
2021,7,90,204,11,19,47,7,4,34,43,13,10,16
2021,7,100,8,3,1,2,0,0,1,0,1,0,0
2021,8,총,"8,782",546,470,"2,097",509,82,868,"2,856",435,182,737
2021,8,0,442,19,9,157,23,2,23,143,10,4,52
2021,8,10,499,25,13,153,29,1,39,169,14,10,46
2021,8,20,711,34,20,223,45,3,55,191,34,12,94
2021,8,30,692,31,20,243,45,3,35,226,14,7,68
2021,8,40,867,51,49,214,39,2,56,342,27,16,71
2021,8,50,"1,460",78,87,292,90,10,131,550,76,27,119
2021,8,60,"1,979",164,133,377,101,20,214,659,113,44,154
2021,8,70,"1,199",76,79,222,93,28,177,350,79,29,66
2021,8,80,715,53,39,164,37,9,104,181,54,23,51
2021,8,90,209,12,20,50,7,4,33,44,13,10,16
2021,8,100,9,3,1,2,0,0,1,1,1,0,0
2021,9,총,"8,753",546,467,"2,084",505,82,870,"2,849",437,179,734
2021,9,0,438,19,10,153,22,2,23,143,10,4,52
2021,9,10,502,26,12,153,30,1,38,171,14,10,47
2021,9,20,693,35,20,219,43,3,54,182,36,11,90
2021,9,30,690,31,20,243,40,3,35,227,14,7,70
2021,9,40,861,50,46,214,42,2,57,337,28,15,70
2021,9,50,"1,449",78,87,288,86,10,132,548,76,27,117
2021,9,60,"1,982",163,132,377,105,19,214,663,110,44,155
2021,9,70,"1,198",75,80,220,91,29,177,353,79,28,66
2021,9,80,720,53,40,166,39,9,104,180,56,23,50
2021,9,90,211,13,19,49,7,4,35,44,13,10,17
2021,9,100,9,3,1,2,0,0,1,1,1,0,0
2021,10,총,"8,761",549,466,"2,071",506,83,864,"2,870",436,178,738
2021,10,0,439,19,10,150,24,3,21,145,10,4,53
2021,10,10,501,26,12,152,31,1,36,174,14,9,46
2021,10,20,692,35,19,218,42,3,54,184,37,11,89
2021,10,30,687,31,19,240,40,3,34,227,14,7,72
2021,10,40,865,49,47,211,42,2,57,344,28,15,70
2021,10,50,"1,446",82,87,283,83,10,133,550,74,27,117
2021,10,60,"2,002",165,133,382,108,19,215,664,113,44,159
2021,10,70,"1,195",75,80,219,92,29,176,352,78,28,66
2021,10,80,713,52,39,166,37,9,103,181,54,23,49
2021,10,90,212,11,19,48,7,4,35,48,13,10,17
2021,10,100,9,4,1,2,0,0,0,1,1,0,0
2021,11,총,"8,757",555,465,"2,053",506,83,859,"2,881",441,178,736
2021,11,0,433,19,10,145,22,3,20,146,10,4,54
2021,11,10,501,26,12,151,30,1,34,178,14,9,46
2021,11,20,685,34,19,213,43,3,53,184,38,11,87
2021,11,30,688,33,19,238,41,3,33,231,12,6,72
2021,11,40,865,49,46,211,42,2,59,340,31,16,69
2021,11,50,"1,442",82,88,279,82,10,131,550,76,27,117
2021,11,60,"2,010",168,132,383,109,19,215,668,114,44,158
2021,11,70,"1,196",77,80,217,90,29,176,355,78,27,67
2021,11,80,715,52,38,165,40,9,103,182,54,24,48
2021,11,90,212,11,19,49,7,4,35,46,13,10,18
2021,11,100,10,4,2,2,0,0,0,1,1,0,0
2021,12,총,"8,744",556,460,"2,042",503,83,860,"2,890",438,179,733
2021,12,0,432,19,10,143,22,3,21,148,10,4,52
2021,12,10,494,26,12,149,29,0,33,176,14,9,46
2021,12,20,689,34,18,216,42,4,52,190,35,12,86
2021,12,30,683,33,19,230,39,3,34,235,12,6,72
2021,12,40,857,49,47,213,42,2,59,333,29,15,68
2021,12,50,"1,439",83,86,272,82,10,133,553,76,27,117
2021,12,60,"2,013",168,130,386,110,19,215,668,114,45,158
2021,12,70,"1,198",78,81,215,90,29,174,359,79,26,67
2021,12,80,715,51,37,168,39,9,104,181,54,25,47
2021,12,90,213,11,19,47,8,4,35,46,14,10,19
2021,12,100,11,4,1,3,0,0,0,1,1,0,1
