년도,월,나이,영양군,영양읍,입암면,청기면,일월면,수비면,석보면
2020,9,50,"1,361",600,178,109,156,145,173
2020,9,60,"1,702",647,260,216,182,183,214
2020,9,70,"1,530",525,238,185,176,172,234
2020,9,80,"1,144",354,178,164,170,123,155
2020,9,90,186,76,27,22,18,23,20
2020,9,100,20,6,0,3,2,4,5
2020,10,총,"8,434","3,711","1,107",855,900,842,"1,019"
2020,10,0,347,201,40,25,23,21,37
2020,10,10,462,280,33,28,40,48,33
2020,10,20,473,282,41,32,44,33,41
2020,10,30,484,307,52,22,29,29,45
2020,10,40,711,424,59,42,61,62,63
2020,10,50,"1,362",604,176,113,153,143,173
2020,10,60,"1,712",651,260,219,186,182,214
2020,10,70,"1,527",523,242,183,174,174,231
2020,10,80,"1,148",354,177,165,170,125,157
2020,10,90,188,79,27,23,18,21,20
2020,10,100,20,6,0,3,2,4,5
2020,11,총,"8,431","3,711","1,105",855,893,843,"1,024"
2020,11,0,343,200,39,25,22,20,37
2020,11,10,457,278,33,27,40,46,33
2020,11,20,472,279,41,33,44,33,42
2020,11,30,479,305,52,22,27,29,44
2020,11,40,706,425,55,40,60,62,64
2020,11,50,"1,362",599,179,114,152,144,174
2020,11,60,"1,727",661,262,220,185,183,216
2020,11,70,"1,523",520,240,184,174,175,230
2020,11,80,"1,150",357,176,164,169,126,158
2020,11,90,191,81,28,23,18,20,21
2020,11,100,21,6,0,3,2,5,5
2020,12,총,"8,429","3,711","1,104",855,900,841,"1,018"
2020,12,0,341,200,37,26,21,20,37
2020,12,10,459,280,34,27,40,46,32
2020,12,20,470,275,40,34,45,34,42
2020,12,30,475,306,50,22,27,29,41
2020,12,40,709,428,56,38,61,63,63
2020,12,50,"1,351",595,177,115,151,140,173
2020,12,60,"1,735",662,261,220,188,185,219
2020,12,70,"1,521",522,244,182,175,172,226
2020,12,80,"1,156",357,176,166,171,128,158
2020,12,90,191,80,29,22,19,19,22
2020,12,100,21,6,0,3,2,5,5
2021,1,총,"8,401","3,689","1,103",858,893,843,"1,015"
2021,1,0,342,198,38,27,21,21,37
2021,1,10,452,276,32,27,38,47,32
2021,1,20,480,279,42,37,44,34,44
2021,1,30,470,300,51,22,27,30,40
2021,1,40,702,418,57,39,61,62,65
2021,1,50,"1,336",597,171,111,150,139,168
2021,1,60,"1,729",652,263,218,185,188,223
2021,1,70,"1,516",526,241,186,175,169,219
2021,1,80,"1,158",355,179,165,169,130,160
2021,1,90,195,82,29,23,21,18,22
2021,1,100,21,6,0,3,2,5,5
2021,2,총,"8,392","3,678","1,106",854,889,854,"1,011"
2021,2,0,349,203,39,26,21,24,36
2021,2,10,448,268,32,28,37,52,31
2021,2,20,470,273,42,35,44,33,43
2021,2,30,468,296,52,22,28,32,38
2021,2,40,699,414,56,39,61,63,66
2021,2,50,"1,337",601,172,110,146,141,167
2021,2,60,"1,726",649,264,217,187,186,223
2021,2,70,"1,519",529,242,188,170,171,219
2021,2,80,"1,158",357,177,161,171,130,162
2021,2,90,199,83,30,25,22,17,22
2021,2,100,19,5,0,3,2,5,4
2021,3,총,"8,345","3,655","1,101",853,885,856,995
2021,3,0,346,201,39,25,21,25,35
2021,3,10,446,270,30,29,36,51,30
2021,3,20,466,265,45,34,45,35,42
2021,3,30,466,295,52,21,28,32,38
2021,3,40,685,404,56,40,60,62,63
2021,3,50,"1,318",600,165,108,147,135,163
2021,3,60,"1,738",653,265,219,188,192,221
2021,3,70,"1,502",522,242,187,166,168,217
2021,3,80,"1,159",360,175,162,171,132,159
2021,3,90,204,83,32,25,22,19,23
2021,3,100,15,2,0,3,1,5,4
2021,4,총,"8,333","3,653","1,099",849,884,853,995
2021,4,0,340,197,38,25,21,24,35
2021,4,10,446,272,30,27,36,51,30
2021,4,20,467,266,44,33,45,36,43
2021,4,30,460,290,51,22,27,32,38
2021,4,40,688,405,59,40,60,62,62
2021,4,50,"1,308",599,164,106,144,132,163
2021,4,60,"1,752",656,265,224,190,194,223
2021,4,70,"1,492",522,240,185,166,163,216
2021,4,80,"1,164",364,177,161,171,133,158
2021,4,90,201,80,31,23,23,21,23
2021,4,100,15,2,0,3,1,5,4
2021,5,총,"8,307","3,637","1,099",843,886,849,993
2021,5,0,340,198,37,25,21,24,35
2021,5,10,444,269,30,27,37,51,30
2021,5,20,463,264,43,33,45,35,43
2021,5,30,455,285,51,22,27,32,38
2021,5,40,679,400,60,39,60,61,59
2021,5,50,"1,296",590,165,103,144,134,160
2021,5,60,"1,765",665,262,227,193,192,226
2021,5,70,"1,476",517,237,181,165,160,216
2021,5,80,"1,175",366,184,160,170,135,160
2021,5,90,199,81,30,23,23,20,22
2021,5,100,15,2,0,3,1,5,4
2021,6,총,"8,232","3,601","1,090",836,881,836,988
2021,6,0,335,194,38,23,21,24,35
2021,6,10,444,272,30,26,36,51,29
2021,6,20,460,263,42,32,44,36,43
2021,6,30,451,282,51,21,29,33,35
2021,6,40,666,394,58,39,55,60,60
2021,6,50,"1,267",574,161,102,142,129,159
2021,6,60,"1,766",670,260,226,194,189,227
2021,6,70,"1,457",507,235,181,164,155,215
2021,6,80,"1,172",361,186,160,172,134,159
2021,6,90,200,83,29,23,23,20,22
2021,6,100,14,1,0,3,1,5,4
2021,7,총,"8,221","3,605","1,089",832,878,833,984
2021,7,0,333,197,37,21,20,24,34
2021,7,10,440,268,30,26,35,51,30
2021,7,20,460,265,43,31,45,35,41
2021,7,30,452,284,51,21,29,32,35
2021,7,40,656,388,58,37,54,59,60
2021,7,50,"1,266",577,159,103,142,127,158
2021,7,60,"1,759",665,259,222,195,189,229
2021,7,70,"1,465",511,234,184,163,159,214
2021,7,80,"1,175",365,188,160,171,133,158
2021,7,90,201,84,30,24,23,19,21
2021,7,100,14,1,0,3,1,5,4
2021,8,총,"8,195","3,594","1,079",829,878,833,982
2021,8,0,330,194,36,21,20,25,34
2021,8,10,439,267,30,25,37,51,29
2021,8,20,452,258,43,29,46,34,42
2021,8,30,449,283,50,23,27,32,34
2021,8,40,656,392,56,37,54,60,57
2021,8,50,"1,252",567,157,100,143,127,158
2021,8,60,"1,761",666,257,224,195,189,230
2021,8,70,"1,462",512,233,183,162,157,215
2021,8,80,"1,174",367,186,159,171,134,157
2021,8,90,206,87,31,25,22,19,22
2021,8,100,14,1,0,3,1,5,4
2021,9,총,"8,194","3,592","1,081",829,883,828,981
2021,9,0,327,190,36,21,20,25,35
2021,9,10,439,268,32,23,37,51,28
2021,9,20,444,253,43,29,46,33,40
2021,9,30,452,286,49,23,28,31,35
2021,9,40,656,395,55,36,53,60,57
2021,9,50,"1,240",560,156,98,148,123,155
2021,9,60,"1,777",673,256,229,193,192,234
2021,9,70,"1,460",513,234,182,161,156,214
2021,9,80,"1,177",365,187,160,173,134,158
2021,9,90,208,88,33,25,23,18,21
2021,9,100,14,1,0,3,1,5,4
2021,10,총,"8,193","3,594","1,076",834,884,827,978
2021,10,0,325,190,36,21,20,26,32
2021,10,10,436,266,32,21,37,51,29
2021,10,20,442,249,42,32,48,31,40
2021,10,30,454,282,52,24,29,32,35
2021,10,40,647,397,54,36,52,58,50
2021,10,50,"1,246",562,152,99,151,121,161
2021,10,60,"1,786",680,255,231,192,195,233
2021,10,70,"1,455",515,232,180,157,157,214
2021,10,80,"1,179",364,187,161,175,134,158
2021,10,90,208,88,34,26,22,17,21
2021,10,100,15,1,0,3,1,5,5
2021,11,총,"8,197","3,598","1,082",828,885,828,976
2021,11,0,323,188,37,21,20,26,31
2021,11,10,433,262,34,21,36,50,30
2021,11,20,451,256,43,32,48,32,40
2021,11,30,452,282,51,23,29,32,35
2021,11,40,655,401,58,36,53,56,51
2021,11,50,"1,248",565,153,97,151,123,159
2021,11,60,"1,780",679,254,231,192,191,233
2021,11,70,"1,458",511,233,180,160,162,212
2021,11,80,"1,174",365,186,158,172,133,160
2021,11,90,208,88,33,26,23,18,20
2021,11,100,15,1,0,3,1,5,5
2021,12,총,"8,176","3,579","1,079",832,891,819,976
2021,12,0,325,186,37,24,21,26,31
2021,12,10,430,261,33,21,35,50,30
2021,12,20,456,256,43,33,50,33,41
2021,12,30,446,277,50,24,29,31,35
2021,12,40,653,397,57,36,54,57,52
2021,12,50,"1,240",560,151,97,154,121,157
2021,12,60,"1,774",678,255,229,193,189,230
2021,12,70,"1,456",511,232,182,160,159,212
2021,12,80,"1,180",363,188,158,172,136,163
2021,12,90,205,89,33,25,22,16,20
2021,12,100,11,1,0,3,1,1,5
