년도,월,나이,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020,8,총,"91,741","14,176","26,026","7,155","4,465","14,460","6,198","5,846","4,745","1,926","1,946","2,731","1,089",978
2020,8,0,"7,152",727,"3,057",394,298,"1,732",246,198,241,66,54,76,39,24
2020,8,10,"8,318","1,201","3,334",531,400,"1,357",339,389,289,120,64,211,43,40
2020,8,20,"8,958","1,689","2,649",706,404,"1,431",562,560,389,126,102,212,82,46
2020,8,30,"9,626","1,212","3,506",603,366,"2,327",450,380,351,111,85,130,54,51
2020,8,40,"13,607","2,067","4,722",951,658,"2,529",617,605,574,197,192,317,99,79
2020,8,50,"15,328","2,443","3,604","1,313",807,"2,160","1,259","1,235",873,335,392,470,260,177
2020,8,60,"13,577","2,277","2,514","1,267",729,"1,513","1,318","1,212",859,389,454,545,264,236
2020,8,70,"9,123","1,499","1,636",858,511,899,842,760,681,327,361,417,146,186
2020,8,80,"5,240",934,854,460,241,450,498,439,421,205,216,302,91,129
2020,8,90,768,122,144,65,45,58,61,64,66,47,26,50,11,9
2020,8,100,44,5,6,7,6,4,6,4,1,3,0,1,0,1
2020,9,총,"91,806","14,193","26,060","7,155","4,451","14,469","6,202","5,859","4,736","1,931","1,947","2,736","1,091",976
2020,9,0,"7,090",719,"3,028",394,289,"1,716",243,199,242,65,56,78,39,22
2020,9,10,"8,339","1,204","3,353",522,401,"1,364",335,385,292,121,61,216,43,42
2020,9,20,"8,986","1,695","2,665",711,399,"1,437",568,562,384,125,105,212,82,41
2020,9,30,"9,577","1,199","3,500",597,357,"2,316",445,380,354,109,89,128,53,50
2020,9,40,"13,596","2,073","4,729",941,656,"2,524",610,609,569,199,189,321,97,79
2020,9,50,"15,330","2,438","3,620","1,318",804,"2,169","1,263","1,223",868,337,388,462,261,179
2020,9,60,"13,660","2,298","2,515","1,276",738,"1,523","1,325","1,225",855,394,456,549,269,237
2020,9,70,"9,152","1,498","1,641",860,511,908,849,765,685,326,361,419,143,186
2020,9,80,"5,251",941,858,466,243,448,494,442,419,204,216,298,93,129
2020,9,90,781,123,145,63,47,60,64,65,67,48,26,52,11,10
2020,9,100,44,5,6,7,6,4,6,4,1,3,0,1,0,1
2020,10,총,"91,553","14,210","25,937","7,135","4,427","14,391","6,191","5,858","4,725","1,925","1,948","2,741","1,092",973
2020,10,0,"6,991",718,"2,975",386,283,"1,693",238,199,239,66,56,77,39,22
2020,10,10,"8,352","1,210","3,358",522,395,"1,359",344,386,294,118,61,220,42,43
2020,10,20,"8,933","1,697","2,637",713,404,"1,420",558,564,381,127,104,207,81,40
2020,10,30,"9,428","1,189","3,436",586,348,"2,276",443,378,342,109,88,129,55,49
2020,10,40,"13,563","2,074","4,727",944,645,"2,520",609,604,560,197,188,321,94,80
2020,10,50,"15,282","2,443","3,616","1,304",807,"2,154","1,251","1,214",872,339,384,462,261,175
2020,10,60,"13,729","2,294","2,527","1,282",738,"1,544","1,329","1,239",859,393,460,553,274,237
2020,10,70,"9,196","1,514","1,642",868,512,911,859,763,689,325,364,420,141,188
2020,10,80,"5,248",941,866,458,243,449,491,442,420,201,217,299,93,128
2020,10,90,787,125,147,65,46,62,62,65,68,47,26,52,12,10
2020,10,100,44,5,6,7,6,3,7,4,1,3,0,1,0,1
2020,11,총,"91,445","14,243","25,929","7,121","4,424","14,343","6,192","5,818","4,715","1,918","1,948","2,739","1,089",966
2020,11,0,"6,909",713,"2,937",380,281,"1,672",235,196,236,65,56,78,39,21
2020,11,10,"8,339","1,202","3,364",514,394,"1,349",349,389,296,117,62,217,42,44
2020,11,20,"8,901","1,700","2,638",706,401,"1,418",546,548,384,130,103,207,79,41
2020,11,30,"9,381","1,201","3,410",585,339,"2,261",442,375,347,106,89,127,53,46
2020,11,40,"13,528","2,072","4,740",929,645,"2,514",606,591,559,196,184,319,93,80
2020,11,50,"15,272","2,458","3,616","1,318",813,"2,146","1,250","1,204",857,337,381,463,257,172
2020,11,60,"13,810","2,309","2,555","1,284",742,"1,554","1,337","1,246",860,394,462,551,279,237
2020,11,70,"9,232","1,517","1,649",878,511,918,865,756,690,326,368,425,142,187
2020,11,80,"5,245",939,869,458,244,445,495,445,414,199,218,299,93,127
2020,11,90,783,127,145,62,48,63,60,64,71,45,25,51,12,10
2020,11,100,45,5,6,7,6,3,7,4,1,3,0,2,0,1
2020,12,총,"91,609","14,302","26,030","7,168","4,393","14,342","6,198","5,804","4,724","1,913","1,947","2,733","1,084",971
2020,12,0,"6,911",716,"2,939",383,280,"1,678",231,196,237,65,52,76,37,21
2020,12,10,"8,311","1,191","3,379",515,385,"1,348",348,382,290,106,61,219,42,45
2020,12,20,"8,956","1,724","2,656",722,391,"1,409",544,550,386,139,103,209,80,43
2020,12,30,"9,408","1,222","3,421",585,339,"2,257",436,373,350,106,89,129,55,46
2020,12,40,"13,548","2,071","4,756",936,639,"2,516",617,587,560,194,183,316,92,81
2020,12,50,"15,254","2,469","3,636","1,322",807,"2,132","1,240","1,199",853,331,380,459,254,172
2020,12,60,"13,858","2,314","2,563","1,292",742,"1,565","1,343","1,235",873,400,466,548,278,239
2020,12,70,"9,267","1,518","1,660",879,514,924,876,766,688,321,369,426,141,185
2020,12,80,"5,259",943,869,465,244,446,494,446,411,204,218,298,93,128
2020,12,90,794,130,145,63,46,64,62,66,75,44,26,51,12,10
2020,12,100,43,4,6,6,6,3,7,4,1,3,0,2,0,1
2021,1,총,"91,450","14,327","26,003","7,131","4,386","14,292","6,183","5,809","4,691","1,899","1,946","2,735","1,079",969
2021,1,0,"6,824",708,"2,886",379,282,"1,654",232,200,234,63,51,78,37,20
2021,1,10,"8,276","1,182","3,378",504,382,"1,352",346,382,281,103,61,219,40,46
2021,1,20,"8,921","1,742","2,671",710,386,"1,385",534,545,384,133,102,207,80,42
2021,1,30,"9,288","1,209","3,379",571,330,"2,234",427,379,342,100,86,130,56,45
2021,1,40,"13,563","2,083","4,760",936,640,"2,516",621,581,554,198,188,315,92,79
2021,1,50,"15,196","2,461","3,641","1,312",802,"2,124","1,224","1,194",855,330,375,461,250,167
2021,1,60,"13,963","2,330","2,601","1,304",751,"1,578","1,356","1,246",862,399,469,547,279,241
2021,1,70,"9,299","1,530","1,668",878,515,930,871,766,691,322,371,427,141,189
2021,1,80,"5,269",946,866,467,245,451,497,448,410,203,218,298,92,128
2021,1,90,807,133,147,64,47,65,68,63,77,45,25,50,12,11
2021,1,100,44,3,6,6,6,3,7,5,1,3,0,3,0,1
2021,2,총,"91,422","14,337","25,955","7,117","4,406","14,268","6,190","5,801","4,703","1,895","1,942","2,765","1,073",970
2021,2,0,"6,760",703,"2,856",374,282,"1,637",230,197,238,60,52,79,32,20
2021,2,10,"8,251","1,176","3,366",490,381,"1,345",353,379,283,106,58,227,40,47
2021,2,20,"8,895","1,753","2,663",707,394,"1,370",529,542,378,130,98,212,77,42
2021,2,30,"9,246","1,203","3,348",570,334,"2,230",424,376,337,100,83,139,56,46
2021,2,40,"13,544","2,079","4,759",922,643,"2,519",620,575,564,196,185,314,88,80
2021,2,50,"15,162","2,455","3,633","1,319",796,"2,127","1,219","1,188",849,326,374,459,250,167
2021,2,60,"14,069","2,345","2,626","1,307",762,"1,583","1,367","1,257",868,401,474,554,283,242
2021,2,70,"9,309","1,529","1,677",884,514,931,868,766,693,324,371,427,140,185
2021,2,80,"5,316",954,868,471,248,457,504,452,417,203,219,300,94,129
2021,2,90,824,137,152,67,46,66,69,64,75,46,27,51,13,11
2021,2,100,46,3,7,6,6,3,7,5,1,3,1,3,0,1
2021,3,총,"91,127","14,296","25,833","7,102","4,386","14,272","6,132","5,791","4,701","1,890","1,932","2,733","1,079",980
2021,3,0,"6,710",700,"2,820",372,274,"1,641",232,189,239,61,52,77,33,20
2021,3,10,"8,202","1,174","3,348",490,381,"1,343",346,378,280,102,60,214,41,45
2021,3,20,"8,842","1,765","2,639",698,388,"1,350",526,543,375,131,93,212,78,44
2021,3,30,"9,169","1,196","3,298",573,331,"2,227",423,363,340,99,83,135,56,45
2021,3,40,"13,475","2,074","4,740",923,637,"2,514",600,577,549,195,186,310,88,82
2021,3,50,"15,073","2,431","3,623","1,304",799,"2,134","1,200","1,181",842,324,368,448,247,172
2021,3,60,"14,169","2,347","2,662","1,320",761,"1,587","1,362","1,271",890,403,476,555,290,245
2021,3,70,"9,293","1,525","1,674",872,514,942,867,763,694,322,367,431,138,184
2021,3,80,"5,342",945,876,479,253,460,507,458,415,207,219,296,95,132
2021,3,90,819,136,148,67,45,71,65,64,76,45,27,52,13,10
2021,3,100,33,3,5,4,3,3,4,4,1,1,1,3,0,1
2021,4,총,"91,127","14,329","25,842","7,114","4,383","14,270","6,101","5,776","4,688","1,888","1,924","2,736","1,094",982
2021,4,0,"6,675",697,"2,806",367,273,"1,634",229,189,239,59,52,75,34,21
2021,4,10,"8,175","1,160","3,355",486,378,"1,338",342,372,277,102,60,217,43,45
2021,4,20,"8,844","1,765","2,646",701,388,"1,369",522,530,370,129,91,208,79,46
2021,4,30,"9,130","1,205","3,282",579,325,"2,204",421,361,341,97,83,128,58,46
2021,4,40,"13,417","2,062","4,735",916,637,"2,497",595,572,541,196,183,310,92,81
2021,4,50,"15,120","2,446","3,645","1,307",800,"2,158","1,186","1,178",837,322,367,456,248,170
2021,4,60,"14,271","2,370","2,678","1,335",765,"1,595","1,364","1,282",896,403,480,559,294,250
2021,4,70,"9,288","1,532","1,668",872,515,950,861,762,692,324,364,430,136,182
2021,4,80,"5,357",951,874,480,254,455,513,462,419,209,216,299,96,129
2021,4,90,817,138,148,67,45,67,64,64,75,46,27,51,14,11
2021,4,100,33,3,5,4,3,3,4,4,1,1,1,3,0,1
2021,5,총,"91,126","14,372","25,858","7,106","4,373","14,246","6,079","5,782","4,680","1,892","1,921","2,735","1,097",985
2021,5,0,"6,622",696,"2,781",365,272,"1,624",223,185,235,59,53,73,35,21
2021,5,10,"8,180","1,158","3,367",486,377,"1,333",339,376,275,99,62,218,45,45
2021,5,20,"8,844","1,780","2,655",699,386,"1,360",517,529,364,130,92,208,79,45
2021,5,30,"9,087","1,209","3,273",565,323,"2,177",416,364,348,98,83,125,57,49
2021,5,40,"13,356","2,044","4,734",912,625,"2,499",585,575,527,193,182,305,94,81
2021,5,50,"15,166","2,466","3,665","1,306",800,"2,164","1,183","1,178",840,325,361,458,250,170
2021,5,60,"14,327","2,387","2,683","1,341",771,"1,603","1,370","1,281",894,408,484,560,292,253
2021,5,70,"9,297","1,537","1,673",872,516,959,855,764,694,323,356,433,136,179
2021,5,80,"5,393",954,874,485,257,459,522,462,427,208,221,300,94,130
2021,5,90,824,138,149,71,43,65,65,66,75,48,26,52,15,11
2021,5,100,30,3,4,4,3,3,4,2,1,1,1,3,0,1
2021,6,총,"91,024","14,323","25,897","7,097","4,359","14,221","6,061","5,787","4,678","1,885","1,931","2,712","1,091",982
2021,6,0,"6,567",689,"2,762",359,275,"1,617",218,181,231,56,53,71,35,20
2021,6,10,"8,184","1,155","3,375",490,371,"1,329",340,380,276,100,62,217,44,45
2021,6,20,"8,819","1,764","2,677",700,389,"1,347",511,529,364,127,92,200,75,44
2021,6,30,"9,059","1,208","3,275",558,322,"2,169",411,363,345,94,85,123,58,48
2021,6,40,"13,300","2,022","4,739",909,615,"2,494",579,580,526,191,178,300,85,82
2021,6,50,"15,117","2,447","3,655","1,309",798,"2,160","1,172","1,180",833,323,368,450,254,168
2021,6,60,"14,427","2,397","2,717","1,344",769,"1,614","1,386","1,279",909,414,486,566,295,251
2021,6,70,"9,288","1,539","1,664",863,516,966,857,761,688,322,360,434,136,182
2021,6,80,"5,397",959,877,487,257,458,518,465,431,208,220,295,94,128
2021,6,90,836,140,152,74,44,64,65,67,74,49,26,53,15,13
2021,6,100,30,3,4,4,3,3,4,2,1,1,1,3,0,1
2021,7,총,"91,197","14,295","26,225","7,011","4,365","14,248","6,058","5,778","4,630","1,884","1,936","2,698","1,092",977
2021,7,0,"6,536",689,"2,768",349,273,"1,608",212,178,226,54,53,73,34,19
2021,7,10,"8,177","1,144","3,401",482,372,"1,337",337,372,269,103,61,215,42,42
2021,7,20,"8,875","1,767","2,740",686,392,"1,358",511,529,359,124,89,199,77,44
2021,7,30,"9,009","1,192","3,296",540,314,"2,150",406,365,344,95,85,120,57,45
2021,7,40,"13,314","2,002","4,805",888,622,"2,500",579,573,519,189,179,293,84,81
2021,7,50,"15,158","2,451","3,717","1,303",799,"2,164","1,173","1,181",818,323,365,446,249,169
2021,7,60,"14,551","2,404","2,787","1,336",776,"1,626","1,395","1,284",908,416,493,572,302,252
2021,7,70,"9,296","1,544","1,668",861,514,975,856,764,683,319,361,432,138,181
2021,7,80,"5,416",961,888,488,257,464,515,463,430,212,223,291,94,130
2021,7,90,835,138,151,74,43,63,70,67,73,48,26,54,15,13
2021,7,100,30,3,4,4,3,3,4,2,1,1,1,3,0,1
2021,8,총,"91,223","14,276","26,326","7,030","4,354","14,262","6,044","5,762","4,613","1,874","1,940","2,682","1,089",971
2021,8,0,"6,492",679,"2,763",351,268,"1,601",207,178,217,54,52,71,32,19
2021,8,10,"8,173","1,132","3,402",484,368,"1,355",337,367,270,101,63,211,43,40
2021,8,20,"8,843","1,766","2,766",674,386,"1,343",508,530,352,121,84,195,74,44
2021,8,30,"8,977","1,181","3,303",536,314,"2,154",400,353,337,94,87,119,58,41
2021,8,40,"13,305","1,988","4,816",886,620,"2,504",572,575,524,188,181,288,83,80
2021,8,50,"15,180","2,447","3,749","1,312",795,"2,159","1,175","1,184",819,323,365,439,245,168
2021,8,60,"14,633","2,425","2,803","1,350",785,"1,639","1,400","1,283",901,416,494,576,309,252
2021,8,70,"9,311","1,550","1,672",865,517,976,850,766,683,316,363,434,136,183
2021,8,80,"5,437",962,897,493,257,463,517,460,436,213,223,291,95,130
2021,8,90,843,143,151,75,42,65,74,64,73,47,27,55,14,13
2021,8,100,29,3,4,4,2,3,4,2,1,1,1,3,0,1
2021,9,총,"91,146","14,291","26,374","6,967","4,348","14,278","6,004","5,766","4,575","1,861","1,948","2,680","1,084",970
2021,9,0,"6,458",671,"2,753",344,270,"1,598",202,179,216,54,51,71,31,18
2021,9,10,"8,153","1,123","3,406",480,368,"1,353",338,367,265,101,63,206,43,40
2021,9,20,"8,774","1,759","2,764",653,374,"1,359",495,522,337,115,83,193,73,47
2021,9,30,"8,948","1,187","3,312",530,317,"2,144",386,350,327,96,88,115,56,40
2021,9,40,"13,266","1,982","4,825",876,613,"2,510",565,577,517,181,179,280,81,80
2021,9,50,"15,223","2,459","3,769","1,312",790,"2,163","1,162","1,186",824,322,370,452,245,169
2021,9,60,"14,661","2,430","2,813","1,339",792,"1,644","1,409","1,290",899,419,494,570,311,251
2021,9,70,"9,334","1,565","1,684",863,514,978,851,765,680,311,364,441,136,182
2021,9,80,"5,440",966,888,489,265,460,514,465,435,216,227,290,94,131
2021,9,90,861,146,156,77,43,66,78,63,74,45,28,59,14,12
2021,9,100,28,3,4,4,2,3,4,2,1,1,1,3,0,0
2021,10,총,"91,093","14,297","26,384","6,995","4,329","14,240","6,001","5,748","4,567","1,855","1,941","2,680","1,090",966
2021,10,0,"6,429",673,"2,734",351,266,"1,580",209,177,214,54,48,77,30,16
2021,10,10,"8,149","1,119","3,410",485,366,"1,356",335,360,263,102,63,207,44,39
2021,10,20,"8,734","1,742","2,758",649,368,"1,357",497,519,337,111,82,190,76,48
2021,10,30,"8,918","1,194","3,308",532,312,"2,120",380,354,322,96,89,114,57,40
2021,10,40,"13,224","1,968","4,831",873,615,"2,505",563,570,508,184,175,275,79,78
2021,10,50,"15,252","2,476","3,777","1,318",787,"2,167","1,154","1,184",830,316,374,454,247,168
2021,10,60,"14,732","2,446","2,830","1,348",791,"1,653","1,414","1,297",902,428,492,569,312,250
2021,10,70,"9,302","1,560","1,687",860,513,971,850,754,680,304,362,441,138,182
2021,10,80,"5,453",968,888,497,268,461,516,466,436,212,226,290,92,133
2021,10,90,873,148,157,78,41,67,79,65,74,47,29,61,15,12
2021,10,100,27,3,4,4,2,3,4,2,1,1,1,2,0,0
2021,11,총,"91,137","14,345","26,391","7,000","4,324","14,228","6,005","5,744","4,572","1,848","1,928","2,686","1,092",974
2021,11,0,"6,376",672,"2,710",347,263,"1,551",212,178,217,53,48,80,29,16
2021,11,10,"8,202","1,123","3,437",484,363,"1,374",338,360,260,103,63,211,47,39
2021,11,20,"8,722","1,762","2,740",661,363,"1,347",490,518,331,112,80,191,78,49
2021,11,30,"8,847","1,203","3,263",528,306,"2,095",380,350,331,95,87,112,58,39
2021,11,40,"13,224","1,957","4,848",871,613,"2,515",564,571,502,181,176,268,78,80
2021,11,50,"15,259","2,479","3,795","1,317",785,"2,159","1,156","1,180",828,316,370,459,244,171
2021,11,60,"14,826","2,460","2,857","1,349",803,"1,668","1,417","1,306",910,425,489,575,316,251
2021,11,70,"9,307","1,558","1,693",861,518,984,845,749,678,306,358,438,137,182
2021,11,80,"5,474",983,888,501,266,463,519,466,439,209,226,290,90,134
2021,11,90,874,146,156,77,43,69,79,64,75,47,30,60,15,13
2021,11,100,26,2,4,4,1,3,5,2,1,1,1,2,0,0
2021,12,총,"91,142","14,339","26,435","6,998","4,321","14,218","5,996","5,743","4,568","1,847","1,928","2,685","1,090",974
2021,12,0,"6,324",661,"2,710",343,254,"1,526",214,182,212,51,48,79,27,17
2021,12,10,"8,177","1,105","3,429",484,366,"1,377",335,354,265,104,62,209,48,39
2021,12,20,"8,745","1,754","2,759",665,364,"1,351",484,530,333,112,79,191,74,49
2021,12,30,"8,842","1,224","3,248",525,305,"2,083",382,349,327,95,90,115,59,40
2021,12,40,"13,207","1,935","4,860",865,608,"2,527",562,568,501,177,176,270,78,80
2021,12,50,"15,316","2,495","3,820","1,309",798,"2,165","1,155","1,178",830,320,369,459,244,174
2021,12,60,"14,830","2,465","2,865","1,359",794,"1,658","1,419","1,304",905,427,493,572,319,250
2021,12,70,"9,295","1,563","1,693",865,519,988,841,745,676,308,349,433,135,180
2021,12,80,"5,506",988,897,502,268,469,519,465,442,207,232,295,91,131
2021,12,90,878,148,151,78,45,71,80,66,76,45,29,60,15,14
2021,12,100,22,1,3,3,0,3,5,2,1,1,1,2,0,0
