년도,월,나이,하동군,하동읍,화개면,악양면,적량면,횡천면,고전면,금남면,진교면,양보면,북천면,청암면,옥종면,금성면
2020,12,80,"4,384",609,249,398,278,264,283,387,508,275,239,123,504,267
2020,12,90,730,90,41,70,36,44,59,67,88,52,37,22,89,35
2020,12,100,23,2,2,3,0,2,1,2,3,3,1,1,3,0
2021,1,총,"44,673","9,995","3,056","3,535","1,943","1,883","2,290","3,490","6,032","1,767","1,742","1,508","4,344","3,088"
2021,1,0,"1,803",563,90,99,51,52,69,94,360,21,63,65,156,120
2021,1,10,"2,871",891,212,192,89,73,121,141,460,73,85,143,235,156
2021,1,20,"3,425","1,011",225,206,130,121,156,273,468,89,94,76,270,306
2021,1,30,"2,751",828,120,156,95,101,112,183,439,74,103,78,233,229
2021,1,40,"4,939","1,366",360,339,182,152,231,334,789,135,151,135,393,372
2021,1,50,"8,394","1,820",700,730,337,354,397,667,"1,073",305,281,259,850,621
2021,1,60,"8,960","1,669",602,760,440,422,502,759,"1,105",388,387,385,971,570
2021,1,70,"6,369","1,140",457,580,304,297,357,586,732,348,302,218,636,412
2021,1,80,"4,394",613,246,398,276,268,283,383,514,276,239,125,507,266
2021,1,90,744,92,42,72,39,41,61,68,89,55,36,23,90,36
2021,1,100,23,2,2,3,0,2,1,2,3,3,1,1,3,0
2021,2,총,"44,494","9,924","3,056","3,528","1,933","1,886","2,280","3,478","6,012","1,762","1,736","1,499","4,322","3,078"
2021,2,0,"1,785",557,88,100,51,53,69,91,357,20,63,64,152,120
2021,2,10,"2,845",877,207,189,91,74,120,144,455,76,84,140,232,156
2021,2,20,"3,360",985,226,200,127,117,151,266,468,85,93,74,265,303
2021,2,30,"2,730",829,119,156,94,103,113,182,431,74,103,77,230,219
2021,2,40,"4,885","1,350",351,333,179,148,227,333,785,138,150,132,387,372
2021,2,50,"8,340","1,812",708,725,332,347,399,660,"1,069",301,278,257,840,612
2021,2,60,"9,010","1,667",606,773,445,432,503,765,"1,107",389,388,385,969,581
2021,2,70,"6,357","1,137",458,582,302,296,354,581,731,347,299,221,639,410
2021,2,80,"4,403",615,249,395,275,272,279,386,514,274,240,124,512,268
2021,2,90,757,94,42,73,37,42,64,68,92,55,37,24,92,37
2021,2,100,22,1,2,2,0,2,1,2,3,3,1,1,4,0
2021,3,총,"44,388","9,904","3,060","3,521","1,922","1,889","2,277","3,477","5,976","1,755","1,745","1,492","4,303","3,067"
2021,3,0,"1,784",564,89,102,48,54,66,91,351,20,64,64,151,120
2021,3,10,"2,809",873,202,188,89,73,120,145,446,71,83,136,228,155
2021,3,20,"3,314",963,229,196,126,115,151,261,457,85,96,70,258,307
2021,3,30,"2,718",830,121,152,93,100,110,182,423,75,103,84,231,214
2021,3,40,"4,851","1,338",354,335,180,152,225,331,780,139,146,125,380,366
2021,3,50,"8,268","1,799",699,717,331,345,400,654,"1,055",299,285,253,830,601
2021,3,60,"9,100","1,680",619,785,444,439,509,774,"1,120",385,393,391,975,586
2021,3,70,"6,346","1,142",454,572,300,293,355,583,726,348,301,219,643,410
2021,3,80,"4,408",621,249,399,273,272,275,384,520,274,236,125,512,268
2021,3,90,770,93,42,74,38,44,65,70,95,56,38,24,91,40
2021,3,100,20,1,2,1,0,2,1,2,3,3,0,1,4,0
2021,4,총,"44,326","9,877","3,066","3,522","1,931","1,872","2,267","3,466","5,961","1,752","1,746","1,489","4,309","3,068"
2021,4,0,"1,755",555,87,100,48,53,63,90,348,22,62,59,149,119
2021,4,10,"2,788",869,201,188,89,70,122,145,435,72,85,128,229,155
2021,4,20,"3,296",962,234,189,127,110,146,251,461,83,93,74,259,307
2021,4,30,"2,713",823,119,155,96,101,108,183,421,76,102,85,233,211
2021,4,40,"4,825","1,329",352,335,182,148,219,324,781,141,146,125,379,364
2021,4,50,"8,233","1,787",696,714,336,343,391,649,"1,048",296,281,256,830,606
2021,4,60,"9,151","1,696",631,788,439,436,521,779,"1,123",381,400,393,979,585
2021,4,70,"6,338","1,137",453,573,302,291,352,582,723,349,304,219,643,410
2021,4,80,"4,420",621,248,404,274,271,277,390,522,274,236,123,510,270
2021,4,90,787,97,43,75,38,47,67,71,96,55,37,26,94,41
2021,4,100,20,1,2,1,0,2,1,2,3,3,0,1,4,0
2021,5,총,"44,223","9,886","3,064","3,516","1,935","1,861","2,261","3,456","5,955","1,742","1,733","1,476","4,292","3,046"
2021,5,0,"1,738",551,87,102,50,51,63,88,340,23,61,55,149,118
2021,5,10,"2,773",870,198,186,89,71,119,145,437,70,82,125,227,154
2021,5,20,"3,263",961,230,191,125,108,141,247,462,81,89,72,257,299
2021,5,30,"2,682",817,121,154,96,101,108,178,417,71,99,83,232,205
2021,5,40,"4,799","1,334",349,333,182,141,215,321,776,141,145,127,373,362
2021,5,50,"8,193","1,788",701,709,331,341,382,647,"1,040",288,283,252,829,602
2021,5,60,"9,185","1,697",632,790,446,437,520,783,"1,134",385,399,394,983,585
2021,5,70,"6,351","1,140",452,571,300,292,362,583,726,353,302,220,639,411
2021,5,80,"4,436",633,247,404,276,270,281,391,524,273,234,123,509,271
2021,5,90,784,94,45,75,40,47,69,70,96,54,39,24,92,39
2021,5,100,19,1,2,1,0,2,1,3,3,3,0,1,2,0
