년도,월,나이,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020,6,60,"4,743","1,440",229,264,198,421,267,434,290,273,207,285,301,134
2020,6,70,"4,344","1,116",224,324,188,392,290,346,212,300,245,321,266,120
2020,6,80,"3,166",719,184,280,175,222,227,240,135,278,209,222,196,79
2020,6,90,470,90,35,40,31,24,33,36,20,37,29,34,42,19
2020,6,100,35,5,4,2,2,2,2,3,3,2,2,2,5,1
2020,7,총,"26,452","10,654","1,032","1,451","1,134","1,740","1,254","2,246","1,161","1,330","1,142","1,391","1,357",560
2020,7,0,"1,262",801,23,23,58,64,25,98,32,25,31,29,38,15
2020,7,10,"1,798","1,127",27,59,65,77,37,142,50,51,45,55,45,18
2020,7,20,"1,927","1,000",52,86,81,97,59,173,61,64,76,83,68,27
2020,7,30,"1,838","1,050",49,66,75,91,43,163,67,35,52,62,61,24
2020,7,40,"2,743","1,578",59,86,87,137,67,206,90,91,77,114,110,41
2020,7,50,"4,111","1,720",142,218,173,219,207,404,204,173,170,178,224,79
2020,7,60,"4,731","1,444",226,261,193,414,269,437,288,275,206,288,298,132
2020,7,70,"4,373","1,118",230,329,195,395,289,347,212,299,247,320,270,122
2020,7,80,"3,161",720,184,282,174,220,226,235,132,277,207,226,196,82
2020,7,90,474,91,36,39,32,24,30,38,22,38,29,34,42,19
2020,7,100,34,5,4,2,1,2,2,3,3,2,2,2,5,1
2020,8,총,"26,395","10,693","1,029","1,442","1,115","1,724","1,254","2,239","1,155","1,324","1,131","1,380","1,353",556
2020,8,0,"1,250",799,22,23,53,64,25,98,33,24,30,28,37,14
2020,8,10,"1,795","1,140",29,56,60,74,36,138,50,47,44,55,48,18
2020,8,20,"1,908",997,54,86,83,94,59,171,55,63,77,79,63,27
2020,8,30,"1,824","1,052",47,68,69,87,43,162,67,36,47,59,63,24
2020,8,40,"2,741","1,580",58,82,89,135,67,208,91,90,77,112,111,41
2020,8,50,"4,098","1,735",140,213,165,220,208,403,200,172,169,175,220,78
2020,8,60,"4,737","1,450",228,263,196,405,271,435,287,275,207,288,300,132
2020,8,70,"4,382","1,123",228,331,195,403,286,346,216,300,244,318,271,121
2020,8,80,"3,146",715,185,277,171,217,228,238,131,276,204,230,192,82
2020,8,90,481,97,34,41,33,23,29,38,22,39,30,34,43,18
2020,8,100,33,5,4,2,1,2,2,2,3,2,2,2,5,1
2020,9,총,"26,349","10,684","1,025","1,435","1,110","1,712","1,251","2,230","1,152","1,328","1,135","1,384","1,352",551
2020,9,0,"1,250",803,22,23,52,61,25,98,31,27,30,28,36,14
2020,9,10,"1,772","1,119",29,55,60,71,36,135,51,49,44,55,50,18
2020,9,20,"1,905",998,52,85,81,93,58,173,54,63,78,80,63,27
2020,9,30,"1,814","1,053",46,69,69,85,44,163,66,35,42,59,60,23
2020,9,40,"2,728","1,570",56,81,88,135,66,208,90,91,77,114,112,40
2020,9,50,"4,086","1,739",138,210,166,219,206,399,198,172,174,172,219,74
2020,9,60,"4,754","1,460",226,263,196,403,272,437,291,272,209,290,300,135
2020,9,70,"4,386","1,125",231,330,195,402,285,341,216,306,243,321,271,120
2020,9,80,"3,135",714,185,275,169,217,226,237,130,273,206,228,192,83
2020,9,90,485,98,36,42,33,24,31,37,22,38,30,35,44,15
2020,9,100,34,5,4,2,1,2,2,2,3,2,2,2,5,2
2020,10,총,"26,316","10,714","1,024","1,431","1,100","1,715","1,243","2,225","1,145","1,319","1,134","1,375","1,351",540
2020,10,0,"1,240",806,22,20,48,60,25,96,32,26,28,28,36,13
2020,10,10,"1,758","1,115",28,52,57,74,32,136,47,49,45,55,51,17
2020,10,20,"1,912","1,006",52,88,84,97,56,172,55,58,76,80,62,26
2020,10,30,"1,804","1,051",45,68,67,84,44,159,64,37,43,59,61,22
2020,10,40,"2,726","1,576",56,80,87,135,63,208,91,91,78,110,112,39
2020,10,50,"4,054","1,742",136,207,165,214,203,396,192,168,171,175,215,70
2020,10,60,"4,788","1,467",227,263,196,407,274,445,295,273,210,291,305,135
2020,10,70,"4,375","1,133",231,333,195,398,284,336,212,307,242,315,269,120
2020,10,80,"3,137",715,187,273,166,217,229,239,132,272,208,225,193,81
2020,10,90,490,98,36,45,34,27,31,36,22,36,31,35,43,16
2020,10,100,32,5,4,2,1,2,2,2,3,2,2,2,4,1
2020,11,총,"26,284","10,711","1,015","1,430","1,092","1,704","1,241","2,233","1,137","1,316","1,138","1,374","1,352",541
2020,11,0,"1,224",804,22,19,47,54,24,96,28,23,29,31,34,13
2020,11,10,"1,759","1,121",28,51,57,73,30,135,46,50,43,55,54,16
2020,11,20,"1,908","1,003",49,89,85,97,56,173,55,61,77,76,60,27
2020,11,30,"1,787","1,047",44,67,66,82,44,154,61,34,45,59,61,23
2020,11,40,"2,721","1,572",56,79,85,133,66,204,92,90,76,116,113,39
2020,11,50,"4,044","1,735",132,209,161,214,202,403,187,166,172,174,218,71
2020,11,60,"4,804","1,481",227,262,196,404,273,456,297,274,209,288,305,132
2020,11,70,"4,373","1,128",228,334,194,399,282,339,213,309,243,315,268,121
2020,11,80,"3,145",717,189,273,166,221,230,236,133,270,211,224,195,80
2020,11,90,489,99,36,46,34,25,32,35,22,37,31,34,40,18
2020,11,100,30,4,4,1,1,2,2,2,3,2,2,2,4,1
2020,12,총,"26,226","10,715","1,017","1,426","1,088","1,699","1,240","2,206","1,137","1,309","1,133","1,368","1,346",542
2020,12,0,"1,220",803,22,19,47,56,24,95,28,22,29,31,31,13
2020,12,10,"1,762","1,127",27,52,57,74,31,134,46,49,43,53,53,16
2020,12,20,"1,885",986,52,88,84,93,57,171,52,62,77,76,61,26
2020,12,30,"1,794","1,053",44,68,65,81,47,151,62,36,47,58,60,22
2020,12,40,"2,702","1,565",56,77,83,134,64,202,92,88,74,113,113,41
2020,12,50,"4,018","1,728",132,207,164,210,200,398,185,169,168,176,210,71
2020,12,60,"4,809","1,501",229,264,196,396,273,447,301,268,208,286,308,132
2020,12,70,"4,364","1,125",225,334,194,405,277,337,212,308,241,318,271,117
2020,12,80,"3,154",723,189,271,165,223,234,236,132,267,213,222,195,84
2020,12,90,487,99,37,45,32,25,31,33,24,38,31,33,40,19
2020,12,100,31,5,4,1,1,2,2,2,3,2,2,2,4,1
2021,1,총,"26,165","10,696","1,007","1,424","1,082","1,703","1,235","2,201","1,136","1,306","1,129","1,367","1,341",538
2021,1,0,"1,206",791,20,23,48,55,24,93,30,24,27,30,30,11
2021,1,10,"1,768","1,137",25,52,56,74,31,134,47,47,43,56,52,14
2021,1,20,"1,864",979,49,84,80,95,57,167,53,60,79,74,61,26
2021,1,30,"1,776","1,038",44,65,66,83,46,149,63,36,47,60,57,22
2021,1,40,"2,690","1,558",54,79,83,135,60,202,92,86,76,112,114,39
2021,1,50,"4,004","1,733",133,203,164,206,200,397,177,171,164,176,209,71
2021,1,60,"4,818","1,503",231,267,192,397,272,454,303,266,209,284,307,133
2021,1,70,"4,357","1,130",221,331,196,404,272,338,214,307,238,316,272,118
2021,1,80,"3,163",726,189,275,163,226,238,232,131,268,213,224,195,83
2021,1,90,487,95,37,44,33,26,33,33,23,39,31,33,40,20
2021,1,100,32,6,4,1,1,2,2,2,3,2,2,2,4,1
2021,2,총,"26,125","10,705","1,002","1,413","1,073","1,703","1,233","2,204","1,127","1,301","1,130","1,368","1,330",536
2021,2,0,"1,203",793,19,20,47,58,23,93,30,24,26,31,28,11
2021,2,10,"1,760","1,134",24,53,56,73,35,139,44,43,42,51,52,14
2021,2,20,"1,835",972,49,77,76,94,56,161,48,62,79,77,59,25
2021,2,30,"1,767","1,036",44,67,63,80,45,149,61,36,47,57,57,25
2021,2,40,"2,683","1,556",55,79,85,137,60,202,91,83,75,112,110,38
2021,2,50,"3,996","1,741",130,197,164,204,201,395,177,169,167,172,209,70
2021,2,60,"4,828","1,512",234,268,192,399,266,459,304,263,208,289,302,132
2021,2,70,"4,351","1,131",216,332,194,400,274,337,212,309,237,319,272,118
2021,2,80,"3,183",730,189,275,163,229,238,234,133,271,217,224,198,82
2021,2,90,487,94,38,44,32,27,33,33,24,39,30,34,39,20
2021,2,100,32,6,4,1,1,2,2,2,3,2,2,2,4,1
2021,3,총,"26,058","10,698",982,"1,415","1,060","1,710","1,235","2,192","1,126","1,304","1,130","1,367","1,307",532
2021,3,0,"1,199",790,18,22,47,57,23,89,31,24,26,30,28,14
2021,3,10,"1,745","1,121",22,56,50,79,33,140,43,42,42,51,50,16
2021,3,20,"1,831",968,49,79,72,94,58,162,48,65,80,73,58,25
2021,3,30,"1,765","1,038",42,66,64,80,45,150,59,35,47,61,57,21
2021,3,40,"2,664","1,557",49,82,81,139,60,196,93,80,74,109,104,40
2021,3,50,"3,955","1,743",125,191,162,199,194,380,176,170,168,174,204,69
2021,3,60,"4,854","1,514",234,270,194,405,275,471,303,265,205,289,300,129
2021,3,70,"4,342","1,137",215,326,193,397,269,337,214,310,240,315,270,119
2021,3,80,"3,190",731,187,278,164,232,244,229,133,270,217,228,197,80
2021,3,90,492,94,38,45,32,26,33,37,23,41,30,35,39,19
2021,3,100,21,5,3,0,1,2,1,1,3,2,1,2,0,0
2021,4,총,"26,001","10,698",973,"1,422","1,059","1,706","1,229","2,178","1,117","1,296","1,125","1,365","1,298",535
2021,4,0,"1,193",788,18,22,44,59,23,87,30,23,26,31,28,14
2021,4,10,"1,732","1,112",19,58,49,75,32,144,40,43,41,52,50,17
2021,4,20,"1,826",967,49,81,74,94,58,158,47,65,79,72,56,26
2021,4,30,"1,751","1,037",40,65,63,80,42,147,60,35,46,59,56,21
2021,4,40,"2,658","1,558",46,85,82,138,60,199,90,78,70,111,101,40
2021,4,50,"3,932","1,732",123,188,161,198,193,376,172,171,169,175,204,70
2021,4,60,"4,871","1,537",232,277,194,405,274,463,305,262,208,287,299,128
2021,4,70,"4,343","1,136",218,326,194,398,269,337,214,310,237,312,272,120
2021,4,80,"3,185",736,187,276,166,229,244,228,133,267,217,228,194,80
2021,4,90,490,90,39,44,31,28,33,38,23,40,31,36,38,19
2021,4,100,20,5,2,0,1,2,1,1,3,2,1,2,0,0
2021,5,총,"25,918","10,692",976,"1,418","1,056","1,690","1,218","2,160","1,112","1,286","1,122","1,359","1,291",538
2021,5,0,"1,180",777,18,25,43,59,24,86,30,22,26,31,26,13
2021,5,10,"1,734","1,118",19,59,49,75,30,141,38,46,41,50,50,18
2021,5,20,"1,809",971,47,76,67,90,58,155,48,65,79,74,53,26
2021,5,30,"1,732","1,030",40,64,63,79,42,145,60,34,42,59,52,22
2021,5,40,"2,634","1,549",45,82,80,133,59,201,89,77,70,108,100,41
2021,5,50,"3,914","1,733",130,184,163,195,189,373,171,163,168,172,201,72
2021,5,60,"4,877","1,547",233,277,197,402,271,458,299,263,211,287,304,128
2021,5,70,"4,346","1,138",217,332,196,396,265,335,219,307,236,310,275,120
2021,5,80,"3,183",734,187,274,166,231,246,225,134,267,216,230,194,79
2021,5,90,489,90,38,45,31,28,33,40,21,40,32,36,36,19
2021,5,100,20,5,2,0,1,2,1,1,3,2,1,2,0,0
2021,6,총,"25,856","10,675",973,"1,413","1,056","1,681","1,220","2,161","1,103","1,280","1,124","1,350","1,285",535
2021,6,0,"1,175",776,18,25,42,57,24,87,30,21,27,30,25,13
2021,6,10,"1,722","1,118",17,56,50,73,31,139,38,43,42,49,49,17
2021,6,20,"1,815",970,49,75,65,93,59,159,47,68,79,71,53,27
2021,6,30,"1,718","1,022",40,64,62,76,43,145,58,32,43,61,51,21
2021,6,40,"2,623","1,555",44,78,79,131,58,197,87,74,70,107,102,41
2021,6,50,"3,880","1,721",127,188,161,194,187,370,168,159,165,172,196,72
2021,6,60,"4,880","1,546",233,277,201,400,271,461,297,266,213,284,304,127
2021,6,70,"4,328","1,134",216,328,197,395,266,335,218,304,237,305,275,118
2021,6,80,"3,202",739,189,277,165,232,247,225,135,271,214,234,194,80
2021,6,90,493,89,38,45,33,28,33,42,22,40,33,35,36,19
2021,6,100,20,5,2,0,1,2,1,1,3,2,1,2,0,0
2021,7,총,"25,856","10,710",977,"1,399","1,049","1,673","1,215","2,167","1,106","1,279","1,117","1,345","1,283",536
2021,7,0,"1,168",781,17,25,40,57,24,84,28,19,25,29,24,15
2021,7,10,"1,731","1,122",18,56,52,72,31,141,39,44,41,49,49,17
2021,7,20,"1,807",972,50,71,65,90,60,156,47,68,78,73,51,26
2021,7,30,"1,713","1,018",40,62,63,75,42,148,59,32,42,59,53,20
2021,7,40,"2,613","1,552",46,74,76,129,56,198,89,73,71,106,102,41
2021,7,50,"3,867","1,725",126,190,154,195,187,373,168,156,160,168,193,72
2021,7,60,"4,902","1,563",235,271,205,396,270,462,298,268,215,283,308,128
2021,7,70,"4,331","1,144",215,328,197,396,267,335,216,303,238,303,273,116
2021,7,80,"3,200",735,190,278,163,232,245,227,137,271,213,238,191,80
2021,7,90,505,93,39,44,33,29,32,42,22,43,33,35,39,21
2021,7,100,19,5,1,0,1,2,1,1,3,2,1,2,0,0
2021,8,총,"25,778","10,695",976,"1,391","1,044","1,665","1,213","2,153","1,104","1,266","1,115","1,342","1,280",534
2021,8,0,"1,157",777,17,23,41,56,23,84,28,17,25,29,22,15
2021,8,10,"1,714","1,119",18,57,50,69,31,136,39,42,40,49,47,17
2021,8,20,"1,787",965,47,69,63,91,57,156,48,66,77,72,51,25
2021,8,30,"1,701","1,012",42,62,60,74,44,147,58,33,44,56,51,18
2021,8,40,"2,589","1,540",47,67,79,126,55,195,87,72,72,107,103,39
2021,8,50,"3,851","1,723",128,190,153,194,187,366,168,154,158,168,189,73
2021,8,60,"4,938","1,585",236,275,205,394,275,463,297,267,217,283,310,131
2021,8,70,"4,315","1,142",212,325,198,395,266,335,217,301,233,302,275,114
2021,8,80,"3,197",735,189,277,162,232,242,228,136,271,214,240,191,80
2021,8,90,509,91,39,46,32,32,32,42,23,41,34,34,41,22
2021,8,100,20,6,1,0,1,2,1,1,3,2,1,2,0,0
2021,9,총,"25,695","10,694",974,"1,386","1,035","1,645","1,203","2,145","1,093","1,265","1,103","1,338","1,280",534
2021,9,0,"1,140",773,17,23,38,51,23,83,27,17,23,29,22,14
2021,9,10,"1,709","1,124",19,56,49,69,29,134,39,40,39,48,47,16
2021,9,20,"1,756",959,45,68,58,88,53,152,46,66,76,68,51,26
2021,9,30,"1,687","1,007",42,60,61,73,44,142,57,34,40,58,52,17
2021,9,40,"2,573","1,542",48,66,75,122,54,198,85,72,67,105,99,40
2021,9,50,"3,833","1,714",126,186,153,193,185,366,165,151,162,167,191,74
2021,9,60,"4,935","1,594",235,278,206,386,271,460,298,269,215,284,308,131
2021,9,70,"4,315","1,145",211,324,198,395,265,340,214,300,234,299,278,112
2021,9,80,"3,206",738,192,277,163,233,245,225,135,271,212,244,189,82
2021,9,90,521,92,38,48,33,33,33,44,24,43,34,34,43,22
2021,9,100,20,6,1,0,1,2,1,1,3,2,1,2,0,0
2021,10,총,"25,618","10,679",970,"1,373","1,032","1,640","1,202","2,136","1,084","1,254","1,099","1,331","1,284",534
2021,10,0,"1,131",773,17,22,37,48,24,80,27,16,23,29,21,14
2021,10,10,"1,697","1,116",19,53,49,72,29,135,38,41,38,47,44,16
2021,10,20,"1,722",949,44,67,56,86,51,145,41,64,75,65,55,24
2021,10,30,"1,695","1,010",44,60,63,69,46,141,57,36,41,58,52,18
2021,10,40,"2,554","1,533",46,66,73,124,53,195,86,69,66,105,99,39
2021,10,50,"3,804","1,705",124,182,150,192,181,362,162,149,164,168,192,73
2021,10,60,"4,955","1,608",238,279,207,386,272,466,296,270,212,279,310,132
2021,10,70,"4,305","1,140",209,320,198,396,264,343,214,296,232,302,278,113
2021,10,80,"3,201",746,191,271,162,230,247,223,136,271,214,238,189,83
2021,10,90,534,93,37,53,36,35,34,45,24,40,33,38,44,22
2021,10,100,20,6,1,0,1,2,1,1,3,2,1,2,0,0
2021,11,총,"25,566","10,661",962,"1,375","1,031","1,631","1,200","2,134","1,082","1,252","1,098","1,330","1,282",528
2021,11,0,"1,110",762,17,22,36,49,24,76,28,14,22,27,21,12
2021,11,10,"1,691","1,113",18,53,48,70,28,136,40,41,37,48,46,13
2021,11,20,"1,712",947,45,66,55,86,50,144,40,65,74,65,50,25
2021,11,30,"1,683","1,000",44,58,63,70,47,138,56,36,41,58,53,19
2021,11,40,"2,545","1,534",45,66,71,125,51,196,87,69,67,101,96,37
2021,11,50,"3,805","1,710",123,185,150,186,182,361,160,147,164,169,196,72
2021,11,60,"4,967","1,612",236,276,211,389,270,472,297,268,213,284,311,128
2021,11,70,"4,301","1,138",209,320,199,395,269,340,210,295,232,300,278,116
2021,11,80,"3,193",744,188,276,161,225,243,224,136,273,214,236,190,83
2021,11,90,539,95,36,53,36,35,35,46,25,42,33,39,41,23
2021,11,100,20,6,1,0,1,1,1,1,3,2,1,3,0,0
2021,12,총,"25,533","10,659",958,"1,370","1,029","1,637","1,196","2,125","1,084","1,246","1,096","1,329","1,277",527
2021,12,0,"1,102",756,17,22,35,48,23,77,26,14,23,27,22,12
2021,12,10,"1,686","1,110",18,52,47,71,28,135,40,39,37,48,48,13
2021,12,20,"1,719",960,45,68,52,88,50,137,41,64,74,67,47,26
2021,12,30,"1,675",994,43,58,64,73,45,138,55,34,41,61,50,19
2021,12,40,"2,531","1,527",44,65,73,124,50,195,85,66,67,101,98,36
2021,12,50,"3,802","1,714",124,184,145,184,184,360,162,152,164,164,192,73
2021,12,60,"4,957","1,604",236,274,217,387,271,467,301,262,213,286,311,128
2021,12,70,"4,298","1,148",208,317,198,399,266,343,208,295,226,298,277,115
2021,12,80,"3,205",744,187,275,160,227,246,227,138,278,217,236,190,80
2021,12,90,541,97,35,54,37,35,32,46,25,42,33,38,42,25
2021,12,100,17,5,1,1,1,1,1,0,3,0,1,3,0,0
