년도,월,나이,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2020,3,총,"24,279","10,833","1,690","2,179","1,169",999,"1,241","1,629",499,"1,419",941,"1,680"
2020,3,0,"1,215",789,55,85,23,28,41,68,15,38,19,54
2020,3,10,"1,755","1,135",83,128,61,43,42,82,22,51,43,65
2020,3,20,"2,037","1,280",106,130,63,56,52,126,26,65,40,93
2020,3,30,"1,677","1,038",80,138,53,34,54,76,15,60,31,98
2020,3,40,"2,526","1,521",154,191,83,59,80,131,29,75,80,123
2020,3,50,"4,108","1,759",313,384,219,172,193,295,81,246,155,291
2020,3,60,"4,351","1,455",351,448,251,220,288,330,105,339,194,370
2020,3,70,"3,628","1,118",267,392,221,195,258,281,109,269,199,319
2020,3,80,"2,535",628,236,244,161,170,190,214,84,228,148,232
2020,3,90,423,101,42,35,34,21,42,25,12,45,32,34
2020,3,100,24,9,3,4,0,1,1,1,1,3,0,1
2020,4,총,"24,135","10,762","1,677","2,163","1,156",993,"1,233","1,628",497,"1,413",936,"1,677"
2020,4,0,"1,197",782,54,77,23,28,42,64,16,37,19,55
2020,4,10,"1,739","1,119",83,130,61,43,42,82,21,50,43,65
2020,4,20,"1,988","1,260",102,125,59,52,49,132,24,63,35,87
2020,4,30,"1,649","1,022",76,137,50,34,54,73,15,60,31,97
2020,4,40,"2,511","1,517",151,189,83,59,79,125,29,76,81,122
2020,4,50,"4,081","1,746",311,381,216,170,191,298,81,244,155,288
2020,4,60,"4,341","1,448",354,448,250,219,284,329,104,337,191,377
2020,4,70,"3,654","1,131",267,396,220,197,260,285,109,271,199,319
2020,4,80,"2,532",631,233,242,161,169,190,212,85,227,150,232
2020,4,90,418,97,42,34,33,21,41,27,12,45,32,34
2020,4,100,25,9,4,4,0,1,1,1,1,3,0,1
2020,5,총,"24,070","10,750","1,672","2,166","1,151",987,"1,232","1,612",488,"1,406",941,"1,665"
2020,5,0,"1,193",782,54,76,23,28,43,62,15,36,19,55
2020,5,10,"1,731","1,110",85,130,62,44,42,82,20,49,41,66
2020,5,20,"1,971","1,263",102,124,57,48,48,124,24,61,37,83
2020,5,30,"1,638","1,009",76,140,50,33,54,75,15,59,32,95
2020,5,40,"2,512","1,526",150,189,82,59,79,122,28,71,83,123
2020,5,50,"4,045","1,733",307,380,213,167,189,294,79,246,155,282
2020,5,60,"4,353","1,452",353,453,252,221,286,328,104,339,191,374
2020,5,70,"3,657","1,132",266,393,220,196,259,288,108,270,200,325
2020,5,80,"2,529",640,233,243,159,169,189,208,84,225,151,228
2020,5,90,416,95,42,34,33,21,41,28,10,47,32,33
2020,5,100,25,8,4,4,0,1,2,1,1,3,0,1
2020,6,총,"24,013","10,715","1,664","2,160","1,147",989,"1,235","1,614",487,"1,408",942,"1,652"
2020,6,0,"1,178",772,52,76,23,29,43,62,15,35,19,52
2020,6,10,"1,722","1,104",81,130,63,43,42,84,19,51,40,65
2020,6,20,"1,956","1,249",103,123,55,47,49,127,23,61,37,82
2020,6,30,"1,619","1,002",77,138,48,31,52,77,13,60,32,89
2020,6,40,"2,494","1,523",147,185,86,60,81,118,26,68,80,120
2020,6,50,"4,035","1,731",301,380,211,171,186,294,83,247,155,276
2020,6,60,"4,376","1,459",359,452,253,223,286,330,105,341,190,378
2020,6,70,"3,661","1,129",264,394,219,195,263,289,109,270,203,326
2020,6,80,"2,530",644,234,244,159,167,190,201,81,226,154,230
2020,6,90,416,93,42,34,30,22,41,31,12,46,32,33
2020,6,100,26,9,4,4,0,1,2,1,1,3,0,1
2020,7,총,"24,013","10,730","1,662","2,159","1,147",992,"1,238","1,598",485,"1,411",944,"1,647"
2020,7,0,"1,178",776,52,76,23,29,43,60,15,34,19,51
2020,7,10,"1,705","1,088",82,131,61,42,42,80,19,54,40,66
2020,7,20,"1,972","1,267",103,122,56,50,49,123,21,59,38,84
2020,7,30,"1,601",989,76,134,47,32,52,76,14,63,32,86
2020,7,40,"2,495","1,528",146,189,86,61,79,114,25,69,79,119
2020,7,50,"4,033","1,730",303,377,209,170,190,293,84,244,157,276
2020,7,60,"4,397","1,472",361,453,257,225,286,332,102,344,189,376
2020,7,70,"3,663","1,134",259,394,222,193,262,288,112,269,203,327
2020,7,80,"2,531",643,237,244,158,167,192,201,79,226,155,229
2020,7,90,412,94,39,35,28,22,41,30,13,46,32,32
2020,7,100,26,9,4,4,0,1,2,1,1,3,0,1
2020,8,총,"24,017","10,732","1,666","2,151","1,149",990,"1,239","1,599",486,"1,414",949,"1,642"
2020,8,0,"1,180",780,50,77,23,28,43,61,14,33,21,50
2020,8,10,"1,683","1,061",82,130,61,42,43,81,20,59,39,65
2020,8,20,"1,976","1,277",103,120,57,51,50,118,21,59,39,81
2020,8,30,"1,597",996,76,130,45,32,49,76,15,61,31,86
2020,8,40,"2,485","1,521",145,186,89,60,80,116,25,69,78,116
2020,8,50,"4,042","1,736",302,379,207,168,192,292,84,242,158,282
2020,8,60,"4,418","1,471",371,454,263,227,284,335,103,344,193,373
2020,8,70,"3,666","1,140",257,392,219,192,262,287,112,274,203,328
2020,8,80,"2,537",650,239,246,156,167,193,204,78,222,155,227
2020,8,90,406,91,36,33,29,22,41,28,13,48,32,33
2020,8,100,27,9,5,4,0,1,2,1,1,3,0,1
2020,9,총,"23,985","10,702","1,658","2,166","1,151",992,"1,236","1,596",484,"1,417",946,"1,637"
2020,9,0,"1,173",769,49,77,24,29,43,61,14,34,23,50
2020,9,10,"1,685","1,056",80,145,60,42,43,78,20,60,38,63
2020,9,20,"1,965","1,278",103,119,56,48,45,113,21,61,40,81
2020,9,30,"1,585",985,75,131,47,34,51,77,14,56,30,85
2020,9,40,"2,485","1,517",143,186,90,61,78,117,25,72,78,118
2020,9,50,"4,014","1,727",297,371,207,170,194,290,84,239,159,276
2020,9,60,"4,448","1,483",374,464,263,227,282,337,102,348,192,376
2020,9,70,"3,666","1,139",257,389,220,193,265,289,112,276,200,326
2020,9,80,"2,537",650,240,248,156,166,193,204,78,220,154,228
2020,9,90,400,89,35,32,28,21,40,29,13,48,32,33
2020,9,100,27,9,5,4,0,1,2,1,1,3,0,1
2020,10,총,"23,941","10,662","1,644","2,172","1,152",990,"1,235","1,596",487,"1,417",942,"1,644"
2020,10,0,"1,163",762,49,76,26,27,43,61,13,34,22,50
2020,10,10,"1,664","1,032",77,147,61,41,42,78,21,60,38,67
2020,10,20,"1,966","1,282",99,118,54,50,46,113,23,60,39,82
2020,10,30,"1,560",972,68,129,46,34,50,78,15,55,28,85
2020,10,40,"2,473","1,508",142,185,92,59,78,115,26,73,77,118
2020,10,50,"4,012","1,733",295,373,207,169,192,290,81,236,159,277
2020,10,60,"4,468","1,483",379,467,260,230,281,338,105,353,194,378
2020,10,70,"3,661","1,140",251,391,219,189,268,292,108,277,198,328
2020,10,80,"2,545",651,243,250,159,169,192,202,81,219,155,224
2020,10,90,402,90,36,32,28,21,41,28,13,47,32,34
2020,10,100,27,9,5,4,0,1,2,1,1,3,0,1
2020,11,총,"23,904","10,623","1,638","2,165","1,160",990,"1,228","1,594",502,"1,419",939,"1,646"
2020,11,0,"1,155",758,50,76,25,26,42,61,13,33,20,51
2020,11,10,"1,650","1,016",78,146,62,42,42,76,21,60,38,69
2020,11,20,"1,962","1,273",97,114,56,49,46,116,23,63,42,83
2020,11,30,"1,549",968,66,127,45,35,49,77,15,54,26,87
2020,11,40,"2,464","1,498",143,184,92,59,78,115,33,72,76,114
2020,11,50,"3,994","1,732",289,376,208,170,188,288,80,235,158,270
2020,11,60,"4,490","1,489",378,466,266,230,279,338,110,355,194,385
2020,11,70,"3,658","1,140",249,390,220,187,269,289,110,278,199,327
2020,11,80,"2,550",649,245,251,159,167,191,205,83,220,154,226
2020,11,90,404,90,38,31,27,24,42,28,13,46,32,33
2020,11,100,28,10,5,4,0,1,2,1,1,3,0,1
2020,12,총,"23,851","10,589","1,623","2,166","1,169",985,"1,225","1,596",504,"1,419",939,"1,636"
2020,12,0,"1,146",757,48,78,24,27,40,59,14,33,17,49
2020,12,10,"1,624",998,76,146,61,41,39,79,21,61,39,63
2020,12,20,"1,954","1,262",96,116,58,46,47,120,22,60,45,82
2020,12,30,"1,545",971,60,127,45,36,48,76,14,56,25,87
2020,12,40,"2,455","1,491",141,183,95,57,78,117,33,73,75,112
2020,12,50,"3,973","1,722",291,373,206,171,189,283,80,230,162,266
2020,12,60,"4,510","1,496",375,470,270,229,279,341,111,360,188,391
2020,12,70,"3,659","1,144",249,388,221,185,271,288,109,280,200,324
2020,12,80,"2,552",647,245,250,162,168,189,204,86,218,155,228
2020,12,90,404,91,37,31,26,24,43,28,13,45,33,33
2020,12,100,29,10,5,4,1,1,2,1,1,3,0,1
2021,1,총,"23,743","10,553","1,611","2,162","1,173",978,"1,214","1,580",504,"1,416",927,"1,625"
2021,1,0,"1,136",756,47,78,24,25,40,57,13,33,15,48
2021,1,10,"1,606",994,73,142,62,43,38,77,22,59,37,59
2021,1,20,"1,916","1,231",96,122,57,43,46,114,21,59,43,84
2021,1,30,"1,534",965,61,127,47,32,47,74,15,55,24,87
2021,1,40,"2,427","1,488",138,178,97,58,77,113,32,70,71,105
2021,1,50,"3,964","1,716",286,373,206,170,185,288,82,230,161,267
2021,1,60,"4,515","1,503",377,471,270,227,280,337,110,360,188,392
2021,1,70,"3,653","1,140",248,388,222,186,269,287,107,283,200,323
2021,1,80,"2,557",653,242,249,160,169,188,205,88,219,155,229
2021,1,90,406,96,38,30,27,24,43,27,13,45,33,30
2021,1,100,29,11,5,4,1,1,1,1,1,3,0,1
2021,2,총,"23,627","10,483","1,609","2,157","1,155",978,"1,212","1,575",498,"1,413",930,"1,617"
2021,2,0,"1,120",747,49,74,22,25,41,58,12,32,15,45
2021,2,10,"1,595",984,72,144,59,42,38,78,22,60,37,59
2021,2,20,"1,864","1,205",93,113,55,42,46,111,21,55,44,79
2021,2,30,"1,518",951,61,127,42,33,47,77,12,56,24,88
2021,2,40,"2,417","1,479",138,177,94,59,78,113,32,71,71,105
2021,2,50,"3,915","1,705",280,370,203,167,182,283,79,224,157,265
2021,2,60,"4,546","1,509",383,477,272,229,278,337,112,366,190,393
2021,2,70,"3,649","1,137",252,389,219,186,269,286,104,281,204,322
2021,2,80,"2,561",655,239,250,160,171,187,204,90,220,155,230
2021,2,90,413,100,37,32,28,23,45,27,13,45,33,30
2021,2,100,29,11,5,4,1,1,1,1,1,3,0,1
2021,3,총,"23,370","10,348","1,598","2,134","1,136",969,"1,203","1,563",496,"1,392",922,"1,609"
2021,3,0,"1,103",739,47,72,22,26,40,58,11,32,13,43
2021,3,10,"1,573",955,77,141,55,41,39,77,22,59,39,68
2021,3,20,"1,813","1,171",93,112,56,43,43,108,21,51,41,74
2021,3,30,"1,510",949,59,126,40,32,47,80,12,55,23,87
2021,3,40,"2,356","1,446",135,172,90,59,74,106,29,69,69,107
2021,3,50,"3,846","1,675",280,364,198,158,173,282,80,218,157,261
2021,3,60,"4,562","1,523",384,478,271,231,284,338,113,363,189,388
2021,3,70,"3,619","1,129",247,379,217,186,267,283,105,282,204,320
2021,3,80,"2,575",660,240,259,160,172,190,205,88,217,153,231
2021,3,90,402,98,34,31,27,20,45,26,14,44,34,29
2021,3,100,11,3,2,0,0,1,1,0,1,2,0,1
2021,4,총,"23,319","10,334","1,595","2,133","1,130",969,"1,202","1,560",495,"1,387",915,"1,599"
2021,4,0,"1,099",739,47,71,22,26,39,57,11,32,12,43
2021,4,10,"1,568",955,76,142,50,42,41,75,22,60,38,67
2021,4,20,"1,807","1,163",97,111,56,42,43,107,21,51,42,74
2021,4,30,"1,490",948,59,124,40,31,46,75,12,52,21,82
2021,4,40,"2,340","1,440",133,175,90,60,72,106,29,67,66,102
2021,4,50,"3,829","1,670",283,353,197,158,174,281,79,216,155,263
2021,4,60,"4,598","1,538",381,487,271,233,284,343,114,366,192,389
2021,4,70,"3,597","1,118",247,379,218,183,265,282,103,281,206,315
2021,4,80,"2,575",665,237,256,159,171,194,208,90,214,148,233
2021,4,90,406,95,33,35,27,22,43,26,13,46,35,31
2021,4,100,10,3,2,0,0,1,1,0,1,2,0,0
2021,5,총,"23,271","10,313","1,588","2,129","1,126",966,"1,201","1,555",492,"1,388",916,"1,597"
2021,5,0,"1,089",732,46,71,22,25,39,57,11,32,12,42
2021,5,10,"1,562",952,75,141,48,43,42,73,23,59,38,68
2021,5,20,"1,790","1,154",95,110,58,42,43,105,19,51,41,72
2021,5,30,"1,478",937,59,125,39,30,46,77,11,53,20,81
2021,5,40,"2,332","1,439",132,173,87,58,72,105,30,67,65,104
2021,5,50,"3,811","1,666",282,352,196,157,165,277,79,215,155,267
2021,5,60,"4,623","1,549",381,486,273,233,290,347,113,368,193,390
2021,5,70,"3,581","1,119",245,379,216,183,264,281,101,278,205,310
2021,5,80,"2,587",667,236,257,159,171,197,209,91,215,151,234
2021,5,90,408,95,35,35,28,23,42,24,13,48,36,29
2021,5,100,10,3,2,0,0,1,1,0,1,2,0,0
2021,6,총,"23,220","10,284","1,592","2,131","1,125",962,"1,199","1,545",493,"1,382",916,"1,591"
2021,6,0,"1,080",732,42,71,21,25,37,57,11,29,12,43
2021,6,10,"1,559",946,78,139,49,42,42,73,23,60,39,68
2021,6,20,"1,772","1,143",96,111,57,42,43,98,19,50,42,71
2021,6,30,"1,453",920,59,122,38,29,45,74,11,55,20,80
2021,6,40,"2,334","1,441",130,176,89,56,73,106,29,65,66,103
2021,6,50,"3,777","1,655",280,351,192,155,162,272,80,209,155,266
2021,6,60,"4,665","1,565",390,492,277,234,294,350,113,370,191,389
2021,6,70,"3,568","1,116",245,373,215,181,262,282,102,278,205,309
2021,6,80,"2,592",666,234,261,159,174,197,209,91,216,150,235
2021,6,90,410,97,36,35,28,23,43,24,13,48,36,27
2021,6,100,10,3,2,0,0,1,1,0,1,2,0,0
2021,7,총,"23,193","10,268","1,592","2,119","1,126",960,"1,193","1,550",495,"1,379",917,"1,594"
2021,7,0,"1,077",731,42,69,21,25,37,58,11,28,11,44
2021,7,10,"1,556",945,77,139,49,42,42,72,23,60,40,67
2021,7,20,"1,755","1,129",98,114,57,39,42,100,19,48,40,69
2021,7,30,"1,442",919,59,116,38,30,42,70,11,54,21,82
2021,7,40,"2,319","1,429",130,176,86,56,72,105,30,66,66,103
2021,7,50,"3,777","1,662",279,344,196,152,160,276,81,209,156,262
2021,7,60,"4,674","1,570",389,493,277,237,296,350,111,373,188,390
2021,7,70,"3,578","1,118",246,372,215,182,261,284,104,274,208,314
2021,7,80,"2,595",670,235,261,159,172,197,210,91,217,149,234
2021,7,90,410,92,35,35,28,24,43,25,13,48,38,29
2021,7,100,10,3,2,0,0,1,1,0,1,2,0,0
2021,8,총,"23,133","10,229","1,592","2,115","1,125",956,"1,195","1,548",496,"1,373",919,"1,585"
2021,8,0,"1,070",726,43,70,21,25,36,54,12,28,12,43
2021,8,10,"1,553",940,79,139,49,41,42,74,23,60,41,65
2021,8,20,"1,729","1,107",97,111,58,39,43,99,19,48,38,70
2021,8,30,"1,430",910,59,115,38,29,42,67,11,53,23,83
2021,8,40,"2,308","1,433",129,176,82,55,70,102,30,66,63,102
2021,8,50,"3,760","1,649",276,345,193,152,155,278,81,208,160,263
2021,8,60,"4,697","1,587",392,491,278,234,305,356,111,368,185,390
2021,8,70,"3,562","1,112",245,368,216,182,257,283,103,276,209,311
2021,8,80,"2,597",671,232,263,161,174,199,211,92,215,150,229
2021,8,90,416,91,38,37,28,24,45,24,13,49,38,29
2021,8,100,11,3,2,0,1,1,1,0,1,2,0,0
2021,9,총,"23,064","10,222","1,586","2,102","1,120",953,"1,195","1,540",493,"1,369",917,"1,567"
2021,9,0,"1,056",725,35,68,21,24,35,52,12,30,12,42
2021,9,10,"1,543",932,81,141,50,40,41,71,22,60,41,64
2021,9,20,"1,706","1,097",95,110,54,40,42,98,18,44,37,71
2021,9,30,"1,411",906,59,112,38,29,41,64,11,52,22,77
2021,9,40,"2,298","1,434",125,171,85,53,69,105,29,65,64,98
2021,9,50,"3,772","1,664",277,343,191,151,157,280,82,208,157,262
2021,9,60,"4,697","1,592",393,493,274,236,307,350,109,369,185,389
2021,9,70,"3,550","1,107",247,368,215,178,257,283,103,275,210,307
2021,9,80,"2,601",668,234,259,163,178,199,214,93,216,151,226
2021,9,90,419,94,38,36,28,23,46,23,13,49,38,31
2021,9,100,11,3,2,1,1,1,1,0,1,1,0,0
2021,10,총,"23,059","10,234","1,595","2,097","1,118",949,"1,184","1,543",493,"1,370",920,"1,556"
2021,10,0,"1,053",726,35,69,21,24,34,52,12,30,11,39
2021,10,10,"1,538",936,79,138,48,40,41,71,21,58,41,65
2021,10,20,"1,692","1,083",98,112,56,39,40,99,17,45,38,65
2021,10,30,"1,411",911,64,108,37,30,40,66,12,49,22,72
2021,10,40,"2,300","1,435",121,172,82,54,66,106,31,65,65,103
2021,10,50,"3,771","1,674",275,338,192,149,157,277,80,210,161,258
2021,10,60,"4,693","1,592",401,498,278,232,300,347,110,367,184,384
2021,10,70,"3,567","1,108",250,368,212,179,261,286,103,279,211,310
2021,10,80,"2,595",669,232,257,162,175,198,216,93,217,150,226
2021,10,90,427,97,38,36,28,26,46,23,13,49,37,34
2021,10,100,12,3,2,1,2,1,1,0,1,1,0,0
2021,11,총,"23,013","10,212","1,592","2,097","1,113",948,"1,172","1,544",493,"1,367",913,"1,562"
2021,11,0,"1,036",713,36,67,21,22,33,53,12,30,10,39
2021,11,10,"1,536",940,78,136,47,41,41,68,21,57,41,66
2021,11,20,"1,690","1,077",101,111,55,37,40,100,19,46,38,66
2021,11,30,"1,401",898,66,111,39,30,38,64,12,50,21,72
2021,11,40,"2,289","1,426",117,171,83,54,64,109,30,64,65,106
2021,11,50,"3,772","1,682",270,342,187,149,156,279,79,211,161,256
2021,11,60,"4,703","1,597",405,494,280,234,302,345,110,364,183,389
2021,11,70,"3,565","1,114",251,366,208,180,257,287,105,278,209,310
2021,11,80,"2,588",666,231,261,163,175,195,215,91,219,148,224
2021,11,90,420,96,35,37,28,25,45,23,13,47,37,34
2021,11,100,13,3,2,1,2,1,1,1,1,1,0,0
2021,12,총,"22,963","10,209","1,581","2,087","1,114",943,"1,172","1,541",492,"1,366",903,"1,555"
2021,12,0,"1,019",709,33,65,21,20,32,49,11,29,10,40
2021,12,10,"1,527",934,78,135,48,41,41,69,22,55,39,65
2021,12,20,"1,675","1,066",100,113,52,37,40,98,19,48,38,64
2021,12,30,"1,391",900,65,106,39,29,39,62,14,49,18,70
2021,12,40,"2,285","1,430",118,170,83,53,63,106,27,67,62,106
2021,12,50,"3,762","1,686",263,339,188,148,158,281,79,208,162,250
2021,12,60,"4,722","1,604",405,494,283,236,306,350,110,365,182,387
2021,12,70,"3,553","1,107",246,368,208,179,251,286,107,280,209,312
2021,12,80,"2,601",675,236,258,162,176,197,213,90,220,147,227
2021,12,90,415,95,35,38,28,23,44,26,12,44,36,34
2021,12,100,13,3,2,1,2,1,1,1,1,1,0,0
