년도,월,나이,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020,4,80,"9,517",476,"1,168",337,301,533,611,564,506,412,485,776,302,323,817,538,567,801
2020,4,90,"1,247",65,147,49,46,86,95,82,61,48,49,93,53,44,91,81,78,79
2020,4,100,115,4,13,4,1,1,3,5,4,9,3,8,14,10,7,9,11,9
2020,5,총,"313,761","6,604","73,594","4,252","21,021","19,828","21,302","5,590","6,597","3,190","4,519","20,168","9,556","10,897","36,982","18,464","21,904","29,293"
2020,5,0,"34,131",402,"9,648",225,"3,121","2,725","2,474",151,320,63,116,"1,752",937,474,"4,274","1,587","2,419","3,443"
2020,5,10,"34,192",501,"9,096",350,"2,852","1,658","1,404",276,405,123,196,"2,082",725,837,"4,842","2,461","2,774","3,610"
2020,5,20,"35,915",568,"9,020",302,"2,504","2,029","2,437",447,564,201,375,"2,385","1,084","1,732","4,498","2,099","2,759","2,911"
2020,5,30,"49,427",657,"13,721",267,"4,097","3,739","4,618",388,680,182,317,"2,530","1,823","1,223","5,424","2,137","3,216","4,408"
2020,5,40,"55,450",928,"14,052",597,"4,355","3,340","3,368",591,976,283,416,"3,465","1,514","1,523","6,884","3,466","4,088","5,604"
2020,5,50,"45,546","1,174","9,286",769,"2,226","2,710","3,020","1,055","1,303",533,886,"3,250","1,333","2,054","5,251","3,090","3,307","4,299"
2020,5,60,"30,406","1,109","4,964",780,968,"2,018","2,154","1,199","1,073",760,935,"2,338","1,095","1,589","3,114","1,895","1,769","2,646"
2020,5,70,"17,782",721,"2,486",568,549,986,"1,118",821,699,573,740,"1,483",674,975,"1,777","1,100","1,024","1,488"
2020,5,80,"9,537",475,"1,158",340,302,535,609,575,511,414,486,783,302,422,818,540,471,796
2020,5,90,"1,260",65,150,50,46,88,97,82,62,49,49,92,55,57,92,80,67,79
2020,5,100,115,4,13,4,1,0,3,5,4,9,3,8,14,11,8,9,10,9
2020,6,총,"313,054","6,580","73,431","4,242","20,957","19,755","21,355","5,604","6,549","3,180","4,488","20,088","9,547","10,894","36,825","18,497","21,821","29,241"
2020,6,0,"33,901",404,"9,592",226,"3,079","2,700","2,463",151,310,66,115,"1,738",931,468,"4,248","1,590","2,396","3,424"
2020,6,10,"34,191",493,"9,128",354,"2,858","1,660","1,417",278,400,120,190,"2,073",734,848,"4,819","2,454","2,768","3,597"
2020,6,20,"35,778",566,"8,980",302,"2,511","2,017","2,443",439,563,195,371,"2,359","1,077","1,729","4,457","2,114","2,743","2,912"
2020,6,30,"48,954",652,"13,616",261,"4,048","3,675","4,613",392,657,184,315,"2,504","1,814","1,219","5,343","2,119","3,178","4,364"
2020,6,40,"55,388",914,"14,041",590,"4,357","3,348","3,377",597,974,276,411,"3,453","1,518","1,515","6,887","3,449","4,085","5,596"
2020,6,50,"45,478","1,165","9,261",763,"2,237","2,706","3,027","1,052","1,289",530,874,"3,229","1,334","2,044","5,238","3,110","3,306","4,313"
2020,6,60,"30,586","1,118","4,988",785,967,"2,030","2,179","1,204","1,082",761,933,"2,363","1,091","1,602","3,136","1,918","1,765","2,664"
2020,6,70,"17,859",726,"2,503",566,556,992,"1,127",827,700,575,738,"1,484",677,977,"1,782","1,108","1,033","1,488"
2020,6,80,"9,546",473,"1,157",340,297,539,610,578,506,414,489,785,303,426,817,548,469,795
2020,6,90,"1,259",65,154,51,46,88,96,81,64,50,49,92,54,56,89,77,68,79
2020,6,100,114,4,11,4,1,0,3,5,4,9,3,8,14,10,9,10,10,9
2020,7,총,"313,319","6,570","73,799","4,241","20,989","19,705","21,418","5,607","6,539","3,164","4,475","20,054","9,537","10,868","36,826","18,504","21,819","29,204"
2020,7,0,"33,717",395,"9,585",220,"3,059","2,680","2,470",149,304,64,117,"1,698",934,462,"4,208","1,572","2,372","3,428"
2020,7,10,"34,235",491,"9,165",352,"2,876","1,654","1,420",282,398,119,190,"2,083",734,838,"4,821","2,460","2,774","3,578"
2020,7,20,"35,896",561,"9,116",306,"2,501","2,000","2,436",435,578,191,367,"2,354","1,069","1,720","4,467","2,120","2,762","2,913"
2020,7,30,"48,723",652,"13,630",257,"4,036","3,656","4,623",395,637,180,315,"2,476","1,800","1,214","5,290","2,116","3,140","4,306"
2020,7,40,"55,563",908,"14,142",584,"4,382","3,351","3,392",596,962,273,408,"3,458","1,529","1,497","6,926","3,444","4,085","5,626"
2020,7,50,"45,581","1,163","9,305",768,"2,256","2,708","3,053","1,048","1,297",528,868,"3,232","1,337","2,043","5,242","3,102","3,324","4,307"
2020,7,60,"30,760","1,132","5,026",789,976,"2,033","2,185","1,208","1,082",758,940,"2,367","1,084","1,615","3,166","1,942","1,778","2,679"
2020,7,70,"17,884",725,"2,495",570,560,992,"1,126",828,704,580,730,"1,488",682,985,"1,788","1,117","1,031","1,483"
2020,7,80,"9,589",475,"1,169",340,297,543,616,582,510,411,488,796,300,430,817,545,474,796
2020,7,90,"1,257",64,155,51,45,88,94,80,63,51,49,94,54,54,90,76,69,80
2020,7,100,114,4,11,4,1,0,3,4,4,9,3,8,14,10,11,10,10,8
2020,8,총,"313,871","6,559","74,356","4,227","21,044","19,689","21,480","5,596","6,505","3,145","4,468","19,979","9,516","10,829","36,823","18,760","21,764","29,131"
2020,8,0,"33,571",394,"9,588",218,"3,040","2,647","2,472",150,297,62,118,"1,678",925,452,"4,162","1,593","2,364","3,411"
2020,8,10,"34,294",488,"9,206",350,"2,893","1,670","1,433",280,398,116,185,"2,058",731,830,"4,831","2,485","2,775","3,565"
2020,8,20,"35,976",565,"9,252",306,"2,504","1,990","2,430",429,574,191,362,"2,360","1,074","1,698","4,439","2,154","2,754","2,894"
2020,8,30,"48,738",641,"13,725",258,"4,033","3,646","4,625",393,638,175,314,"2,445","1,793","1,224","5,294","2,172","3,097","4,265"
2020,8,40,"55,679",904,"14,254",573,"4,411","3,352","3,412",604,953,267,399,"3,432","1,517","1,481","6,935","3,489","4,073","5,623"
2020,8,50,"45,733","1,164","9,403",761,"2,266","2,705","3,064","1,039","1,276",523,867,"3,227","1,336","2,040","5,269","3,157","3,316","4,320"
2020,8,60,"30,961","1,135","5,080",790,996,"2,048","2,193","1,211","1,092",764,945,"2,382","1,092","1,610","3,186","1,949","1,801","2,687"
2020,8,70,"17,928",728,"2,504",571,560,998,"1,136",827,704,579,730,"1,495",682,"1,000","1,777","1,120","1,031","1,486"
2020,8,80,"9,604",473,"1,175",343,296,546,615,582,506,407,496,800,298,427,822,553,473,792
2020,8,90,"1,273",63,159,53,44,87,97,77,63,52,49,94,54,57,97,78,70,79
2020,8,100,114,4,10,4,1,0,3,4,4,9,3,8,14,10,11,10,10,9
2020,9,총,"314,282","6,561","74,703","4,246","21,082","19,729","21,538","5,569","6,492","3,145","4,460","19,944","9,478","10,787","36,824","18,912","21,717","29,095"
2020,9,0,"33,503",398,"9,622",213,"3,037","2,639","2,478",151,293,62,115,"1,659",919,450,"4,147","1,611","2,334","3,375"
2020,9,10,"34,281",492,"9,216",357,"2,901","1,685","1,440",277,399,114,180,"2,055",728,815,"4,822","2,485","2,768","3,547"
2020,9,20,"36,037",572,"9,305",309,"2,505","1,992","2,401",426,576,192,361,"2,362","1,066","1,694","4,453","2,157","2,771","2,895"
2020,9,30,"48,619",639,"13,777",264,"4,013","3,640","4,631",390,634,171,308,"2,424","1,762","1,205","5,259","2,204","3,053","4,245"
2020,9,40,"55,859",889,"14,346",570,"4,448","3,368","3,449",600,944,272,399,"3,424","1,515","1,471","6,974","3,523","4,064","5,603"
2020,9,50,"45,851","1,160","9,451",760,"2,270","2,723","3,070","1,021","1,287",533,862,"3,211","1,336","2,032","5,266","3,190","3,324","4,355"
2020,9,60,"31,164","1,140","5,116",798,"1,012","2,061","2,217","1,209","1,083",761,959,"2,410","1,100","1,621","3,198","1,970","1,820","2,689"
2020,9,70,"17,936",722,"2,528",570,549,988,"1,135",829,704,575,730,"1,502",680,"1,002","1,774","1,125","1,031","1,492"
2020,9,80,"9,626",481,"1,168",346,301,547,614,581,505,406,495,795,299,428,820,561,475,804
2020,9,90,"1,293",64,164,55,46,85,100,81,64,50,48,94,59,59,100,76,67,81
2020,9,100,113,4,10,4,0,1,3,4,3,9,3,8,14,10,11,10,10,9
2020,10,총,"314,552","6,529","74,915","4,225","21,148","19,780","21,585","5,566","6,503","3,142","4,464","19,917","9,454","10,795","36,805","18,919","21,717","29,088"
2020,10,0,"33,279",375,"9,565",209,"3,026","2,618","2,482",154,296,65,112,"1,631",916,446,"4,118","1,595","2,327","3,344"
2020,10,10,"34,338",499,"9,239",354,"2,926","1,699","1,443",271,400,115,184,"2,060",725,813,"4,826","2,478","2,755","3,551"
2020,10,20,"36,143",571,"9,371",308,"2,524","2,013","2,402",431,567,192,358,"2,369","1,068","1,693","4,440","2,171","2,773","2,892"
2020,10,30,"48,460",632,"13,806",258,"3,969","3,623","4,620",385,636,173,307,"2,393","1,767","1,202","5,224","2,200","3,024","4,241"
2020,10,40,"55,915",875,"14,347",559,"4,499","3,383","3,463",600,945,270,398,"3,415","1,510","1,471","6,994","3,516","4,076","5,594"
2020,10,50,"46,001","1,151","9,539",755,"2,294","2,736","3,093","1,018","1,279",527,858,"3,220","1,327","2,036","5,269","3,201","3,327","4,371"
2020,10,60,"31,372","1,151","5,161",801,"1,013","2,084","2,227","1,207","1,096",761,967,"2,416","1,098","1,622","3,223","1,986","1,854","2,705"
2020,10,70,"17,978",719,"2,537",577,550,987,"1,134",833,709,575,732,"1,510",670,"1,009","1,775","1,132","1,031","1,498"
2020,10,80,"9,652",487,"1,176",348,299,549,618,583,504,405,498,803,302,432,818,555,473,802
2020,10,90,"1,300",65,163,52,48,87,100,80,68,50,47,92,57,61,107,75,67,81
2020,10,100,114,4,11,4,0,1,3,4,3,9,3,8,14,10,11,10,10,9
2020,11,총,"315,279","6,535","75,197","4,241","21,403","19,822","21,681","5,541","6,536","3,123","4,452","19,962","9,500","10,772","36,856","18,910","21,680","29,068"
2020,11,0,"33,122",367,"9,550",207,"2,999","2,588","2,479",150,308,65,109,"1,621",916,444,"4,097","1,587","2,302","3,333"
2020,11,10,"34,401",505,"9,272",363,"2,930","1,713","1,448",270,406,108,183,"2,063",730,807,"4,833","2,476","2,748","3,546"
2020,11,20,"36,364",567,"9,419",309,"2,657","2,008","2,424",420,576,187,348,"2,379","1,086","1,680","4,473","2,163","2,769","2,899"
2020,11,30,"48,423",626,"13,842",259,"4,004","3,631","4,626",390,630,175,302,"2,385","1,756","1,209","5,189","2,186","2,999","4,214"
2020,11,40,"56,088",876,"14,402",561,"4,544","3,411","3,488",591,956,267,401,"3,429","1,525","1,465","7,011","3,507","4,067","5,587"
2020,11,50,"46,152","1,150","9,603",755,"2,328","2,737","3,092","1,011","1,274",526,857,"3,230","1,330","2,019","5,282","3,230","3,345","4,383"
2020,11,60,"31,598","1,159","5,214",804,"1,030","2,104","2,266","1,213","1,098",759,971,"2,430","1,110","1,634","3,247","1,988","1,865","2,706"
2020,11,70,"18,035",722,"2,537",580,562,986,"1,137",834,710,573,734,"1,517",676,"1,006","1,787","1,137","1,036","1,501"
2020,11,80,"9,676",493,"1,181",348,300,554,621,580,509,403,493,805,302,438,819,549,471,810
2020,11,90,"1,308",66,167,51,49,89,97,78,66,51,51,95,56,60,106,78,68,80
2020,11,100,112,4,10,4,0,1,3,4,3,9,3,8,13,10,12,9,10,9
2020,12,총,"316,129","6,531","75,617","4,254","21,675","19,932","21,724","5,524","6,553","3,133","4,464","19,945","9,468","10,785","36,876","18,873","21,656","29,119"
2020,12,0,"32,946",371,"9,551",204,"2,975","2,582","2,475",144,306,64,113,"1,608",901,433,"4,066","1,572","2,267","3,314"
2020,12,10,"34,460",498,"9,300",357,"2,956","1,732","1,449",272,407,109,183,"2,057",732,805,"4,851","2,456","2,749","3,547"
2020,12,20,"36,591",564,"9,535",312,"2,765","2,029","2,419",417,572,192,352,"2,373","1,079","1,688","4,490","2,149","2,759","2,896"
2020,12,30,"48,420",630,"13,883",264,"4,068","3,617","4,626",392,626,179,297,"2,359","1,750","1,212","5,136","2,182","2,987","4,212"
2020,12,40,"56,301",873,"14,471",555,"4,559","3,455","3,517",585,960,269,403,"3,452","1,519","1,460","7,026","3,510","4,082","5,605"
2020,12,50,"46,289","1,139","9,664",765,"2,374","2,762","3,081",998,"1,274",523,860,"3,230","1,329","2,037","5,290","3,218","3,347","4,398"
2020,12,60,"31,885","1,163","5,291",810,"1,048","2,123","2,292","1,218","1,123",763,974,"2,440","1,118","1,627","3,285","2,004","1,875","2,731"
2020,12,70,"18,089",728,"2,553",580,574,989,"1,143",835,707,569,733,"1,515",671,"1,013","1,788","1,143","1,038","1,510"
2020,12,80,"9,708",495,"1,189",347,307,554,619,579,507,404,493,807,300,439,826,551,476,815
2020,12,90,"1,326",66,170,56,49,87,100,80,68,52,53,95,56,60,106,80,66,82
2020,12,100,114,4,10,4,0,2,3,4,3,9,3,9,13,11,12,8,10,9
2021,1,총,"316,740","6,517","76,007","4,246","21,742","19,990","21,741","5,528","6,555","3,123","4,451","19,906","9,469","10,805","36,903","18,935","21,694","29,128"
2021,1,0,"32,721",367,"9,532",203,"2,952","2,566","2,469",147,311,61,110,"1,590",896,432,"4,026","1,549","2,248","3,262"
2021,1,10,"34,533",489,"9,327",351,"2,983","1,731","1,429",266,411,108,178,"2,050",733,804,"4,868","2,476","2,758","3,571"
2021,1,20,"36,609",555,"9,595",315,"2,756","2,049","2,418",419,564,188,343,"2,354","1,082","1,688","4,487","2,155","2,755","2,886"
2021,1,30,"48,290",630,"13,912",261,"4,054","3,616","4,616",388,626,177,305,"2,334","1,749","1,221","5,085","2,177","2,955","4,184"
2021,1,40,"56,660",873,"14,632",556,"4,615","3,471","3,556",581,959,269,400,"3,452","1,522","1,465","7,071","3,518","4,097","5,623"
2021,1,50,"46,333","1,141","9,713",757,"2,398","2,768","3,059",994,"1,278",524,852,"3,233","1,320","2,021","5,302","3,225","3,360","4,388"
2021,1,60,"32,251","1,168","5,368",814,"1,053","2,154","2,326","1,235","1,124",762,977,"2,460","1,129","1,645","3,313","2,043","1,907","2,773"
2021,1,70,"18,121",725,"2,563",579,569,982,"1,147",833,704,569,731,"1,523",670,"1,008","1,801","1,144","1,053","1,520"
2021,1,80,"9,779",499,"1,184",347,317,562,622,580,506,405,499,808,298,449,830,562,481,830
2021,1,90,"1,328",65,170,59,45,89,96,82,69,51,53,94,57,61,108,79,69,81
2021,1,100,115,5,11,4,0,2,3,3,3,9,3,8,13,11,12,7,11,10
2021,2,총,"317,626","6,531","76,405","4,259","21,952","20,171","21,794","5,528","6,540","3,114","4,439","19,942","9,468","10,818","36,890","18,899","21,705","29,171"
2021,2,0,"32,544",361,"9,513",208,"2,946","2,560","2,472",147,310,60,108,"1,575",890,424,"3,982","1,521","2,223","3,244"
2021,2,10,"34,606",493,"9,370",351,"3,019","1,760","1,437",267,406,104,174,"2,048",730,791,"4,845","2,470","2,772","3,569"
2021,2,20,"36,755",552,"9,628",311,"2,812","2,097","2,407",416,550,189,340,"2,382","1,087","1,696","4,498","2,143","2,750","2,897"
2021,2,30,"48,186",622,"13,957",272,"4,027","3,612","4,623",383,624,177,307,"2,302","1,738","1,232","5,074","2,148","2,936","4,152"
2021,2,40,"56,927",876,"14,720",556,"4,698","3,511","3,585",586,959,266,392,"3,466","1,517","1,466","7,070","3,507","4,100","5,652"
2021,2,50,"46,557","1,153","9,829",752,"2,438","2,806","3,058",990,"1,265",516,844,"3,236","1,325","2,017","5,320","3,245","3,358","4,405"
2021,2,60,"32,616","1,175","5,443",825,"1,073","2,188","2,339","1,237","1,145",764,984,"2,485","1,147","1,661","3,344","2,066","1,938","2,802"
2021,2,70,"18,115",725,"2,561",576,573,984,"1,144",839,699,570,734,"1,531",661,999,"1,791","1,150","1,058","1,520"
2021,2,80,"9,854",502,"1,194",345,321,562,625,578,507,408,499,816,302,459,846,564,487,839
2021,2,90,"1,348",67,179,57,45,89,101,82,72,51,54,93,57,61,108,78,72,82
2021,2,100,118,5,11,6,0,2,3,3,3,9,3,8,14,12,12,7,11,9
2021,3,총,"317,933","6,511","76,844","4,236","21,987","20,240","21,879","5,498","6,497","3,082","4,443","19,953","9,456","10,818","36,856","18,782","21,658","29,193"
2021,3,0,"32,393",355,"9,500",204,"2,931","2,555","2,476",138,315,58,107,"1,538",885,426,"3,943","1,518","2,197","3,247"
2021,3,10,"34,704",499,"9,410",353,"3,040","1,784","1,448",262,401,106,174,"2,083",736,785,"4,835","2,423","2,775","3,590"
2021,3,20,"36,899",544,"9,696",311,"2,834","2,107","2,432",412,547,182,345,"2,397","1,095","1,684","4,519","2,154","2,742","2,898"
2021,3,30,"48,118",614,"14,040",272,"3,997","3,604","4,646",388,611,175,305,"2,276","1,728","1,244","5,043","2,126","2,912","4,137"
2021,3,40,"56,977",881,"14,796",542,"4,712","3,521","3,599",581,950,260,392,"3,478","1,516","1,462","7,059","3,480","4,080","5,668"
2021,3,50,"46,564","1,141","9,909",751,"2,434","2,808","3,042",973,"1,253",512,840,"3,224","1,334","2,011","5,338","3,223","3,375","4,396"
2021,3,60,"32,962","1,177","5,529",813,"1,093","2,220","2,371","1,256","1,158",768,998,"2,509","1,145","1,681","3,376","2,080","1,956","2,832"
2021,3,70,"18,063",722,"2,573",580,585,981,"1,136",827,689,564,727,"1,529",663,"1,000","1,776","1,146","1,057","1,508"
2021,3,80,"9,871",509,"1,202",346,315,566,631,580,501,406,500,820,299,463,852,558,494,829
2021,3,90,"1,329",66,179,58,46,92,97,80,72,49,54,94,53,58,109,70,66,86
2021,3,100,53,3,10,6,0,2,1,1,0,2,1,5,2,4,6,4,4,2
2021,4,총,"318,699","6,496","77,319","4,244","22,130","20,262","21,937","5,503","6,471","3,095","4,463","19,965","9,447","10,840","36,860","18,796","21,684","29,187"
2021,4,0,"32,224",345,"9,511",196,"2,903","2,540","2,473",136,308,61,105,"1,511",883,426,"3,909","1,502","2,178","3,237"
2021,4,10,"34,780",503,"9,439",358,"3,075","1,793","1,458",268,402,105,179,"2,096",732,786,"4,825","2,417","2,769","3,575"
2021,4,20,"37,066",542,"9,778",302,"2,901","2,099","2,424",415,539,183,350,"2,410","1,094","1,689","4,514","2,169","2,746","2,911"
2021,4,30,"48,138",610,"14,126",274,"3,989","3,594","4,657",395,608,181,308,"2,245","1,735","1,255","5,023","2,119","2,913","4,106"
2021,4,40,"57,138",883,"14,886",542,"4,757","3,530","3,600",573,951,257,395,"3,493","1,501","1,471","7,063","3,463","4,094","5,679"
2021,4,50,"46,656","1,137","9,977",756,"2,438","2,806","3,054",965,"1,241",510,832,"3,235","1,327","2,000","5,362","3,228","3,384","4,404"
2021,4,60,"33,301","1,176","5,610",830,"1,115","2,260","2,401","1,265","1,169",778,"1,005","2,521","1,158","1,693","3,408","2,098","1,973","2,841"
2021,4,70,"18,087",718,"2,588",573,584,978,"1,139",825,686,561,729,"1,526",670,997,"1,781","1,162","1,061","1,509"
2021,4,80,"9,914",511,"1,206",350,323,568,632,580,497,410,505,828,291,458,860,562,497,836
2021,4,90,"1,339",68,187,57,45,92,97,80,70,47,54,95,53,61,109,72,65,87
2021,4,100,56,3,11,6,0,2,2,1,0,2,1,5,3,4,6,4,4,2
2021,5,총,"319,225","6,468","77,811","4,245","22,304","20,235","22,056","5,528","6,440","3,091","4,455","19,909","9,434","10,826","36,824","18,770","21,660","29,169"
2021,5,0,"32,092",341,"9,508",189,"2,901","2,514","2,489",139,310,60,106,"1,509",880,427,"3,870","1,485","2,151","3,213"
2021,5,10,"34,821",494,"9,465",362,"3,103","1,795","1,465",271,386,105,170,"2,080",727,790,"4,852","2,417","2,768","3,571"
2021,5,20,"37,131",539,"9,812",306,"2,942","2,106","2,430",419,541,178,352,"2,399","1,091","1,695","4,507","2,155","2,739","2,920"
2021,5,30,"48,136",606,"14,264",272,"3,977","3,573","4,686",400,611,180,302,"2,203","1,735","1,244","4,986","2,117","2,893","4,087"
2021,5,40,"57,140",879,"14,942",540,"4,817","3,507","3,637",571,941,250,395,"3,469","1,501","1,456","7,052","3,458","4,071","5,654"
2021,5,50,"46,842","1,131","10,097",755,"2,468","2,820","3,047",973,"1,219",515,838,"3,257","1,322","2,006","5,376","3,225","3,396","4,397"
2021,5,60,"33,619","1,186","5,709",838,"1,136","2,270","2,425","1,268","1,182",783,"1,005","2,538","1,158","1,697","3,416","2,108","2,008","2,892"
2021,5,70,"18,081",717,"2,595",569,588,982,"1,142",831,680,559,727,"1,524",672,988,"1,786","1,166","1,053","1,502"
2021,5,80,"9,953",504,"1,220",351,325,571,636,574,498,412,506,830,290,456,862,562,512,844
2021,5,90,"1,354",68,188,58,47,95,97,81,72,47,53,95,55,63,110,73,65,87
2021,5,100,56,3,11,5,0,2,2,1,0,2,1,5,3,4,7,4,4,2
