년도,월,나이,진도군,진도읍,군내면,고군면,의신면,임회면,지산면,조도면,조도면가사출장소,조도면거차출장소
2020,6,90,287,48,33,36,45,61,39,19,2,4
2020,6,100,18,3,1,6,1,1,2,4,0,0
2020,7,총,"15,479","5,460","1,504","1,882","1,715","1,795","1,664","1,142",133,184
2020,7,0,909,481,64,101,51,67,60,62,8,15
2020,7,10,"1,082",554,88,126,77,90,69,60,0,18
2020,7,20,"1,021",498,67,126,93,99,70,51,12,5
2020,7,30,"1,035",545,72,124,77,74,71,54,7,11
2020,7,40,"1,514",772,132,148,135,127,79,96,11,14
2020,7,50,"2,276",874,208,274,270,268,216,133,14,19
2020,7,60,"2,562",733,281,356,321,323,325,169,19,35
2020,7,70,"2,757",589,316,325,374,383,418,279,30,43
2020,7,80,"2,017",360,242,260,272,302,315,215,31,20
2020,7,90,289,51,33,36,44,61,39,20,1,4
2020,7,100,17,3,1,6,1,1,2,3,0,0
2020,8,총,"15,473","5,467","1,499","1,882","1,713","1,790","1,663","1,143",132,184
2020,8,0,908,481,63,99,54,68,60,60,8,15
2020,8,10,"1,072",552,88,125,76,85,68,60,0,18
2020,8,20,"1,025",501,65,120,95,100,73,54,12,5
2020,8,30,"1,028",544,68,125,75,76,68,54,7,11
2020,8,40,"1,514",774,130,152,131,124,81,97,11,14
2020,8,50,"2,259",870,206,272,271,263,215,130,13,19
2020,8,60,"2,576",740,286,358,318,323,326,171,20,34
2020,8,70,"2,751",587,318,325,373,382,416,276,30,44
2020,8,80,"2,028",363,238,264,275,306,314,218,30,20
2020,8,90,295,52,36,36,44,62,40,20,1,4
2020,8,100,17,3,1,6,1,1,2,3,0,0
2020,9,총,"15,411","5,469","1,496","1,872","1,702","1,780","1,643","1,136",130,183
2020,9,0,902,484,62,97,53,65,58,60,8,15
2020,9,10,"1,068",555,90,122,76,86,62,59,0,18
2020,9,20,"1,020",498,66,120,92,100,75,52,12,5
2020,9,30,"1,015",546,70,119,72,76,64,51,7,10
2020,9,40,"1,496",778,128,147,124,122,76,97,9,15
2020,9,50,"2,246",862,208,270,268,261,216,129,13,19
2020,9,60,"2,574",735,286,364,322,322,321,171,19,34
2020,9,70,"2,748",591,311,327,374,379,417,274,31,44
2020,9,80,"2,027",365,239,262,274,306,313,219,30,19
2020,9,90,298,52,35,38,46,62,39,21,1,4
2020,9,100,17,3,1,6,1,1,2,3,0,0
2020,10,총,"15,368","5,455","1,482","1,871","1,690","1,788","1,638","1,133",129,182
2020,10,0,892,484,60,95,52,63,57,59,8,14
2020,10,10,"1,059",549,88,121,74,88,61,59,0,19
2020,10,20,"1,014",496,64,121,90,100,75,52,11,5
2020,10,30,"1,012",545,70,118,74,78,64,48,6,9
2020,10,40,"1,498",776,127,149,121,124,76,101,9,15
2020,10,50,"2,228",852,204,267,263,263,214,132,14,19
2020,10,60,"2,579",740,287,365,323,320,320,171,19,34
2020,10,70,"2,736",588,308,326,374,381,416,271,28,44
2020,10,80,"2,033",370,236,263,272,309,314,217,33,19
2020,10,90,299,51,37,40,46,61,39,20,1,4
2020,10,100,18,4,1,6,1,1,2,3,0,0
2020,11,총,"15,583","5,557","1,501","1,893","1,715","1,806","1,652","1,144",129,186
2020,11,0,892,491,56,92,52,63,58,59,8,13
2020,11,10,"1,077",554,89,122,77,90,63,61,0,21
2020,11,20,"1,080",531,70,134,98,101,79,52,10,5
2020,11,30,"1,027",552,75,115,75,77,69,49,6,9
2020,11,40,"1,542",796,130,156,127,130,75,102,9,17
2020,11,50,"2,256",861,211,269,266,264,215,136,15,19
2020,11,60,"2,617",759,289,365,328,327,324,172,19,34
2020,11,70,"2,739",591,309,332,375,380,414,265,28,45
2020,11,80,"2,037",367,236,262,271,311,313,225,33,19
2020,11,90,298,51,35,40,45,62,40,20,1,4
2020,11,100,18,4,1,6,1,1,2,3,0,0
2020,12,총,"15,798","5,648","1,521","1,916","1,750","1,822","1,668","1,160",128,185
2020,12,0,895,488,58,93,55,61,57,61,8,14
2020,12,10,"1,088",560,88,121,78,95,64,61,0,21
2020,12,20,"1,147",554,80,141,106,108,85,58,10,5
2020,12,30,"1,054",566,78,118,78,78,69,51,6,10
2020,12,40,"1,568",805,132,161,128,133,78,105,9,17
2020,12,50,"2,286",878,214,278,272,258,218,135,15,18
2020,12,60,"2,655",776,290,366,336,333,327,177,18,32
2020,12,70,"2,735",600,304,328,376,382,411,261,28,45
2020,12,80,"2,050",369,241,262,274,309,316,227,33,19
2020,12,90,302,48,35,42,46,64,41,21,1,4
2020,12,100,18,4,1,6,1,1,2,3,0,0
2021,1,총,"15,603","5,553","1,506","1,892","1,723","1,813","1,651","1,149",128,188
2021,1,0,873,477,57,89,52,60,56,59,8,15
2021,1,10,"1,075",554,86,121,75,100,60,58,0,21
2021,1,20,"1,102",536,74,133,100,104,83,57,10,5
2021,1,30,"1,021",552,77,113,76,75,64,49,6,9
2021,1,40,"1,536",790,131,159,121,127,80,101,9,18
2021,1,50,"2,250",861,212,272,265,260,212,134,15,19
2021,1,60,"2,642",765,289,366,339,329,326,177,18,33
2021,1,70,"2,720",597,303,322,375,384,406,260,28,45
2021,1,80,"2,061",367,239,269,276,308,320,230,33,19
2021,1,90,306,50,37,42,44,65,42,21,1,4
2021,1,100,17,4,1,6,0,1,2,3,0,0
2021,2,총,"15,528","5,518","1,502","1,882","1,714","1,800","1,652","1,149",126,185
2021,2,0,866,468,57,91,51,60,58,60,7,14
2021,2,10,"1,073",556,85,122,74,101,59,55,0,21
2021,2,20,"1,072",523,74,126,98,99,82,57,9,4
2021,2,30,"1,009",545,72,112,75,76,64,49,7,9
2021,2,40,"1,524",785,131,158,120,122,82,101,9,16
2021,2,50,"2,235",852,211,268,264,260,211,135,14,20
2021,2,60,"2,638",767,285,366,341,325,326,177,18,33
2021,2,70,"2,696",590,306,320,367,384,399,258,28,44
2021,2,80,"2,087",376,243,269,279,308,326,233,33,20
2021,2,90,310,52,37,44,44,64,43,21,1,4
2021,2,100,18,4,1,6,1,1,2,3,0,0
2021,3,총,"15,394","5,517","1,487","1,844","1,706","1,778","1,635","1,119",123,185
2021,3,0,852,460,54,86,54,60,58,59,7,14
2021,3,10,"1,083",567,86,123,74,99,58,56,0,20
2021,3,20,"1,045",517,72,119,95,99,76,53,9,5
2021,3,30,"1,000",547,68,110,73,75,64,48,6,9
2021,3,40,"1,501",789,126,153,116,120,75,97,9,16
2021,3,50,"2,198",843,212,256,262,261,206,123,15,20
2021,3,60,"2,634",775,285,368,342,311,327,176,17,33
2021,3,70,"2,668",591,299,316,368,380,393,252,26,43
2021,3,80,"2,093",374,247,265,276,310,334,233,33,21
2021,3,90,307,50,37,45,45,63,42,20,1,4
2021,3,100,13,4,1,3,1,0,2,2,0,0
2021,4,총,"15,344","5,507","1,475","1,840","1,689","1,781","1,629","1,113",124,186
2021,4,0,842,460,51,84,52,60,58,56,7,14
2021,4,10,"1,073",561,84,124,74,96,55,59,0,20
2021,4,20,"1,045",524,70,115,91,101,80,50,9,5
2021,4,30,"1,002",555,66,111,69,76,62,48,6,9
2021,4,40,"1,481",778,123,152,116,121,72,96,8,15
2021,4,50,"2,173",828,218,253,249,262,201,124,17,21
2021,4,60,"2,656",782,280,369,349,315,332,178,17,34
2021,4,70,"2,649",590,297,315,366,375,385,252,26,43
2021,4,80,"2,100",374,249,268,276,310,340,229,33,21
2021,4,90,310,52,36,46,46,65,42,18,1,4
2021,4,100,13,3,1,3,1,0,2,3,0,0
2021,5,총,"15,332","5,524","1,468","1,837","1,682","1,778","1,625","1,108",123,187
2021,5,0,833,452,50,87,52,58,58,55,7,14
2021,5,10,"1,082",568,84,122,73,98,56,61,0,20
2021,5,20,"1,035",528,71,113,89,100,77,44,9,4
2021,5,30,"1,000",559,67,109,68,72,62,48,5,10
2021,5,40,"1,477",780,119,152,115,120,74,92,8,17
2021,5,50,"2,175",827,219,252,246,267,199,127,17,21
2021,5,60,"2,666",789,275,376,353,312,331,180,17,33
2021,5,70,"2,624",587,296,311,358,376,383,246,26,41
2021,5,80,"2,113",376,251,265,280,312,341,232,33,23
2021,5,90,314,55,35,47,47,63,42,20,1,4
2021,5,100,13,3,1,3,1,0,2,3,0,0
2021,6,총,"15,316","5,511","1,471","1,835","1,684","1,768","1,625","1,108",124,190
2021,6,0,827,456,48,88,51,54,55,54,7,14
2021,6,10,"1,075",559,83,121,74,98,58,62,0,20
2021,6,20,"1,037",525,71,117,91,97,76,45,10,5
2021,6,30,"1,002",556,69,107,68,77,62,47,5,11
2021,6,40,"1,461",774,117,148,114,117,75,92,8,16
2021,6,50,"2,168",830,220,248,244,260,199,127,17,23
2021,6,60,"2,683",792,279,379,357,317,330,179,17,33
2021,6,70,"2,606",580,295,310,354,376,379,246,26,40
2021,6,80,"2,131",382,254,267,283,309,348,233,32,23
2021,6,90,314,54,35,47,47,63,41,20,2,5
2021,6,100,12,3,0,3,1,0,2,3,0,0
2021,7,총,"15,285","5,497","1,466","1,827","1,680","1,769","1,624","1,108",124,190
2021,7,0,821,448,47,89,51,55,55,55,7,14
2021,7,10,"1,080",559,85,127,73,97,57,62,0,20
2021,7,20,"1,024",521,67,110,91,98,77,45,10,5
2021,7,30,998,552,70,104,67,80,61,49,4,11
2021,7,40,"1,453",766,118,149,113,115,74,93,9,16
2021,7,50,"2,169",834,218,249,246,259,198,125,17,23
2021,7,60,"2,685",798,278,375,355,319,332,178,17,33
2021,7,70,"2,597",576,295,308,355,373,379,246,25,40
2021,7,80,"2,132",382,254,266,281,313,348,233,32,23
2021,7,90,314,58,34,47,47,60,41,19,3,5
2021,7,100,12,3,0,3,1,0,2,3,0,0
2021,8,총,"15,250","5,489","1,462","1,815","1,684","1,767","1,614","1,104",124,191
2021,8,0,815,446,46,88,53,55,51,55,7,14
2021,8,10,"1,074",553,85,127,73,97,58,61,0,20
2021,8,20,"1,017",526,67,103,92,96,75,44,9,5
2021,8,30,988,545,67,103,68,80,62,48,4,11
2021,8,40,"1,453",767,117,148,116,113,73,94,9,16
2021,8,50,"2,158",825,220,246,244,260,196,125,18,24
2021,8,60,"2,680",803,275,373,355,318,328,178,17,33
2021,8,70,"2,600",579,296,309,355,374,380,244,24,39
2021,8,80,"2,142",384,255,268,281,316,350,232,33,23
2021,8,90,311,58,34,47,46,58,39,20,3,6
2021,8,100,12,3,0,3,1,0,2,3,0,0
2021,9,총,"15,198","5,477","1,449","1,817","1,678","1,758","1,606","1,101",125,187
2021,9,0,804,438,46,85,51,56,52,55,7,14
2021,9,10,"1,078",557,85,129,73,96,57,63,0,18
2021,9,20,"1,002",523,64,100,93,95,72,41,9,5
2021,9,30,976,538,63,104,69,79,60,48,4,11
2021,9,40,"1,441",766,114,149,114,111,70,93,9,15
2021,9,50,"2,156",821,216,250,242,258,199,127,19,24
2021,9,60,"2,678",807,277,371,352,318,325,178,17,33
2021,9,70,"2,591",578,295,310,356,372,379,239,24,38
2021,9,80,"2,146",387,255,269,282,315,349,233,33,23
2021,9,90,314,59,34,47,45,58,41,21,3,6
2021,9,100,12,3,0,3,1,0,2,3,0,0
2021,10,총,"15,190","5,482","1,455","1,815","1,678","1,755","1,596","1,097",124,188
2021,10,0,800,437,47,81,52,59,50,53,7,14
2021,10,10,"1,072",554,85,131,74,90,58,62,0,18
2021,10,20,"1,002",526,66,98,91,95,71,41,9,5
2021,10,30,979,538,67,105,69,80,58,47,4,11
2021,10,40,"1,436",761,116,150,117,108,69,91,9,15
2021,10,50,"2,145",826,215,245,239,255,195,128,18,24
2021,10,60,"2,688",812,275,372,355,321,326,176,17,34
2021,10,70,"2,588",584,298,311,348,369,378,240,23,37
2021,10,80,"2,152",384,253,270,287,320,347,235,34,22
2021,10,90,317,58,33,49,45,58,42,21,3,8
2021,10,100,11,2,0,3,1,0,2,3,0,0
2021,11,총,"15,179","5,462","1,456","1,823","1,690","1,748","1,590","1,099",123,188
2021,11,0,800,433,48,85,54,57,50,52,7,14
2021,11,10,"1,069",545,85,135,76,91,57,62,0,18
2021,11,20,"1,001",523,67,98,88,97,71,43,9,5
2021,11,30,975,532,67,105,74,78,58,45,5,11
2021,11,40,"1,425",752,113,153,120,108,68,88,8,15
2021,11,50,"2,150",830,215,243,239,253,199,129,18,24
2021,11,60,"2,699",819,277,374,353,321,324,180,17,34
2021,11,70,"2,574",579,296,308,349,366,376,241,22,37
2021,11,80,"2,156",388,255,270,290,318,343,235,35,22
2021,11,90,320,59,33,49,46,59,43,21,2,8
2021,11,100,10,2,0,3,1,0,1,3,0,0
2021,12,총,"15,158","5,457","1,462","1,825","1,676","1,740","1,591","1,097",122,188
2021,12,0,789,428,52,82,51,55,50,51,6,14
2021,12,10,"1,066",541,86,137,75,89,58,62,0,18
2021,12,20,998,524,64,97,86,96,74,43,9,5
2021,12,30,971,527,69,106,72,82,57,43,4,11
2021,12,40,"1,423",753,114,153,118,107,69,87,7,15
2021,12,50,"2,156",835,216,241,238,250,200,133,19,24
2021,12,60,"2,700",816,276,375,354,320,324,182,18,35
2021,12,70,"2,565",581,295,310,346,361,372,241,22,37
2021,12,80,"2,156",391,255,271,290,320,341,232,35,21
2021,12,90,325,59,35,50,45,60,45,21,2,8
2021,12,100,9,2,0,3,1,0,1,2,0,0
