년도,월,나이,강서구,대저1동,대저2동,강동동,명지1동,명지2동,가락동,녹산동,가덕도동
2021,2,40,"10,664",279,347,136,"4,063","3,243",70,"2,350",176
2021,2,50,"8,317",525,461,433,"2,543","1,655",213,"2,108",379
2021,2,60,"7,927",738,614,594,"2,012","1,259",293,"1,953",464
2021,2,70,"3,440",488,348,323,669,420,195,775,222
2021,2,80,"1,804",242,215,180,324,183,123,388,149
2021,2,90,376,52,49,42,66,32,28,74,33
2021,2,100,34,2,4,10,6,0,3,4,5
2021,3,총,"67,239","2,970","3,116","2,032","25,506","15,195","1,128","15,482","1,810"
2021,3,0,"9,703",92,230,38,"4,767","2,433",28,"2,062",53
2021,3,10,"5,903",122,218,62,"2,184","2,060",27,"1,157",73
2021,3,20,"5,706",257,277,129,"2,202","1,198",74,"1,449",120
2021,3,30,"13,321",244,371,141,"6,615","2,683",77,"3,061",129
2021,3,40,"10,707",261,341,127,"4,095","3,261",70,"2,375",177
2021,3,50,"8,279",525,457,413,"2,531","1,659",204,"2,118",372
2021,3,60,"7,991",719,611,589,"2,042","1,268",297,"1,990",475
2021,3,70,"3,436",465,346,316,676,417,195,799,222
2021,3,80,"1,811",238,214,178,322,185,127,397,150
2021,3,90,365,46,50,38,66,31,27,73,34
2021,3,100,17,1,1,1,6,0,2,1,5
2021,4,총,"67,413","2,956","3,090","2,027","25,618","15,162","1,123","15,615","1,822"
2021,4,0,"9,663",95,222,38,"4,748","2,415",27,"2,065",53
2021,4,10,"5,964",118,215,62,"2,211","2,076",27,"1,181",74
2021,4,20,"5,721",257,275,124,"2,223","1,184",75,"1,460",123
2021,4,30,"13,307",247,360,140,"6,633","2,660",73,"3,067",127
2021,4,40,"10,806",249,345,126,"4,153","3,264",70,"2,418",181
2021,4,50,"8,236",519,452,408,"2,512","1,650",202,"2,119",374
2021,4,60,"8,063",723,612,593,"2,066","1,278",299,"2,017",475
2021,4,70,"3,450",463,345,317,677,417,192,812,227
2021,4,80,"1,819",238,212,179,326,185,129,401,149
2021,4,90,368,46,51,39,63,33,27,74,35
2021,4,100,16,1,1,1,6,0,2,1,4
2021,5,총,"67,674","2,957","3,095","2,021","25,746","15,187","1,120","15,719","1,829"
2021,5,0,"9,656",95,222,38,"4,742","2,406",27,"2,073",53
2021,5,10,"6,035",123,213,63,"2,246","2,090",27,"1,199",74
2021,5,20,"5,745",254,280,123,"2,238","1,199",73,"1,456",122
2021,5,30,"13,317",249,363,139,"6,645","2,641",74,"3,078",128
2021,5,40,"10,894",246,339,127,"4,202","3,284",72,"2,445",179
2021,5,50,"8,214",510,453,401,"2,492","1,641",200,"2,142",375
2021,5,60,"8,133",729,620,593,"2,099","1,287",296,"2,029",480
2021,5,70,"3,476",462,340,321,688,422,194,818,231
2021,5,80,"1,814",243,212,176,324,181,128,402,148
2021,5,90,374,45,52,39,64,36,27,76,35
2021,5,100,16,1,1,1,6,0,2,1,4
2021,6,총,"67,896","2,953","3,100","2,018","25,839","15,205","1,111","15,834","1,836"
2021,6,0,"9,624",95,219,38,"4,727","2,395",27,"2,069",54
2021,6,10,"6,098",126,214,65,"2,270","2,112",26,"1,211",74
2021,6,20,"5,768",254,281,127,"2,258","1,187",74,"1,470",117
2021,6,30,"13,315",246,363,138,"6,648","2,628",74,"3,089",129
2021,6,40,"10,981",245,344,122,"4,235","3,302",71,"2,479",183
2021,6,50,"8,224",501,447,395,"2,502","1,650",195,"2,158",376
2021,6,60,"8,190",735,622,597,"2,107","1,296",296,"2,056",481
2021,6,70,"3,489",461,345,320,695,419,192,821,236
2021,6,80,"1,818",246,212,177,327,181,126,402,147
2021,6,90,372,42,52,38,64,35,28,78,35
2021,6,100,17,2,1,1,6,0,2,1,4
2021,7,총,"68,126","2,953","3,141","2,002","25,923","15,204","1,111","15,939","1,853"
2021,7,0,"9,613",93,222,36,"4,729","2,383",27,"2,067",56
2021,7,10,"6,135",128,220,65,"2,281","2,118",26,"1,223",74
2021,7,20,"5,776",246,285,121,"2,272","1,174",74,"1,486",118
2021,7,30,"13,292",242,368,140,"6,635","2,594",72,"3,108",133
2021,7,40,"11,105",245,352,123,"4,283","3,330",73,"2,515",184
2021,7,50,"8,226",507,459,382,"2,500","1,643",196,"2,163",376
2021,7,60,"8,250",736,619,597,"2,127","1,316",296,"2,067",492
2021,7,70,"3,517",464,354,321,696,429,191,830,232
2021,7,80,"1,825",248,211,178,330,181,125,403,149
2021,7,90,368,42,50,37,64,36,28,76,35
2021,7,100,19,2,1,2,6,0,3,1,4
2021,8,총,"68,308","2,937","3,150","1,987","26,022","15,216","1,118","16,033","1,845"
2021,8,0,"9,599",93,225,36,"4,731","2,368",28,"2,065",53
2021,8,10,"6,177",123,218,63,"2,309","2,132",25,"1,235",72
2021,8,20,"5,773",247,287,116,"2,273","1,166",77,"1,492",115
2021,8,30,"13,269",238,369,140,"6,618","2,576",74,"3,120",134
2021,8,40,"11,210",237,353,119,"4,353","3,351",71,"2,543",183
2021,8,50,"8,230",507,458,375,"2,493","1,647",198,"2,180",372
2021,8,60,"8,301",738,627,602,"2,141","1,326",294,"2,080",493
2021,8,70,"3,525",459,354,320,697,434,193,836,232
2021,8,80,"1,827",246,208,177,335,177,127,405,152
2021,8,90,378,47,50,37,66,39,28,76,35
2021,8,100,19,2,1,2,6,0,3,1,4
2021,9,총,"68,481","2,941","3,119","1,972","26,145","15,218","1,109","16,137","1,840"
2021,9,0,"9,571",92,216,38,"4,727","2,353",29,"2,063",53
2021,9,10,"6,208",125,216,60,"2,323","2,141",25,"1,246",72
2021,9,20,"5,776",249,287,115,"2,295","1,158",75,"1,486",111
2021,9,30,"13,292",231,363,136,"6,633","2,569",78,"3,146",136
2021,9,40,"11,310",242,352,121,"4,411","3,362",70,"2,574",178
2021,9,50,"8,211",507,452,371,"2,498","1,638",190,"2,183",372
2021,9,60,"8,344",737,626,601,"2,150","1,341",293,"2,103",493
2021,9,70,"3,542",462,350,316,698,438,193,851,234
2021,9,80,"1,832",246,207,177,339,179,126,407,151
2021,9,90,378,48,49,35,65,39,28,78,36
2021,9,100,17,2,1,2,6,0,2,0,4
2021,10,총,"68,633","2,942","3,103","1,962","26,227","15,232","1,107","16,207","1,853"
2021,10,0,"9,561",91,209,36,"4,735","2,352",27,"2,057",54
2021,10,10,"6,250",124,221,60,"2,340","2,160",25,"1,250",70
2021,10,20,"5,750",248,286,113,"2,274","1,148",78,"1,492",111
2021,10,30,"13,262",232,358,135,"6,629","2,546",76,"3,150",136
2021,10,40,"11,405",245,353,115,"4,478","3,376",70,"2,590",178
2021,10,50,"8,240",512,445,370,"2,508","1,642",190,"2,197",376
2021,10,60,"8,376",730,626,599,"2,160","1,347",292,"2,124",498
2021,10,70,"3,568",462,351,318,694,446,195,862,240
2021,10,80,"1,829",248,205,177,339,175,126,409,150
2021,10,90,375,48,48,37,64,40,26,76,36
2021,10,100,17,2,1,2,6,0,2,0,4
2021,11,총,"68,797","2,956","3,104","1,965","26,279","15,238","1,099","16,285","1,871"
2021,11,0,"9,526",95,217,34,"4,721","2,330",28,"2,046",55
2021,11,10,"6,314",122,218,60,"2,370","2,176",23,"1,275",70
2021,11,20,"5,707",242,284,115,"2,255","1,140",76,"1,480",115
2021,11,30,"13,248",236,360,134,"6,622","2,532",74,"3,150",140
2021,11,40,"11,507",245,356,119,"4,516","3,391",71,"2,633",176
2021,11,50,"8,252",514,445,364,"2,512","1,651",183,"2,205",378
2021,11,60,"8,426",739,624,606,"2,177","1,340",294,"2,140",506
2021,11,70,"3,572",459,344,315,694,454,197,866,243
2021,11,80,"1,850",254,208,179,341,184,126,411,147
2021,11,90,378,48,47,37,65,40,25,79,37
2021,11,100,17,2,1,2,6,0,2,0,4
2021,12,총,"68,871","2,963","3,104","1,956","26,379","15,236","1,094","16,268","1,871"
