년도,월,나이,시흥시,대야동,신천동,신현동,은행동,매화동,목감동,군자동,월곶동,정왕본동,정왕1동,정왕2동,정왕3동,정왕4동,배곧동,과림동,연성동,장곡동,능곡동,배곧1동,배곧2동
2020,6,총,"229,526","18,931","18,025","4,827","24,532","5,921","21,253","10,783","7,519","7,570","9,318","14,909","10,109","10,853","34,299",767,"11,932","8,650","9,328",,
2020,6,0,"22,815","1,433",865,246,"2,888",383,"3,155",832,726,599,725,"1,289",879,836,"5,541",20,918,748,732,,
2020,6,10,"23,978","1,582","1,696",388,"2,569",591,"1,630","1,095",709,558,952,"1,818","1,030","1,355","3,847",25,"1,527","1,391","1,215",,
2020,6,20,"30,753","2,893","2,754",637,"3,089",746,"2,090","1,328",812,"1,091","1,272","2,216","1,354","1,768","4,330",62,"1,736","1,251","1,324",,
2020,6,30,"34,346","2,640","1,801",450,"4,133",547,"4,513","1,276","1,124","1,364","1,332","1,873","1,323","1,223","7,427",60,"1,288",917,"1,055",,
2020,6,40,"40,690","2,788","2,762",682,"4,156",985,"3,363","1,775","1,408","1,364","1,782","2,875","1,887","2,118","6,591",56,"2,332","1,957","1,809",,
2020,6,50,"39,645","3,772","4,022","1,058","4,075","1,132","2,872","1,987","1,208","1,389","1,738","2,803","1,923","2,105","4,129",178,"2,231","1,429","1,594",,
2020,6,60,"20,261","2,093","2,230",704,"2,065",721,"2,106","1,322",853,696,861,"1,067",921,696,"1,595",208,896,447,780,,
2020,6,70,"10,249",986,"1,159",392,906,478,930,711,421,315,415,572,468,449,551,96,612,309,479,,
2020,6,80,"5,745",624,629,237,551,296,490,383,218,165,207,354,259,272,244,49,324,166,277,,
2020,6,90,975,111,89,30,95,39,93,66,39,27,34,40,65,29,43,13,65,34,63,,
2020,6,100,69,9,18,3,5,3,11,8,1,2,0,2,0,2,1,0,3,1,0,,
2020,7,총,"230,871","19,761","17,910","4,798","24,513","5,872","21,208","10,754","7,566","7,580","9,273","14,852","10,081","10,861","34,303",765,"11,895","9,537","9,342",,
2020,7,0,"22,957","1,507",858,237,"2,898",375,"3,149",822,734,600,700,"1,267",870,842,"5,537",19,903,908,731,,
2020,7,10,"24,003","1,653","1,664",383,"2,559",588,"1,635","1,096",707,560,950,"1,802","1,027","1,343","3,854",25,"1,508","1,440","1,209",,
2020,7,20,"30,868","3,020","2,728",629,"3,068",730,"2,086","1,325",817,"1,105","1,263","2,198","1,345","1,767","4,307",64,"1,732","1,361","1,323",,
2020,7,30,"34,618","2,791","1,792",444,"4,158",544,"4,472","1,257","1,133","1,356","1,327","1,870","1,318","1,226","7,399",59,"1,273","1,140","1,059",,
2020,7,40,"40,849","2,923","2,726",670,"4,146",967,"3,359","1,781","1,406","1,367","1,770","2,861","1,875","2,105","6,627",53,"2,315","2,094","1,804",,
2020,7,50,"39,871","3,927","4,003","1,061","4,039","1,125","2,879","1,975","1,214","1,379","1,734","2,803","1,922","2,111","4,130",172,"2,239","1,548","1,610",,
2020,7,60,"20,543","2,168","2,237",713,"2,075",723,"2,111","1,335",867,706,865,"1,077",935,701,"1,615",214,909,508,784,,
2020,7,70,"10,332","1,008","1,162",393,919,480,926,708,431,313,421,581,465,457,545,98,617,327,481,,
2020,7,80,"5,771",638,630,236,549,295,489,381,217,165,207,353,257,278,245,48,330,174,279,,
2020,7,90,991,117,92,29,97,42,92,66,39,27,36,38,67,29,43,13,66,36,62,,
2020,7,100,68,9,18,3,5,3,10,8,1,2,0,2,0,2,1,0,3,1,0,,
2020,8,총,"233,332","20,754","17,770","4,790","24,452","5,830","21,031","10,708","7,616","7,574","9,200","14,840","10,066","10,824","34,319",755,"11,763","11,775","9,265",,
2020,8,0,"23,282","1,603",836,230,"2,902",370,"3,083",797,733,596,699,"1,265",866,835,"5,501",20,871,"1,356",719,,
2020,8,10,"24,137","1,718","1,624",385,"2,560",582,"1,608","1,085",703,554,926,"1,797","1,030","1,334","3,880",22,"1,481","1,653","1,195",,
2020,8,20,"31,144","3,144","2,713",631,"3,039",726,"2,079","1,328",831,"1,102","1,245","2,192","1,354","1,763","4,329",63,"1,722","1,560","1,323",,
2020,8,30,"35,071","3,014","1,772",435,"4,121",534,"4,385","1,238","1,136","1,351","1,312","1,864","1,311","1,215","7,332",55,"1,262","1,689","1,045",,
2020,8,40,"41,241","3,070","2,678",665,"4,152",961,"3,350","1,762","1,422","1,372","1,757","2,838","1,859","2,098","6,664",52,"2,255","2,523","1,763",,
2020,8,50,"40,272","4,110","3,999","1,056","4,019","1,109","2,882","1,980","1,213","1,381","1,722","2,820","1,918","2,101","4,148",172,"2,229","1,797","1,616",,
2020,8,60,"20,883","2,292","2,253",720,"2,078",725,"2,110","1,345",882,707,865,"1,083",943,710,"1,626",213,926,618,787,,
2020,8,70,"10,383","1,023","1,157",396,924,475,932,715,435,315,424,584,461,456,545,96,619,350,476,,
2020,8,80,"5,845",647,629,237,556,304,498,386,220,166,213,356,257,284,247,49,329,188,279,,
2020,8,90,"1,005",124,91,32,96,41,94,64,40,28,37,39,67,27,46,12,66,39,62,,
2020,8,100,69,9,18,3,5,3,10,8,1,2,0,2,0,1,1,1,3,2,0,,
2020,9,총,"235,243","21,454","17,674","4,778","24,444","5,824","20,943","10,675","7,627","7,577","9,271","14,819","10,038","10,796","34,322",756,"11,729","13,247","9,269",,
2020,9,0,"23,489","1,690",827,233,"2,908",366,"3,033",792,722,591,693,"1,252",863,830,"5,488",21,866,"1,589",725,,
2020,9,10,"24,241","1,751","1,608",382,"2,553",585,"1,599","1,084",693,548,940,"1,787","1,031","1,332","3,890",21,"1,457","1,799","1,181",,
2020,9,20,"31,321","3,227","2,676",630,"3,026",720,"2,062","1,317",836,"1,111","1,305","2,194","1,341","1,751","4,321",64,"1,725","1,704","1,311",,
2020,9,30,"35,430","3,174","1,767",434,"4,112",535,"4,362","1,227","1,135","1,334","1,304","1,838","1,298","1,213","7,283",54,"1,255","2,039","1,066",,
2020,9,40,"41,447","3,183","2,638",656,"4,134",942,"3,326","1,755","1,422","1,385","1,771","2,822","1,842","2,082","6,679",53,"2,225","2,788","1,744",,
2020,9,50,"40,690","4,224","3,990","1,054","4,036","1,117","2,898","1,971","1,225","1,382","1,715","2,845","1,928","2,114","4,170",169,"2,237","1,980","1,635",,
2020,9,60,"21,176","2,364","2,268",722,"2,092",732,"2,122","1,351",894,713,869,"1,085",949,708,"1,642",216,940,713,796,,
2020,9,70,"10,464","1,040","1,153",393,922,476,940,720,438,317,422,593,463,457,548,96,626,390,470,,
2020,9,80,"5,882",661,639,239,559,305,497,382,217,164,213,363,257,281,250,48,324,202,281,,
2020,9,90,"1,034",131,91,32,97,43,94,68,44,30,38,38,66,27,50,13,71,41,60,,
2020,9,100,69,9,17,3,5,3,10,8,1,2,1,2,0,1,1,1,3,2,0,,
2020,10,총,"236,452","21,803","17,628","4,779","24,619","5,828","20,905","10,651","7,661","7,543","9,238","14,791","10,011","10,789","34,423",757,"11,715","13,967","9,344",,
2020,10,0,"23,513","1,709",818,230,"2,924",364,"3,019",781,723,578,688,"1,243",861,820,"5,476",20,864,"1,670",725,,
2020,10,10,"24,282","1,763","1,595",374,"2,578",583,"1,604","1,086",696,544,935,"1,770","1,030","1,334","3,906",22,"1,439","1,840","1,183",,
2020,10,20,"31,462","3,271","2,679",633,"3,032",715,"2,056","1,309",849,"1,110","1,303","2,185","1,330","1,747","4,338",64,"1,732","1,783","1,326",,
2020,10,30,"35,532","3,246","1,760",434,"4,111",530,"4,309","1,216","1,132","1,324","1,292","1,821","1,295","1,217","7,260",55,"1,252","2,193","1,085",,
2020,10,40,"41,608","3,217","2,619",658,"4,173",935,"3,339","1,759","1,433","1,376","1,763","2,820","1,813","2,079","6,729",52,"2,200","2,901","1,742",,
2020,10,50,"40,973","4,298","3,965","1,054","4,077","1,130","2,893","1,960","1,233","1,386","1,714","2,859","1,940","2,109","4,190",172,"2,247","2,094","1,652",,
2020,10,60,"21,495","2,423","2,284",731,"2,129",741,"2,135","1,360",894,717,871,"1,093",954,720,"1,665",213,963,790,812,,
2020,10,70,"10,552","1,066","1,159",391,933,482,947,720,438,309,416,599,464,455,559,97,617,427,473,,
2020,10,80,"5,919",669,641,240,557,302,496,385,220,168,216,359,256,279,247,48,325,224,287,,
2020,10,90,"1,045",132,90,31,100,43,97,67,41,29,39,40,68,28,52,13,73,43,59,,
2020,10,100,71,9,18,3,5,3,10,8,2,2,1,2,0,1,1,1,3,2,0,,
2020,11,총,"237,692","21,880","17,609","4,778","25,219","5,805","20,904","10,607","7,674","7,525","9,221","14,763","9,984","10,770","34,468",753,"11,737","14,622","9,373",,
2020,11,0,"23,512","1,717",812,231,"2,974",359,"2,997",772,718,572,675,"1,237",852,812,"5,462",19,852,"1,718",733,,
2020,11,10,"24,365","1,763","1,572",368,"2,636",579,"1,623","1,076",694,542,938,"1,761","1,029","1,335","3,925",22,"1,433","1,889","1,180",,
2020,11,20,"31,619","3,268","2,684",636,"3,101",713,"2,057","1,302",846,"1,115","1,318","2,177","1,311","1,756","4,345",63,"1,751","1,851","1,325",,
2020,11,30,"35,682","3,270","1,761",431,"4,201",525,"4,281","1,210","1,142","1,303","1,274","1,826","1,286","1,202","7,257",55,"1,264","2,284","1,110",,
2020,11,40,"41,719","3,223","2,597",656,"4,272",928,"3,353","1,746","1,439","1,374","1,762","2,790","1,810","2,054","6,760",51,"2,184","2,990","1,730",,
2020,11,50,"41,246","4,313","3,971","1,052","4,200","1,115","2,876","1,960","1,238","1,393","1,712","2,849","1,944","2,126","4,187",173,"2,269","2,226","1,642",,
2020,11,60,"21,840","2,444","2,292",737,"2,226",752,"2,164","1,366",899,713,878,"1,118",962,726,"1,677",211,969,876,830,,
2020,11,70,"10,613","1,083","1,171",393,934,481,944,719,436,314,407,595,463,452,553,95,612,483,478,,
2020,11,80,"5,956",658,641,237,565,306,496,383,217,166,216,366,258,280,250,50,326,255,286,,
2020,11,90,"1,068",132,90,34,106,44,103,65,42,31,40,42,69,26,51,13,73,48,59,,
2020,11,100,72,9,18,3,4,3,10,8,3,2,1,2,0,1,1,1,4,2,0,,
2020,12,총,"239,165","21,958","17,564","4,768","26,109","5,794","20,916","10,560","7,662","7,521","9,240","14,740","9,978","10,752","34,550",753,"11,735","14,926","9,639",,
2020,12,0,"23,711","1,699",798,233,"3,215",358,"2,981",762,709,568,668,"1,231",847,801,"5,446",18,855,"1,747",775,,
2020,12,10,"24,395","1,770","1,563",363,"2,691",576,"1,628","1,067",705,535,929,"1,744","1,025","1,340","3,943",21,"1,413","1,905","1,177",,
2020,12,20,"31,750","3,264","2,683",627,"3,150",700,"2,062","1,287",848,"1,112","1,363","2,166","1,317","1,738","4,360",67,"1,742","1,893","1,371",,
2020,12,30,"36,006","3,273","1,746",434,"4,479",520,"4,268","1,198","1,122","1,294","1,261","1,829","1,276","1,200","7,263",55,"1,267","2,331","1,190",,
2020,12,40,"41,908","3,231","2,572",651,"4,397",930,"3,352","1,739","1,442","1,374","1,749","2,784","1,812","2,041","6,796",51,"2,183","3,037","1,767",,
2020,12,50,"41,381","4,333","3,959","1,045","4,241","1,106","2,882","1,967","1,233","1,399","1,703","2,858","1,941","2,135","4,183",175,"2,275","2,269","1,677",,
2020,12,60,"22,148","2,483","2,310",743,"2,301",766,"2,171","1,365",903,716,896,"1,120",963,739,"1,707",209,980,927,849,,
2020,12,70,"10,686","1,093","1,170",393,955,478,951,717,442,318,413,600,465,447,555,93,616,498,482,,
2020,12,80,"6,024",668,654,239,565,311,507,385,214,171,215,366,261,284,246,50,328,266,294,,
2020,12,90,"1,086",135,91,37,112,46,104,65,42,32,42,40,71,26,50,13,72,51,57,,
2020,12,100,70,9,18,3,3,3,10,8,2,2,1,2,0,1,1,1,4,2,0,,
2021,1,총,"241,186","21,969","17,498","4,757","27,287","5,788","20,892","10,529","7,670","7,512","9,241","14,747","9,976","10,760","34,640",755,"11,684","15,068","10,413",,
2021,1,0,"24,003","1,688",769,226,"3,494",356,"2,958",756,708,569,665,"1,218",842,801,"5,440",18,838,"1,747",910,,
2021,1,10,"24,510","1,744","1,554",361,"2,792",571,"1,627","1,058",703,530,924,"1,749","1,020","1,334","3,948",23,"1,387","1,923","1,262",,
2021,1,20,"31,901","3,253","2,664",623,"3,221",695,"2,063","1,288",858,"1,110","1,363","2,168","1,323","1,740","4,346",65,"1,759","1,904","1,458",,
2021,1,30,"36,448","3,303","1,734",431,"4,824",514,"4,240","1,186","1,121","1,295","1,256","1,818","1,267","1,190","7,232",54,"1,252","2,338","1,393",,
2021,1,40,"42,217","3,215","2,547",640,"4,601",920,"3,347","1,725","1,446","1,374","1,742","2,769","1,806","2,038","6,867",51,"2,149","3,075","1,905",,
2021,1,50,"41,600","4,325","3,957","1,052","4,322","1,112","2,880","1,960","1,225","1,378","1,709","2,877","1,949","2,140","4,205",173,"2,278","2,302","1,756",,
2021,1,60,"22,532","2,523","2,342",749,"2,363",771,"2,196","1,374",911,728,913,"1,137",966,758,"1,743",213,998,959,888,,
2021,1,70,"10,729","1,095","1,163",393,974,486,954,721,441,321,409,600,469,447,560,94,617,498,487,,
2021,1,80,"6,074",676,660,243,575,312,512,386,213,175,216,365,261,286,247,50,329,272,296,,
2021,1,90,"1,102",139,89,36,117,48,105,67,42,30,43,44,73,25,51,13,74,48,58,,
2021,1,100,70,8,19,3,4,3,10,8,2,2,1,2,0,1,1,1,3,2,0,,
2021,2,총,"242,509","22,038","17,480","4,749","27,751","5,764","20,827","10,484","7,667","7,511","9,252","14,733","10,011","10,779","34,648",762,"11,680","15,196","11,177",,
2021,2,0,"24,127","1,693",747,223,"3,617",353,"2,916",742,706,565,660,"1,187",846,803,"5,377",18,833,"1,774","1,067",,
2021,2,10,"24,554","1,734","1,556",361,"2,812",563,"1,625","1,056",700,526,923,"1,727","1,026","1,335","3,970",23,"1,387","1,918","1,312",,
2021,2,20,"31,995","3,261","2,660",620,"3,233",683,"2,062","1,277",859,"1,115","1,370","2,193","1,317","1,737","4,313",63,"1,747","1,922","1,563",,
2021,2,30,"36,609","3,313","1,730",414,"4,963",512,"4,188","1,175","1,100","1,296","1,245","1,809","1,261","1,194","7,171",57,"1,252","2,367","1,562",,
2021,2,40,"42,477","3,210","2,516",646,"4,688",924,"3,377","1,719","1,445","1,374","1,734","2,748","1,823","2,045","6,928",53,"2,144","3,076","2,027",,
2021,2,50,"41,826","4,354","3,959","1,038","4,344","1,104","2,867","1,941","1,239","1,373","1,724","2,897","1,958","2,143","4,251",173,"2,276","2,337","1,848",,
2021,2,60,"22,867","2,550","2,378",770,"2,409",773,"2,210","1,385",917,738,917,"1,154",977,766,"1,769",218,"1,021",980,935,,
2021,2,70,"10,740","1,089","1,158",392,983,487,954,721,441,318,414,598,468,446,565,93,618,498,497,,
2021,2,80,"6,131",687,667,246,574,314,514,391,216,174,219,373,264,283,250,51,328,275,305,,
2021,2,90,"1,110",139,90,36,124,48,104,69,42,30,45,44,70,26,53,11,71,47,61,,
2021,2,100,73,8,19,3,4,3,10,8,2,2,1,3,1,1,1,2,3,2,0,,
2021,3,총,"243,168","22,040","17,506","4,741","27,864","5,771","20,832","10,467","7,676","7,521","9,245","14,752","10,004","10,787","34,664",771,"11,676","15,303","11,548",,
2021,3,0,"24,115","1,690",742,223,"3,618",352,"2,896",737,701,562,659,"1,184",844,797,"5,371",18,824,"1,780","1,117",,
2021,3,10,"24,536","1,725","1,546",357,"2,813",558,"1,625","1,052",698,526,935,"1,722","1,018","1,327","3,977",23,"1,376","1,916","1,342",,
2021,3,20,"32,031","3,250","2,669",623,"3,232",688,"2,062","1,283",873,"1,128","1,352","2,180","1,308","1,742","4,304",61,"1,741","1,924","1,611",,
2021,3,30,"36,676","3,324","1,728",411,"4,971",519,"4,182","1,162","1,102","1,277","1,245","1,822","1,258","1,201","7,149",57,"1,253","2,382","1,633",,
2021,3,40,"42,468","3,186","2,504",629,"4,703",914,"3,393","1,719","1,434","1,374","1,731","2,747","1,814","2,026","6,947",51,"2,122","3,088","2,086",,
2021,3,50,"41,963","4,357","3,948","1,047","4,354","1,103","2,853","1,936","1,230","1,368","1,720","2,911","1,970","2,163","4,258",176,"2,285","2,382","1,902",,
2021,3,60,"23,234","2,580","2,415",773,"2,475",783,"2,239","1,392",931,757,921,"1,167",991,772,"1,792",223,"1,039","1,003",981,,
2021,3,70,"10,739","1,091","1,168",392,980,491,951,715,442,318,417,592,466,446,561,95,614,497,503,,
2021,3,80,"6,199",691,677,246,589,311,517,393,219,176,218,376,262,286,250,52,347,278,311,,
2021,3,90,"1,133",140,89,36,124,49,104,70,44,33,46,48,72,26,54,13,72,51,62,,
2021,3,100,74,6,20,4,5,3,10,8,2,2,1,3,1,1,1,2,3,2,0,,
2021,4,총,"243,688","22,059","17,532","4,729","27,932","5,771","20,864","10,479","7,670","7,510","9,238","14,769","10,023","10,774","34,714",768,"11,709","15,402","11,745",,
2021,4,0,"24,147","1,699",742,220,"3,623",345,"2,895",738,696,566,644,"1,184",840,795,"5,360",19,829,"1,796","1,156",,
2021,4,10,"24,483","1,710","1,535",349,"2,785",561,"1,630","1,051",702,534,940,"1,714","1,017","1,320","4,008",23,"1,366","1,902","1,336",,
2021,4,20,"32,125","3,244","2,677",621,"3,260",691,"2,053","1,289",875,"1,112","1,368","2,176","1,309","1,736","4,311",61,"1,748","1,950","1,644",,
2021,4,30,"36,660","3,331","1,730",414,"4,974",520,"4,155","1,159","1,101","1,270","1,236","1,817","1,269","1,197","7,110",56,"1,241","2,393","1,687",,
2021,4,40,"42,522","3,189","2,493",620,"4,711",903,"3,416","1,703","1,433","1,371","1,716","2,759","1,804","2,022","6,981",51,"2,135","3,095","2,120",,
2021,4,50,"42,060","4,331","3,938","1,045","4,359","1,106","2,865","1,943","1,229","1,366","1,718","2,924","1,985","2,166","4,267",173,"2,298","2,417","1,930",,
2021,4,60,"23,472","2,616","2,440",780,"2,507",794,"2,273","1,399",930,755,931,"1,176","1,000",775,"1,808",223,"1,054","1,019",992,,
2021,4,70,"10,763","1,096","1,182",393,984,487,944,717,441,320,412,592,473,449,561,96,613,502,501,,
2021,4,80,"6,242",697,681,246,599,314,521,400,219,180,224,376,255,286,251,50,352,276,315,,
2021,4,90,"1,141",139,94,37,126,48,102,72,42,34,48,48,70,27,56,14,70,51,63,,
2021,4,100,73,7,20,4,4,2,10,8,2,2,1,3,1,1,1,2,3,1,1,,
2021,5,총,"243,994","22,113","17,543","4,741","27,995","5,765","20,852","10,455","7,707","7,498","9,224","14,753","10,022","10,748","34,746",765,"11,684","15,516","11,867",,
2021,5,0,"24,112","1,705",750,214,"3,629",344,"2,872",731,700,560,638,"1,181",843,788,"5,334",20,824,"1,804","1,175",,
2021,5,10,"24,491","1,707","1,507",353,"2,799",555,"1,653","1,050",708,542,943,"1,707","1,011","1,313","4,028",22,"1,356","1,909","1,328",,
2021,5,20,"32,121","3,221","2,691",620,"3,255",699,"2,058","1,275",877,"1,097","1,365","2,174","1,301","1,733","4,306",62,"1,745","1,974","1,668",,
2021,5,30,"36,596","3,353","1,731",412,"4,975",522,"4,136","1,148","1,118","1,259","1,231","1,805","1,266","1,194","7,074",55,"1,227","2,390","1,700",,
2021,5,40,"42,485","3,189","2,472",614,"4,733",894,"3,418","1,697","1,421","1,361","1,709","2,746","1,804","2,010","7,015",51,"2,112","3,102","2,137",,
