년도,월,나이,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020,7,60,"16,511",997,746,549,392,606,378,344,410,509,694,647,334,444,279,436,"1,875",398,"2,448",617,"1,163",860,726,659
2020,7,70,"13,355",926,580,510,414,537,374,305,420,484,617,576,330,426,249,426,"1,214",343,"1,604",514,772,669,503,562
2020,7,80,"8,145",582,401,380,310,375,250,209,342,347,497,391,234,293,139,289,547,197,770,238,359,277,324,394
2020,7,90,"1,147",72,54,61,35,48,43,35,48,44,63,56,44,32,25,37,76,21,114,57,40,49,39,54
2020,7,100,107,8,5,0,1,5,2,1,1,3,2,4,1,2,0,1,17,3,17,15,7,3,3,6
2020,8,총,"109,167","5,660","4,299","2,902","2,095","2,825","1,816","1,840","2,124","2,617","3,459","2,813","1,702","2,374","1,243","2,157","17,627","3,015","20,638","3,470","10,407","6,028","4,200","3,856"
2020,8,0,"6,572",263,183,58,60,75,51,55,40,83,78,53,53,101,35,64,"1,499",154,"1,676",174,"1,000",467,207,143
2020,8,10,"9,805",393,282,163,80,108,82,106,109,120,149,71,68,153,48,95,"2,037",298,"2,754",274,"1,316",525,343,231
2020,8,20,"10,685",393,402,206,126,163,114,147,121,169,252,143,92,158,80,121,"2,217",346,"2,464",361,"1,192",605,424,389
2020,8,30,"9,079",402,302,147,113,209,91,92,107,151,153,171,108,114,49,106,"1,970",228,"1,956",268,"1,120",633,304,285
2020,8,40,"15,086",672,476,252,189,261,159,177,193,245,358,235,150,261,97,216,"3,203",479,"3,441",387,"1,721",951,518,445
2020,8,50,"18,597",941,859,572,369,444,276,368,340,460,597,462,287,391,244,369,"2,952",544,"3,384",573,"1,693",985,801,686
2020,8,60,"16,572",998,752,555,393,601,375,346,406,514,697,652,333,437,279,437,"1,897",402,"2,450",615,"1,177",862,736,658
2020,8,70,"13,364",941,583,506,419,538,375,303,422,481,612,572,333,430,248,421,"1,213",342,"1,607",509,777,672,499,561
2020,8,80,"8,151",577,402,385,308,373,246,210,337,348,496,395,233,295,138,291,546,199,774,240,363,275,325,395
2020,8,90,"1,149",72,54,58,37,48,45,35,48,43,65,55,44,31,24,36,76,20,116,54,41,50,40,57
2020,8,100,107,8,4,0,1,5,2,1,1,3,2,4,1,3,1,1,17,3,16,15,7,3,3,6
2020,9,총,"108,963","5,602","4,298","2,894","2,102","2,822","1,800","1,834","2,118","2,603","3,464","2,811","1,698","2,360","1,237","2,150","17,586","3,033","20,623","3,465","10,399","6,042","4,178","3,844"
2020,9,0,"6,535",261,188,58,62,75,49,53,41,80,76,53,53,95,36,62,"1,484",161,"1,660",172,"1,004",465,204,143
2020,9,10,"9,753",382,281,161,79,105,80,102,104,121,153,67,69,152,49,96,"2,027",298,"2,755",272,"1,314",521,335,230
2020,9,20,"10,639",386,394,204,128,161,113,144,123,171,249,141,89,159,74,118,"2,217",345,"2,469",354,"1,190",607,422,381
2020,9,30,"9,004",390,307,152,115,212,89,91,104,147,150,170,108,111,50,104,"1,945",232,"1,924",275,"1,105",640,299,284
2020,9,40,"15,024",664,475,243,186,259,155,175,185,244,361,230,148,259,95,214,"3,189",478,"3,452",384,"1,715",950,516,447
2020,9,50,"18,571",926,850,575,367,446,274,365,345,453,598,458,284,392,248,369,"2,954",546,"3,390",563,"1,706",986,797,679
2020,9,60,"16,661",998,761,557,397,602,372,352,407,515,697,662,328,436,277,439,"1,920",410,"2,460",620,"1,176",873,738,664
2020,9,70,"13,370",936,583,501,413,536,378,303,424,480,616,578,338,429,246,421,"1,210",342,"1,616",510,780,671,499,560
2020,9,80,"8,133",574,401,384,314,373,244,213,335,346,492,393,234,292,137,288,550,196,767,246,359,276,326,393
2020,9,90,"1,162",77,53,59,39,48,44,35,49,43,70,55,46,32,24,38,72,22,114,54,43,50,38,57
2020,9,100,111,8,5,0,2,5,2,1,1,3,2,4,1,3,1,1,18,3,16,15,7,3,4,6
2020,10,총,"108,861","5,589","4,285","2,889","2,099","2,819","1,806","1,833","2,117","2,587","3,468","2,801","1,690","2,353","1,235","2,155","17,604","3,046","20,594","3,432","10,419","6,044","4,164","3,832"
2020,10,0,"6,465",257,175,60,61,74,50,51,42,80,77,54,49,92,34,62,"1,472",159,"1,652",165,"1,003",459,198,139
2020,10,10,"9,732",378,282,156,77,106,77,104,102,117,156,68,68,147,50,96,"2,031",297,"2,748",272,"1,323",520,330,227
2020,10,20,"10,666",395,394,206,126,158,114,145,123,169,254,138,89,160,76,120,"2,225",346,"2,461",346,"1,195",617,428,381
2020,10,30,"8,934",385,301,148,118,209,89,88,102,140,154,172,106,116,49,103,"1,947",236,"1,901",264,"1,089",644,290,283
2020,10,40,"14,969",656,468,242,186,260,155,175,184,240,363,223,148,251,90,210,"3,181",479,"3,438",382,"1,731",955,513,439
2020,10,50,"18,541",922,844,570,362,448,271,365,342,454,589,449,283,396,252,371,"2,968",547,"3,399",561,"1,693",973,805,677
2020,10,60,"16,735",996,775,565,399,602,381,353,410,515,693,664,327,438,279,443,"1,932",417,"2,466",615,"1,190",873,735,667
2020,10,70,"13,386",941,589,499,412,532,380,303,422,479,620,576,336,429,242,423,"1,202",342,"1,620",516,789,673,499,562
2020,10,80,"8,155",575,400,385,318,373,242,214,340,345,490,397,235,289,139,289,555,198,774,243,358,275,325,396
2020,10,90,"1,166",76,52,58,38,52,45,34,49,45,70,56,48,32,23,38,72,22,119,53,41,52,36,55
2020,10,100,112,8,5,0,2,5,2,1,1,3,2,4,1,3,1,0,19,3,16,15,7,3,5,6
2020,11,총,"108,681","5,581","4,279","2,888","2,086","2,812","1,801","1,825","2,112","2,584","3,454","2,783","1,694","2,347","1,230","2,136","17,582","3,040","20,536","3,432","10,417","6,042","4,164","3,856"
2020,11,0,"6,410",252,171,57,60,72,50,52,40,81,74,51,48,88,34,58,"1,463",159,"1,636",163,996,470,197,138
2020,11,10,"9,695",377,281,152,71,110,72,101,98,114,163,69,67,142,49,93,"2,025",296,"2,740",277,"1,322",520,328,228
2020,11,20,"10,666",395,387,207,120,159,117,144,121,172,253,134,91,162,75,120,"2,225",342,"2,444",344,"1,209",619,431,395
2020,11,30,"8,885",392,305,144,116,203,86,88,105,140,151,173,107,113,50,102,"1,935",233,"1,895",258,"1,075",641,291,282
2020,11,40,"14,897",649,461,245,186,256,157,176,182,235,363,223,143,249,86,204,"3,173",478,"3,425",386,"1,730",946,506,438
2020,11,50,"18,455",914,845,559,362,443,269,358,335,454,578,438,286,399,248,364,"2,954",552,"3,400",551,"1,691",968,806,681
2020,11,60,"16,839",990,789,578,404,606,383,355,416,520,698,667,329,439,280,443,"1,957",417,"2,470",623,"1,199",868,737,671
2020,11,70,"13,394",949,585,494,412,536,377,303,424,476,617,583,339,429,240,425,"1,204",339,"1,617",516,789,675,500,565
2020,11,80,"8,157",580,397,393,317,371,243,212,340,344,484,387,234,291,144,288,556,198,772,244,360,281,326,395
2020,11,90,"1,173",75,53,59,37,52,45,35,50,45,71,54,49,32,23,39,72,23,121,54,39,51,37,57
2020,11,100,110,8,5,0,1,4,2,1,1,3,2,4,1,3,1,0,18,3,16,16,7,3,5,6
2020,12,총,"108,508","5,566","4,276","2,860","2,080","2,811","1,798","1,807","2,105","2,603","3,456","2,784","1,692","2,343","1,222","2,128","17,567","3,017","20,544","3,405","10,404","6,011","4,133","3,896"
2020,12,0,"6,370",249,169,56,60,75,50,47,41,84,73,52,48,87,32,56,"1,452",155,"1,643",158,984,466,195,138
2020,12,10,"9,664",378,277,149,72,110,71,102,95,112,163,68,67,142,49,90,"2,021",286,"2,743",272,"1,330",515,323,229
2020,12,20,"10,604",396,379,198,115,159,115,140,118,173,248,134,89,164,73,120,"2,221",346,"2,423",344,"1,203",604,426,416
2020,12,30,"8,867",386,307,144,115,201,85,85,104,145,159,170,104,109,49,102,"1,926",232,"1,904",256,"1,064",632,293,295
2020,12,40,"14,824",640,462,240,185,259,158,175,181,233,361,222,143,244,85,198,"3,162",473,"3,415",380,"1,735",946,493,434
2020,12,50,"18,394",910,847,557,358,445,267,354,332,457,578,435,288,404,246,359,"2,956",547,"3,376",539,"1,684",965,808,682
2020,12,60,"16,923",999,799,579,401,600,386,358,420,523,700,664,331,438,280,451,"1,974",416,"2,504",627,"1,209",865,725,674
2020,12,70,"13,403",950,582,489,422,534,377,300,424,484,618,591,334,422,241,425,"1,206",336,"1,612",519,787,675,504,571
2020,12,80,"8,184",576,395,392,314,373,244,209,337,344,486,388,236,298,143,290,560,201,787,243,361,288,325,394
2020,12,90,"1,162",74,54,56,37,51,43,36,52,45,67,56,50,32,23,37,70,22,120,51,40,52,36,58
2020,12,100,113,8,5,0,1,4,2,1,1,3,3,4,2,3,1,0,19,3,17,16,7,3,5,5
2021,1,총,"108,470","5,558","4,293","2,862","2,081","2,800","1,804","1,809","2,113","2,592","3,450","2,783","1,694","2,341","1,221","2,118","17,519","3,001","20,601","3,379","10,400","6,029","4,119","3,903"
2021,1,0,"6,294",249,173,56,64,71,52,46,43,84,70,53,50,89,30,56,"1,417",151,"1,624",157,963,472,188,136
2021,1,10,"9,642",377,279,150,73,114,71,101,96,108,165,67,66,140,51,89,"2,024",284,"2,733",273,"1,326",502,323,230
2021,1,20,"10,630",390,382,197,113,152,114,138,116,174,246,136,90,164,74,118,"2,211",343,"2,457",337,"1,217",620,418,423
2021,1,30,"8,851",382,312,143,117,200,84,88,101,144,161,171,105,110,50,101,"1,914",228,"1,898",254,"1,064",634,293,297
2021,1,40,"14,755",639,456,239,184,260,158,175,183,232,354,220,144,243,82,194,"3,148",472,"3,413",375,"1,730",943,485,426
2021,1,50,"18,364",910,838,556,356,444,262,355,334,456,571,430,282,399,237,363,"2,961",542,"3,383",530,"1,688",972,811,684
2021,1,60,"17,025","1,001",814,580,405,606,392,360,424,526,698,664,331,441,288,448,"1,984",418,"2,534",624,"1,216",864,728,679
2021,1,70,"13,416",953,587,490,422,530,378,299,426,477,628,588,337,415,242,422,"1,207",338,"1,620",514,788,675,507,573
2021,1,80,"8,208",575,392,394,310,372,246,211,337,345,484,393,236,304,143,288,567,199,799,248,361,288,325,391
2021,1,90,"1,169",74,55,56,36,47,45,35,52,43,70,56,51,33,23,39,66,23,123,51,40,56,36,59
2021,1,100,116,8,5,1,1,4,2,1,1,3,3,5,2,3,1,0,20,3,17,16,7,3,5,5
2021,2,총,"108,344","5,534","4,288","2,853","2,078","2,801","1,794","1,805","2,121","2,593","3,444","2,778","1,689","2,326","1,224","2,104","17,505","2,999","20,586","3,366","10,389","6,044","4,108","3,915"
2021,2,0,"6,244",246,172,55,61,70,49,41,41,84,70,53,49,87,32,56,"1,414",148,"1,609",155,957,473,187,135
2021,2,10,"9,601",366,273,151,73,116,70,103,100,109,159,67,65,142,51,87,"2,011",287,"2,729",270,"1,323",508,310,231
2021,2,20,"10,536",382,377,192,109,148,110,133,118,169,240,132,86,153,75,115,"2,207",334,"2,449",339,"1,210",611,422,425
2021,2,30,"8,791",379,311,138,114,198,83,88,94,143,167,168,106,110,50,98,"1,908",230,"1,879",248,"1,054",634,292,299
2021,2,40,"14,737",645,454,239,186,264,159,181,193,233,345,218,145,236,81,191,"3,127",474,"3,410",377,"1,729",945,482,423
2021,2,50,"18,364",896,844,551,353,440,259,350,333,455,572,431,279,402,241,366,"2,990",542,"3,385",530,"1,684",971,803,687
2021,2,60,"17,144","1,011",814,587,412,611,392,362,429,534,708,667,336,442,285,447,"1,985",420,"2,553",618,"1,231",873,739,688
2021,2,70,"13,371",953,588,490,421,529,374,296,423,471,620,585,334,411,236,414,"1,204",337,"1,626",517,785,681,506,570
2021,2,80,"8,257",574,395,393,312,373,251,211,337,349,486,395,238,306,151,290,572,200,807,243,371,290,324,389
2021,2,90,"1,182",74,54,55,36,48,45,38,52,43,74,58,49,34,22,40,67,24,122,53,38,55,38,63
2021,2,100,117,8,6,2,1,4,2,2,1,3,3,4,2,3,0,0,20,3,17,16,7,3,5,5
2021,3,총,"107,710","5,440","4,264","2,850","2,068","2,786","1,785","1,788","2,090","2,592","3,418","2,783","1,672","2,318","1,230","2,095","17,387","2,971","20,509","3,307","10,334","5,986","4,120","3,917"
2021,3,0,"6,227",244,172,56,63,71,49,36,40,83,72,53,49,85,32,55,"1,404",145,"1,597",157,971,474,189,130
2021,3,10,"9,561",363,273,149,73,114,71,100,93,110,155,66,63,143,53,94,"1,999",287,"2,734",263,"1,319",499,314,226
2021,3,20,"10,457",372,375,187,109,148,114,133,115,163,233,130,82,148,76,114,"2,189",332,"2,435",340,"1,202",602,425,433
2021,3,30,"8,704",366,309,141,114,194,79,87,95,146,164,169,105,110,48,97,"1,897",225,"1,859",243,"1,044",620,294,298
2021,3,40,"14,615",615,452,242,180,262,156,177,181,232,342,217,144,239,80,188,"3,106",468,"3,400",369,"1,731",930,485,419
2021,3,50,"18,219",885,837,548,346,435,257,342,331,453,562,434,273,400,240,361,"2,985",538,"3,355",528,"1,670",963,789,687
2021,3,60,"17,207","1,013",812,591,413,615,388,370,428,539,708,663,340,440,291,444,"1,981",419,"2,581",625,"1,226",874,747,699
2021,3,70,"13,256",933,580,487,414,525,374,294,416,470,618,594,329,408,235,408,"1,197",328,"1,619",499,772,684,510,562
2021,3,80,"8,235",570,396,393,319,371,250,211,341,349,487,395,238,306,153,292,558,203,804,235,364,283,323,394
2021,3,90,"1,165",75,53,54,36,49,45,36,49,44,74,58,47,36,21,42,63,24,120,47,34,55,38,65
2021,3,100,64,4,5,2,1,2,2,2,1,3,3,4,2,3,1,0,8,2,5,1,1,2,6,4
2021,4,총,"107,555","5,431","4,259","2,850","2,070","2,779","1,776","1,795","2,079","2,598","3,407","2,785","1,675","2,316","1,232","2,088","17,325","2,976","20,453","3,319","10,320","6,009","4,109","3,904"
2021,4,0,"6,174",239,174,54,63,71,49,37,43,82,72,53,48,84,32,54,"1,387",144,"1,588",160,960,467,187,126
2021,4,10,"9,499",360,277,149,74,115,71,99,86,110,147,65,65,142,54,91,"1,983",286,"2,713",262,"1,313",505,308,224
2021,4,20,"10,422",373,366,189,110,147,111,131,115,163,229,130,85,145,74,115,"2,175",328,"2,430",340,"1,213",602,426,425
2021,4,30,"8,667",360,308,139,113,197,81,87,96,144,164,167,103,109,48,95,"1,892",232,"1,827",248,"1,039",624,294,300
2021,4,40,"14,571",614,457,245,179,262,154,180,177,234,336,217,145,239,81,187,"3,095",471,"3,387",365,"1,721",928,479,418
2021,4,50,"18,192",880,824,536,345,430,258,343,330,455,564,432,265,394,243,356,"3,001",533,"3,372",534,"1,665",959,786,687
2021,4,60,"17,305","1,025",824,605,411,612,382,371,431,545,713,667,345,447,292,445,"1,979",421,"2,585",630,"1,232",884,754,705
2021,4,70,"13,243",931,576,487,420,521,373,294,414,470,619,597,330,407,230,407,"1,190",331,"1,617",493,774,695,507,560
2021,4,80,"8,246",569,396,390,318,369,251,213,339,348,486,395,237,308,156,292,554,204,807,239,369,287,323,396
2021,4,90,"1,172",76,52,54,36,53,44,38,47,44,73,58,50,38,21,46,61,25,122,47,33,56,39,59
2021,4,100,64,4,5,2,1,2,2,2,1,3,4,4,2,3,1,0,8,1,5,1,1,2,6,4
2021,5,총,"107,489","5,445","4,234","2,855","2,074","2,791","1,780","1,788","2,069","2,575","3,411","2,791","1,665","2,318","1,227","2,085","17,306","2,982","20,455","3,288","10,319","6,043","4,092","3,896"
2021,5,0,"6,124",239,171,57,62,71,48,36,42,77,71,51,48,84,31,55,"1,372",144,"1,578",155,956,465,186,125
2021,5,10,"9,463",367,271,148,75,114,73,97,84,111,142,65,66,143,53,90,"1,970",286,"2,705",261,"1,317",498,305,222
2021,5,20,"10,430",371,367,191,111,149,109,134,115,159,230,133,83,145,74,115,"2,173",324,"2,446",338,"1,209",610,418,426
2021,5,30,"8,652",366,297,137,114,196,87,84,96,141,168,167,102,113,47,94,"1,890",231,"1,827",244,"1,031",624,298,298
