년도,월,나이,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020,3,30,"3,873","1,221",773,20,15,140,150,206,157,220,75,102,146,127,169,110,120,48,74
2020,3,40,"6,556","1,915","1,239",28,36,237,230,386,352,447,160,190,287,165,264,151,229,100,140
2020,3,50,"10,564","1,927","1,710",50,46,501,503,715,669,846,307,443,631,386,505,419,450,196,260
2020,3,60,"12,378","1,699","1,829",101,28,720,619,912,818,"1,031",414,560,704,549,673,489,628,270,334
2020,3,70,"11,450","1,183","1,441",187,44,722,567,951,827,"1,057",409,587,617,450,570,482,747,312,297
2020,3,80,"7,357",613,677,161,31,473,466,610,541,671,258,404,450,314,435,350,526,191,186
2020,3,90,"1,208",128,106,26,1,89,75,61,83,89,44,102,85,47,72,53,90,37,20
2020,3,100,45,5,4,0,0,0,2,2,7,7,2,0,4,2,3,2,4,1,0
2020,4,총,"64,407","12,409","9,910",620,227,"3,214","2,973","4,422","3,948","5,002","1,913","2,648","3,375","2,346","3,137","2,318","3,124","1,308","1,513"
2020,4,0,"2,652","1,028",539,19,4,73,71,127,93,117,57,44,82,70,110,67,77,29,45
2020,4,10,"4,047","1,501",787,19,14,99,142,200,181,237,95,100,150,104,126,67,101,55,69
2020,4,20,"4,349","1,211",825,13,9,159,145,249,223,281,91,122,232,135,214,133,150,69,88
2020,4,30,"3,843","1,208",758,21,14,144,153,206,153,221,73,97,146,128,169,110,117,50,75
2020,4,40,"6,512","1,893","1,233",28,35,236,229,385,351,448,156,192,278,162,265,151,226,102,142
2020,4,50,"10,522","1,929","1,696",48,47,503,504,716,664,845,311,435,626,386,495,417,452,192,256
2020,4,60,"12,421","1,712","1,842",100,28,711,622,911,828,"1,031",412,566,706,547,679,487,632,271,336
2020,4,70,"11,422","1,181","1,444",188,43,725,565,948,823,"1,050",410,579,617,446,574,483,745,309,292
2020,4,80,"7,389",615,679,160,32,471,466,614,542,673,262,412,453,319,430,346,531,194,190
2020,4,90,"1,205",125,103,24,1,93,75,64,83,92,44,101,81,47,72,55,89,36,20
2020,4,100,45,6,4,0,0,0,1,2,7,7,2,0,4,2,3,2,4,1,0
2020,5,총,"64,336","12,408","9,900",626,228,"3,196","2,973","4,416","3,944","4,989","1,905","2,653","3,381","2,335","3,139","2,315","3,122","1,298","1,508"
2020,5,0,"2,651","1,021",541,20,4,71,71,129,92,119,59,44,84,67,112,67,77,29,44
2020,5,10,"4,015","1,491",781,19,14,101,142,200,180,235,95,100,143,101,121,66,103,54,69
2020,5,20,"4,304","1,218",803,15,9,149,144,246,224,274,89,119,234,131,216,132,149,66,86
2020,5,30,"3,825","1,202",757,23,15,141,150,199,153,217,73,96,149,126,171,112,116,49,76
2020,5,40,"6,466","1,886","1,229",28,35,233,230,381,346,438,158,199,277,158,261,148,222,97,140
2020,5,50,"10,509","1,941","1,695",46,44,501,506,717,658,848,299,432,624,384,499,414,452,193,256
2020,5,60,"12,442","1,717","1,848",102,31,709,622,911,828,"1,033",416,566,707,551,678,488,628,270,337
2020,5,70,"11,418","1,186","1,448",186,43,724,562,945,823,"1,042",411,581,619,449,575,481,743,307,293
2020,5,80,"7,447",617,689,161,32,474,470,620,549,686,256,412,458,319,432,351,537,197,187
2020,5,90,"1,211",122,105,26,1,93,75,66,84,89,47,104,82,47,70,54,91,35,20
2020,5,100,48,7,4,0,0,0,1,2,7,8,2,0,4,2,4,2,4,1,0
2020,6,총,"64,336","12,389","9,895",624,226,"3,191","2,983","4,419","3,938","5,000","1,900","2,661","3,378","2,339","3,156","2,309","3,119","1,301","1,508"
2020,6,0,"2,653","1,027",538,20,4,69,73,129,91,122,58,43,84,66,119,64,73,29,44
2020,6,10,"3,977","1,477",773,19,13,101,140,197,179,232,94,99,142,100,124,66,103,51,67
2020,6,20,"4,289","1,216",790,14,10,149,148,249,220,276,85,115,235,133,212,126,154,70,87
2020,6,30,"3,837","1,201",760,23,15,139,152,200,152,218,73,99,150,129,173,110,117,49,77
2020,6,40,"6,436","1,876","1,223",28,33,230,229,377,342,441,159,196,271,156,269,150,218,97,141
2020,6,50,"10,494","1,944","1,700",42,44,507,503,709,656,843,296,440,625,377,495,413,453,191,256
2020,6,60,"12,505","1,714","1,855",104,31,709,628,922,829,"1,038",416,574,707,561,679,492,632,273,341
2020,6,70,"11,431","1,190","1,451",188,43,722,565,943,829,"1,043",412,581,621,454,573,479,737,308,292
2020,6,80,"7,459",613,696,158,32,474,468,624,550,690,259,412,460,314,439,355,536,197,182
2020,6,90,"1,207",124,105,28,1,91,76,67,83,89,46,102,79,47,69,52,92,35,21
2020,6,100,48,7,4,0,0,0,1,2,7,8,2,0,4,2,4,2,4,1,0
2020,7,총,"64,273","12,377","9,880",619,226,"3,196","2,995","4,416","3,921","4,994","1,898","2,668","3,368","2,338","3,162","2,301","3,112","1,304","1,498"
2020,7,0,"2,648","1,030",531,22,4,70,76,130,88,122,58,45,85,62,120,64,73,29,39
2020,7,10,"3,965","1,474",772,19,13,100,138,204,179,228,92,100,138,102,123,64,103,51,65
2020,7,20,"4,262","1,213",779,13,10,151,153,240,215,272,85,114,238,135,211,127,147,71,88
2020,7,30,"3,797","1,187",742,25,15,142,154,193,151,217,72,100,150,128,172,107,119,48,75
2020,7,40,"6,450","1,874","1,237",28,33,225,234,378,339,442,161,199,270,156,275,151,214,94,140
2020,7,50,"10,466","1,942","1,697",41,44,508,501,709,652,835,300,443,615,374,493,415,447,198,252
2020,7,60,"12,521","1,719","1,856",99,29,716,618,928,832,"1,050",409,571,713,562,675,490,638,270,346
2020,7,70,"11,440","1,194","1,459",186,44,718,577,939,825,"1,042",414,578,619,456,580,477,735,309,288
2020,7,80,"7,468",614,699,158,33,475,467,625,550,686,260,415,459,313,441,353,539,198,183
2020,7,90,"1,208",123,104,28,1,91,76,68,83,92,45,103,77,48,68,51,93,35,22
2020,7,100,48,7,4,0,0,0,1,2,7,8,2,0,4,2,4,2,4,1,0
2020,8,총,"64,198","12,386","9,862",619,227,"3,197","2,984","4,419","3,911","4,982","1,905","2,667","3,355","2,329","3,148","2,302","3,118","1,294","1,493"
2020,8,0,"2,640","1,028",529,25,4,71,73,133,88,121,57,45,83,60,122,65,72,27,37
2020,8,10,"3,953","1,465",772,20,13,100,137,202,177,230,93,100,133,106,124,67,101,47,66
2020,8,20,"4,238","1,226",769,14,10,150,149,238,209,266,85,114,236,132,207,125,152,68,88
2020,8,30,"3,767","1,178",735,25,14,143,153,194,148,220,67,98,152,124,171,107,116,48,74
2020,8,40,"6,436","1,875","1,228",29,35,226,231,379,335,441,164,198,266,156,278,150,216,92,137
2020,8,50,"10,403","1,933","1,687",36,42,505,501,702,653,831,307,437,604,368,489,410,447,199,252
2020,8,60,"12,556","1,741","1,854",97,29,709,619,931,840,"1,048",407,581,720,565,669,495,637,266,348
2020,8,70,"11,464","1,195","1,475",187,45,723,578,941,818,"1,037",414,577,620,457,582,474,739,314,288
2020,8,80,"7,477",615,705,159,34,479,466,627,552,685,264,415,460,310,433,356,540,196,181
2020,8,90,"1,216",123,104,27,1,91,76,70,84,95,45,102,77,49,69,51,94,36,22
2020,8,100,48,7,4,0,0,0,1,2,7,8,2,0,4,2,4,2,4,1,0
2020,9,총,"64,085","12,435","9,831",616,229,"3,187","2,987","4,394","3,896","4,962","1,901","2,657","3,344","2,324","3,145","2,289","3,107","1,291","1,490"
2020,9,0,"2,624","1,025",524,25,4,70,75,130,86,123,57,45,85,59,120,64,71,27,34
2020,9,10,"3,936","1,460",764,20,13,99,138,203,177,232,91,99,129,106,126,66,102,47,64
2020,9,20,"4,198","1,235",758,13,10,150,147,236,203,257,83,113,233,130,208,119,147,67,89
2020,9,30,"3,746","1,183",729,25,15,144,152,191,151,216,65,95,153,119,166,107,111,49,75
2020,9,40,"6,397","1,876","1,213",30,34,225,234,371,331,439,164,200,259,154,279,147,216,91,134
2020,9,50,"10,330","1,939","1,684",34,43,496,500,694,648,819,304,430,593,366,481,408,444,198,249
2020,9,60,"12,613","1,762","1,866",96,28,706,611,933,847,"1,050",410,583,720,569,678,496,635,270,353
2020,9,70,"11,482","1,202","1,478",189,44,723,585,941,818,"1,035",414,576,624,458,577,472,747,312,287
2020,9,80,"7,477",621,706,158,36,483,465,622,543,687,265,417,464,312,433,353,536,192,184
2020,9,90,"1,232",124,104,26,2,91,79,71,86,96,46,98,80,49,73,55,94,37,21
2020,9,100,50,8,5,0,0,0,1,2,6,8,2,1,4,2,4,2,4,1,0
2020,10,총,"64,038","12,498","9,814",616,228,"3,178","2,977","4,382","3,888","4,950","1,907","2,649","3,335","2,319","3,135","2,283","3,103","1,287","1,489"
2020,10,0,"2,622","1,029",517,25,4,72,74,130,85,125,60,45,84,59,120,62,70,27,34
2020,10,10,"3,916","1,456",761,20,12,101,136,203,172,227,91,97,124,107,127,71,100,47,64
2020,10,20,"4,176","1,236",754,13,11,145,146,234,208,252,83,114,229,130,203,117,146,66,89
2020,10,30,"3,730","1,185",720,25,15,146,148,190,150,218,67,91,157,115,164,106,108,48,77
2020,10,40,"6,333","1,869","1,201",30,32,221,230,363,322,436,161,201,258,153,277,142,215,92,130
2020,10,50,"10,311","1,966","1,681",33,44,490,494,689,648,815,302,423,593,361,480,409,442,196,245
2020,10,60,"12,664","1,782","1,880",96,27,706,610,933,846,"1,057",411,583,720,574,678,495,636,273,357
2020,10,70,"11,498","1,212","1,480",191,45,726,591,941,819,"1,032",414,574,619,460,574,470,750,313,287
2020,10,80,"7,497",632,712,155,36,479,465,627,543,685,270,421,463,311,433,354,537,190,184
2020,10,90,"1,238",121,103,28,2,92,82,70,89,94,46,99,84,47,75,55,95,34,22
2020,10,100,53,10,5,0,0,0,1,2,6,9,2,1,4,2,4,2,4,1,0
2020,11,총,"64,013","12,512","9,808",615,228,"3,167","2,971","4,360","3,892","4,943","1,909","2,661","3,322","2,325","3,134","2,302","3,091","1,284","1,489"
2020,11,0,"2,628","1,022",522,25,4,70,74,130,90,123,60,45,84,61,122,66,69,27,34
2020,11,10,"3,900","1,449",764,20,12,102,135,196,168,229,89,93,124,105,123,81,103,45,62
2020,11,20,"4,160","1,235",743,13,11,144,143,235,210,248,86,118,228,132,198,114,146,65,91
2020,11,30,"3,712","1,178",725,25,15,141,148,189,151,216,64,91,152,116,168,105,103,49,76
2020,11,40,"6,337","1,872","1,196",30,32,228,228,355,322,433,164,207,253,153,279,151,214,89,131
2020,11,50,"10,258","1,969","1,669",32,44,480,494,691,643,816,295,418,591,360,478,397,445,195,241
2020,11,60,"12,719","1,795","1,881",97,27,706,610,927,854,"1,063",414,593,720,578,681,508,632,275,358
2020,11,70,"11,520","1,224","1,485",191,45,730,591,942,818,"1,024",417,575,619,462,578,469,748,313,289
2020,11,80,"7,493",634,714,154,36,476,466,625,541,690,271,421,464,307,429,356,533,191,185
2020,11,90,"1,235",124,104,28,2,90,81,68,89,92,47,99,83,49,74,54,95,34,22
2020,11,100,51,10,5,0,0,0,1,2,6,9,2,1,4,2,4,1,3,1,0
2020,12,총,"63,922","12,523","9,813",622,227,"3,155","2,960","4,345","3,893","4,954","1,905","2,651","3,316","2,319","3,117","2,300","3,066","1,275","1,481"
2020,12,0,"2,619","1,025",525,26,3,68,73,126,91,129,60,39,85,60,118,69,63,28,31
2020,12,10,"3,860","1,436",760,21,13,102,133,195,167,225,88,92,121,104,122,78,104,41,58
2020,12,20,"4,172","1,242",753,15,11,138,141,233,212,252,83,120,226,134,196,113,142,68,93
2020,12,30,"3,683","1,173",721,26,15,143,144,188,152,215,66,86,148,117,167,102,101,47,72
2020,12,40,"6,341","1,889","1,197",31,32,227,232,352,317,435,161,208,255,153,272,149,213,85,133
2020,12,50,"10,204","1,967","1,671",32,43,474,485,679,639,821,292,417,588,354,473,395,435,198,241
2020,12,60,"12,735","1,795","1,883",96,27,704,611,932,864,"1,060",419,592,717,575,680,510,633,275,362
2020,12,70,"11,514","1,233","1,476",192,45,728,588,946,814,"1,028",414,573,616,462,578,473,750,312,286
2020,12,80,"7,502",628,714,153,35,479,471,626,543,687,273,421,474,309,434,356,528,187,184
2020,12,90,"1,241",126,108,30,3,92,81,66,87,93,47,102,82,49,73,54,94,33,21
2020,12,100,51,9,5,0,0,0,1,2,7,9,2,1,4,2,4,1,3,1,0
2021,1,총,"63,869","12,531","9,795",619,228,"3,144","2,960","4,339","3,898","4,955","1,907","2,649","3,309","2,307","3,117","2,280","3,056","1,285","1,490"
2021,1,0,"2,605","1,020",522,26,3,67,70,125,91,127,58,40,84,62,119,67,63,28,33
2021,1,10,"3,822","1,425",756,21,13,99,129,191,170,225,89,92,120,103,120,69,103,41,56
2021,1,20,"4,148","1,253",751,14,11,134,146,234,208,245,80,114,223,126,200,112,137,68,92
2021,1,30,"3,674","1,166",722,26,15,138,142,184,154,215,67,91,149,118,165,98,100,48,76
2021,1,40,"6,321","1,892","1,178",31,31,230,234,349,316,434,161,204,255,152,276,149,209,87,133
2021,1,50,"10,167","1,970","1,674",32,44,478,476,668,644,820,288,417,581,346,468,387,438,197,239
2021,1,60,"12,794","1,805","1,885",96,28,700,618,937,864,"1,066",426,588,720,578,683,516,633,285,366
2021,1,70,"11,504","1,224","1,475",189,43,727,589,952,815,"1,028",411,582,618,462,577,469,745,309,289
2021,1,80,"7,536",639,719,155,37,481,472,629,545,692,278,419,470,309,434,358,530,186,183
2021,1,90,"1,246",128,108,29,3,90,83,68,84,94,46,101,85,49,71,54,95,35,23
2021,1,100,52,9,5,0,0,0,1,2,7,9,3,1,4,2,4,1,3,1,0
2021,2,총,"63,814","12,534","9,787",620,228,"3,134","2,962","4,331","3,904","4,932","1,902","2,640","3,313","2,302","3,119","2,271","3,049","1,286","1,500"
2021,2,0,"2,608","1,023",519,25,1,67,75,122,94,126,55,39,85,62,122,66,63,28,36
2021,2,10,"3,790","1,416",750,20,13,96,127,186,172,223,90,94,115,103,118,67,103,40,57
2021,2,20,"4,130","1,248",748,16,9,130,149,231,207,242,81,112,226,124,204,112,137,67,87
2021,2,30,"3,635","1,171",699,28,14,137,141,182,153,211,64,88,148,118,162,95,97,49,78
2021,2,40,"6,319","1,885","1,190",33,34,231,234,340,315,431,159,205,256,150,277,147,209,87,136
2021,2,50,"10,152","1,981","1,675",32,45,477,477,674,644,809,285,410,579,339,469,384,436,199,237
2021,2,60,"12,822","1,800","1,886",98,28,701,618,939,867,"1,069",433,590,724,581,684,521,633,283,367
2021,2,70,"11,489","1,236","1,484",184,44,723,585,954,811,"1,020",406,581,621,462,571,463,740,310,294
2021,2,80,"7,567",639,723,155,37,484,475,631,547,697,280,416,470,310,438,364,531,185,185
2021,2,90,"1,252",126,108,29,3,88,80,70,87,96,46,104,85,52,70,51,97,37,23
2021,2,100,50,9,5,0,0,0,1,2,7,8,3,1,4,1,4,1,3,1,0
2021,3,총,"63,572","12,489","9,758",618,227,"3,132","2,950","4,321","3,896","4,905","1,886","2,631","3,311","2,284","3,101","2,280","3,018","1,277","1,488"
2021,3,0,"2,577","1,015",521,23,1,66,76,118,94,129,53,37,86,60,112,68,55,28,35
2021,3,10,"3,770","1,406",751,21,13,95,125,187,170,221,89,90,117,103,113,74,100,39,56
2021,3,20,"4,084","1,249",735,17,9,129,146,234,205,232,79,112,218,122,206,105,139,65,82
2021,3,30,"3,594","1,159",690,27,15,140,138,175,149,209,64,83,154,115,157,103,92,49,75
2021,3,40,"6,246","1,860","1,174",33,33,229,228,345,315,429,154,199,247,152,274,147,206,85,136
2021,3,50,"10,086","1,978","1,679",32,44,473,469,664,635,804,281,410,568,337,466,384,427,197,238
2021,3,60,"12,850","1,805","1,899",98,29,702,623,944,867,"1,062",431,601,728,574,687,517,632,285,366
2021,3,70,"11,409","1,239","1,475",180,44,724,586,943,811,"1,008",402,573,617,458,570,457,729,306,287
2021,3,80,"7,639",636,723,157,36,485,475,640,553,704,286,423,486,307,443,375,535,185,190
2021,3,90,"1,268",133,107,30,3,89,83,69,88,101,44,102,86,56,68,49,100,37,23
2021,3,100,49,9,4,0,0,0,1,2,9,6,3,1,4,0,5,1,3,1,0
2021,4,총,"63,508","12,481","9,742",621,224,"3,123","2,960","4,334","3,872","4,899","1,889","2,631","3,305","2,290","3,108","2,268","3,008","1,276","1,477"
2021,4,0,"2,563","1,010",510,25,1,64,80,117,94,127,53,37,89,62,110,66,55,28,35
2021,4,10,"3,761","1,406",753,21,13,92,123,189,167,219,89,90,113,104,114,72,100,40,56
2021,4,20,"4,063","1,240",739,18,9,132,144,235,201,232,78,110,218,123,205,104,133,60,82
2021,4,30,"3,569","1,146",687,28,15,132,138,170,146,209,68,85,153,116,158,103,89,52,74
2021,4,40,"6,210","1,866","1,171",34,33,227,226,346,303,426,149,198,239,153,272,143,205,85,134
2021,4,50,"10,071","1,977","1,682",32,44,469,470,670,632,800,282,411,565,336,465,379,429,197,231
2021,4,60,"12,906","1,820","1,895",96,29,707,626,947,872,"1,068",434,602,733,573,698,522,633,282,369
2021,4,70,"11,360","1,228","1,473",179,43,719,588,941,802,"1,003",403,570,617,461,569,452,718,309,285
2021,4,80,"7,689",647,722,158,34,490,479,644,560,708,287,426,487,306,443,380,543,185,190
2021,4,90,"1,271",132,106,30,3,91,85,73,89,101,44,101,87,56,69,46,100,37,21
2021,4,100,45,9,4,0,0,0,1,2,6,6,2,1,4,0,5,1,3,1,0
2021,5,총,"63,434","12,474","9,716",616,224,"3,113","2,957","4,340","3,859","4,900","1,885","2,628","3,313","2,287","3,102","2,264","3,016","1,267","1,473"
2021,5,0,"2,572","1,004",516,24,1,67,81,118,92,129,52,40,92,62,109,67,56,28,34
2021,5,10,"3,734","1,400",744,22,13,93,120,189,165,217,91,90,112,104,112,69,100,40,53
2021,5,20,"4,061","1,241",743,18,9,130,145,232,202,230,79,112,217,119,208,103,131,59,83
2021,5,30,"3,551","1,146",673,27,15,132,141,172,146,204,67,84,151,116,156,102,95,51,73
2021,5,40,"6,142","1,845","1,162",32,33,224,224,337,294,425,147,200,242,151,264,142,208,82,130
2021,5,50,"10,033","1,986","1,670",32,43,464,466,671,636,797,281,401,557,335,462,377,431,195,229
2021,5,60,"12,902","1,828","1,901",97,30,702,625,940,861,"1,067",434,607,737,574,703,521,625,280,370
2021,5,70,"11,366","1,230","1,473",177,43,716,585,949,801,"1,009",399,567,619,464,575,447,715,309,288
2021,5,80,"7,747",655,728,157,34,494,480,655,563,713,288,426,496,307,434,389,551,185,192
2021,5,90,"1,279",130,102,30,3,90,89,75,93,103,45,100,84,55,75,46,101,37,21
2021,5,100,47,9,4,0,0,1,1,2,6,6,2,1,6,0,4,1,3,1,0
2021,6,총,"63,374","12,462","9,687",611,223,"3,107","2,944","4,331","3,868","4,901","1,894","2,629","3,305","2,299","3,111","2,260","3,009","1,261","1,472"
2021,6,0,"2,545",996,507,23,1,66,82,120,92,125,54,38,91,61,106,66,54,29,34
2021,6,10,"3,734","1,398",748,23,11,93,118,188,166,219,90,91,109,104,114,68,99,41,54
2021,6,20,"4,047","1,236",736,16,9,129,147,228,200,236,79,112,214,121,209,105,132,56,82
2021,6,30,"3,538","1,147",665,26,15,131,138,165,152,199,67,88,153,115,161,100,94,50,72
2021,6,40,"6,128","1,844","1,157",32,33,225,225,338,293,424,149,197,240,149,264,137,207,83,131
2021,6,50,"10,026","1,982","1,660",32,43,458,466,669,636,801,284,405,559,338,458,379,432,195,229
2021,6,60,"12,912","1,833","1,902",96,31,702,623,941,866,"1,066",434,609,732,584,705,525,619,279,365
2021,6,70,"11,343","1,227","1,477",176,43,714,583,942,801,"1,006",398,565,618,461,578,443,718,305,288
2021,6,80,"7,771",663,730,156,34,498,476,660,563,714,292,422,497,309,436,393,548,184,196
2021,6,90,"1,281",126,101,31,3,89,85,78,93,104,45,101,86,57,76,44,103,38,21
2021,6,100,49,10,4,0,0,2,1,2,6,7,2,1,6,0,4,0,3,1,0
2021,7,총,"63,239","12,427","9,667",604,223,"3,097","2,931","4,324","3,859","4,890","1,884","2,637","3,304","2,300","3,107","2,261","2,996","1,258","1,470"
2021,7,0,"2,519",990,506,22,0,66,82,120,93,122,52,38,89,61,101,61,55,29,32
2021,7,10,"3,708","1,395",741,22,12,93,113,187,161,215,87,91,109,104,117,71,96,40,54
2021,7,20,"4,033","1,227",729,16,9,127,150,226,200,236,79,111,216,123,204,108,133,57,82
2021,7,30,"3,488","1,126",666,25,15,127,134,165,153,194,65,88,147,113,160,98,93,49,70
2021,7,40,"6,096","1,839","1,149",31,32,225,223,328,288,424,149,202,241,150,265,134,203,84,129
2021,7,50,"9,983","1,984","1,641",32,43,456,464,669,635,799,285,404,557,338,457,373,425,194,227
2021,7,60,"12,945","1,838","1,919",95,32,701,621,942,863,"1,066",434,611,732,586,707,536,620,276,366
2021,7,70,"11,344","1,235","1,481",176,43,707,585,944,799,"1,003",394,567,620,457,580,439,717,305,292
2021,7,80,"7,795",658,731,153,34,504,475,661,568,722,293,422,501,311,436,396,548,186,196
2021,7,90,"1,281",126,100,32,3,89,83,80,93,102,44,103,86,57,76,45,103,37,22
2021,7,100,47,9,4,0,0,2,1,2,6,7,2,0,6,0,4,0,3,1,0
2021,8,총,"63,124","12,430","9,649",598,225,"3,102","2,928","4,324","3,843","4,883","1,868","2,639","3,298","2,294","3,096","2,246","2,983","1,250","1,468"
2021,8,0,"2,489",979,505,22,1,65,77,119,89,121,52,37,87,59,101,60,55,28,32
2021,8,10,"3,701","1,398",729,22,12,93,112,191,160,222,88,92,109,103,116,72,93,36,53
2021,8,20,"4,002","1,228",728,16,9,129,148,217,196,231,74,111,211,126,197,109,132,58,82
2021,8,30,"3,459","1,110",670,22,16,129,131,162,148,190,62,89,146,112,164,96,93,48,71
2021,8,40,"6,066","1,846","1,133",30,33,223,222,328,292,424,146,199,237,149,259,131,204,85,125
2021,8,50,"9,966","1,998","1,636",31,41,455,468,667,633,799,286,406,556,340,454,358,417,194,227
2021,8,60,"12,959","1,836","1,935",94,33,704,616,950,862,"1,058",427,615,741,585,707,539,611,277,369
2021,8,70,"11,337","1,237","1,474",175,42,712,589,942,793,"1,004",395,569,618,459,578,437,719,303,291
2021,8,80,"7,805",662,729,155,35,501,480,662,571,723,293,421,499,305,439,401,551,184,194
2021,8,90,"1,292",127,106,31,3,88,84,84,93,104,43,100,88,56,77,43,105,36,24
2021,8,100,48,9,4,0,0,3,1,2,6,7,2,0,6,0,4,0,3,1,0
2021,9,총,"62,965","12,405","9,663",598,223,"3,096","2,922","4,299","3,823","4,867","1,866","2,624","3,292","2,285","3,078","2,232","2,982","1,246","1,464"
2021,9,0,"2,463",976,503,22,1,63,75,116,83,120,52,37,86,57,99,58,57,28,30
2021,9,10,"3,691","1,403",738,23,12,91,114,187,159,212,86,92,106,101,114,69,93,36,55
2021,9,20,"3,932","1,217",723,16,9,122,148,212,191,230,73,108,207,119,194,104,123,56,80
2021,9,30,"3,443","1,109",670,23,15,128,132,160,144,194,59,85,144,112,162,91,96,49,70
2021,9,40,"6,022","1,824","1,126",32,31,226,220,325,294,416,148,196,236,147,257,130,205,83,126
2021,9,50,"9,930","1,985","1,649",31,42,454,462,665,624,799,283,398,552,340,449,357,419,195,226
2021,9,60,"12,982","1,847","1,931",94,33,700,618,948,861,"1,061",431,620,747,588,710,541,612,275,365
2021,9,70,"11,314","1,241","1,480",173,41,720,586,939,791,"1,001",392,563,615,462,568,434,713,302,293
2021,9,80,"7,838",665,731,154,36,502,480,662,573,724,296,424,504,306,442,404,555,184,196
2021,9,90,"1,300",129,108,30,3,87,86,83,96,103,44,101,89,53,79,44,105,37,23
2021,9,100,50,9,4,0,0,3,1,2,7,7,2,0,6,0,4,0,4,1,0
