년도,월,나이,장흥군,장흥읍,관산읍,대덕읍,용산면,안양면,장동면,장평면,유치면,부산면,회진면
2020,9,60,"3,262","1,041",508,331,269,293,136,197,127,117,243
2020,9,70,"2,300",637,364,235,168,217,97,158,70,111,243
2020,9,80,"1,187",274,210,128,93,93,66,105,39,80,99
2020,9,90,115,30,17,14,7,15,5,6,6,10,5
2020,9,100,4,1,0,2,0,0,1,0,0,0,0
2020,10,총,"18,373","7,521","2,429","1,642","1,130","1,401",605,"1,005",548,707,"1,385"
2020,10,0,"1,043",668,92,57,44,51,20,17,7,28,59
2020,10,10,"1,493",838,176,110,61,76,25,51,23,36,97
2020,10,20,"1,737",877,191,120,87,118,31,87,35,55,136
2020,10,30,"1,481",783,163,108,85,101,39,51,32,32,87
2020,10,40,"2,294","1,067",241,220,127,157,68,106,59,82,167
2020,10,50,"3,423","1,301",458,312,188,277,117,225,146,153,246
2020,10,60,"3,284","1,044",510,336,270,297,136,197,129,120,245
2020,10,70,"2,310",637,370,235,168,215,98,160,72,110,245
2020,10,80,"1,184",274,210,128,91,93,65,105,39,81,98
2020,10,90,120,31,18,14,9,16,5,6,6,10,5
2020,10,100,4,1,0,2,0,0,1,0,0,0,0
2020,11,총,"18,367","7,547","2,423","1,642","1,127","1,394",597,"1,003",545,715,"1,374"
2020,11,0,"1,032",672,89,56,43,47,17,17,6,27,58
2020,11,10,"1,486",837,176,111,60,74,23,50,22,37,96
2020,11,20,"1,728",881,187,121,86,117,29,85,36,56,130
2020,11,30,"1,485",785,165,108,84,101,37,51,31,35,88
2020,11,40,"2,298","1,072",240,217,128,158,70,108,57,82,166
2020,11,50,"3,417","1,309",457,313,187,274,114,221,148,154,240
2020,11,60,"3,302","1,049",513,334,268,300,139,200,127,122,250
2020,11,70,"2,305",633,365,238,171,216,97,160,73,109,243
2020,11,80,"1,188",278,212,128,90,91,65,104,39,83,98
2020,11,90,122,30,19,14,10,16,5,7,6,10,5
2020,11,100,4,1,0,2,0,0,1,0,0,0,0
2020,12,총,"18,381","7,532","2,423","1,642","1,136","1,407",599,"1,005",542,718,"1,377"
2020,12,0,"1,033",669,90,56,43,48,18,19,5,27,58
2020,12,10,"1,469",827,171,108,63,75,23,49,21,38,94
2020,12,20,"1,746",881,189,123,87,121,31,83,36,59,136
2020,12,30,"1,480",779,164,107,85,104,37,52,31,35,86
2020,12,40,"2,275","1,062",244,209,128,156,67,107,57,81,164
2020,12,50,"3,432","1,317",452,318,191,278,116,224,148,150,238
2020,12,60,"3,308","1,052",514,334,265,298,137,200,126,126,256
2020,12,70,"2,311",629,366,242,175,219,99,158,72,110,241
2020,12,80,"1,198",285,213,128,89,91,65,106,39,83,99
2020,12,90,125,30,20,15,10,17,5,7,7,9,5
2020,12,100,4,1,0,2,0,0,1,0,0,0,0
2021,1,총,"18,323","7,517","2,414","1,634","1,129","1,401",596,"1,005",541,715,"1,371"
2021,1,0,"1,020",659,88,54,43,50,18,18,5,26,59
2021,1,10,"1,454",816,170,105,62,76,22,50,21,39,93
2021,1,20,"1,743",893,184,122,82,119,32,83,36,57,135
2021,1,30,"1,456",765,163,103,88,101,36,53,31,31,85
2021,1,40,"2,270","1,061",245,211,124,156,66,107,55,82,163
2021,1,50,"3,421","1,311",456,316,188,276,116,223,149,150,236
2021,1,60,"3,319","1,061",512,337,268,298,137,196,126,129,255
2021,1,70,"2,298",631,362,241,169,217,98,160,72,106,242
2021,1,80,"1,211",289,213,128,95,91,65,107,39,85,99
2021,1,90,127,30,21,15,10,17,5,8,7,10,4
2021,1,100,4,1,0,2,0,0,1,0,0,0,0
2021,2,총,"18,270","7,497","2,409","1,631","1,123","1,395",598,995,543,715,"1,364"
2021,2,0,"1,000",646,85,52,44,49,15,18,5,27,59
2021,2,10,"1,455",817,168,106,60,78,22,50,21,40,93
2021,2,20,"1,726",888,185,119,77,118,33,81,36,56,133
2021,2,30,"1,433",750,164,102,87,101,35,51,31,28,84
2021,2,40,"2,263","1,069",238,210,123,151,67,108,55,81,161
2021,2,50,"3,417","1,311",457,317,186,275,118,221,149,151,232
2021,2,60,"3,326","1,063",512,337,270,300,136,194,128,130,256
2021,2,70,"2,303",632,362,243,170,215,100,161,71,106,243
2021,2,80,"1,213",289,217,127,94,92,66,104,40,85,99
2021,2,90,130,31,21,16,12,16,5,7,7,11,4
2021,2,100,4,1,0,2,0,0,1,0,0,0,0
2021,3,총,"18,134","7,435","2,386","1,610","1,120","1,391",591,988,541,704,"1,368"
2021,3,0,980,629,84,50,46,51,15,19,4,24,58
2021,3,10,"1,448",822,163,105,60,78,21,49,22,37,91
2021,3,20,"1,715",888,186,118,77,114,33,80,36,51,132
2021,3,30,"1,408",736,153,101,85,103,35,50,30,28,87
2021,3,40,"2,225","1,045",235,204,121,149,65,104,54,84,164
2021,3,50,"3,395","1,311",454,314,187,274,120,215,147,145,228
2021,3,60,"3,315","1,047",510,339,271,298,132,197,131,131,259
2021,3,70,"2,304",634,363,240,168,213,101,162,72,109,242
2021,3,80,"1,216",290,217,125,93,95,63,106,39,85,103
2021,3,90,125,32,21,14,12,16,5,6,6,9,4
2021,3,100,3,1,0,0,0,0,1,0,0,1,0
2021,4,총,"18,088","7,403","2,381","1,610","1,119","1,386",589,987,542,705,"1,366"
2021,4,0,966,621,81,49,46,48,13,18,4,25,61
2021,4,10,"1,424",803,162,104,60,77,22,49,21,36,90
2021,4,20,"1,709",882,188,120,77,112,33,79,36,50,132
2021,4,30,"1,411",745,149,98,85,99,38,51,30,28,88
2021,4,40,"2,203","1,034",235,203,118,150,63,100,54,87,159
2021,4,50,"3,397","1,312",453,312,191,275,120,213,146,145,230
2021,4,60,"3,321","1,050",510,342,270,298,131,202,132,129,257
2021,4,70,"2,303",639,364,240,167,208,98,163,74,109,241
2021,4,80,"1,225",286,216,127,94,103,65,105,39,86,104
2021,4,90,126,30,23,15,11,16,5,7,6,9,4
2021,4,100,3,1,0,0,0,0,1,0,0,1,0
2021,5,총,"18,032","7,384","2,380","1,600","1,117","1,375",587,990,540,704,"1,355"
2021,5,0,956,614,82,49,45,48,14,19,4,24,57
2021,5,10,"1,423",804,163,102,60,76,23,50,20,36,89
2021,5,20,"1,696",878,187,117,78,111,33,78,37,48,129
2021,5,30,"1,387",729,146,98,85,95,37,52,29,27,89
2021,5,40,"2,184","1,033",233,201,117,147,62,99,55,84,153
2021,5,50,"3,396","1,316",450,313,186,275,121,214,145,146,230
2021,5,60,"3,327","1,052",511,341,272,297,130,203,131,131,259
2021,5,70,"2,301",637,367,238,167,208,96,164,75,111,238
2021,5,80,"1,233",290,217,126,96,103,65,104,38,87,107
2021,5,90,126,30,24,15,11,15,5,7,6,9,4
2021,5,100,3,1,0,0,0,0,1,0,0,1,0
2021,6,총,"18,009","7,371","2,372","1,599","1,118","1,366",592,998,538,703,"1,352"
2021,6,0,949,611,83,49,43,47,14,17,3,23,59
2021,6,10,"1,412",803,160,102,58,72,24,51,20,34,88
2021,6,20,"1,693",873,186,116,82,112,34,78,36,49,127
2021,6,30,"1,371",723,144,98,84,93,37,53,30,24,85
2021,6,40,"2,175","1,028",233,202,116,146,62,100,55,83,150
2021,6,50,"3,397","1,312",447,312,191,273,122,214,144,149,233
2021,6,60,"3,339","1,057",515,341,270,298,133,204,131,133,257
2021,6,70,"2,296",637,363,235,168,206,95,166,75,109,242
2021,6,80,"1,248",296,218,129,94,105,65,107,38,89,107
2021,6,90,126,30,23,15,12,14,5,8,6,9,4
2021,6,100,3,1,0,0,0,0,1,0,0,1,0
2021,7,총,"17,978","7,359","2,366","1,602","1,115","1,368",593,993,536,701,"1,345"
2021,7,0,952,608,84,50,43,48,14,18,3,24,60
2021,7,10,"1,400",801,159,100,58,72,24,47,19,32,88
2021,7,20,"1,683",864,187,117,81,112,33,79,35,50,125
2021,7,30,"1,375",734,144,96,81,94,36,53,29,26,82
2021,7,40,"2,157","1,029",227,199,115,144,60,101,55,78,149
2021,7,50,"3,393","1,297",448,317,194,275,124,210,144,152,232
2021,7,60,"3,351","1,061",514,344,271,298,137,206,132,131,257
2021,7,70,"2,291",640,363,232,168,207,94,162,76,109,240
2021,7,80,"1,246",295,215,132,92,104,65,109,37,89,108
2021,7,90,127,29,25,15,12,14,5,8,6,9,4
2021,7,100,3,1,0,0,0,0,1,0,0,1,0
2021,8,총,"17,931","7,345","2,361","1,598","1,118","1,368",591,983,532,698,"1,337"
2021,8,0,939,604,83,49,42,49,12,18,3,22,57
2021,8,10,"1,403",804,158,102,61,72,24,43,18,32,89
2021,8,20,"1,663",858,183,115,81,110,32,80,35,48,121
2021,8,30,"1,372",729,146,95,80,95,36,51,30,27,83
2021,8,40,"2,143","1,028",227,193,118,144,57,99,54,73,150
2021,8,50,"3,389","1,292",447,321,190,276,126,209,141,156,231
2021,8,60,"3,345","1,061",517,342,273,293,139,203,131,131,255
2021,8,70,"2,293",644,362,234,167,208,93,161,78,109,237
2021,8,80,"1,254",295,214,132,94,107,66,110,36,90,110
2021,8,90,125,28,23,15,12,14,5,9,6,9,4
2021,8,100,5,2,1,0,0,0,1,0,0,1,0
2021,9,총,"17,856","7,326","2,344","1,596","1,120","1,361",588,973,530,688,"1,330"
2021,9,0,926,600,80,47,43,49,12,18,3,20,54
2021,9,10,"1,400",802,158,103,62,72,24,42,18,31,88
2021,9,20,"1,629",851,178,117,78,101,31,75,34,47,117
2021,9,30,"1,358",730,143,91,77,96,35,51,30,24,81
2021,9,40,"2,134","1,023",226,190,122,144,56,99,53,72,149
2021,9,50,"3,393","1,292",444,325,190,274,125,210,143,155,235
2021,9,60,"3,337","1,057",510,341,273,296,139,201,131,133,256
2021,9,70,"2,293",644,366,237,168,207,93,160,78,106,234
2021,9,80,"1,254",297,214,129,95,108,66,108,35,90,112
2021,9,90,127,28,24,16,12,14,6,9,5,9,4
2021,9,100,5,2,1,0,0,0,1,0,0,1,0
2021,10,총,"17,854","7,332","2,346","1,594","1,119","1,362",588,979,528,682,"1,324"
2021,10,0,924,605,76,47,41,49,13,18,3,18,54
2021,10,10,"1,393",795,156,105,63,71,23,43,18,32,87
2021,10,20,"1,630",860,178,118,74,101,31,74,33,46,115
2021,10,30,"1,354",724,144,91,78,96,35,52,29,24,81
2021,10,40,"2,121","1,016",229,189,122,140,56,97,54,71,147
2021,10,50,"3,392","1,303",442,321,193,275,124,208,142,154,230
2021,10,60,"3,354","1,055",516,339,271,301,140,209,131,133,259
2021,10,70,"2,299",647,367,240,169,203,93,162,78,105,235
2021,10,80,"1,255",297,212,128,97,111,67,107,35,89,112
2021,10,90,127,28,25,16,11,15,5,9,5,9,4
2021,10,100,5,2,1,0,0,0,1,0,0,1,0
2021,11,총,"17,821","7,323","2,344","1,581","1,118","1,356",592,982,523,678,"1,324"
2021,11,0,909,596,74,47,42,47,13,18,3,18,51
2021,11,10,"1,397",804,155,104,61,73,22,42,17,32,87
2021,11,20,"1,627",855,181,118,76,98,33,76,30,44,116
2021,11,30,"1,339",717,142,89,73,95,36,54,28,24,81
2021,11,40,"2,124","1,020",233,188,122,138,56,99,53,68,147
2021,11,50,"3,388","1,310",439,319,193,271,124,207,140,157,228
2021,11,60,"3,341","1,042",515,332,273,303,141,210,131,131,263
2021,11,70,"2,316",654,369,246,168,205,93,159,81,106,235
2021,11,80,"1,248",297,211,123,99,112,67,106,35,87,111
2021,11,90,129,28,24,15,11,14,6,11,5,10,5
2021,11,100,3,0,1,0,0,0,1,0,0,1,0
2021,12,총,"17,785","7,289","2,348","1,573","1,118","1,359",593,986,517,679,"1,323"
2021,12,0,912,595,76,45,44,48,13,18,3,18,52
2021,12,10,"1,381",794,154,103,60,70,23,42,16,32,87
2021,12,20,"1,624",852,182,115,78,101,32,73,30,43,118
2021,12,30,"1,338",720,144,88,72,94,37,55,23,25,80
2021,12,40,"2,104","1,007",235,184,122,137,54,98,53,70,144
2021,12,50,"3,388","1,308",432,321,193,273,128,208,139,157,229
2021,12,60,"3,349","1,041",520,331,275,303,140,213,132,131,263
2021,12,70,"2,312",650,368,247,168,205,94,161,79,105,235
2021,12,80,"1,243",293,212,124,95,114,64,107,37,87,110
2021,12,90,131,29,24,15,11,14,7,11,5,10,5
2021,12,100,3,0,1,0,0,0,1,0,0,1,0
