년도,월,나이,진천군,진천읍,덕산읍,덕산읍혁신도시출장소,초평면,문백면,백곡면,이월면,광혜원면
2020,3,50,"13,438","5,278","3,042",0,635,776,402,"1,270","2,035"
2020,3,60,"9,680","3,518","1,711",0,717,759,512,"1,245","1,218"
2020,3,70,"5,464","2,026",829,0,471,471,346,712,609
2020,3,80,"3,387","1,130",492,0,374,317,249,484,341
2020,3,90,439,151,61,0,37,44,32,66,48
2020,3,100,18,5,4,0,0,0,2,7,0
2020,4,총,"81,483","30,113","25,540",0,"3,236","3,590","2,094","6,263","10,647"
2020,4,0,"7,670","2,415","3,955",0,80,132,57,245,786
2020,4,10,"7,897","3,320","2,617",0,188,146,75,419,"1,132"
2020,4,20,"8,935","3,801","2,727",0,208,301,111,550,"1,237"
2020,4,30,"11,282","3,363","5,489",0,188,275,120,507,"1,340"
2020,4,40,"13,163","5,073","4,562",0,324,375,185,759,"1,885"
2020,4,50,"13,484","5,291","3,070",0,639,773,399,"1,264","2,048"
2020,4,60,"9,735","3,531","1,732",0,723,759,519,"1,250","1,221"
2020,4,70,"5,456","2,032",825,0,475,464,344,710,606
2020,4,80,"3,401","1,130",496,0,374,323,249,484,345
2020,4,90,442,152,63,0,37,42,33,68,47
2020,4,100,18,5,4,0,0,0,2,7,0
2020,5,총,"81,584","30,126","25,642",0,"3,239","3,595","2,085","6,259","10,638"
2020,5,0,"7,665","2,407","3,960",0,82,132,59,241,784
2020,5,10,"7,895","3,327","2,628",0,188,139,75,422,"1,116"
2020,5,20,"8,964","3,830","2,743",0,209,305,107,543,"1,227"
2020,5,30,"11,250","3,333","5,481",0,187,274,119,509,"1,347"
2020,5,40,"13,147","5,050","4,590",0,320,374,182,754,"1,877"
2020,5,50,"13,530","5,302","3,102",0,645,769,395,"1,260","2,057"
2020,5,60,"9,781","3,545","1,749",0,721,768,523,"1,245","1,230"
2020,5,70,"5,480","2,041",822,0,475,464,342,727,609
2020,5,80,"3,404","1,135",499,0,374,325,246,481,344
2020,5,90,450,151,64,0,38,45,35,70,47
2020,5,100,18,5,4,0,0,0,2,7,0
2020,6,총,"81,742","30,067","25,780",0,"3,238","3,589","2,087","6,239","10,742"
2020,6,0,"7,630","2,385","3,965",0,81,131,54,237,777
2020,6,10,"8,004","3,311","2,650",0,192,137,76,419,"1,219"
2020,6,20,"8,969","3,821","2,753",0,210,305,108,535,"1,237"
2020,6,30,"11,221","3,309","5,496",0,184,269,116,508,"1,339"
2020,6,40,"13,173","5,045","4,634",0,319,376,180,744,"1,875"
2020,6,50,"13,521","5,290","3,119",0,642,763,394,"1,257","2,056"
2020,6,60,"9,842","3,553","1,772",0,726,775,533,"1,246","1,237"
2020,6,70,"5,509","2,063",819,0,472,464,344,736,611
2020,6,80,"3,403","1,136",503,0,372,323,245,482,342
2020,6,90,452,150,64,0,40,45,35,69,49
2020,6,100,18,4,5,0,0,1,2,6,0
2020,7,총,"81,865","30,080","25,892",0,"3,241","3,593","2,083","6,227","10,749"
2020,7,0,"7,613","2,370","3,976",0,82,129,52,230,774
2020,7,10,"8,024","3,286","2,676",0,191,139,77,415,"1,240"
2020,7,20,"8,976","3,838","2,748",0,213,306,107,534,"1,230"
2020,7,30,"11,200","3,297","5,512",0,183,266,115,496,"1,331"
2020,7,40,"13,184","5,047","4,648",0,319,379,177,752,"1,862"
2020,7,50,"13,552","5,304","3,147",0,639,762,393,"1,246","2,061"
2020,7,60,"9,915","3,573","1,790",0,730,778,534,"1,261","1,249"
2020,7,70,"5,511","2,071",816,0,471,460,348,732,613
2020,7,80,"3,419","1,139",511,0,371,328,244,485,341
2020,7,90,452,151,63,0,41,45,34,70,48
2020,7,100,19,4,5,0,1,1,2,6,0
2020,8,총,"81,949","30,111","26,025",0,"3,239","3,580","2,092","6,206","10,696"
2020,8,0,"7,592","2,350","3,996",0,84,125,50,223,764
2020,8,10,"8,037","3,293","2,689",0,187,141,80,417,"1,230"
2020,8,20,"8,945","3,844","2,735",0,214,303,107,528,"1,214"
2020,8,30,"11,189","3,281","5,541",0,184,258,118,488,"1,319"
2020,8,40,"13,215","5,046","4,702",0,314,379,175,742,"1,857"
2020,8,50,"13,608","5,325","3,155",0,649,767,392,"1,254","2,066"
2020,8,60,"9,955","3,596","1,812",0,722,775,541,"1,262","1,247"
2020,8,70,"5,501","2,081",811,0,469,457,346,727,610
2020,8,80,"3,427","1,139",514,0,375,327,244,487,341
2020,8,90,461,152,65,0,40,47,37,72,48
2020,8,100,19,4,5,0,1,1,2,6,0
2020,9,총,"82,362","30,027","26,624",0,"3,232","3,567","2,076","6,174","10,662"
2020,9,0,"7,625","2,328","4,064",0,84,124,51,216,758
2020,9,10,"8,066","3,279","2,761",0,187,136,77,415,"1,211"
2020,9,20,"8,995","3,823","2,814",0,212,297,103,525,"1,221"
2020,9,30,"11,263","3,245","5,675",0,178,265,120,476,"1,304"
2020,9,40,"13,293","5,022","4,837",0,313,375,171,737,"1,838"
2020,9,50,"13,651","5,335","3,196",0,645,757,391,"1,251","2,076"
2020,9,60,"10,044","3,618","1,867",0,727,784,538,"1,259","1,251"
2020,9,70,"5,494","2,076",817,0,467,455,341,728,610
2020,9,80,"3,450","1,146",524,0,377,326,245,487,345
2020,9,90,462,150,65,0,41,47,37,74,48
2020,9,100,19,5,4,0,1,1,2,6,0
2020,10,총,"83,090","30,022","27,426",0,"3,247","3,553","2,080","6,143","10,619"
2020,10,0,"7,718","2,304","4,187",0,86,124,51,208,758
2020,10,10,"8,081","3,240","2,838",0,191,135,79,401,"1,197"
2020,10,20,"9,157","3,877","2,931",0,214,290,103,528,"1,214"
2020,10,30,"11,418","3,216","5,875",0,177,268,117,472,"1,293"
2020,10,40,"13,400","5,008","4,984",0,318,365,170,727,"1,828"
2020,10,50,"13,715","5,346","3,260",0,644,759,388,"1,248","2,070"
2020,10,60,"10,156","3,649","1,929",0,725,782,547,"1,264","1,260"
2020,10,70,"5,509","2,078",830,0,471,455,339,727,609
2020,10,80,"3,456","1,151",525,0,379,327,247,484,343
2020,10,90,461,148,63,0,41,47,37,78,47
2020,10,100,19,5,4,0,1,1,2,6,0
2020,11,총,"83,621","29,961","28,086",0,"3,235","3,540","2,082","6,085","10,632"
2020,11,0,"7,738","2,268","4,243",0,83,127,52,202,763
2020,11,10,"8,140","3,237","2,920",0,191,138,77,392,"1,185"
2020,11,20,"9,216","3,853","3,022",0,206,284,101,529,"1,221"
2020,11,30,"11,531","3,206","6,006",0,177,266,121,463,"1,292"
2020,11,40,"13,498","4,987","5,132",0,309,362,170,716,"1,822"
2020,11,50,"13,772","5,343","3,329",0,650,754,385,"1,233","2,078"
2020,11,60,"10,249","3,668","1,999",0,722,779,552,"1,267","1,262"
2020,11,70,"5,533","2,086",838,0,473,456,337,721,622
2020,11,80,"3,465","1,160",530,0,380,326,249,480,340
2020,11,90,459,148,63,0,43,46,35,77,47
2020,11,100,20,5,4,0,1,2,3,5,0
2020,12,총,"83,718","30,013","28,280",0,"3,218","3,524","2,082","6,067","10,534"
2020,12,0,"7,728","2,244","4,258",0,85,131,55,203,752
2020,12,10,"8,092","3,233","2,946",0,181,139,77,392,"1,124"
2020,12,20,"9,226","3,886","3,047",0,204,277,100,522,"1,190"
2020,12,30,"11,519","3,202","6,029",0,173,259,121,460,"1,275"
2020,12,40,"13,562","4,992","5,189",0,310,362,169,711,"1,829"
2020,12,50,"13,733","5,339","3,341",0,640,749,376,"1,218","2,070"
2020,12,60,"10,354","3,712","2,023",0,726,777,558,"1,279","1,279"
2020,12,70,"5,532","2,085",846,0,472,459,336,713,621
2020,12,80,"3,487","1,165",533,0,383,325,249,486,346
2020,12,90,465,150,64,0,43,44,38,78,48
2020,12,100,20,5,4,0,1,2,3,5,0
2021,1,총,"83,849","30,016","28,483",0,"3,224","3,508","2,076","6,077","10,465"
2021,1,0,"7,700","2,217","4,279",0,87,123,52,200,742
2021,1,10,"8,079","3,204","2,984",0,182,142,78,393,"1,096"
2021,1,20,"9,267","3,905","3,075",0,205,276,97,525,"1,184"
2021,1,30,"11,510","3,208","6,038",0,176,257,118,459,"1,254"
2021,1,40,"13,584","4,970","5,250",0,312,354,166,710,"1,822"
2021,1,50,"13,741","5,356","3,355",0,628,746,379,"1,212","2,065"
2021,1,60,"10,441","3,742","2,039",0,734,781,561,"1,298","1,286"
2021,1,70,"5,545","2,099",849,0,470,459,332,713,623
2021,1,80,"3,490","1,159",541,0,387,326,250,483,344
2021,1,90,473,152,69,0,42,42,40,79,49
2021,1,100,19,4,4,0,1,2,3,5,0
2021,2,총,"84,116","30,050","28,711",0,"3,235","3,490","2,092","6,079","10,459"
2021,2,0,"7,706","2,203","4,310",0,91,120,52,193,737
2021,2,10,"8,088","3,199","3,018",0,179,145,76,390,"1,081"
2021,2,20,"9,261","3,910","3,067",0,201,261,100,528,"1,194"
2021,2,30,"11,554","3,198","6,089",0,187,255,122,462,"1,241"
2021,2,40,"13,626","4,955","5,318",0,305,353,166,709,"1,820"
2021,2,50,"13,752","5,361","3,368",0,627,741,385,"1,200","2,070"
2021,2,60,"10,579","3,810","2,072",0,750,781,563,"1,311","1,292"
2021,2,70,"5,546","2,084",853,0,465,465,337,715,627
2021,2,80,"3,503","1,172",539,0,387,324,248,487,346
2021,2,90,482,154,73,0,42,43,40,79,51
2021,2,100,19,4,4,0,1,2,3,5,0
2021,3,총,"84,118","29,980","28,907",0,"3,194","3,483","2,079","6,063","10,412"
2021,3,0,"7,685","2,184","4,338",0,86,122,47,189,719
2021,3,10,"8,134","3,195","3,069",0,176,143,77,391,"1,083"
2021,3,20,"9,266","3,917","3,082",0,199,257,97,534,"1,180"
2021,3,30,"11,521","3,156","6,127",0,182,250,120,456,"1,230"
2021,3,40,"13,626","4,933","5,359",0,306,348,167,702,"1,811"
2021,3,50,"13,668","5,327","3,371",0,612,729,381,"1,197","2,051"
2021,3,60,"10,716","3,864","2,108",0,749,796,560,"1,325","1,314"
2021,3,70,"5,507","2,087",839,0,459,456,335,707,624
2021,3,80,"3,506","1,165",541,0,380,338,251,485,346
2021,3,90,476,150,70,0,44,42,40,76,54
2021,3,100,13,2,3,0,1,2,4,1,0
2021,4,총,"84,437","30,121","29,095",0,"3,181","3,485","2,085","6,097","10,373"
2021,4,0,"7,634","2,154","4,342",0,79,122,46,189,702
2021,4,10,"8,322","3,353","3,095",0,175,146,75,393,"1,085"
2021,4,20,"9,273","3,919","3,095",0,199,257,99,534,"1,170"
2021,4,30,"11,536","3,144","6,161",0,181,247,121,467,"1,215"
2021,4,40,"13,643","4,923","5,405",0,305,351,167,707,"1,785"
2021,4,50,"13,654","5,321","3,387",0,596,725,380,"1,189","2,056"
2021,4,60,"10,860","3,895","2,150",0,765,805,565,"1,347","1,333"
2021,4,70,"5,497","2,079",847,0,454,455,333,709,620
2021,4,80,"3,520","1,176",538,0,381,333,254,485,353
2021,4,90,486,155,72,0,45,43,41,76,54
2021,4,100,12,2,3,0,1,1,4,1,0
2021,5,총,"84,623","30,125","29,194",0,"3,157","3,469","2,084","6,120","10,474"
2021,5,0,"7,618","2,156","4,343",0,69,117,48,189,696
2021,5,10,"8,374","3,339","3,093",0,171,146,76,393,"1,156"
2021,5,20,"9,271","3,916","3,103",0,201,255,100,530,"1,166"
2021,5,30,"11,528","3,134","6,156",0,177,247,116,480,"1,218"
2021,5,40,"13,650","4,907","5,453",0,301,340,165,703,"1,781"
2021,5,50,"13,690","5,314","3,414",0,590,722,374,"1,194","2,082"
2021,5,60,"10,951","3,928","2,167",0,766,810,570,"1,368","1,342"
2021,5,70,"5,508","2,092",853,0,454,453,333,700,623
2021,5,80,"3,531","1,179",538,0,382,334,257,488,353
2021,5,90,490,158,71,0,45,44,41,74,57
2021,5,100,12,2,3,0,1,1,4,1,0
2021,6,총,"84,746","30,130","29,314",0,"3,143","3,470","2,084","6,130","10,475"
2021,6,0,"7,599","2,138","4,345",0,67,117,48,188,696
2021,6,10,"8,384","3,334","3,115",0,168,147,77,390,"1,153"
2021,6,20,"9,269","3,916","3,107",0,201,250,97,529,"1,169"
2021,6,30,"11,507","3,109","6,164",0,180,248,116,479,"1,211"
2021,6,40,"13,681","4,908","5,493",0,292,340,164,708,"1,776"
2021,6,50,"13,728","5,328","3,443",0,583,724,373,"1,198","2,079"
2021,6,60,"11,034","3,956","2,180",0,772,815,575,"1,371","1,365"
2021,6,70,"5,496","2,092",855,0,455,452,331,699,612
2021,6,80,"3,555","1,191",539,0,380,335,259,494,357
2021,6,90,480,156,70,0,43,41,40,73,57
2021,6,100,13,2,3,0,2,1,4,1,0
2021,7,총,"84,845","30,145","29,343",0,"3,141","3,477","2,086","6,154","10,499"
2021,7,0,"7,576","2,116","4,343",0,70,118,48,187,694
2021,7,10,"8,401","3,328","3,124",0,167,145,79,392,"1,166"
2021,7,20,"9,278","3,926","3,089",0,202,251,95,533,"1,182"
2021,7,30,"11,490","3,091","6,160",0,179,248,119,482,"1,211"
2021,7,40,"13,727","4,927","5,524",0,293,341,162,714,"1,766"
2021,7,50,"13,721","5,333","3,441",0,581,716,370,"1,191","2,089"
2021,7,60,"11,099","3,979","2,191",0,770,827,580,"1,387","1,365"
2021,7,70,"5,508","2,092",854,0,455,457,328,702,620
2021,7,80,"3,552","1,197",545,0,375,332,263,492,348
2021,7,90,480,154,69,0,47,41,38,73,58
2021,7,100,13,2,3,0,2,1,4,1,0
2021,8,총,"84,904","30,132","29,365",0,"3,130","3,473","2,087","6,193","10,524"
2021,8,0,"7,541","2,087","4,332",0,69,119,47,194,693
2021,8,10,"8,398","3,308","3,138",0,166,144,79,394,"1,169"
2021,8,20,"9,291","3,950","3,085",0,198,241,94,537,"1,186"
2021,8,30,"11,445","3,067","6,126",0,177,254,117,492,"1,212"
2021,8,40,"13,717","4,902","5,553",0,291,338,162,715,"1,756"
2021,8,50,"13,767","5,357","3,458",0,575,712,371,"1,190","2,104"
2021,8,60,"11,152","4,004","2,200",0,770,831,579,"1,400","1,368"
2021,8,70,"5,524","2,090",859,0,457,458,331,704,625
2021,8,80,"3,577","1,209",542,0,376,333,268,495,354
2021,8,90,479,155,69,0,49,42,36,71,57
2021,8,100,13,3,3,0,2,1,3,1,0
2021,9,총,"84,917","30,118","29,420",0,"3,105","3,460","2,095","6,197","10,522"
2021,9,0,"7,507","2,070","4,327",0,68,116,47,191,688
2021,9,10,"8,369","3,299","3,141",0,165,142,78,394,"1,150"
2021,9,20,"9,240","3,920","3,076",0,196,234,93,537,"1,184"
2021,9,30,"11,449","3,063","6,124",0,173,255,121,493,"1,220"
2021,9,40,"13,729","4,905","5,581",0,282,334,162,712,"1,753"
2021,9,50,"13,792","5,352","3,480",0,573,704,375,"1,197","2,111"
2021,9,60,"11,239","4,055","2,217",0,769,839,581,"1,404","1,374"
2021,9,70,"5,501","2,078",856,0,449,458,331,699,630
2021,9,80,"3,599","1,214",547,0,379,336,267,499,357
2021,9,90,479,159,69,0,48,41,37,70,55
2021,9,100,13,3,2,0,3,1,3,1,0
2021,10,총,"85,051","30,148","29,508",0,"3,104","3,454","2,090","6,187","10,560"
2021,10,0,"7,484","2,047","4,334",0,70,113,47,186,687
2021,10,10,"8,369","3,304","3,150",0,163,138,77,388,"1,149"
2021,10,20,"9,271","3,929","3,079",0,193,238,93,532,"1,207"
2021,10,30,"11,427","3,055","6,132",0,172,249,118,491,"1,210"
2021,10,40,"13,749","4,916","5,600",0,274,326,160,712,"1,761"
2021,10,50,"13,857","5,367","3,513",0,575,717,375,"1,200","2,110"
2021,10,60,"11,279","4,067","2,222",0,775,831,581,"1,411","1,392"
2021,10,70,"5,515","2,082",858,0,446,464,330,701,634
2021,10,80,"3,606","1,219",549,0,382,335,268,497,356
2021,10,90,480,159,69,0,51,42,37,68,54
2021,10,100,14,3,2,0,3,1,4,1,0
2021,11,총,"85,104","30,152","29,572",0,"3,109","3,452","2,090","6,184","10,545"
2021,11,0,"7,437","2,025","4,321",0,71,111,47,187,675
2021,11,10,"8,372","3,297","3,177",0,162,139,77,385,"1,135"
2021,11,20,"9,241","3,928","3,065",0,192,233,93,522,"1,208"
2021,11,30,"11,423","3,062","6,126",0,171,245,115,498,"1,206"
2021,11,40,"13,778","4,916","5,627",0,276,323,161,704,"1,771"
2021,11,50,"13,865","5,373","3,535",0,575,711,374,"1,197","2,100"
2021,11,60,"11,348","4,082","2,236",0,780,839,583,"1,424","1,404"
2021,11,70,"5,510","2,074",858,0,449,467,330,700,632
2021,11,80,"3,632","1,232",554,0,379,340,269,497,361
2021,11,90,484,160,71,0,51,43,37,69,53
2021,11,100,14,3,2,0,3,1,4,1,0
2021,12,총,"85,176","30,157","29,625",0,"3,118","3,469","2,082","6,211","10,514"
2021,12,0,"7,389","2,015","4,297",0,77,108,40,186,666
2021,12,10,"8,353","3,292","3,194",0,159,140,77,375,"1,116"
2021,12,20,"9,223","3,929","3,037",0,195,232,90,539,"1,201"
2021,12,30,"11,398","3,050","6,106",0,176,245,113,505,"1,203"
2021,12,40,"13,827","4,907","5,684",0,281,323,162,704,"1,766"
2021,12,50,"13,912","5,400","3,563",0,572,719,372,"1,187","2,099"
2021,12,60,"11,395","4,071","2,257",0,779,841,587,"1,440","1,420"
2021,12,70,"5,523","2,091",858,0,444,471,332,698,629
2021,12,80,"3,654","1,239",556,0,379,347,267,505,361
2021,12,90,488,160,71,0,53,42,38,71,53
2021,12,100,14,3,2,0,3,1,4,1,0
