년도,월,나이,경산시,하양읍,진량읍,압량읍,와촌면,자인면,용성면,남산면,압량면,남천면,중방동,중앙동,남부동,서부1동,서부2동,북부동,동부동
2020,11,40,"21,268","1,986","3,303","1,723",383,381,178,240,,173,645,422,"1,764","3,162","2,232","1,303","3,373"
2020,11,50,"22,472","2,167","3,731","1,457",691,528,343,405,,333,908,659,"1,475","2,994","2,309","1,293","3,179"
2020,11,60,"16,922","1,578","2,073","1,174",738,661,473,478,,346,819,536,"1,167","2,254","1,633",908,"2,084"
2020,11,70,"8,572",883,964,560,392,379,279,266,,228,363,268,643,"1,091",878,453,925
2020,11,80,"3,143",362,379,210,148,139,118,111,,72,99,102,226,421,301,135,320
2020,11,90,239,25,34,17,9,9,8,14,,12,7,9,17,33,23,5,17
2020,11,100,11,2,0,0,3,0,0,0,,2,0,0,2,0,1,1,0
2020,12,총,"132,805","12,869","18,930","11,113","3,217","2,821","1,763","1,951",,"1,550","4,863","3,287","9,895","17,517","14,768","8,853","19,408"
2020,12,0,"10,441",882,"1,241","1,226",103,68,38,55,,53,279,127,"1,032","1,383","1,681",546,"1,727"
2020,12,10,"11,778","1,446","1,805",614,150,133,53,85,,60,315,222,"1,066","1,966","1,167",435,"2,261"
2020,12,20,"19,914","2,143","3,103","1,768",311,276,140,172,,159,829,548,"1,110","2,330","2,081","2,065","2,879"
2020,12,30,"17,799","1,397","2,248","2,344",286,250,130,131,,113,603,405,"1,400","1,934","2,275","1,717","2,566"
2020,12,40,"21,315","1,981","3,312","1,740",389,372,175,235,,169,647,421,"1,753","3,130","2,298","1,297","3,396"
2020,12,50,"22,490","2,163","3,745","1,454",681,526,343,400,,330,899,651,"1,472","2,972","2,375","1,286","3,193"
2020,12,60,"17,045","1,582","2,091","1,186",737,663,474,481,,348,824,535,"1,168","2,261","1,667",909,"2,119"
2020,12,70,"8,599",876,974,553,397,384,283,267,,230,360,264,652,"1,085",891,455,928
2020,12,80,"3,168",370,377,210,150,139,119,112,,74,100,104,223,424,309,136,321
2020,12,90,245,27,34,18,10,10,8,13,,12,7,10,17,32,23,6,18
2020,12,100,11,2,0,0,3,0,0,0,,2,0,0,2,0,1,1,0
2021,1,총,"132,986","12,855","18,961","11,079","3,193","2,802","1,765","1,940",,"1,543","4,859","3,281","9,875","17,443","15,146","8,834","19,410"
2021,1,0,"10,354",863,"1,242","1,211",97,64,39,55,,53,274,126,"1,029","1,357","1,701",543,"1,700"
2021,1,10,"11,795","1,442","1,788",619,154,134,52,84,,59,321,222,"1,072","1,956","1,222",424,"2,246"
2021,1,20,"19,862","2,161","3,104","1,748",298,267,140,170,,155,822,539,"1,099","2,299","2,121","2,049","2,890"
2021,1,30,"17,795","1,398","2,242","2,327",278,241,127,132,,115,608,407,"1,378","1,937","2,349","1,709","2,547"
2021,1,40,"21,271","1,965","3,312","1,743",380,370,174,223,,167,642,424,"1,754","3,082","2,351","1,287","3,397"
2021,1,50,"22,566","2,155","3,760","1,462",680,523,340,396,,326,884,644,"1,474","2,985","2,448","1,292","3,197"
2021,1,60,"17,226","1,582","2,128","1,181",743,670,477,482,,351,834,536,"1,166","2,279","1,715",930,"2,152"
2021,1,70,"8,671",890,971,558,396,384,289,273,,229,365,267,660,"1,088",902,457,942
2021,1,80,"3,188",371,379,212,154,139,118,112,,74,102,107,225,429,311,135,320
2021,1,90,247,26,35,18,10,10,9,13,,12,7,9,16,31,25,7,19
2021,1,100,11,2,0,0,3,0,0,0,,2,0,0,2,0,1,1,0
2021,2,총,"133,031","12,861","18,916","11,129","3,189","2,793","1,761","1,926",,"1,543","4,818","3,286","9,851","17,409","15,264","8,827","19,458"
2021,2,0,"10,312",863,"1,233","1,227",97,65,38,55,,55,266,130,"1,007","1,333","1,711",542,"1,690"
2021,2,10,"11,784","1,435","1,765",622,151,130,51,76,,60,316,219,"1,077","1,953","1,241",423,"2,265"
2021,2,20,"19,824","2,164","3,100","1,747",298,263,139,165,,151,805,530,"1,097","2,308","2,118","2,053","2,886"
2021,2,30,"17,721","1,400","2,234","2,326",273,239,127,135,,112,602,398,"1,347","1,922","2,359","1,702","2,545"
2021,2,40,"21,279","1,956","3,287","1,764",380,366,174,219,,166,635,430,"1,776","3,046","2,389","1,282","3,409"
2021,2,50,"22,591","2,154","3,760","1,460",680,523,339,393,,326,883,647,"1,472","2,995","2,458","1,295","3,206"
2021,2,60,"17,325","1,591","2,142","1,191",745,672,474,479,,353,837,543,"1,164","2,304","1,738",930,"2,162"
2021,2,70,"8,735",902,983,559,397,386,291,279,,231,367,270,662,"1,087",913,455,953
2021,2,80,"3,200",369,376,215,155,140,119,112,,74,100,110,233,429,311,137,320
2021,2,90,248,25,36,18,10,9,9,13,,13,7,9,14,32,25,7,21
2021,2,100,12,2,0,0,3,0,0,0,,2,0,0,2,0,1,1,1
2021,3,총,"132,924","12,789","18,927","11,116","3,176","2,794","1,766","1,934",,"1,536","4,804","3,245","9,839","17,359","15,266","8,863","19,510"
2021,3,0,"10,258",852,"1,239","1,220",93,69,39,58,,53,264,128,997,"1,319","1,704",545,"1,678"
2021,3,10,"11,746","1,410","1,757",623,145,125,52,75,,59,310,218,"1,080","1,949","1,247",423,"2,273"
2021,3,20,"19,839","2,172","3,107","1,743",305,261,138,167,,148,803,525,"1,105","2,294","2,103","2,064","2,904"
2021,3,30,"17,659","1,397","2,210","2,316",274,241,130,131,,116,606,393,"1,349","1,904","2,356","1,703","2,533"
2021,3,40,"21,187","1,936","3,271","1,769",379,367,176,218,,157,619,421,"1,771","3,024","2,383","1,292","3,404"
2021,3,50,"22,548","2,139","3,771","1,450",679,519,327,387,,322,889,635,"1,460","2,996","2,440","1,306","3,228"
2021,3,60,"17,453","1,588","2,171","1,194",737,681,486,490,,354,839,545,"1,170","2,319","1,773",925,"2,181"
2021,3,70,"8,766",904,987,565,396,383,289,279,,235,366,264,662,"1,096",920,460,960
2021,3,80,"3,218",368,380,218,156,140,120,115,,77,102,109,230,426,313,138,326
2021,3,90,244,22,34,18,11,8,9,14,,13,6,7,15,32,26,7,22
2021,3,100,6,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,1
