년도,월,나이,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020,4,70,"4,462",856,757,535,255,187,298,159,139,142,221,225,307,381
2020,4,80,"3,349",443,531,369,282,182,265,165,158,117,203,203,228,203
2020,4,90,600,68,104,73,42,40,44,21,16,25,43,39,50,35
2020,4,100,33,5,5,4,2,2,3,0,1,2,3,1,4,1
2020,5,총,"26,404","5,557","7,051","2,510","1,193",860,"1,373",792,657,627,"1,086","1,064","1,522","2,112"
2020,5,0,"1,204",304,507,83,26,19,32,32,15,11,26,24,21,104
2020,5,10,"1,713",431,724,104,24,32,62,34,28,14,36,43,50,131
2020,5,20,"1,665",445,599,150,36,34,63,33,23,10,36,38,73,125
2020,5,30,"1,586",409,606,126,46,25,45,28,26,28,34,36,65,112
2020,5,40,"2,698",740,"1,054",193,62,45,108,44,32,29,64,67,96,164
2020,5,50,"3,986",842,"1,100",356,146,123,182,111,88,82,156,137,277,386
2020,5,60,"5,087","1,019","1,058",514,271,172,264,164,127,165,261,250,356,466
2020,5,70,"4,462",849,764,537,253,185,300,160,140,144,220,223,303,384
2020,5,80,"3,365",447,529,369,283,185,269,163,160,118,205,206,226,205
2020,5,90,605,66,105,74,44,39,45,22,17,24,45,39,51,34
2020,5,100,33,5,5,4,2,1,3,1,1,2,3,1,4,1
2020,6,총,"26,380","5,535","7,084","2,501","1,191",862,"1,366",792,655,626,"1,092","1,055","1,517","2,104"
2020,6,0,"1,204",300,516,80,24,19,33,32,13,11,26,25,22,103
2020,6,10,"1,708",422,732,107,25,32,62,33,28,12,36,41,48,130
2020,6,20,"1,649",441,602,146,35,34,62,32,23,12,39,35,71,117
2020,6,30,"1,583",409,605,126,47,25,44,29,24,28,34,39,64,109
2020,6,40,"2,686",736,"1,049",191,59,46,108,44,33,29,62,66,97,166
2020,6,50,"3,971",840,"1,115",353,149,122,176,106,85,79,158,132,271,385
2020,6,60,"5,125","1,026","1,062",518,271,176,268,168,130,165,266,250,359,466
2020,6,70,"4,470",845,767,539,256,183,295,162,141,147,220,220,306,389
2020,6,80,"3,351",445,527,365,279,185,270,163,159,118,204,208,223,205
2020,6,90,599,66,103,72,44,39,45,22,18,23,44,38,52,33
2020,6,100,34,5,6,4,2,1,3,1,1,2,3,1,4,1
2020,7,총,"26,389","5,536","7,084","2,494","1,196",861,"1,365",791,658,627,"1,095","1,057","1,522","2,103"
2020,7,0,"1,206",300,520,81,25,19,33,31,13,12,26,23,22,101
2020,7,10,"1,708",422,729,107,25,30,62,34,27,12,34,43,52,131
2020,7,20,"1,626",436,598,142,35,33,61,31,23,9,39,35,67,117
2020,7,30,"1,559",412,591,123,46,25,45,29,23,27,30,39,61,108
2020,7,40,"2,707",739,"1,054",194,62,45,105,44,33,31,65,68,98,169
2020,7,50,"3,967",845,"1,118",349,150,122,174,105,83,80,162,131,271,377
2020,7,60,"5,139","1,015","1,066",520,267,178,274,169,135,165,266,249,362,473
2020,7,70,"4,473",848,769,536,258,186,292,159,141,148,220,221,308,387
2020,7,80,"3,358",450,529,365,281,181,268,165,160,117,206,207,223,206
2020,7,90,612,64,104,73,45,41,48,23,19,24,44,40,54,33
2020,7,100,34,5,6,4,2,1,3,1,1,2,3,1,4,1
2020,8,총,"26,361","5,535","7,072","2,494","1,197",856,"1,369",795,659,625,"1,088","1,055","1,515","2,101"
2020,8,0,"1,195",291,520,80,25,19,36,32,13,12,23,22,22,100
2020,8,10,"1,706",425,726,106,24,28,62,35,28,11,34,44,52,131
2020,8,20,"1,623",436,596,144,35,35,60,31,24,10,39,35,64,114
2020,8,30,"1,545",404,586,124,42,24,48,31,22,26,30,39,60,109
2020,8,40,"2,692",742,"1,045",193,61,45,106,43,33,32,64,67,95,166
2020,8,50,"3,954",844,"1,118",349,153,118,175,105,83,78,160,127,267,377
2020,8,60,"5,160","1,021","1,073",519,267,181,274,168,135,164,268,253,363,474
2020,8,70,"4,493",848,773,540,262,186,290,160,140,150,218,222,313,391
2020,8,80,"3,342",452,524,363,281,179,265,166,161,115,205,203,221,207
2020,8,90,618,67,106,72,45,40,50,23,19,25,44,42,54,31
2020,8,100,33,5,5,4,2,1,3,1,1,2,3,1,4,1
2020,9,총,"26,284","5,531","7,047","2,478","1,189",850,"1,363",790,658,621,"1,088","1,061","1,512","2,096"
2020,9,0,"1,177",285,517,79,23,18,36,29,13,10,23,22,24,98
2020,9,10,"1,696",424,722,107,23,29,59,36,28,11,34,43,51,129
2020,9,20,"1,627",438,596,142,33,35,63,31,24,12,39,36,65,113
2020,9,30,"1,529",398,581,121,42,23,49,29,22,25,30,40,60,109
2020,9,40,"2,669",733,"1,036",188,61,44,102,44,34,32,66,67,96,166
2020,9,50,"3,931",849,"1,114",341,151,116,171,103,79,78,159,131,264,375
2020,9,60,"5,171","1,023","1,072",523,266,183,277,168,137,162,269,251,365,475
2020,9,70,"4,476",852,770,537,260,184,287,162,142,149,213,220,307,393
2020,9,80,"3,346",450,524,366,284,176,266,164,157,117,209,207,223,203
2020,9,90,630,74,110,70,44,41,50,23,21,24,43,43,53,34
2020,9,100,32,5,5,4,2,1,3,1,1,1,3,1,4,1
2020,10,총,"26,246","5,541","7,030","2,469","1,187",847,"1,361",789,661,616,"1,090","1,053","1,505","2,097"
2020,10,0,"1,161",280,513,79,22,18,34,29,14,10,22,20,21,99
2020,10,10,"1,686",421,724,105,23,28,59,36,27,10,34,44,52,123
2020,10,20,"1,627",446,588,140,33,35,63,30,25,12,38,37,64,116
2020,10,30,"1,524",408,572,121,41,21,48,30,21,25,30,38,58,111
2020,10,40,"2,650",728,"1,029",184,58,44,104,41,34,32,67,67,95,167
2020,10,50,"3,909",850,"1,115",338,152,113,170,106,74,76,159,127,262,367
2020,10,60,"5,197","1,026","1,078",526,266,186,278,167,145,160,267,253,364,481
2020,10,70,"4,473",851,772,534,259,185,285,161,143,148,215,218,306,396
2020,10,80,"3,349",452,523,369,284,173,266,165,157,119,210,204,225,202
2020,10,90,637,74,111,69,46,43,51,23,20,23,45,44,54,34
2020,10,100,33,5,5,4,3,1,3,1,1,1,3,1,4,1
2020,11,총,"26,260","5,568","7,032","2,471","1,180",848,"1,355",785,663,616,"1,094","1,056","1,501","2,091"
2020,11,0,"1,154",284,509,78,21,18,34,27,14,10,22,20,20,97
2020,11,10,"1,690",424,733,106,20,26,59,35,26,10,32,44,51,124
2020,11,20,"1,623",453,584,132,33,34,61,31,28,11,40,38,65,113
2020,11,30,"1,530",410,575,125,44,22,46,29,21,24,30,38,56,110
2020,11,40,"2,639",723,"1,032",182,55,44,105,41,34,31,65,67,95,165
2020,11,50,"3,904",859,"1,111",340,153,110,169,104,74,75,161,126,260,362
2020,11,60,"5,227","1,032","1,076",529,264,190,279,170,145,163,270,255,369,485
2020,11,70,"4,476",850,778,536,261,185,283,160,142,147,214,218,304,398
2020,11,80,"3,343",454,519,371,278,174,265,163,155,121,212,203,226,202
2020,11,90,640,74,110,68,48,44,51,24,23,23,45,45,51,34
2020,11,100,34,5,5,4,3,1,3,1,1,1,3,2,4,1
2020,12,총,"26,252","5,573","7,035","2,463","1,172",856,"1,355",780,656,619,"1,094","1,058","1,499","2,092"
2020,12,0,"1,148",281,509,77,20,18,34,26,13,10,22,21,21,96
2020,12,10,"1,680",417,727,107,20,29,58,35,26,10,32,44,51,124
2020,12,20,"1,630",462,590,126,32,35,62,30,26,12,39,37,64,115
2020,12,30,"1,526",415,571,122,41,22,43,29,22,23,28,39,59,112
2020,12,40,"2,639",723,"1,034",184,56,44,106,39,32,31,67,67,91,165
2020,12,50,"3,894",858,"1,101",339,154,115,169,105,74,75,161,130,257,356
2020,12,60,"5,247","1,040","1,097",531,264,188,276,170,143,164,272,250,370,482
2020,12,70,"4,475",846,774,527,259,186,290,160,142,148,214,221,306,402
2020,12,80,"3,340",451,518,377,276,174,264,162,154,121,211,201,227,204
2020,12,90,639,75,109,69,47,44,50,23,23,24,45,46,49,35
2020,12,100,34,5,5,4,3,1,3,1,1,1,3,2,4,1
2021,1,총,"26,194","5,565","7,014","2,461","1,176",856,"1,347",778,660,616,"1,088","1,054","1,487","2,092"
2021,1,0,"1,136",276,503,78,22,18,33,25,13,10,22,21,21,94
2021,1,10,"1,670",407,719,107,23,31,58,37,26,10,31,42,52,127
2021,1,20,"1,622",466,589,125,31,35,60,28,26,12,37,35,66,112
2021,1,30,"1,512",409,566,121,45,21,43,30,23,23,27,38,54,112
2021,1,40,"2,627",728,"1,019",181,55,47,104,40,31,29,66,68,91,168
2021,1,50,"3,874",854,"1,104",341,150,114,169,103,77,77,161,129,245,350
2021,1,60,"5,259","1,041","1,106",531,263,187,275,169,142,162,271,252,373,487
2021,1,70,"4,456",848,769,521,259,186,285,160,142,145,213,221,308,399
2021,1,80,"3,366",456,525,381,279,174,268,160,156,122,213,200,226,206
2021,1,90,638,75,109,71,46,42,49,25,23,25,44,46,47,36
2021,1,100,34,5,5,4,3,1,3,1,1,1,3,2,4,1
2021,2,총,"26,150","5,544","6,999","2,453","1,183",853,"1,347",777,665,615,"1,085","1,046","1,484","2,099"
2021,2,0,"1,138",274,505,82,21,19,29,25,14,10,21,21,19,98
2021,2,10,"1,664",409,710,107,23,31,62,37,26,10,33,42,48,126
2021,2,20,"1,603",458,586,121,32,33,59,28,26,12,34,35,66,113
2021,2,30,"1,486",401,560,117,47,21,40,30,25,21,28,38,51,107
2021,2,40,"2,621",723,"1,018",183,56,48,105,38,30,30,65,66,91,168
2021,2,50,"3,871",851,"1,104",341,149,113,169,104,75,75,158,126,250,356
2021,2,60,"5,259","1,037","1,108",525,261,186,280,169,145,164,273,253,372,486
2021,2,70,"4,454",848,769,518,263,186,284,159,144,147,211,217,309,399
2021,2,80,"3,379",460,526,385,282,170,268,160,155,120,216,202,227,208
2021,2,90,641,78,107,70,46,45,48,26,24,25,43,44,48,37
2021,2,100,34,5,6,4,3,1,3,1,1,1,3,2,3,1
2021,3,총,"25,976","5,546","6,928","2,428","1,170",844,"1,324",773,662,610,"1,093","1,042","1,468","2,088"
2021,3,0,"1,125",267,495,83,22,18,31,24,14,10,22,22,19,98
2021,3,10,"1,660",408,712,104,23,31,61,37,26,10,33,43,48,124
2021,3,20,"1,583",461,571,118,33,33,54,28,26,12,36,34,65,112
2021,3,30,"1,472",404,553,114,45,22,38,30,25,21,30,38,49,103
2021,3,40,"2,584",727,996,180,56,48,99,37,29,27,66,64,91,164
2021,3,50,"3,807",846,"1,090",333,148,103,163,96,75,71,154,126,244,358
2021,3,60,"5,284","1,044","1,119",527,253,192,283,174,144,165,277,248,373,485
2021,3,70,"4,415",838,757,519,263,183,280,156,140,148,214,215,304,398
2021,3,80,"3,380",468,523,376,280,168,265,164,158,120,216,206,226,210
2021,3,90,644,78,108,72,46,46,49,26,23,26,43,44,48,35
2021,3,100,22,5,4,2,1,0,1,1,2,0,2,2,1,1
2021,4,총,"25,966","5,543","6,915","2,426","1,177",840,"1,329",771,662,611,"1,090","1,046","1,470","2,086"
2021,4,0,"1,118",266,492,80,22,18,31,24,15,10,22,22,16,100
2021,4,10,"1,658",410,708,105,22,32,61,35,24,11,33,46,48,123
2021,4,20,"1,576",453,570,120,33,33,54,27,27,13,36,36,65,109
2021,4,30,"1,479",409,556,110,47,22,41,30,24,19,30,38,50,103
2021,4,40,"2,572",721,984,183,59,48,99,37,29,28,63,64,92,165
2021,4,50,"3,797",850,"1,081",333,151,102,163,94,76,70,151,125,242,359
2021,4,60,"5,297","1,047","1,127",532,252,193,283,176,144,165,277,248,374,479
2021,4,70,"4,409",832,760,515,262,181,279,159,138,146,216,217,305,399
2021,4,80,"3,384",471,526,371,277,167,267,161,157,123,216,207,228,213
2021,4,90,653,78,107,75,51,44,50,27,26,26,44,41,49,35
2021,4,100,23,6,4,2,1,0,1,1,2,0,2,2,1,1
2021,5,총,"25,953","5,560","6,906","2,417","1,175",835,"1,323",774,660,611,"1,090","1,047","1,468","2,087"
2021,5,0,"1,106",263,489,76,20,18,31,24,15,9,21,23,16,101
2021,5,10,"1,653",408,707,109,22,32,58,35,24,12,34,43,47,122
2021,5,20,"1,578",457,568,119,32,33,55,26,26,12,36,37,66,111
2021,5,30,"1,461",414,544,105,47,22,40,31,24,18,30,37,48,101
2021,5,40,"2,558",711,984,185,60,48,94,37,29,28,62,63,90,167
2021,5,50,"3,802",854,"1,087",327,152,99,167,94,76,71,152,124,243,356
2021,5,60,"5,300","1,055","1,121",533,251,194,285,180,143,165,273,250,374,476
2021,5,70,"4,412",837,764,515,261,180,276,153,133,147,222,218,305,401
2021,5,80,"3,397",477,528,372,276,166,268,161,162,124,213,209,227,214
2021,5,90,664,78,110,75,53,43,48,32,26,25,45,41,51,37
2021,5,100,22,6,4,1,1,0,1,1,2,0,2,2,1,1
2021,6,총,"25,883","5,529","6,887","2,424","1,168",831,"1,321",776,654,611,"1,088","1,053","1,463","2,078"
2021,6,0,"1,096",263,481,76,20,16,31,24,15,9,19,25,15,102
2021,6,10,"1,647",408,703,109,21,30,58,36,24,12,35,43,47,121
2021,6,20,"1,575",461,567,118,30,34,56,26,23,12,35,36,67,110
2021,6,30,"1,453",409,542,107,47,21,39,31,24,18,33,39,48,95
2021,6,40,"2,536",698,981,185,58,47,95,38,28,28,60,63,88,167
2021,6,50,"3,768",832,"1,084",330,149,98,168,93,76,69,152,126,244,347
2021,6,60,"5,311","1,059","1,127",529,251,196,285,181,141,166,270,249,375,482
2021,6,70,"4,409",834,761,520,262,180,275,153,134,147,224,218,302,399
2021,6,80,"3,405",481,529,374,275,166,264,161,162,125,214,212,226,216
2021,6,90,660,78,108,75,54,43,49,32,25,25,44,40,50,37
2021,6,100,23,6,4,1,1,0,1,1,2,0,2,2,1,2
2021,7,총,"25,849","5,533","6,872","2,412","1,168",828,"1,316",772,653,614,"1,091","1,051","1,459","2,080"
2021,7,0,"1,081",267,472,72,19,15,31,24,15,9,19,24,13,101
2021,7,10,"1,644",405,702,105,22,33,59,35,24,12,35,44,48,120
2021,7,20,"1,563",462,568,116,29,32,55,26,22,13,36,32,65,107
2021,7,30,"1,433",406,536,104,45,21,37,31,24,17,33,36,47,96
2021,7,40,"2,545",697,980,188,59,48,97,38,27,29,61,64,88,169
2021,7,50,"3,738",833,"1,085",322,148,95,163,92,76,68,150,128,236,342
2021,7,60,"5,339","1,063","1,128",534,254,194,286,180,141,169,272,248,380,490
2021,7,70,"4,410",836,764,519,260,183,275,150,135,146,224,218,305,395
2021,7,80,"3,412",481,525,375,277,165,265,161,161,125,216,214,227,220
2021,7,90,661,78,108,76,54,41,47,34,26,26,43,41,49,38
2021,7,100,23,5,4,1,1,1,1,1,2,0,2,2,1,2
2021,8,총,"25,833","5,528","6,884","2,413","1,173",824,"1,314",770,650,615,"1,077","1,050","1,455","2,080"
2021,8,0,"1,080",268,473,69,18,15,33,24,14,9,19,24,14,100
2021,8,10,"1,641",399,702,110,24,32,59,35,23,11,35,43,48,120
2021,8,20,"1,551",465,569,109,31,31,53,25,21,14,33,33,60,107
2021,8,30,"1,438",405,534,105,44,22,41,31,24,16,35,35,47,99
2021,8,40,"2,530",692,972,191,61,48,93,37,28,30,58,62,89,169
2021,8,50,"3,721",829,"1,092",324,147,94,162,93,73,68,145,127,232,335
2021,8,60,"5,346","1,066","1,135",534,254,194,287,178,143,167,269,246,380,493
2021,8,70,"4,395",829,770,511,262,181,271,150,133,150,220,221,306,391
2021,8,80,"3,442",491,526,382,275,166,267,162,162,124,216,214,229,228
2021,8,90,666,79,107,77,56,40,47,34,27,26,45,43,49,36
2021,8,100,23,5,4,1,1,1,1,1,2,0,2,2,1,2
2021,9,총,"25,800","5,527","6,875","2,415","1,165",819,"1,311",766,648,613,"1,077","1,056","1,455","2,073"
2021,9,0,"1,078",266,473,70,18,15,33,24,14,9,19,23,13,101
2021,9,10,"1,626",393,699,109,24,30,58,35,21,11,36,43,48,119
2021,9,20,"1,547",471,561,111,32,32,49,24,22,14,33,36,58,104
2021,9,30,"1,428",401,531,101,44,21,41,31,25,16,34,34,51,98
2021,9,40,"2,519",690,969,192,59,48,93,37,28,30,59,61,87,166
2021,9,50,"3,720",831,"1,088",327,146,94,162,92,73,68,145,129,230,335
2021,9,60,"5,352","1,070","1,147",531,251,193,288,178,145,165,268,245,383,488
2021,9,70,"4,395",834,771,514,262,180,267,149,130,151,218,221,303,395
2021,9,80,"3,444",486,527,381,272,165,270,161,163,123,219,219,231,227
2021,9,90,670,80,106,78,56,40,49,34,26,26,44,43,50,38
2021,9,100,21,5,3,1,1,1,1,1,1,0,2,2,1,2
2021,10,총,"25,748","5,534","6,847","2,415","1,157",817,"1,310",763,648,608,"1,073","1,055","1,452","2,069"
2021,10,0,"1,069",268,467,67,18,15,34,22,13,9,19,23,11,103
2021,10,10,"1,616",395,691,107,24,29,57,36,22,11,35,43,48,118
2021,10,20,"1,535",467,554,114,32,31,50,22,22,14,32,37,57,103
2021,10,30,"1,433",407,529,100,43,22,42,31,25,15,34,34,51,100
2021,10,40,"2,502",679,967,194,57,48,93,35,29,29,59,60,88,164
2021,10,50,"3,710",843,"1,090",327,142,93,162,95,71,68,146,123,223,327
2021,10,60,"5,344","1,072","1,136",532,250,192,284,178,146,163,268,248,386,489
2021,10,70,"4,390",826,774,514,260,181,269,146,128,151,218,222,306,395
2021,10,80,"3,451",490,528,382,276,165,268,163,163,123,215,219,230,229
2021,10,90,676,81,108,77,54,40,50,34,28,25,45,44,51,39
2021,10,100,22,6,3,1,1,1,1,1,1,0,2,2,1,2
2021,11,총,"25,720","5,532","6,837","2,406","1,155",821,"1,313",761,645,608,"1,071","1,052","1,445","2,074"
2021,11,0,"1,055",264,461,66,18,15,33,23,13,9,19,21,13,100
2021,11,10,"1,627",400,697,109,24,29,58,34,20,11,35,44,47,119
2021,11,20,"1,529",471,549,113,33,32,47,24,22,12,33,37,55,101
2021,11,30,"1,416",398,527,96,42,21,45,32,24,16,34,32,50,99
2021,11,40,"2,495",679,963,197,56,49,93,35,29,30,55,59,84,166
2021,11,50,"3,708",844,"1,089",325,141,92,163,91,70,69,147,125,226,326
2021,11,60,"5,348","1,069","1,136",525,250,196,286,181,147,164,273,245,385,491
2021,11,70,"4,378",826,776,511,257,181,267,144,129,147,217,224,302,397
2021,11,80,"3,466",493,529,387,279,165,270,162,162,124,212,219,231,233
2021,11,90,677,82,108,76,54,40,50,34,28,26,44,44,51,40
2021,11,100,21,6,2,1,1,1,1,1,1,0,2,2,1,2
2021,12,총,"25,664","5,522","6,822","2,403","1,154",819,"1,304",764,646,605,"1,071","1,046","1,444","2,064"
2021,12,0,"1,043",263,454,66,18,15,33,22,14,9,19,20,12,98
2021,12,10,"1,624",400,694,111,24,27,57,34,20,10,35,45,47,120
2021,12,20,"1,495",456,537,113,30,32,44,24,23,12,34,33,54,103
2021,12,30,"1,415",399,524,94,44,21,47,33,24,17,34,32,50,96
2021,12,40,"2,486",682,968,196,56,45,90,32,28,30,55,58,82,164
2021,12,50,"3,699",846,"1,088",322,137,92,160,96,69,69,145,124,228,323
2021,12,60,"5,349","1,066","1,139",522,252,196,288,182,145,163,274,247,386,489
2021,12,70,"4,366",830,769,508,255,184,263,143,131,148,213,224,302,396
2021,12,80,"3,475",490,537,391,282,166,270,163,164,118,214,217,230,233
2021,12,90,692,86,110,79,55,40,51,34,27,29,46,44,52,39
2021,12,100,20,4,2,1,1,1,1,1,1,0,2,2,1,3
