년도,월,나이,충청북도,청주시,상당구,서원구,흥덕구,청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군
2020,11,0,"60,517","36,476","7,944","6,867","11,849","9,816","7,215","4,299",710,"1,251","1,155","1,593","3,749",644,"2,844",581
2020,11,10,"71,836","41,470","9,483","9,827","12,771","9,389","9,115","5,682",987,"1,839","1,650","1,618","3,871",969,"3,700",935
2020,11,20,"88,141","54,456","11,222","13,012","18,728","11,494","10,383","6,570",982,"1,905","1,962","1,890","3,896","1,197","3,963",937
2020,11,30,"91,521","56,480","11,224","11,122","19,513","14,621","10,730","6,246","1,003","1,862","1,549","2,122","5,221","1,074","4,276",958
2020,11,40,"116,263","67,499","15,271","15,658","21,265","15,305","15,096","8,973","1,465","2,907","2,464","2,575","6,122","1,635","6,027","1,500"
2020,11,50,"133,140","69,031","16,518","17,495","21,484","13,534","18,479","11,758","2,660","4,187","3,994","2,872","6,257","3,373","7,878","2,651"
2020,11,60,"110,679","49,151","11,961","12,974","13,928","10,288","15,737","11,399","3,304","4,806","4,490","2,486","5,016","4,061","7,150","3,079"
2020,11,70,"66,233","26,178","6,859","6,947","6,600","5,772","9,711","6,808","2,551","3,434","3,658","1,475","3,008","2,894","4,353","2,163"
2020,11,80,"42,876","15,512","4,111","3,932","3,861","3,608","6,464","3,939","2,050","2,480","2,550",977,"2,290","2,149","3,075","1,390"
2020,11,90,"7,164","2,708",760,697,662,589,979,651,391,434,404,130,374,343,536,214
2020,11,100,407,138,43,31,30,34,54,51,27,20,28,7,15,23,31,13
2020,12,총,"789,246","419,145","95,554","98,025","130,908","94,658","103,913","66,313","16,120","25,038","23,851","17,678","39,882","19,168","43,765","14,373"
2020,12,0,"60,303","36,361","7,928","6,773","11,872","9,788","7,197","4,278",715,"1,239","1,146","1,563","3,735",671,"2,824",574
2020,12,10,"71,676","41,371","9,486","9,746","12,753","9,386","9,097","5,655",982,"1,822","1,624","1,609","3,858","1,034","3,689",935
2020,12,20,"88,360","54,533","11,236","12,952","18,796","11,549","10,428","6,557",987,"1,895","1,954","1,882","3,901","1,352","3,951",920
2020,12,30,"91,394","56,420","11,253","10,998","19,514","14,655","10,674","6,218","1,001","1,854","1,545","2,109","5,229","1,164","4,236",944
2020,12,40,"116,220","67,422","15,282","15,520","21,291","15,329","15,071","8,954","1,446","2,887","2,455","2,571","6,151","1,747","6,019","1,497"
2020,12,50,"132,842","68,834","16,509","17,377","21,428","13,520","18,379","11,731","2,662","4,163","3,973","2,852","6,240","3,522","7,854","2,632"
2020,12,60,"111,608","49,598","12,064","13,071","14,064","10,399","15,854","11,444","3,318","4,832","4,510","2,491","5,070","4,202","7,194","3,095"
2020,12,70,"66,247","26,194","6,871","6,931","6,613","5,779","9,673","6,820","2,542","3,427","3,659","1,476","3,008","2,944","4,345","2,159"
2020,12,80,"43,030","15,570","4,121","3,938","3,885","3,626","6,505","3,961","2,051","2,475","2,552",988,"2,297","2,160","3,082","1,389"
2020,12,90,"7,158","2,705",760,688,664,593,980,644,389,423,404,131,378,350,539,215
2020,12,100,408,137,44,31,28,34,55,51,27,21,29,6,15,22,32,13
2021,1,총,"788,601","419,497","96,245","97,752","131,094","94,406","103,870","66,126","16,093","25,021","23,743","17,682","39,912","18,636","43,698","14,323"
2021,1,0,"59,831","36,143","7,976","6,658","11,832","9,677","7,127","4,221",707,"1,230","1,136","1,552","3,716",645,"2,789",565
2021,1,10,"71,505","41,357","9,521","9,719","12,764","9,353","9,089","5,611",978,"1,822","1,606","1,613","3,844",987,"3,679",919
2021,1,20,"88,026","54,534","11,326","12,888","18,806","11,514","10,360","6,497",973,"1,870","1,916","1,880","3,924","1,240","3,928",904
2021,1,30,"91,147","56,409","11,369","10,931","19,527","14,582","10,673","6,159",995,"1,854","1,534","2,088","5,194","1,090","4,217",934
2021,1,40,"115,922","67,374","15,373","15,409","21,299","15,293","15,024","8,910","1,446","2,874","2,427","2,572","6,164","1,663","5,986","1,482"
2021,1,50,"132,569","68,817","16,563","17,329","21,445","13,480","18,346","11,701","2,641","4,158","3,964","2,849","6,252","3,385","7,831","2,625"
2021,1,60,"112,494","50,128","12,272","13,179","14,186","10,491","15,981","11,524","3,338","4,861","4,515","2,514","5,107","4,169","7,243","3,114"
2021,1,70,"66,291","26,263","6,892","6,939","6,649","5,783","9,690","6,823","2,532","3,426","3,653","1,478","3,013","2,912","4,346","2,155"
2021,1,80,"43,191","15,609","4,140","3,969","3,895","3,605","6,539","3,977","2,064","2,478","2,557",994,"2,300","2,174","3,098","1,401"
2021,1,90,"7,216","2,724",770,697,662,595,987,651,393,427,406,136,384,349,549,210
2021,1,100,409,139,43,34,29,33,54,52,26,21,29,6,14,22,32,14
2021,2,총,"788,371","419,791","97,106","97,414","131,024","94,247","103,784","66,008","16,090","25,043","23,627","17,605","40,066","18,488","43,604","14,265"
2021,2,0,"59,615","36,061","8,059","6,607","11,777","9,618","7,089","4,202",707,"1,234","1,120","1,524","3,712",655,"2,754",557
2021,2,10,"71,264","41,307","9,580","9,663","12,722","9,342","9,030","5,567",968,"1,801","1,595","1,605","3,858",968,"3,656",909
2021,2,20,"87,695","54,428","11,405","12,831","18,767","11,425","10,350","6,435",964,"1,858","1,864","1,867","3,936","1,203","3,896",894
2021,2,30,"90,738","56,302","11,507","10,794","19,464","14,537","10,582","6,101",977,"1,853","1,518","2,059","5,212","1,066","4,159",909
2021,2,40,"115,903","67,441","15,498","15,361","21,320","15,262","14,993","8,889","1,450","2,882","2,417","2,557","6,188","1,637","5,978","1,471"
2021,2,50,"132,351","68,781","16,706","17,246","21,415","13,414","18,310","11,694","2,631","4,144","3,915","2,856","6,254","3,338","7,812","2,616"
2021,2,60,"113,428","50,589","12,458","13,251","14,305","10,575","16,132","11,573","3,375","4,905","4,546","2,530","5,180","4,167","7,301","3,130"
2021,2,70,"66,221","26,282","6,904","6,954","6,638","5,786","9,655","6,833","2,523","3,410","3,649","1,477","3,010","2,891","4,345","2,146"
2021,2,80,"43,465","15,724","4,170","3,969","3,922","3,663","6,597","4,016","2,072","2,497","2,561",989,"2,309","2,188","3,107","1,405"
2021,2,90,"7,272","2,731",775,704,663,589,990,645,397,438,413,135,393,354,563,213
2021,2,100,419,145,44,34,31,36,56,53,26,21,29,6,14,21,33,15
2021,3,총,"786,257","419,116","97,178","97,071","130,787","94,080","103,392","65,984","15,971","24,959","23,370","17,525","40,017","18,276","43,425","14,222"
2021,3,0,"59,362","35,916","8,056","6,536","11,735","9,589","7,077","4,171",694,"1,232","1,103","1,515","3,711",644,"2,741",558
2021,3,10,"70,961","41,156","9,550","9,604","12,685","9,317","8,956","5,542",962,"1,801","1,573","1,603","3,881",956,"3,630",901
2021,3,20,"87,430","54,377","11,416","12,822","18,702","11,437","10,281","6,476",957,"1,844","1,813","1,845","3,916","1,162","3,875",884
2021,3,30,"90,285","56,063","11,513","10,704","19,397","14,449","10,534","6,074",956,"1,850","1,510","2,041","5,182","1,041","4,129",905
2021,3,40,"115,285","67,187","15,463","15,256","21,269","15,199","14,887","8,841","1,443","2,857","2,356","2,555","6,193","1,580","5,934","1,452"
2021,3,50,"131,460","68,487","16,677","17,159","21,299","13,352","18,162","11,645","2,591","4,085","3,846","2,822","6,198","3,296","7,755","2,573"
2021,3,60,"114,491","51,148","12,636","13,357","14,449","10,706","16,280","11,683","3,389","4,941","4,562","2,548","5,239","4,170","7,361","3,170"
2021,3,70,"65,921","26,197","6,876","6,938","6,644","5,739","9,586","6,812","2,506","3,402","3,619","1,468","2,992","2,875","4,327","2,137"
2021,3,80,"43,581","15,788","4,196","3,981","3,932","3,679","6,605","4,054","2,066","2,495","2,575",996,"2,304","2,190","3,097","1,411"
2021,3,90,"7,235","2,711",767,697,660,587,995,644,392,438,402,131,391,349,563,219
2021,3,100,246,86,28,17,15,26,29,42,15,14,11,1,10,13,13,12
2021,4,총,"786,624","419,367","97,266","97,326","130,648","94,127","103,416","66,046","15,965","24,963","23,319","17,509","40,209","18,237","43,406","14,187"
2021,4,0,"59,143","35,815","8,041","6,532","11,683","9,559","7,053","4,147",694,"1,236","1,099","1,496","3,688",644,"2,720",551
2021,4,10,"70,901","41,047","9,530","9,586","12,624","9,307","8,931","5,560",960,"1,797","1,568","1,596","4,002",948,"3,594",898
2021,4,20,"87,475","54,445","11,453","12,851","18,707","11,434","10,246","6,484",964,"1,843","1,807","1,841","3,935","1,149","3,882",879
2021,4,30,"90,208","56,062","11,505","10,760","19,370","14,427","10,570","6,047",946,"1,843","1,490","2,039","5,186","1,022","4,103",900
2021,4,40,"115,167","67,162","15,462","15,261","21,227","15,212","14,843","8,827","1,448","2,857","2,340","2,550","6,197","1,569","5,933","1,441"
2021,4,50,"131,160","68,383","16,650","17,174","21,223","13,336","18,108","11,615","2,573","4,060","3,829","2,823","6,197","3,256","7,753","2,563"
2021,4,60,"115,467","51,616","12,755","13,493","14,567","10,801","16,424","11,771","3,408","4,961","4,598","2,573","5,305","4,209","7,419","3,183"
2021,4,70,"65,745","26,143","6,849","6,949","6,623","5,722","9,572","6,795","2,479","3,397","3,597","1,462","2,981","2,882","4,309","2,128"
2021,4,80,"43,812","15,865","4,216","3,996","3,944","3,709","6,639","4,101","2,085","2,513","2,575",997,"2,312","2,187","3,121","1,417"
2021,4,90,"7,301","2,741",777,706,667,591,"1,005",654,393,444,406,131,397,358,557,215
2021,4,100,245,88,28,18,13,29,25,45,15,12,10,1,9,13,15,12
2021,5,총,"787,009","419,789","97,381","97,465","130,724","94,219","103,443","66,061","15,944","24,962","23,271","17,511","40,247","18,186","43,391","14,204"
2021,5,0,"58,927","35,705","8,021","6,514","11,622","9,548","7,021","4,128",688,"1,231","1,089","1,483","3,679",633,"2,720",550
2021,5,10,"70,818","40,991","9,517","9,561","12,606","9,307","8,923","5,553",959,"1,784","1,562","1,594","4,022",952,"3,581",897
2021,5,20,"87,476","54,506","11,480","12,886","18,708","11,432","10,218","6,516",953,"1,832","1,790","1,838","3,915","1,138","3,886",884
2021,5,30,"90,066","56,021","11,493","10,748","19,404","14,376","10,568","6,024",943,"1,850","1,478","2,034","5,170","1,011","4,069",898
2021,5,40,"114,841","67,027","15,409","15,248","21,151","15,219","14,784","8,779","1,435","2,815","2,332","2,546","6,207","1,558","5,928","1,430"
2021,5,50,"131,140","68,485","16,718","17,172","21,241","13,354","18,106","11,592","2,556","4,066","3,811","2,821","6,205","3,231","7,732","2,535"
2021,5,60,"116,476","52,097","12,844","13,639","14,711","10,903","16,558","11,867","3,448","5,001","4,623","2,602","5,347","4,226","7,475","3,232"
2021,5,70,"65,658","26,149","6,845","6,942","6,628","5,734","9,552","6,782","2,467","3,400","3,581","1,459","2,978","2,861","4,300","2,129"
2021,5,80,"44,025","15,967","4,252","4,023","3,967","3,725","6,673","4,120","2,088","2,518","2,587","1,002","2,316","2,205","3,132","1,417"
2021,5,90,"7,332","2,750",773,714,672,591,"1,013",655,393,453,408,131,399,359,552,219
2021,5,100,250,91,29,18,14,30,27,45,14,12,10,1,9,12,16,13
2021,6,총,"787,278","420,322","97,448","97,364","131,329","94,181","103,536","65,864","15,908","24,934","23,220","17,480","40,287","18,150","43,420","14,157"
2021,6,0,"58,753","35,638","8,014","6,461","11,679","9,484","7,006","4,105",681,"1,229","1,080","1,472","3,671",623,"2,698",550
2021,6,10,"70,763","40,943","9,481","9,520","12,650","9,292","8,924","5,547",958,"1,780","1,559","1,592","4,031",949,"3,590",890
2021,6,20,"87,479","54,557","11,465","12,876","18,753","11,463","10,213","6,509",949,"1,818","1,772","1,832","3,908","1,129","3,897",895
