년도,월,나이,단양군,단양읍,매포읍,대강면,가곡면,영춘면,어상천면,적성면,단성면
2021,7,총,"14,103","5,195","2,558","1,236",964,"1,691",852,738,869
2021,7,0,539,295,115,32,19,36,17,12,13
2021,7,10,891,447,179,49,48,78,21,18,51
2021,7,20,885,477,163,61,45,44,23,33,39
2021,7,30,869,461,172,40,32,64,31,28,41
2021,7,40,"1,411",687,284,81,70,149,49,40,51
2021,7,50,"2,519",894,433,215,185,336,175,124,157
2021,7,60,"3,236",966,533,328,274,453,250,208,224
2021,7,70,"2,117",567,410,230,159,300,158,141,152
2021,7,80,"1,413",342,236,166,114,197,116,118,124
2021,7,90,212,55,33,32,16,34,12,15,15
2021,7,100,11,4,0,2,2,0,0,1,2
2021,8,총,"14,066","5,193","2,544","1,235",967,"1,678",849,737,863
2021,8,0,533,297,110,32,20,33,17,11,13
2021,8,10,882,444,176,46,48,77,22,18,51
2021,8,20,873,473,161,62,46,43,23,30,35
2021,8,30,861,459,169,41,31,63,30,27,41
2021,8,40,"1,402",683,280,84,69,146,50,39,51
2021,8,50,"2,519",892,437,213,186,332,175,127,157
2021,8,60,"3,236",972,530,329,276,452,248,207,222
2021,8,70,"2,119",565,411,229,159,303,158,142,152
2021,8,80,"1,416",348,237,165,115,193,113,120,125
2021,8,90,214,56,33,32,15,36,13,15,14
2021,8,100,11,4,0,2,2,0,0,1,2
2021,9,총,"14,025","5,182","2,536","1,235",962,"1,673",843,738,856
2021,9,0,529,291,107,33,20,35,17,12,14
2021,9,10,878,445,176,45,49,75,20,18,50
2021,9,20,864,468,166,61,41,40,23,31,34
2021,9,30,853,453,163,41,35,64,30,27,40
2021,9,40,"1,399",680,281,87,68,145,50,38,50
2021,9,50,"2,505",896,432,209,183,326,174,129,156
2021,9,60,"3,245",974,529,334,277,457,246,206,222
2021,9,70,"2,106",564,408,224,158,302,157,141,152
2021,9,80,"1,420",348,241,167,114,194,113,120,123
2021,9,90,215,59,33,32,15,34,13,15,14
2021,9,100,11,4,0,2,2,1,0,1,1
2021,10,총,"14,008","5,168","2,534","1,235",967,"1,675",838,738,853
2021,10,0,526,289,105,33,20,35,17,12,15
2021,10,10,876,444,178,45,49,76,20,15,49
2021,10,20,860,467,161,61,43,40,22,31,35
2021,10,30,848,447,163,42,34,63,32,27,40
2021,10,40,"1,397",675,285,89,68,145,48,37,50
2021,10,50,"2,481",884,429,208,180,327,173,127,153
2021,10,60,"3,276",991,534,333,281,458,244,212,223
2021,10,70,"2,096",561,405,222,160,300,157,140,151
2021,10,80,"1,424",349,241,167,114,197,112,121,123
2021,10,90,214,57,33,33,17,33,13,15,13
2021,10,100,10,4,0,2,1,1,0,1,1
2021,11,총,"13,976","5,168","2,515","1,231",961,"1,670",834,746,851
2021,11,0,519,293,101,33,16,34,16,12,14
2021,11,10,868,445,178,43,49,75,18,15,45
2021,11,20,860,468,161,60,43,39,24,31,34
2021,11,30,829,437,158,42,32,62,31,27,40
2021,11,40,"1,392",675,286,87,68,143,47,37,49
2021,11,50,"2,478",887,424,207,180,326,173,126,155
2021,11,60,"3,279",991,528,334,283,460,242,218,223
2021,11,70,"2,099",561,408,219,158,300,156,142,155
2021,11,80,"1,425",349,237,170,114,198,114,122,121
2021,11,90,217,58,34,34,17,32,13,15,14
2021,11,100,10,4,0,2,1,1,0,1,1
2021,12,총,"13,971","5,166","2,516","1,224",967,"1,662",838,744,854
2021,12,0,517,296,101,31,16,31,16,12,14
2021,12,10,861,442,177,45,51,73,17,14,42
2021,12,20,868,469,167,57,43,39,26,31,36
2021,12,30,830,436,159,42,32,63,30,28,40
2021,12,40,"1,377",668,282,85,69,141,47,36,49
2021,12,50,"2,493",894,423,208,179,329,179,125,156
2021,12,60,"3,282",984,530,336,286,457,243,220,226
2021,12,70,"2,086",564,405,215,159,295,154,139,155
2021,12,80,"1,430",349,241,170,114,202,111,122,121
2021,12,90,218,61,31,34,17,31,15,16,13
2021,12,100,9,3,0,1,1,1,0,1,2
