년도,월,나이,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020,5,50,"3,079",570,93,66,151,255,194,406,559,556,70,159
2020,5,60,"3,379",575,162,95,206,257,197,436,614,479,145,213
2020,5,70,"3,038",489,147,127,275,297,200,316,478,340,145,224
2020,5,80,"2,555",395,169,127,220,230,126,214,412,324,110,228
2020,5,90,422,78,20,23,37,43,23,37,60,48,28,25
2020,5,100,15,4,0,0,2,2,0,1,3,2,0,1
2020,6,총,"17,904","3,565",736,555,"1,069","1,495",937,"2,111","2,822","2,925",627,"1,062"
2020,6,0,681,205,22,20,16,46,16,72,67,170,21,26
2020,6,10,"1,004",258,18,19,43,73,36,133,99,252,23,50
2020,6,20,"1,073",269,33,23,37,86,42,151,156,219,20,37
2020,6,30,"1,038",324,22,21,39,80,27,114,143,207,27,34
2020,6,40,"1,586",403,46,33,43,121,75,226,212,327,35,65
2020,6,50,"3,090",568,95,67,148,258,197,409,571,548,72,157
2020,6,60,"3,402",573,164,94,208,264,196,438,618,487,144,216
2020,6,70,"3,038",492,147,127,274,297,197,317,480,339,146,222
2020,6,80,"2,552",391,170,128,220,226,128,213,412,326,110,228
2020,6,90,424,78,19,23,39,42,23,37,60,48,29,26
2020,6,100,16,4,0,0,2,2,0,1,4,2,0,1
2020,7,총,"17,881","3,548",736,558,"1,069","1,494",934,"2,111","2,823","2,928",626,"1,054"
2020,7,0,672,202,22,20,17,44,15,72,68,169,21,22
2020,7,10,985,259,17,19,43,72,34,127,93,250,23,48
2020,7,20,"1,070",265,34,23,38,81,44,151,160,218,19,37
2020,7,30,"1,031",321,21,21,39,83,28,110,142,206,27,33
2020,7,40,"1,583",401,48,36,43,120,72,228,208,325,38,64
2020,7,50,"3,095",564,94,68,146,261,201,412,576,550,68,155
2020,7,60,"3,423",574,164,93,210,266,197,443,622,490,147,217
2020,7,70,"3,026",491,147,127,272,295,192,315,478,340,146,223
2020,7,80,"2,564",394,170,128,220,227,129,216,411,330,111,228
2020,7,90,415,73,19,23,39,43,21,36,61,48,26,26
2020,7,100,17,4,0,0,2,2,1,1,4,2,0,1
2020,8,총,"17,868","3,547",732,551,"1,069","1,484",934,"2,110","2,823","2,932",628,"1,058"
2020,8,0,664,200,22,18,17,43,15,71,66,169,21,22
2020,8,10,981,256,16,19,40,71,33,126,93,257,23,47
2020,8,20,"1,073",266,31,22,40,77,46,151,160,220,21,39
2020,8,30,"1,019",320,22,20,39,83,27,108,135,203,28,34
2020,8,40,"1,581",405,47,33,44,116,70,229,214,322,36,65
2020,8,50,"3,080",560,93,68,144,255,198,410,578,552,69,153
2020,8,60,"3,453",578,163,93,216,271,200,446,624,492,148,222
2020,8,70,"3,011",487,147,127,270,293,193,314,474,340,144,222
2020,8,80,"2,567",396,169,128,220,230,131,218,412,325,113,225
2020,8,90,421,75,22,23,37,43,20,36,63,50,25,27
2020,8,100,18,4,0,0,2,2,1,1,4,2,0,2
2020,9,총,"17,799","3,534",729,549,"1,062","1,478",930,"2,097","2,814","2,923",624,"1,059"
2020,9,0,652,195,23,20,18,41,15,70,64,163,21,22
2020,9,10,976,256,15,18,40,73,33,126,93,254,22,46
2020,9,20,"1,058",263,32,22,38,72,46,148,156,221,21,39
2020,9,30,"1,004",316,20,21,38,86,26,104,135,196,28,34
2020,9,40,"1,574",404,49,32,41,117,70,223,217,323,34,64
2020,9,50,"3,048",564,94,66,144,248,190,403,563,554,70,152
2020,9,60,"3,472",574,160,96,215,272,202,453,634,496,147,223
2020,9,70,"3,001",486,148,124,270,292,195,312,471,340,143,220
2020,9,80,"2,566",395,166,127,219,231,131,221,410,324,113,229
2020,9,90,431,77,22,23,37,44,21,36,68,50,25,28
2020,9,100,17,4,0,0,2,2,1,1,3,2,0,2
2020,10,총,"17,762","3,532",726,554,"1,061","1,466",929,"2,102","2,804","2,910",622,"1,056"
2020,10,0,640,190,22,21,18,41,13,69,63,160,21,22
2020,10,10,970,261,15,18,39,71,32,127,92,251,22,42
2020,10,20,"1,053",261,33,22,38,71,45,145,157,217,21,43
2020,10,30,"1,000",312,21,21,38,85,26,107,133,197,26,34
2020,10,40,"1,565",401,48,33,43,113,71,220,217,321,34,64
2020,10,50,"3,036",563,93,66,141,243,189,405,559,558,69,150
2020,10,60,"3,485",582,158,97,214,274,203,457,633,494,148,225
2020,10,70,"2,999",486,150,126,270,290,195,312,472,343,140,215
2020,10,80,"2,570",392,164,127,222,233,133,223,409,320,116,231
2020,10,90,427,80,22,22,36,43,21,36,66,48,25,28
2020,10,100,17,4,0,1,2,2,1,1,3,1,0,2
2020,11,총,"17,758","3,538",724,554,"1,057","1,458",928,"2,099","2,807","2,915",618,"1,060"
2020,11,0,635,190,22,22,17,38,12,67,63,162,21,21
2020,11,10,965,260,14,17,38,71,31,127,92,250,22,43
2020,11,20,"1,052",265,34,22,39,73,46,144,155,212,19,43
2020,11,30,997,314,21,22,36,83,26,105,131,198,27,34
2020,11,40,"1,560",401,46,33,43,113,70,215,216,323,35,65
2020,11,50,"3,019",562,92,64,137,242,188,404,557,556,67,150
2020,11,60,"3,504",586,159,98,216,272,202,464,641,496,145,225
2020,11,70,"2,995",486,149,126,269,290,193,311,469,348,137,217
2020,11,80,"2,580",389,164,126,224,231,138,224,410,323,120,231
2020,11,90,435,81,23,23,37,43,21,37,70,46,25,29
2020,11,100,16,4,0,1,1,2,1,1,3,1,0,2
2020,12,총,"17,747","3,534",721,554,"1,056","1,463",933,"2,102","2,785","2,915",621,"1,063"
2020,12,0,632,188,22,21,17,37,11,67,62,165,21,21
2020,12,10,969,259,14,17,38,71,33,128,96,248,23,42
2020,12,20,"1,067",271,32,23,42,77,46,144,150,216,22,44
2020,12,30,985,308,22,21,35,83,26,105,129,198,22,36
2020,12,40,"1,556",402,46,32,41,114,70,214,213,322,37,65
2020,12,50,"3,006",558,92,68,135,235,190,406,550,555,68,149
2020,12,60,"3,515",587,158,98,220,280,202,470,634,496,146,224
2020,12,70,"2,982",484,146,125,266,290,194,308,470,344,137,218
2020,12,80,"2,585",390,167,125,226,232,138,222,409,323,120,233
2020,12,90,434,83,22,23,35,42,22,37,69,47,25,29
2020,12,100,16,4,0,1,1,2,1,1,3,1,0,2
2021,1,총,"17,724","3,543",719,555,"1,050","1,461",928,"2,102","2,776","2,908",619,"1,063"
2021,1,0,620,183,22,21,17,38,11,64,61,163,19,21
2021,1,10,961,257,14,17,37,71,31,129,94,245,24,42
2021,1,20,"1,060",273,32,23,40,78,45,144,151,208,22,44
2021,1,30,974,309,21,22,35,79,24,104,126,198,22,34
2021,1,40,"1,554",405,45,32,40,109,68,212,215,326,37,65
2021,1,50,"2,992",557,90,67,137,236,190,411,540,547,67,150
2021,1,60,"3,551",594,161,99,219,280,208,469,644,504,148,225
2021,1,70,"2,955",478,145,125,267,290,191,307,464,339,131,218
2021,1,80,"2,600",399,165,125,224,231,137,224,409,329,125,232
2021,1,90,441,84,24,23,33,47,22,37,69,48,24,30
2021,1,100,16,4,0,1,1,2,1,1,3,1,0,2
2021,2,총,"17,706","3,546",712,558,"1,053","1,460",924,"2,101","2,774","2,904",615,"1,059"
2021,2,0,617,182,21,22,17,37,9,65,60,164,19,21
2021,2,10,958,259,13,17,36,71,29,128,94,247,23,41
2021,2,20,"1,036",262,29,22,41,75,44,143,150,205,23,42
2021,2,30,972,309,21,24,35,78,24,103,123,199,22,34
2021,2,40,"1,559",409,45,34,44,105,67,214,215,324,37,65
2021,2,50,"2,971",562,87,66,134,235,185,409,538,540,66,149
2021,2,60,"3,576",593,163,101,221,285,215,471,645,509,148,225
2021,2,70,"2,939",481,145,122,258,291,187,304,465,338,131,217
2021,2,80,"2,607",400,163,126,228,233,141,224,407,328,123,234
2021,2,90,453,84,25,23,38,48,22,39,73,49,23,29
2021,2,100,18,5,0,1,1,2,1,1,4,1,0,2
2021,3,총,"17,628","3,510",710,557,"1,051","1,453",925,"2,102","2,776","2,876",620,"1,048"
2021,3,0,611,181,21,20,17,37,9,62,63,161,20,20
2021,3,10,963,257,14,18,36,73,27,128,96,251,22,41
2021,3,20,"1,021",266,27,23,40,67,44,143,145,203,22,41
2021,3,30,969,300,22,24,36,79,25,102,125,199,24,33
2021,3,40,"1,539",405,45,34,44,107,67,211,212,319,32,63
2021,3,50,"2,922",551,85,65,131,227,185,409,534,525,68,142
2021,3,60,"3,611",592,166,102,223,290,216,477,647,516,155,227
2021,3,70,"2,918",478,142,121,257,288,186,306,468,327,129,216
2021,3,80,"2,603",393,163,126,228,236,144,222,408,326,122,235
2021,3,90,459,84,25,23,38,48,21,41,75,49,26,29
2021,3,100,12,3,0,1,1,1,1,1,3,0,0,1
2021,4,총,"17,620","3,510",708,556,"1,048","1,459",926,"2,098","2,781","2,873",613,"1,048"
2021,4,0,610,182,21,20,17,39,9,62,63,156,20,21
2021,4,10,953,256,12,17,36,74,27,127,96,246,22,40
2021,4,20,"1,016",268,28,23,40,65,45,139,142,203,23,40
2021,4,30,971,301,23,24,36,85,25,102,122,197,24,32
2021,4,40,"1,534",404,44,33,42,107,66,211,214,324,27,62
2021,4,50,"2,910",542,80,65,131,230,184,410,535,524,67,142
2021,4,60,"3,642",599,168,103,222,291,217,481,653,521,157,230
2021,4,70,"2,906",477,144,120,256,284,185,304,468,326,127,215
2021,4,80,"2,605",393,165,125,229,235,145,221,409,327,120,236
2021,4,90,461,85,23,25,38,48,22,40,76,49,26,29
2021,4,100,12,3,0,1,1,1,1,1,3,0,0,1
2021,5,총,"17,625","3,505",712,554,"1,052","1,462",928,"2,094","2,780","2,879",613,"1,046"
2021,5,0,607,180,20,20,16,39,10,59,63,159,20,21
2021,5,10,952,254,13,17,38,73,27,126,96,246,22,40
2021,5,20,"1,023",272,28,22,40,66,46,136,146,202,25,40
2021,5,30,965,296,23,24,37,85,25,103,117,199,25,31
2021,5,40,"1,523",401,45,33,41,108,66,211,210,319,26,63
2021,5,50,"2,897",543,80,63,132,230,182,405,532,523,67,140
2021,5,60,"3,664",598,170,104,223,292,220,487,656,528,154,232
2021,5,70,"2,895",482,143,119,251,280,184,302,465,328,129,212
2021,5,80,"2,623",392,166,126,235,238,145,226,412,326,119,238
2021,5,90,463,84,23,25,38,50,22,38,80,49,26,28
2021,5,100,13,3,1,1,1,1,1,1,3,0,0,1
2021,6,총,"17,595","3,503",715,555,"1,043","1,460",925,"2,099","2,779","2,860",613,"1,043"
2021,6,0,598,181,20,20,15,37,10,59,62,155,20,19
2021,6,10,944,254,13,17,35,74,27,123,94,243,22,42
2021,6,20,"1,011",268,28,22,41,64,44,137,141,203,25,38
2021,6,30,957,295,23,21,33,86,24,103,119,196,25,32
2021,6,40,"1,519",401,45,36,41,108,66,212,209,316,25,60
2021,6,50,"2,893",547,81,62,130,227,180,412,533,516,67,138
2021,6,60,"3,662",598,170,106,224,292,220,484,656,527,154,231
2021,6,70,"2,886",475,142,120,250,279,184,303,466,323,127,217
2021,6,80,"2,644",395,169,125,235,242,147,227,414,331,123,236
2021,6,90,468,86,23,25,38,50,22,38,82,50,25,29
2021,6,100,13,3,1,1,1,1,1,1,3,0,0,1
2021,7,총,"17,582","3,501",716,553,"1,045","1,460",926,"2,101","2,777","2,849",615,"1,039"
2021,7,0,598,179,20,20,15,37,11,59,65,155,19,18
2021,7,10,944,256,13,17,37,75,26,122,93,241,23,41
2021,7,20,"1,008",271,29,20,40,66,42,134,138,204,25,39
2021,7,30,947,292,23,21,33,83,25,102,119,197,23,29
2021,7,40,"1,510",400,43,36,42,111,63,214,205,310,26,60
2021,7,50,"2,884",546,79,60,128,226,184,413,534,508,69,137
2021,7,60,"3,678",598,172,108,227,292,220,488,655,532,155,231
2021,7,70,"2,869",472,143,116,249,276,182,302,466,319,127,217
2021,7,80,"2,663",397,170,127,234,243,150,229,418,334,124,237
2021,7,90,466,87,23,27,39,49,22,37,81,49,24,28
2021,7,100,15,3,1,1,1,2,1,1,3,0,0,2
2021,8,총,"17,563","3,493",717,551,"1,044","1,469",930,"2,086","2,785","2,849",609,"1,030"
2021,8,0,601,180,22,20,15,37,10,59,67,153,19,19
2021,8,10,946,252,13,17,38,76,28,119,96,243,23,41
2021,8,20,993,276,29,19,38,65,38,130,131,205,23,39
2021,8,30,936,286,23,22,32,83,25,102,120,192,24,27
2021,8,40,"1,498",397,43,33,43,110,61,213,207,309,25,57
2021,8,50,"2,877",547,80,60,128,230,185,408,534,501,68,136
2021,8,60,"3,694",595,171,107,227,294,225,488,661,542,153,231
2021,8,70,"2,868",476,143,116,245,275,184,303,464,320,127,215
2021,8,80,"2,666",394,168,128,236,248,151,227,422,334,122,236
2021,8,90,470,87,24,28,41,49,22,36,80,50,25,28
2021,8,100,14,3,1,1,1,2,1,1,3,0,0,1
2021,9,총,"17,503","3,475",718,549,"1,044","1,456",925,"2,074","2,794","2,834",602,"1,032"
2021,9,0,592,178,22,19,15,36,9,60,66,149,19,19
2021,9,10,931,257,12,18,37,73,27,118,95,232,22,40
2021,9,20,963,265,27,19,37,64,38,119,129,206,20,39
2021,9,30,929,284,23,22,32,82,24,102,118,190,24,28
2021,9,40,"1,488",394,42,32,44,109,59,215,208,302,26,57
2021,9,50,"2,876",544,84,59,126,228,187,403,535,507,65,138
2021,9,60,"3,700",597,171,107,230,292,225,484,666,544,152,232
2021,9,70,"2,867",475,143,116,245,267,184,308,469,319,127,214
2021,9,80,"2,669",393,169,128,236,255,148,226,422,334,122,236
2021,9,90,474,85,24,28,41,48,23,38,83,51,25,28
2021,9,100,14,3,1,1,1,2,1,1,3,0,0,1
2021,10,총,"17,481","3,474",713,551,"1,037","1,460",921,"2,067","2,790","2,834",600,"1,034"
2021,10,0,590,177,21,19,13,36,9,60,65,152,19,19
2021,10,10,929,257,12,19,37,74,25,119,96,228,22,40
2021,10,20,963,264,26,19,36,64,40,119,128,208,20,39
2021,10,30,909,278,22,21,30,81,24,100,115,187,23,28
2021,10,40,"1,488",396,43,34,43,111,57,212,207,303,27,55
2021,10,50,"2,862",546,84,60,128,222,187,396,530,506,64,139
2021,10,60,"3,711",595,171,106,229,294,227,488,672,546,151,232
2021,10,70,"2,868",477,141,117,245,271,181,308,466,320,126,216
2021,10,80,"2,673",397,168,127,235,255,147,227,424,333,123,237
2021,10,90,476,84,24,28,41,50,23,38,84,51,25,28
2021,10,100,12,3,1,1,0,2,1,0,3,0,0,1
2021,11,총,"17,471","3,463",715,551,"1,034","1,460",928,"2,051","2,795","2,844",597,"1,033"
2021,11,0,585,177,19,19,14,35,9,54,68,152,19,19
2021,11,10,923,257,11,19,36,73,25,117,98,226,22,39
2021,11,20,968,263,27,18,37,64,42,118,129,213,18,39
2021,11,30,900,274,22,20,30,81,24,98,111,189,23,28
2021,11,40,"1,483",395,44,34,40,107,58,205,210,306,27,57
2021,11,50,"2,847",538,84,60,124,227,189,395,527,504,64,135
2021,11,60,"3,726",599,174,106,231,294,226,490,678,546,151,231
2021,11,70,"2,858",470,142,115,245,266,183,301,467,320,129,220
2021,11,80,"2,695",404,166,131,234,261,148,235,423,337,120,236
2021,11,90,473,83,25,28,43,50,23,37,81,51,24,28
2021,11,100,13,3,1,1,0,2,1,1,3,0,0,1
2021,12,총,"17,429","3,460",714,545,"1,026","1,460",923,"2,048","2,792","2,831",598,"1,032"
2021,12,0,574,179,17,19,12,32,9,52,69,149,17,19
2021,12,10,923,257,12,19,36,73,24,116,99,225,22,40
2021,12,20,965,264,25,17,36,68,41,116,129,210,18,41
2021,12,30,887,274,21,20,30,78,25,95,110,184,21,29
2021,12,40,"1,475",392,45,32,37,108,57,199,210,307,29,59
2021,12,50,"2,852",539,90,59,125,224,188,403,523,504,65,132
2021,12,60,"3,729",592,171,106,229,298,225,495,684,549,153,227
2021,12,70,"2,850",475,143,113,242,263,183,298,466,321,128,218
2021,12,80,"2,676",398,164,131,236,262,147,235,414,330,121,238
2021,12,90,486,88,25,28,43,52,23,38,85,51,24,29
2021,12,100,12,2,1,1,0,2,1,1,3,1,0,0
