년도,월,나이,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2020,2,60,"67,453","32,624","1,538","3,036","2,495","1,030","2,078","2,790","1,654","1,770","2,683","2,774","4,188","1,769","2,242","2,577","34,829","2,678","1,366","3,233","1,945","1,172","4,843","2,227","2,181","1,421","1,794","1,192",746,"3,007","2,852","1,327","1,502","1,343"
2020,2,70,"30,933","15,923",701,"1,545","1,178",640,"1,116","1,339",670,815,"1,327","1,357","2,161",826,"1,243","1,005","15,010","1,050",603,"1,347",871,568,"2,322","1,115",999,573,770,597,281,"1,102",951,700,556,605
2020,2,80,"13,812","6,698",281,594,458,309,545,580,237,310,560,565,896,393,515,455,"7,114",434,233,688,432,341,"1,020",500,474,335,435,291,127,468,411,378,234,313
2020,2,90,"2,015",922,49,83,52,46,61,58,57,50,72,101,118,38,68,69,"1,093",78,41,117,55,48,144,62,53,35,70,49,24,80,71,78,35,53
2020,2,100,169,81,1,10,8,0,5,14,7,4,9,5,8,1,7,2,88,18,10,6,2,1,7,4,4,4,3,1,5,8,7,2,0,6
2020,3,총,"561,966","241,916","12,892","21,648","16,814","7,282","13,201","19,893","16,045","11,161","17,635","20,090","32,393","13,963","15,577","23,322","320,050","22,080","11,225","23,050","17,869","11,357","37,450","19,458","27,548","15,514","24,380","17,064","8,149","22,081","22,239","15,734","13,438","11,414"
2020,3,0,"41,750","16,344","1,005","1,235",950,305,597,"1,098","1,795",528,"1,052","1,521","2,256",997,780,"2,225","25,406","1,925",837,"1,275","1,573",828,"2,361","1,315","2,520","1,443","2,606","1,507",977,"1,534","1,676","1,230",988,811
2020,3,10,"54,677","19,641","1,156","1,571","1,363",511,968,"1,274","1,359",749,"1,356","1,615","2,696","1,440","1,234","2,349","35,036","2,338","1,145","1,905","2,315",788,"3,083","1,498","2,529","1,794","3,803","3,439",753,"1,891","2,152","2,368","1,679","1,556"
2020,3,20,"80,181","35,055","1,939","3,391","2,483","1,066","1,818","2,949","2,086","1,704","2,603","2,658","4,657","2,019","2,186","3,496","45,126","3,011","1,618","3,649","2,177","1,478","6,061","3,022","3,680","2,277","2,665","1,948",973,"3,590","3,336","2,065","2,012","1,564"
2020,3,30,"79,380","33,920","2,019","3,091","2,293",962,"1,657","3,282","2,829","1,590","2,172","2,795","4,298","1,661","1,743","3,528","45,460","2,868","1,433","2,932","2,305","2,469","5,025","3,127","5,945","1,904","3,392","1,290","1,603","3,368","3,080","1,918","1,629","1,172"
2020,3,40,"90,930","36,023","2,059","3,073","2,376","1,062","1,877","2,947","2,643","1,541","2,351","3,099","4,864","2,191","2,357","3,583","54,907","3,653","1,772","3,124","3,437","1,913","5,348","3,023","5,189","2,703","5,403","4,097","1,443","3,064","3,360","3,119","2,253","2,006"
2020,3,50,"100,011","44,355","2,204","4,004","3,126","1,331","2,459","3,493","2,692","2,079","3,402","3,571","6,193","2,613","3,189","3,999","55,656","4,017","2,141","4,721","2,737","1,710","7,147","3,538","3,945","3,001","3,433","2,641","1,198","4,138","4,286","2,530","2,507","1,966"
2020,3,60,"67,916","32,821","1,498","3,042","2,515","1,045","2,081","2,845","1,654","1,780","2,713","2,793","4,217","1,787","2,246","2,605","35,095","2,687","1,381","3,281","1,955","1,200","4,904","2,250","2,209","1,444","1,790","1,195",770,"2,911","2,891","1,350","1,522","1,355"
2020,3,70,"31,063","15,997",686,"1,554","1,183",642,"1,126","1,343",686,821,"1,334","1,359","2,178",824,"1,247","1,014","15,066","1,051",615,"1,347",878,580,"2,338","1,116","1,001",575,778,597,281,"1,060",969,694,574,612
2020,3,80,"13,837","6,747",276,593,465,311,548,590,237,316,571,570,903,392,522,453,"7,090",438,228,687,434,341,"1,022",501,473,333,438,298,122,443,407,378,237,310
2020,3,90,"2,052",932,49,84,52,47,65,58,57,49,72,103,124,38,66,68,"1,120",74,45,123,56,49,153,64,53,36,69,51,24,75,75,80,37,56
2020,3,100,169,81,1,10,8,0,5,14,7,4,9,6,7,1,7,2,88,18,10,6,2,1,8,4,4,4,3,1,5,7,7,2,0,6
2020,4,총,"561,069","241,999","12,791","21,661","16,813","7,292","13,155","20,035","16,028","11,175","17,613","20,090","32,621","13,951","15,544","23,230","319,070","21,941","11,231","22,755","17,872","11,307","37,446","19,458","27,507","15,430","24,349","17,022","8,168","21,853","22,298","15,644","13,407","11,382"
2020,4,0,"41,516","16,305",988,"1,227",935,305,593,"1,106","1,796",528,"1,054","1,509","2,293",997,770,"2,204","25,211","1,900",844,"1,256","1,566",816,"2,342","1,305","2,498","1,424","2,589","1,503",982,"1,528","1,680","1,208",985,785
2020,4,10,"54,416","19,563","1,143","1,557","1,366",511,957,"1,279","1,350",746,"1,338","1,616","2,714","1,426","1,222","2,338","34,853","2,325","1,142","1,873","2,312",769,"3,062","1,490","2,506","1,780","3,803","3,416",751,"1,868","2,155","2,368","1,665","1,568"
2020,4,20,"80,063","35,071","1,926","3,403","2,480","1,070","1,824","2,994","2,076","1,692","2,589","2,664","4,688","2,012","2,186","3,467","44,992","3,001","1,611","3,594","2,186","1,479","6,086","3,038","3,674","2,266","2,648","1,957",977,"3,554","3,346","2,030","1,994","1,551"
2020,4,30,"79,223","33,896","1,998","3,087","2,284",954,"1,642","3,301","2,835","1,576","2,168","2,792","4,343","1,664","1,749","3,503","45,327","2,861","1,432","2,872","2,297","2,461","5,019","3,109","5,961","1,898","3,387","1,291","1,606","3,324","3,088","1,921","1,630","1,170"
2020,4,40,"90,620","35,965","2,042","3,067","2,375","1,059","1,876","2,957","2,632","1,550","2,337","3,096","4,878","2,183","2,340","3,573","54,655","3,620","1,771","3,085","3,429","1,902","5,322","3,024","5,153","2,680","5,405","4,080","1,452","3,034","3,356","3,097","2,250","1,995"
2020,4,50,"99,747","44,317","2,198","4,012","3,114","1,336","2,438","3,502","2,686","2,094","3,394","3,552","6,229","2,614","3,173","3,975","55,430","3,996","2,133","4,642","2,753","1,702","7,142","3,544","3,939","2,987","3,440","2,625","1,192","4,088","4,286","2,513","2,480","1,968"
2020,4,60,"68,228","32,980","1,481","3,067","2,538","1,048","2,066","2,872","1,658","1,792","2,727","2,814","4,234","1,799","2,257","2,627","35,248","2,673","1,404","3,275","1,957","1,205","4,943","2,263","2,239","1,450","1,789","1,205",773,"2,896","2,917","1,353","1,548","1,358"
2020,4,70,"31,158","16,102",686,"1,554","1,197",647,"1,134","1,354",693,825,"1,346","1,366","2,197",825,"1,260","1,018","15,056","1,035",613,"1,345",878,585,"2,344","1,116","1,003",569,772,594,283,"1,050",976,692,581,620
2020,4,80,"13,865","6,778",280,594,463,315,556,594,237,320,579,571,909,391,514,455,"7,087",438,227,686,435,337,"1,021",500,477,336,441,298,125,431,412,379,237,307
2020,4,90,"2,064",941,48,83,53,47,64,62,58,48,72,104,129,39,66,68,"1,123",73,44,121,57,50,156,64,54,36,72,52,22,73,75,81,37,56
2020,4,100,169,81,1,10,8,0,5,14,7,4,9,6,7,1,7,2,88,19,10,6,2,1,9,5,3,4,3,1,5,7,7,2,0,4
2020,5,총,"559,792","242,105","12,862","21,702","16,874","7,331","12,739","20,183","16,034","11,152","17,628","20,074","32,787","13,930","15,552","23,257","317,687","21,883","11,231","21,677","17,833","11,313","37,564","19,451","27,511","15,305","24,236","17,019","8,172","21,770","22,290","15,650","13,407","11,375"
2020,5,0,"41,329","16,281",992,"1,233",939,306,575,"1,105","1,794",520,"1,051","1,501","2,294",999,765,"2,207","25,048","1,900",845,"1,193","1,556",813,"2,316","1,297","2,480","1,417","2,556","1,505",991,"1,530","1,681","1,199",984,785
2020,5,10,"54,169","19,523","1,151","1,555","1,355",511,915,"1,296","1,355",732,"1,327","1,617","2,739","1,410","1,222","2,338","34,646","2,293","1,132","1,775","2,308",765,"3,076","1,494","2,487","1,759","3,792","3,423",746,"1,852","2,143","2,372","1,669","1,560"
2020,5,20,"79,728","35,017","1,942","3,411","2,508","1,078","1,749","3,031","2,071","1,679","2,570","2,654","4,694","1,999","2,186","3,445","44,711","3,003","1,613","3,370","2,175","1,491","6,105","3,033","3,694","2,247","2,632","1,934",976,"3,561","3,327","2,029","1,978","1,543"
2020,5,30,"79,077","33,934","1,999","3,093","2,278",965,"1,584","3,314","2,852","1,586","2,181","2,770","4,389","1,664","1,738","3,521","45,143","2,851","1,440","2,770","2,294","2,445","5,013","3,089","5,990","1,895","3,357","1,302","1,604","3,292","3,080","1,915","1,631","1,175"
2020,5,40,"90,203","35,901","2,054","3,064","2,385","1,055","1,800","2,984","2,618","1,535","2,332","3,087","4,904","2,173","2,338","3,572","54,302","3,604","1,759","2,914","3,407","1,896","5,329","3,035","5,112","2,652","5,386","4,089","1,441","3,013","3,337","3,095","2,245","1,988"
2020,5,50,"99,505","44,284","2,215","4,015","3,118","1,343","2,363","3,510","2,677","2,095","3,393","3,561","6,258","2,607","3,152","3,977","55,221","3,969","2,133","4,412","2,762","1,717","7,169","3,543","3,950","2,975","3,432","2,615","1,199","4,077","4,293","2,528","2,480","1,967"
2020,5,60,"68,372","33,136","1,480","3,077","2,549","1,051","2,037","2,904","1,663","1,797","2,739","2,830","4,249","1,818","2,292","2,650","35,236","2,696","1,409","3,163","1,951","1,204","4,988","2,283","2,253","1,417","1,799","1,207",774,"2,876","2,939","1,359","1,553","1,365"
2020,5,70,"31,263","16,169",701,"1,565","1,207",651,"1,107","1,358",699,831,"1,366","1,367","2,206",822,"1,271","1,018","15,094","1,038",616,"1,303",883,590,"2,370","1,109","1,011",569,771,591,289,"1,056",991,692,589,626
2020,5,80,"13,911","6,827",279,596,471,324,543,599,239,324,585,576,921,398,515,457,"7,084",437,230,655,438,341,"1,031",499,481,334,439,299,124,435,417,378,238,308
2020,5,90,"2,062",951,48,83,56,47,61,68,59,49,74,105,126,39,66,70,"1,111",73,44,115,57,50,157,63,50,36,69,53,23,71,75,81,40,54
2020,5,100,173,82,1,10,8,0,5,14,7,4,10,6,7,1,7,2,91,19,10,7,2,1,10,6,3,4,3,1,5,7,7,2,0,4
2020,6,총,"558,017","241,830","12,858","21,646","16,899","7,337","12,281","20,256","16,055","11,142","17,639","20,068","32,949","13,938","15,516","23,246","316,187","21,925","11,214","20,374","17,813","11,314","37,576","19,514","27,547","15,262","24,262","16,970","8,175","21,645","22,193","15,601","13,412","11,390"
2020,6,0,"41,023","16,184",987,"1,205",919,302,552,"1,114","1,808",508,"1,050","1,482","2,312",992,752,"2,201","24,839","1,897",842,"1,119","1,530",802,"2,291","1,286","2,471","1,407","2,554","1,500",990,"1,514","1,669","1,197",984,786
2020,6,10,"53,914","19,447","1,147","1,543","1,369",506,863,"1,299","1,344",737,"1,317","1,616","2,752","1,412","1,201","2,341","34,467","2,284","1,127","1,653","2,311",758,"3,082","1,501","2,476","1,745","3,805","3,414",743,"1,844","2,132","2,352","1,672","1,568"
2020,6,20,"79,323","34,971","1,947","3,414","2,520","1,086","1,681","3,049","2,080","1,681","2,556","2,649","4,721","1,993","2,171","3,423","44,352","2,987","1,609","3,155","2,176","1,498","6,096","3,032","3,694","2,235","2,626","1,911",978,"3,526","3,297","2,026","1,969","1,537"
2020,6,30,"78,587","33,723","1,978","3,053","2,251",968,"1,535","3,316","2,841","1,562","2,165","2,764","4,407","1,652","1,726","3,505","44,864","2,865","1,439","2,625","2,269","2,432","4,974","3,080","5,985","1,902","3,355","1,301","1,603","3,264","3,064","1,906","1,629","1,171"
2020,6,40,"89,886","35,870","2,042","3,061","2,401","1,047","1,736","3,016","2,620","1,532","2,331","3,066","4,939","2,179","2,329","3,571","54,016","3,602","1,747","2,702","3,402","1,900","5,313","3,053","5,126","2,625","5,392","4,070","1,444","2,994","3,318","3,087","2,237","2,004"
2020,6,50,"99,025","44,120","2,228","4,000","3,112","1,338","2,280","3,503","2,675","2,086","3,380","3,558","6,265","2,603","3,145","3,947","54,905","3,973","2,129","4,152","2,766","1,715","7,182","3,563","3,941","2,961","3,436","2,626","1,200","4,050","4,266","2,514","2,473","1,958"
2020,6,60,"68,721","33,389","1,489","3,101","2,575","1,067","1,976","2,915","1,677","1,815","2,778","2,870","4,286","1,833","2,312","2,695","35,332","2,729","1,415","2,981","1,966","1,223","5,036","2,301","2,306","1,436","1,812","1,205",772,"2,889","2,959","1,359","1,572","1,371"
2020,6,70,"31,373","16,262",710,"1,582","1,221",649,"1,071","1,362",702,841,"1,384","1,378","2,214",835,"1,288","1,025","15,111","1,051",622,"1,253",890,592,"2,398","1,121","1,005",570,768,587,290,"1,052",996,692,593,631
2020,6,80,"13,910","6,832",283,595,467,326,526,597,241,326,592,575,924,398,518,464,"7,078",441,230,615,440,342,"1,034",505,488,341,442,303,125,435,410,381,240,306
2020,6,90,"2,081",950,46,82,56,48,57,71,60,49,76,104,122,40,67,72,"1,131",77,44,111,61,51,160,66,52,36,69,52,25,70,75,85,43,54
2020,6,100,174,82,1,10,8,0,4,14,7,5,10,6,7,1,7,2,92,19,10,8,2,1,10,6,3,4,3,1,5,7,7,2,0,4
2020,7,총,"556,561","241,478","12,852","21,660","16,903","7,327","11,990","20,361","16,036","11,131","17,643","20,113","32,841","13,889","15,487","23,245","315,083","21,886","11,207","19,582","17,794","11,297","37,602","19,541","27,566","15,239","24,253","16,946","8,198","21,476","22,156","15,577","13,400","11,363"
2020,7,0,"40,815","16,119",994,"1,195",912,292,537,"1,111","1,816",512,"1,046","1,487","2,294",986,749,"2,188","24,696","1,875",844,"1,064","1,520",802,"2,293","1,281","2,465","1,401","2,527","1,491",996,"1,510","1,657","1,206",987,777
2020,7,10,"53,638","19,332","1,138","1,550","1,357",506,835,"1,309","1,340",734,"1,314","1,611","2,713","1,386","1,195","2,344","34,306","2,285","1,119","1,561","2,312",745,"3,070","1,496","2,482","1,741","3,812","3,421",744,"1,827","2,123","2,332","1,672","1,564"
2020,7,20,"78,975","34,899","1,954","3,411","2,513","1,093","1,649","3,049","2,060","1,668","2,536","2,659","4,724","1,999","2,169","3,415","44,076","2,986","1,612","3,024","2,159","1,493","6,073","3,063","3,666","2,236","2,623","1,895",977,"3,476","3,295","2,011","1,947","1,540"
2020,7,30,"78,218","33,562","1,957","3,026","2,249",966,"1,514","3,334","2,837","1,565","2,159","2,754","4,358","1,638","1,706","3,499","44,656","2,833","1,432","2,534","2,258","2,418","4,972","3,086","5,989","1,897","3,343","1,286","1,608","3,243","3,049","1,921","1,630","1,157"
2020,7,40,"89,590","35,789","2,034","3,065","2,405","1,035","1,696","3,041","2,619","1,522","2,321","3,061","4,929","2,166","2,320","3,575","53,801","3,590","1,735","2,583","3,405","1,902","5,306","3,034","5,126","2,607","5,394","4,055","1,454","2,990","3,314","3,069","2,235","2,002"
2020,7,50,"98,707","44,033","2,218","4,013","3,107","1,340","2,191","3,522","2,660","2,079","3,392","3,574","6,252","2,595","3,142","3,948","54,674","3,998","2,115","3,974","2,758","1,725","7,193","3,580","3,948","2,963","3,436","2,616","1,188","3,994","4,270","2,504","2,458","1,954"
2020,7,60,"68,988","33,557","1,507","3,136","2,604","1,067","1,949","2,919","1,687","1,818","2,787","2,895","4,305","1,848","2,322","2,713","35,431","2,722","1,438","2,918","1,976","1,222","5,069","2,300","2,323","1,435","1,842","1,230",786,"2,885","2,956","1,380","1,578","1,371"
2020,7,70,"31,453","16,301",714,"1,576","1,230",655,"1,046","1,375",706,850,"1,405","1,382","2,212",831,"1,293","1,026","15,152","1,060",632,"1,219",901,597,"2,415","1,126","1,015",577,763,596,290,"1,046","1,001",677,603,634
2020,7,80,"13,925","6,862",289,596,464,325,515,613,245,330,597,582,926,398,517,465,"7,063",444,225,585,442,340,"1,043",501,494,341,441,305,125,429,409,388,246,305
2020,7,90,"2,080",944,46,82,55,48,54,74,59,48,76,102,121,41,67,71,"1,136",74,45,112,61,52,158,68,55,36,69,50,25,70,75,87,44,55
2020,7,100,172,80,1,10,7,0,4,14,7,5,10,6,7,1,7,1,92,19,10,8,2,1,10,6,3,5,3,1,5,6,7,2,0,4
2020,8,총,"554,857","240,946","12,838","21,703","16,925","7,299","11,514","20,620","15,985","11,117","17,697","20,037","32,763","13,881","15,439","23,128","313,911","21,800","11,186","19,190","17,778","11,252","37,515","19,516","27,579","15,197","24,194","16,937","8,204","21,169","22,135","15,532","13,404","11,323"
2020,8,0,"40,464","15,954",997,"1,190",893,290,515,"1,128","1,807",504,"1,031","1,479","2,274",980,725,"2,141","24,510","1,848",843,"1,028","1,518",786,"2,272","1,273","2,447","1,389","2,519","1,481",996,"1,511","1,656","1,193",982,768
2020,8,10,"53,331","19,216","1,128","1,544","1,355",497,812,"1,310","1,333",733,"1,312","1,591","2,694","1,376","1,189","2,342","34,115","2,262","1,105","1,508","2,302",742,"3,059","1,488","2,473","1,734","3,789","3,418",748,"1,789","2,122","2,339","1,669","1,568"
2020,8,20,"78,686","34,898","1,958","3,438","2,515","1,083","1,565","3,138","2,060","1,677","2,555","2,652","4,715","1,999","2,156","3,387","43,788","2,967","1,599","2,961","2,145","1,492","6,044","3,058","3,641","2,228","2,634","1,887",969,"3,404","3,293","1,995","1,950","1,521"
2020,8,30,"77,768","33,368","1,934","3,020","2,239",962,"1,439","3,442","2,798","1,539","2,151","2,737","4,313","1,632","1,698","3,464","44,400","2,835","1,438","2,504","2,267","2,390","4,952","3,092","5,982","1,894","3,290","1,281","1,604","3,183","3,010","1,907","1,628","1,143"
2020,8,40,"89,152","35,604","2,033","3,063","2,399","1,016","1,633","3,052","2,619","1,509","2,319","3,045","4,918","2,146","2,293","3,559","53,548","3,569","1,724","2,504","3,376","1,893","5,273","3,028","5,153","2,601","5,382","4,057","1,469","2,947","3,308","3,047","2,223","1,994"
2020,8,50,"98,420","43,938","2,233","4,007","3,105","1,338","2,125","3,541","2,655","2,080","3,400","3,553","6,232","2,596","3,139","3,934","54,482","3,980","2,125","3,889","2,774","1,713","7,183","3,554","3,947","2,942","3,445","2,617","1,183","3,937","4,260","2,510","2,469","1,954"
2020,8,60,"69,324","33,732","1,499","3,157","2,643","1,072","1,865","2,935","1,693","1,828","2,827","2,902","4,339","1,876","2,357","2,739","35,592","2,731","1,434","2,904","1,985","1,231","5,097","2,320","2,351","1,452","1,852","1,241",789,"2,868","2,988","1,386","1,588","1,375"
2020,8,70,"31,482","16,342",723,"1,593","1,243",661,"1,003","1,374",711,864,"1,418","1,385","2,216",831,"1,294","1,026","15,140","1,064",636,"1,197",903,607,"2,417","1,124","1,022",573,770,595,292,"1,023","1,001",681,603,632
2020,8,80,"13,948","6,864",286,598,470,333,500,612,243,330,597,584,931,403,517,460,"7,084",448,227,576,444,345,"1,048",502,500,342,439,306,123,432,411,384,250,307
2020,8,90,"2,109",950,46,83,56,47,53,74,59,48,77,103,124,41,64,75,"1,159",77,45,111,62,52,159,71,60,37,71,53,26,69,79,88,42,57
2020,8,100,173,80,1,10,7,0,4,14,7,5,10,6,7,1,7,1,93,19,10,8,2,1,11,6,3,5,3,1,5,6,7,2,0,4
2020,9,총,"553,286","240,604","12,776","21,760","16,859","7,298","11,217","20,944","15,992","11,074","17,665","19,996","32,707","13,825","15,430","23,061","312,682","21,735","11,182","18,902","17,751","11,240","37,348","19,458","27,536","15,152","24,183","16,907","8,236","20,780","22,116","15,516","13,365","11,275"
2020,9,0,"40,181","15,879",986,"1,193",886,282,507,"1,152","1,813",495,"1,021","1,469","2,254",975,715,"2,131","24,302","1,843",844,"1,007","1,502",770,"2,227","1,264","2,432","1,397","2,499","1,453","1,000","1,496","1,653","1,197",974,744
2020,9,10,"53,023","19,056","1,109","1,536","1,338",493,797,"1,320","1,330",727,"1,294","1,570","2,664","1,352","1,187","2,339","33,967","2,255","1,101","1,482","2,290",744,"3,036","1,475","2,465","1,721","3,782","3,429",748,"1,763","2,115","2,339","1,652","1,570"
2020,9,20,"78,312","34,808","1,954","3,441","2,502","1,085","1,496","3,196","2,053","1,655","2,545","2,642","4,723","1,984","2,158","3,374","43,504","2,936","1,601","2,902","2,153","1,505","6,020","3,031","3,629","2,204","2,637","1,881",969,"3,316","3,278","1,989","1,940","1,513"
2020,9,30,"77,259","33,225","1,901","3,003","2,215",952,"1,417","3,534","2,785","1,525","2,140","2,727","4,283","1,620","1,687","3,436","44,034","2,831","1,439","2,465","2,252","2,365","4,912","3,084","5,926","1,880","3,274","1,274","1,596","3,116","3,003","1,875","1,617","1,125"
2020,9,40,"88,765","35,485","2,024","3,058","2,386","1,013","1,582","3,092","2,621","1,503","2,322","3,042","4,887","2,127","2,285","3,543","53,280","3,546","1,707","2,466","3,382","1,886","5,213","3,003","5,153","2,589","5,387","4,051","1,465","2,897","3,295","3,047","2,205","1,988"
