년도,월,나이,화순군,화순읍,한천면,한천면영외출장소,춘양면,청풍면,이양면,능주면,도곡면,도암면,이서면,북면,백아면,동복면,남면,사평면,동면
2020,2,60,"4,243","2,145",92,48,142,80,161,305,268,133,80,,139,151,,197,302
2020,2,70,"4,440","1,858",111,70,205,128,223,300,234,191,110,,230,210,,263,307
2020,2,80,"3,071","1,023",73,35,211,150,205,192,241,125,77,,149,162,,173,255
2020,2,90,461,152,13,5,27,20,29,36,45,15,7,,22,32,,28,30
2020,2,100,29,10,0,0,0,1,3,0,1,2,2,,1,2,,2,5
2020,3,총,"31,555","19,810",458,226,902,538,945,"1,648","1,423",691,479,,805,862,,"1,083","1,685"
2020,3,0,"1,759","1,458",9,6,16,13,21,51,48,18,10,,13,21,,24,51
2020,3,10,"2,831","2,340",19,5,38,14,32,115,55,20,18,,33,34,,32,76
2020,3,20,"3,110","2,369",27,8,64,25,51,125,97,22,34,,25,50,,71,142
2020,3,30,"2,393","1,851",12,10,35,20,41,104,80,23,19,,33,23,,55,87
2020,3,40,"4,093","3,296",38,13,43,14,61,151,105,39,28,,43,56,,64,142
2020,3,50,"5,085","3,284",64,25,121,76,121,264,253,104,89,,112,121,,170,281
2020,3,60,"4,267","2,164",90,48,142,79,158,307,270,131,84,,140,149,,199,306
2020,3,70,"4,405","1,837",111,71,202,124,224,301,233,190,111,,228,208,,259,306
2020,3,80,"3,104","1,039",75,34,214,154,203,194,237,127,76,,152,164,,177,258
2020,3,90,476,160,12,6,27,19,30,36,44,15,8,,25,33,,30,31
2020,3,100,32,12,1,0,0,0,3,0,1,2,2,,1,3,,2,5
2020,4,총,"31,590","19,844",455,225,903,533,942,"1,655","1,430",691,478,,800,865,,"1,075","1,694"
2020,4,0,"1,764","1,453",9,6,17,12,25,56,48,18,10,,13,21,,23,53
2020,4,10,"2,814","2,329",18,5,36,13,29,113,58,21,18,,31,35,,32,76
2020,4,20,"3,090","2,357",26,7,64,23,51,124,98,21,33,,26,50,,66,144
2020,4,30,"2,384","1,846",12,10,34,19,40,107,76,23,20,,31,22,,56,88
2020,4,40,"4,091","3,293",36,13,41,14,59,153,107,40,28,,42,56,,62,147
2020,4,50,"5,088","3,302",64,25,123,75,117,262,254,101,88,,111,121,,167,278
2020,4,60,"4,313","2,192",91,48,145,79,162,308,276,134,83,,141,149,,202,303
2020,4,70,"4,387","1,844",109,71,200,120,219,302,230,189,111,,223,208,,256,305
2020,4,80,"3,144","1,058",77,34,215,157,206,195,238,125,77,,156,164,,179,263
2020,4,90,482,158,12,6,28,20,31,35,44,17,8,,25,36,,30,32
2020,4,100,33,12,1,0,0,1,3,0,1,2,2,,1,3,,2,5
2020,5,총,"31,615","19,857",451,223,901,533,941,"1,658","1,433",690,483,,799,870,,"1,075","1,701"
2020,5,0,"1,760","1,452",9,6,17,12,24,56,48,17,10,,13,21,,22,53
2020,5,10,"2,805","2,316",18,5,36,13,29,112,60,22,18,,31,37,,31,77
2020,5,20,"3,101","2,373",25,6,63,24,51,122,97,22,35,,26,49,,65,143
2020,5,30,"2,391","1,854",12,11,33,19,40,107,73,23,21,,30,23,,56,89
2020,5,40,"4,062","3,266",36,13,41,13,58,154,113,37,28,,41,55,,62,145
2020,5,50,"5,113","3,326",63,25,121,75,119,262,251,101,90,,110,122,,167,281
2020,5,60,"4,323","2,199",92,47,144,80,162,310,276,132,83,,143,149,,204,302
2020,5,70,"4,385","1,841",107,71,205,120,215,300,230,189,110,,223,210,,255,309
2020,5,80,"3,152","1,060",77,33,212,157,205,197,241,127,78,,157,164,,180,264
2020,5,90,489,157,11,6,29,19,35,38,43,18,8,,24,37,,31,33
2020,5,100,34,13,1,0,0,1,3,0,1,2,2,,1,3,,2,5
2020,6,총,"31,657","19,876",456,226,897,533,938,"1,651","1,441",694,481,,798,874,,"1,084","1,708"
2020,6,0,"1,762","1,445",9,6,17,13,23,60,51,17,10,,12,21,,22,56
2020,6,10,"2,805","2,317",18,5,34,12,30,110,62,25,18,,31,36,,29,78
2020,6,20,"3,100","2,376",24,6,63,24,49,119,96,23,34,,26,50,,68,142
2020,6,30,"2,385","1,846",13,11,32,20,41,105,72,24,21,,31,23,,52,94
2020,6,40,"4,062","3,263",38,13,41,13,58,151,111,38,28,,40,55,,66,147
2020,6,50,"5,115","3,340",62,26,121,78,115,261,249,100,87,,108,123,,169,276
2020,6,60,"4,360","2,210",96,47,145,79,164,309,279,133,85,,149,152,,207,305
2020,6,70,"4,397","1,846",108,71,206,121,217,302,235,186,108,,222,210,,256,309
2020,6,80,"3,149","1,063",76,34,210,155,203,196,242,128,79,,154,164,,181,264
2020,6,90,489,158,11,7,28,17,35,38,43,18,9,,24,37,,32,32
2020,6,100,33,12,1,0,0,1,3,0,1,2,2,,1,3,,2,5
2020,7,총,"31,666","19,882",458,225,893,533,933,"1,652","1,451",697,477,,797,880,,"1,078","1,710"
2020,7,0,"1,765","1,445",9,6,17,13,23,60,53,17,11,,12,22,,21,56
2020,7,10,"2,787","2,302",19,5,34,12,29,111,61,25,18,,31,36,,29,75
2020,7,20,"3,105","2,384",25,4,62,25,49,120,96,25,28,,27,54,,66,140
2020,7,30,"2,375","1,829",13,11,33,20,40,106,73,23,22,,30,23,,55,97
2020,7,40,"4,063","3,265",39,14,39,13,58,153,111,38,27,,39,58,,63,146
2020,7,50,"5,123","3,349",61,26,119,78,116,257,252,102,86,,108,122,,167,280
2020,7,60,"4,365","2,211",96,47,145,80,162,311,279,134,88,,148,149,,209,306
2020,7,70,"4,413","1,863",108,71,206,118,216,301,237,184,108,,224,212,,254,311
2020,7,80,"3,154","1,068",76,34,210,156,203,197,244,130,78,,153,164,,179,262
2020,7,90,485,155,11,7,28,17,35,36,44,17,9,,24,37,,33,32
2020,7,100,31,11,1,0,0,1,2,0,1,2,2,,1,3,,2,5
2020,8,총,"31,656","19,882",455,225,886,532,931,"1,653","1,456",699,480,,800,873,,"1,080","1,704"
2020,8,0,"1,749","1,432",9,6,17,13,23,60,51,17,10,,12,23,,21,55
2020,8,10,"2,776","2,297",18,5,33,12,29,110,62,24,18,,30,35,,29,74
2020,8,20,"3,102","2,383",26,5,61,24,48,121,93,29,29,,27,51,,67,138
2020,8,30,"2,372","1,824",14,11,31,19,39,105,77,23,22,,31,22,,56,98
2020,8,40,"4,045","3,265",39,14,39,13,55,152,108,37,24,,38,58,,63,140
2020,8,50,"5,126","3,344",59,24,116,80,118,256,255,102,90,,111,121,,166,284
2020,8,60,"4,395","2,233",96,49,148,78,164,313,283,136,89,,149,146,,207,304
2020,8,70,"4,403","1,860",106,70,205,118,214,301,238,181,107,,222,212,,255,314
2020,8,80,"3,170","1,075",77,34,209,156,204,200,244,132,79,,155,165,,180,260
2020,8,90,488,158,11,7,27,18,35,35,44,16,10,,24,37,,34,32
2020,8,100,30,11,0,0,0,1,2,0,1,2,2,,1,3,,2,5
2020,9,총,"31,680","19,921",458,225,892,532,927,"1,651","1,459",697,480,,801,869,,"1,081","1,687"
2020,9,0,"1,757","1,441",9,6,17,14,21,62,55,16,10,,11,22,,21,52
2020,9,10,"2,761","2,291",18,5,32,12,27,109,61,23,18,,30,35,,27,73
2020,9,20,"3,108","2,385",26,5,63,25,49,119,97,29,30,,26,50,,72,132
2020,9,30,"2,377","1,829",15,11,33,18,38,103,76,22,23,,33,21,,55,100
2020,9,40,"4,023","3,255",39,14,39,13,53,150,107,37,24,,36,57,,63,136
2020,9,50,"5,116","3,339",59,24,121,79,118,254,256,98,88,,113,120,,165,282
2020,9,60,"4,428","2,261",97,50,145,80,164,315,279,140,90,,150,147,,207,303
2020,9,70,"4,393","1,857",107,70,204,117,216,303,237,180,106,,221,211,,252,312
2020,9,80,"3,189","1,089",77,33,210,153,203,201,245,134,80,,155,166,,183,260
2020,9,90,497,163,11,7,28,20,36,35,45,15,9,,25,37,,34,32
2020,9,100,31,11,0,0,0,1,2,0,1,3,2,,1,3,,2,5
2020,10,총,"31,626","19,884",455,224,891,534,926,"1,656","1,462",693,476,,802,864,,"1,079","1,680"
2020,10,0,"1,736","1,426",8,6,17,14,22,63,56,14,8,,12,19,,18,53
2020,10,10,"2,764","2,291",18,5,32,12,27,110,61,24,18,,30,35,,28,73
2020,10,20,"3,100","2,383",25,4,59,28,49,121,96,28,30,,27,48,,70,132
2020,10,30,"2,348","1,800",15,10,35,18,38,105,77,19,21,,32,21,,57,100
2020,10,40,"4,014","3,252",39,13,38,13,52,152,109,35,24,,35,54,,63,135
2020,10,50,"5,100","3,338",58,26,121,78,120,253,248,96,85,,111,126,,163,277
2020,10,60,"4,454","2,273",98,50,147,78,163,315,283,144,92,,152,148,,209,302
2020,10,70,"4,392","1,855",108,70,203,119,215,303,240,177,106,,222,208,,253,313
2020,10,80,"3,192","1,090",75,34,211,153,203,200,247,138,81,,153,168,,181,258
2020,10,90,494,164,11,6,28,20,35,34,44,15,9,,27,34,,35,32
2020,10,100,32,12,0,0,0,1,2,0,1,3,2,,1,3,,2,5
2020,11,총,"31,610","19,873",452,226,895,533,916,"1,652","1,465",693,480,,804,862,,"1,073","1,686"
2020,11,0,"1,725","1,415",8,6,18,14,19,61,58,14,7,,13,19,,19,54
2020,11,10,"2,749","2,282",18,5,33,12,27,110,62,24,19,,30,34,,25,68
2020,11,20,"3,110","2,386",25,4,60,27,49,123,94,31,31,,27,49,,70,134
2020,11,30,"2,333","1,793",15,10,36,18,36,102,75,19,20,,30,20,,58,101
2020,11,40,"3,996","3,237",38,13,38,13,52,152,110,33,25,,35,53,,61,136
2020,11,50,"5,097","3,328",59,25,121,77,121,254,246,98,88,,112,126,,165,277
2020,11,60,"4,482","2,293",98,50,147,80,160,316,289,143,92,,154,147,,207,306
2020,11,70,"4,384","1,868",107,72,203,119,211,300,239,175,105,,222,208,,246,309
2020,11,80,"3,208","1,093",73,35,210,152,204,201,247,139,82,,153,169,,185,265
2020,11,90,492,164,11,6,29,20,35,33,44,14,9,,27,34,,35,31
2020,11,100,34,14,0,0,0,1,2,0,1,3,2,,1,3,,2,5
2020,12,총,"31,616","19,865",449,228,887,537,921,"1,662","1,465",696,484,,799,860,,"1,070","1,693"
2020,12,0,"1,719","1,414",8,7,17,15,17,60,56,13,10,,13,19,,18,52
2020,12,10,"2,724","2,264",17,5,33,12,28,112,58,24,17,,30,32,,24,68
2020,12,20,"3,122","2,388",27,4,57,26,50,125,98,33,33,,25,48,,71,137
2020,12,30,"2,332","1,793",15,9,36,18,37,101,74,19,21,,31,21,,56,101
2020,12,40,"3,966","3,215",36,14,37,13,51,156,108,32,25,,34,51,,60,134
2020,12,50,"5,116","3,339",58,24,119,79,125,253,246,99,86,,111,129,,166,282
2020,12,60,"4,514","2,309",97,52,150,80,162,319,291,144,92,,153,147,,207,311
2020,12,70,"4,374","1,865",107,71,201,120,212,296,241,176,106,,223,207,,244,305
2020,12,80,"3,219","1,100",72,36,206,153,202,206,248,139,82,,152,169,,186,268
2020,12,90,497,165,12,6,31,20,35,34,44,14,10,,26,34,,36,30
2020,12,100,33,13,0,0,0,1,2,0,1,3,2,,1,3,,2,5
2021,1,총,"31,562","19,857",447,228,876,534,920,"1,662","1,459",696,476,,794,864,,"1,060","1,689"
2021,1,0,"1,704","1,403",8,7,16,16,18,62,53,13,8,,13,19,,16,52
2021,1,10,"2,707","2,252",17,5,31,12,30,110,55,24,17,,30,33,,24,67
2021,1,20,"3,098","2,377",26,3,55,23,50,124,99,30,33,,25,48,,69,136
2021,1,30,"2,322","1,778",18,9,37,20,35,101,73,19,19,,31,23,,55,104
2021,1,40,"3,967","3,218",35,13,36,12,52,157,108,33,27,,33,51,,58,134
2021,1,50,"5,095","3,341",59,25,115,79,120,250,239,96,85,,110,130,,164,282
2021,1,60,"4,536","2,327",96,52,148,81,163,321,297,148,89,,155,146,,206,307
2021,1,70,"4,356","1,869",103,71,199,119,211,295,242,176,102,,221,205,,243,300
2021,1,80,"3,240","1,112",74,37,207,151,203,208,247,139,84,,152,167,,187,272
2021,1,90,503,166,10,6,32,20,37,34,45,15,10,,23,39,,36,30
2021,1,100,34,14,1,0,0,1,1,0,1,3,2,,1,3,,2,5
2021,2,총,"31,590","19,861",453,228,869,540,915,"1,687","1,448",693,480,,800,866,,"1,059","1,691"
2021,2,0,"1,688","1,390",9,7,15,16,16,62,52,12,9,,14,18,,16,52
2021,2,10,"2,734","2,243",17,5,28,12,28,149,53,25,19,,31,32,,24,68
2021,2,20,"3,086","2,375",28,3,52,23,48,114,102,30,31,,28,50,,66,136
2021,2,30,"2,316","1,776",16,9,36,20,34,103,69,17,21,,32,23,,57,103
2021,2,40,"3,957","3,211",37,13,37,14,49,150,108,35,29,,31,52,,56,135
2021,2,50,"5,106","3,350",62,25,115,79,119,250,236,95,85,,111,131,,164,284
2021,2,60,"4,550","2,337",96,52,148,82,169,322,298,146,89,,154,145,,205,307
2021,2,70,"4,331","1,874",101,70,197,120,205,294,234,175,103,,218,205,,244,291
2021,2,80,"3,281","1,125",75,39,209,153,208,207,250,139,82,,157,170,,189,278
2021,2,90,507,166,11,5,32,20,38,36,45,16,10,,23,37,,36,32
2021,2,100,34,14,1,0,0,1,1,0,1,3,2,,1,3,,2,5
2021,3,총,"31,469","19,792",451,226,866,541,920,"1,677","1,443",689,481,,798,856,,"1,055","1,674"
2021,3,0,"1,673","1,379",9,7,14,17,16,59,51,12,9,,14,19,,16,51
2021,3,10,"2,720","2,227",17,5,28,12,28,149,53,26,19,,31,32,,24,69
2021,3,20,"3,049","2,358",28,4,52,21,46,112,99,31,29,,27,48,,65,129
2021,3,30,"2,289","1,756",17,9,35,20,36,98,68,15,22,,32,23,,56,102
2021,3,40,"3,935","3,192",36,13,35,14,50,150,112,36,29,,31,50,,54,133
2021,3,50,"5,094","3,347",60,25,114,81,121,252,232,93,87,,109,130,,166,277
2021,3,60,"4,575","2,362",97,51,149,83,171,321,298,143,89,,156,141,,205,309
2021,3,70,"4,300","1,864",99,70,196,118,205,291,228,174,103,,216,206,,240,290
2021,3,80,"3,303","1,132",76,37,211,154,208,209,258,143,82,,156,169,,190,278
2021,3,90,505,164,11,5,32,20,38,36,43,15,10,,25,37,,36,33
2021,3,100,26,11,1,0,0,1,1,0,1,1,2,,1,1,,3,3
2021,4,총,"31,469","19,815",449,224,871,541,911,"1,664","1,440",691,477,,800,858,,"1,054","1,674"
2021,4,0,"1,671","1,377",9,7,14,16,15,60,52,12,9,,14,19,,17,50
2021,4,10,"2,695","2,203",17,5,28,13,28,145,51,25,18,,31,32,,24,75
2021,4,20,"3,058","2,379",26,3,51,22,44,112,95,32,28,,27,47,,63,129
2021,4,30,"2,284","1,756",15,8,34,21,35,97,67,15,22,,32,24,,57,101
2021,4,40,"3,930","3,189",38,13,37,14,49,147,112,37,29,,33,51,,53,128
2021,4,50,"5,101","3,358",58,25,117,80,118,249,231,94,87,,110,130,,165,279
2021,4,60,"4,590","2,374",99,51,152,83,169,319,299,143,88,,158,143,,203,309
2021,4,70,"4,267","1,858",97,68,193,118,204,287,229,172,99,,211,204,,238,289
2021,4,80,"3,338","1,144",78,39,212,155,209,212,260,144,85,,158,171,,195,276
2021,4,90,508,165,11,5,33,18,39,36,43,16,10,,25,36,,36,35
2021,4,100,27,12,1,0,0,1,1,0,1,1,2,,1,1,,3,3
2021,5,총,"31,439","19,793",454,225,870,538,908,"1,655","1,441",694,480,,797,857,,"1,053","1,674"
2021,5,0,"1,652","1,361",12,7,13,15,15,58,52,12,8,,14,18,,17,50
2021,5,10,"2,676","2,189",17,5,27,13,28,140,51,25,19,,31,33,,24,74
2021,5,20,"3,046","2,375",26,3,53,22,42,109,95,31,26,,26,46,,64,128
2021,5,30,"2,275","1,748",16,8,33,21,34,97,71,19,23,,30,24,,52,99
2021,5,40,"3,907","3,172",38,14,39,14,51,146,109,36,27,,32,51,,55,123
2021,5,50,"5,090","3,357",58,25,115,79,113,245,228,94,90,,111,129,,161,285
2021,5,60,"4,622","2,391",101,51,152,81,174,320,300,144,89,,160,141,,208,310
2021,5,70,"4,258","1,872",98,65,190,116,194,289,230,171,98,,210,205,,234,286
2021,5,80,"3,374","1,149",75,42,215,159,216,214,261,144,88,,158,172,,199,282
2021,5,90,511,166,12,5,33,17,40,37,43,17,10,,24,37,,36,34
2021,5,100,28,13,1,0,0,1,1,0,1,1,2,,1,1,,3,3
2021,6,총,"31,420","19,769",452,226,875,539,906,"1,667","1,440",692,477,,795,854,,"1,055","1,673"
2021,6,0,"1,634","1,341",12,7,13,15,15,61,50,12,8,,14,17,,19,50
2021,6,10,"2,681","2,188",17,5,27,12,27,145,52,26,19,,32,33,,25,73
2021,6,20,"3,028","2,361",25,4,53,24,43,106,93,29,25,,25,45,,66,129
2021,6,30,"2,271","1,741",16,8,33,20,34,101,71,19,22,,29,23,,52,102
2021,6,40,"3,886","3,157",37,14,40,14,51,147,107,34,27,,31,51,,54,122
2021,6,50,"5,097","3,368",58,25,117,78,114,245,234,96,89,,111,130,,156,276
2021,6,60,"4,643","2,402",101,51,151,83,173,324,296,142,90,,161,139,,212,318
2021,6,70,"4,245","1,871",96,62,191,116,191,286,230,172,97,,209,205,,233,286
2021,6,80,"3,401","1,159",77,45,217,160,217,216,264,145,89,,157,173,,201,281
2021,6,90,505,167,12,5,33,16,40,36,42,16,9,,25,37,,34,33
2021,6,100,29,14,1,0,0,1,1,0,1,1,2,,1,1,,3,3
2021,7,총,"31,409","19,798",454,226,869,535,906,"1,661","1,438",694,470,,792,852,,"1,053","1,661"
2021,7,0,"1,634","1,341",12,7,13,16,15,62,50,13,8,,14,17,,18,48
2021,7,10,"2,667","2,184",18,5,26,12,24,145,51,23,17,,32,34,,23,73
2021,7,20,"3,015","2,355",23,4,52,22,42,103,93,33,23,,26,45,,69,125
2021,7,30,"2,254","1,743",16,7,35,19,32,95,67,17,21,,28,23,,50,101
2021,7,40,"3,866","3,136",36,15,41,13,53,148,107,34,27,,32,51,,54,119
2021,7,50,"5,109","3,389",62,25,113,75,115,239,236,96,87,,110,132,,157,273
2021,7,60,"4,674","2,414",102,51,153,85,175,333,297,143,90,,160,138,,213,320
2021,7,70,"4,243","1,881",95,62,188,117,190,284,227,173,97,,208,205,,230,286
2021,7,80,"3,407","1,170",76,45,216,159,217,216,267,145,89,,155,170,,202,280
2021,7,90,512,171,13,5,32,16,42,36,42,16,9,,26,36,,34,34
2021,7,100,28,14,1,0,0,1,1,0,1,1,2,,1,1,,3,2
2021,8,총,"31,569","19,996",451,224,868,534,903,"1,643","1,431",701,471,,793,841,,"1,051","1,662"
2021,8,0,"1,638","1,359",10,7,13,14,14,58,50,13,9,,11,15,,18,47
2021,8,10,"2,668","2,190",17,4,26,12,23,141,49,23,20,,35,31,,26,71
2021,8,20,"3,045","2,385",23,5,52,22,43,103,91,32,22,,27,46,,67,127
2021,8,30,"2,282","1,777",17,6,34,18,30,93,65,19,22,,30,21,,50,100
2021,8,40,"3,877","3,148",37,16,41,13,53,146,106,39,25,,33,49,,54,117
2021,8,50,"5,146","3,436",62,25,110,76,116,236,233,96,86,,109,133,,153,275
2021,8,60,"4,706","2,447",99,50,155,85,173,332,300,142,90,,161,137,,213,322
2021,8,70,"4,239","1,886",97,62,188,118,187,282,227,175,96,,205,203,,227,286
2021,8,80,"3,418","1,176",75,44,217,157,220,218,266,145,90,,154,169,,206,281
2021,8,90,522,178,13,5,32,18,43,34,43,16,9,,27,36,,34,34
2021,8,100,28,14,1,0,0,1,1,0,1,1,2,,1,1,,3,2
2021,9,총,"31,635","20,111",453,223,862,535,903,"1,635","1,417",698,465,,792,842,,"1,051","1,648"
2021,9,0,"1,626","1,351",11,7,13,13,14,58,48,12,9,,11,15,,19,45
2021,9,10,"2,657","2,187",17,4,25,13,22,140,48,24,19,,35,30,,26,67
2021,9,20,"3,040","2,390",24,5,51,22,45,106,86,29,22,,27,47,,64,122
2021,9,30,"2,281","1,784",17,6,33,17,29,87,67,20,21,,30,22,,50,98
2021,9,40,"3,881","3,163",36,16,39,13,55,146,104,38,24,,33,47,,49,118
2021,9,50,"5,179","3,483",62,24,109,77,116,231,228,96,82,,108,131,,159,273
2021,9,60,"4,750","2,481",100,49,158,85,171,336,296,142,92,,162,139,,215,324
2021,9,70,"4,228","1,886",98,63,184,118,185,281,232,173,95,,201,203,,226,283
2021,9,80,"3,436","1,189",75,44,219,157,223,215,264,146,90,,157,169,,206,282
2021,9,90,529,183,12,5,31,19,42,35,43,17,9,,27,38,,34,34
2021,9,100,28,14,1,0,0,1,1,0,1,1,2,,1,1,,3,2
2021,10,총,"31,678","20,186",450,222,860,534,905,"1,625","1,418",697,466,,791,840,,"1,042","1,642"
2021,10,0,"1,615","1,340",11,7,13,13,15,59,48,12,9,,10,14,,19,45
2021,10,10,"2,658","2,191",15,4,25,13,21,140,49,24,21,,36,30,,23,66
2021,10,20,"3,056","2,417",25,5,51,20,43,101,87,30,20,,27,47,,62,121
2021,10,30,"2,266","1,773",16,6,33,17,31,86,67,20,21,,30,22,,48,96
2021,10,40,"3,889","3,172",35,16,39,13,54,146,106,38,25,,32,47,,49,117
2021,10,50,"5,197","3,512",59,23,110,76,115,226,226,97,81,,107,133,,158,274
2021,10,60,"4,782","2,497",100,49,160,88,175,337,299,140,94,,162,139,,217,325
2021,10,70,"4,206","1,884",99,63,181,118,179,281,230,172,94,,197,200,,226,282
2021,10,80,"3,451","1,204",77,43,218,156,229,215,260,146,89,,162,169,,204,279
2021,10,90,534,182,12,6,30,20,42,34,45,18,10,,27,38,,35,35
2021,10,100,24,14,1,0,0,0,1,0,1,0,2,,1,1,,1,2
2021,11,총,"31,710","20,215",448,222,860,538,910,"1,620","1,425",697,462,,792,841,,"1,049","1,631"
2021,11,0,"1,615","1,338",11,7,12,13,16,60,46,12,9,,10,15,,20,46
2021,11,10,"2,648","2,187",15,4,25,13,20,141,48,25,19,,36,30,,23,62
2021,11,20,"3,056","2,408",23,5,53,21,45,100,89,30,22,,28,48,,63,121
2021,11,30,"2,270","1,780",18,6,35,16,33,81,69,20,19,,29,20,,48,96
2021,11,40,"3,881","3,164",36,16,38,12,52,147,104,38,24,,35,49,,51,115
2021,11,50,"5,218","3,527",58,23,107,75,117,223,228,98,84,,107,133,,162,276
2021,11,60,"4,809","2,518",97,48,164,91,177,341,302,140,91,,162,138,,217,323
2021,11,70,"4,185","1,891",101,64,179,119,175,278,229,167,94,,195,199,,219,275
2021,11,80,"3,465","1,202",76,43,215,157,232,215,263,150,90,,163,171,,208,280
2021,11,90,543,186,12,6,32,21,42,34,46,17,10,,27,38,,37,35
2021,11,100,20,14,1,0,0,0,1,0,1,0,0,,0,0,,1,2
2021,12,총,"31,714","20,230",448,224,859,536,907,"1,619","1,428",699,459,,794,839,,"1,051","1,621"
2021,12,0,"1,604","1,331",12,7,12,12,15,60,46,12,8,,9,15,,20,45
2021,12,10,"2,635","2,177",15,4,25,12,21,136,49,26,20,,37,29,,22,62
2021,12,20,"3,089","2,431",23,5,51,24,47,107,88,30,21,,27,50,,62,123
2021,12,30,"2,258","1,774",18,6,33,16,32,81,68,21,19,,31,19,,49,91
2021,12,40,"3,871","3,162",36,16,39,12,54,143,102,38,23,,34,48,,50,114
2021,12,50,"5,214","3,521",60,25,108,75,113,222,230,97,83,,108,132,,163,277
2021,12,60,"4,814","2,529",95,48,166,89,174,344,300,140,89,,162,137,,221,320
2021,12,70,"4,167","1,888",101,64,176,117,177,275,228,167,94,,196,197,,217,270
2021,12,80,"3,488","1,211",76,43,217,158,231,217,268,149,91,,161,173,,210,283
2021,12,90,555,192,11,6,32,21,42,34,48,19,11,,29,39,,36,35
2021,12,100,19,14,1,0,0,0,1,0,1,0,0,,0,0,,1,1
