년도,월,나이,제천시,봉양읍,금성면,청풍면,수산면,덕산면,한수면,백운면,송학면,교동,의림지동,중앙동,남현동,영서동,용두동,신백동,청전동,화산동
2020,5,20,"14,860",469,123,68,82,86,30,181,378,"2,238","1,310",636,569,"1,097","2,706","1,349","1,948","1,590"
2020,5,30,"13,388",447,114,68,79,80,41,130,227,"2,061","1,071",531,419,"1,157","2,166","1,109","1,428","2,260"
2020,5,40,"18,720",723,139,96,143,184,78,248,424,"3,377","1,635",765,560,"1,496","2,747","1,742","1,971","2,392"
2020,5,50,"24,265","1,293",410,275,427,410,144,631,949,"3,397","1,772","1,061",924,"1,797","3,154","2,147","3,055","2,419"
2020,5,60,"21,917","1,625",522,320,544,558,184,917,"1,160","2,184","1,274","1,217","1,058","1,542","2,203","1,509","3,145","1,955"
2020,5,70,"12,342",965,287,230,386,397,94,541,698,"1,076",550,722,626,"1,012","1,082",907,"1,615","1,154"
2020,5,80,"6,067",539,193,133,232,206,70,331,401,442,294,300,243,449,609,413,669,543
2020,5,90,793,82,27,16,21,32,14,50,57,40,49,51,26,46,72,54,98,58
2020,5,100,74,2,5,4,6,0,1,5,3,6,2,5,2,17,1,5,6,4
2020,6,총,"133,395","6,806","1,953","1,291","2,050","2,221",708,"3,262","4,616","18,906","9,959","5,959","4,954","10,301","18,030","11,203","15,793","15,383"
2020,6,0,"9,047",284,53,31,46,62,16,91,101,"1,658",827,268,213,820,"1,394",769,728,"1,686"
2020,6,10,"11,947",365,93,49,78,207,34,137,214,"2,430","1,151",440,320,894,"1,848","1,202","1,166","1,319"
2020,6,20,"14,798",473,118,69,79,85,32,180,378,"2,235","1,311",631,559,"1,079","2,712","1,341","1,939","1,577"
2020,6,30,"13,336",439,106,66,79,79,37,126,225,"2,063","1,074",520,420,"1,153","2,171","1,092","1,433","2,253"
2020,6,40,"18,682",727,142,94,143,183,77,244,420,"3,365","1,642",758,566,"1,492","2,750","1,740","1,948","2,391"
2020,6,50,"24,201","1,281",408,276,432,406,148,631,938,"3,393","1,768","1,050",920,"1,782","3,152","2,153","3,036","2,427"
2020,6,60,"22,070","1,647",516,325,549,557,185,923,"1,182","2,194","1,283","1,216","1,056","1,555","2,227","1,522","3,159","1,974"
2020,6,70,"12,356",962,290,229,386,404,92,542,699,"1,076",551,720,631,"1,013","1,088",908,"1,614","1,151"
2020,6,80,"6,084",543,193,133,230,206,71,333,398,445,302,301,242,449,614,417,666,541
2020,6,90,800,83,29,16,22,32,15,50,58,41,48,50,25,46,73,54,98,60
2020,6,100,74,2,5,3,6,0,1,5,3,6,2,5,2,18,1,5,6,4
2020,7,총,"133,277","6,800","1,952","1,294","2,053","2,227",707,"3,252","4,624","18,889","9,965","5,963","4,950","10,313","17,968","11,160","15,742","15,418"
2020,7,0,"9,003",272,54,29,44,63,16,92,101,"1,648",832,270,206,820,"1,379",756,723,"1,698"
2020,7,10,"11,889",370,91,49,78,205,34,135,204,"2,424","1,138",438,324,900,"1,846","1,191","1,150","1,312"
2020,7,20,"14,779",467,123,69,80,87,33,174,385,"2,231","1,318",638,558,"1,068","2,691","1,324","1,938","1,595"
2020,7,30,"13,296",435,106,67,77,79,36,125,227,"2,062","1,075",521,421,"1,168","2,151","1,084","1,429","2,233"
2020,7,40,"18,612",723,141,93,141,187,76,243,414,"3,359","1,637",764,558,"1,493","2,724","1,728","1,941","2,390"
2020,7,50,"24,181","1,283",408,273,434,403,149,621,943,"3,398","1,778","1,037",919,"1,781","3,161","2,160","2,997","2,436"
2020,7,60,"22,160","1,653",514,332,554,555,184,931,"1,189","2,196","1,285","1,218","1,066","1,554","2,234","1,533","3,174","1,988"
2020,7,70,"12,388",971,290,230,382,408,93,545,696,"1,077",554,725,631,"1,012","1,097",911,"1,612","1,154"
2020,7,80,"6,089",543,191,132,235,206,70,333,401,444,298,296,241,452,610,414,675,548
2020,7,90,809,81,29,18,22,34,15,50,61,44,48,51,24,47,74,54,97,60
2020,7,100,71,2,5,2,6,0,1,3,3,6,2,5,2,18,1,5,6,4
2020,8,총,"133,170","6,769","1,948","1,284","2,053","2,216",708,"3,251","4,633","18,895","9,950","5,954","4,945","10,323","17,959","11,145","15,751","15,386"
2020,8,0,"8,949",271,55,29,44,64,17,93,97,"1,643",829,256,206,823,"1,374",751,715,"1,682"
2020,8,10,"11,840",364,90,50,76,205,34,131,207,"2,425","1,132",438,321,884,"1,833","1,190","1,149","1,311"
2020,8,20,"14,750",465,123,67,79,86,30,178,385,"2,234","1,317",638,563,"1,077","2,663","1,316","1,931","1,598"
2020,8,30,"13,226",434,104,66,77,80,38,122,229,"2,051","1,064",512,412,"1,171","2,152","1,075","1,428","2,211"
2020,8,40,"18,583",707,140,90,141,181,76,245,419,"3,349","1,640",771,558,"1,491","2,717","1,729","1,946","2,383"
2020,8,50,"24,182","1,290",403,267,430,397,150,620,934,"3,403","1,779","1,039",917,"1,782","3,176","2,158","2,998","2,439"
2020,8,60,"22,230","1,645",519,337,557,557,184,931,"1,193","2,206","1,287","1,222","1,067","1,561","2,257","1,536","3,178","1,993"
2020,8,70,"12,414",967,291,223,382,405,93,544,699,"1,086",553,727,632,"1,013","1,101",912,"1,628","1,158"
2020,8,80,"6,113",541,190,135,240,207,70,334,406,447,298,294,242,456,612,419,674,548
2020,8,90,811,83,28,18,21,34,15,50,61,45,49,52,25,46,73,54,98,59
2020,8,100,72,2,5,2,6,0,1,3,3,6,2,5,2,19,1,5,6,4
2020,9,총,"133,246","6,772","1,947","1,299","2,056","2,212",715,"3,256","4,650","18,883","9,949","5,916","4,956","10,336","18,003","11,173","15,738","15,385"
2020,9,0,"8,916",269,53,32,44,65,21,92,97,"1,623",826,251,207,812,"1,380",765,707,"1,672"
2020,9,10,"11,822",355,91,52,73,203,33,130,209,"2,423","1,127",432,323,895,"1,823","1,182","1,153","1,318"
2020,9,20,"14,757",468,122,68,83,81,32,177,387,"2,254","1,315",637,566,"1,063","2,661","1,331","1,915","1,597"
2020,9,30,"13,197",437,104,65,77,77,38,121,232,"2,034","1,060",502,402,"1,182","2,158","1,068","1,434","2,206"
2020,9,40,"18,578",704,138,92,141,179,75,243,423,"3,342","1,638",764,563,"1,497","2,726","1,730","1,944","2,379"
2020,9,50,"24,107","1,290",399,272,428,395,149,616,920,"3,406","1,782","1,031",908,"1,779","3,169","2,156","2,973","2,434"
2020,9,60,"22,428","1,658",523,338,561,564,190,942,"1,209","2,223","1,299","1,221","1,080","1,568","2,293","1,553","3,202","2,004"
2020,9,70,"12,438",968,291,225,384,404,93,546,699,"1,078",553,728,639,"1,018","1,105",909,"1,632","1,166"
2020,9,80,"6,116",538,192,135,238,207,68,337,410,450,297,294,241,455,607,420,680,547
2020,9,90,815,83,29,18,21,37,15,49,61,44,50,51,25,48,80,54,92,58
2020,9,100,72,2,5,2,6,0,1,3,3,6,2,5,2,19,1,5,6,4
2020,10,총,"133,203","6,785","1,946","1,302","2,052","2,210",714,"3,258","4,618","18,860","9,958","5,926","4,937","10,295","18,050","11,198","15,693","15,401"
2020,10,0,"8,863",270,52,28,44,68,21,90,92,"1,621",824,252,200,795,"1,364",760,697,"1,685"
2020,10,10,"11,789",354,91,52,73,202,33,132,199,"2,412","1,135",433,322,899,"1,815","1,193","1,140","1,304"
2020,10,20,"14,768",473,123,67,83,80,31,176,375,"2,259","1,307",639,555,"1,052","2,677","1,339","1,923","1,609"
2020,10,30,"13,116",425,105,64,75,77,35,119,225,"2,024","1,049",503,402,"1,174","2,168","1,055","1,416","2,200"
2020,10,40,"18,517",710,138,92,138,179,75,245,419,"3,298","1,643",766,568,"1,476","2,725","1,737","1,947","2,361"
2020,10,50,"24,115","1,301",396,275,426,395,151,614,922,"3,426","1,780","1,023",907,"1,776","3,171","2,156","2,951","2,445"
2020,10,60,"22,533","1,659",526,343,570,563,188,945,"1,213","2,239","1,309","1,227","1,075","1,579","2,324","1,559","3,197","2,017"
2020,10,70,"12,436",960,289,226,378,403,94,550,698,"1,078",560,732,633,"1,010","1,113",918,"1,633","1,161"
2020,10,80,"6,166",548,193,136,241,206,69,333,409,454,296,295,248,465,613,419,688,553
2020,10,90,826,83,28,16,19,37,16,50,62,43,53,51,25,50,79,57,95,62
2020,10,100,74,2,5,3,5,0,1,4,4,6,2,5,2,19,1,5,6,4
2020,11,총,"133,115","6,780","1,945","1,288","2,042","2,204",715,"3,264","4,616","18,846","9,944","5,897","4,929","10,287","18,063","11,220","15,680","15,395"
2020,11,0,"8,800",269,48,27,42,68,21,86,95,"1,610",821,252,200,785,"1,361",746,694,"1,675"
2020,11,10,"11,746",355,90,51,69,200,34,136,200,"2,385","1,121",426,320,897,"1,809","1,207","1,129","1,317"
2020,11,20,"14,771",473,122,67,85,78,32,172,372,"2,276","1,302",649,562,"1,052","2,668","1,349","1,901","1,611"
2020,11,30,"13,043",420,104,65,73,77,38,121,223,"2,007","1,039",497,399,"1,157","2,172","1,039","1,420","2,192"
2020,11,40,"18,488",706,137,90,141,179,71,245,418,"3,295","1,638",757,559,"1,488","2,725","1,742","1,938","2,359"
2020,11,50,"24,052","1,299",393,268,421,393,151,612,907,"3,426","1,782","1,019",902,"1,761","3,174","2,158","2,943","2,443"
2020,11,60,"22,678","1,672",534,344,571,564,188,953,"1,223","2,262","1,328","1,219","1,077","1,594","2,347","1,572","3,201","2,029"
2020,11,70,"12,447",953,289,225,376,397,94,549,700,"1,081",562,730,636,"1,015","1,112",921,"1,656","1,151"
2020,11,80,"6,181",549,194,133,240,211,68,336,412,453,293,295,246,470,614,424,694,549
2020,11,90,835,82,29,15,19,37,17,50,62,45,56,48,26,49,80,57,98,65
2020,11,100,74,2,5,3,5,0,1,4,4,6,2,5,2,19,1,5,6,4
2020,12,총,"133,018","6,772","1,936","1,283","2,044","2,194",708,"3,263","4,633","18,898","9,931","5,874","4,920","10,284","17,990","11,188","15,739","15,361"
2020,12,0,"8,740",269,44,27,42,68,20,86,95,"1,602",821,248,198,770,"1,358",748,688,"1,656"
2020,12,10,"11,695",354,91,48,69,193,33,132,205,"2,383","1,124",420,309,904,"1,792","1,184","1,134","1,320"
2020,12,20,"14,739",476,120,68,88,75,31,166,373,"2,291","1,274",645,557,"1,059","2,624","1,357","1,921","1,614"
2020,12,30,"13,011",423,105,63,73,75,37,124,226,"2,011","1,040",495,401,"1,145","2,174","1,031","1,409","2,179"
2020,12,40,"18,442",708,138,89,139,182,67,245,417,"3,304","1,634",746,562,"1,476","2,718","1,735","1,929","2,353"
2020,12,50,"24,010","1,286",387,266,400,388,148,607,900,"3,434","1,778","1,020",910,"1,779","3,157","2,156","2,953","2,441"
2020,12,60,"22,803","1,677",532,349,593,565,188,964,"1,224","2,286","1,335","1,221","1,080","1,603","2,359","1,572","3,223","2,032"
2020,12,70,"12,444",939,290,221,377,398,96,543,710,"1,075",564,733,633,"1,012","1,122",912,"1,675","1,144"
2020,12,80,"6,236",559,194,135,238,213,70,341,416,462,303,298,244,467,609,432,701,554
2020,12,90,822,79,30,14,20,37,16,51,62,44,56,43,24,50,76,56,100,64
2020,12,100,76,2,5,3,5,0,2,4,5,6,2,5,2,19,1,5,6,4
2021,1,총,"132,759","6,777","1,929","1,276","2,027","2,203",713,"3,254","4,605","18,847","9,995","5,855","4,896","10,318","17,917","11,167","15,630","15,350"
2021,1,0,"8,661",271,43,27,40,74,21,85,91,"1,574",813,246,184,780,"1,343",737,688,"1,644"
2021,1,10,"11,613",350,89,48,67,190,33,131,200,"2,373","1,119",411,309,910,"1,778","1,173","1,109","1,323"
2021,1,20,"14,649",474,118,69,88,74,32,162,358,"2,287","1,264",644,557,"1,055","2,594","1,366","1,905","1,602"
2021,1,30,"12,947",420,104,63,73,78,38,126,225,"1,981","1,043",487,393,"1,150","2,161","1,018","1,416","2,171"
2021,1,40,"18,363",707,133,85,131,185,68,243,413,"3,296","1,618",736,561,"1,463","2,711","1,733","1,921","2,359"
2021,1,50,"23,933","1,288",382,263,393,384,146,602,890,"3,428","1,801","1,012",892,"1,777","3,151","2,158","2,925","2,441"
2021,1,60,"22,941","1,681",536,348,593,569,190,964,"1,232","2,311","1,353","1,230","1,094","1,627","2,373","1,580","3,225","2,035"
2021,1,70,"12,479",947,288,221,381,395,96,547,709,"1,079",603,741,636,"1,016","1,117",909,"1,647","1,147"
2021,1,80,"6,264",557,200,137,235,216,71,339,419,467,321,302,245,468,610,429,687,561
2021,1,90,832,80,31,13,21,38,16,51,63,46,58,41,23,53,78,57,101,62
2021,1,100,77,2,5,2,5,0,2,4,5,5,2,5,2,19,1,7,6,5
2021,2,총,"132,506","6,754","1,927","1,271","2,021","2,206",708,"3,249","4,595","18,830","9,976","5,876","4,879","10,299","17,859","11,164","15,592","15,300"
2021,2,0,"8,615",268,40,26,38,70,22,88,93,"1,560",819,252,186,771,"1,335",739,674,"1,634"
2021,2,10,"11,542",348,88,48,67,201,32,126,199,"2,367","1,112",414,300,901,"1,751","1,166","1,106","1,316"
2021,2,20,"14,544",474,120,66,85,75,32,162,349,"2,290","1,234",650,555,"1,049","2,560","1,365","1,896","1,582"
2021,2,30,"12,839",427,98,63,74,78,37,129,222,"1,959","1,028",481,392,"1,138","2,146","1,016","1,398","2,153"
2021,2,40,"18,310",693,136,83,125,186,66,238,411,"3,299","1,621",734,552,"1,467","2,709","1,726","1,907","2,357"
2021,2,50,"23,888","1,270",383,260,393,376,142,598,882,"3,424","1,802","1,024",897,"1,774","3,158","2,161","2,918","2,426"
2021,2,60,"23,040","1,694",537,352,596,569,191,967,"1,232","2,317","1,357","1,224","1,087","1,636","2,395","1,587","3,249","2,050"
2021,2,70,"12,502",946,284,221,381,398,98,544,714,"1,090",614,747,635,"1,016","1,116",905,"1,643","1,150"
2021,2,80,"6,320",553,206,138,236,214,70,342,425,471,328,304,250,477,613,434,696,563
2021,2,90,827,79,30,12,21,39,16,51,63,48,58,40,23,52,75,58,99,63
2021,2,100,79,2,5,2,5,0,2,4,5,5,3,6,2,18,1,7,6,6
2021,3,총,"132,542","6,738","1,928","1,275","2,023","2,202",711,"3,253","4,607","18,749","9,968","5,873","4,876","10,295","17,959","11,154","15,614","15,317"
2021,3,0,"8,548",263,42,25,39,71,20,85,98,"1,536",804,244,187,778,"1,324",736,668,"1,628"
2021,3,10,"11,536",338,86,46,67,193,36,126,193,"2,348","1,104",403,293,904,"1,772","1,163","1,114","1,350"
2021,3,20,"14,626",471,119,68,83,76,33,162,358,"2,279","1,252",656,554,"1,045","2,639","1,367","1,904","1,560"
2021,3,30,"12,802",424,98,65,76,79,39,133,226,"1,944","1,020",477,394,"1,134","2,147","1,012","1,398","2,136"
2021,3,40,"18,225",693,139,81,128,188,66,237,408,"3,261","1,612",740,547,"1,450","2,689","1,720","1,900","2,366"
2021,3,50,"23,792","1,270",379,262,386,369,141,590,871,"3,420","1,793","1,011",892,"1,777","3,154","2,151","2,896","2,430"
2021,3,60,"23,271","1,708",541,359,600,576,193,983,"1,248","2,334","1,374","1,236","1,102","1,650","2,427","1,601","3,282","2,057"
2021,3,70,"12,463",941,281,218,384,399,97,536,704,"1,090",614,752,630,"1,010","1,110",902,"1,643","1,152"
2021,3,80,"6,388",550,208,139,236,214,69,349,433,485,336,308,253,477,623,433,706,569
2021,3,90,828,80,30,12,20,37,15,50,63,48,56,42,23,54,73,62,97,66
2021,3,100,63,0,5,0,4,0,2,2,5,4,3,4,1,16,1,7,6,3
2021,4,총,"132,643","6,749","1,923","1,281","2,025","2,198",713,"3,301","4,610","18,724","9,962","5,864","4,893","10,313","18,013","11,154","15,615","15,305"
2021,4,0,"8,503",264,41,25,39,70,20,84,98,"1,520",802,237,191,778,"1,319",734,666,"1,615"
2021,4,10,"11,560",339,89,46,66,193,36,127,197,"2,331","1,097",404,294,909,"1,803","1,154","1,105","1,370"
2021,4,20,"14,665",479,116,69,80,74,34,183,351,"2,278","1,258",660,561,"1,055","2,656","1,356","1,907","1,548"
2021,4,30,"12,771",417,96,65,77,80,39,134,228,"1,936","1,018",472,403,"1,132","2,159","1,012","1,382","2,121"
2021,4,40,"18,174",693,142,81,129,183,65,237,408,"3,242","1,610",731,543,"1,453","2,682","1,720","1,894","2,361"
2021,4,50,"23,737","1,270",371,265,389,368,140,603,864,"3,430","1,790","1,006",887,"1,757","3,140","2,156","2,890","2,411"
2021,4,60,"23,453","1,723",545,361,599,581,196,995,"1,254","2,356","1,374","1,242","1,106","1,674","2,442","1,618","3,309","2,078"
2021,4,70,"12,416",933,276,217,384,391,95,535,708,"1,087",613,748,633,"1,000","1,104",896,"1,649","1,147"
2021,4,80,"6,461",553,212,140,238,219,71,350,430,490,341,319,252,484,634,436,707,585
2021,4,90,837,78,30,12,20,39,15,51,67,49,56,41,22,55,72,65,100,65
2021,4,100,66,0,5,0,4,0,2,2,5,5,3,4,1,16,2,7,6,4
2021,5,총,"132,659","6,741","1,926","1,278","2,028","2,197",712,"3,308","4,612","18,721","9,982","5,873","4,900","10,276","18,084","11,155","15,568","15,298"
2021,5,0,"8,468",259,39,25,39,70,19,80,99,"1,524",800,240,190,778,"1,303",732,662,"1,609"
2021,5,10,"11,540",336,87,44,65,192,33,128,199,"2,308","1,083",400,294,908,"1,831","1,152","1,108","1,372"
2021,5,20,"14,696",483,115,70,78,73,35,179,346,"2,284","1,285",669,565,"1,046","2,711","1,352","1,880","1,525"
2021,5,30,"12,748",418,97,63,77,82,38,134,231,"1,925","1,023",459,400,"1,115","2,157","1,023","1,380","2,126"
2021,5,40,"18,093",687,141,78,131,180,65,237,407,"3,230","1,613",729,540,"1,452","2,677","1,703","1,873","2,350"
2021,5,50,"23,672","1,264",368,261,388,365,142,600,863,"3,445","1,787","1,009",891,"1,739","3,122","2,148","2,876","2,404"
2021,5,60,"23,650","1,741",554,366,602,591,197,"1,007","1,260","2,368","1,376","1,250","1,111","1,690","2,486","1,638","3,316","2,097"
2021,5,70,"12,384",921,276,215,383,387,95,533,707,"1,084",615,747,633,993,"1,092",896,"1,657","1,150"
2021,5,80,"6,503",556,211,144,240,221,71,355,430,496,340,325,254,483,633,439,709,596
2021,5,90,839,76,33,12,21,36,15,53,65,52,57,41,21,56,70,65,101,65
2021,5,100,66,0,5,0,4,0,2,2,5,5,3,4,1,16,2,7,6,4
2021,6,총,"132,313","6,696","1,914","1,272","2,015","2,188",705,"3,292","4,607","18,673","9,989","5,813","4,886","10,247","18,033","11,140","15,551","15,292"
2021,6,0,"8,425",254,37,25,37,71,19,79,98,"1,518",798,238,195,778,"1,299",721,655,"1,603"
2021,6,10,"11,507",336,89,43,67,194,33,129,204,"2,290","1,087",389,296,902,"1,811","1,154","1,104","1,379"
2021,6,20,"14,675",478,109,70,77,71,35,170,351,"2,289","1,287",668,560,"1,054","2,710","1,351","1,871","1,524"
2021,6,30,"12,687",402,95,62,78,81,38,134,232,"1,904","1,024",456,400,"1,103","2,152","1,011","1,392","2,123"
2021,6,40,"17,984",691,138,76,129,172,65,232,390,"3,208","1,602",716,535,"1,446","2,669","1,710","1,857","2,348"
2021,6,50,"23,511","1,247",362,261,387,363,142,596,853,"3,437","1,787",990,881,"1,730","3,093","2,134","2,861","2,387"
2021,6,60,"23,780","1,742",556,368,600,591,193,"1,017","1,274","2,390","1,391","1,243","1,110","1,697","2,510","1,655","3,328","2,115"
2021,6,70,"12,365",918,274,212,383,386,93,531,705,"1,083",615,746,631,983,"1,087",897,"1,669","1,152"
2021,6,80,"6,496",554,214,144,236,222,71,355,429,498,339,322,256,482,631,440,708,595
2021,6,90,825,73,35,11,21,37,15,48,66,51,56,41,21,57,69,62,100,62
2021,6,100,58,1,5,0,0,0,1,1,5,5,3,4,1,15,2,5,6,4
2021,7,총,"132,269","6,709","1,911","1,272","2,016","2,183",702,"3,288","4,609","18,723","9,955","5,822","4,908","10,212","18,011","11,143","15,511","15,294"
2021,7,0,"8,381",251,37,24,36,71,19,74,98,"1,519",784,241,199,770,"1,308",704,647,"1,599"
2021,7,10,"11,492",337,88,42,66,190,33,134,206,"2,291","1,092",392,288,903,"1,790","1,159","1,099","1,382"
2021,7,20,"14,626",480,110,69,74,72,34,165,351,"2,285","1,271",662,558,"1,047","2,686","1,347","1,863","1,552"
2021,7,30,"12,626",394,94,62,79,79,37,133,229,"1,911","1,012",461,411,"1,101","2,143","1,001","1,396","2,083"
2021,7,40,"17,922",681,135,78,131,168,65,232,386,"3,195","1,603",714,529,"1,429","2,661","1,712","1,849","2,354"
2021,7,50,"23,521","1,262",358,262,386,358,141,587,859,"3,459","1,782","1,000",895,"1,735","3,080","2,146","2,832","2,379"
2021,7,60,"23,923","1,754",560,366,606,600,194,"1,029","1,278","2,419","1,404","1,239","1,119","1,692","2,544","1,664","3,332","2,123"
2021,7,70,"12,361",922,275,213,380,386,93,526,702,"1,083",616,742,629,972,"1,090",902,"1,679","1,151"
2021,7,80,"6,537",551,214,145,237,222,71,360,429,505,336,327,259,491,638,442,710,600
2021,7,90,822,76,34,11,21,37,14,48,66,51,52,40,20,56,69,62,98,67
2021,7,100,58,1,6,0,0,0,1,0,5,5,3,4,1,16,2,4,6,4
2021,8,총,"132,090","6,716","1,903","1,269","2,012","2,170",703,"3,304","4,594","18,675","9,950","5,810","4,892","10,161","17,989","11,136","15,520","15,286"
2021,8,0,"8,344",248,38,23,36,66,19,76,98,"1,515",775,241,196,772,"1,298",694,659,"1,590"
2021,8,10,"11,421",336,87,42,65,189,34,133,195,"2,269","1,092",387,282,885,"1,796","1,153","1,085","1,391"
