년도,월,나이,장흥군,장흥읍,관산읍,대덕읍,용산면,안양면,장동면,장평면,유치면,부산면,회진면
2021,9,10,"1,239",725,123,97,53,52,22,50,11,34,72
2021,9,20,"1,258",694,129,85,43,81,31,56,25,40,74
2021,9,30,"1,209",741,118,79,50,58,26,35,17,23,62
2021,9,40,"1,738","1,009",171,114,77,106,30,48,33,48,102
2021,9,50,"2,758","1,148",368,245,151,206,78,159,96,93,214
2021,9,60,"3,388","1,152",494,339,248,291,134,190,124,113,303
2021,9,70,"3,054",829,514,323,232,270,111,235,98,147,295
2021,9,80,"2,744",617,436,304,244,271,160,258,89,156,209
2021,9,90,542,135,78,55,58,77,20,35,16,43,25
2021,9,100,20,10,3,1,3,1,1,1,0,0,0
2021,10,총,"18,847","7,670","2,494","1,712","1,195","1,443",630,"1,085",515,706,"1,397"
2021,10,0,931,619,62,77,36,29,20,19,10,12,47
2021,10,10,"1,234",724,124,92,54,53,22,50,10,33,72
2021,10,20,"1,255",692,127,85,45,81,30,56,25,41,73
2021,10,30,"1,199",728,118,79,51,61,25,36,16,22,63
2021,10,40,"1,731","1,013",169,114,75,103,30,48,32,46,101
2021,10,50,"2,747","1,149",360,244,151,206,77,158,97,95,210
2021,10,60,"3,384","1,145",498,340,246,291,135,191,121,113,304
2021,10,70,"3,048",830,518,318,231,272,110,230,98,147,294
2021,10,80,"2,756",626,436,307,244,270,159,261,89,157,207
2021,10,90,542,134,79,55,59,76,21,35,17,40,26
2021,10,100,20,10,3,1,3,1,1,1,0,0,0
2021,11,총,"18,801","7,646","2,500","1,711","1,191","1,435",628,"1,085",513,707,"1,385"
2021,11,0,929,621,63,74,37,28,20,19,10,11,46
2021,11,10,"1,230",724,124,92,54,52,21,49,10,34,70
2021,11,20,"1,249",685,125,87,44,82,30,58,25,40,73
2021,11,30,"1,187",720,121,78,53,58,25,35,16,23,58
2021,11,40,"1,722","1,010",171,113,75,102,30,45,32,45,99
2021,11,50,"2,750","1,153",357,247,153,203,77,161,96,97,206
2021,11,60,"3,385","1,144",502,340,242,293,133,189,119,114,309
2021,11,70,"3,031",825,520,317,229,269,110,229,99,140,293
2021,11,80,"2,758",627,434,307,243,271,159,264,89,159,205
2021,11,90,546,134,80,55,58,75,22,35,17,44,26
2021,11,100,14,3,3,1,3,2,1,1,0,0,0
2021,12,총,"18,762","7,627","2,503","1,699","1,185","1,436",624,"1,087",511,707,"1,383"
2021,12,0,922,618,64,71,38,27,21,19,8,11,45
2021,12,10,"1,224",718,123,93,51,53,21,50,10,34,71
2021,12,20,"1,245",674,126,84,50,85,30,58,24,42,72
2021,12,30,"1,175",716,118,76,54,56,25,35,16,23,56
2021,12,40,"1,721","1,014",173,111,69,105,29,46,32,45,97
2021,12,50,"2,747","1,155",358,247,149,200,78,161,96,96,207
2021,12,60,"3,387","1,147",507,338,243,292,130,189,121,110,310
2021,12,70,"3,029",824,519,317,227,272,111,228,95,143,293
2021,12,80,"2,755",623,430,307,244,269,157,265,94,160,206
2021,12,90,546,135,82,55,58,75,22,35,15,43,26
2021,12,100,11,3,3,0,2,2,0,1,0,0,0
