년도,월,나이,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020,6,0,"86,595","31,131","10,283","20,848","2,914","3,157","16,497","7,608","3,631","1,982","7,840","1,318","1,419","1,204",654,"3,807","1,819","1,614"
2020,6,10,"98,410","33,352","12,857","20,495","4,084","4,077","16,601","8,175","4,835","3,068","7,462","2,085","2,282","1,708",961,"4,730","2,824","2,166"
2020,6,20,"108,729","45,693","16,659","29,034","5,085","3,990","15,860","7,892","5,068","2,144","6,725","1,714","2,320","1,649","1,142","4,342","2,991","2,114"
2020,6,30,"126,550","50,165","16,219","33,946","4,554","4,453","22,854","10,043","5,253","2,394","10,113","1,863","2,074","1,583",908,"5,179","2,786","2,328"
2020,6,40,"153,493","54,174","20,997","33,177","6,426","6,405","25,277","12,966","7,362","4,350","11,626","2,810","3,362","2,686","1,335","6,972","4,364","3,378"
2020,6,50,"160,595","49,873","21,504","28,369","9,024","8,091","20,945","13,163","9,542","3,405","11,323","4,155","5,330","3,971","2,438","7,621","6,555","5,159"
2020,6,60,"135,366","30,122","14,874","15,248","8,922","8,509","15,399","10,630","9,720","2,176","10,052","4,696","6,382","5,125","2,916","7,318","7,280","6,119"
2020,6,70,"93,176","16,332","8,310","8,022","6,223","6,200","9,978","7,347","7,224","1,098","6,949","3,765","5,247","4,470","2,508","5,529","5,685","4,621"
2020,6,80,"64,387","9,680","5,108","4,572","4,609","4,036","6,187","5,244","5,268",729,"5,097","2,800","4,080","3,351","2,125","4,108","4,177","2,896"
2020,6,90,"10,547","1,638",883,755,713,695,979,940,866,128,827,402,726,599,313,621,632,468
2020,6,100,699,124,63,61,48,47,79,54,65,10,55,23,49,34,16,42,33,20
2020,7,총,"1,038,940","322,625","127,858","194,767","52,614","49,632","150,753","84,164","58,757","21,466","78,050","25,639","33,240","26,389","15,283","50,291","39,144","30,893"
2020,7,0,"86,295","31,076","10,249","20,827","2,896","3,150","16,397","7,597","3,622","1,970","7,816","1,310","1,404","1,206",650,"3,790","1,814","1,597"
2020,7,10,"98,249","33,276","12,806","20,470","4,080","4,059","16,613","8,153","4,812","3,070","7,450","2,078","2,271","1,708",960,"4,739","2,806","2,174"
2020,7,20,"108,699","45,686","16,658","29,028","5,080","3,979","15,953","7,895","5,065","2,135","6,691","1,720","2,308","1,626","1,131","4,344","2,995","2,091"
2020,7,30,"126,198","50,186","16,187","33,999","4,549","4,442","22,709","10,006","5,218","2,373","10,067","1,848","2,068","1,559",902,"5,153","2,795","2,323"
2020,7,40,"153,622","54,269","21,025","33,244","6,408","6,381","25,352","13,000","7,338","4,346","11,629","2,815","3,349","2,707","1,329","6,960","4,350","3,389"
2020,7,50,"160,609","49,902","21,496","28,406","9,010","8,087","20,999","13,188","9,516","3,407","11,333","4,151","5,297","3,967","2,428","7,619","6,531","5,174"
