년도,월,나이,성주군,성주읍,선남면,용암면,수륜면,가천면,금수면,대가면,벽진면,초전면,월항면
2020,8,10,"1,007",562,80,38,56,22,15,46,37,96,55
2020,8,20,"1,455",649,176,93,63,47,24,78,82,139,104
2020,8,30,"1,490",672,195,89,77,38,17,59,86,147,110
2020,8,40,"1,918",958,177,120,101,54,36,87,82,186,117
2020,8,50,"3,876","1,179",621,327,287,199,94,190,290,394,295
2020,8,60,"4,342","1,032",663,402,349,252,142,276,373,484,369
2020,8,70,"3,141",699,440,277,281,177,106,244,270,374,273
2020,8,80,"2,323",458,299,228,266,152,107,156,191,271,195
2020,8,90,367,75,49,40,49,23,14,26,36,27,28
2020,8,100,21,5,4,1,4,1,0,0,2,3,1
2020,9,총,"20,863","6,748","2,794","1,670","1,577",994,565,"1,207","1,502","2,209","1,597"
2020,9,0,954,480,88,60,39,27,11,43,56,89,61
2020,9,10,"1,002",556,80,40,54,21,15,48,38,96,54
2020,9,20,"1,444",646,176,89,62,49,25,79,80,138,100
2020,9,30,"1,479",667,194,91,79,34,18,60,83,145,108
2020,9,40,"1,899",950,171,120,97,55,34,88,79,187,118
2020,9,50,"3,876","1,175",624,325,295,199,94,191,287,394,292
2020,9,60,"4,348","1,040",669,401,347,252,138,271,378,482,370
2020,9,70,"3,135",703,439,271,282,178,107,242,269,374,270
2020,9,80,"2,335",452,301,232,269,155,109,158,192,272,195
2020,9,90,370,75,48,40,48,23,14,27,38,29,28
2020,9,100,21,4,4,1,5,1,0,0,2,3,1
2020,10,총,"20,848","6,743","2,798","1,668","1,576",993,562,"1,215","1,495","2,199","1,599"
2020,10,0,947,479,88,59,39,27,9,44,56,88,58
2020,10,10,999,554,79,39,55,21,15,47,38,96,55
2020,10,20,"1,424",640,173,91,58,46,24,80,78,135,99
2020,10,30,"1,472",660,194,88,80,37,17,60,82,147,107
2020,10,40,"1,908",957,177,120,96,55,32,89,80,184,118
2020,10,50,"3,858","1,168",619,328,293,200,95,195,280,388,292
2020,10,60,"4,358","1,043",670,401,350,252,139,268,379,484,372
2020,10,70,"3,146",704,443,271,285,177,108,244,270,375,269
2020,10,80,"2,334",455,301,230,266,153,109,161,192,268,199
2020,10,90,381,79,50,40,49,24,14,27,38,31,29
2020,10,100,21,4,4,1,5,1,0,0,2,3,1
2020,11,총,"20,876","6,748","2,788","1,672","1,578","1,009",579,"1,217","1,492","2,196","1,597"
2020,11,0,948,481,86,58,40,30,9,43,56,86,59
2020,11,10,"1,001",560,79,41,55,21,15,48,38,90,54
2020,11,20,"1,427",642,170,91,58,47,29,80,76,137,97
2020,11,30,"1,476",660,194,90,83,40,18,59,81,144,107
2020,11,40,"1,910",953,177,120,97,55,36,88,81,185,118
2020,11,50,"3,844","1,159",614,326,293,204,96,194,275,387,296
2020,11,60,"4,382","1,047",672,405,348,254,144,270,382,490,370
2020,11,70,"3,132",707,441,270,282,177,108,243,266,369,269
2020,11,80,"2,356",459,300,231,268,156,109,164,196,273,200
2020,11,90,378,76,51,39,49,24,15,28,39,32,25
2020,11,100,22,4,4,1,5,1,0,0,2,3,2
2020,12,총,"20,941","6,762","2,779","1,703","1,579","1,021",586,"1,215","1,491","2,204","1,601"
2020,12,0,945,484,84,59,37,30,9,39,54,87,62
2020,12,10,994,565,78,39,50,22,15,47,37,89,52
2020,12,20,"1,434",635,170,98,64,50,30,84,74,132,97
2020,12,30,"1,479",654,192,95,84,40,19,59,84,141,111
2020,12,40,"1,920",959,173,123,98,58,36,90,83,181,119
2020,12,50,"3,855","1,165",607,330,290,205,101,193,273,393,298
2020,12,60,"4,433","1,056",675,417,356,259,140,271,387,502,370
2020,12,70,"3,123",706,445,269,278,172,112,240,265,368,268
2020,12,80,"2,357",459,297,233,268,159,110,166,194,274,197
2020,12,90,379,76,54,39,49,24,14,26,38,34,25
2020,12,100,22,3,4,1,5,2,0,0,2,3,2
2021,1,총,"20,906","6,753","2,788","1,688","1,577","1,016",583,"1,215","1,490","2,198","1,598"
2021,1,0,943,486,86,58,36,29,10,37,55,87,59
2021,1,10,992,562,80,37,52,21,15,47,36,89,53
2021,1,20,"1,412",628,166,92,62,50,30,85,74,128,97
2021,1,30,"1,480",648,198,92,83,37,22,60,86,142,112
2021,1,40,"1,918",962,175,122,96,58,34,87,87,179,118
2021,1,50,"3,818","1,160",605,324,292,199,100,190,261,392,295
2021,1,60,"4,452","1,057",675,423,360,265,136,277,391,500,368
2021,1,70,"3,128",716,445,264,279,170,111,237,268,368,270
2021,1,80,"2,356",457,298,233,263,160,111,169,192,275,198
2021,1,90,386,75,56,42,49,25,14,26,38,35,26
2021,1,100,21,2,4,1,5,2,0,0,2,3,2
2021,2,총,"20,859","6,722","2,785","1,687","1,573","1,013",581,"1,220","1,485","2,199","1,594"
2021,2,0,938,485,85,59,34,28,9,38,54,85,61
2021,2,10,999,565,82,40,53,20,15,46,38,89,51
2021,2,20,"1,373",607,160,87,58,47,30,86,71,129,98
2021,2,30,"1,481",647,198,91,81,39,22,60,87,143,113
2021,2,40,"1,899",957,177,120,97,56,31,88,86,174,113
2021,2,50,"3,787","1,148",597,322,289,200,101,190,256,391,293
2021,2,60,"4,465","1,059",679,426,361,266,137,279,392,501,365
2021,2,70,"3,115",714,449,262,272,167,109,233,269,370,270
2021,2,80,"2,392",462,298,237,272,162,113,176,192,278,202
2021,2,90,389,76,56,42,51,26,14,24,38,36,26
2021,2,100,21,2,4,1,5,2,0,0,2,3,2
2021,3,총,"20,776","6,698","2,776","1,678","1,558","1,013",581,"1,214","1,474","2,205","1,579"
2021,3,0,929,488,83,58,31,29,8,35,53,84,60
2021,3,10,987,556,82,38,54,21,16,44,37,89,50
2021,3,20,"1,343",601,154,86,54,44,30,79,70,129,96
2021,3,30,"1,456",640,191,89,81,39,20,57,87,141,111
2021,3,40,"1,890",948,180,118,95,57,33,88,82,177,112
2021,3,50,"3,746","1,140",586,318,285,199,100,189,254,388,287
2021,3,60,"4,522","1,067",689,431,366,268,140,288,394,510,369
2021,3,70,"3,115",720,450,263,271,167,107,232,268,368,269
2021,3,80,"2,387",460,298,236,273,160,113,177,190,281,199
2021,3,90,391,78,59,40,48,27,14,25,38,37,25
2021,3,100,10,0,4,1,0,2,0,0,1,1,1
2021,4,총,"20,804","6,702","2,786","1,671","1,557","1,018",578,"1,220","1,483","2,204","1,585"
2021,4,0,933,484,88,57,32,31,8,35,53,85,60
2021,4,10,988,560,84,39,52,22,15,42,37,87,50
2021,4,20,"1,339",597,156,82,53,46,27,82,71,129,96
2021,4,30,"1,471",653,192,90,83,40,19,58,86,140,110
2021,4,40,"1,874",943,177,112,95,56,35,86,81,178,111
2021,4,50,"3,751","1,142",586,320,283,194,100,188,261,385,292
2021,4,60,"4,546","1,065",696,433,370,268,137,294,396,515,372
2021,4,70,"3,117",721,450,263,269,170,110,230,268,367,269
2021,4,80,"2,381",457,293,235,272,162,112,180,192,279,199
2021,4,90,394,80,60,39,48,27,15,25,37,38,25
2021,4,100,10,0,4,1,0,2,0,0,1,1,1
2021,5,총,"20,744","6,658","2,800","1,665","1,537","1,019",580,"1,214","1,485","2,206","1,580"
2021,5,0,940,484,91,55,32,34,8,35,53,86,62
2021,5,10,976,559,80,38,51,20,15,42,36,85,50
2021,5,20,"1,337",598,159,84,51,45,28,78,74,126,94
2021,5,30,"1,465",648,195,87,81,40,20,59,87,138,110
2021,5,40,"1,854",929,176,114,89,56,36,86,80,179,109
2021,5,50,"3,699","1,119",583,316,274,192,101,187,255,383,289
2021,5,60,"4,567","1,070",704,433,368,270,135,293,400,521,373
2021,5,70,"3,116",712,457,264,270,170,111,230,267,367,268
2021,5,80,"2,387",459,290,235,273,163,111,180,194,282,200
2021,5,90,394,80,61,39,48,27,15,24,38,38,24
2021,5,100,9,0,4,0,0,2,0,0,1,1,1
2021,6,총,"20,726","6,662","2,794","1,660","1,539","1,022",578,"1,213","1,484","2,209","1,565"
2021,6,0,929,481,88,55,30,35,10,33,54,85,58
2021,6,10,984,554,87,37,53,19,16,42,39,86,51
2021,6,20,"1,323",597,152,83,51,45,26,77,73,125,94
2021,6,30,"1,468",652,192,85,81,42,20,61,90,140,105
2021,6,40,"1,855",930,177,115,90,57,35,86,78,178,109
2021,6,50,"3,679","1,123",584,312,266,190,102,182,252,382,286
2021,6,60,"4,583","1,068",707,435,377,271,134,298,402,523,368
2021,6,70,"3,116",717,454,262,269,172,110,230,264,368,270
2021,6,80,"2,375",458,288,237,273,162,109,179,194,277,198
2021,6,90,404,82,60,39,49,27,16,25,37,44,25
2021,6,100,10,0,5,0,0,2,0,0,1,1,1
2021,7,총,"20,716","6,665","2,794","1,655","1,558","1,012",577,"1,205","1,482","2,204","1,564"
2021,7,0,928,481,88,56,35,33,8,33,53,83,58
2021,7,10,993,558,89,37,53,20,15,41,41,88,51
2021,7,20,"1,314",596,152,76,55,44,26,78,73,120,94
2021,7,30,"1,464",648,189,85,83,42,21,59,90,141,106
2021,7,40,"1,860",934,180,116,92,54,36,83,77,179,109
2021,7,50,"3,660","1,118",578,313,271,190,102,177,251,378,282
2021,7,60,"4,585","1,074",711,431,377,268,134,297,398,528,367
2021,7,70,"3,116",715,453,265,266,172,110,234,264,366,271
2021,7,80,"2,383",459,292,236,277,160,108,177,198,276,200
2021,7,90,403,82,57,40,49,27,17,26,36,44,25
2021,7,100,10,0,5,0,0,2,0,0,1,1,1
2021,8,총,"20,683","6,664","2,787","1,652","1,555","1,008",571,"1,201","1,478","2,205","1,562"
2021,8,0,928,479,91,54,34,34,8,34,51,85,58
2021,8,10,990,558,90,38,54,20,15,41,41,86,47
2021,8,20,"1,299",595,148,76,53,42,21,75,74,119,96
2021,8,30,"1,459",648,185,85,82,44,19,59,87,143,107
2021,8,40,"1,854",934,179,116,91,54,36,83,77,176,108
2021,8,50,"3,647","1,111",579,308,270,189,103,177,251,378,281
2021,8,60,"4,582","1,075",707,434,377,269,134,295,396,527,368
2021,8,70,"3,123",717,455,265,270,165,111,235,263,370,272
2021,8,80,"2,385",466,291,234,275,163,105,175,200,276,200
2021,8,90,406,81,57,42,49,26,19,27,37,44,24
2021,8,100,10,0,5,0,0,2,0,0,1,1,1
