년도,월,나이,광양시,광양읍,봉강면,옥룡면,옥곡면,진상면,진월면,다압면,골약동,중마동,광영동,금호동,태인동
2020,10,80,"3,182","1,078",158,235,196,239,221,133,130,406,193,87,106
2020,10,90,609,213,30,41,37,52,62,21,24,66,30,17,16
2020,10,100,17,9,0,1,1,2,2,1,0,1,0,0,0
2020,11,총,"72,130","23,825","1,038","1,544","1,382","1,421","1,408",901,732,"27,541","5,892","5,632",814
2020,11,0,"6,601","2,199",26,48,30,38,37,25,18,"3,246",465,442,27
2020,11,10,"7,728","2,439",53,71,56,55,39,42,28,"3,577",598,712,58
2020,11,20,"8,320","2,773",81,96,103,77,69,50,44,"3,531",691,743,62
2020,11,30,"8,571","2,908",57,73,69,70,61,44,49,"4,039",599,556,46
2020,11,40,"11,597","3,801",79,122,108,87,100,53,49,"5,354",930,848,66
2020,11,50,"13,041","3,985",187,276,248,230,207,153,102,"4,844","1,314","1,330",165
2020,11,60,"7,939","2,808",187,296,276,285,302,194,140,"1,769",766,768,148
2020,11,70,"4,528","1,616",179,280,257,288,310,183,148,706,308,132,121
2020,11,80,"3,183","1,078",158,238,199,238,219,133,132,407,192,85,104
2020,11,90,603,208,31,43,35,50,62,23,22,67,29,16,17
2020,11,100,19,10,0,1,1,3,2,1,0,1,0,0,0
2020,12,총,"72,625","23,992","1,063","1,577","1,399","1,432","1,433",914,733,"27,735","5,913","5,614",820
2020,12,0,"6,591","2,205",25,51,30,38,41,25,18,"3,225",467,440,26
2020,12,10,"7,747","2,462",52,73,52,57,39,42,27,"3,602",595,692,54
2020,12,20,"8,418","2,803",85,103,110,81,73,49,45,"3,561",693,748,67
2020,12,30,"8,602","2,906",64,76,70,68,68,44,47,"4,062",600,551,46
2020,12,40,"11,658","3,837",85,130,111,91,104,59,50,"5,356",933,834,68
2020,12,50,"13,150","3,987",192,280,254,231,205,156,104,"4,910","1,321","1,342",168
2020,12,60,"8,078","2,860",193,299,279,287,308,200,141,"1,818",772,771,150
2020,12,70,"4,540","1,626",177,280,257,284,308,182,146,718,308,134,120
2020,12,80,"3,201","1,088",157,240,198,240,221,132,131,412,193,86,103
2020,12,90,621,208,33,44,37,52,64,24,24,70,31,16,18
2020,12,100,19,10,0,1,1,3,2,1,0,1,0,0,0
2021,1,총,"72,224","23,818","1,046","1,573","1,395","1,429","1,433",902,731,"27,621","5,898","5,572",806
2021,1,0,"6,518","2,182",22,48,29,40,42,24,20,"3,183",463,440,25
2021,1,10,"7,713","2,449",52,70,53,58,38,42,29,"3,608",598,662,54
2021,1,20,"8,309","2,741",84,101,112,80,76,46,44,"3,549",674,742,60
2021,1,30,"8,511","2,883",60,74,67,67,67,42,47,"4,014",590,554,46
2021,1,40,"11,559","3,799",81,130,109,88,101,57,49,"5,316",942,822,65
2021,1,50,"13,134","3,970",187,280,246,233,206,153,102,"4,946","1,310","1,335",166
2021,1,60,"8,099","2,866",193,299,288,282,309,196,139,"1,807",787,781,152
2021,1,70,"4,535","1,628",177,280,257,286,306,184,146,712,307,133,119
2021,1,80,"3,205","1,082",157,246,194,242,222,132,129,415,197,87,102
2021,1,90,622,209,33,44,39,50,64,25,26,69,30,16,17
2021,1,100,19,9,0,1,1,3,2,1,0,2,0,0,0
2021,2,총,"72,238","23,818","1,058","1,574","1,613","1,435","1,437",892,713,"27,524","5,801","5,572",801
2021,2,0,"6,486","2,167",25,46,58,40,45,23,16,"3,146",452,443,25
2021,2,10,"7,646","2,423",53,73,80,56,38,43,22,"3,577",576,650,55
2021,2,20,"8,317","2,742",84,102,146,78,74,40,47,"3,544",662,740,58
2021,2,30,"8,495","2,879",64,71,112,71,66,40,45,"3,978",571,556,42
2021,2,40,"11,511","3,789",83,130,150,89,105,55,48,"5,267",923,808,64
2021,2,50,"13,211","3,985",187,281,284,235,205,151,99,"4,987","1,288","1,343",166
2021,2,60,"8,144","2,884",194,299,292,279,308,194,137,"1,823",793,787,154
2021,2,70,"4,564","1,645",176,281,257,289,306,185,144,714,310,139,118
2021,2,80,"3,211","1,080",158,245,191,245,222,135,128,418,198,89,102
2021,2,90,633,215,34,45,42,49,66,25,27,68,28,17,17
2021,2,100,20,9,0,1,1,4,2,1,0,2,0,0,0
2021,3,총,"72,109","23,757","1,046","1,565","2,132","1,416","1,422",891,714,"27,299","5,635","5,440",792
2021,3,0,"6,457","2,146",24,45,105,38,44,21,17,"3,134",430,428,25
2021,3,10,"7,607","2,424",53,72,131,49,36,44,22,"3,541",564,615,56
2021,3,20,"8,327","2,745",83,104,221,77,76,40,47,"3,500",647,729,58
2021,3,30,"8,451","2,867",60,69,178,73,65,40,45,"3,922",547,546,39
2021,3,40,"11,445","3,772",82,129,236,85,96,55,47,"5,218",884,779,62
2021,3,50,"13,214","3,967",185,280,424,229,204,148,97,"4,955","1,245","1,314",166
2021,3,60,"8,184","2,884",192,294,337,281,302,196,138,"1,840",789,780,151
2021,3,70,"4,565","1,651",175,278,258,288,309,186,145,707,308,144,116
2021,3,80,"3,209","1,079",158,249,199,242,223,135,126,417,192,88,101
2021,3,90,637,217,34,45,43,52,64,25,30,64,29,16,18
2021,3,100,13,5,0,0,0,2,3,1,0,1,0,1,0
2021,4,총,"72,074","23,718","1,044","1,552","2,340","1,415","1,415",895,709,"27,195","5,597","5,410",784
2021,4,0,"6,423","2,132",22,43,117,38,43,22,17,"3,113",430,421,25
2021,4,10,"7,627","2,425",52,70,137,48,37,44,20,"3,532",564,642,56
2021,4,20,"8,302","2,727",81,101,251,78,72,40,51,"3,479",646,718,58
2021,4,30,"8,414","2,841",60,70,209,72,63,42,45,"3,897",540,538,37
2021,4,40,"11,416","3,770",83,128,263,85,96,53,46,"5,197",867,768,60
2021,4,50,"13,203","3,963",186,272,494,227,197,150,95,"4,938","1,226","1,293",162
2021,4,60,"8,249","2,906",193,293,362,282,306,196,135,"1,851",793,779,153
2021,4,70,"4,562","1,646",175,279,261,290,307,186,143,705,312,145,113
2021,4,80,"3,216","1,083",157,248,200,241,227,136,126,419,190,86,103
2021,4,90,647,220,35,47,46,52,64,25,31,63,29,18,17
2021,4,100,15,5,0,1,0,2,3,1,0,1,0,2,0
2021,5,총,"72,029","23,714","1,042","1,562","2,392","1,410","1,413",886,706,"27,172","5,589","5,363",780
2021,5,0,"6,406","2,131",22,46,119,37,44,22,17,"3,098",431,413,26
2021,5,10,"7,604","2,426",51,68,133,49,35,44,20,"3,529",559,635,55
2021,5,20,"8,286","2,728",79,107,263,75,73,39,49,"3,474",640,701,58
2021,5,30,"8,410","2,828",60,71,213,73,65,42,45,"3,900",542,536,35
2021,5,40,"11,313","3,734",83,130,270,83,92,51,46,"5,154",854,756,60
2021,5,50,"13,255","3,978",185,268,517,223,196,147,90,"4,968","1,230","1,292",161
2021,5,60,"8,308","2,919",195,297,367,285,307,198,140,"1,862",802,783,153
2021,5,70,"4,550","1,643",176,276,261,290,306,185,138,704,311,148,112
2021,5,80,"3,219","1,097",156,249,202,242,224,132,130,416,188,81,102
2021,5,90,663,225,35,49,47,51,68,24,31,66,32,17,18
2021,5,100,15,5,0,1,0,2,3,2,0,1,0,1,0
2021,6,총,"71,990","23,692","1,041","1,557","2,412","1,405","1,411",882,702,"27,215","5,586","5,312",775
2021,6,0,"6,379","2,129",20,43,119,37,43,21,16,"3,088",427,410,26
2021,6,10,"7,595","2,415",51,69,133,49,36,45,21,"3,539",562,620,55
2021,6,20,"8,242","2,719",74,103,266,73,72,36,47,"3,465",639,691,57
2021,6,30,"8,397","2,809",62,72,215,72,64,44,45,"3,916",538,528,32
2021,6,40,"11,285","3,733",85,127,270,82,91,51,46,"5,136",851,754,59
2021,6,50,"13,259","3,980",180,266,525,221,193,143,88,"4,996","1,229","1,278",160
2021,6,60,"8,381","2,928",200,300,371,287,312,200,142,"1,892",812,784,153
2021,6,70,"4,545","1,647",176,276,264,288,303,181,137,704,306,149,114
2021,6,80,"3,225","1,100",158,250,203,242,226,134,127,412,190,81,102
2021,6,90,666,227,35,50,46,52,68,24,33,66,32,16,17
2021,6,100,16,5,0,1,0,2,3,3,0,1,0,1,0
2021,7,총,"72,006","23,694","1,044","1,560","2,430","1,400","1,415",884,704,"27,234","5,579","5,286",776
2021,7,0,"6,348","2,120",20,41,123,36,43,21,16,"3,072",428,402,26
2021,7,10,"7,587","2,428",52,70,134,46,38,43,21,"3,532",560,609,54
2021,7,20,"8,254","2,702",75,103,267,71,73,41,48,"3,481",633,699,61
2021,7,30,"8,377","2,809",61,70,216,74,62,45,46,"3,905",537,519,33
2021,7,40,"11,251","3,715",86,131,274,82,93,51,45,"5,135",844,736,59
2021,7,50,"13,257","3,982",182,266,522,217,190,140,86,"5,005","1,230","1,278",159
2021,7,60,"8,468","2,949",196,302,379,291,320,203,142,"1,926",817,792,151
2021,7,70,"4,544","1,654",179,275,266,286,299,178,137,698,305,153,114
2021,7,80,"3,233","1,098",159,251,202,242,229,136,129,411,193,82,101
2021,7,90,671,233,34,50,47,53,65,23,33,68,32,15,18
2021,7,100,16,4,0,1,0,2,3,3,1,1,0,1,0
2021,8,총,"71,996","23,685","1,049","1,558","2,434","1,386","1,408",888,698,"27,252","5,582","5,283",773
2021,8,0,"6,322","2,115",21,39,124,35,42,21,16,"3,061",422,400,26
2021,8,10,"7,593","2,429",53,70,135,44,36,42,21,"3,544",558,607,54
2021,8,20,"8,256","2,707",73,105,264,68,74,42,50,"3,477",640,696,60
2021,8,30,"8,327","2,775",63,72,217,71,59,44,44,"3,891",537,520,34
2021,8,40,"11,224","3,711",87,129,275,82,92,53,45,"5,124",834,734,58
2021,8,50,"13,289","3,988",182,265,524,215,189,142,86,"5,037","1,229","1,278",154
2021,8,60,"8,517","2,970",198,301,381,287,318,206,139,"1,939",826,798,154
2021,8,70,"4,534","1,647",177,273,265,284,297,176,135,698,311,156,115
2021,8,80,"3,243","1,106",159,251,207,243,232,137,128,412,190,79,99
2021,8,90,673,233,36,51,42,55,66,21,33,68,35,14,19
2021,8,100,18,4,0,2,0,2,3,4,1,1,0,1,0
2021,9,총,"71,722","23,559","1,032","1,559","2,429","1,387","1,402",884,690,"27,186","5,566","5,252",776
2021,9,0,"6,283","2,099",18,36,125,37,42,21,14,"3,038",426,399,28
2021,9,10,"7,560","2,410",52,72,135,45,36,42,22,"3,540",551,601,54
2021,9,20,"8,113","2,654",68,104,256,68,73,41,49,"3,441",628,672,59
2021,9,30,"8,303","2,768",65,75,221,72,57,44,41,"3,870",534,522,34
2021,9,40,"11,132","3,677",82,130,269,83,89,53,46,"5,091",827,725,60
2021,9,50,"13,306","3,980",180,264,528,214,188,143,86,"5,063","1,227","1,279",154
2021,9,60,"8,540","2,974",198,300,378,282,316,203,137,"1,963",836,800,153
2021,9,70,"4,529","1,634",175,272,268,282,301,175,135,701,311,158,117
