년도,월,나이,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면,강원도 양구군 국토정중앙면
2021,10,10,"1,999","1,586",,90,57,83,183
2021,10,20,"2,858","1,662",,393,261,104,438
2021,10,30,"2,521","1,919",,171,94,82,255
2021,10,40,"2,439","1,810",,143,83,130,273
2021,10,50,"3,423","2,012",,342,196,267,606
2021,10,60,"3,637","1,915",,377,289,298,758
2021,10,70,"1,961",936,,264,145,177,439
2021,10,80,"1,211",598,,143,105,96,269
2021,10,90,180,74,,31,17,13,45
2021,10,100,16,12,,0,0,0,4
2021,11,총,"21,875","13,912",,"2,047","1,282","1,267","3,367"
2021,11,0,"1,665","1,399",,97,41,26,102
2021,11,10,"1,987","1,583",,88,58,79,179
2021,11,20,"2,870","1,669",,395,262,104,440
2021,11,30,"2,496","1,899",,170,91,83,253
2021,11,40,"2,437","1,818",,142,79,128,270
2021,11,50,"3,419","2,013",,340,197,265,604
2021,11,60,"3,642","1,919",,379,288,296,760
2021,11,70,"1,959",941,,262,144,177,435
2021,11,80,"1,211",590,,144,105,97,275
2021,11,90,180,76,,30,17,12,45
2021,11,100,9,5,,0,0,0,4
2021,12,총,"21,748","13,802",,"2,039","1,290","1,258","3,359"
2021,12,0,"1,649","1,390",,98,41,24,96
2021,12,10,"1,929","1,516",,89,58,79,187
2021,12,20,"2,856","1,654",,389,266,104,443
2021,12,30,"2,471","1,889",,168,90,80,244
2021,12,40,"2,428","1,812",,140,81,125,270
2021,12,50,"3,407","2,002",,342,195,265,603
2021,12,60,"3,649","1,925",,377,291,296,760
2021,12,70,"1,954",944,,258,146,176,430
2021,12,80,"1,218",590,,148,104,97,279
2021,12,90,180,75,,30,18,12,45
2021,12,100,7,5,,0,0,0,2
