년도,월,나이,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020,7,90,246,14,24,10,16,15,57,13,9,13,5,12,2,15,8,12,12,9
2020,7,100,24,2,2,1,1,0,2,1,0,2,1,3,0,2,2,3,0,2
2020,8,총,"131,948","8,065","16,192","6,203","8,249","7,507","21,758","8,623","6,142","4,272","4,112","7,254","3,550","6,708","7,011","4,485","7,393","4,424"
2020,8,0,"9,402",273,"1,486",531,573,883,"1,755",779,254,308,261,401,183,379,426,195,529,186
2020,8,10,"12,133",505,"1,629",456,758,793,"2,671",976,465,326,391,563,265,487,652,231,645,320
2020,8,20,"18,728","1,947","3,187",661,"1,341",878,"2,721",932,806,497,578,938,390,763,922,616,984,567
2020,8,30,"15,814","1,082","2,152",930,"1,032","1,102","2,014",950,652,581,398,780,389,715,730,741,"1,066",500
2020,8,40,"21,231","1,107","2,780","1,016","1,324","1,310","3,694","1,477",842,681,664,"1,127",584,"1,011","1,120",665,"1,138",691
2020,8,50,"21,028","1,103","2,219",875,"1,200","1,067","3,824","1,301","1,077",640,742,"1,230",615,"1,122","1,270",733,"1,257",753
2020,8,60,"18,682","1,046","1,576",920,"1,071",818,"2,943","1,286","1,133",707,646,"1,257",562,"1,225","1,062",697,981,752
2020,8,70,"11,140",723,853,600,676,495,"1,565",720,714,408,329,724,427,783,632,436,587,468
2020,8,80,"3,521",263,284,202,256,145,513,188,190,109,97,220,132,207,189,157,194,175
2020,8,90,245,14,24,11,17,16,56,13,9,13,5,11,3,14,6,11,12,10
2020,8,100,24,2,2,1,1,0,2,1,0,2,1,3,0,2,2,3,0,2
2020,9,총,"131,745","8,046","16,168","6,194","8,205","7,504","21,736","8,605","6,122","4,276","4,116","7,212","3,530","6,684","6,968","4,467","7,528","4,384"
2020,9,0,"9,340",266,"1,466",533,564,868,"1,747",781,247,311,263,392,178,376,416,191,557,184
2020,9,10,"12,092",494,"1,627",460,761,803,"2,641",970,469,318,395,557,264,480,650,228,656,319
2020,9,20,"18,759","1,970","3,205",649,"1,325",880,"2,738",926,803,501,575,934,392,760,917,620,996,568
2020,9,30,"15,743","1,078","2,135",919,"1,025","1,094","2,002",948,645,576,400,775,380,711,723,737,"1,099",496
2020,9,40,"21,144","1,094","2,776","1,025","1,310","1,314","3,669","1,461",843,685,657,"1,118",579,"1,012","1,111",660,"1,165",665
2020,9,50,"20,979","1,103","2,213",874,"1,196","1,068","3,820","1,308","1,062",640,741,"1,222",611,"1,112","1,262",725,"1,266",756
2020,9,60,"18,715","1,038","1,581",918,"1,069",820,"2,973","1,282","1,132",709,647,"1,261",563,"1,223","1,071",696,985,747
2020,9,70,"11,162",724,855,598,679,498,"1,570",728,722,409,335,721,425,782,619,438,596,463
2020,9,80,"3,539",263,283,206,257,144,519,187,189,112,98,219,134,212,189,158,193,176
2020,9,90,248,14,25,11,18,15,55,13,10,13,4,10,4,14,8,11,15,8
2020,9,100,24,2,2,1,1,0,2,1,0,2,1,3,0,2,2,3,0,2
2020,10,총,"131,533","8,043","16,127","6,188","8,183","7,499","21,724","8,581","6,110","4,260","4,118","7,156","3,522","6,639","6,925","4,469","7,634","4,355"
2020,10,0,"9,273",264,"1,461",537,557,861,"1,742",770,244,308,260,385,174,364,408,190,571,177
2020,10,10,"12,049",488,"1,629",453,749,812,"2,648",976,469,309,385,549,264,478,640,226,661,313
2020,10,20,"18,745","1,967","3,194",651,"1,332",878,"2,723",919,799,502,588,930,392,753,926,614,"1,012",565
2020,10,30,"15,628","1,075","2,106",919,"1,013","1,094","1,988",936,647,565,401,762,377,701,706,735,"1,111",492
2020,10,40,"21,114","1,094","2,786","1,020","1,300","1,321","3,661","1,454",842,682,641,"1,112",578,"1,010","1,106",672,"1,185",650
2020,10,50,"20,967","1,107","2,210",865,"1,201","1,068","3,821","1,308","1,054",647,756,"1,208",609,"1,099","1,253",726,"1,275",760
2020,10,60,"18,756","1,039","1,576",925,"1,077",821,"2,985","1,284","1,129",710,648,"1,266",564,"1,222","1,066",692,"1,004",748
2020,10,70,"11,147",729,852,598,675,484,"1,576",727,727,408,336,712,424,782,615,443,600,459
2020,10,80,"3,578",263,288,207,260,146,522,193,187,113,98,219,136,215,195,157,200,179
2020,10,90,252,15,23,12,18,14,56,13,12,14,4,10,4,13,8,11,15,10
2020,10,100,24,2,2,1,1,0,2,1,0,2,1,3,0,2,2,3,0,2
2020,11,총,"131,310","8,020","16,133","6,180","8,175","7,490","21,733","8,576","6,096","4,237","4,126","7,123","3,494","6,605","6,887","4,438","7,684","4,313"
2020,11,0,"9,228",256,"1,452",533,565,862,"1,745",767,238,302,259,379,167,362,405,189,573,174
2020,11,10,"12,015",483,"1,637",453,740,805,"2,650",971,466,310,386,549,262,474,635,223,659,312
2020,11,20,"18,683","1,962","3,198",650,"1,315",881,"2,715",923,798,490,593,922,385,743,921,614,"1,011",562
2020,11,30,"15,526","1,066","2,102",916,"1,004","1,082","1,971",930,645,559,408,758,369,690,692,720,"1,131",483
2020,11,40,"21,121","1,105","2,795","1,021","1,305","1,323","3,650","1,452",844,688,629,"1,102",581,"1,010","1,102",670,"1,193",651
2020,11,50,"20,907","1,093","2,210",866,"1,198","1,071","3,819","1,317","1,045",645,757,"1,201",602,"1,094","1,245",718,"1,281",745
2020,11,60,"18,811","1,037","1,576",922,"1,090",822,"3,007","1,282","1,131",711,655,"1,268",570,"1,217","1,068",694,"1,016",745
2020,11,70,"11,138",730,852,594,677,482,"1,588",724,730,407,334,712,418,783,617,439,601,450
2020,11,80,"3,609",273,285,213,261,148,531,196,188,110,100,219,136,216,192,156,204,181
2020,11,90,250,13,24,11,19,14,55,13,11,13,4,10,4,14,9,12,15,9
2020,11,100,22,2,2,1,1,0,2,1,0,2,1,3,0,2,1,3,0,1
2020,12,총,"131,037","8,017","16,071","6,145","8,190","7,512","21,689","8,528","6,103","4,229","4,161","7,074","3,471","6,567","6,856","4,405","7,717","4,302"
2020,12,0,"9,210",253,"1,454",538,576,872,"1,741",751,239,295,266,374,165,356,397,185,576,172
2020,12,10,"11,937",479,"1,621",452,731,802,"2,641",962,470,312,381,541,258,469,627,216,661,314
2020,12,20,"18,617","1,966","3,183",635,"1,320",882,"2,702",916,790,489,609,903,383,739,916,606,"1,013",565
2020,12,30,"15,476","1,064","2,100",905,994,"1,083","1,966",927,650,553,415,753,362,691,690,713,"1,137",473
2020,12,40,"21,055","1,102","2,789","1,010","1,310","1,329","3,637","1,439",841,689,636,"1,093",581,993,"1,093",670,"1,197",646
2020,12,50,"20,869","1,090","2,202",873,"1,203","1,073","3,802","1,310","1,041",644,748,"1,200",597,"1,088","1,243",719,"1,286",750
2020,12,60,"18,822","1,040","1,562",911,"1,093",823,"3,019","1,290","1,143",709,666,"1,267",565,"1,216","1,071",687,"1,022",738
2020,12,70,"11,141",736,850,596,681,485,"1,589",725,731,410,332,713,416,775,613,435,604,450
2020,12,80,"3,639",271,287,214,263,149,535,194,186,113,102,217,140,224,196,158,206,184
2020,12,90,248,14,21,10,18,14,55,13,12,12,5,10,4,14,9,13,15,9
2020,12,100,23,2,2,1,1,0,2,1,0,3,1,3,0,2,1,3,0,1
2021,1,총,"130,792","7,990","16,035","6,137","8,176","7,510","21,673","8,519","6,079","4,205","4,200","7,032","3,452","6,560","6,848","4,374","7,727","4,275"
2021,1,0,"9,140",249,"1,442",534,573,872,"1,711",736,239,296,273,373,159,360,400,185,571,167
2021,1,10,"11,905",467,"1,624",455,718,805,"2,656",954,466,306,385,536,258,465,622,204,670,314
2021,1,20,"18,514","1,956","3,160",639,"1,325",866,"2,691",925,778,486,607,890,376,735,908,606,"1,010",556
2021,1,30,"15,381","1,062","2,077",893,988,"1,078","1,956",917,650,552,430,746,362,679,679,709,"1,139",464
2021,1,40,"20,976","1,092","2,782","1,006","1,304","1,343","3,626","1,442",829,677,639,"1,087",574,992,"1,088",660,"1,196",639
2021,1,50,"20,885","1,094","2,209",879,"1,203","1,077","3,796","1,311","1,044",640,756,"1,204",594,"1,089","1,242",712,"1,288",747
2021,1,60,"18,879","1,043","1,574",912,"1,099",818,"3,049","1,286","1,144",707,664,"1,252",565,"1,219","1,086",690,"1,027",744
2021,1,70,"11,167",739,854,591,684,489,"1,590",740,722,409,337,710,419,780,615,432,604,452
2021,1,80,"3,672",272,290,217,264,148,541,194,194,116,104,221,140,224,198,160,207,182
2021,1,90,250,14,21,10,17,14,55,13,13,13,4,10,5,15,9,13,15,9
2021,1,100,23,2,2,1,1,0,2,1,0,3,1,3,0,2,1,3,0,1
2021,2,총,"130,623","8,008","16,050","6,144","8,194","7,524","21,612","8,481","6,052","4,214","4,213","6,982","3,429","6,530","6,834","4,368","7,728","4,260"
2021,2,0,"9,069",252,"1,435",534,568,867,"1,705",722,240,294,267,364,150,353,400,184,568,166
2021,2,10,"11,845",465,"1,619",463,717,809,"2,641",937,464,308,394,529,263,457,609,205,663,302
2021,2,20,"18,519","1,978","3,188",635,"1,334",870,"2,670",918,771,485,600,880,376,734,908,604,"1,008",560
2021,2,30,"15,309","1,065","2,068",898,989,"1,065","1,934",911,642,549,437,747,351,667,671,714,"1,139",462
2021,2,40,"20,927","1,094","2,779","1,005","1,301","1,359","3,603","1,427",838,681,636,"1,072",563,985,"1,089",659,"1,206",630
2021,2,50,"20,876","1,094","2,205",876,"1,215","1,078","3,801","1,316","1,030",646,763,"1,195",596,"1,086","1,242",703,"1,288",742
2021,2,60,"18,908","1,025","1,590",914,"1,102",823,"3,052","1,291","1,133",709,670,"1,248",569,"1,220","1,087",694,"1,029",752
2021,2,70,"11,190",748,854,590,683,489,"1,600",750,726,406,334,710,413,783,616,431,604,453
2021,2,80,"3,698",270,290,218,267,149,543,195,195,118,106,224,143,228,202,158,209,183
2021,2,90,259,15,20,10,17,15,61,13,13,15,5,10,5,15,9,13,14,9
2021,2,100,23,2,2,1,1,0,2,1,0,3,1,3,0,2,1,3,0,1
2021,3,총,"130,080","8,016","16,072","6,124","8,164","7,501","21,562","8,392","6,037","4,178","4,186","6,910","3,414","6,490","6,769","4,291","7,725","4,249"
2021,3,0,"9,012",243,"1,423",532,561,867,"1,699",717,242,287,267,350,145,356,397,187,573,166
2021,3,10,"11,806",475,"1,636",468,717,812,"2,612",929,458,309,393,511,266,458,611,202,658,291
2021,3,20,"18,506","1,997","3,235",638,"1,333",873,"2,655",908,769,477,601,871,373,725,890,583,"1,016",562
2021,3,30,"15,205","1,071","2,045",890,988,"1,049","1,938",903,632,535,435,738,346,660,667,719,"1,128",461
2021,3,40,"20,818","1,077","2,773","1,006","1,296","1,348","3,592","1,412",842,680,632,"1,067",556,983,"1,078",652,"1,201",623
2021,3,50,"20,781","1,093","2,210",872,"1,207","1,074","3,803","1,293","1,026",638,758,"1,177",593,"1,078","1,235",683,"1,297",744
2021,3,60,"18,861","1,021","1,591",914,"1,096",821,"3,063","1,280","1,135",709,659,"1,247",576,"1,218","1,071",678,"1,027",755
2021,3,70,"11,136",747,855,580,684,491,"1,599",748,727,407,326,710,405,775,608,418,604,452
2021,3,80,"3,704",275,285,213,266,152,545,189,196,118,110,225,149,226,203,160,209,183
2021,3,90,238,15,18,11,15,14,56,12,10,15,5,11,5,10,9,9,12,11
2021,3,100,13,2,1,0,1,0,0,1,0,3,0,3,0,1,0,0,0,1
2021,4,총,"129,786","7,989","16,072","6,131","8,147","7,476","21,531","8,376","6,006","4,180","4,203","6,865","3,396","6,452","6,753","4,278","7,691","4,240"
2021,4,0,"8,937",242,"1,411",530,558,857,"1,693",705,239,288,267,339,142,350,393,188,569,166
2021,4,10,"11,757",475,"1,625",470,716,819,"2,593",924,453,308,400,512,263,457,606,203,641,292
2021,4,20,"18,466","1,986","3,264",642,"1,329",867,"2,639",908,766,472,607,866,372,713,891,575,"1,013",556
2021,4,30,"15,097","1,072","2,025",877,981,"1,037","1,942",901,620,537,423,725,344,652,662,716,"1,118",465
2021,4,40,"20,784","1,074","2,780","1,006","1,291","1,347","3,571","1,416",836,679,635,"1,065",548,979,"1,080",659,"1,203",615
2021,4,50,"20,741","1,090","2,204",875,"1,218","1,066","3,830","1,291","1,025",635,757,"1,163",590,"1,063","1,224",675,"1,288",747
2021,4,60,"18,897","1,014","1,597",922,"1,092",821,"3,056","1,280","1,136",715,673,"1,249",579,"1,224","1,075",676,"1,034",754
2021,4,70,"11,140",737,863,584,684,497,"1,607",748,727,409,326,706,401,772,612,413,604,450
2021,4,80,"3,716",282,283,214,263,152,544,190,194,119,110,226,152,231,201,163,209,183
2021,4,90,238,15,19,11,14,13,56,12,10,15,5,11,5,10,9,10,12,11
2021,4,100,13,2,1,0,1,0,0,1,0,3,0,3,0,1,0,0,0,1
2021,5,총,"129,523","7,978","16,016","6,126","8,138","7,475","21,511","8,358","5,992","4,169","4,197","6,831","3,366","6,450","6,746","4,285","7,665","4,220"
2021,5,0,"8,869",240,"1,402",526,558,850,"1,681",701,236,283,267,330,138,347,393,188,565,164
2021,5,10,"11,735",473,"1,626",472,709,822,"2,585",927,449,313,396,513,265,457,600,201,640,287
2021,5,20,"18,420","1,978","3,240",637,"1,327",875,"2,645",909,761,460,604,858,362,714,900,580,"1,010",560
2021,5,30,"14,976","1,065","2,011",872,975,"1,024","1,922",889,612,536,424,722,341,646,657,721,"1,100",459
2021,5,40,"20,726","1,076","2,776","1,004","1,290","1,345","3,564","1,404",840,685,635,"1,057",541,978,"1,072",656,"1,197",606
2021,5,50,"20,705","1,094","2,192",879,"1,212","1,073","3,840","1,290","1,017",628,755,"1,160",583,"1,064","1,221",675,"1,277",745
2021,5,60,"18,920","1,012","1,597",925,"1,093",829,"3,060","1,284","1,135",718,672,"1,242",577,"1,216","1,081",677,"1,052",750
2021,5,70,"11,177",733,867,585,695,491,"1,612",751,737,409,329,708,402,786,609,412,602,449
2021,5,80,"3,744",291,285,213,264,153,547,190,195,118,111,227,152,231,205,165,209,188
2021,5,90,238,14,19,13,14,13,55,12,10,16,4,11,5,10,8,10,13,11
2021,5,100,13,2,1,0,1,0,0,1,0,3,0,3,0,1,0,0,0,1
2021,6,총,"129,199","7,966","15,951","6,108","8,127","7,466","21,476","8,320","5,970","4,147","4,195","6,798","3,355","6,423","6,727","4,295","7,669","4,206"
2021,6,0,"8,801",238,"1,381",526,562,850,"1,663",696,233,273,268,326,137,343,386,190,564,165
2021,6,10,"11,715",467,"1,629",470,707,824,"2,578",921,449,315,394,512,266,454,604,201,641,283
2021,6,20,"18,327","1,970","3,231",632,"1,315",869,"2,638",902,754,463,604,842,358,699,895,584,"1,012",559
2021,6,30,"14,880","1,062","1,992",869,971,"1,015","1,904",884,609,534,417,726,337,649,649,723,"1,082",457
2021,6,40,"20,638","1,075","2,783","1,001","1,282","1,346","3,541","1,395",841,674,639,"1,050",535,968,"1,060",652,"1,201",595
2021,6,50,"20,671","1,103","2,179",874,"1,212","1,071","3,855","1,284","1,007",631,751,"1,158",581,"1,059","1,212",677,"1,276",741
2021,6,60,"18,984","1,011","1,588",923,"1,104",830,"3,080","1,284","1,136",713,677,"1,242",579,"1,221","1,100",682,"1,058",756
2021,6,70,"11,163",733,863,591,693,490,"1,610",754,735,409,330,696,405,786,607,409,607,445
2021,6,80,"3,768",291,284,209,266,158,551,187,196,117,111,232,152,233,206,167,215,193
2021,6,90,239,14,20,13,14,13,56,12,10,15,4,11,5,10,8,10,13,11
2021,6,100,13,2,1,0,1,0,0,1,0,3,0,3,0,1,0,0,0,1
2021,7,총,"128,982","7,950","15,917","6,093","8,144","7,462","21,430","8,305","5,980","4,149","4,200","6,751","3,346","6,429","6,710","4,264","7,664","4,188"
2021,7,0,"8,758",233,"1,383",523,561,848,"1,643",691,238,274,272,322,137,339,385,188,561,160
2021,7,10,"11,705",470,"1,623",468,717,816,"2,582",924,447,317,396,505,264,449,603,200,641,283
2021,7,20,"18,219","1,950","3,205",635,"1,318",863,"2,619",893,755,463,605,829,357,701,891,572,"1,006",557
2021,7,30,"14,814","1,061","1,991",856,967,"1,009","1,893",873,608,533,423,727,336,642,643,722,"1,080",450
2021,7,40,"20,569","1,079","2,774",999,"1,284","1,347","3,526","1,388",841,672,627,"1,033",530,974,"1,057",646,"1,201",591
2021,7,50,"20,664","1,107","2,182",875,"1,215","1,076","3,846","1,288","1,006",633,753,"1,144",583,"1,059","1,213",673,"1,274",737
2021,7,60,"19,040","1,005","1,595",924,"1,109",836,"3,093","1,290","1,141",714,679,"1,249",580,"1,223","1,099",681,"1,061",761
2021,7,70,"11,163",735,855,590,693,495,"1,615",755,733,405,330,697,403,792,606,409,611,439
2021,7,80,"3,797",294,289,210,264,159,556,191,201,120,111,231,151,239,204,162,217,198
2021,7,90,240,14,19,13,15,13,57,11,10,15,4,11,5,10,9,11,12,11
2021,7,100,13,2,1,0,1,0,0,1,0,3,0,3,0,1,0,0,0,1
2021,8,총,"128,710","7,961","15,907","6,063","8,162","7,444","21,371","8,270","5,948","4,137","4,199","6,718","3,357","6,414","6,682","4,243","7,658","4,176"
2021,8,0,"8,671",234,"1,355",521,553,839,"1,645",676,232,276,269,321,133,333,380,187,558,159
2021,8,10,"11,651",466,"1,638",466,716,820,"2,557",919,442,311,396,498,262,446,593,200,641,280
2021,8,20,"18,197","1,971","3,231",627,"1,323",857,"2,614",881,756,459,594,816,365,697,886,560,"1,004",556
2021,8,30,"14,720","1,048","1,984",843,979,996,"1,871",871,603,531,429,723,334,637,640,725,"1,062",444
2021,8,40,"20,521","1,081","2,767","1,001","1,278","1,344","3,522","1,383",829,675,625,"1,027",534,968,"1,054",642,"1,207",584
2021,8,50,"20,655","1,107","2,182",874,"1,225","1,081","3,832","1,293","1,003",630,759,"1,137",583,"1,059","1,205",668,"1,272",745
2021,8,60,"19,036","1,003","1,590",921,"1,107",837,"3,093","1,287","1,141",708,679,"1,251",585,"1,230","1,100",684,"1,066",754
2021,8,70,"11,185",731,851,588,697,498,"1,614",758,729,409,330,700,407,792,613,406,619,443
2021,8,80,"3,819",303,289,210,268,159,565,193,202,120,113,232,148,239,201,160,218,199
2021,8,90,241,15,19,12,15,13,58,8,11,15,4,10,6,12,10,11,11,11
2021,8,100,14,2,1,0,1,0,0,1,0,3,1,3,0,1,0,0,0,1
2021,9,총,"128,663","8,004","16,028","6,048","8,152","7,443","21,355","8,256","5,929","4,121","4,205","6,703","3,336","6,380","6,668","4,245","7,634","4,156"
2021,9,0,"8,605",234,"1,356",519,539,840,"1,629",669,230,268,267,322,133,325,382,184,551,157
2021,9,10,"11,650",468,"1,649",468,713,816,"2,563",918,438,313,396,485,260,450,592,201,647,273
2021,9,20,"18,288","2,002","3,336",618,"1,329",852,"2,608",880,744,461,599,816,355,694,881,563,999,551
2021,9,30,"14,671","1,047","1,985",832,983,996,"1,861",867,597,531,433,723,334,632,638,720,"1,055",437
2021,9,40,"20,442","1,080","2,761","1,005","1,269","1,348","3,509","1,373",833,663,617,"1,028",531,962,"1,053",636,"1,196",578
2021,9,50,"20,629","1,108","2,186",875,"1,226","1,073","3,839","1,297","1,004",626,763,"1,127",578,"1,048","1,198",675,"1,263",743
2021,9,60,"19,081","1,007","1,590",920,"1,109",848,"3,097","1,291","1,138",713,680,"1,254",584,"1,228","1,104",688,"1,072",758
2021,9,70,"11,188",734,855,588,698,496,"1,621",760,731,409,327,702,405,786,610,403,616,447
2021,9,80,"3,846",306,289,211,270,161,571,192,202,119,117,234,150,240,200,163,222,199
2021,9,90,249,16,20,12,15,13,57,8,12,15,5,9,6,14,10,12,13,12
2021,9,100,14,2,1,0,1,0,0,1,0,3,1,3,0,1,0,0,0,1
2021,10,총,"128,616","8,041","16,045","6,059","8,167","7,420","21,316","8,269","5,923","4,111","4,197","6,690","3,336","6,366","6,671","4,261","7,627","4,117"
2021,10,0,"8,566",233,"1,342",526,541,842,"1,607",681,233,261,259,314,130,318,381,190,556,152
2021,10,10,"11,645",471,"1,650",468,715,812,"2,576",908,433,310,397,484,262,449,596,204,641,269
2021,10,20,"18,206","1,995","3,332",620,"1,320",840,"2,586",882,746,462,599,820,353,693,875,555,992,536
