년도,월,나이,포천시,소흘읍,군내면,내촌면,가산면,신북면,창수면,영중면,일동면,이동면,영북면,관인면,화현면,포천동,선단동
2020,6,60,"23,458","5,497","1,400","1,021","1,575","2,186",548,"1,072","1,804",994,"1,460",648,525,"2,590","2,138"
2020,6,70,"12,458","2,576",711,495,706,"1,069",379,672,"1,077",686,"1,046",498,305,"1,327",911
2020,6,80,"6,270","1,186",388,281,423,533,185,329,595,335,555,239,166,597,458
2020,6,90,963,202,54,27,72,89,17,47,111,35,108,29,23,95,54
2020,6,100,72,12,2,1,0,7,0,3,7,4,15,3,1,11,6
2020,7,총,"147,809","44,071","8,645","4,639","7,722","12,622","2,200","4,911","9,481","6,207","8,572","2,803","2,776","18,772","14,388"
2020,7,0,"8,879","2,971",612,132,236,713,49,200,517,519,655,63,208,"1,277",727
2020,7,10,"12,554","5,024",590,215,414,979,84,273,700,370,466,148,157,"1,912","1,222"
2020,7,20,"17,925","5,828",984,446,782,"1,512",198,428,965,842,987,229,288,"2,545","1,891"
2020,7,30,"14,782","4,410","1,111",352,618,"1,255",123,296,871,853,"1,030",118,344,"1,987","1,414"
2020,7,40,"20,844","7,330","1,137",564,914,"1,718",212,540,"1,205",626,885,275,281,"2,820","2,337"
2020,7,50,"29,420","8,971","1,644","1,106","1,960","2,562",400,"1,039","1,615",933,"1,360",549,476,"3,591","3,214"
2020,7,60,"23,577","5,556","1,408","1,017","1,587","2,186",551,"1,076","1,811",998,"1,467",653,529,"2,597","2,141"
2020,7,70,"12,483","2,561",722,498,714,"1,070",378,676,"1,085",691,"1,039",496,301,"1,331",921
2020,7,80,"6,301","1,208",380,281,423,536,186,331,593,335,555,240,169,605,459
2020,7,90,971,200,55,27,73,84,19,49,112,36,113,29,22,96,56
2020,7,100,73,12,2,1,1,7,0,3,7,4,15,3,1,11,6
2020,8,총,"147,854","43,982","8,645","4,627","7,822","12,598","2,193","4,900","9,487","6,237","8,549","2,812","2,763","18,809","14,430"
2020,8,0,"8,817","2,947",611,127,227,704,49,198,518,518,655,65,203,"1,260",735
2020,8,10,"12,599","4,992",587,212,517,991,82,275,698,371,458,148,158,"1,894","1,216"
2020,8,20,"17,907","5,807",964,436,797,"1,486",199,425,960,858,983,234,287,"2,570","1,901"
2020,8,30,"14,731","4,376","1,114",355,620,"1,242",120,292,871,858,"1,023",120,338,"1,982","1,420"
2020,8,40,"20,792","7,305","1,139",564,906,"1,708",212,535,"1,211",627,883,274,282,"2,812","2,334"
2020,8,50,"29,357","8,958","1,648","1,105","1,940","2,551",396,"1,031","1,607",933,"1,356",545,469,"3,602","3,216"
2020,8,60,"23,777","5,612","1,419","1,020","1,603","2,205",556,"1,086","1,820","1,006","1,470",658,531,"2,631","2,160"
2020,8,70,"12,495","2,564",726,500,710,"1,080",375,670,"1,089",691,"1,030",493,303,"1,341",923
2020,8,80,"6,323","1,210",378,279,426,533,185,336,592,336,561,243,170,610,464
2020,8,90,980,198,57,27,74,91,19,49,114,35,115,29,21,96,55
2020,8,100,76,13,2,2,2,7,0,3,7,4,15,3,1,11,6
2020,9,총,"147,803","43,942","8,625","4,622","7,803","12,597","2,172","4,887","9,480","6,262","8,539","2,811","2,765","18,861","14,437"
2020,9,0,"8,770","2,917",608,123,226,691,50,198,512,518,662,63,206,"1,270",726
2020,9,10,"12,498","4,975",584,204,495,978,80,272,697,367,443,150,158,"1,886","1,209"
2020,9,20,"17,943","5,797",958,441,796,"1,507",192,422,961,878,991,232,290,"2,570","1,908"
2020,9,30,"14,714","4,357","1,106",351,623,"1,234",120,289,880,856,"1,018",121,340,"2,004","1,415"
2020,9,40,"20,722","7,290","1,141",560,904,"1,700",209,534,"1,203",626,887,274,281,"2,794","2,319"
2020,9,50,"29,339","8,945","1,640","1,106","1,940","2,541",390,"1,028","1,600",942,"1,348",542,469,"3,619","3,229"
2020,9,60,"23,889","5,661","1,425","1,024","1,614","2,224",556,"1,082","1,815","1,004","1,472",658,527,"2,652","2,175"
2020,9,70,"12,493","2,562",724,502,708,"1,082",370,669,"1,095",691,"1,023",492,302,"1,341",932
2020,9,80,"6,372","1,223",383,280,422,539,186,341,593,342,567,248,170,620,458
2020,9,90,988,202,55,29,73,93,19,49,117,34,113,28,21,95,60
2020,9,100,75,13,1,2,2,8,0,3,7,4,15,3,1,10,6
2020,10,총,"147,578","43,911","8,619","4,613","7,743","12,558","2,167","4,890","9,437","6,245","8,515","2,812","2,760","18,909","14,399"
2020,10,0,"8,688","2,893",610,117,223,682,46,196,505,512,653,60,204,"1,274",713
2020,10,10,"12,387","4,934",584,197,459,977,82,270,689,366,441,150,155,"1,880","1,203"
2020,10,20,"17,931","5,804",946,445,796,"1,497",186,420,956,866,996,232,292,"2,576","1,919"
2020,10,30,"14,663","4,349","1,103",344,616,"1,225",121,290,864,866,"1,010",122,345,"2,003","1,405"
2020,10,40,"20,635","7,264","1,140",557,895,"1,688",210,529,"1,203",633,887,268,278,"2,789","2,294"
2020,10,50,"29,256","8,929","1,639","1,100","1,927","2,535",384,"1,032","1,594",919,"1,334",545,466,"3,634","3,218"
2020,10,60,"24,062","5,728","1,434","1,040","1,614","2,233",565,"1,087","1,811","1,010","1,475",659,528,"2,679","2,199"
2020,10,70,"12,482","2,558",722,501,713,"1,083",369,665,"1,094",689,"1,023",496,299,"1,345",925
2020,10,80,"6,412","1,239",383,280,426,540,184,348,594,347,569,250,170,623,459
2020,10,90,983,200,56,30,72,91,20,49,118,33,111,27,22,96,58
2020,10,100,79,13,2,2,2,7,0,4,9,4,16,3,1,10,6
2020,11,총,"147,477","43,859","8,627","4,601","7,746","12,543","2,172","4,861","9,435","6,249","8,483","2,809","2,753","18,905","14,434"
2020,11,0,"8,615","2,858",604,114,221,672,46,197,505,520,645,58,201,"1,262",712
2020,11,10,"12,338","4,923",589,198,451,972,81,262,686,367,442,151,150,"1,874","1,192"
2020,11,20,"17,895","5,806",935,433,801,"1,501",188,418,953,850,983,232,293,"2,573","1,929"
2020,11,30,"14,608","4,314","1,106",337,617,"1,215",121,292,849,881,996,126,344,"1,986","1,424"
2020,11,40,"20,541","7,236","1,132",554,884,"1,684",206,520,"1,220",628,890,259,278,"2,789","2,261"
2020,11,50,"29,247","8,945","1,644","1,104","1,918","2,526",389,"1,021","1,593",914,"1,323",544,462,"3,633","3,231"
2020,11,60,"24,238","5,751","1,454","1,050","1,627","2,257",565,"1,081","1,816","1,013","1,481",664,536,"2,708","2,235"
2020,11,70,"12,467","2,559",717,499,726,"1,080",367,665,"1,088",686,"1,025",489,295,"1,347",924
2020,11,80,"6,465","1,254",386,280,425,542,187,352,601,351,573,255,170,626,463
2020,11,90,983,200,58,30,74,87,22,49,116,35,108,28,23,97,56
2020,11,100,80,13,2,2,2,7,0,4,8,4,17,3,1,10,7
2020,12,총,"147,274","43,812","8,661","4,588","7,715","12,507","2,168","4,860","9,403","6,222","8,465","2,803","2,753","18,856","14,461"
2020,12,0,"8,579","2,847",614,112,222,660,48,191,502,513,647,58,197,"1,250",718
2020,12,10,"12,243","4,895",581,194,434,965,81,255,690,365,439,148,146,"1,865","1,185"
2020,12,20,"17,841","5,805",941,437,794,"1,501",187,416,939,843,972,230,296,"2,551","1,929"
2020,12,30,"14,576","4,279","1,109",336,614,"1,199",122,297,850,876,"1,004",125,353,"1,992","1,420"
2020,12,40,"20,472","7,220","1,138",547,885,"1,668",207,510,"1,204",633,891,254,272,"2,767","2,276"
2020,12,50,"29,176","8,933","1,642","1,104","1,906","2,523",382,"1,027","1,590",900,"1,300",548,458,"3,624","3,239"
2020,12,60,"24,393","5,800","1,474","1,035","1,643","2,277",567,"1,088","1,821","1,018","1,496",666,540,"2,731","2,237"
2020,12,70,"12,465","2,570",716,505,715,"1,079",366,671,"1,088",685,"1,015",490,297,"1,343",925
2020,12,80,"6,475","1,253",386,285,428,542,187,353,598,351,577,252,169,627,467
2020,12,90,976,198,59,31,72,86,21,48,113,35,107,29,24,95,58
2020,12,100,78,12,1,2,2,7,0,4,8,3,17,3,1,11,7
2021,1,총,"147,393","43,802","8,674","4,616","7,725","12,494","2,156","4,860","9,476","6,229","8,472","2,793","2,751","18,868","14,477"
2021,1,0,"8,509","2,822",609,111,216,649,43,188,499,511,639,54,197,"1,251",720
2021,1,10,"12,141","4,846",574,195,426,958,80,251,699,356,444,146,147,"1,847","1,172"
2021,1,20,"17,895","5,821",943,443,786,"1,490",186,417,965,849,974,230,292,"2,555","1,944"
2021,1,30,"14,559","4,272","1,112",333,621,"1,191",123,296,854,880,"1,010",127,354,"1,976","1,410"
2021,1,40,"20,425","7,187","1,148",551,888,"1,658",203,512,"1,215",636,884,253,272,"2,769","2,249"
2021,1,50,"29,147","8,942","1,630","1,113","1,899","2,508",378,"1,019","1,592",889,"1,295",542,451,"3,631","3,258"
2021,1,60,"24,646","5,872","1,494","1,046","1,658","2,319",567,"1,097","1,837","1,033","1,506",667,544,"2,755","2,251"
2021,1,70,"12,488","2,568",719,507,724,"1,075",364,669,"1,097",682,"1,016",488,298,"1,353",928
2021,1,80,"6,520","1,259",386,283,431,553,192,360,599,354,575,255,171,623,479
2021,1,90,984,201,58,32,74,86,20,47,110,36,112,28,24,97,59
2021,1,100,79,12,1,2,2,7,0,4,9,3,17,3,1,11,7
2021,2,총,"147,480","44,069","8,676","4,610","7,697","12,435","2,153","4,872","9,452","6,271","8,430","2,794","2,771","18,810","14,440"
2021,2,0,"8,421","2,828",614,108,207,630,43,186,488,515,626,58,194,"1,228",696
2021,2,10,"12,063","4,874",567,193,409,949,79,244,681,352,435,147,149,"1,827","1,157"
2021,2,20,"17,934","5,829",947,439,791,"1,476",181,423,965,865,986,227,305,"2,548","1,952"
2021,2,30,"14,566","4,336","1,107",337,616,"1,180",122,299,867,889,991,123,350,"1,956","1,393"
2021,2,40,"20,290","7,154","1,149",529,876,"1,639",204,515,"1,187",639,871,253,271,"2,767","2,236"
2021,2,50,"29,143","9,013","1,609","1,129","1,890","2,485",373,"1,008","1,594",887,"1,290",535,456,"3,619","3,255"
2021,2,60,"24,967","5,976","1,516","1,055","1,673","2,355",573,"1,114","1,848","1,050","1,521",678,548,"2,781","2,279"
2021,2,70,"12,449","2,571",721,504,726,"1,072",361,662,"1,098",677,"1,009",485,296,"1,345",922
2021,2,80,"6,578","1,272",383,282,435,552,197,371,604,356,576,258,175,632,485
2021,2,90,988,204,62,32,72,90,20,47,111,38,106,27,26,95,58
2021,2,100,81,12,1,2,2,7,0,3,9,3,19,3,1,12,7
2021,3,총,"147,014","44,375","8,634","4,586","7,639","12,398","2,148","4,817","9,360","6,255","8,234","2,773","2,756","18,632","14,407"
2021,3,0,"8,343","2,847",596,108,210,611,43,182,468,519,615,55,194,"1,203",692
2021,3,10,"11,999","4,882",558,188,400,940,77,238,678,354,438,145,146,"1,806","1,149"
2021,3,20,"17,919","5,877",953,439,775,"1,463",185,419,958,866,984,231,307,"2,504","1,958"
2021,3,30,"14,523","4,373","1,091",343,618,"1,166",121,292,864,892,965,125,347,"1,941","1,385"
2021,3,40,"20,104","7,188","1,126",519,853,"1,629",193,505,"1,170",620,847,250,268,"2,729","2,207"
2021,3,50,"28,995","9,046","1,613","1,124","1,873","2,469",378,983,"1,564",887,"1,250",523,447,"3,592","3,246"
2021,3,60,"25,191","6,092","1,529","1,059","1,677","2,387",577,"1,125","1,858","1,059","1,498",681,553,"2,798","2,298"
2021,3,70,"12,356","2,568",717,495,724,"1,075",354,660,"1,083",669,975,478,292,"1,344",922
2021,3,80,"6,599","1,298",388,280,436,558,201,364,603,354,567,258,174,628,490
2021,3,90,950,199,63,30,71,94,19,47,108,35,93,25,27,83,56
2021,3,100,35,5,0,1,2,6,0,2,6,0,2,2,1,4,4
2021,4,총,"147,317","44,717","8,638","4,587","7,629","12,350","2,148","4,788","9,387","6,245","8,221","2,778","2,752","18,656","14,421"
2021,4,0,"8,326","2,875",592,106,202,608,42,176,472,516,609,55,188,"1,198",687
2021,4,10,"11,982","4,896",555,184,397,932,73,234,676,357,439,144,149,"1,800","1,146"
2021,4,20,"17,932","5,931",946,440,782,"1,446",185,412,966,862,975,233,309,"2,488","1,957"
2021,4,30,"14,582","4,432","1,098",341,614,"1,179",121,288,858,882,964,125,348,"1,954","1,378"
2021,4,40,"20,095","7,216","1,135",514,846,"1,610",191,501,"1,179",625,847,253,264,"2,723","2,191"
2021,4,50,"29,012","9,103","1,590","1,128","1,861","2,467",377,976,"1,561",882,"1,247",521,449,"3,590","3,260"
2021,4,60,"25,405","6,168","1,551","1,069","1,699","2,374",586,"1,126","1,878","1,062","1,505",684,549,"2,830","2,324"
2021,4,70,"12,357","2,587",714,491,719,"1,071",347,662,"1,075",673,969,479,294,"1,348",928
2021,4,80,"6,635","1,308",393,282,437,561,205,362,607,351,570,258,174,637,490
2021,4,90,955,195,64,31,70,96,20,49,109,35,94,25,27,84,56
2021,4,100,36,6,0,1,2,6,1,2,6,0,2,1,1,4,4
2021,5,총,"147,425","44,850","8,642","4,577","7,609","12,353","2,147","4,783","9,407","6,251","8,204","2,770","2,741","18,668","14,423"
2021,5,0,"8,321","2,880",591,104,206,609,42,173,462,526,610,57,186,"1,196",679
2021,5,10,"11,948","4,897",552,180,384,926,71,233,687,357,433,142,151,"1,797","1,138"
2021,5,20,"17,910","5,936",944,437,786,"1,443",186,413,961,844,976,232,306,"2,484","1,962"
2021,5,30,"14,595","4,451","1,112",341,614,"1,181",121,282,863,894,966,123,338,"1,942","1,367"
2021,5,40,"20,017","7,199","1,117",512,835,"1,590",191,498,"1,179",623,840,251,269,"2,713","2,200"
2021,5,50,"29,012","9,128","1,597","1,121","1,851","2,470",373,972,"1,564",870,"1,236",522,450,"3,591","3,267"
2021,5,60,"25,622","6,248","1,555","1,073","1,709","2,403",591,"1,137","1,893","1,075","1,518",678,552,"2,858","2,332"
2021,5,70,"12,340","2,595",713,497,709,"1,064",346,663,"1,071",675,962,477,286,"1,355",927
2021,5,80,"6,671","1,320",395,278,440,566,205,360,615,353,568,262,176,641,492
2021,5,90,954,189,66,33,73,95,20,50,108,34,93,25,26,87,55
2021,5,100,35,7,0,1,2,6,1,2,4,0,2,1,1,4,4
2021,6,총,"147,597","45,082","8,640","4,583","7,602","12,354","2,148","4,769","9,399","6,236","8,182","2,753","2,736","18,658","14,455"
2021,6,0,"8,289","2,904",588,102,204,600,42,172,455,517,604,54,188,"1,181",678
2021,6,10,"11,898","4,896",552,184,383,913,67,228,686,355,433,142,149,"1,787","1,123"
2021,6,20,"17,938","5,975",940,442,776,"1,452",188,407,953,846,970,229,304,"2,480","1,976"
2021,6,30,"14,584","4,485","1,112",339,618,"1,181",124,276,854,886,965,121,338,"1,925","1,360"
2021,6,40,"19,982","7,207","1,113",509,823,"1,593",189,492,"1,181",617,840,240,272,"2,708","2,198"
2021,6,50,"28,989","9,155","1,590","1,118","1,837","2,461",372,968,"1,554",865,"1,220",525,446,"3,600","3,278"
2021,6,60,"25,891","6,342","1,568","1,082","1,737","2,427",597,"1,149","1,910","1,083","1,529",678,550,"2,885","2,354"
2021,6,70,"12,332","2,594",712,493,705,"1,058",342,663,"1,076",676,961,474,286,"1,359",933
2021,6,80,"6,694","1,330",398,278,445,567,204,361,616,354,567,263,177,642,492
2021,6,90,962,186,67,35,72,96,22,51,110,36,91,26,25,87,58
2021,6,100,38,8,0,1,2,6,1,2,4,1,2,1,1,4,5
2021,7,총,"147,855","45,212","8,664","4,594","7,578","12,370","2,152","4,767","9,380","6,260","8,158","2,745","2,718","18,741","14,516"
2021,7,0,"8,230","2,888",577,104,198,605,42,168,457,518,592,51,185,"1,178",667
2021,7,10,"11,876","4,894",557,184,384,917,66,226,681,353,434,141,147,"1,775","1,117"
2021,7,20,"17,980","6,009",940,438,761,"1,447",184,412,947,851,957,229,305,"2,503","1,997"
2021,7,30,"14,594","4,476","1,110",342,626,"1,181",130,278,849,900,950,119,337,"1,927","1,369"
2021,7,40,"19,950","7,179","1,116",513,812,"1,611",190,485,"1,183",624,832,240,269,"2,704","2,192"
2021,7,50,"29,023","9,183","1,592","1,117","1,823","2,438",373,962,"1,532",866,"1,234",519,446,"3,630","3,308"
2021,7,60,"26,133","6,446","1,583","1,087","1,752","2,436",598,"1,156","1,926","1,086","1,535",684,547,"2,920","2,377"
2021,7,70,"12,326","2,592",717,496,704,"1,063",340,661,"1,072",680,958,472,279,"1,355",937
2021,7,80,"6,734","1,349",406,276,444,570,207,366,617,344,572,262,176,656,489
2021,7,90,972,189,66,36,72,96,21,51,112,37,92,27,26,89,58
2021,7,100,37,7,0,1,2,6,1,2,4,1,2,1,1,4,5
2021,8,총,"148,296","45,316","8,693","4,586","7,718","12,410","2,139","4,758","9,405","6,266","8,204","2,735","2,703","18,793","14,570"
2021,8,0,"8,188","2,865",571,103,200,608,41,166,451,520,599,51,184,"1,165",664
2021,8,10,"11,962","4,894",557,184,488,923,63,223,679,357,442,139,141,"1,770","1,102"
2021,8,20,"18,051","6,038",953,435,777,"1,446",178,410,957,845,958,230,302,"2,510","2,012"
2021,8,30,"14,594","4,459","1,113",346,621,"1,176",128,280,851,903,952,118,336,"1,931","1,380"
2021,8,40,"19,918","7,158","1,113",505,821,"1,605",191,485,"1,178",626,839,234,265,"2,717","2,181"
2021,8,50,"29,108","9,231","1,594","1,115","1,827","2,446",368,961,"1,551",856,"1,229",516,441,"3,644","3,329"
2021,8,60,"26,337","6,515","1,595","1,089","1,750","2,469",600,"1,150","1,930","1,098","1,562",691,551,"2,938","2,399"
2021,8,70,"12,335","2,600",722,492,708,"1,060",343,666,"1,065",677,954,468,279,"1,358",943
2021,8,80,"6,785","1,357",409,278,449,574,204,364,627,345,577,262,178,664,497
2021,8,90,978,191,65,38,75,97,22,51,112,38,90,25,25,92,57
2021,8,100,40,8,1,1,2,6,1,2,4,1,2,1,1,4,6
2021,9,총,"148,434","45,394","8,672","4,575","7,667","12,426","2,133","4,755","9,427","6,256","8,188","2,741","2,710","18,841","14,649"
2021,9,0,"8,155","2,846",571,102,202,614,42,162,455,509,593,54,185,"1,156",664
2021,9,10,"11,880","4,899",547,183,436,917,63,224,677,351,439,135,140,"1,766","1,103"
2021,9,20,"18,063","6,045",953,429,769,"1,439",175,401,949,853,960,234,299,"2,529","2,028"
2021,9,30,"14,632","4,466","1,097",349,623,"1,201",123,288,860,903,940,121,335,"1,938","1,388"
2021,9,40,"19,848","7,126","1,108",496,814,"1,590",190,479,"1,175",629,839,234,272,"2,706","2,190"
2021,9,50,"29,122","9,252","1,585","1,112","1,824","2,439",367,960,"1,563",852,"1,235",512,435,"3,650","3,336"
2021,9,60,"26,528","6,565","1,608","1,094","1,758","2,492",604,"1,160","1,945","1,101","1,563",695,561,"2,962","2,420"
2021,9,70,"12,333","2,615",727,491,706,"1,055",335,664,"1,056",673,951,466,280,"1,358",956
2021,9,80,"6,845","1,376",408,282,457,575,213,365,629,346,578,262,177,678,499
2021,9,90,990,195,67,36,76,99,21,50,114,38,88,27,25,94,60
2021,9,100,38,9,1,1,2,5,0,2,4,1,2,1,1,4,5
2021,10,총,"148,618","45,481","8,679","4,573","7,647","12,432","2,129","4,766","9,407","6,246","8,208","2,741","2,711","18,877","14,721"
2021,10,0,"8,139","2,836",573,98,195,614,43,165,456,504,592,51,185,"1,161",666
2021,10,10,"11,844","4,893",553,183,415,916,61,224,672,346,441,134,141,"1,761","1,104"
2021,10,20,"18,053","6,064",946,422,761,"1,437",177,404,935,854,961,237,301,"2,527","2,027"
2021,10,30,"14,643","4,473","1,101",349,626,"1,197",120,286,854,905,949,124,332,"1,937","1,390"
2021,10,40,"19,810","7,111","1,105",500,811,"1,583",190,482,"1,173",621,833,227,270,"2,700","2,204"
2021,10,50,"29,181","9,304","1,583","1,106","1,830","2,439",364,956,"1,556",845,"1,237",515,433,"3,661","3,352"
2021,10,60,"26,694","6,595","1,621","1,104","1,767","2,521",606,"1,166","1,956","1,113","1,569",697,567,"2,970","2,442"
2021,10,70,"12,339","2,615",719,488,709,"1,052",335,661,"1,066",669,946,465,279,"1,373",962
2021,10,80,"6,876","1,386",411,284,458,567,213,368,619,350,588,263,176,688,505
2021,10,90,"1,001",194,66,39,73,101,20,52,116,38,90,27,26,95,64
2021,10,100,38,10,1,0,2,5,0,2,4,1,2,1,1,4,5
2021,11,총,"148,738","45,505","8,677","4,580","7,609","12,417","2,115","4,764","9,426","6,267","8,215","2,731","2,714","18,896","14,822"
2021,11,0,"8,113","2,833",568,94,196,598,42,159,455,510,597,48,182,"1,163",668
2021,11,10,"11,810","4,895",561,182,377,908,60,229,673,352,444,131,143,"1,752","1,103"
