년도,월,나이,장흥군,장흥읍,관산읍,대덕읍,용산면,안양면,장동면,장평면,유치면,부산면,회진면
2020,3,100,27,12,1,5,4,1,3,0,1,0,0
2020,4,총,"38,225","15,537","5,043","3,489","2,374","2,881","1,305","2,126","1,122","1,468","2,880"
2020,4,0,"2,065","1,341",154,148,86,85,39,42,20,44,106
2020,4,10,"2,933","1,635",325,225,115,139,57,110,45,82,200
2020,4,20,"3,180","1,617",342,256,146,213,80,138,77,94,217
2020,4,30,"2,922","1,653",299,199,144,182,82,94,44,64,161
2020,4,40,"4,282","2,151",444,373,214,271,114,167,107,153,288
2020,4,50,"6,479","2,485",888,599,365,525,211,399,270,254,483
2020,4,60,"6,399","2,108",969,644,483,539,269,368,239,220,560
2020,4,70,"5,516","1,480",911,570,435,485,210,419,183,269,554
2020,4,80,"3,831",892,627,422,326,367,214,347,118,234,284
2020,4,90,592,163,83,48,57,74,26,42,18,54,27
2020,4,100,26,12,1,5,3,1,3,0,1,0,0
2020,5,총,"38,146","15,532","5,035","3,463","2,364","2,883","1,299","2,122","1,121","1,452","2,875"
2020,5,0,"2,065","1,345",158,145,85,85,40,40,20,42,105
2020,5,10,"2,903","1,621",320,222,114,138,57,110,44,81,196
2020,5,20,"3,157","1,614",337,245,149,214,77,136,77,91,217
2020,5,30,"2,926","1,659",303,200,141,181,81,94,46,62,159
2020,5,40,"4,252","2,146",438,368,215,269,109,163,105,149,290
2020,5,50,"6,451","2,477",884,589,357,523,213,404,270,251,483
2020,5,60,"6,422","2,124",971,645,488,542,268,369,240,218,557
2020,5,70,"5,496","1,480",909,566,429,485,212,416,180,267,552
2020,5,80,"3,850",892,629,428,327,370,214,348,118,237,287
2020,5,90,599,162,85,50,56,75,26,42,20,54,29
2020,5,100,25,12,1,5,3,1,2,0,1,0,0
2020,6,총,"38,071","15,511","5,029","3,430","2,364","2,890","1,293","2,121","1,115","1,453","2,865"
2020,6,0,"2,065","1,345",158,142,87,87,41,38,20,45,102
2020,6,10,"2,894","1,620",319,218,111,138,58,110,43,81,196
2020,6,20,"3,117","1,594",335,235,149,215,73,136,74,88,218
2020,6,30,"2,905","1,652",303,196,140,179,78,96,43,62,156
2020,6,40,"4,262","2,158",435,367,214,272,105,164,105,152,290
2020,6,50,"6,403","2,471",879,576,352,517,211,402,268,249,478
2020,6,60,"6,450","2,127",975,652,494,552,269,367,241,219,554
2020,6,70,"5,495","1,483",908,562,428,483,215,415,179,267,555
2020,6,80,"3,853",891,629,424,329,369,215,352,121,236,287
2020,6,90,604,160,87,53,57,77,26,41,20,54,29
2020,6,100,23,10,1,5,3,1,2,0,1,0,0
2020,7,총,"37,998","15,507","5,028","3,425","2,361","2,876","1,288","2,117","1,100","1,444","2,852"
2020,7,0,"2,055","1,343",160,141,84,86,40,37,18,43,103
2020,7,10,"2,892","1,624",319,218,116,133,58,110,39,81,194
2020,7,20,"3,095","1,597",331,225,146,214,73,135,71,87,216
2020,7,30,"2,888","1,633",309,200,139,177,76,95,43,60,156
2020,7,40,"4,234","2,153",432,359,210,272,104,163,102,150,289
2020,7,50,"6,379","2,469",871,575,354,514,209,401,268,243,475
2020,7,60,"6,457","2,137",980,659,489,548,269,367,239,222,547
2020,7,70,"5,500","1,491",904,565,429,487,215,413,178,266,552
2020,7,80,"3,865",888,633,425,332,370,214,355,121,237,290
2020,7,90,609,161,88,53,59,74,28,41,20,55,30
2020,7,100,24,11,1,5,3,1,2,0,1,0,0
2020,8,총,"37,909","15,452","5,016","3,424","2,354","2,865","1,282","2,119","1,098","1,452","2,847"
2020,8,0,"2,042","1,336",162,141,83,82,37,36,18,45,102
2020,8,10,"2,869","1,618",315,217,113,132,58,110,39,78,189
2020,8,20,"3,076","1,586",327,221,143,213,72,137,68,90,219
2020,8,30,"2,847","1,600",308,204,139,169,74,96,42,61,154
2020,8,40,"4,230","2,164",426,354,209,271,104,162,103,148,289
2020,8,50,"6,338","2,452",861,574,355,508,208,397,263,246,474
2020,8,60,"6,506","2,151",986,664,488,559,268,372,243,228,547
2020,8,70,"5,495","1,487",907,567,427,486,214,412,178,266,551
2020,8,80,"3,872",886,635,423,335,371,217,356,123,234,292
2020,8,90,610,161,88,54,59,73,28,41,20,56,30
2020,8,100,24,11,1,5,3,1,2,0,1,0,0
2020,9,총,"37,839","15,432","5,012","3,404","2,351","2,861","1,275","2,111","1,093","1,461","2,839"
2020,9,0,"2,034","1,329",162,139,83,83,35,36,18,46,103
2020,9,10,"2,850","1,616",309,215,114,130,58,107,39,76,186
2020,9,20,"3,079","1,588",332,216,139,213,69,140,67,96,219
2020,9,30,"2,830","1,586",309,201,142,167,76,93,40,62,154
2020,9,40,"4,199","2,155",424,348,206,271,101,158,103,150,283
2020,9,50,"6,314","2,457",856,563,353,504,208,393,258,247,475
2020,9,60,"6,527","2,154",990,673,492,559,266,375,244,229,545
2020,9,70,"5,482","1,486",906,565,424,483,215,409,180,268,546
2020,9,80,"3,889",889,633,425,335,376,218,359,123,233,298
2020,9,90,611,161,90,54,60,74,27,41,20,54,30
2020,9,100,24,11,1,5,3,1,2,0,1,0,0
2020,10,총,"37,823","15,452","5,010","3,408","2,341","2,852","1,277","2,108","1,091","1,454","2,830"
2020,10,0,"2,031","1,326",163,138,82,80,38,37,18,46,103
2020,10,10,"2,834","1,618",305,213,113,130,57,108,37,75,178
2020,10,20,"3,096","1,604",336,221,137,209,65,139,63,97,225
2020,10,30,"2,816","1,582",305,199,138,165,75,94,42,62,154
2020,10,40,"4,165","2,144",418,344,205,270,102,155,100,145,282
2020,10,50,"6,311","2,466",856,565,345,503,210,392,259,245,470
2020,10,60,"6,566","2,170",992,675,498,564,267,376,247,231,546
2020,10,70,"5,477","1,484",907,566,422,478,213,412,179,267,549
2020,10,80,"3,885",884,636,424,334,375,221,357,125,234,295
2020,10,90,617,163,90,58,64,77,27,38,20,52,28
2020,10,100,25,11,2,5,3,1,2,0,1,0,0
2020,11,총,"37,819","15,483","5,010","3,410","2,334","2,844","1,267","2,104","1,086","1,461","2,820"
2020,11,0,"2,016","1,330",159,137,78,75,36,36,17,45,103
2020,11,10,"2,833","1,623",305,213,112,130,54,106,36,76,178
2020,11,20,"3,089","1,608",334,223,135,208,63,139,64,98,217
2020,11,30,"2,811","1,581",308,196,137,165,71,93,42,64,154
2020,11,40,"4,155","2,144",414,341,206,269,103,158,96,143,281
2020,11,50,"6,309","2,481",853,569,344,498,205,388,258,248,465
2020,11,60,"6,600","2,179","1,004",673,497,568,272,377,247,233,550
2020,11,70,"5,469","1,477",903,571,424,479,212,408,181,265,549
2020,11,80,"3,894",887,636,424,333,374,223,362,124,236,295
2020,11,90,617,162,92,58,64,77,26,37,20,53,28
2020,11,100,26,11,2,5,4,1,2,0,1,0,0
2020,12,총,"37,800","15,465","4,998","3,409","2,341","2,850","1,268","2,105","1,079","1,456","2,829"
2020,12,0,"2,014","1,325",159,139,78,76,36,39,15,43,104
2020,12,10,"2,811","1,614",298,209,115,129,54,106,34,77,175
2020,12,20,"3,098","1,603",335,223,138,213,66,138,63,101,218
2020,12,30,"2,784","1,564",301,194,138,164,70,94,44,61,154
2020,12,40,"4,132","2,139",418,333,208,265,101,154,95,140,279
2020,12,50,"6,322","2,485",851,573,347,499,203,394,258,242,470
2020,12,60,"6,615","2,190","1,007",673,493,567,269,377,243,239,557
2020,12,70,"5,474","1,475",896,577,426,483,218,406,181,263,549
2020,12,80,"3,902",896,638,423,332,375,221,360,122,239,296
2020,12,90,624,164,93,60,63,78,28,37,23,51,27
2020,12,100,24,10,2,5,3,1,2,0,1,0,0
2021,1,총,"37,689","15,422","4,971","3,395","2,337","2,841","1,262","2,102","1,080","1,455","2,824"
2021,1,0,"1,993","1,311",155,137,79,77,36,37,15,42,104
2021,1,10,"2,784","1,593",297,206,114,129,53,106,34,79,173
2021,1,20,"3,082","1,604",328,218,135,208,70,138,63,97,221
2021,1,30,"2,752","1,552",296,188,140,161,68,93,44,58,152
2021,1,40,"4,111","2,124",419,331,203,267,100,155,94,141,277
2021,1,50,"6,309","2,490",852,573,343,494,200,393,259,242,463
2021,1,60,"6,638","2,198","1,001",678,500,569,269,375,245,242,561
2021,1,70,"5,451","1,475",890,576,418,482,215,406,179,261,549
2021,1,80,"3,906",898,637,422,336,373,222,361,123,238,296
2021,1,90,639,167,94,61,66,80,27,38,23,55,28
2021,1,100,24,10,2,5,3,1,2,0,1,0,0
2021,2,총,"37,528","15,352","4,943","3,390","2,323","2,841","1,260","2,095","1,080","1,447","2,797"
2021,2,0,"1,968","1,294",151,134,79,77,33,37,15,44,104
2021,2,10,"2,758","1,577",291,208,111,131,52,106,33,78,171
2021,2,20,"3,041","1,589",322,211,129,206,70,142,62,95,215
2021,2,30,"2,706","1,524",292,188,139,163,64,89,46,53,148
2021,2,40,"4,103","2,131",410,330,202,262,102,157,93,140,276
2021,2,50,"6,276","2,476",855,572,337,496,202,390,258,241,449
2021,2,60,"6,654","2,209","1,001",679,505,570,268,373,248,242,559
2021,2,70,"5,442","1,470",888,578,417,482,217,400,175,262,553
2021,2,80,"3,910",904,639,422,331,373,223,363,126,236,293
2021,2,90,645,168,92,63,70,80,26,38,23,56,29
2021,2,100,25,10,2,5,3,1,3,0,1,0,0
2021,3,총,"37,266","15,238","4,886","3,353","2,316","2,829","1,255","2,085","1,073","1,433","2,798"
2021,3,0,"1,951","1,273",150,133,83,80,35,39,13,42,103
2021,3,10,"2,730","1,579",279,200,110,132,48,101,36,75,170
2021,3,20,"3,027","1,583",319,216,132,199,71,142,61,90,214
2021,3,30,"2,661","1,496",277,185,136,168,65,86,46,51,151
2021,3,40,"4,022","2,090",402,326,196,253,98,154,90,139,274
2021,3,50,"6,230","2,473",843,563,338,491,208,383,250,235,446
2021,3,60,"6,633","2,183",999,672,505,569,264,379,252,246,564
2021,3,70,"5,419","1,472",883,575,410,481,218,396,176,262,546
2021,3,80,"3,930",908,640,418,334,374,221,368,126,238,303
2021,3,90,641,170,92,64,69,81,25,37,22,54,27
2021,3,100,22,11,2,1,3,1,2,0,1,1,0
2021,4,총,"37,177","15,182","4,879","3,349","2,321","2,825","1,242","2,080","1,070","1,437","2,792"
2021,4,0,"1,930","1,262",146,131,84,76,33,38,13,41,106
2021,4,10,"2,686","1,548",279,197,108,131,46,98,35,74,170
2021,4,20,"3,022","1,585",323,216,131,195,68,141,60,89,214
2021,4,30,"2,666","1,503",272,182,139,163,67,87,47,53,153
2021,4,40,"3,998","2,078",402,325,193,256,94,151,89,145,265
2021,4,50,"6,212","2,463",842,558,347,488,205,378,248,237,446
2021,4,60,"6,650","2,187",996,678,503,573,264,388,255,245,561
2021,4,70,"5,397","1,474",878,574,407,477,215,395,174,260,543
2021,4,80,"3,945",904,643,420,336,381,223,365,127,238,308
2021,4,90,650,167,96,67,70,84,25,39,22,54,26
2021,4,100,21,11,2,1,3,1,2,0,0,1,0
2021,5,총,"37,095","15,151","4,878","3,332","2,315","2,808","1,237","2,089","1,065","1,442","2,778"
2021,5,0,"1,914","1,249",146,130,82,76,35,40,13,40,103
2021,5,10,"2,682","1,545",280,195,107,130,47,102,34,73,169
2021,5,20,"2,998","1,584",321,208,130,192,67,140,58,88,210
2021,5,30,"2,637","1,486",270,180,138,158,66,88,46,52,153
2021,5,40,"3,961","2,064",400,322,192,250,93,148,92,140,260
2021,5,50,"6,212","2,475",838,558,337,486,206,379,245,243,445
2021,5,60,"6,666","2,190",991,681,510,576,261,391,254,249,563
2021,5,70,"5,391","1,476",888,566,406,473,211,396,173,262,540
2021,5,80,"3,958",904,641,423,338,382,225,366,128,241,310
2021,5,90,652,167,100,67,72,84,24,38,22,53,25
2021,5,100,24,11,3,2,3,1,2,1,0,1,0
2021,6,총,"37,028","15,119","4,870","3,324","2,309","2,800","1,240","2,094","1,063","1,437","2,772"
2021,6,0,"1,894","1,237",145,130,80,75,35,36,13,37,106
2021,6,10,"2,671","1,547",280,195,103,125,48,103,34,71,165
2021,6,20,"2,985","1,575",317,207,133,192,67,140,57,91,206
2021,6,30,"2,604","1,473",267,180,135,153,66,89,46,47,148
2021,6,40,"3,950","2,058",401,322,191,250,92,147,92,138,259
2021,6,50,"6,194","2,467",833,555,340,480,206,377,243,245,448
2021,6,60,"6,687","2,198",996,680,512,582,265,392,254,248,560
2021,6,70,"5,380","1,472",880,564,402,472,210,401,172,262,545
2021,6,80,"3,980",916,646,422,337,385,224,368,129,244,309
2021,6,90,659,165,102,67,73,85,25,40,23,53,26
2021,6,100,24,11,3,2,3,1,2,1,0,1,0
2021,7,총,"36,963","15,079","4,870","3,327","2,304","2,814","1,236","2,086","1,061","1,427","2,759"
2021,7,0,"1,897","1,233",149,130,79,77,35,36,13,38,107
2021,7,10,"2,656","1,540",280,195,105,126,46,100,33,68,163
2021,7,20,"2,973","1,568",321,207,129,195,66,138,57,91,201
2021,7,30,"2,593","1,474",267,177,131,155,64,87,45,48,145
2021,7,40,"3,917","2,048",395,316,191,250,90,149,92,130,256
2021,7,50,"6,185","2,451",829,560,346,483,208,371,240,249,448
2021,7,60,"6,712","2,204","1,000",683,513,586,269,396,257,244,560
2021,7,70,"5,363","1,473",876,560,400,474,207,396,174,260,543
2021,7,80,"3,976",912,646,429,336,378,224,370,127,245,309
2021,7,90,668,165,104,69,71,89,25,42,23,53,27
2021,7,100,23,11,3,1,3,1,2,1,0,1,0
2021,8,총,"36,876","15,061","4,859","3,324","2,307","2,813","1,226","2,071","1,054","1,416","2,745"
2021,8,0,"1,885","1,236",149,129,76,78,31,35,13,35,103
2021,8,10,"2,644","1,533",280,199,111,124,46,94,30,67,160
2021,8,20,"2,945","1,559",318,204,126,194,63,136,60,87,198
2021,8,30,"2,591","1,473",266,175,130,155,62,86,47,51,146
2021,8,40,"3,890","2,043",395,308,192,250,87,147,90,125,253
2021,8,50,"6,164","2,442",820,563,342,485,207,369,236,251,449
2021,8,60,"6,723","2,208","1,007",684,518,581,272,393,256,246,558
2021,8,70,"5,352","1,477",873,560,400,477,205,396,175,257,532
2021,8,80,"3,988",913,645,431,338,379,226,371,124,244,317
2021,8,90,669,165,102,70,71,89,25,43,23,52,29
2021,8,100,25,12,4,1,3,1,2,1,0,1,0
2021,9,총,"36,742","15,009","4,842","3,316","2,313","2,804","1,220","2,058","1,049","1,398","2,733"
2021,9,0,"1,862","1,223",144,125,77,79,31,36,13,33,101
2021,9,10,"2,639","1,527",281,200,115,124,46,92,29,65,160
2021,9,20,"2,887","1,545",307,202,121,182,62,131,59,87,191
2021,9,30,"2,567","1,471",261,170,127,154,61,86,47,47,143
2021,9,40,"3,872","2,032",397,304,199,250,86,147,86,120,251
2021,9,50,"6,151","2,440",812,570,341,480,203,369,239,248,449
2021,9,60,"6,725","2,209","1,004",680,521,587,273,391,255,246,559
2021,9,70,"5,347","1,473",880,560,400,477,204,395,176,253,529
2021,9,80,"3,998",914,650,433,339,379,226,366,124,246,321
2021,9,90,669,163,102,71,70,91,26,44,21,52,29
2021,9,100,25,12,4,1,3,1,2,1,0,1,0
2021,10,총,"36,701","15,002","4,840","3,306","2,314","2,805","1,218","2,064","1,043","1,388","2,721"
2021,10,0,"1,855","1,224",138,124,77,78,33,37,13,30,101
2021,10,10,"2,627","1,519",280,197,117,124,45,93,28,65,159
2021,10,20,"2,885","1,552",305,203,119,182,61,130,58,87,188
2021,10,30,"2,553","1,452",262,170,129,157,60,88,45,46,144
2021,10,40,"3,852","2,029",398,303,197,243,86,145,86,117,248
2021,10,50,"6,139","2,452",802,565,344,481,201,366,239,249,440
2021,10,60,"6,738","2,200","1,014",679,517,592,275,400,252,246,563
2021,10,70,"5,347","1,477",885,558,400,475,203,392,176,252,529
2021,10,80,"4,011",923,648,435,341,381,226,368,124,246,319
2021,10,90,669,162,104,71,70,91,26,44,22,49,30
2021,10,100,25,12,4,1,3,1,2,1,0,1,0
2021,11,총,"36,622","14,969","4,844","3,292","2,309","2,791","1,220","2,067","1,036","1,385","2,709"
2021,11,0,"1,838","1,217",137,121,79,75,33,37,13,29,97
2021,11,10,"2,627","1,528",279,196,115,125,43,91,27,66,157
2021,11,20,"2,876","1,540",306,205,120,180,63,134,55,84,189
2021,11,30,"2,526","1,437",263,167,126,153,61,89,44,47,139
2021,11,40,"3,846","2,030",404,301,197,240,86,144,85,113,246
2021,11,50,"6,138","2,463",796,566,346,474,201,368,236,254,434
2021,11,60,"6,726","2,186","1,017",672,515,596,274,399,250,245,572
2021,11,70,"5,347","1,479",889,563,397,474,203,388,180,246,528
2021,11,80,"4,006",924,645,430,342,383,226,370,124,246,316
2021,11,90,675,162,104,70,69,89,28,46,22,54,31
2021,11,100,17,3,4,1,3,2,2,1,0,1,0
2021,12,총,"36,547","14,916","4,851","3,272","2,303","2,795","1,217","2,073","1,028","1,386","2,706"
2021,12,0,"1,834","1,213",140,116,82,75,34,37,11,29,97
2021,12,10,"2,605","1,512",277,196,111,123,44,92,26,66,158
2021,12,20,"2,869","1,526",308,199,128,186,62,131,54,85,190
2021,12,30,"2,513","1,436",262,164,126,150,62,90,39,48,136
2021,12,40,"3,825","2,021",408,295,191,242,83,144,85,115,241
2021,12,50,"6,135","2,463",790,568,342,473,206,369,235,253,436
2021,12,60,"6,736","2,188","1,027",669,518,595,270,402,253,241,573
2021,12,70,"5,341","1,474",887,564,395,477,205,389,174,248,528
2021,12,80,"3,998",916,642,431,339,383,221,372,131,247,316
2021,12,90,677,164,106,70,69,89,29,46,20,53,31
2021,12,100,14,3,4,0,2,2,1,1,0,1,0
