년도,월,나이,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020,10,50,"5,752","2,011","1,019",532,403,704,407,314,362
2020,10,60,"6,291","1,795","1,008",648,553,825,556,440,466
2020,10,70,"3,914",984,744,437,363,549,313,265,259
2020,10,80,"2,131",509,361,248,177,307,186,174,169
2020,10,90,281,68,39,44,19,44,22,25,20
2020,10,100,21,2,1,6,3,1,1,0,7
2020,11,총,"29,239","10,641","5,446","2,495","2,111","3,305","1,941","1,540","1,760"
2020,11,0,"1,201",634,262,60,61,80,48,21,35
2020,11,10,"2,013",956,411,101,145,175,78,37,110
2020,11,20,"2,260","1,136",480,119,101,150,93,75,106
2020,11,30,"2,036","1,047",426,101,84,143,79,73,83
2020,11,40,"3,335","1,504",693,190,196,333,152,125,142
2020,11,50,"5,726","1,996","1,010",533,404,705,407,309,362
2020,11,60,"6,323","1,805","1,019",653,553,824,563,442,464
2020,11,70,"3,915",984,745,439,366,544,314,263,260
2020,11,80,"2,122",507,358,249,179,305,183,171,170
2020,11,90,286,70,41,43,19,45,23,24,21
2020,11,100,22,2,1,7,3,1,1,0,7
2020,12,총,"29,155","10,615","5,419","2,499","2,102","3,299","1,932","1,534","1,755"
2020,12,0,"1,201",635,264,59,59,78,46,22,38
2020,12,10,"2,001",949,409,103,142,174,78,37,109
2020,12,20,"2,245","1,129",476,121,104,149,91,72,103
2020,12,30,"2,018","1,048",417,96,84,141,76,74,82
2020,12,40,"3,325","1,503",690,191,192,332,150,125,142
2020,12,50,"5,668","1,973",997,534,401,698,406,302,357
2020,12,60,"6,354","1,813","1,026",655,547,834,563,447,469
2020,12,70,"3,896",975,737,437,372,542,312,261,260
2020,12,80,"2,136",516,360,253,178,305,186,171,167
2020,12,90,289,72,42,43,20,45,23,23,21
2020,12,100,22,2,1,7,3,1,1,0,7
2021,1,총,"29,049","10,585","5,374","2,499","2,090","3,294","1,937","1,522","1,748"
2021,1,0,"1,184",633,255,59,58,78,46,20,35
2021,1,10,"1,970",939,409,102,132,172,78,36,102
2021,1,20,"2,201","1,112",458,119,100,149,90,70,103
2021,1,30,"2,009","1,049",408,96,84,139,77,73,83
2021,1,40,"3,296","1,491",686,187,188,328,149,126,141
2021,1,50,"5,629","1,948",988,537,401,701,408,293,353
2021,1,60,"6,400","1,844","1,023",660,552,834,567,449,471
2021,1,70,"3,900",981,741,432,371,540,314,259,262
2021,1,80,"2,153",517,363,257,181,306,185,174,170
2021,1,90,284,69,42,43,20,46,22,21,21
2021,1,100,23,2,1,7,3,1,1,1,7
2021,2,총,"28,943","10,538","5,352","2,497","2,084","3,280","1,930","1,530","1,732"
2021,2,0,"1,171",629,251,59,58,75,46,20,33
2021,2,10,"1,949",937,399,105,136,172,74,34,92
2021,2,20,"2,175","1,095",454,117,101,143,86,75,104
2021,2,30,"1,953","1,021",395,89,80,135,79,73,81
2021,2,40,"3,285","1,485",687,196,185,322,145,128,137
2021,2,50,"5,595","1,941",978,529,398,697,405,294,353
2021,2,60,"6,453","1,855","1,035",669,554,845,573,454,468
2021,2,70,"3,896",987,743,425,363,540,314,257,267
2021,2,80,"2,154",516,366,256,186,304,184,173,169
2021,2,90,288,69,43,44,20,46,23,21,22
2021,2,100,24,3,1,8,3,1,1,1,6
2021,3,총,"28,835","10,518","5,340","2,472","2,071","3,262","1,919","1,529","1,724"
2021,3,0,"1,165",625,255,58,57,72,45,21,32
2021,3,10,"1,933",929,397,102,136,171,72,33,93
2021,3,20,"2,148","1,086",442,118,101,136,86,75,104
2021,3,30,"1,933","1,012",396,89,77,130,74,74,81
2021,3,40,"3,239","1,476",678,190,178,313,144,124,136
2021,3,50,"5,536","1,931",964,515,397,692,403,291,343
2021,3,60,"6,518","1,879","1,052",674,553,852,574,459,475
2021,3,70,"3,883",987,740,418,364,538,313,257,266
2021,3,80,"2,167",517,371,258,185,309,185,174,168
2021,3,90,294,73,44,45,20,48,23,20,21
2021,3,100,19,3,1,5,3,1,0,1,5
2021,4,총,"28,758","10,482","5,326","2,469","2,070","3,251","1,910","1,519","1,731"
2021,4,0,"1,149",621,248,57,56,71,42,23,31
2021,4,10,"1,922",917,403,100,138,172,69,33,90
2021,4,20,"2,135","1,083",433,122,99,134,86,72,106
2021,4,30,"1,926","1,008",396,87,78,132,73,74,78
2021,4,40,"3,214","1,457",673,197,179,311,139,122,136
2021,4,50,"5,495","1,925",962,503,395,680,400,285,345
2021,4,60,"6,559","1,882","1,053",679,559,861,580,462,483
2021,4,70,"3,871",989,738,418,360,537,310,254,265
2021,4,80,"2,176",522,374,257,183,309,188,173,170
2021,4,90,292,74,45,45,20,43,23,20,22
2021,4,100,19,4,1,4,3,1,0,1,5
2021,5,총,"28,766","10,487","5,324","2,475","2,067","3,249","1,916","1,518","1,730"
2021,5,0,"1,149",625,247,59,53,71,42,21,31
2021,5,10,"1,917",919,403,101,135,171,67,32,89
2021,5,20,"2,131","1,084",434,120,98,133,84,71,107
2021,5,30,"1,925","1,001",397,90,77,135,74,72,79
2021,5,40,"3,191","1,458",669,196,174,306,139,119,130
2021,5,50,"5,449","1,914",958,498,396,665,394,281,343
2021,5,60,"6,637","1,892","1,064",684,569,875,591,474,488
2021,5,70,"3,868",991,735,420,357,537,311,255,262
2021,5,80,"2,185",525,372,257,183,313,191,171,173
2021,5,90,294,73,44,46,22,42,23,21,23
2021,5,100,20,5,1,4,3,1,0,1,5
2021,6,총,"28,652","10,435","5,332","2,476","2,062","3,241","1,899","1,502","1,705"
2021,6,0,"1,149",626,252,57,51,71,40,21,31
2021,6,10,"1,911",909,404,103,137,172,67,32,87
2021,6,20,"2,119","1,081",432,121,99,131,83,68,104
2021,6,30,"1,906",989,400,88,78,134,69,71,77
2021,6,40,"3,157","1,443",666,194,174,302,140,114,124
2021,6,50,"5,429","1,910",962,497,390,663,393,281,333
2021,6,60,"6,662","1,897","1,067",694,577,882,586,468,491
2021,6,70,"3,841",986,731,418,346,538,309,255,258
2021,6,80,"2,174",521,375,254,185,306,191,170,172
2021,6,90,288,70,42,46,23,42,21,21,23
2021,6,100,16,3,1,4,2,0,0,1,5
2021,7,총,"28,578","10,400","5,318","2,468","2,065","3,236","1,886","1,507","1,698"
2021,7,0,"1,137",615,251,58,51,70,42,21,29
2021,7,10,"1,910",911,403,103,136,172,64,32,89
2021,7,20,"2,104","1,071",431,121,103,130,83,65,100
2021,7,30,"1,880",976,394,88,74,129,68,72,79
2021,7,40,"3,137","1,432",665,189,176,304,134,114,123
2021,7,50,"5,413","1,917",961,490,389,663,383,280,330
2021,7,60,"6,689","1,897","1,071",699,579,885,592,474,492
2021,7,70,"3,826",989,725,415,342,533,307,256,259
2021,7,80,"2,182",517,373,260,190,307,192,171,172
2021,7,90,286,71,43,42,23,43,21,21,22
2021,7,100,14,4,1,3,2,0,0,1,3
2021,8,총,"28,513","10,389","5,301","2,462","2,066","3,217","1,878","1,514","1,686"
2021,8,0,"1,125",612,246,58,51,66,41,20,31
2021,8,10,"1,899",912,398,100,133,173,64,30,89
2021,8,20,"2,086","1,063",430,123,104,129,83,62,92
2021,8,30,"1,864",970,388,89,71,127,65,76,78
2021,8,40,"3,122","1,428",660,191,174,298,132,115,124
2021,8,50,"5,410","1,915",964,487,391,659,382,284,328
2021,8,60,"6,690","1,904","1,068",697,585,880,592,474,490
2021,8,70,"3,819",982,726,412,339,536,308,257,259
2021,8,80,"2,197",528,376,260,194,304,189,174,172
2021,8,90,287,71,44,42,22,45,22,21,20
2021,8,100,14,4,1,3,2,0,0,1,3
2021,9,총,"28,441","10,364","5,282","2,467","2,070","3,199","1,871","1,515","1,673"
2021,9,0,"1,113",600,241,60,52,67,41,21,31
2021,9,10,"1,892",910,400,100,133,171,61,30,87
2021,9,20,"2,060","1,052",429,125,100,121,83,61,89
2021,9,30,"1,857",971,380,87,76,127,63,77,76
2021,9,40,"3,116","1,426",662,191,172,297,134,112,122
2021,9,50,"5,375","1,909",959,482,391,650,377,284,323
2021,9,60,"6,716","1,905","1,065",704,590,886,595,477,494
2021,9,70,"3,808",984,722,411,339,532,305,257,258
2021,9,80,"2,203",529,379,262,193,304,191,174,171
2021,9,90,287,74,44,42,22,43,21,21,20
2021,9,100,14,4,1,3,2,1,0,1,2
2021,10,총,"28,405","10,348","5,266","2,467","2,078","3,202","1,859","1,507","1,678"
2021,10,0,"1,104",592,239,62,50,67,41,20,33
2021,10,10,"1,890",909,399,98,133,170,61,28,92
2021,10,20,"2,062","1,063",420,124,104,123,79,60,89
2021,10,30,"1,847",961,384,88,75,122,64,76,77
2021,10,40,"3,096","1,415",655,193,173,296,134,110,120
2021,10,50,"5,347","1,897",956,477,386,656,374,279,322
2021,10,60,"6,762","1,926","1,071",708,599,888,592,481,497
2021,10,70,"3,779",976,716,408,337,529,300,256,257
2021,10,80,"2,218",532,381,263,196,308,194,174,170
2021,10,90,287,73,44,43,24,42,20,22,19
2021,10,100,13,4,1,3,1,1,0,1,2
2021,11,총,"28,353","10,337","5,229","2,463","2,066","3,202","1,856","1,522","1,678"
2021,11,0,"1,090",594,232,62,45,66,39,20,32
2021,11,10,"1,877",911,400,93,131,169,58,28,87
2021,11,20,"2,051","1,053",420,124,105,121,80,60,88
2021,11,30,"1,813",943,372,88,72,122,63,77,76
2021,11,40,"3,086","1,419",654,191,170,292,134,108,118
2021,11,50,"5,343","1,898",954,477,384,652,372,280,326
2021,11,60,"6,797","1,935","1,063",709,604,901,594,490,501
2021,11,70,"3,772",972,714,406,335,527,298,259,261
2021,11,80,"2,221",533,376,266,195,310,198,176,167
2021,11,90,290,75,43,44,24,41,20,23,20
2021,11,100,13,4,1,3,1,1,0,1,2
2021,12,총,"28,331","10,329","5,223","2,449","2,072","3,193","1,861","1,525","1,679"
2021,12,0,"1,086",594,232,60,45,63,38,21,33
2021,12,10,"1,860",910,398,94,130,164,56,27,81
2021,12,20,"2,051","1,046",424,120,107,121,82,60,91
2021,12,30,"1,806",932,375,88,72,124,61,76,78
2021,12,40,"3,060","1,411",649,187,171,283,135,107,117
2021,12,50,"5,346","1,906",947,475,385,655,373,280,325
2021,12,60,"6,819","1,935","1,064",707,605,905,601,498,504
2021,12,70,"3,777",978,714,409,338,522,299,255,262
2021,12,80,"2,224",535,380,263,194,314,195,175,168
2021,12,90,291,79,40,44,24,41,21,25,17
2021,12,100,11,3,0,2,1,1,0,1,3
