년도,월,나이,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020,12,90,437,89,65,27,65,31,56,43,19,29,13
2020,12,100,10,5,5,0,0,0,0,0,0,0,0
2021,1,총,"31,549","9,247","9,567","1,204","2,993","1,420","1,736","2,614",945,"1,378",445
2021,1,0,"2,008",620,955,31,161,35,27,130,11,33,5
2021,1,10,"2,786",899,"1,249",55,134,37,67,244,31,59,11
2021,1,20,"2,279",840,709,65,177,74,85,187,41,77,24
2021,1,30,"2,715",931,"1,057",71,232,52,59,175,37,82,19
2021,1,40,"4,291","1,382","1,856",92,215,93,110,355,51,115,22
2021,1,50,"5,051","1,609","1,410",181,419,231,252,454,139,281,75
2021,1,60,"5,366","1,401","1,224",261,604,345,393,440,246,324,128
2021,1,70,"3,716",862,632,226,511,286,376,341,211,190,81
2021,1,80,"2,885",608,403,194,474,236,313,246,158,186,67
2021,1,90,442,90,67,28,66,31,54,42,20,31,13
2021,1,100,10,5,5,0,0,0,0,0,0,0,0
2021,2,총,"31,454","9,215","9,531","1,198","2,983","1,413","1,731","2,620",942,"1,376",445
2021,2,0,"1,977",611,935,32,157,33,27,132,12,32,6
2021,2,10,"2,774",887,"1,255",53,134,35,66,244,31,58,11
2021,2,20,"2,258",833,707,64,170,74,82,187,41,77,23
2021,2,30,"2,662",919,"1,029",67,226,51,61,173,36,81,19
2021,2,40,"4,291","1,377","1,858",91,218,94,110,358,52,111,22
2021,2,50,"5,038","1,612","1,405",179,419,228,245,457,139,279,75
2021,2,60,"5,402","1,412","1,237",264,605,346,398,437,246,330,127
2021,2,70,"3,687",852,626,227,508,281,376,339,209,189,80
2021,2,80,"2,910",615,408,193,478,240,311,251,157,188,69
2021,2,90,446,92,67,28,68,31,55,42,19,31,13
2021,2,100,9,5,4,0,0,0,0,0,0,0,0
2021,3,총,"31,369","9,184","9,515","1,193","2,977","1,410","1,735","2,596",942,"1,372",445
2021,3,0,"1,956",603,927,33,152,34,27,130,12,32,6
2021,3,10,"2,766",889,"1,255",51,140,33,65,238,30,55,10
2021,3,20,"2,230",817,702,62,163,74,86,183,42,78,23
2021,3,30,"2,634",906,"1,017",68,227,51,60,171,35,80,19
2021,3,40,"4,250","1,359","1,859",92,215,88,108,349,52,107,21
2021,3,50,"5,042","1,624","1,406",174,415,230,246,453,140,277,77
2021,3,60,"5,423","1,424","1,237",268,611,346,394,438,247,333,125
2021,3,70,"3,687",848,632,223,507,281,380,340,204,191,81
2021,3,80,"2,921",619,409,195,477,242,310,252,160,188,69
2021,3,90,451,90,67,27,70,31,59,42,20,31,14
2021,3,100,9,5,4,0,0,0,0,0,0,0,0
2021,4,총,"31,294","9,182","9,502","1,197","2,963","1,400","1,730","2,565",943,"1,368",444
2021,4,0,"1,943",599,926,32,151,34,28,125,11,31,6
2021,4,10,"2,750",889,"1,254",50,139,33,63,228,30,55,9
2021,4,20,"2,209",818,692,62,161,67,86,183,42,77,21
2021,4,30,"2,606",898,"1,010",69,220,49,62,167,33,78,20
2021,4,40,"4,229","1,352","1,854",92,212,87,108,342,53,108,21
2021,4,50,"5,005","1,613","1,400",172,410,230,243,451,138,275,73
2021,4,60,"5,453","1,435","1,237",276,616,345,394,437,251,334,128
2021,4,70,"3,678",851,637,217,499,281,379,336,204,191,83
