년도,월,나이,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020,2,40,"70,617","3,497","2,637","5,318","3,794","2,050","3,957","5,462","1,786","3,787","2,398","2,828","2,441","3,239","3,137","2,437","3,082","2,314","3,603","3,699","4,932","4,219"
2020,2,50,"69,370","3,563","2,381","4,793","3,572","1,675","3,718","5,004","1,924","3,562","2,645","2,915","2,481","3,142","3,294","1,733","2,613","2,458","3,117","4,514","5,196","5,070"
2020,2,60,"57,838","3,254","1,945","3,783","3,130","1,354","3,131","4,216","1,646","2,878","2,162","2,502","2,222","2,671","2,510","1,438","2,063","2,146","2,203","4,082","4,531","3,971"
2020,2,70,"36,421","2,102","1,207","2,486","2,060",946,"2,034","2,697","1,154","1,811","1,293","1,519","1,546","1,572","1,615",922,"1,283","1,201","1,279","2,674","2,511","2,509"
2020,2,80,"12,272",681,520,913,626,324,627,870,401,591,368,512,518,535,531,281,428,461,490,"1,011",785,799
2020,2,90,"1,600",94,62,124,81,44,75,108,38,76,55,51,76,80,65,43,65,61,58,156,85,103
2020,2,100,310,10,22,30,16,9,21,17,9,8,3,9,12,18,14,15,13,9,12,28,22,13
2020,3,총,"499,374","24,982","15,988","30,623","29,649","16,925","33,562","34,476","15,552","26,650","18,761","23,220","18,482","23,675","22,946","21,690","16,082","17,597","23,565","24,861","31,920","28,168"
2020,3,0,"24,248","1,340","1,425","2,195","1,281",790,"1,254","2,323",450,"1,272","1,124",749,678,902,877,405,"1,290",745,782,"1,003","1,918","1,445"
2020,3,10,"30,334","1,543","1,199","3,054","1,460",899,"1,781","2,666",690,"1,703",891,936,911,"1,144","1,262",533,"1,514",853,"1,060","1,717","2,481","2,037"
2020,3,20,"108,343","4,675","1,963","3,888","7,548","5,355","10,606","5,554","4,435","5,850","3,932","6,439","4,351","5,697","5,649","8,248","1,723","3,999","6,180","3,121","4,967","4,163"
2020,3,30,"88,225","4,262","2,663","4,073","6,133","3,495","6,338","5,598","3,022","5,109","3,855","4,768","3,260","4,665","3,990","5,611","2,012","3,344","4,763","2,896","4,519","3,849"
2020,3,40,"70,260","3,481","2,606","5,275","3,750","2,033","3,945","5,431","1,778","3,770","2,402","2,832","2,422","3,253","3,126","2,449","3,064","2,299","3,584","3,667","4,898","4,195"
2020,3,50,"69,117","3,527","2,366","4,808","3,556","1,668","3,713","4,976","1,922","3,555","2,641","2,904","2,488","3,130","3,275","1,720","2,616","2,440","3,122","4,471","5,169","5,050"
2020,3,60,"58,015","3,271","1,943","3,786","3,133","1,356","3,154","4,222","1,650","2,890","2,186","2,499","2,216","2,677","2,524","1,448","2,070","2,168","2,213","4,098","4,537","3,974"
2020,3,70,"36,481","2,096","1,217","2,475","2,059",943,"2,044","2,711","1,147","1,812","1,297","1,512","1,540","1,565","1,622",931,"1,282","1,210","1,294","2,678","2,532","2,514"
2020,3,80,"12,411",686,521,911,629,332,628,870,409,603,369,521,526,544,542,288,434,466,498,"1,019",794,821
2020,3,90,"1,631",91,63,128,83,45,79,108,40,78,61,51,78,80,65,42,64,64,57,163,85,106
2020,3,100,309,10,22,30,17,9,20,17,9,8,3,9,12,18,14,15,13,9,12,28,20,14
2020,4,총,"498,978","24,999","15,936","30,528","29,562","16,977","33,587","34,482","15,597","26,638","18,707","23,183","18,501","23,760","22,939","21,661","16,060","17,551","23,623","24,805","31,806","28,076"
2020,4,0,"23,994","1,316","1,404","2,170","1,255",783,"1,256","2,304",449,"1,271","1,108",743,669,900,869,397,"1,279",730,775,991,"1,901","1,424"
2020,4,10,"30,207","1,547","1,202","3,034","1,456",901,"1,754","2,667",694,"1,698",876,928,915,"1,147","1,252",529,"1,511",859,"1,054","1,695","2,459","2,029"
2020,4,20,"108,515","4,722","1,960","3,900","7,514","5,394","10,638","5,568","4,471","5,832","3,930","6,464","4,359","5,700","5,664","8,252","1,719","3,987","6,198","3,120","4,965","4,158"
2020,4,30,"88,036","4,232","2,652","4,052","6,129","3,515","6,347","5,610","3,047","5,097","3,830","4,726","3,258","4,692","3,969","5,590","2,006","3,337","4,770","2,881","4,476","3,820"
2020,4,40,"70,071","3,497","2,592","5,240","3,722","2,035","3,943","5,393","1,781","3,778","2,395","2,840","2,407","3,279","3,117","2,455","3,057","2,276","3,590","3,622","4,887","4,165"
2020,4,50,"69,087","3,521","2,352","4,801","3,548","1,671","3,710","4,989","1,904","3,559","2,641","2,891","2,495","3,136","3,277","1,726","2,615","2,445","3,143","4,482","5,142","5,039"
2020,4,60,"58,039","3,272","1,953","3,785","3,148","1,351","3,146","4,243","1,639","2,886","2,190","2,497","2,225","2,693","2,524","1,439","2,069","2,164","2,215","4,101","4,523","3,976"
2020,4,70,"36,596","2,103","1,212","2,475","2,060",942,"2,058","2,701","1,155","1,822","1,297","1,511","1,549","1,566","1,642",933,"1,292","1,213","1,305","2,688","2,553","2,519"
2020,4,80,"12,470",687,523,913,628,331,630,879,406,608,377,523,534,547,546,285,434,467,502,"1,027",796,827
2020,4,90,"1,652",93,64,128,85,44,85,111,42,79,60,51,78,81,64,40,65,63,59,170,84,106
2020,4,100,311,9,22,30,17,10,20,17,9,8,3,9,12,19,15,15,13,10,12,28,20,13
2020,5,총,"499,431","24,880","15,866","30,550","29,645","17,084","34,033","34,442","15,637","26,633","18,646","23,220","18,517","23,797","22,956","21,783","16,051","17,576","23,688","24,716","31,736","27,975"
2020,5,0,"23,869","1,306","1,393","2,159","1,255",784,"1,273","2,293",458,"1,255","1,093",739,668,885,863,392,"1,270",737,767,988,"1,887","1,404"
2020,5,10,"30,010","1,532","1,190","3,029","1,453",905,"1,746","2,651",688,"1,691",863,923,912,"1,141","1,239",524,"1,507",857,"1,036","1,682","2,445","1,996"
2020,5,20,"109,054","4,697","1,951","3,944","7,545","5,472","10,761","5,562","4,504","5,841","3,936","6,514","4,398","5,740","5,695","8,321","1,724","4,001","6,253","3,085","4,942","4,168"
2020,5,30,"88,167","4,191","2,649","4,034","6,174","3,512","6,497","5,616","3,059","5,104","3,811","4,688","3,264","4,702","3,961","5,632","1,990","3,348","4,809","2,865","4,446","3,815"
2020,5,40,"69,911","3,490","2,571","5,206","3,717","2,041","3,971","5,376","1,784","3,763","2,384","2,854","2,391","3,282","3,122","2,454","3,056","2,285","3,580","3,585","4,870","4,129"
2020,5,50,"69,028","3,487","2,340","4,829","3,541","1,678","3,750","4,996","1,899","3,559","2,623","2,890","2,491","3,137","3,275","1,726","2,631","2,422","3,150","4,472","5,124","5,008"
2020,5,60,"58,123","3,283","1,953","3,795","3,153","1,359","3,192","4,229","1,621","2,897","2,184","2,506","2,212","2,702","2,520","1,446","2,067","2,167","2,209","4,114","4,540","3,974"
2020,5,70,"36,752","2,102","1,212","2,475","2,068",948,"2,087","2,707","1,164","1,833","1,308","1,515","1,558","1,561","1,653",943,"1,298","1,223","1,311","2,692","2,564","2,530"
2020,5,80,"12,540",687,520,918,633,330,649,887,409,605,380,529,533,550,549,287,429,464,502,"1,035",813,831
2020,5,90,"1,663",96,64,131,89,45,87,108,42,76,61,53,78,78,64,43,66,62,59,170,85,106
2020,5,100,314,9,23,30,17,10,20,17,9,9,3,9,12,19,15,15,13,10,12,28,20,14
2020,6,총,"499,740","24,848","15,876","30,510","29,690","17,153","34,470","34,353","15,617","26,565","18,601","23,214","18,487","23,845","22,999","21,924","16,034","17,596","23,769","24,676","31,643","27,870"
2020,6,0,"23,738","1,297","1,392","2,136","1,263",769,"1,280","2,273",457,"1,252","1,089",736,660,875,861,389,"1,264",726,768,990,"1,867","1,394"
2020,6,10,"29,841","1,526","1,186","3,017","1,446",901,"1,748","2,639",667,"1,680",857,917,913,"1,141","1,224",526,"1,495",855,"1,022","1,669","2,429","1,983"
2020,6,20,"109,702","4,711","1,944","3,947","7,583","5,509","10,926","5,591","4,521","5,867","3,927","6,518","4,409","5,789","5,765","8,421","1,736","4,059","6,337","3,079","4,917","4,146"
2020,6,30,"88,200","4,187","2,644","4,035","6,183","3,537","6,580","5,586","3,047","5,048","3,799","4,703","3,250","4,720","3,972","5,668","1,983","3,351","4,821","2,860","4,435","3,791"
2020,6,40,"69,777","3,476","2,580","5,191","3,707","2,042","4,023","5,340","1,786","3,753","2,372","2,860","2,381","3,273","3,110","2,447","3,044","2,276","3,575","3,571","4,854","4,116"
2020,6,50,"68,763","3,483","2,335","4,809","3,528","1,688","3,807","4,964","1,891","3,528","2,604","2,845","2,475","3,134","3,265","1,734","2,612","2,399","3,150","4,443","5,083","4,986"
2020,6,60,"58,318","3,278","1,968","3,811","3,152","1,364","3,233","4,243","1,631","2,909","2,192","2,518","2,224","2,708","2,522","1,445","2,092","2,168","2,215","4,126","4,546","3,973"
2020,6,70,"36,849","2,104","1,210","2,485","2,076",956,"2,101","2,701","1,159","1,837","1,318","1,523","1,548","1,559","1,654",951,"1,304","1,227","1,312","2,700","2,591","2,533"
2020,6,80,"12,571",684,528,920,643,331,665,889,407,607,379,532,537,551,545,284,428,461,499,"1,040",814,827
2020,6,90,"1,665",93,66,129,92,46,87,110,42,75,61,53,77,76,66,44,63,64,58,170,86,107
2020,6,100,316,9,23,30,17,10,20,17,9,9,3,9,13,19,15,15,13,10,12,28,21,14
2020,7,총,"499,729","24,803","15,860","30,486","29,641","17,132","34,744","34,311","15,630","26,532","18,584","23,166","18,546","23,913","22,978","21,947","16,012","17,595","23,774","24,643","31,594","27,838"
2020,7,0,"23,610","1,299","1,377","2,117","1,250",757,"1,295","2,253",454,"1,252","1,095",724,656,877,850,391,"1,264",706,761,998,"1,860","1,374"
2020,7,10,"29,649","1,513","1,175","3,017","1,431",885,"1,732","2,640",657,"1,672",848,908,895,"1,142","1,209",521,"1,485",856,"1,022","1,653","2,407","1,981"
2020,7,20,"109,885","4,694","1,935","3,978","7,578","5,526","11,056","5,585","4,545","5,862","3,913","6,528","4,460","5,766","5,746","8,414","1,745","4,089","6,302","3,080","4,929","4,154"
2020,7,30,"88,113","4,183","2,658","4,023","6,162","3,540","6,648","5,548","3,016","5,032","3,805","4,666","3,272","4,767","3,989","5,671","1,959","3,327","4,842","2,846","4,390","3,769"
2020,7,40,"69,715","3,485","2,575","5,178","3,704","2,020","4,057","5,324","1,796","3,754","2,353","2,856","2,376","3,270","3,097","2,462","3,047","2,281","3,574","3,566","4,846","4,094"
2020,7,50,"68,746","3,464","2,327","4,797","3,523","1,694","3,826","4,969","1,888","3,516","2,592","2,843","2,481","3,158","3,266","1,750","2,621","2,393","3,165","4,432","5,070","4,971"
2020,7,60,"58,392","3,254","1,978","3,816","3,147","1,360","3,234","4,246","1,646","2,909","2,213","2,526","2,219","2,711","2,532","1,436","2,078","2,167","2,220","4,137","4,551","4,012"
2020,7,70,"36,976","2,122","1,216","2,488","2,090",962,"2,118","2,718","1,165","1,836","1,319","1,514","1,556","1,566","1,658",956,"1,301","1,237","1,321","2,692","2,605","2,536"
2020,7,80,"12,645",687,529,914,644,332,664,901,410,613,381,540,541,560,551,285,433,464,497,"1,043",827,829
2020,7,90,"1,681",93,67,128,95,46,94,110,44,77,62,52,77,76,65,46,66,65,58,168,89,103
2020,7,100,317,9,23,30,17,10,20,17,9,9,3,9,13,20,15,15,13,10,12,28,20,15
2020,8,총,"499,316","24,754","15,804","30,435","29,589","17,185","34,975","34,249","15,626","26,438","18,513","23,131","18,518","23,952","22,990","21,962","15,964","17,645","23,824","24,554","31,456","27,752"
2020,8,0,"23,353","1,279","1,351","2,099","1,238",745,"1,298","2,227",450,"1,239","1,064",709,647,870,835,389,"1,257",710,762,981,"1,838","1,365"
2020,8,10,"29,466","1,506","1,176","2,994","1,431",881,"1,734","2,624",643,"1,670",828,897,892,"1,151","1,201",507,"1,471",859,"1,014","1,635","2,392","1,960"
2020,8,20,"110,060","4,706","1,917","3,985","7,557","5,538","11,186","5,605","4,543","5,840","3,927","6,540","4,456","5,761","5,812","8,453","1,748","4,100","6,295","3,075","4,884","4,132"
2020,8,30,"87,904","4,144","2,643","4,016","6,122","3,572","6,701","5,495","3,032","5,004","3,766","4,660","3,269","4,772","3,977","5,659","1,940","3,332","4,866","2,820","4,363","3,751"
2020,8,40,"69,507","3,473","2,561","5,150","3,717","2,038","4,053","5,311","1,789","3,705","2,349","2,834","2,380","3,280","3,076","2,449","3,030","2,283","3,602","3,542","4,815","4,070"
2020,8,50,"68,639","3,453","2,330","4,785","3,503","1,699","3,847","4,973","1,877","3,536","2,573","2,845","2,463","3,147","3,264","1,754","2,620","2,389","3,163","4,421","5,047","4,950"
2020,8,60,"58,565","3,268","1,978","3,832","3,159","1,354","3,234","4,252","1,665","2,899","2,241","2,514","2,214","2,743","2,537","1,444","2,085","2,176","2,228","4,134","4,569","4,039"
2020,8,70,"37,065","2,129","1,218","2,498","2,107",967,"2,133","2,725","1,161","1,835","1,312","1,528","1,566","1,570","1,654",954,"1,296","1,254","1,324","2,698","2,607","2,529"
2020,8,80,"12,745",692,539,916,642,335,676,907,415,623,389,544,541,562,556,290,436,468,498,"1,050",828,838
2020,8,90,"1,697",95,68,130,96,46,93,113,42,79,61,51,77,76,63,48,68,64,60,171,93,103
2020,8,100,315,9,23,30,17,10,20,17,9,8,3,9,13,20,15,15,13,10,12,27,20,15
2020,9,총,"498,574","24,665","15,782","30,444","29,474","17,229","35,047","34,208","15,581","26,403","18,455","23,091","18,470","23,935","22,939","21,979","15,960","17,613","23,784","24,445","31,438","27,632"
2020,9,0,"23,180","1,259","1,359","2,097","1,219",750,"1,293","2,206",452,"1,221","1,049",705,637,862,832,388,"1,271",692,747,978,"1,822","1,341"
2020,9,10,"29,284","1,509","1,162","2,964","1,430",877,"1,724","2,639",627,"1,637",820,889,890,"1,147","1,183",504,"1,450",860,"1,011","1,614","2,391","1,956"
2020,9,20,"109,815","4,671","1,901","3,994","7,490","5,569","11,208","5,569","4,535","5,852","3,929","6,530","4,440","5,740","5,803","8,465","1,756","4,074","6,265","3,051","4,869","4,104"
2020,9,30,"87,705","4,121","2,652","4,008","6,104","3,573","6,718","5,459","3,027","5,013","3,731","4,636","3,275","4,756","3,968","5,642","1,929","3,331","4,851","2,808","4,363","3,740"
2020,9,40,"69,332","3,475","2,545","5,121","3,697","2,041","4,066","5,314","1,774","3,680","2,335","2,829","2,354","3,304","3,064","2,465","3,034","2,284","3,594","3,522","4,798","4,036"
2020,9,50,"68,515","3,440","2,333","4,811","3,507","1,696","3,858","4,955","1,857","3,533","2,567","2,836","2,453","3,155","3,246","1,756","2,604","2,383","3,180","4,387","5,036","4,922"
2020,9,60,"58,814","3,267","1,981","3,848","3,149","1,357","3,252","4,298","1,676","2,913","2,251","2,530","2,216","2,741","2,563","1,447","2,107","2,190","2,238","4,136","4,601","4,053"
2020,9,70,"37,055","2,119","1,221","2,511","2,116",969,"2,135","2,711","1,158","1,839","1,317","1,525","1,570","1,576","1,642",956,"1,294","1,255","1,328","2,697","2,604","2,512"
2020,9,80,"12,843",697,536,926,648,340,680,925,422,627,393,548,545,558,559,293,436,472,498,"1,051",840,849
2020,9,90,"1,716",98,69,134,97,47,93,115,44,80,60,54,77,76,64,48,66,63,60,173,94,104
2020,9,100,315,9,23,30,17,10,20,17,9,8,3,9,13,20,15,15,13,9,12,28,20,15
2020,10,총,"497,082","24,579","15,663","30,450","29,355","17,133","35,068","34,182","15,484","26,258","18,465","22,961","18,433","23,837","22,905","21,914","15,901","17,583","23,714","24,236","31,342","27,619"
2020,10,0,"22,857","1,236","1,326","2,095","1,198",732,"1,291","2,180",441,"1,195","1,040",698,630,825,813,381,"1,258",690,743,943,"1,810","1,332"
2020,10,10,"28,987","1,486","1,151","2,964","1,401",859,"1,696","2,653",617,"1,609",816,869,874,"1,130","1,176",491,"1,443",865,987,"1,599","2,352","1,949"
2020,10,20,"109,402","4,672","1,878","3,995","7,484","5,536","11,198","5,527","4,480","5,797","3,953","6,477","4,438","5,722","5,802","8,415","1,754","4,066","6,220","3,015","4,860","4,113"
2020,10,30,"87,418","4,097","2,648","3,990","6,057","3,575","6,724","5,449","3,027","4,984","3,739","4,630","3,277","4,752","3,944","5,635","1,923","3,313","4,828","2,767","4,328","3,731"
2020,10,40,"69,025","3,441","2,516","5,122","3,691","2,024","4,066","5,312","1,760","3,669","2,332","2,804","2,337","3,287","3,060","2,478","3,006","2,266","3,598","3,478","4,761","4,017"
2020,10,50,"68,372","3,426","2,321","4,817","3,488","1,680","3,881","4,940","1,857","3,513","2,566","2,805","2,442","3,128","3,265","1,759","2,593","2,405","3,185","4,338","5,031","4,932"
2020,10,60,"58,995","3,287","1,981","3,863","3,163","1,354","3,276","4,316","1,677","2,911","2,252","2,540","2,230","2,758","2,569","1,446","2,115","2,184","2,254","4,140","4,628","4,051"
2020,10,70,"37,054","2,125","1,214","2,505","2,108",969,"2,137","2,739","1,150","1,850","1,309","1,520","1,561","1,579","1,637",953,"1,291","1,253","1,321","2,702","2,612","2,519"
2020,10,80,"12,930",702,535,930,652,347,684,932,423,639,393,556,554,559,558,295,442,470,506,"1,051",843,859
2020,10,90,"1,728",98,70,139,96,47,95,117,43,83,62,53,77,77,66,46,63,63,60,175,96,102
2020,10,100,314,9,23,30,17,10,20,17,9,8,3,9,13,20,15,15,13,8,12,28,21,14
2020,11,총,"496,059","24,515","15,627","30,364","29,337","17,066","35,041","34,100","15,412","26,226","18,456","22,913","18,398","23,855","22,822","21,873","15,886","17,580","23,720","24,040","31,273","27,555"
2020,11,0,"22,611","1,217","1,314","2,067","1,193",706,"1,281","2,167",433,"1,183","1,045",692,630,827,800,369,"1,253",675,740,927,"1,770","1,322"
2020,11,10,"28,766","1,472","1,151","2,954","1,394",846,"1,680","2,660",602,"1,596",803,859,864,"1,115","1,154",475,"1,443",862,989,"1,580","2,343","1,924"
2020,11,20,"109,232","4,660","1,865","3,991","7,496","5,535","11,158","5,511","4,459","5,805","3,959","6,504","4,416","5,712","5,814","8,396","1,744","4,075","6,198","2,971","4,845","4,118"
2020,11,30,"87,131","4,072","2,632","3,975","6,025","3,539","6,743","5,431","3,021","4,968","3,738","4,601","3,286","4,742","3,922","5,628","1,911","3,309","4,826","2,719","4,315","3,728"
2020,11,40,"68,757","3,438","2,496","5,074","3,701","2,027","4,045","5,298","1,750","3,656","2,330","2,767","2,306","3,305","3,030","2,492","3,000","2,260","3,593","3,452","4,748","3,989"
2020,11,50,"68,259","3,391","2,327","4,808","3,488","1,679","3,900","4,918","1,842","3,503","2,559","2,816","2,447","3,135","3,255","1,757","2,596","2,405","3,195","4,298","5,019","4,921"
2020,11,60,"59,105","3,307","1,988","3,883","3,151","1,356","3,284","4,300","1,687","2,923","2,249","2,529","2,233","2,777","2,574","1,445","2,117","2,198","2,270","4,136","4,651","4,047"
2020,11,70,"37,113","2,138","1,221","2,505","2,114",967,"2,146","2,744","1,141","1,850","1,309","1,524","1,570","1,583","1,626",952,"1,302","1,249","1,328","2,701","2,619","2,524"
2020,11,80,"13,039",709,534,940,659,354,690,935,424,651,402,560,558,565,565,299,446,479,509,"1,051",843,866
2020,11,90,"1,727",102,75,137,99,47,94,119,44,83,59,52,73,74,67,44,61,60,60,176,99,102
2020,11,100,319,9,24,30,17,10,20,17,9,8,3,9,15,20,15,16,13,8,12,29,21,14
2020,12,총,"495,060","24,563","15,591","30,296","29,302","17,013","35,128","34,023","15,372","26,154","18,395","22,848","18,313","23,839","22,797","21,849","15,799","17,558","23,669","23,785","31,206","27,560"
2020,12,0,"22,372","1,207","1,297","2,042","1,197",690,"1,281","2,143",430,"1,163","1,029",681,616,828,797,362,"1,233",666,729,908,"1,766","1,307"
2020,12,10,"28,600","1,468","1,145","2,949","1,382",842,"1,676","2,652",587,"1,584",801,855,852,"1,096","1,154",480,"1,432",862,983,"1,554","2,326","1,920"
2020,12,20,"109,135","4,687","1,858","3,998","7,457","5,548","11,170","5,501","4,446","5,820","3,952","6,501","4,393","5,713","5,798","8,406","1,734","4,091","6,186","2,907","4,825","4,144"
2020,12,30,"86,781","4,068","2,616","3,931","6,042","3,522","6,736","5,397","3,013","4,957","3,719","4,567","3,267","4,734","3,914","5,606","1,908","3,279","4,791","2,688","4,291","3,735"
2020,12,40,"68,484","3,437","2,492","5,060","3,692","2,030","4,064","5,278","1,751","3,612","2,308","2,768","2,280","3,296","3,010","2,485","2,971","2,259","3,576","3,420","4,742","3,953"
2020,12,50,"68,052","3,391","2,330","4,805","3,472","1,662","3,904","4,892","1,825","3,493","2,561","2,806","2,446","3,132","3,242","1,755","2,576","2,398","3,190","4,240","5,002","4,930"
2020,12,60,"59,243","3,323","1,993","3,883","3,170","1,343","3,316","4,322","1,695","2,928","2,248","2,519","2,233","2,787","2,588","1,453","2,117","2,195","2,289","4,131","4,658","4,052"
2020,12,70,"37,176","2,150","1,226","2,515","2,108",960,"2,168","2,751","1,139","1,849","1,309","1,528","1,569","1,581","1,642",941,"1,303","1,257","1,339","2,683","2,627","2,531"
2020,12,80,"13,141",722,533,943,667,358,697,951,431,658,405,562,563,575,569,301,453,480,511,"1,046",844,872
2020,12,90,"1,753",101,77,140,97,47,96,119,46,82,60,51,79,77,68,44,59,63,63,178,104,102
2020,12,100,323,9,24,30,18,11,20,17,9,8,3,10,15,20,15,16,13,8,12,30,21,14
2021,1,총,"494,175","24,551","15,560","30,252","29,260","16,975","35,164","33,977","15,334","26,112","18,332","22,821","18,327","23,826","22,721","21,831","15,772","17,513","23,599","23,565","31,136","27,547"
2021,1,0,"22,109","1,195","1,278","2,028","1,185",685,"1,269","2,129",419,"1,147","1,012",671,602,817,784,359,"1,218",660,717,883,"1,751","1,300"
2021,1,10,"28,399","1,469","1,139","2,936","1,369",827,"1,664","2,653",577,"1,582",808,849,851,"1,079","1,131",474,"1,430",855,992,"1,517","2,298","1,899"
2021,1,20,"108,625","4,685","1,855","3,980","7,418","5,518","11,139","5,478","4,443","5,786","3,937","6,471","4,385","5,739","5,768","8,336","1,731","4,053","6,100","2,869","4,809","4,125"
2021,1,30,"86,722","4,075","2,593","3,915","6,037","3,540","6,792","5,362","2,993","4,960","3,694","4,567","3,290","4,734","3,919","5,625","1,892","3,271","4,772","2,653","4,293","3,745"
2021,1,40,"68,220","3,406","2,506","5,044","3,695","2,017","4,048","5,283","1,745","3,600","2,308","2,760","2,283","3,273","2,974","2,491","2,949","2,264","3,567","3,357","4,709","3,941"
2021,1,50,"68,024","3,401","2,326","4,804","3,479","1,660","3,928","4,874","1,826","3,494","2,550","2,814","2,432","3,139","3,240","1,772","2,567","2,395","3,196","4,211","5,002","4,914"
2021,1,60,"59,467","3,327","1,995","3,902","3,181","1,349","3,329","4,340","1,700","2,942","2,246","2,526","2,250","2,785","2,601","1,462","2,149","2,205","2,307","4,140","4,651","4,080"
2021,1,70,"37,251","2,156","1,231","2,522","2,105",961,"2,168","2,762","1,140","1,848","1,313","1,542","1,570","1,586","1,635",940,"1,296","1,256","1,351","2,680","2,650","2,539"
2021,1,80,"13,254",726,538,948,677,362,709,959,432,663,401,555,568,574,583,311,468,482,520,"1,048",846,884
2021,1,90,"1,780",102,75,143,96,45,98,120,49,80,60,56,81,80,71,45,59,64,65,178,108,105
2021,1,100,324,9,24,30,18,11,20,17,10,10,3,10,15,20,15,16,13,8,12,29,19,15
2021,2,총,"493,374","24,517","15,475","30,147","29,214","16,906","35,307","33,909","15,336","26,014","18,276","22,780","18,291","23,769","22,728","21,859","15,756","17,498","23,610","23,398","31,108","27,476"
2021,2,0,"21,738","1,168","1,248","2,001","1,167",674,"1,255","2,097",416,"1,127",978,665,588,797,784,356,"1,203",645,700,864,"1,726","1,279"
