년도,월,나이,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020,5,50,"302,137","105,932","57,059","48,873","44,090","49,660","18,767","13,852","14,147","15,398","4,619","4,236","3,731","4,812","4,594","9,253","9,046"
2020,5,60,"247,433","73,990","40,769","33,221","36,294","39,145","16,376","12,592","14,207","13,347","4,703","4,244","4,147","4,866","4,647","9,436","9,439"
2020,5,70,"167,140","42,825","23,175","19,650","22,269","23,903","13,314","9,700","11,235","9,037","3,800","3,398","3,113","4,313","4,204","8,380","7,649"
2020,5,80,"90,416","19,193","10,500","8,693","9,925","12,399","8,145","6,053","7,191","5,222","2,416","2,276","2,099","2,933","2,726","5,191","4,647"
2020,5,90,"13,032","2,662","1,520","1,142","1,466","1,858","1,130",909,"1,130",756,360,331,280,420,360,779,591
2020,5,100,836,162,80,82,117,107,107,39,68,41,27,16,22,23,30,36,41
2020,6,총,"1,808,802","655,472","338,697","316,775","268,356","284,217","109,503","81,051","83,327","91,841","25,509","24,042","22,240","27,783","28,018","54,858","52,585"
2020,6,0,"132,723","55,174","25,166","30,008","21,708","20,021","6,664","5,170","4,522","7,246","1,352","1,258","1,207","1,402","1,579","2,770","2,650"
2020,6,10,"177,739","72,734","36,873","35,861","27,176","28,561","9,873","7,464","6,331","8,355","1,672","1,805","1,663","1,764","2,255","4,249","3,837"
2020,6,20,"211,553","92,261","49,099","43,162","29,653","36,512","10,747","7,593","7,329","8,960","1,982","1,802","1,693","2,195","2,125","4,348","4,353"
2020,6,30,"193,014","82,399","40,134","42,265","31,558","29,343","9,173","6,627","6,861","9,742","1,739","1,757","1,628","2,064","2,092","4,013","4,018"
2020,6,40,"271,605","107,657","54,043","53,614","43,931","42,642","15,164","10,961","10,255","13,617","2,820","2,909","2,638","2,972","3,397","6,370","6,272"
2020,6,50,"301,169","105,676","56,933","48,743","43,957","49,461","18,683","13,813","14,074","15,372","4,596","4,225","3,718","4,789","4,561","9,223","9,021"
2020,6,60,"248,891","74,463","41,035","33,428","36,505","39,325","16,471","12,666","14,296","13,464","4,712","4,263","4,166","4,892","4,693","9,480","9,495"
2020,6,70,"167,779","43,085","23,315","19,770","22,366","24,007","13,341","9,744","11,270","9,057","3,823","3,403","3,135","4,313","4,203","8,381","7,651"
2020,6,80,"90,368","19,192","10,492","8,700","9,908","12,372","8,140","6,051","7,169","5,223","2,424","2,275","2,087","2,945","2,723","5,209","4,650"
2020,6,90,"13,121","2,671","1,526","1,145","1,476","1,868","1,140",921,"1,150",760,362,327,283,425,360,780,598
2020,6,100,840,160,81,79,118,105,107,41,70,45,27,18,22,22,30,35,40
2020,7,총,"1,808,044","655,784","339,317","316,467","268,243","283,853","109,355","81,028","83,177","91,828","25,477","24,014","22,205","27,706","28,016","54,811","52,547"
2020,7,0,"132,170","55,025","25,231","29,794","21,593","19,887","6,624","5,161","4,488","7,213","1,341","1,245","1,189","1,399","1,587","2,769","2,649"
2020,7,10,"177,163","72,511","36,767","35,744","27,094","28,454","9,832","7,442","6,298","8,352","1,670","1,808","1,662","1,741","2,251","4,222","3,826"
2020,7,20,"211,507","92,416","49,240","43,176","29,647","36,377","10,720","7,620","7,328","8,977","1,969","1,782","1,692","2,178","2,116","4,350","4,335"
2020,7,30,"192,445","82,347","40,240","42,107","31,450","29,191","9,131","6,601","6,823","9,675","1,732","1,753","1,601","2,050","2,078","3,996","4,017"
2020,7,40,"271,249","107,689","54,081","53,608","43,843","42,525","15,119","10,935","10,196","13,623","2,833","2,911","2,632","2,952","3,393","6,346","6,252"
2020,7,50,"300,996","105,759","56,995","48,764","43,949","49,454","18,664","13,780","14,025","15,331","4,574","4,214","3,711","4,770","4,551","9,215","8,999"
2020,7,60,"249,442","74,635","41,173","33,462","36,595","39,433","16,511","12,700","14,304","13,520","4,711","4,260","4,172","4,906","4,721","9,497","9,477"
2020,7,70,"168,563","43,373","23,489","19,884","22,511","24,148","13,355","9,774","11,321","9,094","3,835","3,409","3,144","4,298","4,203","8,398","7,700"
2020,7,80,"90,444","19,178","10,479","8,699","9,947","12,394","8,145","6,035","7,157","5,231","2,423","2,288","2,099","2,959","2,726","5,208","4,654"
2020,7,90,"13,219","2,688","1,539","1,149","1,496","1,884","1,147",937,"1,164",768,362,325,281,431,359,777,600
2020,7,100,846,163,83,80,118,106,107,43,73,44,27,19,22,22,31,33,38
2020,8,총,"1,807,094","656,149","339,695","316,454","267,982","283,496","109,167","81,062","83,061","91,741","25,466","24,024","22,159","27,663","27,942","54,727","52,455"
2020,8,0,"131,521","54,837","25,221","29,616","21,450","19,772","6,572","5,159","4,471","7,152","1,324","1,245","1,183","1,402","1,574","2,755","2,625"
2020,8,10,"176,668","72,356","36,637","35,719","27,060","28,291","9,805","7,416","6,276","8,318","1,675","1,813","1,663","1,728","2,243","4,206","3,818"
2020,8,20,"211,321","92,560","49,351","43,209","29,568","36,311","10,685","7,623","7,283","8,958","1,969","1,775","1,679","2,162","2,085","4,344","4,319"
2020,8,30,"191,716","82,226","40,236","41,990","31,258","29,079","9,079","6,566","6,795","9,626","1,712","1,751","1,588","2,016","2,067","3,972","3,981"
2020,8,40,"270,761","107,597","54,020","53,577","43,758","42,427","15,086","10,912","10,174","13,607","2,815","2,899","2,621","2,958","3,378","6,286","6,243"
2020,8,50,"300,573","105,737","57,048","48,689","43,934","49,301","18,597","13,776","13,934","15,328","4,570","4,215","3,709","4,765","4,535","9,200","8,972"
2020,8,60,"250,774","75,174","41,451","33,723","36,776","39,666","16,572","12,772","14,363","13,577","4,739","4,269","4,174","4,920","4,731","9,545","9,496"
2020,8,70,"168,927","43,518","23,578","19,940","22,553","24,239","13,364","9,797","11,344","9,123","3,822","3,421","3,132","4,304","4,206","8,393","7,711"
2020,8,80,"90,648","19,256","10,508","8,748","9,985","12,397","8,151","6,056","7,171","5,240","2,449","2,290","2,108","2,962","2,729","5,206","4,648"
2020,8,90,"13,333","2,725","1,563","1,162","1,521","1,907","1,149",943,"1,176",768,363,324,280,423,363,785,606
2020,8,100,852,163,82,81,119,106,107,42,74,44,28,22,22,23,31,35,36
2020,9,총,"1,806,441","656,688","339,975","316,713","268,025","283,064","108,963","80,905","82,914","91,806","25,444","24,032","22,149","27,566","27,871","54,656","52,358"
2020,9,0,"130,827","54,681","25,156","29,525","21,356","19,610","6,535","5,105","4,430","7,090","1,320","1,227","1,176","1,382","1,561","2,739","2,615"
2020,9,10,"176,197","72,244","36,549","35,695","27,005","28,153","9,753","7,385","6,252","8,339","1,670","1,820","1,670","1,729","2,220","4,187","3,770"
2020,9,20,"211,350","92,650","49,394","43,256","29,585","36,298","10,639","7,621","7,282","8,986","1,965","1,771","1,672","2,130","2,095","4,349","4,307"
2020,9,30,"190,981","82,186","40,172","42,014","31,126","28,866","9,004","6,503","6,762","9,577","1,694","1,739","1,578","1,991","2,044","3,945","3,966"
2020,9,40,"270,243","107,600","54,020","53,580","43,717","42,279","15,024","10,862","10,104","13,596","2,797","2,898","2,612","2,928","3,359","6,248","6,219"
2020,9,50,"300,340","105,799","57,090","48,709","43,940","49,198","18,571","13,766","13,901","15,330","4,558","4,232","3,702","4,746","4,503","9,157","8,937"
2020,9,60,"252,099","75,617","41,714","33,903","37,013","39,874","16,661","12,810","14,402","13,660","4,768","4,293","4,186","4,928","4,760","9,591","9,536"
2020,9,70,"169,305","43,675","23,694","19,981","22,642","24,329","13,370","9,802","11,362","9,152","3,822","3,408","3,131","4,306","4,200","8,386","7,720"
2020,9,80,"90,766","19,326","10,518","8,808","9,984","12,418","8,133","6,064","7,160","5,251","2,455","2,295","2,113","2,974","2,729","5,226","4,638"
2020,9,90,"13,471","2,746","1,585","1,161","1,536","1,933","1,162",945,"1,184",781,368,327,287,429,369,791,613
2020,9,100,862,164,83,81,121,106,111,42,75,44,27,22,22,23,31,37,37
2020,10,총,"1,805,937","657,185","339,877","317,308","267,987","282,847","108,861","80,863","82,786","91,553","25,411","24,034","22,140","27,508","27,857","54,588","52,317"
2020,10,0,"129,908","54,476","24,993","29,483","21,182","19,445","6,465","5,070","4,363","6,991","1,289","1,224","1,162","1,364","1,555","2,724","2,598"
2020,10,10,"175,976","72,137","36,472","35,665","27,003","28,070","9,732","7,393","6,282","8,352","1,684","1,812","1,671","1,709","2,221","4,170","3,740"
2020,10,20,"211,563","92,787","49,431","43,356","29,629","36,356","10,666","7,618","7,246","8,933","1,959","1,783","1,674","2,135","2,090","4,357","4,330"
2020,10,30,"190,044","82,076","40,077","41,999","30,896","28,685","8,934","6,479","6,738","9,428","1,659","1,721","1,570","1,984","2,031","3,896","3,947"
2020,10,40,"269,678","107,499","53,818","53,681","43,632","42,190","14,969","10,795","10,074","13,563","2,783","2,890","2,603","2,900","3,350","6,229","6,201"
2020,10,50,"300,218","105,953","57,117","48,836","44,021","49,104","18,541","13,781","13,816","15,282","4,548","4,230","3,696","4,729","4,489","9,132","8,896"
2020,10,60,"253,402","76,068","41,949","34,119","37,214","40,066","16,735","12,856","14,472","13,729","4,793","4,334","4,204","4,951","4,789","9,606","9,585"
2020,10,70,"169,708","43,830","23,790","20,040","22,720","24,431","13,386","9,812","11,352","9,196","3,828","3,397","3,140","4,308","4,195","8,398","7,715"
2020,10,80,"91,003","19,426","10,560","8,866","10,015","12,447","8,155","6,066","7,166","5,248","2,469","2,297","2,111","2,978","2,736","5,243","4,646"
2020,10,90,"13,582","2,770","1,587","1,183","1,553","1,946","1,166",951,"1,203",787,372,325,287,428,373,797,624
2020,10,100,855,163,83,80,122,107,112,42,74,44,27,21,22,22,28,36,35
2020,11,총,"1,805,204","657,745","339,973","317,772","267,911","282,582","108,681","80,784","82,623","91,445","25,351","24,031","22,099","27,424","27,805","54,486","52,237"
2020,11,0,"129,144","54,320","24,902","29,418","21,046","19,300","6,410","5,030","4,330","6,909","1,281","1,215","1,156","1,355","1,520","2,700","2,572"
2020,11,10,"175,514","72,022","36,392","35,630","26,908","28,009","9,695","7,363","6,239","8,339","1,676","1,810","1,658","1,697","2,221","4,151","3,726"
2020,11,20,"211,644","92,977","49,495","43,482","29,665","36,322","10,666","7,615","7,235","8,901","1,943","1,787","1,669","2,119","2,085","4,330","4,330"
2020,11,30,"189,435","82,061","40,089","41,972","30,769","28,557","8,885","6,446","6,680","9,381","1,642","1,714","1,555","1,967","2,000","3,868","3,910"
2020,11,40,"269,113","107,441","53,699","53,742","43,550","42,066","14,897","10,776","10,031","13,528","2,761","2,877","2,591","2,870","3,346","6,195","6,184"
2020,11,50,"299,970","105,972","57,074","48,898","44,029","49,056","18,455","13,752","13,770","15,272","4,521","4,239","3,704","4,720","4,497","9,111","8,872"
2020,11,60,"254,628","76,541","42,227","34,314","37,404","40,237","16,839","12,888","14,522","13,810","4,820","4,352","4,202","4,951","4,794","9,652","9,616"
2020,11,70,"170,103","43,981","23,830","20,151","22,837","24,499","13,394","9,822","11,379","9,232","3,833","3,386","3,132","4,314","4,191","8,385","7,718"
2020,11,80,"91,166","19,498","10,607","8,891","10,011","12,466","8,157","6,102","7,156","5,245","2,476","2,301","2,120","2,980","2,749","5,252","4,653"
2020,11,90,"13,635","2,769","1,576","1,193","1,569","1,962","1,173",950,"1,207",783,371,330,290,428,374,806,623
2020,11,100,852,163,82,81,123,108,110,40,74,45,27,20,22,23,28,36,33
2020,12,총,"1,804,104","657,432","339,718","317,714","267,859","282,276","108,508","80,662","82,450","91,609","25,394","24,036","22,085","27,314","27,810","54,529","52,140"
2020,12,0,"128,692","54,217","24,846","29,371","20,951","19,166","6,370","5,011","4,307","6,911","1,276","1,212","1,156","1,343","1,521","2,690","2,561"
2020,12,10,"174,963","71,736","36,192","35,544","26,830","27,908","9,664","7,331","6,166","8,311","1,680","1,820","1,658","1,680","2,219","4,237","3,723"
2020,12,20,"211,464","92,971","49,504","43,467","29,721","36,202","10,604","7,569","7,231","8,956","1,969","1,782","1,669","2,101","2,076","4,308","4,305"
2020,12,30,"189,012","81,910","39,993","41,917","30,705","28,467","8,867","6,417","6,645","9,408","1,635","1,700","1,553","1,941","2,001","3,860","3,903"
2020,12,40,"268,277","107,117","53,471","53,646","43,433","41,935","14,824","10,747","9,991","13,548","2,748","2,875","2,582","2,844","3,324","6,164","6,145"
2020,12,50,"299,522","105,997","57,050","48,947","43,964","48,996","18,394","13,704","13,704","15,254","4,516","4,205","3,682","4,688","4,505","9,068","8,845"
2020,12,60,"255,829","76,853","42,407","34,446","37,597","40,484","16,923","12,945","14,562","13,858","4,855","4,392","4,216","4,994","4,832","9,689","9,629"
2020,12,70,"170,340","44,098","23,936","20,162","22,900","24,521","13,403","9,827","11,402","9,267","3,829","3,380","3,136","4,298","4,184","8,387","7,708"
2020,12,80,"91,504","19,593","10,652","8,941","10,068","12,506","8,184","6,121","7,166","5,259","2,491","2,317","2,121","2,984","2,747","5,280","4,667"
2020,12,90,"13,645","2,779","1,585","1,194","1,566","1,985","1,162",949,"1,200",794,367,331,291,419,373,810,619
2020,12,100,856,161,82,79,124,106,113,41,76,43,28,22,21,22,28,36,35
2021,1,총,"1,802,748","657,661","339,406","318,255","267,798","281,539","108,470","80,570","82,326","91,450","25,344","24,046","22,081","27,248","27,665","54,512","52,038"
2021,1,0,"127,540","53,808","24,573","29,235","20,765","18,961","6,294","4,960","4,267","6,824","1,261","1,199","1,147","1,339","1,496","2,683","2,536"
2021,1,10,"174,489","71,627","36,056","35,571","26,749","27,723","9,642","7,283","6,156","8,276","1,663","1,828","1,654","1,676","2,202","4,278","3,732"
2021,1,20,"211,009","92,972","49,474","43,498","29,742","35,938","10,630","7,589","7,199","8,921","1,939","1,771","1,649","2,069","2,059","4,268","4,263"
2021,1,30,"188,304","81,874","39,883","41,991","30,479","28,316","8,851","6,392","6,593","9,288","1,635","1,702","1,555","1,934","1,970","3,839","3,876"
2021,1,40,"267,631","106,862","53,230","53,632","43,418","41,770","14,755","10,700","9,983","13,563","2,723","2,871","2,568","2,823","3,289","6,190","6,116"
2021,1,50,"299,370","106,210","57,136","49,074","44,015","48,887","18,364","13,695","13,651","15,196","4,516","4,180","3,680","4,674","4,483","9,004","8,815"
2021,1,60,"257,255","77,369","42,655","34,714","37,821","40,689","17,025","13,007","14,619","13,963","4,887","4,421","4,238","5,000","4,843","9,713","9,660"
2021,1,70,"170,693","44,310","24,049","20,261","22,980","24,593","13,416","9,789","11,410","9,299","3,825","3,392","3,131","4,284","4,172","8,377","7,715"
2021,1,80,"91,787","19,671","10,682","8,989","10,121","12,523","8,208","6,160","7,164","5,269","2,497","2,325","2,141","2,995","2,744","5,298","4,671"
2021,1,90,"13,804","2,800","1,589","1,211","1,582","2,030","1,169",953,"1,209",807,370,335,296,432,380,825,616
2021,1,100,866,158,79,79,126,109,116,42,75,44,28,22,22,22,27,37,38
2021,2,총,"1,801,319","657,998","339,227","318,771","267,612","280,847","108,344","80,375","82,193","91,422","25,302","23,990","22,035","27,179","27,624","54,435","51,963"
2021,2,0,"126,814","53,634","24,439","29,195","20,672","18,791","6,244","4,916","4,235","6,760","1,248","1,177","1,130","1,341","1,479","2,656","2,531"
2021,2,10,"173,854","71,519","35,962","35,557","26,645","27,541","9,601","7,225","6,129","8,251","1,658","1,826","1,650","1,654","2,212","4,238","3,705"
2021,2,20,"210,027","92,825","49,301","43,524","29,647","35,665","10,536","7,536","7,137","8,895","1,913","1,744","1,633","2,031","2,043","4,204","4,218"
2021,2,30,"187,430","81,735","39,736","41,999","30,267","28,156","8,791","6,336","6,522","9,246","1,615","1,698","1,535","1,917","1,946","3,810","3,856"
2021,2,40,"267,394","106,958","53,225","53,733","43,375","41,636","14,737","10,655","9,977","13,544","2,716","2,855","2,552","2,811","3,277","6,188","6,113"
2021,2,50,"299,270","106,419","57,222","49,197","44,039","48,781","18,364","13,653","13,611","15,162","4,488","4,159","3,675","4,648","4,480","8,993","8,798"
2021,2,60,"258,628","77,735","42,816","34,919","38,025","40,896","17,144","13,071","14,673","14,069","4,934","4,458","4,253","5,027","4,864","9,795","9,684"
2021,2,70,"170,754","44,403","24,116","20,287","23,021","24,635","13,371","9,798","11,418","9,309","3,811","3,362","3,124","4,277","4,164","8,354","7,707"
2021,2,80,"92,346","19,780","10,727","9,053","10,195","12,584","8,257","6,192","7,200","5,316","2,525","2,352","2,159","3,017","2,753","5,328","4,688"
2021,2,90,"13,930","2,831","1,603","1,228","1,600","2,054","1,182",952,"1,217",824,367,336,301,433,378,830,625
2021,2,100,872,159,80,79,126,108,117,41,74,46,27,23,23,23,28,39,38
2021,3,총,"1,797,450","657,064","338,363","318,701","266,959","280,585","107,710","80,227","82,079","91,127","25,252","23,940","21,946","27,044","27,474","54,243","51,800"
2021,3,0,"126,003","53,371","24,291","29,080","20,503","18,627","6,227","4,877","4,217","6,710","1,241","1,170","1,122","1,333","1,450","2,626","2,529"
2021,3,10,"173,148","71,208","35,725","35,483","26,568","27,560","9,561","7,174","6,108","8,202","1,648","1,825","1,641","1,639","2,191","4,156","3,667"
2021,3,20,"209,743","92,850","49,240","43,610","29,521","35,778","10,457","7,514","7,095","8,842","1,913","1,733","1,625","2,018","2,021","4,195","4,181"
2021,3,30,"186,504","81,538","39,603","41,935","30,076","27,969","8,704","6,303","6,515","9,169","1,595","1,679","1,509","1,881","1,918","3,795","3,853"
2021,3,40,"266,068","106,584","52,918","53,666","43,217","41,431","14,615","10,581","9,926","13,475","2,678","2,824","2,532","2,770","3,248","6,114","6,073"
2021,3,50,"298,408","106,291","57,070","49,221","43,999","48,632","18,219","13,620","13,545","15,073","4,462","4,145","3,649","4,611","4,465","8,967","8,730"
2021,3,60,"260,057","78,134","42,988","35,146","38,126","41,156","17,207","13,170","14,789","14,169","4,988","4,497","4,284","5,056","4,893","9,847","9,741"
2021,3,70,"170,491","44,315","24,108","20,207","23,059","24,687","13,256","9,778","11,423","9,293","3,807","3,354","3,108","4,257","4,132","8,338","7,684"
2021,3,80,"92,542","19,868","10,753","9,115","10,243","12,585","8,235","6,210","7,193","5,342","2,531","2,367","2,166","3,027","2,761","5,326","4,688"
2021,3,90,"13,931","2,818","1,614","1,204","1,586","2,066","1,165",967,"1,230",819,372,324,299,434,374,846,631
2021,3,100,555,87,53,34,61,94,64,33,38,33,17,22,11,18,21,33,23
2021,4,총,"1,796,331","656,755","338,010","318,745","266,878","280,399","107,555","80,196","82,031","91,127","25,244","23,912","21,910","27,038","27,378","54,222","51,686"
2021,4,0,"125,253","53,121","24,193","28,928","20,406","18,509","6,174","4,839","4,172","6,675","1,229","1,152","1,105","1,330","1,413","2,614","2,514"
2021,4,10,"172,628","70,926","35,530","35,396","26,501","27,547","9,499","7,154","6,102","8,175","1,647","1,812","1,640","1,644","2,177","4,161","3,643"
2021,4,20,"209,487","92,833","49,187","43,646","29,479","35,693","10,422","7,496","7,080","8,844","1,910","1,736","1,617","2,017","2,018","4,162","4,180"
2021,4,30,"185,964","81,467","39,589","41,878","29,962","27,877","8,667","6,269","6,486","9,130","1,581","1,676","1,507","1,862","1,889","3,774","3,817"
2021,4,40,"265,638","106,459","52,752","53,707","43,210","41,385","14,571","10,543","9,904","13,417","2,665","2,813","2,517","2,761","3,230","6,120","6,043"
2021,4,50,"298,144","106,224","57,048","49,176","44,060","48,530","18,192","13,620","13,507","15,120","4,455","4,143","3,629","4,605","4,442","8,912","8,705"
