년도,월,나이,경주시,감포읍,안강읍,건천읍,외동읍,양북면,양남면,내남면,산내면,서면,현곡면,강동면,천북면,중부동,황오동,성건동,황남동,선도동,월성동,용강동,황성동,동천동,불국동,보덕동,문무대왕면
2020,2,100,70,2,9,7,3,2,1,2,2,1,1,2,2,5,8,1,5,2,1,5,3,0,5,1,
2020,3,총,"126,935","2,790","12,847","4,727","8,917","2,101","2,957","2,414","1,654","1,639","11,071","3,162","2,715","2,755","3,506","7,207","2,551","7,518","3,008","11,008","14,908","11,639","4,925",916,
2020,3,0,"8,163",73,625,185,525,120,136,51,26,31,"1,175",109,118,113,112,225,51,616,179,"1,308","1,336",690,322,37,
2020,3,10,"10,295",103,"1,084",222,517,79,159,110,42,48,"1,241",175,173,147,169,449,114,825,158,"1,215","1,805","1,122",282,56,
2020,3,20,"11,924",156,"1,083",292,753,181,216,123,59,83,"1,099",223,241,263,315,897,158,845,198,"1,125","1,724","1,387",416,87,
2020,3,30,"12,280",144,909,290,862,201,211,97,67,77,"1,590",176,244,249,244,569,146,795,275,"1,572","1,766","1,172",565,59,
2020,3,40,"17,912",236,"1,680",459,"1,014",144,307,193,87,129,"1,950",319,297,295,352,879,226,"1,364",355,"1,963","2,982","1,988",589,104,
2020,3,50,"22,697",487,"2,458",817,"1,758",270,589,405,305,264,"1,762",582,485,466,604,"1,273",402,"1,328",488,"1,918","2,704","2,320",860,152,
2020,3,60,"20,111",625,"2,180","1,022","1,612",394,615,544,433,384,"1,137",636,487,577,804,"1,487",551,873,595,"1,018","1,424","1,655",868,190,
2020,3,70,"13,460",565,"1,605",824,988,351,405,449,342,359,623,483,385,407,581,971,502,508,428,518,646,819,565,136,
2020,3,80,"8,717",341,"1,083",528,767,305,258,395,246,233,424,401,248,206,274,396,350,317,288,316,445,434,385,77,
2020,3,90,"1,307",58,131,81,118,54,60,45,45,30,69,56,35,27,43,60,46,46,43,51,73,52,67,17,
2020,3,100,69,2,9,7,3,2,1,2,2,1,1,2,2,5,8,1,5,1,1,4,3,0,6,1,
2020,4,총,"126,851","2,786","12,801","4,736","8,957","2,091","2,946","2,397","1,660","1,636","11,118","3,164","2,734","2,736","3,507","7,181","2,539","7,509","3,001","10,977","14,900","11,625","4,932",918,
2020,4,0,"8,160",72,618,187,523,121,143,49,24,32,"1,182",109,123,110,114,220,51,610,177,"1,313","1,343",680,324,35,
2020,4,10,"10,245",103,"1,076",222,518,76,156,111,47,48,"1,242",174,173,145,163,445,113,821,159,"1,207","1,786","1,124",281,55,
2020,4,20,"11,865",155,"1,068",287,750,179,209,115,59,83,"1,096",225,243,256,309,891,156,843,192,"1,114","1,735","1,387",419,94,
2020,4,30,"12,235",145,899,291,875,195,207,95,66,77,"1,590",174,250,247,247,565,142,785,278,"1,570","1,766","1,153",562,56,
2020,4,40,"17,861",236,"1,668",454,"1,005",146,304,186,88,129,"1,959",318,299,296,349,864,226,"1,363",353,"1,963","2,963","1,993",597,102,
2020,4,50,"22,695",482,"2,460",821,"1,771",266,579,404,304,258,"1,765",581,486,456,610,"1,270",397,"1,343",485,"1,912","2,716","2,320",856,153,
2020,4,60,"20,161",626,"2,176","1,024","1,630",397,619,543,439,387,"1,155",639,489,581,805,"1,489",547,865,592,"1,008","1,429","1,659",871,191,
2020,4,70,"13,486",567,"1,615",826,990,348,409,445,344,359,627,482,386,401,579,976,500,512,430,519,645,827,563,136,
2020,4,80,"8,750",341,"1,077",535,774,307,256,400,241,233,429,403,249,213,277,399,355,320,290,315,443,430,385,78,
2020,4,90,"1,324",57,135,82,118,54,62,47,46,29,72,57,34,26,46,61,47,46,44,52,72,52,68,17,
2020,4,100,69,2,9,7,3,2,2,2,2,1,1,2,2,5,8,1,5,1,1,4,2,0,6,1,
2020,5,총,"126,795","2,790","12,788","4,723","9,021","2,090","2,945","2,393","1,660","1,635","11,143","3,163","2,746","2,725","3,516","7,169","2,529","7,503","3,007","10,954","14,862","11,600","4,912",921,
2020,5,0,"8,163",73,613,181,535,124,143,50,24,31,"1,191",110,128,108,114,218,50,606,179,"1,316","1,335",677,321,36,
2020,5,10,"10,156",102,"1,057",224,523,72,157,109,47,48,"1,234",173,172,144,164,434,110,815,153,"1,198","1,761","1,124",280,55,
2020,5,20,"11,829",155,"1,058",288,752,181,208,112,54,81,"1,097",217,246,256,306,896,155,856,200,"1,103","1,735","1,369",412,92,
2020,5,30,"12,221",147,902,284,895,194,210,96,69,77,"1,602",171,253,246,256,562,138,775,277,"1,550","1,747","1,152",559,59,
2020,5,40,"17,816",236,"1,668",452,"1,012",142,299,182,87,127,"1,956",323,300,289,346,847,226,"1,360",352,"1,979","2,967","1,973",590,103,
2020,5,50,"22,713",472,"2,460",822,"1,775",268,578,402,305,260,"1,775",582,486,458,609,"1,276",397,"1,347",490,"1,911","2,721","2,315",853,151,
2020,5,60,"20,195",638,"2,187","1,025","1,635",397,622,539,441,384,"1,158",638,490,574,803,"1,499",543,858,593,"1,010","1,431","1,672",868,190,
2020,5,70,"13,539",567,"1,621",819,997,347,404,448,343,365,631,484,385,405,585,977,503,521,426,519,652,834,568,138,
2020,5,80,"8,755",341,"1,077",539,778,305,261,405,242,233,429,405,251,215,276,395,354,314,290,310,439,431,386,79,
2020,5,90,"1,339",57,136,82,116,58,61,48,46,28,69,58,33,25,49,64,48,50,46,54,72,53,69,17,
2020,5,100,69,2,9,7,3,2,2,2,2,1,1,2,2,5,8,1,5,1,1,4,2,0,6,1,
2020,6,총,"126,657","2,785","12,740","4,732","9,065","2,087","2,951","2,390","1,655","1,632","11,133","3,154","2,742","2,721","3,484","7,170","2,505","7,493","3,013","10,951","14,849","11,568","4,926",911,
2020,6,0,"8,101",69,607,178,530,122,143,50,24,30,"1,191",109,130,106,110,214,48,605,179,"1,311","1,326",663,323,33,
2020,6,10,"10,154",107,"1,062",226,519,72,158,108,47,48,"1,232",170,173,145,159,428,111,816,152,"1,202","1,757","1,130",277,55,
2020,6,20,"11,760",151,"1,033",284,768,178,204,111,52,77,"1,091",219,241,255,302,904,152,851,199,"1,101","1,731","1,354",409,93,
2020,6,30,"12,170",146,897,286,885,197,210,96,66,76,"1,599",168,259,250,252,558,133,766,279,"1,529","1,747","1,148",565,58,
2020,6,40,"17,749",234,"1,655",450,"1,026",142,300,178,87,126,"1,952",320,298,286,346,835,225,"1,344",351,"1,985","2,954","1,962",594,99,
2020,6,50,"22,708",467,"2,456",823,"1,785",268,577,403,303,262,"1,784",575,484,451,592,"1,288",392,"1,365",487,"1,916","2,733","2,297",850,150,
2020,6,60,"20,281",646,"2,195","1,033","1,652",396,630,539,440,384,"1,158",639,489,576,804,"1,497",542,859,603,"1,016","1,429","1,693",871,190,
2020,6,70,"13,563",565,"1,613",823,"1,003",347,405,450,347,368,628,485,384,405,586,984,496,522,425,518,661,838,573,137,
2020,6,80,"8,765",341,"1,075",539,778,306,260,406,241,232,431,409,251,215,277,396,355,314,292,313,437,430,388,79,
2020,6,90,"1,335",57,137,83,116,57,62,47,46,28,66,58,30,27,48,65,46,50,45,56,72,53,70,16,
2020,6,100,71,2,10,7,3,2,2,2,2,1,1,2,3,5,8,1,5,1,1,4,2,0,6,1,
2020,7,총,"126,655","2,782","12,698","4,736","9,151","2,088","2,941","2,381","1,660","1,631","11,139","3,149","2,754","2,710","3,484","7,157","2,494","7,488","3,006","10,971","14,841","11,555","4,932",907,
2020,7,0,"8,070",69,601,182,540,121,145,49,23,32,"1,189",108,138,104,110,207,48,602,176,"1,308","1,311",650,326,31,
2020,7,10,"10,114",104,"1,052",223,523,69,157,106,46,46,"1,230",168,171,145,159,422,107,812,152,"1,208","1,761","1,124",275,54,
2020,7,20,"11,741",153,"1,017",283,773,180,199,111,53,76,"1,094",220,244,252,304,903,150,847,200,"1,085","1,741","1,355",408,93,
2020,7,30,"12,111",146,877,284,894,192,210,96,67,76,"1,590",166,263,246,250,559,135,766,276,"1,532","1,728","1,134",566,58,
2020,7,40,"17,734",230,"1,652",449,"1,057",142,296,175,87,124,"1,959",322,297,284,342,838,224,"1,341",350,"1,991","2,937","1,950",594,93,
2020,7,50,"22,727",475,"2,452",820,"1,798",271,572,400,298,258,"1,787",573,481,453,589,"1,275",388,"1,369",486,"1,921","2,748","2,308",851,154,
2020,7,60,"20,342",639,"2,196","1,028","1,659",397,634,537,450,381,"1,171",638,492,570,806,"1,499",539,862,607,"1,030","1,436","1,710",872,189,
2020,7,70,"13,619",567,"1,621",833,"1,012",348,403,454,346,376,624,488,384,407,593,991,498,521,424,514,659,839,578,139,
2020,7,80,"8,774",343,"1,081",540,773,308,261,403,242,231,429,406,251,217,275,396,355,318,288,320,445,426,387,79,
2020,7,90,"1,353",54,139,87,119,58,62,48,46,30,66,58,31,26,48,66,45,49,46,58,73,59,69,16,
2020,7,100,70,2,10,7,3,2,2,2,2,1,0,2,2,6,8,1,5,1,1,4,2,0,6,1,
2020,8,총,"126,547","2,773","12,646","4,735","9,206","2,088","2,936","2,367","1,660","1,627","11,115","3,144","2,755","2,717","3,473","7,108","2,482","7,503","3,021","10,981","14,830","11,534","4,943",903,
2020,8,0,"8,053",71,596,184,544,118,141,48,22,32,"1,190",105,136,108,112,201,47,606,179,"1,308","1,305",644,327,29,
2020,8,10,"10,065",104,"1,037",223,524,68,159,103,47,44,"1,222",170,166,145,155,419,107,809,152,"1,206","1,758","1,112",282,53,
2020,8,20,"11,719",150,"1,013",279,783,174,200,111,55,74,"1,087",223,248,245,310,883,147,846,203,"1,078","1,736","1,366",414,94,
2020,8,30,"12,036",144,863,285,904,195,207,98,65,71,"1,584",161,261,247,245,546,131,759,279,"1,532","1,716","1,130",556,57,
2020,8,40,"17,667",227,"1,637",442,"1,064",138,289,172,85,126,"1,942",320,298,286,337,837,223,"1,342",352,"1,996","2,935","1,926",600,93,
2020,8,50,"22,712",473,"2,444",825,"1,802",278,577,392,300,257,"1,790",569,485,452,581,"1,256",390,"1,378",487,"1,919","2,751","2,307",845,154,
2020,8,60,"20,445",637,"2,202","1,030","1,672",396,632,536,451,384,"1,182",641,492,579,808,"1,509",537,872,608,"1,039","1,456","1,718",876,188,
2020,8,70,"13,622",569,"1,620",828,"1,017",353,404,454,347,377,616,489,388,407,592,998,496,519,424,513,653,844,578,136,
2020,8,80,"8,791",340,"1,088",544,772,309,261,402,241,228,435,405,248,215,276,392,355,321,287,328,445,430,387,82,
2020,8,90,"1,366",56,136,88,121,57,63,49,45,33,67,59,31,27,49,66,44,50,49,58,73,57,72,16,
2020,8,100,71,2,10,7,3,2,3,2,2,1,0,2,2,6,8,1,5,1,1,4,2,0,6,1,
2020,9,총,"126,570","2,776","12,631","4,724","9,283","2,091","2,937","2,372","1,650","1,627","11,123","3,129","2,758","2,713","3,466","7,110","2,465","7,487","3,030","10,989","14,818","11,528","4,956",907,
2020,9,0,"8,036",72,590,173,560,119,142,48,23,32,"1,193",103,138,110,110,203,48,597,181,"1,308","1,281",643,333,29,
2020,9,10,"10,026",106,"1,025",224,517,69,154,98,48,42,"1,220",169,163,142,156,417,104,803,152,"1,205","1,768","1,103",289,52,
2020,9,20,"11,727",148,"1,026",277,802,169,198,118,51,77,"1,076",221,246,247,310,887,144,850,202,"1,076","1,730","1,361",414,97,
2020,9,30,"12,003",145,862,283,915,196,207,95,65,69,"1,580",163,262,248,240,543,129,752,279,"1,519","1,710","1,128",555,58,
2020,9,40,"17,655",229,"1,621",443,"1,076",138,291,175,81,122,"1,942",311,297,279,340,843,220,"1,343",351,"2,009","2,932","1,923",597,92,
2020,9,50,"22,661",462,"2,430",820,"1,809",281,573,393,293,249,"1,792",567,482,457,575,"1,246",387,"1,372",490,"1,924","2,753","2,307",842,157,
2020,9,60,"20,543",644,"2,213","1,030","1,678",398,643,538,455,391,"1,195",635,500,571,812,"1,506",536,880,607,"1,041","1,468","1,728",884,190,
2020,9,70,"13,631",571,"1,617",829,"1,019",353,403,451,343,382,620,495,385,408,582,999,492,521,429,514,658,849,577,134,
2020,9,80,"8,840",341,"1,101",548,781,309,260,405,245,228,434,404,253,217,281,398,355,321,287,329,442,429,388,84,
2020,9,90,"1,378",56,136,90,123,57,63,49,44,34,71,59,31,28,52,67,45,47,51,60,74,57,71,13,
2020,9,100,70,2,10,7,3,2,3,2,2,1,0,2,1,6,8,1,5,1,1,4,2,0,6,1,
2020,10,총,"126,522","2,779","12,636","4,715","9,359","2,080","2,930","2,359","1,656","1,625","11,137","3,122","2,770","2,717","3,450","7,105","2,440","7,483","3,031","10,990","14,782","11,494","4,967",895,
2020,10,0,"7,991",73,588,170,569,119,137,47,25,33,"1,186",106,139,114,109,198,49,591,178,"1,300","1,262",639,332,27,
2020,10,10,"9,988",106,"1,022",229,512,67,155,94,48,40,"1,217",166,166,142,156,409,104,798,154,"1,204","1,759","1,098",290,52,
2020,10,20,"11,743",148,"1,022",271,814,168,201,121,51,77,"1,086",220,242,242,298,902,144,858,207,"1,080","1,735","1,352",415,89,
2020,10,30,"11,926",146,855,280,925,191,203,95,67,67,"1,564",163,270,248,237,534,123,747,275,"1,511","1,694","1,122",550,59,
2020,10,40,"17,592",232,"1,614",441,"1,072",139,287,168,82,122,"1,959",308,299,282,342,836,218,"1,336",351,"2,010","2,907","1,894",600,93,
2020,10,50,"22,625",454,"2,425",817,"1,825",278,573,392,287,246,"1,788",566,483,449,568,"1,232",383,"1,369",493,"1,922","2,764","2,312",844,155,
2020,10,60,"20,661",648,"2,223","1,032","1,699",399,645,539,464,391,"1,207",633,502,577,816,"1,519",528,892,605,"1,055","1,471","1,738",891,187,
2020,10,70,"13,657",569,"1,635",828,"1,027",353,400,445,342,379,622,496,381,413,585,"1,002",487,521,428,514,668,851,577,134,
2020,10,80,"8,883",343,"1,107",550,788,309,261,406,245,235,436,402,257,216,279,403,354,322,287,331,447,431,389,85,
2020,10,90,"1,387",58,134,90,125,55,65,50,44,34,72,60,30,28,52,69,45,48,52,59,73,57,74,13,
2020,10,100,69,2,11,7,3,2,3,2,1,1,0,2,1,6,8,1,5,1,1,4,2,0,5,1,
2020,11,총,"126,601","2,770","12,619","4,697","9,491","2,070","2,942","2,357","1,648","1,623","11,149","3,114","2,755","2,681","3,431","7,106","2,429","7,479","3,035","11,183","14,709","11,441","4,973",899,
2020,11,0,"7,952",71,579,166,574,115,139,47,25,33,"1,178",104,139,108,101,197,47,591,180,"1,332","1,249",622,328,27,
2020,11,10,"9,963",104,"1,019",225,518,68,157,93,42,38,"1,222",163,168,141,154,401,104,804,153,"1,212","1,752","1,083",289,53,
2020,11,20,"11,766",146,"1,017",268,835,165,196,119,55,76,"1,094",219,237,238,296,898,143,865,206,"1,106","1,729","1,351",415,92,
2020,11,30,"11,892",142,845,274,943,194,204,93,67,67,"1,559",156,265,235,239,535,125,738,275,"1,543","1,675","1,114",549,55,
2020,11,40,"17,600",230,"1,609",438,"1,103",133,287,165,81,122,"1,966",313,294,284,339,837,215,"1,335",350,"2,039","2,889","1,873",602,96,
2020,11,50,"22,622",456,"2,432",803,"1,846",274,577,388,282,244,"1,780",565,482,443,565,"1,235",374,"1,362",496,"1,948","2,753","2,316",846,155,
2020,11,60,"20,768",647,"2,230","1,047","1,717",404,651,546,463,395,"1,219",632,505,574,808,"1,517",533,894,607,"1,086","1,472","1,749",889,183,
2020,11,70,"13,683",569,"1,628",829,"1,035",353,400,446,344,376,624,497,380,415,591,"1,010",485,522,430,515,670,841,584,139,
2020,11,80,"8,880",344,"1,112",548,788,307,262,407,245,235,435,402,255,210,278,405,353,317,286,339,444,433,391,84,
2020,11,90,"1,405",59,137,92,128,55,66,51,43,36,72,61,29,27,52,70,45,50,51,59,74,59,75,14,
2020,11,100,70,2,11,7,4,2,3,2,1,1,0,2,1,6,8,1,5,1,1,4,2,0,5,1,
2020,12,총,"126,591","2,757","12,602","4,679","9,612","2,065","2,961","2,344","1,648","1,612","11,125","3,108","2,749","2,674","3,396","7,083","2,412","7,427","3,017","11,397","14,677","11,383","4,968",895,
2020,12,0,"7,900",67,568,162,587,108,136,45,22,32,"1,177",106,143,105,96,195,45,589,182,"1,348","1,231",609,321,26,
2020,12,10,"9,944",104,"1,013",225,522,70,161,93,43,37,"1,205",162,165,144,149,406,105,788,151,"1,237","1,752","1,074",287,51,
2020,12,20,"11,729",144,"1,013",271,845,164,200,116,56,72,"1,096",213,229,239,295,894,141,855,201,"1,121","1,721","1,339",413,91,
2020,12,30,"11,872",140,840,276,966,193,209,96,66,68,"1,545",160,267,230,232,531,122,719,271,"1,591","1,670","1,089",537,54,
2020,12,40,"17,570",227,"1,598",427,"1,123",134,287,165,85,122,"1,953",306,297,284,331,833,213,"1,326",347,"2,067","2,868","1,876",606,95,
2020,12,50,"22,636",458,"2,438",802,"1,881",279,580,383,279,238,"1,778",571,471,432,563,"1,222",373,"1,360",494,"1,975","2,757","2,308",841,153,
2020,12,60,"20,888",639,"2,234","1,043","1,731",400,660,546,468,394,"1,233",632,515,581,803,"1,512",537,904,603,"1,129","1,483","1,748",908,185,
2020,12,70,"13,651",567,"1,631",825,"1,036",351,394,445,337,376,628,495,374,414,586,"1,011",478,520,426,521,670,846,580,140,
2020,12,80,"8,918",349,"1,112",553,791,309,267,407,249,236,435,401,255,211,281,408,347,314,289,346,446,435,393,84,
2020,12,90,"1,413",60,144,88,126,55,64,46,42,36,75,60,32,28,52,70,46,51,52,58,77,59,77,15,
2020,12,100,70,2,11,7,4,2,3,2,1,1,0,2,1,6,8,1,5,1,1,4,2,0,5,1,
2021,1,총,"126,622","2,748","12,579","4,699","9,736","2,064","2,962","2,335","1,656","1,603","11,107","3,108","2,747","2,656","3,387","7,074","2,401","7,417","3,004","11,530","14,615","11,341","4,963",890,
2021,1,0,"7,856",66,564,163,604,106,136,43,22,33,"1,155",105,141,102,94,197,44,584,179,"1,359","1,220",604,312,23,
2021,1,10,"9,956",104,"1,007",229,537,70,159,94,44,37,"1,218",162,162,143,150,407,101,789,148,"1,250","1,740","1,064",290,51,
2021,1,20,"11,676",141,999,263,865,171,203,115,55,69,"1,080",214,225,229,286,878,140,851,199,"1,129","1,729","1,338",407,90,
2021,1,30,"11,809",138,831,285,979,187,209,92,66,65,"1,531",156,265,224,234,536,120,703,268,"1,617","1,642","1,075",533,53,
2021,1,40,"17,536",224,"1,602",428,"1,146",132,286,163,82,120,"1,943",304,297,285,326,828,218,"1,333",345,"2,082","2,850","1,836",609,97,
2021,1,50,"22,642",455,"2,432",802,"1,888",282,574,381,281,232,"1,796",567,473,436,558,"1,211",370,"1,359",493,"2,012","2,747","2,308",834,151,
2021,1,60,"21,016",644,"2,246","1,050","1,752",403,666,541,476,393,"1,243",640,521,580,806,"1,517",531,908,595,"1,147","1,488","1,771",914,184,
2021,1,70,"13,666",559,"1,624",824,"1,037",348,393,447,333,378,630,492,375,412,587,"1,016",479,521,436,524,669,853,588,141,
2021,1,80,"8,977",356,"1,122",559,796,308,270,410,254,239,435,406,254,210,285,410,347,316,289,349,450,432,396,84,
2021,1,90,"1,420",59,142,90,128,55,64,47,42,36,76,60,33,30,52,73,46,52,51,56,78,60,75,15,
2021,1,100,68,2,10,6,4,2,2,2,1,1,0,2,1,5,9,1,5,1,1,5,2,0,5,1,
2021,2,총,"126,650","2,749","12,541","4,704","9,928","2,046","2,945","2,347","1,652","1,619","11,052","3,104","2,733","2,657","3,372","7,027","2,385","7,377","2,989","11,706","14,571","11,307","4,951",888,
2021,2,0,"7,853",66,563,158,631,98,133,46,23,34,"1,140",105,139,101,92,194,44,571,175,"1,395","1,211",593,318,23,
2021,2,10,"9,920",111,986,231,547,70,160,94,41,41,"1,189",160,160,141,147,398,103,778,152,"1,272","1,737","1,062",289,51,
2021,2,20,"11,590",141,"1,002",266,888,164,200,111,52,71,"1,074",210,224,235,283,866,132,836,196,"1,133","1,703","1,321",392,90,
2021,2,30,"11,739",136,825,280,"1,014",188,204,97,65,70,"1,497",151,259,218,231,518,115,692,261,"1,649","1,632","1,055",533,49,
2021,2,40,"17,568",226,"1,579",439,"1,184",129,285,164,79,122,"1,951",304,299,290,329,819,225,"1,314",345,"2,117","2,837","1,822",610,99,
2021,2,50,"22,671",448,"2,429",796,"1,920",279,563,380,283,232,"1,810",566,462,432,560,"1,203",367,"1,374",484,"2,037","2,752","2,320",827,147,
2021,2,60,"21,127",646,"2,263","1,053","1,761",405,669,543,479,394,"1,246",644,523,581,799,"1,516",531,915,598,"1,168","1,505","1,784",916,188,
2021,2,70,"13,646",556,"1,618",819,"1,047",342,393,448,334,377,627,493,376,410,584,"1,020",463,526,437,527,671,852,585,141,
2021,2,80,"9,036",356,"1,120",565,802,311,273,413,253,239,441,409,257,215,288,418,355,317,291,350,442,436,401,84,
2021,2,90,"1,428",61,146,91,130,57,63,49,42,38,77,60,33,29,50,74,44,53,48,54,79,61,74,15,
2021,2,100,72,2,10,6,4,3,2,2,1,1,0,2,1,5,9,1,6,1,2,4,2,1,6,1,
2021,3,총,"126,292","2,706","12,462","4,635","10,092","2,035","2,954","2,346","1,644","1,604","11,028","3,067","2,728","2,612","3,329","7,005","2,355","7,372","2,959","11,769","14,538","11,249","4,923",880,
2021,3,0,"7,830",66,550,155,648,101,130,43,21,34,"1,136",107,135,100,94,188,46,567,179,"1,394","1,202",588,323,23,
2021,3,10,"9,877",109,989,228,548,68,163,96,39,40,"1,192",155,159,139,145,392,101,777,147,"1,272","1,724","1,053",291,50,
2021,3,20,"11,537",134,984,262,914,164,203,114,53,71,"1,063",205,225,231,277,866,133,834,187,"1,148","1,687","1,300",394,88,
2021,3,30,"11,688",134,806,275,"1,039",186,203,96,62,66,"1,491",146,260,213,234,515,114,690,260,"1,656","1,631","1,038",523,50,
2021,3,40,"17,496",224,"1,580",427,"1,211",128,287,164,80,118,"1,933",302,301,287,326,816,214,"1,305",340,"2,128","2,816","1,815",601,93,
2021,3,50,"22,540",426,"2,404",783,"1,955",272,557,377,273,235,"1,813",545,457,418,546,"1,194",365,"1,369",480,"2,053","2,744","2,307",820,147,
2021,3,60,"21,209",641,"2,259","1,039","1,791",405,676,539,488,392,"1,265",649,524,580,792,"1,513",526,930,593,"1,183","1,527","1,787",921,189,
2021,3,70,"13,621",557,"1,619",810,"1,056",343,396,448,336,365,623,487,375,409,578,"1,020",454,527,434,532,681,853,578,140,
2021,3,80,"9,026",352,"1,117",569,797,309,273,416,251,245,437,412,258,208,289,425,350,319,288,344,443,445,395,84,
2021,3,90,"1,417",61,145,83,130,56,64,51,41,37,75,57,33,27,46,75,46,53,49,55,82,62,74,15,
2021,3,100,51,2,9,4,3,3,2,2,0,1,0,2,1,0,2,1,6,1,2,4,1,1,3,1,
2021,4,총,"126,280","2,701","12,418","4,640","10,209",0,"2,950","2,346","1,644","1,606","10,988","3,059","2,733","2,611","3,314","6,980","2,355","7,359","2,958","11,841","14,519","11,203","4,927",878,"2,041"
2021,4,0,"7,809",67,542,153,663,0,129,42,23,35,"1,123",104,139,103,94,187,43,557,177,"1,393","1,215",577,316,26,101
2021,4,10,"9,836",108,982,231,548,0,159,97,39,40,"1,189",156,159,135,143,389,100,776,150,"1,266","1,707","1,046",298,48,70
2021,4,20,"11,495",130,978,263,915,0,201,113,51,68,"1,053",203,224,241,274,839,139,839,186,"1,149","1,694","1,294",388,90,163
2021,4,30,"11,687",136,786,276,"1,055",0,207,96,64,68,"1,481",145,259,208,230,520,108,686,261,"1,679","1,635","1,030",525,48,184
2021,4,40,"17,469",225,"1,576",426,"1,229",0,287,167,78,119,"1,930",300,298,285,325,812,214,"1,299",339,"2,138","2,792","1,799",609,92,130
2021,4,50,"22,527",425,"2,399",779,"1,980",0,556,380,268,230,"1,807",545,458,425,546,"1,187",362,"1,363",479,"2,067","2,736","2,289",823,145,278
2021,4,60,"21,313",637,"2,265","1,042","1,826",0,682,543,491,398,"1,274",648,522,572,785,"1,513",530,939,593,"1,201","1,533","1,804",920,190,405
2021,4,70,"13,630",556,"1,613",813,"1,059",0,388,438,337,366,626,489,379,407,582,"1,025",457,528,430,538,689,853,577,139,341
2021,4,80,"9,035",354,"1,121",571,798,0,276,414,252,243,432,406,261,210,286,431,350,316,291,349,436,450,394,84,310
2021,4,90,"1,428",60,147,82,133,0,63,54,41,38,73,61,33,25,47,76,46,55,50,57,81,60,75,15,56
