년도,월,나이,청양군,청양읍,운곡면,대치면,정산면,목면,청남면,장평면,남양면,화성면,비봉면
2020,5,60,"2,907",778,202,234,309,139,203,260,283,257,242
2020,5,70,"2,508",519,212,196,280,137,191,262,284,214,213
2020,5,80,"2,118",409,216,185,210,135,157,178,261,189,178
2020,5,90,314,75,25,20,24,22,29,26,39,26,28
2020,5,100,16,4,0,1,2,0,2,3,0,1,3
2020,6,총,"15,316","4,989","1,091","1,075","1,717",743,951,"1,181","1,389","1,108","1,072"
2020,6,0,654,334,27,42,70,11,31,40,46,30,23
2020,6,10,961,469,40,33,125,39,53,62,40,57,43
2020,6,20,"1,142",542,69,66,125,45,48,66,77,51,53
2020,6,30,908,450,41,45,108,31,38,41,57,48,49
2020,6,40,"1,335",605,83,79,181,51,61,68,85,62,60
2020,6,50,"2,438",804,169,176,275,137,136,172,216,173,180
2020,6,60,"2,916",778,208,234,312,138,203,262,283,257,241
2020,6,70,"2,508",519,213,194,284,138,195,259,282,213,211
2020,6,80,"2,125",409,216,184,212,132,157,182,263,190,180
2020,6,90,313,75,25,21,23,21,27,26,40,26,29
2020,6,100,16,4,0,1,2,0,2,3,0,1,3
2020,7,총,"15,283","4,969","1,092","1,075","1,716",737,943,"1,182","1,388","1,103","1,078"
2020,7,0,650,335,27,42,69,11,29,39,45,31,22
2020,7,10,960,467,40,33,125,37,53,63,41,56,45
2020,7,20,"1,131",540,69,66,122,44,47,66,75,49,53
2020,7,30,902,445,40,45,109,30,37,41,59,47,49
2020,7,40,"1,329",598,81,79,184,50,59,68,87,63,60
2020,7,50,"2,428",798,168,176,276,137,135,170,213,171,184
2020,7,60,"2,923",777,208,236,312,139,203,264,285,257,242
2020,7,70,"2,508",524,217,193,282,137,191,258,284,212,210
2020,7,80,"2,122",405,216,183,212,132,160,184,259,190,181
2020,7,90,314,76,26,21,23,20,27,26,40,26,29
2020,7,100,16,4,0,1,2,0,2,3,0,1,3
2020,8,총,"15,240","4,951","1,088","1,074","1,716",733,938,"1,176","1,384","1,103","1,077"
2020,8,0,642,333,25,43,69,12,27,39,41,30,23
2020,8,10,953,465,40,33,124,38,50,60,42,56,45
2020,8,20,"1,123",532,67,62,124,42,47,68,78,51,52
2020,8,30,889,439,40,43,109,28,37,42,56,47,48
2020,8,40,"1,321",602,79,80,181,47,58,66,87,60,61
2020,8,50,"2,418",791,168,177,277,139,133,170,210,171,182
2020,8,60,"2,940",782,212,240,312,139,205,260,287,259,244
2020,8,70,"2,502",526,213,189,280,137,192,260,286,212,207
2020,8,80,"2,123",401,219,184,215,131,161,183,259,188,182
2020,8,90,314,77,25,22,23,20,26,25,38,28,30
2020,8,100,15,3,0,1,2,0,2,3,0,1,3
2020,9,총,"15,210","4,942","1,086","1,070","1,714",731,938,"1,176","1,378","1,102","1,073"
2020,9,0,635,327,26,43,67,13,27,39,41,29,23
2020,9,10,954,470,40,32,125,36,50,60,42,54,45
2020,9,20,"1,101",522,69,60,122,41,45,66,76,54,46
2020,9,30,888,440,39,43,107,29,39,42,53,47,49
2020,9,40,"1,318",599,78,79,184,47,59,64,87,59,62
2020,9,50,"2,416",796,166,180,276,139,131,171,206,172,179
2020,9,60,"2,940",782,213,240,315,137,205,258,290,256,244
2020,9,70,"2,499",524,211,188,278,138,195,265,280,211,209
2020,9,80,"2,126",401,217,183,214,131,162,182,265,189,182
2020,9,90,319,78,27,21,24,20,24,26,38,30,31
2020,9,100,14,3,0,1,2,0,1,3,0,1,3
2020,10,총,"15,207","4,954","1,089","1,068","1,722",728,937,"1,167","1,375","1,097","1,070"
2020,10,0,631,321,26,44,69,12,27,39,40,30,23
2020,10,10,970,486,38,33,126,36,50,60,43,53,45
2020,10,20,"1,108",529,68,61,121,42,46,65,76,53,47
2020,10,30,886,436,42,43,108,28,39,44,52,45,49
2020,10,40,"1,296",590,77,77,182,47,59,61,84,59,60
2020,10,50,"2,407",795,167,176,281,138,132,168,203,168,179
2020,10,60,"2,961",790,218,245,313,139,202,258,294,258,244
2020,10,70,"2,491",524,209,186,281,134,194,262,282,210,209
2020,10,80,"2,126",402,218,183,215,130,163,182,264,190,179
2020,10,90,317,78,26,19,24,22,24,26,37,30,31
2020,10,100,14,3,0,1,2,0,1,2,0,1,4
2020,11,총,"15,192","4,950","1,085","1,074","1,724",724,937,"1,156","1,377","1,093","1,072"
2020,11,0,625,317,26,42,71,12,28,37,41,29,22
2020,11,10,966,486,38,32,127,35,48,57,44,54,45
2020,11,20,"1,100",525,65,62,120,40,47,66,73,53,49
2020,11,30,883,434,42,45,107,28,39,42,53,44,49
2020,11,40,"1,292",591,77,75,181,46,57,59,85,61,60
2020,11,50,"2,394",795,165,181,279,137,132,163,201,162,179
2020,11,60,"2,989",789,220,249,318,142,204,261,300,260,246
2020,11,70,"2,487",529,210,182,279,134,192,261,281,210,209
2020,11,80,"2,123",403,216,186,216,127,164,182,262,189,178
2020,11,90,319,78,26,19,24,23,25,26,37,30,31
2020,11,100,14,3,0,1,2,0,1,2,0,1,4
2020,12,총,"15,257","4,988","1,082","1,079","1,730",732,936,"1,154","1,393","1,086","1,077"
2020,12,0,621,321,26,41,70,13,27,37,39,25,22
2020,12,10,963,488,37,34,121,35,48,57,43,54,46
2020,12,20,"1,118",531,65,62,124,41,50,70,79,51,45
2020,12,30,889,440,42,44,106,31,40,41,51,44,50
2020,12,40,"1,302",599,76,77,179,46,55,58,89,59,64
2020,12,50,"2,413",801,163,185,288,135,127,161,211,162,180
2020,12,60,"3,014",802,220,253,319,145,207,260,301,261,246
2020,12,70,"2,471",522,210,176,281,134,192,257,280,209,210
2020,12,80,"2,128",401,216,186,217,128,164,185,263,189,179
2020,12,90,324,80,27,20,23,24,25,26,37,31,31
2020,12,100,14,3,0,1,2,0,1,2,0,1,4
2021,1,총,"15,208","4,974","1,078","1,067","1,722",732,932,"1,150","1,387","1,089","1,077"
2021,1,0,616,315,26,38,72,13,28,36,40,25,23
2021,1,10,951,481,37,34,116,35,48,57,43,54,46
2021,1,20,"1,099",529,64,60,123,36,49,67,78,50,43
2021,1,30,890,443,44,40,106,33,40,40,49,46,49
2021,1,40,"1,284",589,75,78,176,47,55,59,85,56,64
2021,1,50,"2,393",798,162,183,285,130,125,157,212,163,178
2021,1,60,"3,040",812,220,255,322,150,208,263,300,264,246
2021,1,70,"2,468",522,210,174,279,136,191,257,280,211,208
2021,1,80,"2,127",402,214,181,218,128,162,185,264,188,185
2021,1,90,326,80,26,23,23,24,25,27,36,31,31
2021,1,100,14,3,0,1,2,0,1,2,0,1,4
2021,2,총,"15,178","4,958","1,070","1,066","1,717",729,928,"1,147","1,386","1,097","1,080"
2021,2,0,612,310,25,36,71,13,28,37,40,27,25
2021,2,10,946,477,35,36,116,34,49,56,42,56,45
2021,2,20,"1,080",515,62,60,122,36,46,67,79,49,44
2021,2,30,889,444,40,41,105,34,38,40,51,46,50
2021,2,40,"1,285",595,76,80,173,47,53,55,84,59,63
2021,2,50,"2,375",789,161,181,286,128,128,158,206,161,177
2021,2,60,"3,046",817,221,252,322,149,208,263,300,267,247
2021,2,70,"2,464",525,210,175,279,136,188,258,279,208,206
2021,2,80,"2,139",405,212,178,218,129,165,185,269,190,188
2021,2,90,328,78,28,26,23,23,24,26,36,33,31
2021,2,100,14,3,0,1,2,0,1,2,0,1,4
2021,3,총,"15,081","4,966","1,065","1,058","1,694",716,923,"1,133","1,373","1,087","1,066"
2021,3,0,607,310,26,33,72,12,27,36,40,26,25
2021,3,10,945,480,36,38,113,35,47,53,43,57,43
2021,3,20,"1,062",518,60,60,122,32,46,65,70,46,43
2021,3,30,886,445,39,41,104,34,40,38,49,46,50
2021,3,40,"1,262",590,77,78,167,46,51,54,84,56,59
2021,3,50,"2,346",789,162,179,280,124,123,154,202,159,174
2021,3,60,"3,054",822,217,250,320,149,211,265,302,266,252
2021,3,70,"2,446",522,209,176,278,134,186,256,276,207,202
2021,3,80,"2,144",413,209,177,215,127,169,186,271,191,186
2021,3,90,324,76,30,25,23,23,23,26,36,32,30
2021,3,100,5,1,0,1,0,0,0,0,0,1,2
2021,4,총,"15,089","4,978","1,063","1,052","1,695",714,923,"1,139","1,374","1,082","1,069"
2021,4,0,605,306,26,33,72,13,28,36,41,25,25
2021,4,10,967,500,34,38,116,35,46,55,44,56,43
2021,4,20,"1,046",513,60,58,118,30,45,65,70,44,43
2021,4,30,878,438,39,40,104,32,40,37,51,46,51
2021,4,40,"1,269",590,76,78,170,48,52,55,84,57,59
2021,4,50,"2,331",788,160,175,281,122,123,151,199,157,175
2021,4,60,"3,074",831,220,250,320,150,214,269,299,267,254
2021,4,70,"2,438",518,204,177,277,135,183,258,279,205,202
2021,4,80,"2,148",416,214,176,215,127,167,187,269,192,185
2021,4,90,328,77,30,26,22,22,25,26,38,32,30
2021,4,100,5,1,0,1,0,0,0,0,0,1,2
2021,5,총,"15,057","4,945","1,052","1,056","1,702",715,925,"1,140","1,370","1,088","1,064"
2021,5,0,601,304,25,33,72,14,28,36,38,24,27
2021,5,10,955,492,34,39,114,34,48,55,41,56,42
2021,5,20,"1,052",512,56,60,124,31,43,66,72,45,43
2021,5,30,864,431,37,40,101,33,39,36,50,46,51
2021,5,40,"1,262",587,74,78,169,47,52,56,82,59,58
2021,5,50,"2,319",786,162,176,283,120,123,149,198,154,168
2021,5,60,"3,091",828,220,251,324,153,216,270,303,270,256
2021,5,70,"2,435",516,202,174,277,135,183,257,278,209,204
2021,5,80,"2,136",414,212,177,212,125,167,188,268,191,182
2021,5,90,336,74,30,27,26,23,26,26,40,33,31
2021,5,100,6,1,0,1,0,0,0,1,0,1,2
2021,6,총,"15,038","4,919","1,050","1,066","1,705",711,926,"1,137","1,371","1,086","1,067"
2021,6,0,599,301,25,33,73,14,28,36,38,23,28
2021,6,10,949,485,33,38,115,33,48,55,41,58,43
2021,6,20,"1,054",514,54,64,123,31,44,67,74,42,41
2021,6,30,860,427,39,39,102,30,38,36,52,46,51
2021,6,40,"1,250",576,73,80,168,48,52,56,81,60,56
2021,6,50,"2,301",779,159,179,277,119,121,148,202,149,168
2021,6,60,"3,112",831,223,252,333,154,217,270,299,273,260
2021,6,70,"2,420",517,201,171,278,132,181,253,275,210,202
2021,6,80,"2,150",411,214,182,211,127,171,189,270,190,185
2021,6,90,337,77,29,27,25,23,26,26,39,34,31
2021,6,100,6,1,0,1,0,0,0,1,0,1,2
2021,7,총,"15,005","4,910","1,051","1,063","1,700",714,923,"1,134","1,363","1,087","1,060"
2021,7,0,596,303,23,33,72,14,26,38,36,23,28
2021,7,10,940,475,33,38,115,33,50,55,41,59,41
2021,7,20,"1,042",513,54,64,121,31,41,63,73,41,41
2021,7,30,862,431,40,39,102,30,37,39,50,44,50
2021,7,40,"1,243",574,72,78,167,48,53,58,77,60,56
2021,7,50,"2,281",771,161,176,274,121,119,146,199,150,164
2021,7,60,"3,129",835,226,254,334,156,219,268,301,274,262
2021,7,70,"2,412",519,199,170,278,131,181,252,271,209,202
2021,7,80,"2,153",410,212,181,212,128,171,188,276,192,183
2021,7,90,341,78,31,29,25,22,26,26,39,34,31
2021,7,100,6,1,0,1,0,0,0,1,0,1,2
2021,8,총,"14,954","4,883","1,051","1,060","1,692",713,919,"1,131","1,362","1,083","1,060"
2021,8,0,574,295,22,31,66,13,26,37,35,23,26
2021,8,10,940,472,33,40,118,34,48,55,42,56,42
2021,8,20,"1,026",509,54,61,116,31,39,62,72,42,40
2021,8,30,848,423,40,39,100,27,38,36,50,45,50
2021,8,40,"1,238",573,70,76,167,47,52,59,76,60,58
2021,8,50,"2,277",770,159,178,273,123,116,145,199,148,166
2021,8,60,"3,142",836,231,254,338,157,221,270,302,272,261
2021,8,70,"2,400",518,198,172,272,128,182,250,269,208,203
2021,8,80,"2,158",408,211,179,217,130,169,190,278,193,183
2021,8,90,345,78,33,29,25,23,28,26,39,35,29
2021,8,100,6,1,0,1,0,0,0,1,0,1,2
2021,9,총,"14,925","4,880","1,043","1,058","1,690",711,914,"1,126","1,358","1,083","1,062"
2021,9,0,574,298,22,31,65,12,26,38,34,23,25
2021,9,10,934,469,33,40,116,35,47,55,42,56,41
2021,9,20,"1,020",515,52,58,115,29,38,60,70,42,41
2021,9,30,841,418,39,38,100,27,38,38,51,42,50
2021,9,40,"1,229",572,70,77,164,47,52,55,74,62,56
2021,9,50,"2,268",767,157,178,276,122,113,147,194,147,167
2021,9,60,"3,143",836,229,256,336,155,220,268,305,272,266
2021,9,70,"2,395",515,195,168,275,130,182,250,270,208,202
2021,9,80,"2,169",408,213,182,217,131,170,190,279,196,183
2021,9,90,347,81,33,29,26,23,28,25,39,34,29
2021,9,100,5,1,0,1,0,0,0,0,0,1,2
2021,10,총,"14,949","4,883","1,042","1,060","1,700",722,913,"1,122","1,359","1,082","1,066"
2021,10,0,570,296,21,31,64,14,23,38,35,22,26
2021,10,10,940,473,33,40,117,35,47,55,43,55,42
2021,10,20,"1,019",515,52,59,116,31,37,57,70,40,42
2021,10,30,851,417,39,39,104,31,39,38,51,42,51
2021,10,40,"1,225",572,68,77,163,48,51,53,74,63,56
2021,10,50,"2,269",768,159,176,279,126,112,147,192,144,166
2021,10,60,"3,150",838,227,259,335,153,223,268,306,275,266
2021,10,70,"2,390",518,196,168,272,125,182,249,269,207,204
2021,10,80,"2,174",406,213,178,224,135,172,191,276,198,181
2021,10,90,356,79,34,32,26,24,27,26,43,35,30
2021,10,100,5,1,0,1,0,0,0,0,0,1,2
2021,11,총,"14,960","4,883","1,046","1,061","1,699",724,914,"1,118","1,360","1,086","1,069"
2021,11,0,571,292,23,32,65,14,25,37,35,22,26
2021,11,10,928,464,31,39,117,35,47,55,42,56,42
2021,11,20,"1,031",519,55,62,116,33,36,57,69,42,42
2021,11,30,844,414,35,39,104,31,39,36,53,41,52
2021,11,40,"1,231",577,67,77,163,49,50,54,73,65,56
2021,11,50,"2,265",771,160,177,278,120,112,145,191,146,165
2021,11,60,"3,178",846,229,260,336,159,224,270,308,276,270
2021,11,70,"2,379",516,199,166,267,124,181,249,267,208,202
2021,11,80,"2,178",406,212,178,228,135,173,189,279,196,182
2021,11,90,350,77,35,30,25,24,27,26,43,33,30
2021,11,100,5,1,0,1,0,0,0,0,0,1,2
2021,12,총,"14,968","4,904","1,046","1,059","1,698",715,914,"1,118","1,365","1,086","1,063"
2021,12,0,571,292,24,32,66,14,23,37,35,22,26
2021,12,10,919,458,32,38,119,33,47,52,44,56,40
2021,12,20,"1,027",523,52,61,112,32,34,56,71,44,42
2021,12,30,846,413,35,38,104,31,39,38,56,39,53
2021,12,40,"1,239",580,67,78,163,49,52,52,74,67,57
2021,12,50,"2,260",777,161,174,275,115,114,143,191,145,165
2021,12,60,"3,181",849,231,262,337,160,223,273,305,274,267
2021,12,70,"2,376",526,196,167,266,126,178,247,266,205,199
2021,12,80,"2,183",402,214,175,231,132,176,193,278,198,184
2021,12,90,360,83,34,33,25,23,28,27,45,34,28
2021,12,100,6,1,0,1,0,0,0,0,0,2,2
