년도,월,나이,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2021,5,80,"3,157",995,157,158,307,269,283,234,87,234,216,217
2021,5,90,501,153,35,23,41,34,28,40,14,42,46,45
2021,5,100,14,6,1,1,2,0,1,1,0,1,1,0
2021,6,총,"32,096","14,848","1,885","1,475","2,158","1,641","2,282","1,896",741,"1,742","1,658","1,770"
2021,6,0,"1,392",980,29,80,50,20,59,43,19,47,35,30
2021,6,10,"2,052","1,302",86,72,94,55,119,90,26,63,66,79
2021,6,20,"2,330","1,378",121,109,82,83,155,109,24,82,87,100
2021,6,30,"2,070","1,253",81,141,82,67,149,83,18,53,73,70
2021,6,40,"3,225","1,927",150,159,145,102,187,147,53,110,103,142
2021,6,50,"5,681","2,639",385,236,369,247,373,311,128,326,325,342
2021,6,60,"7,162","2,668",503,302,566,438,546,538,237,471,424,469
2021,6,70,"4,511","1,550",335,196,420,327,381,301,135,309,280,277
2021,6,80,"3,156",991,160,156,309,267,284,230,87,237,218,217
2021,6,90,504,154,34,23,40,35,28,43,14,43,46,44
2021,6,100,13,6,1,1,1,0,1,1,0,1,1,0
2021,7,총,"32,062","14,830","1,882","1,475","2,164","1,635","2,282","1,894",739,"1,738","1,659","1,764"
2021,7,0,"1,380",975,29,81,46,18,60,39,20,46,35,31
2021,7,10,"2,046","1,302",84,71,95,53,119,91,26,63,66,76
2021,7,20,"2,323","1,371",122,107,84,80,153,110,24,85,86,101
2021,7,30,"2,066","1,250",80,145,81,65,154,78,17,53,73,70
2021,7,40,"3,205","1,917",148,156,147,101,187,151,53,107,102,136
2021,7,50,"5,669","2,645",384,239,366,249,368,305,125,323,323,342
2021,7,60,"7,191","2,675",506,301,572,439,548,542,239,469,427,473
2021,7,70,"4,510","1,545",333,197,419,328,383,300,135,309,285,276
2021,7,80,"3,156",992,162,155,312,265,282,233,86,237,216,216
2021,7,90,502,152,33,22,40,37,27,44,14,45,45,43
2021,7,100,14,6,1,1,2,0,1,1,0,1,1,0
2021,8,총,"32,004","14,836","1,879","1,465","2,147","1,631","2,277","1,890",735,"1,738","1,652","1,754"
2021,8,0,"1,378",974,31,81,47,16,60,40,20,44,34,31
2021,8,10,"2,046","1,309",79,69,93,51,120,91,26,64,66,78
2021,8,20,"2,291","1,359",119,110,78,79,152,106,24,83,85,96
2021,8,30,"2,047","1,244",80,140,78,66,155,74,16,54,73,67
2021,8,40,"3,192","1,910",146,157,143,101,183,153,52,109,102,136
2021,8,50,"5,638","2,645",384,233,364,246,367,301,122,321,318,337
2021,8,60,"7,245","2,699",511,296,574,444,552,547,240,470,434,478
2021,8,70,"4,494","1,545",331,202,419,323,379,298,136,309,279,273
2021,8,80,"3,161",992,164,155,311,268,281,234,85,239,217,215
2021,8,90,498,153,33,21,38,37,27,45,14,44,43,43
2021,8,100,14,6,1,1,2,0,1,1,0,1,1,0
2021,9,총,"31,893","14,774","1,875","1,469","2,148","1,616","2,277","1,886",736,"1,728","1,642","1,742"
2021,9,0,"1,365",970,30,83,46,13,59,40,21,42,32,29
2021,9,10,"2,034","1,299",82,72,89,49,121,89,27,65,63,78
2021,9,20,"2,252","1,342",114,109,78,79,149,105,21,81,81,93
2021,9,30,"2,029","1,235",77,138,78,65,155,74,15,55,71,66
2021,9,40,"3,156","1,897",143,158,137,96,182,149,56,102,103,133
2021,9,50,"5,628","2,635",387,232,368,248,370,300,122,319,312,335
2021,9,60,"7,254","2,698",513,298,580,439,552,548,236,474,436,480
2021,9,70,"4,497","1,547",332,204,420,324,377,302,138,306,279,268
2021,9,80,"3,165",994,165,153,308,265,284,233,86,242,218,217
2021,9,90,498,151,31,21,42,38,27,45,14,41,45,43
