년도,월,나이,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020,8,총,"34,418","11,497","3,882","2,417","3,445","2,221","2,105","1,572","1,990",920,"1,595","1,404","1,061",186,123
2020,8,0,"1,582",690,260,100,148,88,74,28,54,24,63,27,22,1,3
2020,8,10,"2,244","1,092",321,100,194,83,107,61,71,40,70,60,38,5,2
2020,8,20,"2,297",998,299,128,214,119,106,85,86,34,99,66,49,11,3
2020,8,30,"2,554","1,050",345,156,302,135,110,87,109,34,91,71,50,10,4
2020,8,40,"3,536","1,586",508,188,321,158,190,117,147,66,99,67,77,8,4
2020,8,50,"5,859","1,904",660,430,671,409,357,276,292,146,237,246,180,30,21
2020,8,60,"7,010","1,841",684,591,794,555,476,384,454,213,357,304,267,55,35
2020,8,70,"5,341","1,403",439,386,471,394,379,326,434,204,309,327,209,29,31
2020,8,80,"3,375",797,299,271,267,230,256,187,292,138,240,203,143,36,16
2020,8,90,593,125,66,64,62,49,48,21,48,21,26,33,25,1,4
2020,8,100,27,11,1,3,1,1,2,0,3,0,4,0,1,0,0
2020,9,총,"34,457","11,501","3,892","2,414","3,469","2,220","2,105","1,563","1,995",924,"1,594","1,408","1,063",187,122
2020,9,0,"1,586",690,256,100,150,89,74,29,55,25,60,28,25,2,3
2020,9,10,"2,235","1,088",323,97,191,79,108,60,71,41,72,59,39,5,2
2020,9,20,"2,304","1,009",302,128,219,113,106,86,85,33,96,64,49,11,3
2020,9,30,"2,546","1,032",343,157,304,139,111,87,111,33,94,72,50,9,4
2020,9,40,"3,542","1,592",512,185,321,160,185,118,143,69,100,67,78,8,4
2020,9,50,"5,842","1,894",654,428,672,407,360,271,296,148,238,246,177,30,21
2020,9,60,"7,059","1,857",694,593,806,559,477,383,461,210,354,308,266,56,35
2020,9,70,"5,329","1,400",444,384,475,390,380,322,431,206,305,327,207,28,30
2020,9,80,"3,384",801,297,270,264,234,254,188,291,138,243,205,147,36,16
2020,9,90,603,127,67,69,66,49,48,19,48,21,28,31,24,2,4
2020,9,100,27,11,0,3,1,1,2,0,3,0,4,1,1,0,0
2020,10,총,"34,466","11,487","3,898","2,412","3,486","2,206","2,113","1,562","2,002",927,"1,591","1,410","1,064",185,123
2020,10,0,"1,591",697,257,99,155,83,75,28,55,26,58,28,25,2,3
2020,10,10,"2,231","1,088",325,96,194,80,106,58,71,39,73,56,39,5,1
2020,10,20,"2,300","1,008",301,131,213,111,107,84,85,34,96,67,48,11,4
2020,10,30,"2,532","1,022",337,160,306,137,114,87,111,33,92,70,50,9,4
2020,10,40,"3,534","1,590",517,179,318,156,183,114,145,71,99,71,79,8,4
2020,10,50,"5,819","1,885",653,424,665,405,358,271,296,144,241,246,179,30,22
2020,10,60,"7,093","1,860",697,597,816,560,482,384,463,216,354,310,264,55,35
2020,10,70,"5,338","1,398",442,380,484,389,385,326,435,206,302,325,208,28,30
2020,10,80,"3,389",801,303,272,265,233,254,191,291,135,242,206,145,35,16
2020,10,90,613,127,66,71,69,51,47,19,48,23,30,30,26,2,4
2020,10,100,26,11,0,3,1,1,2,0,2,0,4,1,1,0,0
2020,11,총,"34,467","11,491","3,912","2,419","3,479","2,205","2,125","1,557","1,992",934,"1,591","1,400","1,057",183,122
2020,11,0,"1,578",685,253,96,153,85,76,28,57,27,60,28,25,2,3
2020,11,10,"2,248","1,099",330,98,193,81,109,55,71,41,74,54,37,5,1
2020,11,20,"2,289","1,005",299,132,209,110,108,83,86,35,94,66,48,10,4
2020,11,30,"2,531","1,027",332,160,310,141,116,84,110,34,89,68,48,9,3
2020,11,40,"3,537","1,594",524,176,314,155,184,116,142,70,103,69,78,8,4
2020,11,50,"5,800","1,883",656,424,662,403,356,270,289,145,238,246,178,29,21
2020,11,60,"7,108","1,861",707,602,817,559,483,385,462,217,356,307,262,54,36
2020,11,70,"5,343","1,398",444,381,487,388,387,323,433,207,301,326,210,29,29
2020,11,80,"3,397",799,303,277,263,231,257,193,295,135,242,206,144,35,17
2020,11,90,610,129,64,70,70,51,47,20,45,23,30,29,26,2,4
2020,11,100,26,11,0,3,1,1,2,0,2,0,4,1,1,0,0
2020,12,총,"34,559","11,508","3,932","2,425","3,506","2,201","2,127","1,560","1,987",945,"1,600","1,404","1,057",183,124
2020,12,0,"1,580",683,254,98,151,83,77,28,57,29,60,30,25,2,3
2020,12,10,"2,247","1,099",327,101,193,81,109,56,71,41,73,54,36,5,1
2020,12,20,"2,296","1,007",309,131,207,110,107,78,84,39,97,65,48,10,4
2020,12,30,"2,528","1,024",331,161,312,137,116,86,114,36,87,66,46,9,3
2020,12,40,"3,543","1,603",521,180,324,154,181,115,139,68,103,69,75,7,4
2020,12,50,"5,809","1,874",656,425,670,406,349,271,291,149,241,247,179,30,21
2020,12,60,"7,163","1,879",716,604,828,559,487,390,458,219,358,310,263,54,38
2020,12,70,"5,342","1,399",447,377,483,388,390,322,430,206,303,325,214,29,29
2020,12,80,"3,412",800,306,279,267,231,257,196,295,134,244,208,144,34,17
2020,12,90,613,128,65,67,70,51,52,18,46,24,30,29,26,3,4
2020,12,100,26,12,0,2,1,1,2,0,2,0,4,1,1,0,0
2021,1,총,"34,581","11,533","3,931","2,432","3,513","2,200","2,128","1,555","1,982",946,"1,602","1,395","1,055",186,123
2021,1,0,"1,576",684,252,97,149,79,78,28,59,29,62,30,23,3,3
2021,1,10,"2,240","1,094",327,101,196,83,106,57,68,40,71,52,37,6,2
2021,1,20,"2,290","1,017",307,131,206,111,104,75,82,40,94,62,47,10,4
2021,1,30,"2,530","1,028",326,160,309,134,121,87,116,38,86,68,44,10,3
2021,1,40,"3,545","1,605",523,181,328,153,181,112,139,66,102,68,77,7,3
2021,1,50,"5,801","1,881",657,425,667,407,345,269,291,145,244,241,178,31,20
2021,1,60,"7,199","1,894",722,605,830,562,491,393,454,224,360,314,260,53,37
2021,1,70,"5,323","1,380",447,378,491,392,386,319,423,202,306,320,219,29,31
2021,1,80,"3,431",812,302,284,267,226,259,199,302,138,242,209,143,33,15
2021,1,90,618,126,68,68,69,52,54,15,46,24,31,30,26,4,5
2021,1,100,28,12,0,2,1,1,3,1,2,0,4,1,1,0,0
2021,2,총,"34,581","11,515","3,945","2,433","3,505","2,207","2,130","1,552","1,972",946,"1,610","1,394","1,060",190,122
2021,2,0,"1,561",674,253,96,148,77,79,27,56,29,63,30,22,4,3
2021,2,10,"2,245","1,096",327,103,195,82,105,57,69,39,69,53,41,7,2
2021,2,20,"2,261",997,312,127,195,110,104,74,80,39,95,62,50,12,4
2021,2,30,"2,539","1,042",332,161,305,136,118,86,112,38,86,66,45,9,3
2021,2,40,"3,541","1,591",523,179,323,156,183,113,142,67,106,68,79,8,3
2021,2,50,"5,773","1,858",649,427,672,408,346,266,284,144,249,239,180,31,20
2021,2,60,"7,247","1,922",728,607,833,559,492,397,459,227,359,320,256,53,35
2021,2,70,"5,305","1,369",451,377,492,396,386,318,417,201,304,314,219,29,32
2021,2,80,"3,451",824,305,284,270,228,259,197,305,138,242,211,140,33,15
2021,2,90,630,130,65,70,71,54,55,16,46,24,33,30,27,4,5
2021,2,100,28,12,0,2,1,1,3,1,2,0,4,1,1,0,0
2021,3,총,"34,489","11,442","3,955","2,439","3,500","2,212","2,123","1,540","1,954",947,"1,610","1,391","1,060",192,124
2021,3,0,"1,559",668,258,93,145,76,78,30,59,30,63,30,22,4,3
2021,3,10,"2,232","1,092",327,109,194,80,100,56,68,38,68,54,37,7,2
2021,3,20,"2,247",984,311,130,194,113,108,66,80,38,94,60,52,13,4
2021,3,30,"2,534","1,030",336,164,303,133,116,87,111,39,90,66,46,10,3
2021,3,40,"3,511","1,579",525,177,321,161,179,111,139,65,102,67,74,8,3
2021,3,50,"5,728","1,839",642,420,671,404,344,263,285,146,244,235,183,31,21
2021,3,60,"7,296","1,934",732,613,844,564,492,397,455,226,366,323,261,53,36
2021,3,70,"5,279","1,361",456,376,492,395,386,315,405,202,304,312,216,27,32
2021,3,80,"3,447",824,302,286,264,229,262,197,305,137,242,212,139,33,15
2021,3,90,642,128,66,71,72,56,54,17,46,26,35,31,29,6,5
2021,3,100,14,3,0,0,0,1,4,1,1,0,2,1,1,0,0
2021,4,총,"34,532","11,419","3,977","2,444","3,504","2,225","2,138","1,544","1,953",952,"1,607","1,389","1,065",191,124
2021,4,0,"1,557",669,262,91,144,74,78,31,56,33,60,30,22,4,3
2021,4,10,"2,220","1,077",328,106,194,82,103,56,70,37,69,51,38,7,2
2021,4,20,"2,252",988,313,135,201,112,104,64,77,36,91,64,49,14,4
2021,4,30,"2,512","1,014",331,160,297,134,120,86,114,40,90,64,49,10,3
2021,4,40,"3,510","1,568",537,177,325,160,180,113,137,64,101,67,71,7,3
2021,4,50,"5,724","1,834",639,417,667,404,348,263,287,148,243,236,188,30,20
2021,4,60,"7,368","1,947",745,623,849,577,499,402,455,227,370,325,261,52,36
2021,4,70,"5,268","1,365",454,374,490,396,384,311,403,202,299,312,217,28,33
2021,4,80,"3,469",832,304,288,266,231,263,199,306,139,246,207,140,33,15
2021,4,90,638,122,64,73,71,54,55,18,47,26,36,32,29,6,5
2021,4,100,14,3,0,0,0,1,4,1,1,0,2,1,1,0,0
2021,5,총,"34,586","11,471","3,965","2,439","3,510","2,227","2,137","1,541","1,946",953,"1,612","1,397","1,074",191,123
2021,5,0,"1,563",677,262,88,147,74,77,30,54,32,60,31,24,4,3
2021,5,10,"2,211","1,084",330,104,193,81,102,51,66,38,65,49,39,7,2
2021,5,20,"2,260","1,000",304,137,198,112,102,68,78,37,90,64,52,14,4
2021,5,30,"2,512","1,020",328,157,299,135,122,83,111,41,91,64,48,10,3
2021,5,40,"3,500","1,562",536,176,322,157,178,112,138,65,103,66,75,7,3
2021,5,50,"5,725","1,836",635,411,671,405,345,263,287,147,245,240,189,30,21
2021,5,60,"7,406","1,959",748,631,854,580,501,404,457,224,371,327,263,52,35
2021,5,70,"5,262","1,370",448,374,487,399,383,311,398,202,304,309,216,28,33
2021,5,80,"3,488",838,307,289,265,230,268,198,310,141,244,214,137,33,14
2021,5,90,646,122,67,72,74,54,55,20,46,26,37,32,30,6,5
2021,5,100,13,3,0,0,0,0,4,1,1,0,2,1,1,0,0
2021,6,총,"34,641","11,503","3,975","2,440","3,509","2,225","2,148","1,543","1,947",953,"1,615","1,395","1,074",191,123
2021,6,0,"1,568",683,262,88,145,73,75,30,56,34,61,31,23,4,3
2021,6,10,"2,215","1,085",332,104,191,83,102,51,66,38,66,49,39,7,2
2021,6,20,"2,246",999,299,136,196,110,108,66,77,38,87,62,51,14,3
2021,6,30,"2,525","1,028",332,155,301,134,121,85,113,41,90,65,47,10,3
2021,6,40,"3,514","1,568",539,178,323,156,179,110,138,65,105,66,77,7,3
2021,6,50,"5,681","1,818",642,405,669,404,344,260,281,142,248,232,185,29,22
2021,6,60,"7,467","1,977",752,639,857,581,507,410,459,228,367,334,268,53,35
2021,6,70,"5,269","1,378",448,373,484,397,382,310,401,201,308,311,215,28,33
2021,6,80,"3,494",844,302,289,268,230,272,200,307,140,244,212,139,33,14
2021,6,90,649,120,67,73,75,57,54,20,48,26,37,32,29,6,5
2021,6,100,13,3,0,0,0,0,4,1,1,0,2,1,1,0,0
2021,7,총,"34,645","11,473","3,990","2,442","3,525","2,224","2,146","1,551","1,952",946,"1,619","1,390","1,073",191,123
2021,7,0,"1,569",677,264,90,148,74,72,32,59,30,61,29,25,4,4
2021,7,10,"2,212","1,083",327,105,190,85,101,50,65,41,68,50,38,7,2
2021,7,20,"2,228",987,295,140,195,107,109,69,77,37,86,61,49,13,3
2021,7,30,"2,520","1,017",335,155,304,134,117,89,112,37,93,65,49,10,3
2021,7,40,"3,508","1,564",538,178,325,159,180,109,136,64,105,66,74,7,3
2021,7,50,"5,641","1,808",644,397,665,394,343,258,282,141,247,231,182,29,20
2021,7,60,"7,520","1,991",764,638,863,583,511,414,465,230,369,332,272,52,36
2021,7,70,"5,277","1,372",456,372,489,399,383,309,402,198,308,311,215,30,33
2021,7,80,"3,501",850,300,295,269,229,271,199,307,142,244,212,137,32,14
2021,7,90,656,121,67,72,77,60,55,21,46,26,36,32,31,7,5
2021,7,100,13,3,0,0,0,0,4,1,1,0,2,1,1,0,0
2021,8,총,"34,645","11,458","4,012","2,435","3,544","2,223","2,147","1,546","1,965",941,"1,616","1,387","1,063",189,119
2021,8,0,"1,563",672,267,87,151,72,72,30,59,31,62,29,24,4,3
2021,8,10,"2,217","1,080",333,104,193,87,103,51,67,39,66,50,36,7,1
2021,8,20,"2,201",971,298,135,196,105,105,67,81,38,85,57,49,10,4
2021,8,30,"2,502","1,011",333,153,303,136,116,88,112,36,90,64,48,10,2
2021,8,40,"3,519","1,569",540,177,331,159,183,109,135,62,108,65,71,7,3
2021,8,50,"5,628","1,809",646,397,666,391,341,256,286,140,244,229,176,28,19
2021,8,60,"7,545","1,992",772,644,867,583,507,414,466,230,372,335,273,54,36
2021,8,70,"5,273","1,374",454,373,487,398,390,309,403,195,310,307,213,28,32
2021,8,80,"3,523",853,301,292,274,232,272,198,309,144,243,216,141,34,14
2021,8,90,660,124,68,73,76,59,54,23,46,26,34,34,31,7,5
2021,8,100,14,3,0,0,0,1,4,1,1,0,2,1,1,0,0
2021,9,총,"34,642","11,461","4,022","2,427","3,544","2,228","2,138","1,546","1,964",938,"1,623","1,387","1,058",187,119
2021,9,0,"1,552",666,266,86,153,71,73,30,57,31,60,29,23,4,3
2021,9,10,"2,211","1,075",332,104,196,88,101,52,68,38,66,49,34,7,1
2021,9,20,"2,178",970,298,132,189,106,102,64,77,37,85,57,48,9,4
2021,9,30,"2,492","1,010",331,146,299,133,115,90,113,38,92,64,49,10,2
2021,9,40,"3,508","1,567",542,180,328,160,179,107,134,63,106,63,69,7,3
2021,9,50,"5,633","1,819",651,390,667,395,342,254,290,139,242,227,171,27,19
2021,9,60,"7,584","2,004",768,651,875,583,508,418,464,226,378,342,277,54,36
2021,9,70,"5,255","1,360",457,370,485,399,386,309,403,197,314,305,211,27,32
2021,9,80,"3,555",864,309,295,275,233,275,197,312,143,243,216,144,35,14
2021,9,90,661,123,68,73,77,59,54,24,45,26,35,34,31,7,5
2021,9,100,13,3,0,0,0,1,3,1,1,0,2,1,1,0,0
2021,10,총,"34,653","11,473","4,023","2,430","3,540","2,234","2,130","1,550","1,954",944,"1,629","1,392","1,050",185,119
2021,10,0,"1,534",659,265,85,148,71,71,29,57,32,59,29,22,4,3
2021,10,10,"2,218","1,081",333,104,194,88,104,51,68,38,67,50,33,7,0
2021,10,20,"2,174",973,293,131,191,105,98,69,72,40,84,57,48,9,4
2021,10,30,"2,489","1,008",334,149,292,135,110,93,113,38,93,65,47,10,2
2021,10,40,"3,499","1,565",541,180,327,158,175,107,132,65,108,63,68,7,3
2021,10,50,"5,635","1,831",645,387,670,395,342,254,290,137,245,227,166,27,19
2021,10,60,"7,624","2,004",778,656,883,590,511,418,463,227,382,342,280,53,37
2021,10,70,"5,240","1,363",458,369,482,401,382,305,399,197,309,307,209,27,32
2021,10,80,"3,560",860,308,296,278,231,280,198,311,145,244,217,144,34,14
2021,10,90,666,126,68,73,75,58,54,25,48,25,36,34,32,7,5
2021,10,100,14,3,0,0,0,2,3,1,1,0,2,1,1,0,0
2021,11,총,"34,720","11,493","4,023","2,441","3,551","2,236","2,123","1,554","1,960",949,"1,640","1,389","1,057",186,118
2021,11,0,"1,531",657,262,85,146,73,69,30,60,31,59,28,24,4,3
2021,11,10,"2,216","1,080",335,104,194,85,105,52,66,39,67,51,31,7,0
2021,11,20,"2,179",971,291,133,196,103,96,73,74,39,86,56,49,8,4
2021,11,30,"2,477","1,016",326,143,287,135,112,94,113,40,88,63,47,11,2
2021,11,40,"3,517","1,572",536,185,327,157,176,105,136,70,111,65,67,7,3
2021,11,50,"5,664","1,837",653,388,671,397,341,252,290,138,255,225,169,29,19
2021,11,60,"7,647","2,007",781,663,892,591,514,418,465,226,383,339,284,50,34
2021,11,70,"5,228","1,354",461,370,484,401,377,302,397,197,308,309,207,28,33
2021,11,80,"3,571",866,311,295,279,231,275,199,311,144,245,218,147,35,15
2021,11,90,676,130,67,75,75,60,55,28,47,25,36,34,32,7,5
2021,11,100,14,3,0,0,0,3,3,1,1,0,2,1,0,0,0
2021,12,총,"34,825","11,530","4,002","2,456","3,582","2,249","2,140","1,561","1,969",953,"1,646","1,381","1,053",186,117
2021,12,0,"1,524",655,257,86,147,75,69,29,59,31,59,28,22,4,3
2021,12,10,"2,224","1,089",329,106,197,84,106,54,66,39,67,51,29,7,0
2021,12,20,"2,181",970,286,133,200,109,97,73,72,39,87,55,49,7,4
2021,12,30,"2,502","1,027",324,148,296,134,114,94,113,43,89,59,47,12,2
2021,12,40,"3,529","1,575",530,191,327,161,179,104,139,70,110,66,67,7,3
2021,12,50,"5,688","1,847",647,385,679,401,335,256,295,139,261,224,171,29,19
2021,12,60,"7,690","2,011",789,669,903,595,526,420,463,229,380,338,284,50,33
2021,12,70,"5,206","1,348",458,373,482,399,373,303,398,193,305,307,206,28,33
2021,12,80,"3,588",868,313,290,279,232,279,199,318,144,251,217,148,35,15
2021,12,90,680,137,69,74,72,56,59,29,46,26,35,35,30,7,5
2021,12,100,13,3,0,1,0,3,3,0,0,0,2,1,0,0,0
