년도,월,나이,세종특별자치시,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면,한솔동,새롬동,도담동,아름동,종촌동,고운동,소담동,보람동,대평동,다정동,해밀동,반곡동
2020,3,60,"14,108","2,590",209,309,494,811,487,622,442,374,193,569,"1,489",960,571,981,"1,154",831,628,394,,,
2020,3,70,"7,444","1,713",145,228,370,611,299,501,391,264,155,253,457,456,236,412,384,260,205,104,,,
2020,3,80,"4,582",909,113,212,237,436,241,336,297,216,128,148,242,284,115,217,131,142,108,70,,,
2020,3,90,845,156,19,46,28,73,35,53,69,37,18,20,53,57,31,33,35,39,25,18,,,
2020,3,100,47,11,2,3,1,6,2,4,5,5,1,2,1,0,1,0,1,1,1,0,,,
2020,4,총,"173,040","20,867","1,139","1,539","2,793","4,117","2,757","3,462","2,739","1,681","1,181","9,910","28,129","16,677","12,034","15,445","17,544","15,684","9,969","5,373",,,
2020,4,0,"23,108","1,633",41,54,183,158,100,206,109,50,57,"1,350","4,450","2,119","1,871","2,452","3,095","2,751","1,638",791,,,
2020,4,10,"20,337","2,079",52,63,171,198,151,202,179,62,93,"1,687","3,453","2,254","2,052","2,083","2,266","1,589","1,202",501,,,
2020,4,20,"17,964","2,791",124,119,256,354,354,313,252,133,113,839,"3,307","2,052",858,"1,431","1,363","1,639","1,013",653,,,
2020,4,30,"31,435","2,468",97,124,253,333,245,283,211,97,79,"1,500","6,383","3,135","2,084","3,176","3,746","3,884","2,140","1,197",,,
2020,4,40,"32,183","3,260",113,132,340,385,289,367,298,143,146,"2,360","5,435","3,542","3,036","3,111","3,612","2,821","1,896",897,,,
2020,4,50,"20,862","3,221",226,246,464,741,542,573,482,299,195,"1,181","2,866","1,804","1,173","1,549","1,731","1,714","1,106",749,,,
2020,4,60,"14,189","2,611",207,313,492,821,497,626,441,376,192,565,"1,491",963,579,977,"1,172",838,637,391,,,
2020,4,70,"7,447","1,717",146,227,363,612,299,496,391,263,155,256,450,464,237,409,391,266,201,104,,,
2020,4,80,"4,606",914,113,212,241,435,243,337,302,215,132,149,240,285,112,225,131,141,110,69,,,
2020,4,90,862,162,18,46,29,74,35,55,69,38,18,21,53,59,31,32,36,40,25,21,,,
2020,4,100,47,11,2,3,1,6,2,4,5,5,1,2,1,0,1,0,1,1,1,0,,,
2020,5,총,"173,104","20,854","1,149","1,538","2,781","4,118","2,763","3,452","2,723","1,678","1,176","9,886","28,146","16,701","12,033","15,446","17,614","15,725","9,963","5,358",,,
2020,5,0,"23,013","1,625",43,55,179,153,99,200,103,49,56,"1,342","4,430","2,106","1,859","2,441","3,094","2,746","1,636",797,,,
2020,5,10,"20,389","2,068",53,62,168,198,146,199,180,64,92,"1,680","3,494","2,255","2,057","2,091","2,271","1,606","1,201",504,,,
2020,5,20,"17,923","2,797",128,118,253,358,352,311,246,127,113,843,"3,282","2,080",859,"1,418","1,368","1,622","1,011",637,,,
2020,5,30,"31,363","2,460",99,127,251,330,252,284,207,98,77,"1,483","6,373","3,141","2,079","3,151","3,748","3,885","2,129","1,189",,,
2020,5,40,"32,281","3,262",113,132,340,379,296,361,297,143,143,"2,364","5,462","3,530","3,049","3,142","3,631","2,833","1,903",901,,,
2020,5,50,"20,879","3,210",228,243,464,732,537,566,480,298,198,"1,190","2,868","1,810","1,169","1,553","1,756","1,727","1,106",744,,,
2020,5,60,"14,248","2,613",205,318,490,834,495,634,441,377,193,560,"1,493",975,581,978,"1,179",850,636,396,,,
2020,5,70,"7,478","1,724",143,225,366,612,306,500,393,264,152,255,448,463,234,416,399,270,206,102,,,
2020,5,80,"4,611",918,114,209,239,439,242,335,304,215,133,146,242,282,113,224,134,144,108,70,,,
2020,5,90,873,166,21,46,30,77,36,58,67,38,19,21,53,59,32,32,33,41,26,18,,,
2020,5,100,46,11,2,3,1,6,2,4,5,5,0,2,1,0,1,0,1,1,1,0,,,
2020,6,총,"173,107","20,750","1,148","1,532","2,773","4,114","2,774","3,435","2,698","1,663","1,174","9,876","28,269","16,706","12,046","15,420","17,642","15,747","9,946","5,394",,,
2020,6,0,"22,942","1,613",43,54,174,154,99,194,102,46,53,"1,345","4,452","2,096","1,849","2,425","3,082","2,746","1,612",803,,,
2020,6,10,"20,478","2,066",52,62,168,200,151,201,180,64,96,"1,664","3,525","2,266","2,070","2,092","2,282","1,619","1,213",507,,,
2020,6,20,"17,818","2,761",134,115,247,357,348,311,235,125,113,844,"3,280","2,077",857,"1,398","1,366","1,598","1,015",637,,,
2020,6,30,"31,289","2,451",98,126,253,325,252,271,205,94,78,"1,485","6,379","3,136","2,084","3,133","3,731","3,878","2,111","1,199",,,
2020,6,40,"32,367","3,252",111,128,344,375,301,361,293,139,142,"2,355","5,507","3,542","3,059","3,138","3,664","2,846","1,908",902,,,
2020,6,50,"20,850","3,167",226,245,459,725,538,560,475,291,197,"1,191","2,865","1,804","1,169","1,560","1,760","1,749","1,112",757,,,
2020,6,60,"14,318","2,607",205,317,494,838,498,638,444,382,191,566,"1,510",977,583,"1,004","1,183",851,635,395,,,
2020,6,70,"7,528","1,742",142,226,363,615,306,502,390,264,154,262,458,470,231,412,407,272,210,102,,,
2020,6,80,"4,587",912,114,211,240,443,242,336,302,212,129,140,238,277,113,223,131,146,104,74,,,
2020,6,90,884,168,21,45,30,76,37,57,67,41,21,22,54,61,31,35,34,41,25,18,,,
2020,6,100,46,11,2,3,1,6,2,4,5,5,0,2,1,0,0,0,2,1,1,0,,,
2020,7,총,"173,557","20,780","1,144","1,529","2,776","4,141","2,797","3,412","2,681","1,665","1,171","9,896","28,420","16,750","12,055","15,445","17,671","15,802","9,967","5,455",,,
2020,7,0,"22,932","1,611",46,52,170,160,103,186,100,44,52,"1,338","4,482","2,093","1,837","2,422","3,062","2,762","1,618",794,,,
2020,7,10,"20,561","2,072",49,63,171,203,144,200,177,67,97,"1,672","3,548","2,266","2,069","2,109","2,303","1,612","1,226",513,,,
2020,7,20,"17,866","2,774",138,114,249,351,358,317,235,122,112,848,"3,305","2,079",854,"1,388","1,370","1,615",999,638,,,
2020,7,30,"31,196","2,451",96,122,255,342,256,259,202,97,76,"1,480","6,384","3,146","2,069","3,109","3,690","3,874","2,090","1,198",,,
2020,7,40,"32,559","3,245",111,133,345,380,301,357,286,137,141,"2,360","5,560","3,543","3,083","3,153","3,700","2,868","1,935",921,,,
2020,7,50,"20,931","3,168",218,241,460,728,547,557,473,292,199,"1,198","2,868","1,816","1,175","1,575","1,769","1,744","1,118",785,,,
2020,7,60,"14,421","2,625",209,317,491,834,499,636,447,383,188,571,"1,522",989,592,"1,009","1,192",870,644,403,,,
2020,7,70,"7,573","1,744",143,226,363,615,310,504,389,263,157,263,458,476,234,424,413,276,207,108,,,
2020,7,80,"4,584",913,110,214,241,443,239,336,301,211,129,142,238,278,111,221,134,141,106,76,,,
2020,7,90,890,166,22,44,30,79,38,57,66,44,20,22,54,64,31,35,36,39,24,19,,,
2020,7,100,44,11,2,3,1,6,2,3,5,5,0,2,1,0,0,0,2,1,0,0,,,
2020,8,총,"174,049","20,810","1,158","1,532","2,783","4,154","2,835","3,414","2,685","1,661","1,165","9,912","15,221","16,836","12,069","15,400","17,710","15,837","9,971","5,498","13,398",,
2020,8,0,"22,911","1,618",46,51,169,164,106,180,100,45,51,"1,337","2,126","2,068","1,814","2,402","3,071","2,761","1,606",799,"2,397",,
2020,8,10,"20,639","2,068",49,60,169,204,143,200,172,61,95,"1,683","1,954","2,273","2,079","2,099","2,304","1,630","1,244",510,"1,642",,
2020,8,20,"17,879","2,758",142,119,248,353,372,316,238,122,112,832,"2,063","2,131",858,"1,383","1,362","1,609",983,654,"1,224",,
2020,8,30,"31,162","2,476",100,125,257,337,258,255,204,99,75,"1,488","3,234","3,150","2,038","3,082","3,677","3,874","2,087","1,182","3,164",,
2020,8,40,"32,713","3,242",109,129,342,384,306,358,286,135,139,"2,363","3,001","3,566","3,106","3,149","3,718","2,884","1,943",935,"2,618",,
2020,8,50,"21,031","3,163",220,243,464,727,556,554,474,293,199,"1,197","1,578","1,832","1,197","1,583","1,782","1,741","1,116",797,"1,315",,
2020,8,60,"14,543","2,648",213,317,495,835,501,649,450,383,189,574,814,992,601,"1,023","1,202",873,649,407,728,,
2020,8,70,"7,602","1,740",145,228,363,616,312,506,385,262,157,273,276,476,236,421,417,284,209,115,181,,
2020,8,80,"4,622",921,110,211,246,445,240,337,305,213,129,140,141,283,111,219,138,141,109,78,105,,
2020,8,90,902,164,22,46,29,83,39,56,66,43,19,23,34,65,29,39,37,39,25,21,23,,
2020,8,100,45,12,2,3,1,6,2,3,5,5,0,2,0,0,0,0,2,1,0,0,1,,
2020,9,총,"174,401","20,820","1,169","1,523","2,778","4,157","2,860","3,426","2,680","1,661","1,154","9,891","15,281","16,998","12,084","15,370","17,726","15,856","9,991","5,519","13,457",,
2020,9,0,"22,822","1,604",46,50,171,160,107,179,97,45,49,"1,326","2,122","2,075","1,815","2,386","3,054","2,745","1,607",785,"2,399",,
2020,9,10,"20,713","2,070",49,62,165,199,146,202,173,61,95,"1,675","1,966","2,291","2,076","2,093","2,313","1,643","1,252",523,"1,659",,
2020,9,20,"17,902","2,752",146,118,246,355,371,314,237,121,113,835,"2,066","2,168",860,"1,386","1,373","1,594",986,653,"1,208",,
2020,9,30,"31,112","2,478",107,124,261,340,270,259,202,98,73,"1,467","3,244","3,163","2,027","3,048","3,669","3,872","2,076","1,171","3,163",,
2020,9,40,"32,825","3,241",108,126,329,385,310,362,283,134,138,"2,354","3,018","3,602","3,122","3,159","3,714","2,901","1,944",945,"2,650",,
2020,9,50,"21,162","3,167",218,242,467,729,564,540,482,290,195,"1,209","1,591","1,851","1,203","1,595","1,801","1,757","1,123",817,"1,321",,
2020,9,60,"14,650","2,659",220,313,498,838,503,663,448,388,186,586,821,"1,011",604,"1,022","1,205",876,657,411,741,,
2020,9,70,"7,629","1,744",144,227,359,614,309,510,385,263,156,273,275,484,238,423,421,292,212,114,186,,
2020,9,80,"4,627",926,107,211,252,448,240,336,302,213,130,139,142,285,111,222,139,136,106,78,104,,
2020,9,90,916,167,22,47,29,85,38,58,66,43,19,25,36,68,28,36,37,37,28,22,25,,
2020,9,100,43,12,2,3,1,4,2,3,5,5,0,2,0,0,0,0,0,3,0,0,1,,
2020,10,총,"175,872","20,831","1,171","1,516","2,776","4,164","2,864","3,420","2,673","1,648","1,156","9,839","15,278","18,868","11,984","15,300","17,646","15,857","9,935","5,499","13,447",,
2020,10,0,"22,947","1,583",44,46,172,165,104,174,96,45,47,"1,297","2,103","2,462","1,768","2,352","3,020","2,716","1,586",784,"2,383",,
2020,10,10,"20,928","2,068",48,63,165,203,143,205,176,60,96,"1,671","1,987","2,483","2,071","2,103","2,302","1,667","1,241",511,"1,665",,
2020,10,20,"18,084","2,773",150,116,249,359,383,311,236,120,114,838,"2,043","2,342",861,"1,400","1,361","1,584",982,652,"1,210",,
2020,10,30,"31,250","2,468",105,121,265,333,270,265,205,93,73,"1,458","3,208","3,604","1,990","2,982","3,636","3,839","2,043","1,159","3,133",,
2020,10,40,"33,121","3,233",108,123,323,386,309,361,279,134,140,"2,337","3,023","3,939","3,104","3,145","3,713","2,929","1,948",935,"2,652",,
2020,10,50,"21,385","3,170",218,246,459,730,558,534,474,294,196,"1,205","1,609","2,034","1,212","1,606","1,784","1,768","1,127",827,"1,334",,
2020,10,60,"14,838","2,671",224,314,508,837,509,664,450,380,187,598,842,"1,102",605,"1,033","1,224",873,657,415,745,,
2020,10,70,"7,706","1,751",143,226,356,613,309,511,387,262,155,271,282,526,239,427,426,299,214,115,194,,
2020,10,80,"4,650",935,107,211,249,445,240,335,300,211,128,138,144,305,107,219,143,141,109,79,104,,
2020,10,90,920,167,22,47,29,89,37,57,65,44,20,24,37,71,27,33,37,38,28,22,26,,
2020,10,100,43,12,2,3,1,4,2,3,5,5,0,2,0,0,0,0,0,3,0,0,1,,
2020,11,총,"177,094","20,799","1,190","1,510","2,783","4,207","2,883","3,404","2,665","1,642","1,154","9,797","15,197","20,075","11,898","15,247","17,586","16,115","9,901","5,512","13,529",,
2020,11,0,"23,029","1,565",44,45,163,169,103,165,94,45,46,"1,288","2,075","2,698","1,726","2,326","2,985","2,754","1,582",771,"2,385",,
2020,11,10,"21,099","2,058",55,64,170,204,140,204,174,58,95,"1,671","1,989","2,577","2,082","2,102","2,316","1,705","1,231",527,"1,677",,
2020,11,20,"18,189","2,786",151,113,246,367,384,310,229,122,113,845,"2,018","2,429",864,"1,397","1,358","1,601",977,649,"1,230",,
2020,11,30,"31,372","2,452",109,119,270,342,280,264,205,94,75,"1,421","3,171","3,936","1,930","2,927","3,586","3,894","2,021","1,153","3,123",,
2020,11,40,"33,393","3,219",110,127,322,393,305,363,280,129,141,"2,328","3,028","4,167","3,101","3,144","3,709","2,970","1,937",949,"2,671",,
2020,11,50,"21,586","3,165",223,247,461,727,560,526,466,295,193,"1,212","1,608","2,167","1,219","1,599","1,789","1,807","1,138",830,"1,354",,
2020,11,60,"15,047","2,694",224,310,515,855,515,662,457,378,190,597,842,"1,164",607,"1,068","1,236",894,662,416,761,,
2020,11,70,"7,738","1,743",144,224,353,614,311,517,386,263,152,271,284,547,238,432,427,301,219,113,199,,
2020,11,80,"4,682",944,104,214,250,444,245,335,303,209,128,138,142,320,105,220,144,147,105,80,105,,
2020,11,90,918,162,24,44,32,88,38,55,66,44,21,24,40,70,26,32,36,39,29,24,24,,
2020,11,100,41,11,2,3,1,4,2,3,5,5,0,2,0,0,0,0,0,3,0,0,0,,
2020,12,총,"178,263","20,806","1,198","1,513","2,812","4,210","2,866","3,407","2,662","1,629","1,143","9,786","15,160","20,363","11,885","15,229","17,608","16,452","9,883","5,518","14,133",,
2020,12,0,"23,095","1,561",41,48,166,171,100,161,94,43,43,"1,275","2,080","2,731","1,711","2,323","2,975","2,815","1,572",765,"2,420",,
2020,12,10,"21,258","2,051",54,63,170,206,144,200,172,56,97,"1,662","1,999","2,630","2,076","2,119","2,338","1,755","1,238",527,"1,701",,
2020,12,20,"18,403","2,813",156,112,255,369,374,313,230,119,110,841,"2,003","2,441",875,"1,411","1,353","1,612",981,648,"1,387",,
2020,12,30,"31,488","2,455",108,119,281,355,276,269,206,92,72,"1,413","3,145","3,984","1,912","2,891","3,564","3,968","2,003","1,150","3,225",,
2020,12,40,"33,643","3,209",118,126,321,395,302,362,278,133,135,"2,330","3,045","4,251","3,098","3,144","3,723","3,053","1,931",952,"2,737",,
2020,12,50,"21,711","3,147",220,247,462,726,560,528,460,290,193,"1,222","1,587","2,191","1,228","1,599","1,802","1,849","1,128",840,"1,432",,
2020,12,60,"15,204","2,705",230,309,517,846,519,661,461,376,192,607,841,"1,193",613,"1,053","1,242",903,673,418,845,,
2020,12,70,"7,790","1,751",142,225,355,607,304,517,385,264,150,272,281,550,238,433,429,309,220,114,244,,
2020,12,80,"4,694",938,103,214,251,440,246,339,303,209,130,136,139,323,107,225,145,143,109,80,114,,
2020,12,90,937,165,24,47,33,91,39,54,68,43,21,26,40,69,27,31,37,42,28,24,28,,
2020,12,100,40,11,2,3,1,4,2,3,5,4,0,2,0,0,0,0,0,3,0,0,0,,
2021,1,총,"179,215","20,839","1,198","1,519","2,800","4,214","2,876","3,403","2,659","1,629","1,146","9,774","15,263","20,741","11,882","15,197","17,583","16,673","9,870","5,626","14,323",,
2021,1,0,"23,040","1,557",43,47,156,169,98,167,91,41,44,"1,256","2,079","2,797","1,693","2,290","2,945","2,832","1,555",770,"2,410",,
2021,1,10,"21,466","2,050",53,62,170,211,147,199,170,54,96,"1,666","2,034","2,684","2,072","2,129","2,357","1,805","1,243",543,"1,721",,
2021,1,20,"18,535","2,816",150,110,258,373,369,307,229,128,110,853,"2,017","2,490",884,"1,407","1,346","1,601",978,673,"1,436",,
2021,1,30,"31,485","2,462",109,121,273,362,280,268,202,89,70,"1,400","3,142","4,032","1,893","2,885","3,531","3,992","1,978","1,156","3,240",,
2021,1,40,"33,978","3,204",123,130,327,391,305,361,277,130,141,"2,326","3,085","4,356","3,101","3,133","3,722","3,148","1,951",977,"2,790",,
2021,1,50,"21,773","3,144",218,245,448,726,562,521,454,286,190,"1,233","1,589","2,220","1,242","1,600","1,809","1,864","1,131",845,"1,446",,
2021,1,60,"15,413","2,720",230,312,523,848,522,668,470,385,190,603,857,"1,213",624,"1,065","1,261",929,676,437,880,,
2021,1,70,"7,809","1,765",142,222,358,598,302,508,383,261,153,277,285,553,236,430,429,309,224,118,256,,
2021,1,80,"4,728",940,102,219,253,442,251,346,309,208,131,133,135,325,110,228,146,146,107,83,114,,
2021,1,90,948,170,26,48,33,90,38,55,69,43,21,25,40,71,27,30,37,44,27,24,30,,
2021,1,100,40,11,2,3,1,4,2,3,5,4,0,2,0,0,0,0,0,3,0,0,0,,
2021,2,총,"180,041","20,890","1,208","1,514","2,791","4,227","2,907","3,398","2,656","1,621","1,145","9,713","15,529","21,036","11,914","15,160","17,588","16,833","9,876","5,636","14,399",,
2021,2,0,"23,069","1,549",44,46,154,170,102,169,89,40,44,"1,239","2,119","2,828","1,684","2,279","2,939","2,835","1,553",769,"2,417",,
2021,2,10,"21,554","2,064",53,64,164,217,155,189,168,55,94,"1,647","2,081","2,713","2,070","2,119","2,357","1,832","1,235",542,"1,735",,
2021,2,20,"18,520","2,801",148,110,258,374,371,305,230,127,111,831,"2,017","2,544",905,"1,389","1,327","1,606",968,671,"1,427",,
2021,2,30,"31,494","2,475",115,123,268,361,295,269,200,86,70,"1,395","3,200","4,053","1,880","2,858","3,502","4,009","1,962","1,146","3,227",,
2021,2,40,"34,344","3,210",121,132,325,391,305,357,278,131,140,"2,335","3,140","4,458","3,108","3,169","3,756","3,207","1,969",980,"2,832",,
2021,2,50,"21,888","3,137",215,235,456,726,563,528,450,283,189,"1,228","1,635","2,231","1,266","1,586","1,817","1,883","1,143",855,"1,462",,
2021,2,60,"15,595","2,749",238,314,523,849,531,672,474,386,190,604,873,"1,243",629,"1,075","1,278",947,688,447,885,,
2021,2,70,"7,794","1,760",142,222,355,600,300,503,382,256,154,268,285,562,234,425,431,311,222,119,263,,
2021,2,80,"4,775",960,104,217,254,441,247,348,309,208,132,137,139,327,112,229,146,153,110,83,119,,
2021,2,90,969,174,26,48,34,94,36,55,71,45,21,27,40,77,26,31,35,47,26,24,32,,
2021,2,100,39,11,2,3,0,4,2,3,5,4,0,2,0,0,0,0,0,3,0,0,0,,
2021,3,총,"180,432","20,824","1,182","1,503","2,800","4,192","2,908","3,382","2,629","1,598","1,127","9,726","15,951","21,114","11,929","15,136","17,568","16,920","9,883","5,652","14,408",,
2021,3,0,"23,109","1,557",47,44,154,168,100,172,88,40,45,"1,227","2,206","2,818","1,674","2,261","2,924","2,858","1,550",769,"2,407",,
2021,3,10,"21,643","2,054",54,62,166,217,158,188,165,56,94,"1,654","2,150","2,721","2,063","2,119","2,348","1,847","1,241",536,"1,750",,
2021,3,20,"18,526","2,783",150,109,253,371,375,305,227,125,109,826,"2,050","2,559",933,"1,375","1,325","1,604",965,689,"1,393",,
2021,3,30,"31,455","2,476",114,123,276,358,303,272,189,89,65,"1,389","3,275","4,035","1,881","2,844","3,458","4,019","1,932","1,143","3,214",,
2021,3,40,"34,390","3,184",115,129,322,381,298,342,274,121,136,"2,339","3,239","4,475","3,094","3,164","3,762","3,210","1,980",974,"2,851",,
2021,3,50,"21,969","3,126",199,234,459,710,556,520,449,280,185,"1,237","1,658","2,264","1,272","1,603","1,824","1,898","1,153",861,"1,481",,
2021,3,60,"15,792","2,774",238,315,526,852,543,672,478,387,189,619,899,"1,257",635,"1,094","1,299",965,702,453,895,,
2021,3,70,"7,763","1,729",134,221,355,597,296,496,377,248,153,266,293,573,242,422,438,315,220,121,267,,
2021,3,80,"4,790",958,104,216,256,439,244,357,310,208,132,140,139,331,110,224,153,157,114,82,116,,
2021,3,90,965,176,26,47,33,96,34,55,67,43,19,27,42,81,25,29,37,44,26,24,34,,
2021,3,100,30,7,1,3,0,3,1,3,5,1,0,2,0,0,0,1,0,3,0,0,0,,
2021,4,총,"180,934","20,803","1,195","1,500","2,785","4,197","2,904","3,371","2,616","1,595","1,132","9,734","16,253","21,139","11,929","15,127","17,585","17,072","9,858","5,683","14,456",,
2021,4,0,"23,101","1,543",49,44,152,169,104,176,89,41,45,"1,219","2,261","2,805","1,661","2,237","2,913","2,874","1,538",775,"2,406",,
2021,4,10,"21,719","2,050",53,63,164,219,158,185,163,54,93,"1,644","2,179","2,742","2,054","2,141","2,354","1,851","1,250",536,"1,766",,
2021,4,20,"18,602","2,780",155,107,249,371,381,301,225,124,111,830,"2,068","2,565",951,"1,362","1,330","1,642",962,691,"1,397",,
2021,4,30,"31,464","2,475",115,122,273,360,305,274,186,87,64,"1,375","3,342","4,024","1,869","2,831","3,440","4,046","1,913","1,150","3,213",,
2021,4,40,"34,478","3,180",118,130,312,386,299,340,269,121,136,"2,346","3,282","4,478","3,088","3,167","3,765","3,236","1,976",985,"2,864",,
2021,4,50,"22,067","3,116",202,229,463,708,549,517,443,280,187,"1,258","1,715","2,267","1,277","1,615","1,844","1,902","1,153",863,"1,479",,
2021,4,60,"15,932","2,779",238,316,530,853,538,672,486,389,193,622,922,"1,274",650,"1,106","1,302",989,705,457,911,,
2021,4,70,"7,741","1,718",134,222,351,585,290,490,377,248,154,267,293,573,242,421,438,324,224,123,267,,
2021,4,80,"4,815",976,102,216,255,446,243,358,307,208,129,143,144,328,111,217,163,160,112,79,118,,
2021,4,90,986,179,28,48,36,97,36,56,66,42,20,28,47,83,26,29,36,45,25,24,35,,
2021,4,100,29,7,1,3,0,3,1,2,5,1,0,2,0,0,0,1,0,3,0,0,0,,
2021,5,총,"181,258","20,785","1,181","1,498","2,770","4,197","2,901","3,369","2,609","1,592","1,125","9,728","16,342","21,203","11,921","15,104","17,581","17,206","9,866","5,685","14,595",,
2021,5,0,"23,019","1,533",48,45,149,166,105,178,89,39,46,"1,211","2,248","2,809","1,656","2,209","2,887","2,877","1,530",776,"2,418",,
2021,5,10,"21,817","2,036",49,63,165,220,159,186,160,55,93,"1,638","2,211","2,747","2,051","2,145","2,375","1,873","1,262",535,"1,794",,
2021,5,20,"18,587","2,784",153,102,240,374,378,297,220,124,109,832,"2,063","2,559",946,"1,348","1,316","1,700",956,683,"1,403",,
2021,5,30,"31,388","2,469",115,119,270,358,300,272,187,87,62,"1,365","3,347","4,031","1,856","2,811","3,429","4,037","1,907","1,152","3,214",,
2021,5,40,"34,551","3,171",112,127,312,390,303,337,267,116,134,"2,339","3,318","4,491","3,073","3,176","3,766","3,246","1,984",988,"2,901",,
2021,5,50,"22,209","3,116",195,236,460,709,553,517,439,280,186,"1,276","1,736","2,290","1,291","1,632","1,843","1,929","1,154",867,"1,500",,
2021,5,60,"16,065","2,792",243,314,533,851,531,670,488,390,192,625,932,"1,287",669,"1,115","1,328","1,003",712,458,932,,
2021,5,70,"7,764","1,718",136,221,346,581,292,494,375,248,150,274,295,577,243,421,437,331,226,123,276,,
2021,5,80,"4,823",975,101,218,258,447,242,354,313,207,134,138,145,327,111,220,161,164,108,79,121,,
2021,5,90,"1,006",184,28,50,37,98,37,62,66,45,19,28,47,85,24,26,39,44,27,24,36,,
2021,5,100,29,7,1,3,0,3,1,2,5,1,0,2,0,0,1,1,0,2,0,0,0,,
