년도,월,나이,성북구,성북동,삼선동,동선동,돈암제1동,돈암제2동,안암동,보문동,정릉제1동,정릉제2동,정릉제3동,정릉제4동,길음제1동,길음제2동,종암동,월곡제1동,월곡제2동,장위제1동,장위제2동,장위제3동,석관동
2020,2,80,"13,556",658,786,427,542,688,439,454,565,763,646,805,790,427,"1,405",775,677,655,539,388,"1,127"
2020,2,90,"1,937",123,103,69,64,106,54,72,74,107,114,123,116,56,222,95,93,84,80,52,130
2020,2,100,366,15,33,18,12,11,13,15,13,17,9,20,26,19,42,24,11,14,27,12,15
2020,3,총,"442,494","17,067","24,390","15,523","15,708","24,830","15,480","16,236","18,937","23,535","15,570","26,145","36,775","17,089","40,064","27,167","20,120","20,367","13,815","17,913","35,763"
2020,3,0,"30,496",849,"1,275",610,893,"2,173",500,"1,014","1,499","1,590",715,"1,828","4,253","1,503","2,873","2,226","1,206","1,021",602,"1,797","2,069"
2020,3,10,"38,896","1,253","2,042","1,059","1,457","2,928","1,001","1,046","1,862","1,979","1,082","2,266","4,873","1,442","3,831","2,671","1,559","1,663",951,"1,539","2,392"
2020,3,20,"66,839","2,789","4,420","4,342","2,151","2,989","4,912","2,866","2,348","3,207","2,986","3,300","3,496","2,164","5,818","3,082","3,561","3,008","1,836","2,304","5,260"
2020,3,30,"61,360","2,543","3,498","2,496","2,049","3,140","2,135","2,738","2,771","3,125","1,929","3,485","5,045","2,609","5,345","3,645","2,811","2,442","1,601","2,898","5,055"
2020,3,40,"71,972","2,654","3,891","2,086","2,333","4,673","1,768","2,509","3,343","3,708","2,042","4,358","8,050","2,994","6,653","4,767","2,961","2,993","2,038","2,843","5,308"
2020,3,50,"69,937","2,760","3,782","1,881","2,796","4,039","2,137","2,605","2,882","3,785","2,383","4,216","4,834","2,721","6,372","4,279","3,057","3,925","2,546","2,849","6,088"
2020,3,60,"53,548","2,009","2,694","1,439","2,139","2,628","1,476","1,846","2,170","3,287","2,155","3,543","3,215","2,048","4,596","3,455","2,579","2,914","2,147","2,094","5,114"
2020,3,70,"33,465","1,408","1,864","1,098","1,263","1,457","1,040","1,069","1,398","1,953","1,497","2,186","2,069","1,104","2,898","2,138","1,602","1,645","1,444","1,134","3,198"
2020,3,80,"13,654",662,786,427,544,683,443,457,577,773,658,821,796,427,"1,410",782,680,663,543,391,"1,131"
2020,3,90,"1,959",126,104,68,70,109,55,71,75,110,114,120,117,58,226,98,93,80,81,51,133
2020,3,100,368,14,34,17,13,11,13,15,12,18,9,22,27,19,42,24,11,13,26,13,15
2020,4,총,"442,174","17,031","24,182","15,533","15,661","24,802","15,487","16,179","18,948","23,548","15,629","26,103","36,708","17,090","40,034","27,139","20,161","20,336","13,898","17,916","35,789"
2020,4,0,"30,342",829,"1,262",598,888,"2,161",491,"1,016","1,497","1,582",716,"1,820","4,215","1,512","2,863","2,221","1,200","1,005",597,"1,797","2,072"
2020,4,10,"38,710","1,256","2,048","1,045","1,445","2,903",986,"1,031","1,850","1,964","1,075","2,271","4,885","1,431","3,810","2,661","1,562","1,644",955,"1,522","2,366"
2020,4,20,"66,901","2,768","4,340","4,339","2,149","2,999","4,960","2,835","2,366","3,224","3,037","3,292","3,482","2,153","5,827","3,066","3,540","3,030","1,875","2,312","5,307"
2020,4,30,"61,363","2,534","3,456","2,510","2,047","3,160","2,112","2,746","2,749","3,142","1,950","3,475","5,035","2,613","5,348","3,649","2,843","2,436","1,627","2,896","5,035"
2020,4,40,"71,636","2,647","3,872","2,075","2,300","4,656","1,771","2,491","3,337","3,703","2,025","4,338","8,020","3,001","6,592","4,731","2,954","2,977","2,031","2,818","5,297"
2020,4,50,"69,943","2,752","3,747","1,896","2,800","4,040","2,136","2,606","2,899","3,773","2,384","4,206","4,843","2,697","6,391","4,292","3,061","3,916","2,552","2,857","6,095"
2020,4,60,"53,707","2,026","2,679","1,455","2,140","2,630","1,476","1,836","2,183","3,295","2,160","3,532","3,217","2,067","4,617","3,474","2,603","2,912","2,160","2,116","5,129"
2020,4,70,"33,494","1,415","1,851","1,096","1,262","1,450","1,033","1,074","1,395","1,959","1,499","2,196","2,070","1,115","2,896","2,129","1,611","1,648","1,452","1,145","3,198"
2020,4,80,"13,742",661,791,435,549,681,452,457,586,775,660,829,799,425,"1,421",793,679,675,544,386,"1,144"
2020,4,90,"1,961",129,101,66,68,111,56,71,74,113,113,122,115,57,227,97,97,80,79,54,131
2020,4,100,375,14,35,18,13,11,14,16,12,18,10,22,27,19,42,26,11,13,26,13,15
2020,5,총,"442,148","17,010","24,088","15,631","15,604","24,770","15,503","16,174","18,936","23,547","15,657","26,034","36,678","17,120","40,020","27,125","20,175","20,328","13,957","17,950","35,841"
2020,5,0,"30,189",823,"1,246",597,880,"2,165",486,"1,011","1,503","1,585",701,"1,805","4,187","1,508","2,842","2,207","1,192",999,597,"1,793","2,062"
2020,5,10,"38,579","1,254","2,029","1,036","1,431","2,876",974,"1,023","1,844","1,948","1,075","2,269","4,895","1,422","3,808","2,661","1,566","1,639",956,"1,517","2,356"
2020,5,20,"67,090","2,769","4,335","4,390","2,132","3,006","5,003","2,825","2,346","3,224","3,068","3,282","3,486","2,168","5,833","3,072","3,572","3,026","1,913","2,315","5,325"
2020,5,30,"61,348","2,529","3,434","2,541","2,035","3,144","2,101","2,747","2,754","3,154","1,939","3,467","5,003","2,587","5,349","3,648","2,827","2,435","1,667","2,915","5,072"
2020,5,40,"71,440","2,651","3,861","2,094","2,284","4,629","1,777","2,504","3,333","3,687","2,025","4,308","8,018","2,998","6,573","4,700","2,941","2,948","2,016","2,817","5,276"
2020,5,50,"69,958","2,739","3,720","1,892","2,791","4,043","2,130","2,593","2,895","3,781","2,395","4,209","4,871","2,726","6,385","4,304","3,072","3,920","2,534","2,862","6,096"
2020,5,60,"53,770","2,018","2,677","1,465","2,145","2,639","1,483","1,849","2,177","3,268","2,162","3,528","3,208","2,071","4,615","3,486","2,606","2,936","2,174","2,123","5,140"
2020,5,70,"33,615","1,416","1,855","1,090","1,271","1,465","1,029","1,083","1,408","1,981","1,498","2,189","2,078","1,132","2,919","2,126","1,615","1,649","1,451","1,152","3,208"
2020,5,80,"13,809",666,796,441,549,674,454,451,592,789,670,834,789,432,"1,423",802,677,679,543,387,"1,161"
2020,5,90,"1,973",131,100,67,73,118,52,72,72,112,114,120,116,57,232,93,96,83,80,56,129
2020,5,100,377,14,35,18,13,11,14,16,12,18,10,23,27,19,41,26,11,14,26,13,16
2020,6,총,"441,812","16,986","24,000","15,673","15,561","24,742","15,489","16,156","18,932","23,526","15,654","25,946","36,603","17,156","40,013","27,107","20,130","20,352","14,036","17,951","35,799"
2020,6,0,"30,057",829,"1,221",584,871,"2,153",484,"1,019","1,506","1,563",696,"1,819","4,156","1,510","2,822","2,191","1,167",998,607,"1,801","2,060"
2020,6,10,"38,439","1,254","2,017","1,033","1,419","2,874",956,"1,023","1,846","1,945","1,058","2,252","4,878","1,427","3,805","2,660","1,542","1,639",962,"1,498","2,351"
2020,6,20,"67,142","2,757","4,314","4,436","2,124","3,008","5,032","2,806","2,335","3,215","3,089","3,273","3,484","2,170","5,834","3,073","3,600","3,023","1,927","2,336","5,306"
2020,6,30,"61,234","2,539","3,415","2,556","2,023","3,127","2,107","2,731","2,750","3,160","1,932","3,454","4,964","2,573","5,333","3,629","2,815","2,452","1,702","2,917","5,055"
2020,6,40,"71,370","2,627","3,825","2,081","2,284","4,621","1,763","2,502","3,335","3,679","2,035","4,302","8,003","3,004","6,603","4,703","2,925","2,955","2,028","2,817","5,278"
2020,6,50,"69,723","2,737","3,730","1,891","2,777","4,038","2,108","2,597","2,884","3,770","2,377","4,186","4,875","2,735","6,357","4,287","3,057","3,886","2,530","2,839","6,062"
2020,6,60,"53,944","2,019","2,672","1,473","2,154","2,647","1,495","1,862","2,179","3,280","2,170","3,519","3,220","2,074","4,632","3,497","2,620","2,959","2,184","2,129","5,159"
2020,6,70,"33,713","1,408","1,869","1,090","1,276","1,474","1,029","1,084","1,412","1,989","1,499","2,171","2,086","1,147","2,932","2,144","1,617","1,663","1,442","1,160","3,221"
2020,6,80,"13,832",667,801,445,548,668,448,446,595,795,673,828,795,439,"1,420",804,682,680,549,387,"1,162"
2020,6,90,"1,983",135,101,67,72,121,53,70,78,112,115,119,117,58,234,93,94,83,78,54,129
2020,6,100,375,14,35,17,13,11,14,16,12,18,10,23,25,19,41,26,11,14,27,13,16
2020,7,총,"441,188","16,952","23,958","15,623","15,486","24,721","15,416","16,166","18,906","23,485","15,618","25,899","36,583","17,194","39,987","27,107","20,127","20,294","13,968","17,903","35,795"
2020,7,0,"29,881",810,"1,214",582,871,"2,127",466,"1,019","1,488","1,534",688,"1,809","4,145","1,514","2,811","2,181","1,172",973,611,"1,803","2,063"
2020,7,10,"38,215","1,251","1,997","1,020","1,410","2,888",929,"1,011","1,855","1,933","1,035","2,228","4,870","1,432","3,780","2,660","1,522","1,624",950,"1,483","2,337"
2020,7,20,"67,068","2,749","4,314","4,423","2,102","3,006","5,044","2,827","2,330","3,229","3,082","3,265","3,481","2,163","5,839","3,078","3,595","3,033","1,903","2,321","5,284"
2020,7,30,"61,044","2,524","3,411","2,536","2,009","3,101","2,101","2,729","2,735","3,149","1,927","3,439","4,939","2,577","5,309","3,602","2,807","2,444","1,716","2,918","5,071"
2020,7,40,"71,199","2,623","3,807","2,086","2,264","4,639","1,757","2,493","3,334","3,670","2,022","4,285","7,999","3,009","6,589","4,686","2,924","2,943","2,004","2,801","5,264"
2020,7,50,"69,650","2,739","3,713","1,891","2,771","4,028","2,095","2,584","2,862","3,771","2,385","4,180","4,896","2,745","6,355","4,296","3,066","3,881","2,505","2,829","6,058"
2020,7,60,"54,114","2,040","2,699","1,458","2,145","2,656","1,488","1,874","2,193","3,283","2,170","3,547","3,227","2,082","4,658","3,505","2,628","2,954","2,188","2,141","5,178"
2020,7,70,"33,759","1,395","1,863","1,092","1,279","1,475","1,019","1,093","1,424","1,998","1,507","2,173","2,077","1,157","2,941","2,168","1,615","1,668","1,438","1,155","3,222"
2020,7,80,"13,889",668,803,445,551,671,448,451,596,785,678,830,807,437,"1,428",815,694,678,547,386,"1,171"
2020,7,90,"1,991",139,102,73,71,119,55,69,77,115,115,120,116,59,234,91,93,81,78,53,131
2020,7,100,378,14,35,17,13,11,14,16,12,18,9,23,26,19,43,25,11,15,28,13,16
2020,8,총,"440,395","16,981","23,863","15,624","15,402","24,675","15,356","16,108","18,886","23,480","15,554","25,813","36,533","17,211","39,949","27,049","20,067","20,312","13,991","17,865","35,676"
2020,8,0,"29,627",807,"1,193",580,856,"2,099",461,"1,008","1,475","1,526",673,"1,785","4,133","1,508","2,779","2,163","1,155",957,623,"1,792","2,054"
2020,8,10,"38,011","1,251","1,977","1,008","1,392","2,867",913,"1,012","1,860","1,914","1,024","2,216","4,855","1,443","3,763","2,657","1,519","1,622",940,"1,465","2,313"
2020,8,20,"67,160","2,781","4,308","4,455","2,095","3,008","5,081","2,810","2,331","3,244","3,079","3,245","3,483","2,162","5,851","3,066","3,610","3,041","1,929","2,331","5,250"
2020,8,30,"60,726","2,508","3,395","2,526","2,002","3,093","2,072","2,701","2,730","3,131","1,912","3,430","4,877","2,565","5,306","3,594","2,774","2,458","1,713","2,893","5,046"
2020,8,40,"70,876","2,609","3,785","2,061","2,226","4,614","1,737","2,473","3,315","3,673","1,999","4,250","7,997","3,003","6,569","4,671","2,909","2,943","2,016","2,790","5,236"
2020,8,50,"69,586","2,751","3,701","1,909","2,767","4,049","2,074","2,597","2,858","3,768","2,394","4,158","4,903","2,751","6,340","4,279","3,060","3,866","2,486","2,839","6,036"
2020,8,60,"54,355","2,058","2,712","1,457","2,144","2,668","1,474","1,882","2,215","3,299","2,162","3,573","3,254","2,095","4,696","3,512","2,630","2,984","2,183","2,152","5,205"
2020,8,70,"33,703","1,389","1,848","1,091","1,280","1,465","1,027","1,091","1,411","2,008","1,505","2,171","2,084","1,160","2,928","2,170","1,614","1,657","1,437","1,142","3,225"
2020,8,80,"13,951",674,804,446,555,683,446,448,602,786,678,838,797,443,"1,437",821,691,685,556,394,"1,167"
2020,8,90,"2,018",139,105,73,72,118,57,70,75,113,119,124,124,62,236,92,94,84,80,53,128
2020,8,100,382,14,35,18,13,11,14,16,14,18,9,23,26,19,44,24,11,15,28,14,16
2020,9,총,"439,719","16,976","23,786","15,624","15,367","24,645","15,304","16,023","18,836","23,516","15,588","25,787","36,498","17,166","39,879","27,003","19,965","20,286","13,964","17,848","35,658"
2020,9,0,"29,428",803,"1,183",572,850,"2,088",460,"1,011","1,454","1,526",671,"1,764","4,078","1,504","2,760","2,151","1,137",946,620,"1,806","2,044"
2020,9,10,"37,769","1,241","1,977",972,"1,369","2,850",891,993,"1,842","1,911","1,018","2,211","4,875","1,429","3,749","2,646","1,512","1,605",933,"1,447","2,298"
2020,9,20,"67,151","2,785","4,287","4,496","2,094","3,019","5,081","2,780","2,327","3,249","3,102","3,244","3,488","2,154","5,855","3,058","3,590","3,041","1,923","2,332","5,246"
2020,9,30,"60,552","2,523","3,370","2,528","1,990","3,072","2,064","2,686","2,718","3,135","1,917","3,412","4,837","2,557","5,281","3,602","2,746","2,461","1,720","2,883","5,050"
2020,9,40,"70,532","2,591","3,761","2,042","2,229","4,595","1,709","2,459","3,312","3,665","1,997","4,233","7,978","2,987","6,514","4,633","2,883","2,931","1,996","2,790","5,227"
2020,9,50,"69,637","2,769","3,690","1,927","2,755","4,043","2,072","2,588","2,848","3,783","2,390","4,168","4,940","2,763","6,369","4,268","3,053","3,866","2,487","2,829","6,029"
2020,9,60,"54,528","2,063","2,724","1,451","2,159","2,696","1,492","1,882","2,224","3,315","2,176","3,590","3,262","2,093","4,694","3,536","2,625","2,993","2,171","2,164","5,218"
2020,9,70,"33,681","1,372","1,847","1,096","1,283","1,464","1,017","1,093","1,413","2,006","1,508","2,169","2,083","1,148","2,934","2,166","1,617","1,650","1,447","1,142","3,226"
2020,9,80,"14,032",677,808,451,552,685,446,447,608,796,682,847,807,450,"1,443",823,696,693,557,388,"1,176"
2020,9,90,"2,029",138,105,71,73,122,58,68,76,112,118,126,124,63,237,96,95,86,82,53,126
2020,9,100,380,14,34,18,13,11,14,16,14,18,9,23,26,18,43,24,11,14,28,14,18
2020,10,총,"438,973","16,951","23,679","15,609","15,347","24,621","15,259","15,920","18,791","23,506","15,560","25,706","36,483","17,153","39,880","26,947","19,974","20,273","13,917","17,748","35,649"
2020,10,0,"29,240",790,"1,172",577,853,"2,067",455,"1,008","1,442","1,511",639,"1,736","4,069","1,496","2,757","2,133","1,132",944,624,"1,800","2,035"
2020,10,10,"37,525","1,223","1,941",962,"1,360","2,858",870,983,"1,832","1,911","1,000","2,197","4,870","1,424","3,719","2,631","1,509","1,598",911,"1,442","2,284"
2020,10,20,"67,046","2,798","4,289","4,463","2,081","3,014","5,090","2,746","2,323","3,236","3,136","3,241","3,487","2,146","5,871","3,036","3,586","3,035","1,918","2,312","5,238"
2020,10,30,"60,373","2,520","3,356","2,528","1,994","3,066","2,047","2,669","2,700","3,142","1,893","3,376","4,811","2,553","5,276","3,600","2,751","2,476","1,731","2,846","5,038"
2020,10,40,"70,233","2,569","3,723","2,043","2,207","4,561","1,700","2,447","3,296","3,668","1,987","4,236","7,955","2,986","6,479","4,612","2,870","2,917","1,992","2,778","5,207"
2020,10,50,"69,590","2,779","3,682","1,941","2,753","4,054","2,073","2,564","2,853","3,754","2,388","4,170","4,963","2,767","6,379","4,264","3,047","3,852","2,456","2,838","6,013"
2020,10,60,"54,718","2,060","2,731","1,467","2,171","2,706","1,493","1,876","2,234","3,335","2,199","3,576","3,272","2,096","4,724","3,546","2,652","3,001","2,180","2,142","5,257"
2020,10,70,"33,707","1,374","1,836","1,084","1,283","1,471","1,010","1,094","1,413","2,015","1,510","2,175","2,098","1,151","2,927","2,178","1,624","1,654","1,435","1,134","3,241"
2020,10,80,"14,121",686,812,455,557,690,447,449,607,801,679,850,805,452,"1,470",828,696,694,562,389,"1,192"
2020,10,90,"2,040",136,104,71,75,124,60,69,77,115,120,126,126,64,235,95,96,87,80,53,127
2020,10,100,380,16,33,18,13,10,14,15,14,18,9,23,27,18,43,24,11,15,28,14,17
2020,11,총,"438,051","16,938","23,647","15,600","15,330","24,602","15,187","15,831","18,730","23,507","15,562","25,682","36,416","17,095","39,866","26,948","19,945","20,235","13,831","17,486","35,613"
2020,11,0,"29,035",787,"1,173",576,849,"2,050",445,993,"1,427","1,525",629,"1,717","4,050","1,478","2,747","2,108","1,126",924,612,"1,794","2,025"
2020,11,10,"37,306","1,211","1,931",952,"1,351","2,862",854,969,"1,829","1,902",993,"2,184","4,857","1,424","3,697","2,629","1,497","1,581",900,"1,423","2,260"
2020,11,20,"66,978","2,807","4,260","4,474","2,080","3,016","5,080","2,730","2,309","3,243","3,153","3,251","3,477","2,142","5,865","3,039","3,586","3,041","1,912","2,280","5,233"
2020,11,30,"60,104","2,513","3,352","2,520","1,997","3,039","2,030","2,639","2,683","3,148","1,905","3,349","4,763","2,539","5,260","3,611","2,741","2,471","1,698","2,817","5,029"
2020,11,40,"70,104","2,572","3,723","2,040","2,213","4,554","1,700","2,430","3,290","3,654","1,974","4,223","7,958","2,972","6,492","4,606","2,873","2,910","1,971","2,770","5,179"
2020,11,50,"69,508","2,789","3,676","1,937","2,733","4,067","2,064","2,558","2,839","3,760","2,387","4,177","4,974","2,779","6,366","4,281","3,044","3,843","2,457","2,757","6,020"
2020,11,60,"54,785","2,062","2,748","1,468","2,176","2,710","1,485","1,888","2,238","3,329","2,208","3,586","3,275","2,090","4,756","3,546","2,655","3,012","2,178","2,104","5,271"
2020,11,70,"33,628","1,359","1,830","1,084","1,283","1,463","1,008","1,093","1,416","2,009","1,498","2,185","2,099","1,136","2,925","2,173","1,622","1,656","1,434","1,101","3,254"
2020,11,80,"14,167",688,814,457,559,704,448,451,607,805,686,856,808,454,"1,476",835,694,692,561,377,"1,195"
2020,11,90,"2,057",135,107,74,76,127,59,65,78,114,120,131,128,63,239,96,96,90,80,49,130
2020,11,100,379,15,33,18,13,10,14,15,14,18,9,23,27,18,43,24,11,15,28,14,17
2020,12,총,"437,153","16,868","23,580","15,610","15,292","24,589","15,093","15,768","18,677","23,501","15,541","25,609","36,402","17,051","39,786","26,918","19,928","20,268","13,867","17,200","35,605"
2020,12,0,"28,822",777,"1,155",586,842,"2,021",442,981,"1,430","1,524",618,"1,683","4,035","1,462","2,735","2,096","1,107",918,603,"1,777","2,030"
2020,12,10,"37,145","1,196","1,899",948,"1,336","2,873",839,955,"1,804","1,894",978,"2,172","4,873","1,418","3,682","2,625","1,491","1,605",899,"1,413","2,245"
2020,12,20,"66,972","2,816","4,278","4,492","2,081","3,021","5,081","2,708","2,310","3,251","3,176","3,270","3,497","2,128","5,838","3,045","3,583","3,035","1,931","2,225","5,206"
2020,12,30,"59,843","2,516","3,339","2,515","1,979","3,044","2,013","2,627","2,645","3,160","1,911","3,288","4,720","2,533","5,236","3,596","2,738","2,488","1,699","2,769","5,027"
2020,12,40,"69,839","2,550","3,704","2,037","2,213","4,514","1,684","2,415","3,260","3,628","1,948","4,220","7,952","2,954","6,463","4,607","2,872","2,917","1,975","2,746","5,180"
2020,12,50,"69,381","2,768","3,682","1,931","2,721","4,078","2,047","2,557","2,858","3,746","2,390","4,178","4,970","2,776","6,369","4,258","3,042","3,829","2,457","2,709","6,015"
2020,12,60,"54,897","2,059","2,738","1,471","2,174","2,724","1,476","1,896","2,245","3,347","2,215","3,587","3,297","2,107","4,788","3,554","2,664","3,025","2,185","2,057","5,288"
2020,12,70,"33,568","1,349","1,828","1,073","1,290","1,456",992,"1,097","1,416","2,017","1,492","2,188","2,089","1,142","2,917","2,172","1,623","1,656","1,443","1,067","3,261"
2020,12,80,"14,229",688,814,466,568,719,445,451,614,799,688,861,813,449,"1,471",844,704,689,568,373,"1,205"
2020,12,90,"2,073",133,110,72,75,129,60,66,81,117,116,139,129,62,243,97,93,91,79,50,131
2020,12,100,384,16,33,19,13,10,14,15,14,18,9,23,27,20,44,24,11,15,28,14,17
2021,1,총,"437,684","16,869","23,479","15,519","15,249","24,508","15,008","15,734","18,636","23,499","15,427","25,510","36,314","17,035","39,648","26,902","19,891","22,247","13,841","16,853","35,515"
2021,1,0,"28,855",772,"1,135",578,826,"2,000",445,983,"1,415","1,515",593,"1,650","3,978","1,452","2,691","2,077","1,078","1,309",597,"1,763","1,998"
2021,1,10,"37,128","1,192","1,890",926,"1,325","2,867",828,949,"1,797","1,881",962,"2,154","4,895","1,416","3,673","2,613","1,477","1,800",896,"1,374","2,213"
2021,1,20,"66,679","2,807","4,232","4,452","2,073","2,989","5,035","2,703","2,314","3,250","3,132","3,242","3,468","2,111","5,779","3,040","3,560","3,213","1,921","2,165","5,193"
2021,1,30,"59,977","2,519","3,315","2,505","1,985","3,012","2,013","2,597","2,635","3,160","1,898","3,252","4,677","2,525","5,204","3,612","2,755","2,874","1,707","2,727","5,005"
2021,1,40,"69,867","2,563","3,678","2,022","2,178","4,499","1,675","2,410","3,217","3,626","1,929","4,210","7,911","2,948","6,430","4,591","2,844","3,331","1,965","2,690","5,150"
2021,1,50,"69,541","2,757","3,679","1,926","2,732","4,080","2,028","2,558","2,871","3,738","2,381","4,177","5,005","2,790","6,360","4,255","3,055","4,039","2,441","2,664","6,005"
2021,1,60,"55,189","2,060","2,762","1,474","2,176","2,729","1,475","1,908","2,252","3,369","2,218","3,612","3,315","2,108","4,820","3,572","2,677","3,159","2,190","2,001","5,312"
2021,1,70,"33,660","1,365","1,828","1,073","1,294","1,468",990,"1,093","1,417","2,018","1,502","2,185","2,085","1,152","2,929","2,168","1,632","1,710","1,447","1,039","3,265"
2021,1,80,"14,301",684,817,469,570,724,446,454,620,807,687,864,825,449,"1,475",845,704,705,565,366,"1,225"
2021,1,90,"2,094",134,109,75,77,130,58,63,84,117,115,139,128,64,241,105,97,92,84,49,133
2021,1,100,393,16,34,19,13,10,15,16,14,18,10,25,27,20,46,24,12,15,28,15,16
2021,2,총,"437,961","16,859","23,387","15,507","15,165","24,469","15,009","15,681","18,570","23,418","15,353","25,466","36,086","16,938","39,524","26,924","19,840","23,904","13,843","16,580","35,438"
2021,2,0,"28,981",765,"1,123",575,807,"1,982",444,975,"1,400","1,490",580,"1,640","3,928","1,438","2,677","2,064","1,067","1,682",597,"1,762","1,985"
2021,2,10,"37,101","1,189","1,884",933,"1,313","2,850",845,934,"1,778","1,862",959,"2,144","4,879","1,430","3,662","2,605","1,482","1,918",885,"1,357","2,192"
2021,2,20,"66,357","2,776","4,209","4,428","2,049","2,976","5,022","2,676","2,307","3,236","3,083","3,239","3,423","2,078","5,710","3,058","3,529","3,321","1,948","2,121","5,168"
2021,2,30,"59,914","2,512","3,265","2,506","1,983","2,992","2,020","2,600","2,615","3,142","1,867","3,246","4,593","2,461","5,165","3,592","2,736","3,250","1,711","2,683","4,975"
2021,2,40,"69,963","2,565","3,667","1,999","2,146","4,486","1,660","2,396","3,209","3,599","1,934","4,191","7,895","2,950","6,424","4,583","2,845","3,637","1,956","2,669","5,152"
2021,2,50,"69,549","2,763","3,676","1,941","2,733","4,096","2,033","2,550","2,860","3,743","2,380","4,183","4,994","2,777","6,339","4,262","3,050","4,176","2,425","2,601","5,967"
2021,2,60,"55,491","2,075","2,771","1,492","2,171","2,738","1,470","1,917","2,257","3,374","2,240","3,611","3,295","2,110","4,848","3,593","2,690","3,321","2,200","1,966","5,352"
2021,2,70,"33,657","1,365","1,830","1,067","1,295","1,481",993,"1,101","1,423","2,015","1,492","2,175","2,087","1,153","2,925","2,182","1,616","1,758","1,442","1,007","3,250"
2021,2,80,"14,439",700,817,473,575,727,449,452,623,821,695,872,835,455,"1,489",851,711,729,566,352,"1,247"
2021,2,90,"2,117",132,111,75,80,131,58,64,83,118,113,140,131,66,239,110,102,97,86,47,134
