년도,월,나이,강화군,강화읍,선원면,불은면,길상면,화도면,양도면,내가면,하점면,양사면,송해면,교동면,삼산면,서도면,서도면볼음출장소
2020,5,40,"4,282","1,663",549,251,422,226,248,165,217,83,180,138,114,16,10
2020,5,50,"6,233","1,933",694,443,690,384,387,261,354,198,294,298,224,41,32
2020,5,60,"6,835","1,700",673,616,745,574,462,362,475,208,316,325,286,51,42
2020,5,70,"4,753","1,098",409,397,483,371,326,286,382,172,282,288,193,36,30
2020,5,80,"2,173",460,175,190,169,167,168,122,220,96,137,144,95,16,14
2020,5,90,192,42,21,19,13,22,16,9,8,5,9,16,8,3,1
2020,5,100,9,4,0,0,2,0,1,1,0,0,0,1,0,0,0
2020,6,총,"34,617","11,242","3,885","2,467","3,522","2,287","2,086","1,530","2,077",927,"1,584","1,507","1,166",193,144
2020,6,0,"1,713",760,261,80,163,73,85,44,62,33,64,42,38,4,4
2020,6,10,"2,401","1,109",337,113,212,120,122,65,84,35,66,60,71,6,1
2020,6,20,"3,178","1,329",424,188,311,154,150,113,152,52,114,110,66,10,5
2020,6,30,"2,841","1,138",327,176,311,190,129,103,120,47,121,90,76,9,4
2020,6,40,"4,274","1,655",551,250,423,232,244,163,218,83,182,135,113,15,10
2020,6,50,"6,220","1,934",694,441,692,382,381,261,350,196,294,298,223,42,32
2020,6,60,"6,857","1,705",683,617,752,573,466,363,479,207,314,323,281,51,43
2020,6,70,"4,754","1,105",408,393,476,373,326,286,383,172,284,288,194,37,29
2020,6,80,"2,175",458,178,191,166,169,167,122,220,97,135,144,97,16,15
2020,6,90,195,45,22,18,14,21,15,9,9,5,10,16,7,3,1
2020,6,100,9,4,0,0,2,0,1,1,0,0,0,1,0,0,0
2020,7,총,"34,582","11,233","3,857","2,465","3,534","2,287","2,079","1,523","2,081",924,"1,592","1,509","1,160",194,144
2020,7,0,"1,732",768,259,80,170,72,83,46,64,35,66,44,37,4,4
2020,7,10,"2,387","1,099",337,110,215,121,120,65,82,34,66,60,71,6,1
2020,7,20,"3,146","1,332",416,184,304,152,145,108,154,51,110,111,64,10,5
2020,7,30,"2,826","1,129",322,175,313,189,130,102,120,44,123,89,77,9,4
2020,7,40,"4,263","1,654",553,251,420,231,242,163,209,82,185,137,111,15,10
2020,7,50,"6,210","1,938",679,445,693,379,377,259,359,195,296,293,221,44,32
2020,7,60,"6,868","1,707",676,615,759,580,468,363,479,204,319,324,281,50,43
2020,7,70,"4,765","1,102",411,397,475,377,327,288,381,175,283,291,192,37,29
2020,7,80,"2,188",458,182,190,169,167,171,121,224,99,135,143,98,16,15
2020,7,90,188,42,22,18,14,19,15,7,9,5,9,16,8,3,1
2020,7,100,9,4,0,0,2,0,1,1,0,0,0,1,0,0,0
2020,8,총,"34,585","11,221","3,873","2,466","3,529","2,301","2,084","1,520","2,077",921,"1,594","1,507","1,155",194,143
2020,8,0,"1,734",771,261,79,164,75,81,47,63,37,68,43,36,5,4
2020,8,10,"2,381","1,098",339,109,211,123,119,63,84,32,67,61,67,7,1
2020,8,20,"3,125","1,315",420,185,301,149,145,108,149,54,107,111,66,9,6
2020,8,30,"2,830","1,129",324,176,312,193,135,101,122,39,125,85,76,9,4
2020,8,40,"4,235","1,645",557,249,417,231,239,154,206,83,184,134,111,15,10
2020,8,50,"6,207","1,936",676,444,686,383,377,266,355,194,297,298,220,44,31
2020,8,60,"6,905","1,712",675,623,771,583,477,364,480,205,316,326,282,49,42
2020,8,70,"4,762","1,102",413,394,475,376,325,285,385,174,285,291,190,37,30
2020,8,80,"2,206",469,185,186,175,170,170,124,225,98,134,141,99,16,14
2020,8,90,190,39,23,21,15,18,15,7,8,5,11,16,8,3,1
2020,8,100,10,5,0,0,2,0,1,1,0,0,0,1,0,0,0
2020,9,총,"34,613","11,210","3,898","2,462","3,537","2,300","2,088","1,508","2,082",916,"1,599","1,513","1,163",191,146
2020,9,0,"1,762",782,262,83,163,75,82,47,67,37,67,44,44,5,4
2020,9,10,"2,374","1,097",343,108,208,121,118,60,84,31,67,62,67,7,1
2020,9,20,"3,095","1,295",412,182,303,147,146,105,149,54,111,110,67,7,7
2020,9,30,"2,807","1,111",326,177,308,194,133,100,125,35,122,85,77,10,4
2020,9,40,"4,225","1,645",566,249,412,229,235,154,204,80,180,136,110,15,10
2020,9,50,"6,190","1,935",674,440,687,381,378,259,354,196,302,293,216,45,30
2020,9,60,"6,974","1,729",684,624,785,586,481,368,486,203,317,334,286,47,44
2020,9,70,"4,777","1,105",421,397,476,377,324,282,382,177,287,292,190,37,30
2020,9,80,"2,203",467,188,179,176,172,174,124,223,98,134,140,98,15,15
2020,9,90,196,39,22,23,17,18,16,8,8,5,12,16,8,3,1
2020,9,100,10,5,0,0,2,0,1,1,0,0,0,1,0,0,0
2020,10,총,"34,603","11,195","3,894","2,467","3,529","2,299","2,100","1,506","2,087",914,"1,597","1,512","1,166",192,145
2020,10,0,"1,759",780,258,84,162,74,85,46,70,35,66,44,44,7,4
2020,10,10,"2,382","1,094",346,107,209,121,122,61,84,34,67,62,67,7,1
2020,10,20,"3,067","1,291",407,183,297,147,147,102,145,54,109,107,66,6,6
2020,10,30,"2,795","1,106",322,174,305,193,133,99,129,34,123,85,77,11,4
2020,10,40,"4,229","1,654",560,249,414,228,240,155,203,77,177,135,112,15,10
2020,10,50,"6,186","1,925",682,442,679,381,379,258,353,195,304,295,218,45,30
2020,10,60,"7,014","1,733",689,629,795,589,482,369,487,210,320,335,285,47,44
2020,10,70,"4,753","1,100",418,397,469,377,324,282,385,170,287,290,187,37,30
2020,10,80,"2,213",466,190,180,180,171,171,125,224,100,132,143,102,14,15
2020,10,90,196,41,22,22,17,18,16,8,7,5,12,16,8,3,1
2020,10,100,9,5,0,0,2,0,1,1,0,0,0,0,0,0,0
2020,11,총,"34,607","11,193","3,913","2,468","3,522","2,301","2,111","1,505","2,071",914,"1,613","1,501","1,158",193,144
2020,11,0,"1,752",785,259,82,159,70,87,45,68,34,67,42,43,7,4
2020,11,10,"2,382","1,088",350,110,210,123,124,62,81,35,68,58,65,7,1
2020,11,20,"3,058","1,289",403,185,294,148,146,102,144,52,112,106,64,7,6
2020,11,30,"2,805","1,100",328,173,306,193,138,99,130,35,127,83,78,11,4
2020,11,40,"4,203","1,645",556,247,414,221,243,151,201,77,176,133,114,15,10
2020,11,50,"6,163","1,926",693,443,670,384,372,253,350,192,304,294,209,44,29
2020,11,60,"7,067","1,749",689,628,803,597,490,376,484,216,321,335,287,48,44
2020,11,70,"4,759","1,101",422,398,468,374,324,282,385,169,293,290,187,36,30
2020,11,80,"2,210",464,191,181,179,171,171,126,221,99,131,144,103,15,14
2020,11,90,199,41,22,21,17,20,15,8,7,5,14,16,8,3,2
2020,11,100,9,5,0,0,2,0,1,1,0,0,0,0,0,0,0
2020,12,총,"34,644","11,199","3,918","2,478","3,537","2,306","2,116","1,509","2,050",916,"1,615","1,497","1,166",194,143
2020,12,0,"1,754",788,257,83,158,67,86,44,68,35,71,41,45,7,4
2020,12,10,"2,370","1,091",345,111,212,122,120,64,77,35,67,56,62,7,1
2020,12,20,"3,060","1,289",409,183,298,147,144,100,144,48,112,108,65,8,5
2020,12,30,"2,798","1,100",319,175,306,189,146,100,126,36,129,83,75,11,3
2020,12,40,"4,221","1,641",562,253,417,227,243,151,200,80,172,131,118,15,11
2020,12,50,"6,154","1,914",701,447,671,382,373,254,342,188,307,292,210,44,29
2020,12,60,"7,114","1,762",695,625,810,603,491,376,487,220,323,336,293,48,45
2020,12,70,"4,737","1,097",414,398,467,377,325,284,379,170,285,289,186,36,30
2020,12,80,"2,231",471,194,183,179,172,172,126,220,100,135,146,104,15,14
2020,12,90,196,41,22,20,17,20,15,9,7,4,14,15,8,3,1
2020,12,100,9,5,0,0,2,0,1,1,0,0,0,0,0,0,0
2021,1,총,"34,664","11,205","3,916","2,482","3,537","2,311","2,115","1,504","2,053",919,"1,623","1,491","1,167",197,144
2021,1,0,"1,763",800,252,84,157,68,87,44,70,35,72,41,43,6,4
2021,1,10,"2,364","1,088",344,111,207,123,124,60,77,35,68,55,62,9,1
2021,1,20,"3,040","1,279",412,182,294,146,137,101,144,49,113,106,63,10,4
2021,1,30,"2,795","1,098",318,174,314,189,148,97,123,36,127,80,75,11,5
2021,1,40,"4,225","1,639",559,254,418,233,236,146,204,79,178,132,121,15,11
2021,1,50,"6,119","1,904",701,443,668,372,377,250,342,189,305,290,207,44,27
2021,1,60,"7,162","1,781",695,627,815,613,494,380,487,222,321,336,298,47,46
2021,1,70,"4,734","1,094",420,403,463,373,322,289,373,169,289,286,185,37,31
2021,1,80,"2,253",475,194,183,182,174,173,127,225,101,136,150,104,15,14
2021,1,90,199,42,21,20,17,20,16,9,8,4,14,15,9,3,1
2021,1,100,10,5,0,1,2,0,1,1,0,0,0,0,0,0,0
2021,2,총,"34,655","11,196","3,902","2,494","3,531","2,297","2,132","1,498","2,048",916,"1,632","1,492","1,173",199,145
2021,2,0,"1,749",790,246,86,156,67,86,45,69,35,72,42,45,6,4
2021,2,10,"2,374","1,102",336,110,207,123,129,58,76,35,71,53,64,9,1
2021,2,20,"2,991","1,261",403,180,286,141,138,96,142,49,111,105,65,10,4
2021,2,30,"2,780","1,088",322,175,307,187,147,97,121,36,131,82,71,11,5
2021,2,40,"4,223","1,638",557,251,423,230,240,147,201,80,176,132,124,14,10
2021,2,50,"6,108","1,909",699,442,655,376,376,251,338,187,305,289,209,44,28
2021,2,60,"7,219","1,788",699,638,829,609,501,380,493,220,329,338,299,49,47
2021,2,70,"4,715","1,088",418,403,466,373,320,286,374,167,288,282,182,37,31
2021,2,80,"2,283",485,200,187,183,172,177,128,224,103,134,155,105,16,14
2021,2,90,201,42,22,20,16,19,17,9,10,4,15,14,9,3,1
2021,2,100,12,5,0,2,3,0,1,1,0,0,0,0,0,0,0
2021,3,총,"34,519","11,125","3,888","2,473","3,531","2,300","2,134","1,494","2,035",909,"1,622","1,494","1,170",198,146
2021,3,0,"1,749",797,244,82,158,67,86,47,66,35,70,43,44,6,4
2021,3,10,"2,335","1,084",330,110,206,122,121,55,78,33,67,54,65,9,1
2021,3,20,"2,966","1,251",396,182,286,140,140,97,136,49,109,104,62,10,4
2021,3,30,"2,763","1,076",327,174,305,187,146,95,119,36,127,82,73,11,5
2021,3,40,"4,171","1,621",555,248,423,229,234,144,193,77,172,131,121,14,9
2021,3,50,"6,054","1,899",683,428,646,370,384,250,336,190,303,290,205,43,27
2021,3,60,"7,284","1,789",715,638,840,615,507,387,502,217,337,337,302,49,49
2021,3,70,"4,718","1,086",420,402,467,377,322,286,371,164,288,284,183,37,31
2021,3,80,"2,275",481,197,188,185,174,174,123,224,104,134,154,106,16,15
2021,3,90,199,40,21,19,14,19,20,9,10,4,15,15,9,3,1
2021,3,100,5,1,0,2,1,0,0,1,0,0,0,0,0,0,0
2021,4,총,"34,557","11,131","3,893","2,469","3,533","2,306","2,144","1,500","2,038",914,"1,624","1,491","1,170",198,146
2021,4,0,"1,743",796,238,80,155,67,90,52,67,34,67,42,46,5,4
2021,4,10,"2,327","1,074",337,111,199,120,118,55,80,33,68,54,67,10,1
2021,4,20,"2,955","1,249",391,180,291,141,141,93,136,50,108,100,61,10,4
2021,4,30,"2,769","1,073",323,174,311,188,148,97,121,35,125,85,73,11,5
2021,4,40,"4,168","1,622",565,241,422,230,227,146,193,79,171,130,118,14,10
2021,4,50,"6,040","1,907",676,426,641,366,390,251,335,186,303,288,203,42,26
2021,4,60,"7,339","1,792",722,643,846,626,513,389,502,225,342,338,303,49,49
2021,4,70,"4,720","1,093",424,403,466,376,324,282,368,163,291,281,180,38,31
2021,4,80,"2,288",485,196,188,187,171,173,125,227,104,134,158,110,16,14
2021,4,90,202,39,21,21,13,21,20,9,9,5,15,15,9,3,2
2021,4,100,6,1,0,2,2,0,0,1,0,0,0,0,0,0,0
2021,5,총,"34,626","11,199","3,907","2,472","3,532","2,301","2,137","1,500","2,030",917,"1,626","1,486","1,174",199,146
2021,5,0,"1,737",796,236,82,151,67,90,49,68,33,69,42,45,5,4
2021,5,10,"2,336","1,091",340,109,197,122,113,54,79,34,65,55,66,10,1
2021,5,20,"2,936","1,245",386,178,287,141,139,91,135,51,111,97,62,9,4
2021,5,30,"2,783","1,089",333,169,312,186,148,95,119,35,126,84,71,11,5
2021,5,40,"4,169","1,634",563,245,420,231,225,145,187,78,170,128,118,15,10
2021,5,50,"6,045","1,917",684,421,638,359,388,253,333,186,308,286,204,43,25
2021,5,60,"7,405","1,799",728,649,861,627,519,394,507,228,339,346,309,49,50
2021,5,70,"4,717","1,100",421,405,464,376,323,284,367,164,291,274,180,38,30
2021,5,80,"2,292",488,197,188,187,171,171,125,227,103,132,160,112,16,15
2021,5,90,200,39,19,24,13,21,21,9,8,5,15,14,7,3,2
2021,5,100,6,1,0,2,2,0,0,1,0,0,0,0,0,0,0
2021,6,총,"34,644","11,194","3,927","2,474","3,528","2,296","2,154","1,495","2,021",919,"1,630","1,482","1,178",200,146
2021,6,0,"1,740",796,238,84,148,66,92,50,68,33,71,40,46,5,3
2021,6,10,"2,323","1,077",343,105,199,119,113,53,80,34,65,58,65,10,2
2021,6,20,"2,938","1,242",389,179,284,144,143,87,133,52,111,95,62,11,6
2021,6,30,"2,792","1,094",337,168,315,187,146,97,118,37,125,83,70,10,5
2021,6,40,"4,156","1,632",566,246,418,230,222,142,186,77,169,127,117,14,10
2021,6,50,"6,032","1,913",684,422,634,360,390,251,329,186,305,283,207,43,25
2021,6,60,"7,432","1,808",734,652,856,621,526,393,508,229,349,348,311,48,49
2021,6,70,"4,723","1,104",417,405,466,381,326,287,363,164,289,272,180,40,29
2021,6,80,"2,302",487,200,189,193,166,175,125,228,101,132,162,113,16,15
2021,6,90,201,40,19,23,13,22,21,9,8,6,14,14,7,3,2
2021,6,100,5,1,0,1,2,0,0,1,0,0,0,0,0,0,0
2021,7,총,"34,681","11,209","3,933","2,470","3,545","2,305","2,148","1,502","2,032",916,"1,626","1,479","1,172",196,148
2021,7,0,"1,733",788,231,85,151,68,91,53,70,33,71,38,46,5,3
2021,7,10,"2,318","1,073",345,105,201,117,111,51,81,35,66,59,62,10,2
2021,7,20,"2,948","1,242",392,178,288,149,145,86,133,52,108,95,63,10,7
2021,7,30,"2,779","1,103",333,163,312,182,141,99,121,36,124,81,69,10,5
2021,7,40,"4,171","1,628",568,253,423,235,223,139,190,76,169,128,115,14,10
2021,7,50,"6,020","1,912",682,415,634,360,391,255,329,184,301,285,206,40,26
2021,7,60,"7,473","1,824",741,654,858,623,529,393,512,227,355,345,314,49,49
2021,7,70,"4,723","1,105",424,403,470,379,319,290,362,164,288,272,179,39,29
2021,7,80,"2,307",490,198,190,193,169,178,126,224,103,131,163,111,16,15
2021,7,90,204,43,19,23,13,23,20,9,10,6,13,13,7,3,2
2021,7,100,5,1,0,1,2,0,0,1,0,0,0,0,0,0,0
2021,8,총,"34,679","11,182","3,947","2,462","3,548","2,303","2,149","1,498","2,044",919,"1,634","1,480","1,167",198,148
2021,8,0,"1,724",781,233,79,150,69,94,53,75,34,71,34,43,5,3
2021,8,10,"2,314","1,069",350,103,202,116,110,50,79,34,68,59,62,10,2
2021,8,20,"2,949","1,248",391,179,282,145,144,89,132,54,109,96,64,10,6
2021,8,30,"2,757","1,092",331,163,313,183,140,98,118,36,122,80,65,10,6
2021,8,40,"4,151","1,621",566,246,422,233,226,135,191,77,167,129,114,14,10
2021,8,50,"6,020","1,912",680,416,646,359,383,254,334,183,301,286,202,38,26
2021,8,60,"7,507","1,822",745,659,857,626,529,391,517,228,364,347,323,50,49
2021,8,70,"4,730","1,098",433,404,467,376,322,290,366,165,287,274,177,42,29
2021,8,80,"2,312",496,198,189,194,171,180,128,222,102,132,160,109,16,15
2021,8,90,211,43,20,23,13,25,21,9,10,6,13,15,8,3,2
2021,8,100,4,0,0,1,2,0,0,1,0,0,0,0,0,0,0
2021,9,총,"34,660","11,200","3,951","2,445","3,561","2,302","2,152","1,491","2,047",907,"1,622","1,478","1,160",198,146
2021,9,0,"1,714",778,230,75,153,71,95,54,73,35,69,33,40,5,3
2021,9,10,"2,310","1,074",351,105,203,115,109,49,78,31,66,58,59,10,2
2021,9,20,"2,942","1,243",395,173,285,145,143,85,133,53,111,96,63,11,6
2021,9,30,"2,721","1,088",334,155,306,179,133,98,117,32,117,80,66,10,6
2021,9,40,"4,148","1,617",568,246,430,235,228,133,188,77,162,128,113,14,9
2021,9,50,"6,009","1,915",673,413,646,359,386,250,335,181,302,285,200,38,26
2021,9,60,"7,536","1,846",746,660,863,626,528,394,516,224,361,349,325,49,49
2021,9,70,"4,732","1,093",435,404,463,378,328,289,369,164,289,276,174,42,28
2021,9,80,"2,332",503,199,191,197,170,181,128,227,104,132,158,111,16,15
2021,9,90,212,43,20,22,13,24,21,10,11,6,13,15,9,3,2
2021,9,100,4,0,0,1,2,0,0,1,0,0,0,0,0,0,0
2021,10,총,"34,698","11,189","3,960","2,436","3,571","2,313","2,163","1,491","2,048",919,"1,634","1,474","1,154",200,146
2021,10,0,"1,692",772,224,74,150,71,93,53,72,35,69,32,39,5,3
2021,10,10,"2,321","1,073",356,105,204,117,109,50,78,32,69,57,59,10,2
2021,10,20,"2,940","1,242",389,166,289,150,147,80,139,56,109,93,62,12,6
2021,10,30,"2,709","1,075",336,153,308,179,134,98,119,33,117,78,64,9,6
2021,10,40,"4,132","1,615",565,242,429,233,226,131,182,77,164,129,115,15,9
2021,10,50,"6,020","1,913",671,416,643,366,386,254,340,188,303,281,197,37,25
2021,10,60,"7,581","1,858",756,661,869,619,539,396,515,221,368,353,325,51,50
2021,10,70,"4,740","1,086",444,406,462,384,325,290,367,168,285,278,175,42,28
2021,10,80,"2,344",510,199,190,202,170,185,128,224,103,136,158,108,16,15
2021,10,90,215,45,20,22,13,24,19,10,12,6,14,15,10,3,2
2021,10,100,4,0,0,1,2,0,0,1,0,0,0,0,0,0,0
2021,11,총,"34,782","11,205","3,962","2,451","3,588","2,316","2,166","1,497","2,060",925,"1,641","1,474","1,149",202,146
2021,11,0,"1,686",778,220,73,146,72,91,53,74,38,67,31,35,5,3
2021,11,10,"2,323","1,074",354,105,208,117,111,52,76,32,68,57,57,10,2
2021,11,20,"2,941","1,231",392,170,292,152,146,83,141,52,110,93,61,12,6
2021,11,30,"2,712","1,077",335,154,309,177,134,97,123,33,118,78,61,10,6
2021,11,40,"4,121","1,617",565,241,425,226,225,128,180,80,165,126,118,16,9
2021,11,50,"6,048","1,914",672,418,649,372,392,257,341,188,307,280,198,35,25
2021,11,60,"7,651","1,872",768,670,877,623,540,397,519,223,373,358,328,53,50
2021,11,70,"4,728","1,094",437,407,461,378,325,291,369,166,281,278,172,42,27
2021,11,80,"2,354",504,199,190,205,175,182,128,226,107,137,159,110,16,16
2021,11,90,214,44,20,22,14,24,20,10,11,6,15,14,9,3,2
2021,11,100,4,0,0,1,2,0,0,1,0,0,0,0,0,0,0
2021,12,총,"34,868","11,250","3,957","2,473","3,615","2,314","2,161","1,499","2,065",932,"1,643","1,472","1,139",201,147
2021,12,0,"1,680",779,219,76,148,72,90,50,71,36,66,31,34,5,3
2021,12,10,"2,342","1,078",350,107,213,116,113,55,80,37,68,55,58,10,2
2021,12,20,"2,948","1,235",397,174,287,150,139,87,147,55,108,93,59,11,6
2021,12,30,"2,699","1,076",332,153,308,175,132,95,120,33,119,79,60,11,6
2021,12,40,"4,132","1,631",554,243,431,228,223,127,182,78,166,126,118,16,9
2021,12,50,"6,057","1,921",676,418,655,369,393,254,341,189,308,279,194,35,25
2021,12,60,"7,693","1,874",774,678,888,628,542,403,518,225,375,357,328,52,51
2021,12,70,"4,733","1,103",436,413,460,374,325,287,369,164,281,280,172,42,27
2021,12,80,"2,362",508,199,188,208,178,184,128,226,108,137,157,109,16,16
2021,12,90,218,45,20,22,15,24,20,12,11,7,15,15,7,3,2
2021,12,100,4,0,0,1,2,0,0,1,0,0,0,0,0,0,0
