년도,월,나이,창녕군,창녕읍,남지읍,고암면,성산면,대합면,이방면,유어면,대지면,계성면,영산면,장마면,도천면,길곡면,부곡면
2021,9,70,"3,491",697,571,160,127,274,178,155,153,154,311,156,177,129,249
2021,9,80,"1,565",285,234,83,52,139,93,75,79,96,118,77,79,48,107
2021,9,90,120,28,20,8,6,11,7,6,5,1,6,8,7,2,5
2021,9,100,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,10,총,"29,925","8,272","6,010",961,742,"1,976","1,156",863,"1,299","1,185","2,733",910,"1,339",753,"1,726"
2021,10,0,"1,519",628,435,26,15,44,42,28,62,31,87,20,43,17,41
2021,10,10,"2,161",787,521,76,18,121,89,24,102,42,182,42,66,27,64
2021,10,20,"2,584",891,472,58,49,163,67,55,120,104,271,55,101,50,128
2021,10,30,"2,592",915,576,57,47,135,78,68,97,73,225,55,102,47,117
2021,10,40,"3,821","1,209",946,79,68,209,112,70,166,125,353,88,156,75,165
2021,10,50,"5,724","1,482","1,130",172,150,434,197,161,258,269,557,180,261,125,348
2021,10,60,"6,343","1,348","1,103",245,213,446,288,224,258,289,618,229,347,234,501
2021,10,70,"3,497",702,572,159,124,276,183,153,154,155,312,155,176,130,246
2021,10,80,"1,561",280,235,82,52,138,93,73,77,96,121,77,80,46,111
2021,10,90,122,30,20,7,6,10,7,7,5,1,6,9,7,2,5
2021,10,100,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,11,총,"29,942","8,277","6,011",956,747,"1,979","1,156",862,"1,318","1,178","2,728",912,"1,336",751,"1,731"
2021,11,0,"1,509",626,434,27,17,42,42,26,61,31,84,20,42,16,41
2021,11,10,"2,147",783,524,71,18,117,89,25,104,42,183,41,62,27,61
2021,11,20,"2,583",894,467,58,49,170,65,53,122,102,271,53,105,49,125
2021,11,30,"2,590",913,569,59,47,132,79,70,101,75,227,56,100,44,118
2021,11,40,"3,819","1,198",950,75,69,210,114,68,169,124,350,91,156,77,168
2021,11,50,"5,714","1,486","1,132",173,146,430,194,162,264,264,552,175,262,125,349
2021,11,60,"6,381","1,361","1,109",248,217,453,291,226,260,288,615,231,345,233,504
2021,11,70,"3,515",702,572,156,126,277,182,153,155,156,319,159,178,131,249
2021,11,80,"1,559",284,233,83,53,138,93,72,76,95,119,77,79,46,111
2021,11,90,124,30,21,6,5,10,7,7,6,1,7,9,7,3,5
2021,11,100,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,12,총,"29,948","8,279","6,016",954,752,"1,993","1,158",860,"1,309","1,183","2,711",908,"1,344",754,"1,727"
2021,12,0,"1,491",623,428,27,18,43,38,26,61,29,84,17,42,16,39
2021,12,10,"2,147",779,530,69,18,123,88,22,104,42,181,39,63,25,64
2021,12,20,"2,569",883,468,55,51,169,65,54,120,106,258,58,104,49,129
2021,12,30,"2,566",914,560,57,45,134,77,69,98,74,225,51,101,45,116
2021,12,40,"3,807","1,199",946,74,69,218,112,69,164,123,345,94,155,74,165
2021,12,50,"5,745","1,491","1,139",175,148,433,201,160,263,268,552,174,265,128,348
2021,12,60,"6,407","1,367","1,117",252,220,450,294,228,260,288,619,230,350,233,499
2021,12,70,"3,512",701,574,154,122,275,181,152,153,156,319,159,176,135,255
2021,12,80,"1,578",292,232,85,56,137,95,74,80,96,121,77,80,46,107
2021,12,90,126,30,22,6,5,11,7,6,6,1,7,9,8,3,5
2021,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
