년도,월,나이,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2020,10,총,"78,387","24,947","1,111","1,497","1,435","1,416","1,382",895,917,"30,450","6,638","6,690","1,009"
2020,10,0,"6,867","2,285",44,40,31,32,30,18,18,"3,347",515,475,32
2020,10,10,"8,271","2,681",81,69,57,69,46,51,37,"3,805",602,700,73
2020,10,20,"11,509","3,401",110,155,147,131,118,66,80,"4,712","1,010","1,445",134
2020,10,30,"9,899","3,072",83,82,103,89,98,55,81,"4,632",744,775,85
2020,10,40,"12,151","4,232",127,139,152,135,161,106,118,"5,245","1,041",558,137
2020,10,50,"15,787","4,483",250,384,315,314,298,194,208,"5,947","1,548","1,610",236
2020,10,60,"8,734","2,980",200,308,306,294,289,208,163,"2,045",848,913,180
2020,10,70,"3,582","1,279",133,202,203,220,228,114,130,534,264,184,91
2020,10,80,"1,456",487,70,107,113,122,106,79,76,171,61,25,39
2020,10,90,126,46,12,10,8,10,8,4,6,10,5,5,2
2020,10,100,5,1,1,1,0,0,0,0,0,2,0,0,0
2020,11,총,"78,550","24,981","1,122","1,512","1,450","1,415","1,384",905,915,"30,517","6,659","6,686","1,004"
2020,11,0,"6,800","2,254",45,39,33,29,30,18,16,"3,320",511,473,32
2020,11,10,"8,277","2,683",85,71,59,69,45,50,40,"3,785",620,697,73
2020,11,20,"11,584","3,413",112,157,155,130,119,69,80,"4,760","1,014","1,444",131
2020,11,30,"9,887","3,061",83,83,100,88,97,60,79,"4,632",739,777,88
2020,11,40,"12,137","4,236",131,140,148,133,161,104,117,"5,235","1,047",550,135
2020,11,50,"15,841","4,500",250,384,322,316,298,195,212,"5,977","1,542","1,613",232
2020,11,60,"8,816","2,997",200,314,310,297,292,213,164,"2,079",857,913,180
2020,11,70,"3,609","1,294",133,205,201,224,225,114,126,542,264,189,92
2020,11,80,"1,466",493,70,108,114,119,109,78,75,176,60,25,39
2020,11,90,128,49,12,10,8,10,8,4,6,9,5,5,2
2020,11,100,5,1,1,1,0,0,0,0,0,2,0,0,0
2020,12,총,"79,144","25,139","1,149","1,549","1,478","1,435","1,398",926,915,"30,734","6,680","6,730","1,011"
2020,12,0,"6,797","2,272",45,39,31,29,31,16,14,"3,304",512,475,29
2020,12,10,"8,299","2,697",84,71,63,78,46,50,38,"3,792",615,691,74
2020,12,20,"11,786","3,445",129,170,159,135,123,76,84,"4,847","1,030","1,452",136
2020,12,30,"9,935","3,066",84,87,102,88,98,64,82,"4,645",742,787,90
2020,12,40,"12,236","4,248",132,143,156,133,164,108,114,"5,290","1,045",569,134
2020,12,50,"15,929","4,521",253,395,324,322,302,192,214,"6,006","1,550","1,617",233
2020,12,60,"8,925","3,038",205,319,318,299,290,221,166,"2,107",862,918,182
2020,12,70,"3,621","1,301",135,205,202,220,225,115,126,548,259,192,93
2020,12,80,"1,487",501,69,109,115,121,112,80,72,184,61,25,38
2020,12,90,124,49,12,10,8,10,7,4,5,9,4,4,2
2020,12,100,5,1,1,1,0,0,0,0,0,2,0,0,0
2021,1,총,"78,821","25,016","1,132","1,527","1,468","1,427","1,393",905,897,"30,675","6,672","6,708","1,001"
2021,1,0,"6,733","2,239",43,39,31,27,33,16,15,"3,282",507,472,29
2021,1,10,"8,252","2,669",81,68,60,80,44,49,37,"3,784",622,684,74
2021,1,20,"11,656","3,412",126,166,160,133,121,71,77,"4,809","1,006","1,444",131
2021,1,30,"9,866","3,040",81,81,98,94,95,61,78,"4,621",742,784,91
2021,1,40,"12,202","4,224",127,142,153,128,161,107,113,"5,302","1,044",565,136
2021,1,50,"15,860","4,505",248,386,321,322,299,188,211,"6,000","1,549","1,606",225
2021,1,60,"8,980","3,065",210,319,318,291,290,217,162,"2,128",873,925,182
2021,1,70,"3,660","1,311",135,206,204,221,229,116,127,557,262,198,94
