년도,월,나이,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020,6,40,"17,193",603,"1,247",576,295,911,770,"1,474","3,050","1,846","1,758","1,600",967,"2,096"
2020,6,50,"20,998",926,"1,717",904,523,"1,080","1,335","1,867","3,131","2,515","2,446","1,924",959,"1,671"
2020,6,60,"15,810","1,064","1,210",760,496,726,"1,391","1,624","2,112","1,769","1,708","1,368",469,"1,113"
2020,6,70,"7,559",678,492,388,260,324,859,827,837,927,706,583,191,487
2020,6,80,"3,285",274,213,154,91,163,369,386,358,455,270,251,81,220
2020,6,90,508,44,40,26,15,30,49,43,64,50,49,32,10,56
2020,6,100,46,3,2,2,3,3,20,3,1,1,4,1,1,2
2020,7,총,"108,255","5,087","8,376","4,400","2,453","5,703","6,595","9,907","17,048","11,517","11,185","10,108","5,465","10,411"
2020,7,0,"8,290",228,690,195,104,481,235,637,"1,690",590,753,"1,033",633,"1,021"
2020,7,10,"9,481",323,634,299,157,512,325,766,"1,711",966,"1,062",860,633,"1,233"
2020,7,20,"12,187",481,996,624,278,705,719,"1,095","1,724","1,431","1,323","1,048",647,"1,116"
2020,7,30,"12,868",452,"1,134",461,225,757,541,"1,206","2,350",961,"1,107","1,409",872,"1,393"
2020,7,40,"17,165",606,"1,236",573,294,914,762,"1,475","3,057","1,841","1,754","1,596",971,"2,086"
2020,7,50,"20,964",922,"1,717",910,521,"1,087","1,325","1,849","3,127","2,520","2,439","1,914",954,"1,679"
2020,7,60,"15,856","1,066","1,219",766,498,725,"1,396","1,618","2,122","1,767","1,711","1,379",473,"1,116"
2020,7,70,"7,597",687,496,389,266,325,856,830,841,934,712,581,192,488
2020,7,80,"3,291",274,213,155,92,164,366,385,360,457,270,254,79,222
2020,7,90,511,45,39,26,15,30,50,43,65,49,50,33,10,56
2020,7,100,45,3,2,2,3,3,20,3,1,1,4,1,1,1
2020,8,총,"108,112","5,099","8,378","4,399","2,438","5,698","6,565","9,862","17,032","11,491","11,189","10,106","5,467","10,388"
2020,8,0,"8,225",227,683,197,103,480,229,629,"1,679",581,749,"1,018",646,"1,004"
2020,8,10,"9,462",323,641,296,156,511,323,764,"1,710",962,"1,066",863,622,"1,225"
2020,8,20,"12,146",480,985,624,276,702,715,"1,090","1,715","1,423","1,327","1,047",642,"1,120"
2020,8,30,"12,792",458,"1,132",460,220,750,535,"1,196","2,337",959,"1,104","1,403",880,"1,358"
2020,8,40,"17,107",610,"1,244",572,287,916,751,"1,451","3,061","1,814","1,744","1,600",966,"2,091"
2020,8,50,"20,953",924,"1,705",913,521,"1,084","1,324","1,848","3,118","2,523","2,443","1,908",947,"1,695"
2020,8,60,"15,949","1,071","1,235",764,500,732,"1,400","1,619","2,134","1,777","1,720","1,392",482,"1,123"
2020,8,70,"7,611",688,499,389,265,326,854,835,849,932,714,579,192,489
2020,8,80,"3,317",269,215,156,92,164,365,385,363,471,268,263,78,228
2020,8,90,507,46,37,26,15,30,50,43,65,48,50,32,11,54
2020,8,100,43,3,2,2,3,3,19,2,1,1,4,1,1,1
2020,9,총,"107,949","5,089","8,346","4,396","2,443","5,711","6,553","9,818","17,000","11,466","11,163","10,119","5,476","10,369"
2020,9,0,"8,191",225,680,195,104,480,227,631,"1,668",575,751,"1,011",652,992
2020,9,10,"9,454",317,640,295,158,517,320,760,"1,718",955,"1,070",874,619,"1,211"
2020,9,20,"12,068",474,974,621,271,700,724,"1,086","1,701","1,409","1,311","1,029",639,"1,129"
2020,9,30,"12,727",461,"1,125",456,221,753,535,"1,186","2,313",955,"1,106","1,401",878,"1,337"
2020,9,40,"17,027",613,"1,236",569,284,916,740,"1,446","3,056","1,785","1,733","1,615",957,"2,077"
2020,9,50,"20,902",911,"1,692",910,523,"1,079","1,313","1,832","3,113","2,531","2,420","1,908",956,"1,714"
2020,9,60,"16,045","1,078","1,248",773,502,739,"1,402","1,616","2,145","1,791","1,730","1,401",492,"1,128"
2020,9,70,"7,638",692,498,389,265,330,855,829,855,942,717,577,192,497
2020,9,80,"3,341",269,214,160,97,163,368,388,362,474,271,269,78,228
2020,9,90,512,45,37,26,15,31,50,42,68,48,50,33,12,55
2020,9,100,44,4,2,2,3,3,19,2,1,1,4,1,1,1
2020,10,총,"107,791","5,085","8,338","4,392","2,421","5,714","6,517","9,772","16,989","11,476","11,153","10,118","5,470","10,346"
2020,10,0,"8,137",224,670,193,98,479,223,634,"1,662",572,745,"1,005",648,984
2020,10,10,"9,417",312,635,292,158,515,317,753,"1,721",949,"1,058",884,613,"1,210"
2020,10,20,"12,035",468,978,621,268,697,722,"1,074","1,697","1,403","1,319","1,027",638,"1,123"
2020,10,30,"12,657",470,"1,113",458,218,755,525,"1,180","2,291",958,"1,112","1,379",882,"1,316"
2020,10,40,"16,978",610,"1,230",565,278,923,739,"1,437","3,047","1,779","1,722","1,617",950,"2,081"
2020,10,50,"20,850",910,"1,694",907,521,"1,071","1,301","1,808","3,122","2,536","2,411","1,908",956,"1,705"
2020,10,60,"16,157","1,077","1,261",778,502,746,"1,406","1,622","2,158","1,804","1,749","1,420",496,"1,138"
2020,10,70,"7,650",689,499,391,264,333,853,832,857,951,710,574,194,503
2020,10,80,"3,352",274,220,158,97,161,362,387,365,474,274,271,79,230
2020,10,90,513,47,36,27,14,31,50,43,68,48,49,32,13,55
2020,10,100,45,4,2,2,3,3,19,2,1,2,4,1,1,1
2020,11,총,"107,596","5,090","8,316","4,379","2,409","5,711","6,497","9,709","16,945","11,456","11,151","10,115","5,460","10,358"
2020,11,0,"8,085",228,670,187,96,480,220,630,"1,640",567,738,"1,002",643,984
2020,11,10,"9,406",311,634,287,157,514,319,745,"1,721",937,"1,068",893,614,"1,206"
2020,11,20,"11,967",471,965,621,271,693,707,"1,062","1,684","1,409","1,300","1,017",636,"1,131"
2020,11,30,"12,603",463,"1,109",458,216,752,532,"1,181","2,270",946,"1,114","1,380",874,"1,308"
2020,11,40,"16,892",607,"1,222",564,273,921,732,"1,413","3,040","1,761","1,724","1,607",951,"2,077"
2020,11,50,"20,836",916,"1,687",901,517,"1,078","1,294","1,807","3,118","2,535","2,409","1,903",957,"1,714"
2020,11,60,"16,229","1,071","1,275",786,500,742,"1,405","1,621","2,177","1,820","1,752","1,432",494,"1,154"
2020,11,70,"7,671",697,500,389,266,336,857,822,860,958,717,572,199,498
2020,11,80,"3,349",273,215,159,97,163,363,385,364,473,275,273,77,232
2020,11,90,513,49,37,25,13,29,49,41,70,48,50,35,14,53
2020,11,100,45,4,2,2,3,3,19,2,1,2,4,1,1,1
2020,12,총,"107,394","5,097","8,309","4,347","2,399","5,714","6,455","9,652","16,927","11,433","11,116","10,127","5,454","10,364"
2020,12,0,"8,059",227,672,185,94,478,209,632,"1,637",559,744,996,646,980
2020,12,10,"9,380",320,629,283,153,516,316,734,"1,721",930,"1,060",895,621,"1,202"
2020,12,20,"11,871",465,970,609,269,694,700,"1,038","1,677","1,406","1,289","1,008",617,"1,129"
2020,12,30,"12,548",468,"1,101",449,215,750,525,"1,173","2,263",935,"1,105","1,386",877,"1,301"
2020,12,40,"16,773",606,"1,221",554,271,915,719,"1,399","3,032","1,746","1,702","1,601",937,"2,070"
2020,12,50,"20,787",907,"1,665",895,512,"1,077","1,284","1,807","3,113","2,536","2,402","1,900",968,"1,721"
2020,12,60,"16,345","1,079","1,290",790,504,754,"1,408","1,617","2,190","1,836","1,764","1,452",495,"1,166"
2020,12,70,"7,706",698,509,391,267,334,861,819,862,959,722,579,199,506
2020,12,80,"3,358",274,213,165,98,163,362,387,360,476,272,273,79,236
2020,12,90,520,49,37,24,13,30,52,44,70,48,51,36,14,52
2020,12,100,47,4,2,2,3,3,19,2,2,2,5,1,1,1
2021,1,총,"107,194","5,109","8,297","4,343","2,378","5,700","6,461","9,594","16,878","11,387","11,095","10,116","5,452","10,384"
2021,1,0,"7,973",224,668,190,89,467,209,617,"1,611",555,735,990,647,971
2021,1,10,"9,366",322,621,283,154,517,316,735,"1,720",918,"1,056",900,621,"1,203"
2021,1,20,"11,824",477,974,602,268,682,692,"1,031","1,673","1,393","1,285","1,002",599,"1,146"
2021,1,30,"12,469",473,"1,094",449,213,741,529,"1,144","2,241",927,"1,108","1,379",884,"1,287"
2021,1,40,"16,718",606,"1,223",554,266,924,712,"1,389","3,034","1,720","1,698","1,594",930,"2,068"
2021,1,50,"20,706",899,"1,639",889,508,"1,076","1,282","1,801","3,100","2,531","2,388","1,887",974,"1,732"
2021,1,60,"16,451","1,083","1,310",793,498,761,"1,420","1,612","2,195","1,860","1,778","1,473",498,"1,170"
2021,1,70,"7,746",700,516,393,268,335,865,828,876,956,716,578,203,512
2021,1,80,"3,375",272,210,164,100,167,365,389,357,479,275,275,80,242
2021,1,90,520,49,39,24,11,27,53,46,69,47,51,37,15,52
2021,1,100,46,4,3,2,3,3,18,2,2,1,5,1,1,1
2021,2,총,"106,879","5,113","8,282","4,346","2,342","5,707","6,431","9,555","16,820","11,337","11,061","10,109","5,431","10,345"
2021,2,0,"7,901",216,663,185,87,467,205,608,"1,588",541,742,998,644,957
2021,2,10,"9,296",322,622,283,147,517,313,726,"1,726",906,"1,031",893,610,"1,200"
2021,2,20,"11,707",478,964,599,254,669,675,"1,041","1,655","1,370","1,279",988,591,"1,144"
2021,2,30,"12,368",475,"1,090",445,211,746,518,"1,132","2,222",920,"1,103","1,370",879,"1,257"
2021,2,40,"16,684",607,"1,222",557,264,928,711,"1,380","3,029","1,708","1,689","1,592",931,"2,066"
2021,2,50,"20,629",895,"1,631",889,502,"1,074","1,277","1,785","3,089","2,521","2,374","1,882",976,"1,734"
2021,2,60,"16,552","1,080","1,326",796,501,768,"1,421","1,618","2,204","1,883","1,790","1,485",502,"1,178"
2021,2,70,"7,771",712,519,393,262,339,870,821,880,955,720,584,203,513
2021,2,80,"3,394",275,203,172,99,168,370,395,356,483,275,277,78,243
2021,2,90,530,49,40,25,12,28,52,47,69,49,53,39,16,51
2021,2,100,47,4,2,2,3,3,19,2,2,1,5,1,1,2
2021,3,총,"106,231","5,066","8,261","4,329","2,267","5,674","6,322","9,477","16,736","11,275","11,011","10,078","5,419","10,316"
2021,3,0,"7,839",215,665,185,86,466,203,597,"1,573",532,731,999,643,944
2021,3,10,"9,235",319,619,276,137,513,312,724,"1,734",895,"1,025",886,596,"1,199"
2021,3,20,"11,565",484,950,587,253,663,667,"1,023","1,622","1,339","1,272",977,597,"1,131"
2021,3,30,"12,324",474,"1,094",459,205,740,514,"1,125","2,210",908,"1,100","1,371",866,"1,258"
2021,3,40,"16,538",598,"1,214",546,248,914,704,"1,369","3,021","1,691","1,661","1,582",934,"2,056"
2021,3,50,"20,444",876,"1,616",882,488,"1,070","1,249","1,761","3,059","2,512","2,356","1,865",978,"1,732"
2021,3,60,"16,616","1,078","1,332",804,493,769,"1,402","1,620","2,207","1,908","1,808","1,500",504,"1,191"
2021,3,70,"7,770",704,525,394,249,341,869,819,881,959,727,586,205,511
2021,3,80,"3,365",271,205,169,99,169,355,392,356,479,277,274,79,240
2021,3,90,518,45,39,27,9,26,45,47,71,52,51,38,16,52
2021,3,100,17,2,2,0,0,3,2,0,2,0,3,0,1,2
2021,4,총,"106,073","5,071","8,244","4,324","2,265","5,651","6,292","9,420","16,757","11,252","10,998","10,066","5,421","10,312"
2021,4,0,"7,796",221,659,185,84,467,202,594,"1,564",527,725,987,643,938
2021,4,10,"9,207",318,619,273,132,512,304,717,"1,743",883,"1,017",899,592,"1,198"
2021,4,20,"11,531",486,947,582,253,666,663,"1,008","1,626","1,337","1,269",958,600,"1,136"
2021,4,30,"12,297",480,"1,098",461,205,727,511,"1,118","2,214",893,"1,100","1,371",865,"1,254"
2021,4,40,"16,498",599,"1,207",541,249,904,704,"1,362","3,023","1,675","1,653","1,589",936,"2,056"
2021,4,50,"20,384",872,"1,607",889,491,"1,064","1,237","1,741","3,044","2,516","2,358","1,851",976,"1,738"
2021,4,60,"16,667","1,070","1,331",792,492,785,"1,408","1,618","2,222","1,924","1,819","1,507",510,"1,189"
2021,4,70,"7,778",705,527,403,247,338,860,823,889,961,723,592,202,508
2021,4,80,"3,378",272,208,170,102,165,357,392,355,481,279,276,80,241
2021,4,90,524,46,39,28,10,23,45,47,75,55,52,36,16,52
2021,4,100,13,2,2,0,0,0,1,0,2,0,3,0,1,2
2021,5,총,"106,029","5,118","8,232","4,310","2,254","5,659","6,281","9,376","16,775","11,234","10,993","10,074","5,426","10,297"
2021,5,0,"7,763",224,660,188,85,468,197,586,"1,562",514,717,984,645,933
2021,5,10,"9,196",319,622,272,133,512,306,715,"1,744",877,"1,017",892,595,"1,192"
2021,5,20,"11,502",497,936,581,248,664,657,995,"1,641","1,328","1,270",960,592,"1,133"
2021,5,30,"12,228",496,"1,086",458,206,728,505,"1,119","2,186",888,"1,093","1,363",866,"1,234"
2021,5,40,"16,421",605,"1,200",521,251,905,704,"1,341","3,020","1,655","1,645","1,592",929,"2,053"
2021,5,50,"20,386",873,"1,602",890,484,"1,060","1,230","1,741","3,049","2,535","2,355","1,847",974,"1,746"
2021,5,60,"16,783","1,074","1,348",800,489,792,"1,412","1,617","2,237","1,932","1,834","1,523",524,"1,201"
2021,5,70,"7,801",706,525,403,246,339,860,825,902,966,726,595,203,505
2021,5,80,"3,407",276,212,168,101,167,365,391,358,483,280,280,81,245
2021,5,90,529,46,39,29,11,24,44,46,74,56,53,38,16,53
2021,5,100,13,2,2,0,0,0,1,0,2,0,3,0,1,2
2021,6,총,"106,003","5,382","8,225","4,288","2,257","5,660","6,222","9,330","16,747","11,193","10,944","10,056","5,419","10,280"
2021,6,0,"7,726",258,649,182,85,468,186,582,"1,555",503,712,982,643,921
2021,6,10,"9,192",320,625,270,134,508,307,709,"1,744",870,"1,017",893,598,"1,197"
2021,6,20,"11,484",570,932,572,254,667,656,991,"1,619","1,318","1,241",956,595,"1,113"
2021,6,30,"12,192",559,"1,079",456,202,729,500,"1,098","2,180",878,"1,083","1,343",853,"1,232"
2021,6,40,"16,450",643,"1,198",518,250,905,697,"1,337","3,017","1,655","1,644","1,600",929,"2,057"
2021,6,50,"20,334",901,"1,598",888,484,"1,053","1,209","1,719","3,048","2,520","2,342","1,836",981,"1,755"
2021,6,60,"16,850","1,090","1,363",800,492,798,"1,403","1,627","2,242","1,940","1,835","1,534",524,"1,202"
2021,6,70,"7,808",709,524,401,246,340,858,826,908,965,727,596,202,506
2021,6,80,"3,429",285,214,171,99,168,365,392,359,488,287,277,78,246
2021,6,90,526,45,41,30,11,24,41,49,73,56,53,39,15,49
2021,6,100,12,2,2,0,0,0,0,0,2,0,3,0,1,2
2021,7,총,"105,906","5,446","8,208","4,300","2,231","5,662","6,210","9,274","16,740","11,206","10,930","10,037","5,433","10,229"
2021,7,0,"7,698",259,650,177,83,467,188,582,"1,557",496,706,977,652,904
2021,7,10,"9,190",320,620,277,135,515,305,704,"1,742",867,"1,014",899,602,"1,190"
2021,7,20,"11,417",586,921,579,249,666,654,976,"1,605","1,314","1,230",942,589,"1,106"
2021,7,30,"12,146",590,"1,084",451,193,726,498,"1,086","2,176",880,"1,071","1,333",846,"1,212"
2021,7,40,"16,403",644,"1,184",517,254,898,699,"1,326","3,016","1,641","1,639","1,606",931,"2,048"
2021,7,50,"20,305",910,"1,600",883,474,"1,055","1,201","1,710","3,043","2,520","2,339","1,830",987,"1,753"
2021,7,60,"16,940","1,092","1,360",810,487,797,"1,407","1,631","2,258","1,971","1,849","1,539",533,"1,206"
2021,7,70,"7,821",714,531,400,245,347,854,819,903,970,734,594,198,512
2021,7,80,"3,445",284,216,175,100,165,366,391,365,489,292,278,79,245
2021,7,90,528,45,40,31,11,26,38,49,73,58,53,38,15,51
2021,7,100,13,2,2,0,0,0,0,0,2,0,3,1,1,2
2021,8,총,"105,764","5,464","8,194","4,304","2,231","5,664","6,182","9,280","16,687","11,178","10,905","10,030","5,427","10,218"
2021,8,0,"7,629",257,649,178,82,466,182,581,"1,539",497,696,970,647,885
2021,8,10,"9,193",317,622,274,138,511,300,705,"1,743",865,"1,012",901,608,"1,197"
2021,8,20,"11,346",598,904,578,251,664,654,978,"1,586","1,283","1,218",942,588,"1,102"
2021,8,30,"12,094",587,"1,087",456,195,730,496,"1,083","2,153",889,"1,057","1,324",835,"1,202"
2021,8,40,"16,345",654,"1,178",516,253,889,694,"1,321","3,009","1,621","1,632","1,598",936,"2,044"
2021,8,50,"20,262",910,"1,598",879,472,"1,063","1,189","1,704","3,048","2,498","2,341","1,821",982,"1,757"
2021,8,60,"17,057","1,100","1,374",810,485,797,"1,410","1,643","2,259","1,994","1,864","1,564",537,"1,220"
2021,8,70,"7,857",714,531,406,244,353,853,817,913,980,736,597,199,514
2021,8,80,"3,441",281,212,175,100,165,368,398,361,490,295,273,78,245
2021,8,90,526,44,37,32,11,26,36,50,74,61,50,39,16,50
2021,8,100,14,2,2,0,0,0,0,0,2,0,4,1,1,2
2021,9,총,"105,598","5,473","8,168","4,281","2,226","5,666","6,164","9,255","16,666","11,162","10,884","10,034","5,415","10,204"
2021,9,0,"7,578",264,649,170,80,466,181,579,"1,528",486,688,970,644,873
2021,9,10,"9,184",312,617,271,138,513,296,707,"1,734",865,"1,017",905,609,"1,200"
2021,9,20,"11,281",600,890,567,249,657,650,968,"1,583","1,294","1,206",936,580,"1,101"
2021,9,30,"12,062",583,"1,080",467,197,731,498,"1,080","2,155",890,"1,054","1,313",827,"1,187"
2021,9,40,"16,289",655,"1,174",508,248,885,686,"1,315","3,000","1,605","1,627","1,600",939,"2,047"
2021,9,50,"20,224",907,"1,593",875,468,"1,069","1,184","1,695","3,048","2,487","2,338","1,821",976,"1,763"
2021,9,60,"17,086","1,106","1,373",810,486,804,"1,410","1,640","2,268","1,997","1,865","1,570",541,"1,216"
2021,9,70,"7,889",720,536,405,249,347,857,820,914,981,738,600,203,519
2021,9,80,"3,465",279,218,176,99,166,367,400,362,498,297,279,79,245
2021,9,90,526,45,36,32,12,28,35,51,72,59,50,39,16,51
2021,9,100,14,2,2,0,0,0,0,0,2,0,4,1,1,2
2021,10,총,"105,476","5,486","8,167","4,277","2,226","5,670","6,167","9,227","16,634","11,132","10,857","10,036","5,403","10,194"
2021,10,0,"7,501",263,639,170,79,460,185,570,"1,506",477,675,974,633,870
2021,10,10,"9,173",316,620,266,138,516,294,704,"1,740",853,"1,015",898,611,"1,202"
2021,10,20,"11,214",597,889,565,245,659,649,963,"1,566","1,281","1,199",923,581,"1,097"
2021,10,30,"12,040",580,"1,080",470,196,736,508,"1,070","2,142",890,"1,059","1,308",817,"1,184"
2021,10,40,"16,247",658,"1,174",516,243,867,688,"1,310","3,008","1,591","1,611","1,600",940,"2,041"
2021,10,50,"20,221",912,"1,591",865,471,"1,081","1,179","1,689","3,042","2,478","2,338","1,826",975,"1,774"
2021,10,60,"17,150","1,116","1,376",815,491,810,"1,405","1,646","2,270","2,014","1,872","1,586",542,"1,207"
2021,10,70,"7,896",714,537,402,252,344,857,823,921,979,740,599,208,520
2021,10,80,"3,485",281,221,175,99,168,367,402,367,508,292,281,79,245
2021,10,90,534,46,38,33,12,29,35,50,70,61,52,40,16,52
2021,10,100,15,3,2,0,0,0,0,0,2,0,4,1,1,2
2021,11,총,"105,397","5,500","8,162","4,268","2,200","5,651","6,150","9,205","16,623","11,149","10,864","10,039","5,401","10,185"
2021,11,0,"7,468",267,639,160,76,457,184,569,"1,494",471,681,978,633,859
2021,11,10,"9,164",318,623,263,137,514,295,698,"1,744",854,"1,007",894,613,"1,204"
2021,11,20,"11,141",596,881,565,239,650,640,962,"1,565","1,269","1,196",919,569,"1,090"
2021,11,30,"11,993",588,"1,075",460,190,740,504,"1,054","2,124",896,"1,064","1,309",814,"1,175"
2021,11,40,"16,235",657,"1,173",518,243,859,684,"1,316","2,996","1,575","1,612","1,604",946,"2,052"
2021,11,50,"20,191",899,"1,578",869,468,"1,075","1,178","1,689","3,043","2,475","2,340","1,825",974,"1,778"
2021,11,60,"17,207","1,128","1,388",820,484,815,"1,401","1,641","2,293","2,042","1,867","1,581",544,"1,203"
2021,11,70,"7,941",717,544,405,255,344,860,822,925,986,744,611,209,519
2021,11,80,"3,501",282,221,175,96,168,366,402,369,518,296,278,81,249
2021,11,90,541,45,38,33,12,29,38,52,68,63,53,39,17,54
2021,11,100,15,3,2,0,0,0,0,0,2,0,4,1,1,2
2021,12,총,"105,147","5,501","8,078","4,264","2,175","5,629","6,136","9,150","16,599","11,133","10,844","10,057","5,398","10,183"
2021,12,0,"7,407",263,625,160,76,460,181,564,"1,484",465,669,969,634,857
