년도,월,나이,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020,8,90,289,55,112,20,31,11,16,8,24,1,11
2020,8,100,31,5,13,2,7,1,1,0,1,1,0
2020,9,총,"20,763","3,615","9,518","1,522","1,849","1,216",838,480,"1,285",82,358
2020,9,0,"1,377",356,790,45,69,41,23,8,31,5,9
2020,9,10,"1,488",194,932,83,75,65,31,19,65,6,18
2020,9,20,"1,979",381,"1,087",106,138,85,57,31,68,5,21
2020,9,30,"1,824",411,"1,009",85,106,64,49,25,54,4,17
2020,9,40,"2,278",361,"1,326",115,163,109,56,30,89,9,20
2020,9,50,"3,339",468,"1,523",274,333,229,166,66,194,14,72
2020,9,60,"3,610",555,"1,327",315,417,254,196,118,332,16,80
2020,9,70,"2,759",498,827,278,322,226,152,118,261,12,65
2020,9,80,"1,790",331,576,199,188,131,90,56,165,9,45
2020,9,90,289,55,110,20,31,11,16,9,25,1,11
2020,9,100,30,5,11,2,7,1,2,0,1,1,0
2020,10,총,"20,754","3,610","9,525","1,516","1,845","1,216",834,478,"1,288",82,360
2020,10,0,"1,361",351,779,47,67,41,23,8,32,5,8
2020,10,10,"1,494",199,937,81,78,63,31,19,63,6,17
2020,10,20,"1,969",381,"1,079",104,139,85,56,30,68,5,22
2020,10,30,"1,827",408,"1,014",80,106,67,50,25,55,4,18
2020,10,40,"2,267",356,"1,319",119,160,106,58,29,90,9,21
2020,10,50,"3,329",463,"1,524",273,330,231,162,66,194,13,73
2020,10,60,"3,625",559,"1,340",316,416,253,199,117,329,17,79
2020,10,70,"2,764",504,829,274,321,225,149,118,266,12,66
2020,10,80,"1,795",328,581,200,189,133,89,57,165,9,44
2020,10,90,293,56,111,20,32,11,16,9,25,1,12
2020,10,100,30,5,12,2,7,1,1,0,1,1,0
2020,11,총,"20,730","3,600","9,515","1,518","1,843","1,213",833,479,"1,284",84,361
2020,11,0,"1,356",353,770,48,68,41,22,10,31,5,8
2020,11,10,"1,493",197,942,81,77,62,30,19,62,6,17
2020,11,20,"1,956",378,"1,072",102,139,83,56,30,68,5,23
2020,11,30,"1,826",407,"1,008",80,106,68,52,26,56,5,18
2020,11,40,"2,259",354,"1,317",120,160,105,57,28,89,9,20
2020,11,50,"3,319",465,"1,523",273,323,229,160,66,193,14,73
2020,11,60,"3,638",559,"1,347",316,415,256,203,117,327,17,81
2020,11,70,"2,759",499,830,276,321,227,148,117,264,12,65
2020,11,80,"1,804",329,581,200,195,131,90,57,168,9,44
2020,11,90,291,55,113,20,32,10,14,9,25,1,12
2020,11,100,29,4,12,2,7,1,1,0,1,1,0
2020,12,총,"20,717","3,585","9,523","1,510","1,840","1,225",833,476,"1,283",84,358
2020,12,0,"1,336",347,755,47,69,43,22,10,31,5,7
2020,12,10,"1,501",198,951,80,77,62,31,18,61,5,18
2020,12,20,"1,961",372,"1,077",103,137,86,57,30,70,6,23
2020,12,30,"1,831",404,"1,015",80,104,68,54,27,56,5,18
2020,12,40,"2,256",350,"1,318",117,161,108,56,28,89,10,19
2020,12,50,"3,295",461,"1,516",269,316,229,157,67,195,14,71
2020,12,60,"3,661",567,"1,357",321,422,260,200,114,323,16,81
2020,12,70,"2,752",498,832,272,317,227,149,117,262,12,66
2020,12,80,"1,802",328,578,199,198,130,92,56,169,9,43
2020,12,90,292,56,112,20,32,10,14,9,26,1,12
2020,12,100,30,4,12,2,7,2,1,0,1,1,0
2021,1,총,"20,694","3,579","9,522","1,505","1,845","1,211",836,475,"1,281",83,357
2021,1,0,"1,322",342,752,47,68,40,22,10,30,4,7
2021,1,10,"1,500",203,952,78,75,61,31,18,59,6,17
2021,1,20,"1,943",367,"1,070",101,136,87,54,29,70,6,23
2021,1,30,"1,831",409,"1,009",81,103,65,55,28,58,5,18
2021,1,40,"2,241",345,"1,315",117,161,105,56,27,88,10,17
2021,1,50,"3,287",468,"1,516",265,316,221,156,68,190,14,73
2021,1,60,"3,678",563,"1,365",319,427,265,205,112,324,16,82
2021,1,70,"2,759",495,838,274,320,224,149,116,266,12,65
2021,1,80,"1,808",327,581,201,200,130,92,58,168,8,43
2021,1,90,296,56,112,20,33,11,15,9,27,1,12
2021,1,100,29,4,12,2,6,2,1,0,1,1,0
2021,2,총,"20,661","3,580","9,503","1,492","1,843","1,223",830,474,"1,277",83,356
2021,2,0,"1,306",339,740,42,71,41,22,10,30,4,7
2021,2,10,"1,489",201,943,79,75,61,30,18,59,6,17
2021,2,20,"1,939",371,"1,067",99,133,90,53,28,70,6,22
2021,2,30,"1,827",412,"1,006",79,99,67,54,28,58,5,19
2021,2,40,"2,226",346,"1,305",115,162,103,55,26,87,10,17
2021,2,50,"3,275",463,"1,517",264,317,223,156,69,183,14,69
2021,2,60,"3,697",565,"1,378",316,425,271,206,112,325,16,83
2021,2,70,"2,751",494,841,275,316,220,144,116,266,12,67
2021,2,80,"1,821",330,579,200,205,134,94,57,171,8,43
2021,2,90,301,55,115,21,34,11,15,10,27,1,12
2021,2,100,29,4,12,2,6,2,1,0,1,1,0
2021,3,총,"20,486","3,583","9,422","1,476","1,803","1,208",818,471,"1,267",78,360
2021,3,0,"1,306",341,738,42,70,42,22,10,30,3,8
2021,3,10,"1,468",197,938,77,73,58,28,17,58,5,17
2021,3,20,"1,948",380,"1,065",101,132,88,49,29,75,7,22
2021,3,30,"1,791",411,988,76,93,65,53,27,55,4,19
2021,3,40,"2,194",346,"1,286",108,159,103,50,25,90,8,19
2021,3,50,"3,236",458,"1,513",257,309,216,153,70,177,14,69
2021,3,60,"3,684",565,"1,368",318,418,271,209,112,323,16,84
2021,3,70,"2,730",494,831,274,313,219,143,114,263,12,67
2021,3,80,"1,821",330,580,200,204,134,94,57,171,8,43
2021,3,90,292,57,111,21,29,11,16,10,24,1,12
2021,3,100,16,4,4,2,3,1,1,0,1,0,0
2021,4,총,"20,528","3,582","9,443","1,479","1,816","1,217",822,466,"1,264",76,363
2021,4,0,"1,300",340,739,45,67,41,22,7,29,2,8
2021,4,10,"1,466",192,933,78,77,61,29,17,57,5,17
2021,4,20,"1,934",383,"1,052",96,132,87,51,30,75,6,22
2021,4,30,"1,799",405,997,75,97,66,55,26,54,5,19
2021,4,40,"2,206",349,"1,291",108,161,106,51,25,87,7,21
2021,4,50,"3,239",459,"1,525",257,303,219,150,67,179,14,66
2021,4,60,"3,716",565,"1,378",323,424,273,211,115,325,16,86
2021,4,70,"2,725",494,833,270,318,216,141,113,259,12,69
2021,4,80,"1,830",332,580,203,204,135,94,57,174,8,43
2021,4,90,297,59,111,22,30,12,17,9,24,1,12
2021,4,100,16,4,4,2,3,1,1,0,1,0,0
2021,5,총,"20,525","3,581","9,443","1,476","1,818","1,212",819,466,"1,271",77,362
2021,5,0,"1,305",349,738,45,67,39,22,7,29,2,7
2021,5,10,"1,473",186,945,76,81,60,28,17,57,5,18
2021,5,20,"1,916",383,"1,040",96,131,85,49,28,78,6,20
2021,5,30,"1,789",405,990,75,93,64,55,27,54,5,21
2021,5,40,"2,200",345,"1,293",107,161,107,50,25,84,7,21
2021,5,50,"3,229",457,"1,525",255,302,217,148,67,177,14,67
2021,5,60,"3,751",571,"1,390",326,430,275,214,116,330,16,83
2021,5,70,"2,710",492,822,268,316,217,142,110,260,12,71
2021,5,80,"1,839",331,585,204,203,135,93,60,177,9,42
2021,5,90,297,58,111,22,31,12,17,9,24,1,12
2021,5,100,16,4,4,2,3,1,1,0,1,0,0
2021,6,총,"20,505","3,577","9,439","1,479","1,805","1,215",816,469,"1,271",79,355
2021,6,0,"1,298",349,733,44,66,40,21,7,29,2,7
2021,6,10,"1,466",188,940,77,79,58,28,17,56,6,17
2021,6,20,"1,920",381,"1,042",100,127,88,48,28,80,6,20
2021,6,30,"1,794",408,989,75,93,67,55,27,54,6,20
2021,6,40,"2,182",342,"1,286",107,156,104,50,24,86,7,20
2021,6,50,"3,209",448,"1,517",253,302,217,146,69,177,14,66
2021,6,60,"3,772",573,"1,401",329,434,276,215,117,329,16,82
2021,6,70,"2,704",493,826,265,310,219,141,109,259,12,70
2021,6,80,"1,843",332,588,205,205,134,93,62,175,8,41
2021,6,90,301,59,113,22,30,11,18,9,25,2,12
2021,6,100,16,4,4,2,3,1,1,0,1,0,0
2021,7,총,"20,467","3,561","9,426","1,477","1,811","1,211",817,466,"1,267",78,353
2021,7,0,"1,291",345,731,42,66,41,22,7,28,2,7
2021,7,10,"1,454",186,937,77,79,57,26,17,52,6,17
2021,7,20,"1,898",385,"1,020",98,127,87,49,27,79,6,20
2021,7,30,"1,790",404,995,71,93,67,54,27,54,5,20
2021,7,40,"2,177",336,"1,290",106,158,101,51,24,85,7,19
2021,7,50,"3,211",448,"1,518",253,305,218,147,66,177,14,65
2021,7,60,"3,788",572,"1,405",333,436,278,214,119,331,16,84
2021,7,70,"2,683",487,818,262,310,217,142,107,260,12,68
2021,7,80,"1,857",336,593,210,205,133,93,63,175,8,41
2021,7,90,300,58,115,22,29,11,18,9,24,2,12
2021,7,100,18,4,4,3,3,1,1,0,2,0,0
2021,8,총,"20,435","3,550","9,408","1,475","1,822","1,206",811,463,"1,271",76,353
2021,8,0,"1,286",343,726,42,67,42,20,7,30,2,7
2021,8,10,"1,437",181,926,77,81,56,27,18,50,3,18
2021,8,20,"1,889",375,"1,018",96,131,87,49,25,82,7,19
2021,8,30,"1,775",410,980,70,92,65,53,26,54,5,20
2021,8,40,"2,177",334,"1,288",108,161,101,49,25,85,7,19
2021,8,50,"3,204",446,"1,518",252,305,218,148,62,176,13,66
2021,8,60,"3,808",573,"1,417",333,440,276,215,121,332,17,84
2021,8,70,"2,674",487,821,258,308,216,138,106,260,12,68
2021,8,80,"1,868",339,594,214,206,133,94,64,175,8,41
2021,8,90,299,58,116,22,28,11,17,9,25,2,11
2021,8,100,18,4,4,3,3,1,1,0,2,0,0
2021,9,총,"20,389","3,541","9,402","1,463","1,813","1,202",810,460,"1,271",76,351
2021,9,0,"1,274",343,721,41,65,40,19,7,29,2,7
2021,9,10,"1,434",175,931,73,82,56,26,18,52,3,18
2021,9,20,"1,874",371,"1,012",98,129,85,51,25,79,7,17
2021,9,30,"1,763",414,973,66,91,62,52,25,54,5,21
2021,9,40,"2,161",329,"1,282",108,158,101,49,25,83,7,19
2021,9,50,"3,190",445,"1,519",246,300,217,146,61,177,13,66
2021,9,60,"3,821",574,"1,423",333,442,278,218,121,332,17,83
2021,9,70,"2,671",486,818,259,307,217,138,105,261,12,68
2021,9,80,"1,880",341,601,215,208,133,91,64,177,8,42
2021,9,90,303,59,118,21,28,12,19,9,25,2,10
2021,9,100,18,4,4,3,3,1,1,0,2,0,0
2021,10,총,"20,385","3,527","9,418","1,462","1,812","1,198",811,459,"1,267",76,355
2021,10,0,"1,271",346,718,39,66,39,19,7,29,2,6
2021,10,10,"1,436",169,946,71,76,56,27,16,53,3,19
2021,10,20,"1,874",370,"1,006",104,131,82,50,26,80,7,18
2021,10,30,"1,768",413,977,66,94,62,52,24,54,5,21
2021,10,40,"2,153",329,"1,275",106,156,102,47,26,83,7,22
2021,10,50,"3,183",439,"1,516",245,303,215,148,62,176,13,66
2021,10,60,"3,829",570,"1,436",334,442,276,219,122,330,17,83
2021,10,70,"2,656",484,816,259,305,216,136,104,258,11,67
2021,10,80,"1,892",342,607,215,208,137,92,63,176,9,43
2021,10,90,305,61,117,21,28,12,19,9,26,2,10
2021,10,100,18,4,4,2,3,1,2,0,2,0,0
2021,11,총,"20,334","3,521","9,388","1,454","1,807","1,199",812,458,"1,268",75,352
2021,11,0,"1,257",348,704,40,67,37,18,7,28,2,6
2021,11,10,"1,437",166,950,71,77,53,28,14,55,4,19
2021,11,20,"1,846",367,996,102,126,79,49,28,79,5,15
2021,11,30,"1,764",414,970,65,95,63,53,24,53,5,22
2021,11,40,"2,151",327,"1,272",108,155,106,48,25,82,7,21
2021,11,50,"3,183",438,"1,514",236,304,218,151,63,179,13,67
2021,11,60,"3,832",574,"1,440",338,442,275,215,121,328,16,83
2021,11,70,"2,649",482,821,258,301,216,135,104,256,11,65
2021,11,80,"1,889",341,600,212,209,139,92,63,179,10,44
2021,11,90,310,60,117,23,29,12,21,9,27,2,10
2021,11,100,16,4,4,1,2,1,2,0,2,0,0
2021,12,총,"20,322","3,516","9,377","1,459","1,809","1,197",809,460,"1,269",75,351
2021,12,0,"1,251",349,704,39,66,32,19,7,27,2,6
2021,12,10,"1,431",167,943,72,74,56,28,14,55,4,18
2021,12,20,"1,842",361,996,104,124,79,48,28,82,5,15
2021,12,30,"1,759",412,970,64,96,61,52,24,53,5,22
2021,12,40,"2,151",331,"1,275",109,153,102,48,25,80,7,21
2021,12,50,"3,186",442,"1,505",239,303,221,151,65,180,13,67
2021,12,60,"3,857",571,"1,454",341,453,278,216,122,323,16,83
2021,12,70,"2,630",477,816,253,301,216,132,104,256,11,64
2021,12,80,"1,895",345,595,214,207,140,93,62,184,10,45
2021,12,90,308,59,115,23,30,11,21,9,28,2,10
2021,12,100,12,2,4,1,2,1,1,0,1,0,0
