년도,월,나이,밀양시,삼랑진읍,삼랑진임천출장소,하남읍,부북면,상동면,산외면,산내면,단장면,상남면,초동면,무안면,청도면,내일동,내이동,삼문동,가곡동,교동
2020,4,총,"53,660","2,766",664,"3,649","2,595","1,621","1,422","1,931","2,202","4,401","1,731","2,631",915,"1,466","7,535","10,694","4,273","3,164"
2020,4,0,"2,865",76,13,141,69,39,36,50,38,262,38,53,22,44,617,984,180,203
2020,4,10,"3,828",124,25,212,119,45,58,100,69,265,70,128,27,70,621,"1,249",348,298
2020,4,20,"3,949",156,50,216,137,63,69,80,96,288,75,136,27,101,803,963,378,311
2020,4,30,"4,336",135,27,226,144,66,77,84,115,338,60,107,37,99,920,"1,236",345,320
2020,4,40,"6,193",224,42,315,202,83,109,136,137,455,112,190,45,148,"1,114","1,853",555,473
2020,4,50,"9,482",498,102,656,472,296,274,365,452,780,295,417,152,272,"1,366","1,729",740,616
2020,4,60,"10,456",682,166,811,627,458,341,483,611,838,469,631,229,333,"1,129","1,386",765,497
2020,4,70,"7,059",510,125,586,447,291,248,343,361,671,325,491,188,246,585,785,576,281
2020,4,80,"4,722",307,95,424,317,238,178,253,279,435,253,402,163,134,318,443,342,141
2020,4,90,734,52,19,57,60,42,31,36,42,62,31,73,25,16,60,64,43,21
2020,4,100,36,2,0,5,1,0,1,1,2,7,3,3,0,3,2,2,1,3
2020,5,총,"53,651","2,768",663,"3,642","2,583","1,619","1,419","1,930","2,209","4,372","1,737","2,634",916,"1,457","7,571","10,684","4,296","3,151"
2020,5,0,"2,855",73,13,139,65,39,34,50,37,256,38,53,21,43,624,979,186,205
2020,5,10,"3,801",128,25,209,116,43,59,98,69,263,68,127,26,70,623,"1,250",337,290
2020,5,20,"3,937",152,52,218,134,64,70,77,99,281,78,134,26,96,804,953,386,313
2020,5,30,"4,324",138,27,224,141,66,76,80,113,337,61,107,35,100,927,"1,231",343,318
2020,5,40,"6,179",218,40,317,203,85,110,133,137,448,109,191,45,147,"1,112","1,861",557,466
2020,5,50,"9,475",502,101,648,470,296,271,368,455,777,294,417,151,268,"1,370","1,730",743,614
2020,5,60,"10,470",683,168,811,627,453,341,487,614,838,471,631,233,333,"1,134","1,378",774,494
2020,5,70,"7,095",510,124,587,450,295,247,347,363,666,325,493,188,248,596,787,582,287
2020,5,80,"4,750",310,96,427,319,237,178,252,278,439,256,403,166,133,320,449,343,144
2020,5,90,728,52,17,57,57,41,31,37,42,60,34,75,25,16,59,64,44,17
2020,5,100,37,2,0,5,1,0,2,1,2,7,3,3,0,3,2,2,1,3
2020,6,총,"53,637","2,768",653,"3,631","2,580","1,627","1,408","1,935","2,207","4,355","1,739","2,623",916,"1,464","7,575","10,711","4,307","3,138"
2020,6,0,"2,846",74,11,137,63,40,31,50,36,251,39,53,21,44,623,979,191,203
2020,6,10,"3,788",125,23,206,116,44,59,97,68,263,69,125,25,71,625,"1,241",340,291
2020,6,20,"3,911",152,51,215,131,62,71,77,101,275,73,131,26,94,799,959,383,311
2020,6,30,"4,314",138,27,224,142,67,72,79,110,342,63,107,34,100,926,"1,233",337,313
2020,6,40,"6,171",217,37,317,205,86,111,135,134,445,111,185,45,146,"1,112","1,852",568,465
2020,6,50,"9,415",493,102,631,467,293,266,364,452,763,288,409,152,270,"1,368","1,761",731,605
2020,6,60,"10,566",693,169,821,626,458,342,496,619,847,477,639,234,335,"1,141","1,381",788,500
2020,6,70,"7,116",508,120,591,453,297,249,348,365,663,329,488,189,252,598,797,582,287
2020,6,80,"4,755",312,98,427,319,239,175,252,278,440,252,409,165,133,323,445,343,145
2020,6,90,717,54,15,56,57,41,30,36,42,59,35,74,25,16,58,61,43,15
2020,6,100,38,2,0,6,1,0,2,1,2,7,3,3,0,3,2,2,1,3
2020,7,총,"53,615","2,763",647,"3,620","2,587","1,625","1,406","1,947","2,210","4,332","1,739","2,618",911,"1,452","7,622","10,675","4,327","3,134"
2020,7,0,"2,823",73,10,136,65,37,31,49,37,246,38,53,19,40,628,973,185,203
2020,7,10,"3,782",125,22,207,117,45,57,101,69,259,67,122,27,70,636,"1,228",344,286
2020,7,20,"3,893",146,50,206,129,60,70,79,98,274,73,133,23,93,804,958,390,307
2020,7,30,"4,267",135,27,222,141,67,72,76,110,326,60,108,32,99,928,"1,208",338,318
2020,7,40,"6,195",220,36,317,209,87,111,137,137,447,114,184,43,144,"1,124","1,851",570,464
2020,7,50,"9,411",494,100,631,470,291,268,362,450,758,287,407,156,273,"1,374","1,756",737,597
2020,7,60,"10,577",683,170,818,625,460,340,502,622,852,476,636,233,335,"1,135","1,393",789,508
2020,7,70,"7,134",519,118,595,455,297,250,351,366,661,334,484,190,246,605,799,578,286
2020,7,80,"4,776",312,99,426,320,240,175,250,275,445,252,415,162,133,327,446,351,148
2020,7,90,718,54,15,56,55,41,30,39,44,57,35,73,26,15,59,61,44,14
2020,7,100,39,2,0,6,1,0,2,1,2,7,3,3,0,4,2,2,1,3
2020,8,총,"53,573","2,762",652,"3,614","2,583","1,613","1,396","1,933","2,203","4,289","1,731","2,609",905,"1,441","7,793","10,614","4,320","3,115"
2020,8,0,"2,823",74,10,137,65,35,31,46,36,238,39,54,19,36,662,960,183,198
2020,8,10,"3,769",126,25,204,114,44,56,103,69,251,65,123,29,70,640,"1,223",342,285
2020,8,20,"3,889",144,51,207,132,58,68,76,99,270,71,133,22,89,821,954,388,306
2020,8,30,"4,244",135,26,220,136,65,71,75,109,316,58,107,31,100,962,"1,189",338,306
2020,8,40,"6,168",220,37,313,206,84,109,133,133,441,115,177,45,141,"1,145","1,842",563,464
2020,8,50,"9,379",494,101,624,471,286,268,358,445,748,285,402,153,273,"1,397","1,747",732,595
2020,8,60,"10,641",684,170,825,627,464,340,502,625,856,477,643,232,331,"1,157","1,403",793,512
2020,8,70,"7,122",516,116,595,455,293,246,353,364,654,335,482,188,247,617,794,582,285
2020,8,80,"4,773",313,101,427,319,242,174,243,277,452,248,411,161,134,330,440,354,147
2020,8,90,727,54,15,56,57,42,31,43,44,57,35,74,25,16,60,60,44,14
2020,8,100,38,2,0,6,1,0,2,1,2,6,3,3,0,4,2,2,1,3
2020,9,총,"53,507","2,748",650,"3,593","2,580","1,610","1,385","1,921","2,200","4,271","1,726","2,599",903,"1,437","7,871","10,580","4,328","3,105"
2020,9,0,"2,806",73,10,130,60,34,30,45,36,241,40,53,19,35,669,950,183,198
2020,9,10,"3,749",125,26,202,116,43,55,103,71,246,62,124,30,70,646,"1,215",339,276
2020,9,20,"3,900",143,50,207,134,57,67,73,96,272,72,139,22,89,827,953,393,306
2020,9,30,"4,225",134,27,214,132,65,69,74,106,308,61,105,31,100,983,"1,173",338,305
2020,9,40,"6,151",216,34,308,204,84,105,130,137,439,114,172,44,145,"1,158","1,844",562,455
2020,9,50,"9,327",488,100,625,471,278,265,353,443,743,277,395,153,271,"1,399","1,742",734,590
2020,9,60,"10,702",685,171,827,633,467,343,504,626,855,481,648,230,326,"1,180","1,408",792,526
2020,9,70,"7,120",514,117,597,455,295,247,351,363,653,335,481,185,246,616,795,584,286
2020,9,80,"4,754",316,99,421,317,244,170,244,277,449,246,406,164,135,331,434,355,146
2020,9,90,735,53,16,55,57,43,32,43,43,59,35,73,25,16,60,64,47,14
2020,9,100,38,1,0,7,1,0,2,1,2,6,3,3,0,4,2,2,1,3
2020,10,총,"53,502","2,743",650,"3,591","2,575","1,605","1,389","1,920","2,193","4,272","1,728","2,596",905,"1,431","7,942","10,569","4,317","3,076"
2020,10,0,"2,777",72,10,128,55,33,30,43,33,238,40,54,19,34,673,943,182,190
2020,10,10,"3,737",123,22,203,114,44,54,103,73,250,63,123,30,68,650,"1,212",331,274
2020,10,20,"3,911",144,50,201,139,56,68,74,94,269,70,139,22,87,850,958,393,297
2020,10,30,"4,216",130,27,211,131,63,69,77,107,313,61,109,31,97,994,"1,163",335,298
2020,10,40,"6,122",212,34,304,198,81,105,130,133,433,116,169,44,146,"1,166","1,838",560,453
2020,10,50,"9,306",487,101,630,476,275,262,345,445,735,276,391,153,269,"1,404","1,745",731,581
2020,10,60,"10,768",690,173,831,633,474,348,510,621,867,482,654,229,327,"1,189","1,411",796,533
2020,10,70,"7,134",516,119,596,456,293,249,347,365,656,334,476,187,244,624,794,589,289
2020,10,80,"4,769",316,98,426,317,245,170,246,276,446,250,410,165,138,332,438,353,143
2020,10,90,724,52,16,55,55,41,32,44,44,59,33,68,25,17,57,65,46,15
2020,10,100,38,1,0,6,1,0,2,1,2,6,3,3,0,4,3,2,1,3
2020,11,총,"53,494","2,734",652,"3,592","2,558","1,597","1,379","1,927","2,186","4,282","1,734","2,592",906,"1,427","8,001","10,562","4,309","3,056"
2020,11,0,"2,764",72,10,129,53,33,27,44,34,239,40,53,18,34,685,928,180,185
2020,11,10,"3,727",119,22,199,112,42,53,99,73,252,63,121,29,68,653,"1,218",333,271
2020,11,20,"3,915",144,52,199,136,57,68,72,94,272,70,140,25,84,856,956,393,297
2020,11,30,"4,227",132,28,214,129,63,66,80,107,311,62,108,30,94,"1,012","1,160",335,296
2020,11,40,"6,088",208,31,299,196,79,100,131,135,432,115,166,47,144,"1,171","1,836",550,448
2020,11,50,"9,287",484,106,630,468,271,259,348,441,741,278,392,151,271,"1,402","1,740",733,572
2020,11,60,"10,800",690,169,834,637,472,353,509,621,867,481,657,227,329,"1,200","1,423",794,537
2020,11,70,"7,159",518,121,601,453,295,248,351,364,656,337,474,189,245,629,797,594,287
2020,11,80,"4,761",315,97,425,317,245,170,247,271,446,252,409,166,137,333,437,351,143
2020,11,90,728,51,16,56,56,40,32,46,44,60,33,69,24,17,57,65,45,17
2020,11,100,38,1,0,6,1,0,3,0,2,6,3,3,0,4,3,2,1,3
2020,12,총,"53,475","2,723",656,"3,594","2,545","1,591","1,378","1,928","2,181","4,301","1,732","2,577",905,"1,418","8,034","10,565","4,289","3,058"
2020,12,0,"2,764",72,11,134,55,31,26,44,35,241,40,52,19,32,681,929,177,185
2020,12,10,"3,712",119,22,199,113,39,49,95,73,260,59,117,26,67,654,"1,223",324,273
2020,12,20,"3,918",143,54,199,128,58,69,74,90,270,75,141,26,82,861,954,391,303
2020,12,30,"4,206",131,26,213,129,63,66,73,108,313,61,108,30,94,"1,016","1,143",334,298
2020,12,40,"6,082",207,33,298,194,77,101,139,131,435,115,162,47,140,"1,175","1,846",542,440
2020,12,50,"9,255",482,103,628,457,264,263,351,441,733,275,389,150,270,"1,398","1,738",736,577
2020,12,60,"10,829",685,175,833,643,478,350,512,625,878,474,652,229,328,"1,216","1,430",783,538
2020,12,70,"7,165",517,119,604,447,296,251,349,359,654,339,470,188,244,643,796,602,287
2020,12,80,"4,771",316,96,426,320,246,167,245,273,447,257,411,166,141,328,439,354,139
2020,12,90,734,50,17,54,57,39,33,45,44,64,34,72,24,16,59,65,45,16
2020,12,100,39,1,0,6,2,0,3,1,2,6,3,3,0,4,3,2,1,2
2021,1,총,"53,396","2,713",656,"3,577","2,532","1,596","1,372","1,913","2,177","4,296","1,731","2,570",906,"1,418","8,088","10,534","4,269","3,048"
2021,1,0,"2,740",71,10,128,55,31,25,40,35,234,42,49,19,32,688,926,175,180
2021,1,10,"3,704",119,21,196,114,37,50,97,73,262,56,112,28,66,663,"1,212",326,272
2021,1,20,"3,884",135,54,193,118,58,64,74,87,269,71,142,24,82,875,959,380,299
2021,1,30,"4,161",133,26,208,131,64,63,70,106,308,65,102,27,93,"1,018","1,124",330,293
2021,1,40,"6,061",203,32,294,191,74,102,135,126,439,111,166,49,142,"1,178","1,837",543,439
2021,1,50,"9,250",484,104,630,452,263,261,346,444,728,276,388,149,267,"1,400","1,747",729,582
2021,1,60,"10,870",679,176,837,644,488,352,511,627,891,476,652,227,333,"1,225","1,428",785,539
2021,1,70,"7,171",518,120,602,446,297,252,349,364,650,338,468,190,240,649,798,598,292
2021,1,80,"4,776",318,94,428,322,243,167,246,272,446,258,415,168,142,325,437,358,137
2021,1,90,740,52,19,55,57,41,33,44,41,63,35,73,25,17,64,64,44,13
2021,1,100,39,1,0,6,2,0,3,1,2,6,3,3,0,4,3,2,1,2
2021,2,총,"53,283","2,707",658,"3,565","2,521","1,593","1,375","1,916","2,177","4,266","1,733","2,559",914,"1,410","8,098","10,500","4,257","3,034"
2021,2,0,"2,703",67,12,126,52,29,26,40,35,226,45,48,19,32,684,913,176,173
2021,2,10,"3,698",121,21,192,109,38,48,97,74,264,55,111,28,65,668,"1,208",326,273
2021,2,20,"3,819",132,53,186,117,56,61,75,86,260,71,138,28,80,867,949,366,294
2021,2,30,"4,140",132,27,206,130,68,64,71,105,305,66,102,27,91,"1,020","1,105",327,294
2021,2,40,"6,042",201,33,297,183,75,101,135,127,437,110,164,51,141,"1,182","1,838",537,430
2021,2,50,"9,248",487,101,628,453,257,260,345,442,730,273,382,152,266,"1,406","1,744",731,591
2021,2,60,"10,872",675,176,843,644,490,358,509,627,885,476,651,228,325,"1,224","1,437",790,534
2021,2,70,"7,185",520,123,592,447,295,249,352,362,648,343,470,190,244,655,799,603,293
2021,2,80,"4,801",317,93,434,326,247,173,246,276,442,255,420,168,145,323,444,355,137
2021,2,90,737,54,19,54,58,38,32,45,41,65,36,70,23,17,66,61,45,13
2021,2,100,38,1,0,7,2,0,3,1,2,4,3,3,0,4,3,2,1,2
2021,3,총,"53,148","2,687",663,"3,548","2,515","1,600","1,370","1,907","2,168","4,230","1,723","2,558",915,"1,398","8,110","10,472","4,257","3,027"
2021,3,0,"2,674",63,10,124,52,30,26,40,34,219,45,47,19,31,692,891,178,173
2021,3,10,"3,679",118,24,191,105,41,46,97,74,258,52,109,27,64,664,"1,211",320,278
2021,3,20,"3,766",127,59,184,119,54,56,71,83,250,75,138,30,75,849,942,365,289
2021,3,30,"4,114",132,26,201,130,63,65,69,104,303,63,100,26,92,"1,026","1,090",329,295
2021,3,40,"6,030",199,31,298,184,77,99,134,127,432,112,166,48,140,"1,187","1,828",541,427
2021,3,50,"9,197",478,100,618,446,261,261,341,439,722,268,386,151,262,"1,407","1,749",725,583
2021,3,60,"10,906",677,179,846,645,490,362,503,622,888,475,649,229,328,"1,232","1,452",790,539
2021,3,70,"7,205",520,122,591,445,297,249,357,368,646,344,472,191,243,660,803,610,287
2021,3,80,"4,831",321,93,437,329,249,174,249,274,446,257,419,171,146,325,444,356,141
2021,3,90,726,51,19,54,58,38,30,45,41,65,31,69,23,17,67,61,43,14
2021,3,100,20,1,0,4,2,0,2,1,2,1,1,3,0,0,1,1,0,1
2021,4,총,"53,159","2,680",660,"3,548","2,511","1,604","1,375","1,915","2,173","4,220","1,721","2,549",922,"1,393","8,126","10,466","4,258","3,038"
2021,4,0,"2,661",64,9,124,50,30,27,40,33,215,43,44,19,32,691,885,181,174
2021,4,10,"3,672",117,24,190,104,39,46,97,73,255,53,111,28,64,668,"1,204",319,280
2021,4,20,"3,749",122,59,184,117,55,58,73,82,254,75,133,31,74,838,937,366,291
2021,4,30,"4,104",138,27,198,126,63,66,71,104,299,65,97,26,94,"1,021","1,089",333,287
2021,4,40,"6,044",195,31,298,188,74,100,130,128,426,112,169,49,141,"1,201","1,834",540,428
2021,4,50,"9,173",473,99,614,448,262,254,341,443,717,268,384,157,252,"1,399","1,748",724,590
2021,4,60,"10,962",682,178,855,647,493,365,510,623,893,475,647,227,331,"1,258","1,458",782,538
2021,4,70,"7,192",515,121,593,442,296,252,355,370,648,342,477,190,240,651,798,609,293
2021,4,80,"4,847",323,93,432,330,254,174,249,273,447,257,417,171,148,329,449,361,140
2021,4,90,734,50,19,56,57,38,31,47,42,65,30,67,24,17,69,63,43,16
2021,4,100,21,1,0,4,2,0,2,2,2,1,1,3,0,0,1,1,0,1
2021,5,총,"52,984","2,658",653,"3,513","2,507","1,604","1,375","1,917","2,165","4,189","1,719","2,546",919,"1,378","8,135","10,457","4,228","3,021"
2021,5,0,"2,658",63,9,124,50,29,25,40,33,214,43,45,20,33,693,889,180,168
2021,5,10,"3,655",117,25,188,100,40,46,94,72,259,52,110,26,66,672,"1,194",317,277
2021,5,20,"3,726",118,58,181,122,54,57,74,77,250,76,134,32,73,831,941,362,286
2021,5,30,"4,081",133,26,194,125,63,64,69,105,290,65,96,26,96,"1,024","1,083",332,290
2021,5,40,"6,023",198,31,297,193,74,101,136,128,424,112,168,46,139,"1,193","1,836",528,419
2021,5,50,"9,117",467,96,609,435,261,259,338,433,709,263,380,154,247,"1,410","1,748",720,588
2021,5,60,"10,945",682,175,843,647,494,363,514,630,887,474,649,228,319,"1,262","1,453",784,541
2021,5,70,"7,167",507,120,584,438,297,252,353,372,643,341,479,192,242,648,805,602,292
2021,5,80,"4,855",321,93,431,339,253,175,252,270,446,262,417,171,146,332,444,360,143
2021,5,90,734,50,20,58,56,39,31,45,43,66,30,65,24,17,68,63,43,16
2021,5,100,23,2,0,4,2,0,2,2,2,1,1,3,0,0,2,1,0,1
2021,6,총,"52,961","2,649",650,"3,515","2,498","1,602","1,374","1,902","2,161","4,191","1,715","2,534",923,"1,366","8,177","10,447","4,229","3,028"
2021,6,0,"2,648",60,8,123,50,30,25,38,31,215,43,47,22,31,697,883,180,165
2021,6,10,"3,638",117,26,185,100,40,48,91,71,257,50,106,25,67,679,"1,187",310,279
2021,6,20,"3,737",116,56,182,122,54,59,74,76,248,72,135,33,74,839,950,363,284
2021,6,30,"4,055",128,26,191,121,63,64,63,106,289,65,97,27,96,"1,030","1,067",331,291
2021,6,40,"6,030",197,29,300,195,74,100,136,127,426,112,161,46,140,"1,202","1,838",526,421
2021,6,50,"9,050",468,98,606,429,253,255,334,421,702,264,376,153,242,"1,405","1,737",720,587
2021,6,60,"11,004",684,174,847,648,498,366,512,641,894,473,651,232,313,"1,267","1,466",790,548
2021,6,70,"7,168",502,120,587,439,294,253,354,373,644,343,474,191,243,653,807,602,289
2021,6,80,"4,876",323,93,432,335,257,174,253,269,449,264,417,170,145,336,451,362,146
2021,6,90,732,52,20,58,57,39,28,45,44,66,28,67,24,15,67,60,45,17
2021,6,100,23,2,0,4,2,0,2,2,2,1,1,3,0,0,2,1,0,1
2021,7,총,"52,921","2,645",640,"3,516","2,492","1,594","1,379","1,897","2,160","4,187","1,716","2,530",924,"1,366","8,187","10,442","4,223","3,023"
2021,7,0,"2,629",58,7,119,49,27,25,37,31,221,42,46,22,31,696,877,176,165
2021,7,10,"3,624",114,26,187,100,41,46,89,68,253,51,109,25,67,673,"1,184",310,281
2021,7,20,"3,726",116,53,185,122,53,60,75,77,249,70,130,34,71,838,945,369,279
2021,7,30,"4,039",128,22,187,122,61,64,63,103,286,65,99,27,96,"1,040","1,061",325,290
2021,7,40,"5,992",195,31,298,190,72,99,129,128,423,107,163,47,138,"1,196","1,827",526,423
2021,7,50,"9,044",460,95,606,423,257,253,339,423,698,264,383,147,246,"1,403","1,746",717,584
2021,7,60,"11,069",695,175,852,655,494,373,515,638,894,481,649,237,315,"1,281","1,474",792,549
2021,7,70,"7,153",503,120,582,432,293,252,352,376,648,341,467,190,243,651,810,603,290
2021,7,80,"4,881",321,92,436,340,255,176,251,266,445,265,417,171,144,340,456,362,144
2021,7,90,742,53,19,60,57,41,29,45,48,69,29,65,24,15,68,60,43,17
2021,7,100,22,2,0,4,2,0,2,2,2,1,1,2,0,0,1,2,0,1
2021,8,총,"52,881","2,644",634,"3,521","2,486","1,581","1,375","1,891","2,154","4,177","1,715","2,528",923,"1,362","8,214","10,447","4,219","3,010"
2021,8,0,"2,624",58,8,119,48,25,24,36,31,217,41,47,22,29,700,872,182,165
2021,8,10,"3,614",110,26,189,101,41,46,90,67,255,51,105,24,68,672,"1,186",304,279
2021,8,20,"3,703",117,51,183,123,51,61,76,73,239,66,129,34,70,845,940,371,274
2021,8,30,"4,042",131,23,187,119,57,60,61,106,282,68,103,27,97,"1,038","1,076",321,286
2021,8,40,"5,991",194,31,298,194,72,102,128,126,426,107,161,48,139,"1,197","1,822",529,417
2021,8,50,"9,019",462,93,607,419,258,250,336,418,704,269,382,144,242,"1,398","1,736",715,586
2021,8,60,"11,078",692,173,848,650,490,372,513,641,891,479,648,239,316,"1,294","1,486",791,555
2021,8,70,"7,162",500,120,591,431,295,252,350,376,642,342,468,190,243,663,809,602,288
2021,8,80,"4,894",324,91,434,344,250,177,254,267,452,266,420,170,144,339,459,358,145
2021,8,90,733,54,18,61,55,42,29,45,48,68,25,63,25,14,67,59,46,14
2021,8,100,21,2,0,4,2,0,2,2,1,1,1,2,0,0,1,2,0,1
2021,9,총,"52,784","2,637",636,"3,510","2,464","1,579","1,370","1,885","2,152","4,165","1,711","2,517",921,"1,358","8,226","10,434","4,205","3,014"
2021,9,0,"2,601",58,8,113,45,25,22,36,33,211,42,44,22,29,696,871,181,165
2021,9,10,"3,610",109,25,190,104,39,46,88,66,258,49,106,22,70,672,"1,186",302,278
2021,9,20,"3,616",114,52,180,112,53,60,74,70,232,65,124,34,69,828,922,359,268
2021,9,30,"4,037",128,25,182,119,58,59,60,111,278,68,99,26,95,"1,048","1,070",326,285
2021,9,40,"5,969",193,31,292,196,70,101,126,121,423,106,162,47,140,"1,203","1,806",527,425
2021,9,50,"9,023",457,93,604,413,256,247,331,420,706,268,380,142,241,"1,399","1,765",716,585
2021,9,60,"11,067",698,170,852,647,490,373,517,640,888,477,647,240,311,"1,301","1,471",789,556
2021,9,70,"7,164",492,123,597,424,294,249,347,373,642,342,468,191,243,667,823,599,290
2021,9,80,"4,927",328,90,433,347,252,181,257,269,455,268,425,171,145,343,459,358,146
2021,9,90,747,57,19,63,55,42,30,47,48,71,25,60,26,15,67,59,48,15
2021,9,100,23,3,0,4,2,0,2,2,1,1,1,2,0,0,2,2,0,1
2021,10,총,"52,751","2,631",636,"3,508","2,462","1,589","1,368","1,871","2,164","4,154","1,711","2,508",921,"1,354","8,214","10,456","4,199","3,005"
2021,10,0,"2,585",56,8,109,47,25,20,36,32,204,41,43,22,30,688,883,178,163
2021,10,10,"3,603",108,23,185,103,43,46,86,66,257,50,107,22,70,671,"1,195",299,272
2021,10,20,"3,601",113,53,182,110,53,61,75,64,229,69,123,34,69,824,914,360,268
2021,10,30,"4,019",128,26,180,121,60,59,59,117,274,65,99,25,97,"1,028","1,074",326,281
2021,10,40,"5,955",194,30,290,194,70,99,122,126,420,106,165,47,138,"1,209","1,792",527,426
2021,10,50,"9,003",452,92,608,412,257,244,328,417,708,264,370,141,243,"1,402","1,777",707,581
2021,10,60,"11,101",699,169,849,647,489,374,517,647,896,478,648,239,309,"1,312","1,473",794,561
2021,10,70,"7,154",494,121,600,422,298,249,345,376,632,345,470,191,238,662,823,596,292
2021,10,80,"4,963",326,95,437,348,252,184,254,271,461,267,425,173,146,349,462,367,146
2021,10,90,744,58,19,64,56,42,30,47,47,72,25,56,27,14,67,61,45,14
2021,10,100,23,3,0,4,2,0,2,2,1,1,1,2,0,0,2,2,0,1
2021,11,총,"52,726","2,632",632,"3,508","2,445","1,586","1,364","1,865","2,155","4,149","1,702","2,505",922,"1,349","8,233","10,475","4,194","3,010"
2021,11,0,"2,570",56,7,109,45,24,20,34,31,203,41,42,20,30,678,887,179,164
2021,11,10,"3,583",107,24,182,101,43,46,84,66,251,49,107,23,69,666,"1,194",296,275
2021,11,20,"3,601",112,52,184,107,53,62,74,60,238,68,121,34,66,832,918,355,265
2021,11,30,"4,004",128,27,181,121,58,58,60,119,276,63,97,25,96,"1,029","1,067",316,283
2021,11,40,"5,946",194,29,295,192,71,100,122,123,413,100,163,45,135,"1,209","1,800",533,422
2021,11,50,"9,005",450,91,602,404,257,244,317,418,704,265,372,145,241,"1,417","1,779",713,586
2021,11,60,"11,124",703,165,850,644,493,368,526,643,899,478,646,236,311,"1,328","1,473",796,565
2021,11,70,"7,145",497,124,599,422,295,247,345,381,628,347,467,193,239,664,820,589,288
2021,11,80,"4,977",325,94,436,351,251,188,255,267,464,261,431,174,147,339,474,373,147
2021,11,90,750,58,19,66,55,41,29,47,46,72,29,57,27,15,69,62,44,14
