년도,월,나이,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020,9,20,"28,861","1,471","1,564","2,783","1,868","2,096",776,"2,314",706,"1,246","1,224","1,439","1,347","1,473","1,352","1,804","2,790","1,671",937
2020,9,30,"34,604","1,978","2,066","2,731","2,205","2,350",494,"3,089",958,"1,519","1,518","1,378","1,669","1,721","1,577","2,040","3,632","2,168","1,511"
2020,9,40,"41,047","1,985","1,746","2,619","3,396","3,205","1,353","3,308","2,037","2,526","1,968","2,234","1,530","1,641","1,786","2,399","3,982","1,848","1,484"
2020,9,50,"32,053","1,506","1,260","2,442","2,279","2,513","1,043","1,975",982,"1,694","1,473","1,730","1,315","1,752","1,904","1,814","3,305","1,712","1,354"
2020,9,60,"25,523","1,261",983,"1,924","1,610","1,600",661,"1,562",717,"1,220","1,267","1,188","1,168","1,592","1,685","1,279","3,143","1,372","1,291"
2020,9,70,"14,476",688,558,"1,104",953,838,562,874,518,720,638,737,708,877,825,892,"1,580",677,727
2020,9,80,"5,489",280,157,416,360,371,171,289,175,297,241,365,255,295,333,322,639,208,315
2020,9,90,"1,316",64,48,90,84,97,29,70,47,72,67,73,50,64,82,68,181,70,60
2020,9,100,164,2,16,11,13,10,10,15,18,13,3,7,7,11,2,10,4,3,9
2020,10,총,"222,051","10,901","10,619","16,303","16,203","15,089","6,354","16,747","8,463","11,767","10,268","11,362","9,240","10,793","11,122","12,930","23,364","11,178","9,348"
2020,10,0,"16,514",723,825,843,"1,430","1,055",287,"1,554",881,962,818,753,582,589,651,835,"2,029",658,"1,039"
2020,10,10,"22,201",958,842,"1,175","2,030","1,722",949,"1,719","1,413","1,455","1,049","1,485",630,794,992,"1,437","2,108",807,636
2020,10,20,"28,772","1,482","1,632","2,797","1,862","1,981",772,"2,307",710,"1,262","1,224","1,429","1,326","1,469","1,346","1,806","2,766","1,668",933
2020,10,30,"34,378","1,961","2,182","2,804","2,157","2,185",497,"3,068",948,"1,490","1,512","1,371","1,664","1,707","1,557","2,033","3,601","2,152","1,489"
2020,10,40,"41,084","1,971","1,880","2,632","3,427","3,070","1,357","3,287","2,042","2,530","1,965","2,225","1,538","1,648","1,777","2,395","3,997","1,845","1,498"
2020,10,50,"32,041","1,521","1,361","2,472","2,274","2,357","1,054","1,988",988,"1,715","1,476","1,725","1,310","1,741","1,888","1,830","3,294","1,702","1,345"
2020,10,60,"25,568","1,259","1,063","1,944","1,609","1,494",658,"1,564",723,"1,221","1,267","1,193","1,170","1,599","1,680","1,298","3,157","1,378","1,291"
2020,10,70,"14,521",682,597,"1,106",953,783,569,882,520,743,652,739,711,877,817,893,"1,584",683,730
2020,10,80,"5,496",279,166,429,362,343,173,290,174,304,237,363,253,292,330,326,646,213,316
2020,10,90,"1,309",63,55,89,86,89,28,73,46,72,65,71,49,65,82,67,178,69,62
2020,10,100,167,2,16,12,13,10,10,15,18,13,3,8,7,12,2,10,4,3,9
2020,11,총,"221,938","10,923","10,979","16,362","16,169","14,871","6,342","16,766","8,451","11,751","10,256","11,341","9,207","10,794","11,073","12,895","23,280","11,156","9,322"
2020,11,0,"16,410",721,873,850,"1,408","1,038",285,"1,551",878,950,811,746,584,588,648,827,"1,981",652,"1,019"
2020,11,10,"22,241",953,881,"1,175","2,036","1,708",943,"1,715","1,422","1,455","1,049","1,479",630,798,991,"1,430","2,126",809,641
2020,11,20,"28,711","1,495","1,632","2,803","1,855","1,948",777,"2,323",705,"1,262","1,224","1,431","1,312","1,456","1,339","1,796","2,763","1,655",935
2020,11,30,"34,234","1,966","2,248","2,819","2,146","2,125",498,"3,049",940,"1,471","1,493","1,366","1,643","1,718","1,544","2,032","3,548","2,153","1,475"
2020,11,40,"41,035","1,956","1,973","2,639","3,410","3,018","1,347","3,291","2,046","2,529","1,964","2,216","1,514","1,651","1,767","2,380","3,990","1,834","1,510"
2020,11,50,"32,085","1,540","1,395","2,488","2,281","2,328","1,060","1,994",979,"1,727","1,487","1,728","1,320","1,735","1,892","1,828","3,286","1,686","1,331"
2020,11,60,"25,692","1,271","1,108","1,942","1,617","1,489",659,"1,577",721,"1,227","1,268","1,191","1,177","1,603","1,669","1,307","3,172","1,396","1,298"
2020,11,70,"14,540",674,628,"1,114",958,777,564,886,523,739,655,741,715,874,812,887,"1,582",682,729
2020,11,80,"5,510",281,174,428,360,341,170,292,174,305,236,366,257,293,329,331,645,214,314
2020,11,90,"1,312",64,51,92,85,89,28,73,46,73,66,69,48,66,79,67,183,72,61
2020,11,100,168,2,16,12,13,10,11,15,17,13,3,8,7,12,3,10,4,3,9
2020,12,총,"221,767","10,902","11,258","16,391","16,183","14,762","6,305","16,718","8,412","11,761","10,219","11,302","9,169","10,759","11,007","12,907","23,247","11,192","9,273"
2020,12,0,"16,361",723,910,848,"1,414","1,029",279,"1,550",875,954,796,743,583,581,640,831,"1,950",650,"1,005"
2020,12,10,"22,209",952,888,"1,178","2,044","1,702",932,"1,706","1,418","1,463","1,040","1,471",621,805,971,"1,431","2,134",812,641
2020,12,20,"28,652","1,477","1,694","2,790","1,855","1,911",774,"2,311",695,"1,264","1,215","1,427","1,313","1,442","1,333","1,804","2,762","1,664",921
2020,12,30,"34,084","1,947","2,307","2,835","2,128","2,090",491,"3,009",931,"1,466","1,480","1,351","1,624","1,703","1,532","2,023","3,529","2,177","1,461"
2020,12,40,"40,991","1,976","2,015","2,660","3,424","3,002","1,332","3,297","2,024","2,526","1,956","2,207","1,507","1,645","1,740","2,374","3,976","1,821","1,509"
2020,12,50,"32,097","1,544","1,427","2,483","2,282","2,307","1,070","1,986",989,"1,721","1,495","1,719","1,314","1,732","1,883","1,819","3,304","1,698","1,324"
2020,12,60,"25,756","1,260","1,131","1,942","1,622","1,492",660,"1,591",717,"1,237","1,272","1,206","1,178","1,606","1,671","1,315","3,159","1,397","1,300"
2020,12,70,"14,584",676,637,"1,117",958,779,564,883,526,732,661,739,716,873,822,894,"1,601",680,726
2020,12,80,"5,546",281,182,430,361,352,166,297,172,310,235,359,257,291,332,340,650,216,315
2020,12,90,"1,317",64,51,96,82,88,26,73,48,75,65,72,49,69,80,66,177,74,62
2020,12,100,170,2,16,12,13,10,11,15,17,13,4,8,7,12,3,10,5,3,9
2021,1,총,"221,610","10,848","11,460","16,465","16,175","14,714","6,250","16,678","8,416","11,761","10,222","11,284","9,134","10,761","10,939","12,916","23,149","11,193","9,245"
2021,1,0,"16,230",714,927,843,"1,400","1,016",271,"1,523",870,951,794,732,579,578,635,841,"1,915",648,993
2021,1,10,"22,201",938,905,"1,193","2,056","1,699",929,"1,705","1,423","1,452","1,052","1,465",614,809,955,"1,431","2,125",810,640
2021,1,20,"28,549","1,481","1,715","2,780","1,848","1,896",763,"2,299",691,"1,268","1,197","1,427","1,304","1,442","1,329","1,788","2,746","1,651",924
2021,1,30,"33,998","1,926","2,365","2,871","2,109","2,085",479,"2,980",931,"1,465","1,481","1,344","1,606","1,702","1,514","2,016","3,491","2,184","1,449"
2021,1,40,"40,919","1,970","2,048","2,671","3,428","2,985","1,304","3,302","2,025","2,505","1,939","2,202","1,507","1,646","1,728","2,371","3,974","1,817","1,497"
2021,1,50,"32,205","1,536","1,456","2,483","2,291","2,305","1,072","1,997",990,"1,744","1,515","1,720","1,319","1,720","1,873","1,843","3,318","1,699","1,324"
2021,1,60,"25,760","1,248","1,132","1,962","1,621","1,501",661,"1,585",723,"1,230","1,267","1,213","1,179","1,618","1,667","1,306","3,138","1,406","1,303"
2021,1,70,"14,678",690,663,"1,115",960,772,565,896,530,747,667,739,710,871,829,901,"1,607",685,731
2021,1,80,"5,574",280,184,436,364,356,170,304,169,311,238,360,261,294,328,342,652,215,310
2021,1,90,"1,322",63,49,98,84,89,26,72,47,74,68,73,49,69,78,67,178,73,65
2021,1,100,174,2,16,13,14,10,10,15,17,14,4,9,6,12,3,10,5,5,9
2021,2,총,"221,137","10,830","11,608","16,501","16,140","14,572","6,186","16,627","8,399","11,788","10,239","11,287","9,111","10,735","10,859","12,895","22,997","11,156","9,207"
2021,2,0,"16,171",711,971,833,"1,398",997,261,"1,544",861,957,801,732,569,579,623,845,"1,880",638,971
2021,2,10,"22,148",937,918,"1,199","2,038","1,685",919,"1,695","1,422","1,450","1,059","1,471",610,808,958,"1,425","2,104",804,646
2021,2,20,"28,300","1,459","1,704","2,782","1,845","1,880",744,"2,270",686,"1,258","1,184","1,407","1,291","1,430","1,300","1,770","2,720","1,657",913
2021,2,30,"33,787","1,915","2,402","2,882","2,080","2,057",471,"2,930",932,"1,464","1,470","1,355","1,624","1,681","1,485","1,990","3,461","2,154","1,434"
2021,2,40,"40,923","1,978","2,093","2,686","3,435","2,950","1,277","3,311","2,013","2,518","1,949","2,206","1,496","1,652","1,738","2,364","3,945","1,816","1,496"
2021,2,50,"32,215","1,543","1,467","2,492","2,298","2,289","1,078","1,999",995,"1,752","1,514","1,717","1,322","1,715","1,854","1,858","3,299","1,696","1,327"
2021,2,60,"25,813","1,252","1,132","1,958","1,619","1,494",666,"1,597",723,"1,239","1,281","1,220","1,168","1,620","1,671","1,307","3,156","1,402","1,308"
2021,2,70,"14,692",685,673,"1,123",963,763,564,894,534,753,662,738,717,871,823,902,"1,608",691,728
2021,2,80,"5,592",285,183,437,367,357,168,301,169,305,245,359,260,295,327,358,647,218,311
2021,2,90,"1,319",63,49,96,83,90,28,71,47,77,70,74,48,71,76,66,171,75,64
2021,2,100,177,2,16,13,14,10,10,15,17,15,4,8,6,13,4,10,6,5,9
2021,3,총,"219,696","10,766","11,568","16,538","16,058","14,466","6,036","16,549","8,284","11,739","10,132","11,255","9,070","10,615","10,601","12,830","22,885","11,112","9,192"
2021,3,0,"16,034",710,979,830,"1,385","1,002",262,"1,525",855,949,794,728,560,572,616,825,"1,848",635,959
2021,3,10,"22,108",929,919,"1,214","2,046","1,663",907,"1,707","1,415","1,448","1,056","1,457",623,804,930,"1,431","2,106",802,651
2021,3,20,"28,174","1,434","1,708","2,805","1,822","1,873",744,"2,276",676,"1,260","1,154","1,410","1,292","1,429","1,275","1,759","2,694","1,657",906
2021,3,30,"33,567","1,905","2,416","2,894","2,063","2,028",469,"2,885",922,"1,477","1,459","1,355","1,611","1,639","1,453","1,964","3,463","2,130","1,434"
2021,3,40,"40,633","1,975","2,083","2,683","3,411","2,918","1,239","3,309","1,992","2,488","1,928","2,199","1,487","1,638","1,704","2,368","3,911","1,806","1,494"
2021,3,50,"32,065","1,545","1,456","2,486","2,303","2,275","1,055","1,994",984,"1,752","1,516","1,721","1,311","1,699","1,810","1,863","3,276","1,706","1,313"
2021,3,60,"25,681","1,234","1,127","1,959","1,609","1,498",647,"1,597",719,"1,225","1,264","1,214","1,166","1,614","1,618","1,304","3,168","1,395","1,323"
2021,3,70,"14,512",693,652,"1,126",955,759,531,877,506,748,651,738,711,862,805,883,"1,597",684,734
2021,3,80,"5,548",280,179,438,366,359,154,304,169,301,242,356,263,285,311,365,648,221,307
2021,3,90,"1,273",61,45,99,83,82,23,68,41,74,66,72,44,69,75,65,170,72,64
2021,3,100,101,0,4,4,15,9,5,7,5,17,2,5,2,4,4,3,4,4,7
2021,4,총,"219,243","10,756","11,586","16,646","16,025","14,405","5,997","16,520","8,261","11,726","10,130","11,236","9,065","10,565","10,422","12,772","22,851","11,095","9,185"
2021,4,0,"15,952",703,989,831,"1,383",992,263,"1,521",842,947,796,729,552,562,604,825,"1,835",627,951
2021,4,10,"22,022",927,915,"1,210","2,036","1,655",890,"1,712","1,423","1,455","1,048","1,451",621,812,921,"1,418","2,084",798,646
2021,4,20,"28,109","1,439","1,691","2,874","1,820","1,851",737,"2,259",676,"1,247","1,146","1,413","1,297","1,401","1,241","1,745","2,706","1,654",912
2021,4,30,"33,456","1,901","2,414","2,912","2,057","2,024",467,"2,870",910,"1,461","1,451","1,350","1,603","1,643","1,441","1,938","3,437","2,138","1,439"
2021,4,40,"40,502","1,977","2,098","2,678","3,384","2,896","1,225","3,313","1,983","2,503","1,938","2,185","1,492","1,617","1,669","2,362","3,891","1,799","1,492"
2021,4,50,"31,990","1,537","1,457","2,497","2,298","2,275","1,057","1,985",984,"1,743","1,520","1,716","1,304","1,702","1,772","1,858","3,283","1,700","1,302"
2021,4,60,"25,754","1,238","1,133","1,971","1,614","1,504",646,"1,604",722,"1,225","1,266","1,216","1,173","1,613","1,604","1,304","3,195","1,401","1,325"
2021,4,70,"14,510",694,653,"1,131",962,760,529,877,504,750,655,743,710,860,784,886,"1,599",680,733
2021,4,80,"5,559",279,185,439,372,356,154,304,173,303,242,355,265,281,307,367,648,219,310
2021,4,90,"1,285",61,47,98,83,83,24,68,39,75,66,73,46,70,75,66,169,75,67
2021,4,100,104,0,4,5,16,9,5,7,5,17,2,5,2,4,4,3,4,4,8
2021,5,총,"218,636","10,774","11,595","16,658","15,989","14,295","5,871","16,523","8,250","11,710","10,111","11,217","9,047","10,533","10,192","12,764","22,831","11,108","9,168"
2021,5,0,"15,845",693,980,835,"1,373",982,248,"1,516",837,944,795,724,554,556,584,825,"1,821",629,949
2021,5,10,"22,006",931,922,"1,216","2,030","1,650",860,"1,714","1,422","1,445","1,057","1,456",619,812,908,"1,416","2,096",797,655
2021,5,20,"27,963","1,463","1,681","2,878","1,825","1,829",727,"2,243",676,"1,248","1,129","1,411","1,290","1,391","1,200","1,741","2,675","1,654",902
2021,5,30,"33,248","1,887","2,424","2,919","2,036","2,003",450,"2,861",913,"1,441","1,441","1,342","1,592","1,650","1,391","1,918","3,431","2,126","1,423"
2021,5,40,"40,386","1,978","2,096","2,674","3,361","2,871","1,185","3,319","1,974","2,512","1,941","2,167","1,484","1,603","1,635","2,377","3,904","1,810","1,495"
2021,5,50,"31,976","1,547","1,462","2,492","2,305","2,258","1,046","1,996",982,"1,745","1,528","1,729","1,315","1,703","1,740","1,851","3,269","1,704","1,304"
2021,5,60,"25,803","1,238","1,139","1,968","1,626","1,512",656,"1,609",725,"1,230","1,256","1,217","1,174","1,612","1,575","1,314","3,215","1,407","1,330"
2021,5,70,"14,490",695,653,"1,133",962,757,522,879,504,754,658,741,704,854,777,886,"1,602",679,730
2021,5,80,"5,548",280,187,439,376,347,149,311,175,298,239,353,269,277,304,367,645,223,309
2021,5,90,"1,283",61,47,100,82,83,23,68,38,76,65,72,45,71,74,67,169,75,67
2021,5,100,88,1,4,4,13,3,5,7,4,17,2,5,1,4,4,2,4,4,4
2021,6,총,"218,244","10,758","11,655","16,704","15,961","14,155","5,500","16,936","8,239","11,710","10,077","11,203","9,029","10,496","9,953","12,775","22,815","11,109","9,169"
2021,6,0,"15,804",681,994,836,"1,358",983,232,"1,559",833,935,789,715,554,555,573,818,"1,810",636,943
2021,6,10,"22,000",940,930,"1,216","2,019","1,638",802,"1,770","1,416","1,454","1,051","1,450",623,819,892,"1,418","2,108",791,663
2021,6,20,"27,815","1,451","1,676","2,890","1,823","1,801",692,"2,262",682,"1,247","1,127","1,413","1,279","1,365","1,147","1,733","2,659","1,659",909
2021,6,30,"33,025","1,868","2,420","2,927","2,023","1,969",424,"2,897",892,"1,422","1,428","1,339","1,565","1,640","1,348","1,919","3,413","2,128","1,403"
2021,6,40,"40,367","1,982","2,117","2,681","3,357","2,848","1,094","3,417","1,984","2,526","1,934","2,148","1,490","1,601","1,612","2,375","3,893","1,808","1,500"
2021,6,50,"31,897","1,551","1,460","2,510","2,307","2,237",998,"2,047",978,"1,743","1,523","1,736","1,309","1,691","1,692","1,864","3,256","1,695","1,300"
2021,6,60,"25,895","1,243","1,164","1,965","1,642","1,504",602,"1,680",728,"1,230","1,263","1,236","1,182","1,608","1,540","1,321","3,241","1,409","1,337"
2021,6,70,"14,490",697,654,"1,132",958,747,488,909,504,763,655,738,706,859,772,884,"1,613",680,731
2021,6,80,"5,583",285,189,444,379,341,141,317,181,304,239,351,275,283,304,372,643,224,311
2021,6,90,"1,286",59,47,99,82,84,22,71,37,76,66,71,45,71,69,69,175,75,68
2021,6,100,82,1,4,4,13,3,5,7,4,10,2,6,1,4,4,2,4,4,4
2021,7,총,"218,187","10,733","12,538","16,761","15,897","14,046","4,657","17,354","8,230","11,677","10,062","11,195","9,042","10,450","9,810","12,755","22,742","11,104","9,134"
2021,7,0,"15,789",676,"1,077",835,"1,353",974,192,"1,598",814,926,785,702,562,548,583,814,"1,774",638,938
