년도,월,나이,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동,대전광역시 유성구 학하동,대전광역시 유성구 상대동
2020,8,20,"52,865","4,486","8,268","8,377","2,892","3,192","3,891","4,026","4,331","4,242","3,715","5,445",,
2020,8,30,"56,911","4,541","6,650","6,547","3,283","3,218","6,567","5,263","4,496","4,221","4,035","8,090",,
2020,8,40,"60,866","6,000","4,365","5,602","4,370","4,878","7,383","4,167","4,411","4,870","6,105","8,715",,
2020,8,50,"54,176","6,301","5,649","6,005","3,237","4,007","5,208","3,488","4,496","4,631","4,346","6,808",,
2020,8,60,"32,688","4,238","3,881","4,384","1,768","2,032","3,298","1,829","2,362","2,410","2,064","4,422",,
2020,8,70,"13,347","1,915","1,752","1,660",873,"1,080","1,287",659,737,"1,153",658,"1,573",,
2020,8,80,"6,280",902,797,748,420,511,521,370,458,643,275,635,,
2020,8,90,"1,067",130,140,121,74,83,93,57,101,99,48,121,,
2020,8,100,57,10,23,6,1,1,4,1,3,4,1,3,,
2020,9,총,"352,604","35,353","34,736","40,286","22,274","25,094","37,903","26,018","27,332","27,989","29,110","46,509",,
2020,9,0,"35,659","3,354","1,576","3,558","2,304","2,567","5,130","3,047","2,689","2,634","3,221","5,579",,
2020,9,10,"38,445","3,441","1,518","3,256","3,039","3,479","4,578","2,963","3,248","3,139","4,593","5,191",,
2020,9,20,"52,903","4,473","8,306","8,402","2,896","3,195","3,867","4,039","4,350","4,234","3,723","5,418",,
2020,9,30,"56,858","4,545","6,693","6,528","3,268","3,229","6,512","5,277","4,492","4,209","4,050","8,055",,
2020,9,40,"60,822","5,990","4,372","5,598","4,363","4,877","7,368","4,226","4,389","4,824","6,117","8,698",,
2020,9,50,"54,171","6,325","5,637","5,967","3,249","4,026","5,219","3,500","4,496","4,617","4,358","6,777",,
2020,9,60,"32,945","4,269","3,914","4,434","1,780","2,043","3,332","1,863","2,378","2,429","2,063","4,440",,
2020,9,70,"13,354","1,910","1,751","1,659",873,"1,082","1,283",666,730,"1,157",655,"1,588",,
2020,9,80,"6,315",906,804,756,428,508,517,377,457,646,281,635,,
2020,9,90,"1,076",130,142,122,73,87,93,59,100,97,48,125,,
2020,9,100,56,10,23,6,1,1,4,1,3,3,1,3,,
2020,10,총,"352,231","35,306","34,759","40,241","22,248","24,994","37,888","26,097","27,288","27,911","29,081","46,418",,
2020,10,0,"35,421","3,307","1,573","3,538","2,293","2,517","5,112","3,062","2,668","2,613","3,195","5,543",,
2020,10,10,"38,338","3,426","1,506","3,230","3,041","3,471","4,593","2,961","3,220","3,108","4,577","5,205",,
2020,10,20,"52,880","4,478","8,290","8,404","2,884","3,199","3,862","4,036","4,360","4,236","3,740","5,391",,
2020,10,30,"56,632","4,507","6,738","6,516","3,214","3,161","6,482","5,319","4,469","4,194","4,038","7,994",,
2020,10,40,"60,763","6,001","4,367","5,585","4,391","4,878","7,372","4,227","4,377","4,777","6,103","8,685",,
2020,10,50,"54,175","6,318","5,620","5,943","3,262","4,016","5,224","3,513","4,499","4,629","4,364","6,787",,
2020,10,60,"33,144","4,300","3,941","4,466","1,778","2,061","3,342","1,875","2,400","2,445","2,082","4,454",,
2020,10,70,"13,414","1,918","1,760","1,672",881,"1,094","1,291",667,728,"1,161",654,"1,588",,
2020,10,80,"6,333",911,798,758,430,510,514,378,463,648,278,645,,
2020,10,90,"1,075",130,143,123,73,86,92,58,101,97,49,123,,
2020,10,100,56,10,23,6,1,1,4,1,3,3,1,3,,
2020,11,총,"351,790","35,210","34,834","40,202","22,213","24,946","37,903","25,989","27,213","27,887","29,073","46,320",,
2020,11,0,"35,132","3,281","1,563","3,535","2,272","2,484","5,078","2,997","2,646","2,580","3,186","5,510",,
2020,11,10,"38,303","3,408","1,491","3,208","3,044","3,476","4,615","2,963","3,213","3,100","4,581","5,204",,
2020,11,20,"52,861","4,454","8,310","8,440","2,878","3,194","3,850","4,054","4,359","4,243","3,733","5,346",,
2020,11,30,"56,375","4,496","6,773","6,465","3,198","3,147","6,459","5,237","4,433","4,176","4,046","7,945",,
2020,11,40,"60,631","5,972","4,385","5,598","4,388","4,829","7,387","4,220","4,365","4,756","6,051","8,680",,
2020,11,50,"54,169","6,307","5,612","5,891","3,248","4,030","5,231","3,531","4,489","4,660","4,388","6,782",,
2020,11,60,"33,409","4,329","3,974","4,506","1,789","2,088","3,373","1,882","2,417","2,468","2,093","4,490",,
2020,11,70,"13,407","1,909","1,756","1,670",890,"1,094","1,297",662,730,"1,160",655,"1,584",,
2020,11,80,"6,365",914,800,760,432,518,513,385,459,647,286,651,,
2020,11,90,"1,082",130,147,123,73,85,96,57,99,94,53,125,,
2020,11,100,56,10,23,6,1,1,4,1,3,3,1,3,,
2020,12,총,"351,047","35,106","34,820","40,180","22,203","24,850","37,832","25,858","27,203","27,835","29,057","46,103",,
2020,12,0,"34,946","3,264","1,556","3,521","2,274","2,474","5,051","2,928","2,635","2,552","3,191","5,500",,
2020,12,10,"38,155","3,383","1,491","3,194","3,050","3,441","4,610","2,957","3,208","3,077","4,572","5,172",,
2020,12,20,"52,744","4,450","8,317","8,443","2,855","3,187","3,814","4,073","4,378","4,247","3,722","5,258",,
2020,12,30,"56,069","4,499","6,742","6,442","3,193","3,115","6,437","5,132","4,421","4,149","4,054","7,885",,
2020,12,40,"60,445","5,942","4,388","5,594","4,378","4,800","7,376","4,221","4,350","4,750","6,002","8,644",,
2020,12,50,"54,074","6,273","5,589","5,896","3,257","4,013","5,224","3,529","4,480","4,657","4,406","6,750",,
2020,12,60,"33,611","4,328","3,997","4,513","1,813","2,114","3,389","1,910","2,440","2,490","2,103","4,514",,
2020,12,70,"13,453","1,902","1,764","1,682",885,"1,098","1,307",661,723,"1,170",661,"1,600",,
2020,12,80,"6,411",922,806,768,424,523,525,388,463,647,294,651,,
2020,12,90,"1,082",133,146,121,73,84,95,58,102,93,51,126,,
2020,12,100,57,10,24,6,1,1,4,1,3,3,1,3,,
2021,1,총,"350,875","35,090","34,917","40,070","22,160","24,797","37,778","26,071","27,104","27,830","29,062","45,996",,
2021,1,0,"34,697","3,246","1,553","3,495","2,258","2,430","5,009","2,957","2,592","2,527","3,187","5,443",,
2021,1,10,"38,129","3,397","1,479","3,177","3,033","3,445","4,626","2,962","3,199","3,070","4,574","5,167",,
2021,1,20,"52,673","4,429","8,374","8,394","2,862","3,168","3,794","4,107","4,348","4,265","3,719","5,213",,
2021,1,30,"55,991","4,475","6,773","6,407","3,190","3,102","6,366","5,285","4,406","4,114","4,052","7,821",,
2021,1,40,"60,403","5,954","4,394","5,586","4,376","4,771","7,389","4,207","4,339","4,745","5,977","8,665",,
2021,1,50,"53,935","6,236","5,534","5,884","3,245","4,014","5,212","3,501","4,468","4,673","4,427","6,741",,
2021,1,60,"33,975","4,382","4,060","4,533","1,825","2,150","3,434","1,941","2,453","2,519","2,124","4,554",,
2021,1,70,"13,482","1,899","1,780","1,687",872,"1,109","1,322",663,724,"1,168",661,"1,597",,
2021,1,80,"6,430",929,799,775,424,521,525,387,466,647,292,665,,
2021,1,90,"1,101",132,146,126,74,86,97,60,106,98,49,127,,
2021,1,100,59,11,25,6,1,1,4,1,3,4,0,3,,
2021,2,총,"350,374","34,967","34,968","40,073","22,158","24,738","37,687","26,029","27,052","27,807","28,977","45,918",,
2021,2,0,"34,435","3,235","1,546","3,458","2,264","2,400","4,969","2,935","2,564","2,501","3,181","5,382",,
2021,2,10,"38,001","3,373","1,489","3,202","3,024","3,432","4,593","2,947","3,186","3,060","4,531","5,164",,
2021,2,20,"52,519","4,393","8,362","8,394","2,865","3,136","3,788","4,122","4,334","4,243","3,716","5,166",,
2021,2,30,"55,662","4,416","6,788","6,382","3,170","3,089","6,304","5,217","4,375","4,095","4,033","7,793",,
2021,2,40,"60,367","5,956","4,399","5,598","4,372","4,755","7,361","4,241","4,332","4,757","5,940","8,656",,
2021,2,50,"53,979","6,202","5,532","5,884","3,250","4,014","5,240","3,498","4,480","4,685","4,452","6,742",,
2021,2,60,"34,283","4,408","4,107","4,553","1,838","2,173","3,473","1,966","2,471","2,547","2,130","4,617",,
2021,2,70,"13,521","1,902","1,780","1,698",879,"1,122","1,328",653,731,"1,166",654,"1,608",,
2021,2,80,"6,436",935,794,770,422,531,529,387,465,653,290,660,,
2021,2,90,"1,113",137,146,128,73,85,98,62,111,96,50,127,,
2021,2,100,58,10,25,6,1,1,4,1,3,4,0,3,,
2021,3,총,"350,136","34,904","34,920","40,074","22,090","24,785","37,650","26,000","27,009","27,806","28,942","45,956",,
2021,3,0,"34,261","3,220","1,542","3,447","2,243","2,392","4,933","2,914","2,548","2,474","3,164","5,384",,
2021,3,10,"37,931","3,344","1,499","3,224","3,019","3,440","4,575","2,937","3,169","3,056","4,522","5,146",,
2021,3,20,"52,588","4,394","8,363","8,449","2,866","3,133","3,788","4,137","4,330","4,238","3,713","5,177",,
2021,3,30,"55,473","4,406","6,797","6,355","3,174","3,116","6,205","5,183","4,382","4,081","4,034","7,740",,
2021,3,40,"60,212","5,919","4,395","5,567","4,329","4,715","7,402","4,239","4,302","4,741","5,916","8,687",,
2021,3,50,"53,950","6,195","5,481","5,870","3,238","4,038","5,258","3,496","4,464","4,707","4,463","6,740",,
2021,3,60,"34,617","4,445","4,130","4,570","1,858","2,213","3,509","1,999","2,499","2,576","2,134","4,684",,
2021,3,70,"13,504","1,893","1,767","1,689",870,"1,111","1,349",647,737,"1,169",656,"1,616",,
2021,3,80,"6,461",941,802,775,418,539,532,387,469,659,289,650,,
2021,3,90,"1,107",137,135,128,74,88,95,61,108,101,51,129,,
2021,3,100,32,10,9,0,1,0,4,0,1,4,0,3,,
2021,4,총,"350,017","34,770","34,906","40,101","22,098","24,752","37,658","26,035","27,086","27,819","28,917","45,875",,
2021,4,0,"34,125","3,199","1,537","3,456","2,226","2,375","4,912","2,930","2,545","2,464","3,139","5,342",,
2021,4,10,"37,875","3,341","1,492","3,222","3,012","3,441","4,577","2,908","3,169","3,048","4,500","5,165",,
2021,4,20,"52,506","4,359","8,332","8,433","2,866","3,115","3,793","4,134","4,362","4,250","3,734","5,128",,
2021,4,30,"55,391","4,398","6,797","6,353","3,183","3,108","6,142","5,221","4,404","4,065","4,014","7,706",,
2021,4,40,"60,183","5,897","4,391","5,575","4,320","4,717","7,422","4,246","4,295","4,732","5,897","8,691",,
2021,4,50,"53,978","6,171","5,460","5,865","3,261","4,036","5,268","3,495","4,478","4,728","4,492","6,724",,
2021,4,60,"34,803","4,450","4,171","4,595","1,865","2,214","3,544","2,004","2,509","2,591","2,143","4,717",,
2021,4,70,"13,523","1,884","1,775","1,696",869,"1,114","1,358",653,740,"1,173",651,"1,610",,
2021,4,80,"6,504",937,807,777,422,543,543,386,473,659,295,662,,
2021,4,90,"1,103",130,135,129,73,89,95,58,110,105,52,127,,
2021,4,100,26,4,9,0,1,0,4,0,1,4,0,3,,
2021,5,총,"350,046","34,783","34,895","40,086","22,122","24,743","37,650","26,036","27,191","27,793","28,876","45,871",,
2021,5,0,"33,968","3,198","1,533","3,450","2,220","2,363","4,888","2,898","2,564","2,434","3,113","5,307",,
2021,5,10,"37,813","3,327","1,485","3,198","3,011","3,439","4,567","2,918","3,169","3,041","4,487","5,171",,
2021,5,20,"52,518","4,366","8,296","8,424","2,863","3,120","3,809","4,130","4,392","4,268","3,741","5,109",,
2021,5,30,"55,283","4,375","6,812","6,366","3,188","3,106","6,103","5,215","4,432","4,044","3,999","7,643",,
2021,5,40,"60,041","5,872","4,381","5,569","4,300","4,673","7,412","4,252","4,302","4,706","5,871","8,703",,
2021,5,50,"54,118","6,196","5,465","5,850","3,275","4,066","5,297","3,491","4,468","4,749","4,506","6,755",,
2021,5,60,"35,064","4,490","4,187","4,632","1,884","2,229","3,553","2,018","2,534","2,610","2,159","4,768",,
2021,5,70,"13,566","1,883","1,784","1,686",881,"1,112","1,368",661,746,"1,172",647,"1,626",,
2021,5,80,"6,551",942,811,784,429,546,554,392,472,663,300,658,,
2021,5,90,"1,097",129,132,127,70,89,95,61,111,102,53,128,,
2021,5,100,27,5,9,0,1,0,4,0,1,4,0,3,,
2021,6,총,"349,927","34,724","34,935","40,050","22,090","24,757","37,657","26,063","27,143","27,765","28,903","45,840",,
2021,6,0,"33,869","3,199","1,519","3,437","2,203","2,352","4,863","2,898","2,565","2,415","3,109","5,309",,
2021,6,10,"37,724","3,308","1,477","3,191","3,005","3,422","4,582","2,896","3,162","3,039","4,465","5,177",,
2021,6,20,"52,404","4,349","8,299","8,394","2,867","3,137","3,799","4,132","4,361","4,251","3,753","5,062",,
2021,6,30,"55,147","4,349","6,829","6,355","3,156","3,109","6,060","5,221","4,433","4,037","4,003","7,595",,
2021,6,40,"60,045","5,859","4,398","5,578","4,290","4,657","7,432","4,255","4,286","4,709","5,865","8,716",,
2021,6,50,"54,043","6,191","5,437","5,848","3,288","4,065","5,276","3,495","4,452","4,735","4,523","6,733",,
2021,6,60,"35,385","4,509","4,223","4,640","1,895","2,254","3,612","2,039","2,561","2,635","2,184","4,833",,
2021,6,70,"13,611","1,883","1,793","1,704",890,"1,108","1,379",666,745,"1,174",648,"1,621",,
2021,6,80,"6,575",946,818,776,424,564,554,400,468,664,300,661,,
2021,6,90,"1,096",128,133,127,71,88,96,61,108,102,53,129,,
2021,6,100,28,3,9,0,1,1,4,0,2,4,0,4,,
2021,7,총,"349,836","34,669","34,986","39,985","22,080","24,778","37,596","26,090","27,152","27,732","28,905","45,863",,
2021,7,0,"33,750","3,192","1,510","3,439","2,212","2,328","4,840","2,898","2,568","2,405","3,079","5,279",,
2021,7,10,"37,640","3,308","1,459","3,175","2,991","3,420","4,567","2,887","3,155","3,036","4,457","5,185",,
2021,7,20,"52,293","4,332","8,281","8,360","2,849","3,143","3,782","4,133","4,332","4,244","3,767","5,070",,
2021,7,30,"55,037","4,337","6,877","6,328","3,147","3,113","6,013","5,231","4,439","4,030","3,986","7,536",,
2021,7,40,"59,986","5,825","4,392","5,598","4,281","4,640","7,431","4,247","4,276","4,697","5,852","8,747",,
2021,7,50,"54,100","6,165","5,454","5,809","3,305","4,101","5,292","3,505","4,465","4,711","4,553","6,740",,
2021,7,60,"35,633","4,539","4,253","4,661","1,902","2,274","3,624","2,061","2,588","2,662","2,201","4,868",,
2021,7,70,"13,663","1,893","1,793","1,713",896,"1,097","1,394",663,744,"1,175",655,"1,640",,
2021,7,80,"6,603",946,823,772,425,573,552,407,474,666,301,664,,
2021,7,90,"1,102",129,135,130,71,88,97,58,109,102,54,129,,
2021,7,100,29,3,9,0,1,1,4,0,2,4,0,5,,
2021,8,총,"349,809","34,656","35,093","39,989","22,047","24,735","37,610","26,103","27,145","27,673","28,904","45,854",,
2021,8,0,"33,589","3,173","1,511","3,407","2,181","2,321","4,825","2,910","2,554","2,391","3,074","5,242",,
2021,8,10,"37,635","3,308","1,465","3,158","2,993","3,405","4,587","2,871","3,154","3,021","4,454","5,219",,
2021,8,20,"52,291","4,341","8,319","8,399","2,839","3,119","3,787","4,131","4,333","4,229","3,744","5,050",,
2021,8,30,"54,917","4,305","6,904","6,321","3,128","3,096","5,982","5,226","4,451","4,013","4,009","7,482",,
2021,8,40,"59,862","5,782","4,378","5,592","4,270","4,636","7,428","4,245","4,260","4,674","5,831","8,766",,
2021,8,50,"54,248","6,196","5,464","5,821","3,321","4,090","5,328","3,514","4,459","4,724","4,580","6,751",,
2021,8,60,"35,767","4,570","4,282","4,663","1,912","2,295","3,613","2,078","2,604","2,657","2,203","4,890",,
2021,8,70,"13,727","1,899","1,792","1,724",901,"1,105","1,407",666,744,"1,191",651,"1,647",,
2021,8,80,"6,641",946,831,777,432,576,554,403,474,671,304,673,,
2021,8,90,"1,102",133,138,127,68,91,95,59,110,98,54,129,,
2021,8,100,30,3,9,0,2,1,4,0,2,4,0,5,,
2021,9,총,"350,337","34,604","35,287","40,313","22,038","24,693","37,631","26,182","27,186","27,657","28,899","45,847",,
2021,9,0,"33,448","3,156","1,516","3,407","2,154","2,301","4,809","2,900","2,556","2,375","3,058","5,216",,
2021,9,10,"37,602","3,297","1,456","3,172","2,998","3,402","4,573","2,874","3,141","3,020","4,446","5,223",,
2021,9,20,"52,643","4,300","8,427","8,693","2,843","3,103","3,777","4,165","4,346","4,219","3,761","5,009",,
2021,9,30,"54,834","4,277","6,958","6,296","3,127","3,079","5,956","5,252","4,455","3,992","3,977","7,465",,
2021,9,40,"59,913","5,786","4,385","5,616","4,267","4,635","7,435","4,228","4,242","4,681","5,845","8,793",,
2021,9,50,"54,338","6,203","5,456","5,808","3,319","4,078","5,379","3,531","4,478","4,737","4,596","6,753",,
2021,9,60,"36,000","4,604","4,307","4,683","1,937","2,310","3,625","2,096","2,631","2,659","2,219","4,929",,
2021,9,70,"13,744","1,898","1,792","1,731",892,"1,108","1,416",673,750,"1,192",645,"1,647",,
2021,9,80,"6,678",949,841,774,431,582,560,403,475,681,299,683,,
2021,9,90,"1,107",131,140,133,68,94,97,60,110,97,53,124,,
2021,9,100,30,3,9,0,2,1,4,0,2,4,0,5,,
2021,10,총,"350,284","34,572","35,263","40,343","22,058","24,618","37,643","26,290","27,202","27,595","28,858","45,842",,
2021,10,0,"33,275","3,136","1,514","3,400","2,139","2,267","4,784","2,920","2,535","2,354","3,030","5,196",,
2021,10,10,"37,651","3,304","1,447","3,150","3,011","3,396","4,606","2,879","3,153","3,017","4,446","5,242",,
2021,10,20,"52,495","4,276","8,406","8,740","2,826","3,093","3,764","4,123","4,328","4,205","3,743","4,991",,
2021,10,30,"54,852","4,273","6,970","6,304","3,140","3,042","5,925","5,336","4,490","3,970","3,956","7,446",,
2021,10,40,"59,804","5,773","4,399","5,588","4,256","4,610","7,446","4,228","4,232","4,662","5,840","8,770",,
2021,10,50,"54,402","6,202","5,438","5,805","3,348","4,085","5,388","3,542","4,472","4,739","4,598","6,785",,
2021,10,60,"36,181","4,630","4,303","4,708","1,928","2,330","3,658","2,107","2,650","2,671","2,247","4,949",,
2021,10,70,"13,777","1,892","1,798","1,736",899,"1,115","1,408",684,753,"1,194",643,"1,655",,
