년도,월,나이,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020,4,80,690,171,89,87,122,84,77,60
2020,4,90,63,15,10,5,9,11,5,8
2020,4,100,4,1,0,0,1,0,2,0
2020,5,총,"11,078","3,674","1,039","1,208","2,233","1,058","1,076",790
2020,5,0,627,297,48,48,123,27,51,33
2020,5,10,836,344,63,66,202,51,64,46
2020,5,20,962,357,92,85,216,79,88,45
2020,5,30,861,348,64,80,179,69,77,44
2020,5,40,"1,505",589,117,137,313,121,129,99
2020,5,50,"2,101",628,197,224,451,215,238,148
2020,5,60,"2,085",572,192,278,381,255,207,200
2020,5,70,"1,339",351,167,196,237,143,138,107
2020,5,80,696,173,89,89,121,87,77,60
2020,5,90,62,14,10,5,9,11,5,8
2020,5,100,4,1,0,0,1,0,2,0
2020,6,총,"11,073","3,675","1,039","1,210","2,220","1,058","1,078",793
2020,6,0,621,293,47,48,120,27,53,33
2020,6,10,837,349,62,66,202,50,63,45
2020,6,20,961,354,91,84,215,82,89,46
2020,6,30,848,344,64,80,171,69,74,46
2020,6,40,"1,503",594,118,137,309,116,130,99
2020,6,50,"2,093",629,197,219,448,217,239,144
2020,6,60,"2,101",572,191,287,384,256,209,202
2020,6,70,"1,353",354,168,196,242,145,139,109
2020,6,80,691,172,90,88,120,85,75,61
2020,6,90,61,13,11,5,8,11,5,8
2020,6,100,4,1,0,0,1,0,2,0
2020,7,총,"11,051","3,657","1,043","1,205","2,224","1,054","1,075",793
2020,7,0,613,288,46,48,120,27,51,33
2020,7,10,836,348,62,65,201,51,63,46
2020,7,20,960,351,91,83,213,83,90,49
2020,7,30,838,340,63,79,174,66,73,43
2020,7,40,"1,496",591,118,137,309,113,129,99
2020,7,50,"2,090",628,200,218,449,214,241,140
2020,7,60,"2,098",572,187,285,386,259,206,203
2020,7,70,"1,362",357,172,196,244,144,139,110
2020,7,80,693,169,92,89,120,86,75,62
2020,7,90,61,12,12,5,7,11,6,8
2020,7,100,4,1,0,0,1,0,2,0
2020,8,총,"11,023","3,647","1,043","1,191","2,234","1,051","1,068",789
2020,8,0,611,287,45,46,124,27,49,33
2020,8,10,833,351,63,63,198,51,61,46
2020,8,20,954,350,91,81,214,78,92,48
2020,8,30,831,334,61,77,177,67,73,42
2020,8,40,"1,487",585,117,136,312,111,127,99
2020,8,50,"2,090",632,199,215,450,219,237,138
2020,8,60,"2,101",574,189,285,386,256,209,202
2020,8,70,"1,357",350,172,194,246,145,138,112
2020,8,80,694,170,94,89,119,87,75,60
2020,8,90,61,13,12,5,7,10,5,9
2020,8,100,4,1,0,0,1,0,2,0
2020,9,총,"11,027","3,655","1,042","1,188","2,236","1,050","1,070",786
2020,9,0,607,288,43,46,124,28,47,31
2020,9,10,841,353,65,64,201,49,63,46
2020,9,20,957,355,91,80,214,78,90,49
2020,9,30,822,331,61,75,174,67,74,40
2020,9,40,"1,477",579,113,134,313,109,128,101
2020,9,50,"2,093",637,200,212,449,219,238,138
2020,9,60,"2,111",575,192,288,387,257,212,200
2020,9,70,"1,355",353,169,194,246,145,135,113
2020,9,80,697,170,94,90,120,88,76,59
2020,9,90,63,13,14,5,7,10,5,9
2020,9,100,4,1,0,0,1,0,2,0
2020,10,총,"11,018","3,649","1,040","1,181","2,238","1,048","1,072",790
2020,10,0,599,282,44,44,125,27,47,30
2020,10,10,846,363,64,64,200,46,63,46
2020,10,20,953,351,90,78,215,81,89,49
2020,10,30,816,333,60,71,172,67,73,40
2020,10,40,"1,476",573,114,134,311,107,132,105
2020,10,50,"2,076",630,199,207,444,222,238,136
2020,10,60,"2,125",581,190,290,395,252,215,202
2020,10,70,"1,358",350,170,199,248,147,130,114
2020,10,80,702,172,94,89,120,90,78,59
2020,10,90,63,13,15,5,7,9,5,9
2020,10,100,4,1,0,0,1,0,2,0
2020,11,총,"11,006","3,650","1,040","1,174","2,238","1,048","1,068",788
2020,11,0,600,284,45,44,124,27,46,30
2020,11,10,848,363,62,63,201,46,65,48
2020,11,20,941,350,88,76,213,78,88,48
2020,11,30,810,334,61,70,168,69,70,38
2020,11,40,"1,467",558,113,135,319,108,131,103
2020,11,50,"2,082",642,200,206,442,218,234,140
2020,11,60,"2,132",581,189,290,396,256,219,201
2020,11,70,"1,359",354,173,196,247,147,129,113
2020,11,80,699,169,94,90,119,90,79,58
2020,11,90,64,14,15,4,8,9,5,9
2020,11,100,4,1,0,0,1,0,2,0
2020,12,총,"11,000","3,650","1,036","1,171","2,240","1,050","1,064",789
2020,12,0,599,287,43,45,126,23,45,30
2020,12,10,847,361,62,61,202,47,65,49
2020,12,20,938,350,86,79,213,77,85,48
2020,12,30,808,332,61,70,164,70,72,39
2020,12,40,"1,464",565,115,131,316,107,129,101
2020,12,50,"2,067",632,195,203,444,223,229,141
2020,12,60,"2,143",582,192,292,398,256,221,202
2020,12,70,"1,366",357,172,196,249,148,131,113
2020,12,80,697,169,94,88,119,89,81,57
2020,12,90,67,13,16,6,8,10,5,9
2020,12,100,4,2,0,0,1,0,1,0
2021,1,총,"11,002","3,654","1,035","1,171","2,232","1,048","1,073",789
2021,1,0,598,287,42,45,126,23,46,29
2021,1,10,849,361,64,63,202,46,67,46
2021,1,20,926,347,81,78,209,77,85,49
2021,1,30,808,332,64,70,160,71,74,37
2021,1,40,"1,449",561,115,131,309,107,126,100
2021,1,50,"2,067",636,192,203,442,218,231,145
2021,1,60,"2,164",585,195,290,408,259,224,203
2021,1,70,"1,365",358,173,196,248,148,132,110
2021,1,80,704,172,93,89,118,89,82,61
2021,1,90,68,13,16,6,9,10,5,9
2021,1,100,4,2,0,0,1,0,1,0
2021,2,총,"10,987","3,644","1,033","1,167","2,239","1,048","1,070",786
2021,2,0,592,281,43,42,130,24,44,28
2021,2,10,844,361,62,65,201,48,63,44
2021,2,20,925,346,80,76,212,77,86,48
2021,2,30,804,333,65,69,157,73,70,37
2021,2,40,"1,438",553,114,128,307,109,128,99
2021,2,50,"2,067",637,192,206,442,216,230,144
2021,2,60,"2,168",580,196,291,411,257,226,207
2021,2,70,"1,368",361,173,194,251,150,134,105
2021,2,80,706,176,90,89,118,85,83,65
2021,2,90,70,14,18,7,9,9,5,8
2021,2,100,5,2,0,0,1,0,1,1
2021,3,총,"10,946","3,642","1,033","1,163","2,217","1,042","1,056",793
2021,3,0,585,284,39,43,124,24,42,29
2021,3,10,830,353,61,65,198,48,63,42
2021,3,20,920,346,81,74,213,75,83,48
2021,3,30,787,331,65,68,149,73,63,38
2021,3,40,"1,436",555,115,128,302,108,126,102
2021,3,50,"2,056",635,191,205,439,212,231,143
2021,3,60,"2,186",585,199,293,413,258,226,212
2021,3,70,"1,365",363,172,192,249,149,134,106
2021,3,80,709,177,92,89,119,86,83,63
2021,3,90,70,12,18,6,11,9,5,9
2021,3,100,2,1,0,0,0,0,0,1
2021,4,총,"10,935","3,634","1,038","1,164","2,218","1,033","1,058",790
2021,4,0,578,282,36,44,121,23,43,29
2021,4,10,830,351,63,66,199,48,61,42
2021,4,20,916,350,81,73,211,73,82,46
2021,4,30,784,326,64,70,152,70,64,38
2021,4,40,"1,426",552,116,122,302,107,126,101
2021,4,50,"2,046",634,192,206,437,206,226,145
2021,4,60,"2,204",585,203,293,418,263,230,212
2021,4,70,"1,360",360,171,192,247,148,138,104
2021,4,80,718,181,93,92,120,86,83,63
2021,4,90,71,12,19,6,11,9,5,9
2021,4,100,2,1,0,0,0,0,0,1
2021,5,총,"10,925","3,630","1,043","1,171","2,219","1,025","1,049",788
2021,5,0,568,280,35,42,119,22,42,28
2021,5,10,831,352,63,68,198,47,61,42
2021,5,20,913,348,80,75,211,73,82,44
2021,5,30,782,324,66,70,157,66,60,39
2021,5,40,"1,407",547,114,118,298,103,126,101
2021,5,50,"2,057",636,194,213,436,207,226,145
2021,5,60,"2,209",592,206,290,418,261,228,214
2021,5,70,"1,363",357,172,193,250,151,136,104
2021,5,80,721,181,94,96,121,84,83,62
2021,5,90,73,12,19,6,11,11,5,9
2021,5,100,1,1,0,0,0,0,0,0
2021,6,총,"10,922","3,628","1,041","1,169","2,216","1,025","1,050",793
2021,6,0,562,278,36,39,118,21,42,28
2021,6,10,837,350,63,69,199,49,63,44
2021,6,20,913,354,78,73,210,74,80,44
2021,6,30,773,320,66,69,155,64,62,37
2021,6,40,"1,399",546,112,120,294,99,126,102
2021,6,50,"2,049",635,196,211,428,208,226,145
2021,6,60,"2,227",595,206,291,432,260,225,218
2021,6,70,"1,369",355,172,195,249,155,139,104
2021,6,80,718,182,93,96,120,84,82,61
2021,6,90,74,12,19,6,11,11,5,10
2021,6,100,1,1,0,0,0,0,0,0
2021,7,총,"10,906","3,619","1,042","1,166","2,212","1,022","1,048",797
2021,7,0,562,278,36,39,121,21,39,28
2021,7,10,840,348,66,68,200,49,65,44
2021,7,20,907,354,79,73,207,73,78,43
2021,7,30,756,314,63,68,152,62,60,37
2021,7,40,"1,394",545,108,119,293,100,127,102
2021,7,50,"2,052",636,199,214,424,209,224,146
2021,7,60,"2,232",594,207,289,435,259,226,222
2021,7,70,"1,371",356,170,195,248,157,141,104
2021,7,80,717,182,95,95,121,81,82,61
2021,7,90,73,11,19,6,11,11,5,10
2021,7,100,2,1,0,0,0,0,1,0
2021,8,총,"10,882","3,623","1,036","1,162","2,200","1,018","1,048",795
2021,8,0,554,274,36,39,119,20,38,28
2021,8,10,836,348,65,67,198,48,66,44
2021,8,20,897,357,79,71,199,70,78,43
2021,8,30,751,314,63,65,149,63,60,37
2021,8,40,"1,390",546,107,117,292,96,131,101
2021,8,50,"2,051",636,198,217,425,208,224,143
2021,8,60,"2,231",591,205,291,435,263,223,223
2021,8,70,"1,381",363,170,193,251,156,142,106
2021,8,80,717,182,94,96,121,83,81,60
2021,8,90,73,11,19,6,11,11,5,10
2021,8,100,1,1,0,0,0,0,0,0
2021,9,총,"10,852","3,603","1,031","1,163","2,188","1,018","1,053",796
2021,9,0,545,267,35,39,118,20,38,28
2021,9,10,840,353,64,68,195,48,68,44
2021,9,20,890,351,76,73,196,71,78,45
2021,9,30,737,307,61,63,149,62,58,37
2021,9,40,"1,374",542,104,115,292,93,127,101
2021,9,50,"2,054",634,199,217,426,210,226,142
2021,9,60,"2,232",588,209,289,431,263,229,223
2021,9,70,"1,383",367,170,196,246,158,140,106
2021,9,80,719,182,93,97,122,82,83,60
2021,9,90,77,11,20,6,13,11,6,10
2021,9,100,1,1,0,0,0,0,0,0
2021,10,총,"10,830","3,597","1,029","1,157","2,190","1,012","1,051",794
2021,10,0,541,264,35,41,117,20,34,30
2021,10,10,828,349,63,66,194,45,67,44
2021,10,20,894,354,79,71,196,70,79,45
2021,10,30,738,308,60,62,150,63,58,37
2021,10,40,"1,365",534,104,115,292,92,129,99
2021,10,50,"2,050",639,196,217,426,207,223,142
2021,10,60,"2,238",588,210,285,435,265,233,222
2021,10,70,"1,381",367,169,199,243,159,138,106
2021,10,80,717,180,94,94,125,81,84,59
2021,10,90,77,13,19,7,12,10,6,10
2021,10,100,1,1,0,0,0,0,0,0
2021,11,총,"10,822","3,586","1,028","1,165","2,196","1,002","1,054",791
2021,11,0,538,263,34,40,119,19,34,29
2021,11,10,826,346,64,66,194,44,67,45
2021,11,20,888,345,80,73,194,69,83,44
2021,11,30,732,308,58,62,149,61,58,36
2021,11,40,"1,362",534,103,116,296,88,126,99
2021,11,50,"2,047",636,196,217,426,206,225,141
2021,11,60,"2,248",593,212,286,436,265,234,222
2021,11,70,"1,374",365,166,202,240,159,137,105
2021,11,80,729,182,96,95,129,81,84,62
2021,11,90,77,13,19,8,13,10,6,8
2021,11,100,1,1,0,0,0,0,0,0
2021,12,총,"10,812","3,569","1,030","1,162","2,181","1,006","1,070",794
2021,12,0,534,261,34,40,116,19,35,29
2021,12,10,821,342,63,65,192,47,66,46
2021,12,20,880,344,81,74,187,67,83,44
2021,12,30,717,298,56,58,148,61,60,36
2021,12,40,"1,356",531,104,115,294,90,126,96
2021,12,50,"2,057",635,200,215,426,204,232,145
2021,12,60,"2,251",597,211,285,439,263,237,219
2021,12,70,"1,385",366,166,206,235,164,138,110
2021,12,80,730,181,97,95,130,80,87,60
2021,12,90,80,13,18,9,14,11,6,9
2021,12,100,1,1,0,0,0,0,0,0
