년도,월,나이,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020,6,20,"6,488","1,402",644,"1,024",322,75,183,104,168,260,315,340,945,418,280,8
2020,6,30,"6,527","1,429",642,"1,386",486,58,117,84,98,291,260,355,738,318,255,10
2020,6,40,"9,508","1,795",988,"1,656",697,116,212,183,222,440,402,542,"1,214",617,399,25
2020,6,50,"9,747","1,654",883,"1,048",641,189,358,314,399,581,497,528,"1,461",709,456,29
2020,6,60,"7,652",970,533,609,584,202,365,320,368,647,464,465,"1,053",559,484,29
2020,6,70,"4,560",479,277,366,338,107,273,217,290,451,274,317,551,301,292,27
2020,6,80,"1,717",194,122,128,130,62,121,106,103,149,99,93,194,103,107,6
2020,6,90,120,17,11,9,13,5,11,7,4,8,6,4,8,8,9,0
2020,6,100,6,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0
2020,7,총,"56,194","9,596","5,762","8,301","3,859",871,"1,805","1,432","1,760","3,082","2,626","3,138","7,599","3,563","2,657",143
2020,7,0,"4,415",778,612,"1,127",344,26,61,47,37,99,119,233,576,175,178,3
2020,7,10,"5,339",957,733,"1,018",332,31,95,56,74,174,191,256,857,346,214,5
2020,7,20,"6,498","1,391",708,"1,005",316,74,181,103,170,254,313,336,947,421,272,7
2020,7,30,"6,529","1,393",741,"1,348",477,59,116,81,97,291,256,361,737,312,249,11
2020,7,40,"9,538","1,776","1,075","1,640",686,114,215,181,215,439,401,535,"1,216",624,395,26
2020,7,50,"9,736","1,637",932,"1,041",633,188,355,310,398,570,495,535,"1,455",706,452,29
2020,7,60,"7,719",975,550,616,583,204,373,322,371,649,470,465,"1,062",565,485,29
2020,7,70,"4,565",476,277,366,343,108,275,219,285,451,275,317,549,301,296,27
2020,7,80,"1,726",196,123,131,132,61,122,105,107,147,99,94,192,104,107,6
2020,7,90,122,16,11,9,13,6,11,7,5,8,7,4,8,8,9,0
2020,7,100,7,1,0,0,0,0,1,1,1,0,0,2,0,1,0,0
2020,8,총,"56,204","9,449","6,129","8,213","3,836",868,"1,791","1,422","1,762","3,070","2,608","3,164","7,568","3,545","2,637",142
2020,8,0,"4,397",756,677,"1,091",331,27,61,44,37,99,116,234,569,177,175,3
2020,8,10,"5,324",937,769,"1,016",329,31,86,55,75,168,182,263,864,333,211,5
2020,8,20,"6,489","1,360",763,"1,001",309,70,178,102,168,254,312,335,933,423,274,7
2020,8,30,"6,520","1,351",837,"1,314",472,60,117,77,95,286,254,367,726,311,244,9
2020,8,40,"9,532","1,758","1,133","1,632",685,111,213,174,218,436,395,526,"1,216",620,388,27
2020,8,50,"9,737","1,621",962,"1,041",635,187,354,309,395,573,493,546,"1,441",703,448,29
2020,8,60,"7,778",979,568,613,582,205,371,329,373,653,473,475,"1,075",565,488,29
2020,8,70,"4,563",477,282,365,346,109,276,219,287,447,276,315,545,299,293,27
2020,8,80,"1,733",192,126,131,134,62,123,105,108,147,100,96,192,105,106,6
2020,8,90,123,17,12,9,13,6,11,6,5,7,7,5,7,8,10,0
2020,8,100,8,1,0,0,0,0,1,2,1,0,0,2,0,1,0,0
2020,9,총,"56,183","9,403","6,283","8,161","3,824",872,"1,779","1,424","1,758","3,049","2,612","3,153","7,564","3,522","2,638",141
2020,9,0,"4,365",752,694,"1,072",325,27,61,45,37,97,117,230,561,174,171,2
2020,9,10,"5,327",926,782,"1,018",331,30,85,55,74,163,180,264,874,328,212,5
2020,9,20,"6,462","1,346",781,991,308,71,175,100,165,251,312,325,931,424,275,7
2020,9,30,"6,499","1,339",877,"1,282",472,64,112,76,96,285,256,364,724,304,239,9
2020,9,40,"9,524","1,753","1,162","1,627",676,111,211,176,216,425,393,527,"1,214",615,391,27
2020,9,50,"9,736","1,613",976,"1,046",635,182,350,308,398,570,500,547,"1,435",699,449,28
2020,9,60,"7,839",984,583,622,586,211,375,333,371,655,471,478,"1,082",568,491,29
2020,9,70,"4,551",479,289,357,342,108,275,215,282,449,278,317,545,294,293,28
2020,9,80,"1,748",193,127,137,136,62,122,108,113,147,98,94,191,107,107,6
2020,9,90,124,17,12,9,13,6,12,6,5,7,7,5,7,8,10,0
2020,9,100,8,1,0,0,0,0,1,2,1,0,0,2,0,1,0,0
2020,10,총,"56,105","9,404","6,387","8,109","3,795",863,"1,777","1,414","1,751","3,045","2,607","3,129","7,539","3,512","2,632",141
2020,10,0,"4,329",754,706,"1,055",308,26,60,44,37,95,119,226,556,170,171,2
2020,10,10,"5,313",922,790,"1,019",337,28,82,54,72,161,180,266,862,323,212,5
2020,10,20,"6,440","1,349",783,976,303,70,178,98,163,254,314,318,929,424,274,7
2020,10,30,"6,455","1,335",912,"1,255",454,63,108,72,97,281,255,361,709,309,235,9
2020,10,40,"9,495","1,730","1,180","1,633",677,106,213,174,214,422,388,517,"1,210",614,391,26
2020,10,50,"9,747","1,629",989,"1,047",633,179,349,311,396,568,497,543,"1,440",696,442,28
2020,10,60,"7,877",991,593,622,589,211,377,329,372,664,474,478,"1,084",569,494,30
2020,10,70,"4,555",476,295,357,343,112,274,217,280,446,276,318,546,293,294,28
2020,10,80,"1,760",200,126,136,138,62,123,106,114,147,97,95,196,105,109,6
2020,10,90,125,17,13,9,13,6,12,7,5,7,7,5,7,8,9,0
2020,10,100,9,1,0,0,0,0,1,2,1,0,0,2,0,1,1,0
2020,11,총,"56,068","9,343","6,501","8,117","3,794",854,"1,764","1,406","1,750","3,018","2,603","3,121","7,540","3,488","2,627",142
2020,11,0,"4,276",737,708,"1,036",306,25,58,44,38,94,119,223,557,164,165,2
2020,11,10,"5,308",903,803,"1,030",333,29,82,52,72,160,175,264,864,323,213,5
2020,11,20,"6,435","1,352",808,975,303,67,171,95,163,248,312,311,926,420,277,7
2020,11,30,"6,401","1,317",935,"1,243",447,60,106,73,91,273,254,360,698,305,231,8
2020,11,40,"9,507","1,722","1,199","1,651",684,104,210,174,217,413,393,514,"1,207",605,387,27
2020,11,50,"9,773","1,631","1,004","1,053",633,177,345,311,397,567,493,549,"1,444",695,447,27
2020,11,60,"7,915",985,609,629,589,214,380,329,371,663,477,480,"1,090",571,496,32
2020,11,70,"4,553",474,294,356,348,110,275,213,279,445,276,319,551,293,292,28
2020,11,80,"1,765",203,129,134,138,62,124,106,116,148,97,95,196,102,109,6
2020,11,90,126,18,12,10,13,6,12,7,5,7,7,4,7,9,9,0
2020,11,100,9,1,0,0,0,0,1,2,1,0,0,2,0,1,1,0
2020,12,총,"56,010","9,328","6,533","8,126","3,783",856,"1,760","1,405","1,741","3,006","2,571","3,151","7,516","3,479","2,616",139
2020,12,0,"4,231",724,700,"1,036",304,25,56,42,38,94,121,222,548,158,161,2
2020,12,10,"5,300",901,799,"1,033",334,27,82,52,72,161,170,270,858,325,211,5
2020,12,20,"6,423","1,356",818,971,297,70,173,95,157,240,310,310,923,423,273,7
2020,12,30,"6,389","1,319",949,"1,242",441,59,108,72,93,273,247,361,685,303,229,8
2020,12,40,"9,454","1,707","1,199","1,644",687,102,207,171,215,406,388,516,"1,203",595,387,27
2020,12,50,"9,786","1,642","1,014","1,058",631,177,342,313,390,568,485,556,"1,444",694,446,26
2020,12,60,"7,965",988,621,640,590,216,383,330,373,663,474,489,"1,098",574,495,31
2020,12,70,"4,544",467,292,355,345,111,272,214,279,445,275,323,553,296,290,27
2020,12,80,"1,781",205,129,136,141,63,124,107,118,148,96,96,197,101,114,6
2020,12,90,128,18,12,11,13,6,12,7,5,8,5,6,7,9,9,0
2020,12,100,9,1,0,0,0,0,1,2,1,0,0,2,0,1,1,0
2021,1,총,"55,985","9,320","6,595","8,109","3,775",851,"1,759","1,399","1,734","2,994","2,559","3,156","7,491","3,499","2,611",133
2021,1,0,"4,197",711,717,"1,021",301,25,55,42,39,87,118,224,537,158,160,2
2021,1,10,"5,301",907,801,"1,031",337,24,82,51,72,160,168,270,856,325,212,5
2021,1,20,"6,419","1,346",828,974,295,72,178,93,152,239,304,311,932,422,266,7
2021,1,30,"6,363","1,305",964,"1,234",440,58,104,73,92,273,252,358,662,311,231,6
2021,1,40,"9,414","1,715","1,190","1,635",678,103,206,171,212,402,379,514,"1,205",600,378,26
2021,1,50,"9,781","1,634","1,024","1,066",627,173,337,308,388,568,486,555,"1,443",696,450,26
2021,1,60,"8,020","1,005",636,639,593,218,387,330,376,664,471,497,"1,099",576,501,28
2021,1,70,"4,555",474,295,360,347,110,269,213,276,442,280,323,555,295,289,27
2021,1,80,"1,801",205,128,139,143,62,128,110,121,151,96,96,195,106,115,6
2021,1,90,125,17,12,10,13,6,12,7,5,8,5,6,7,9,8,0
2021,1,100,9,1,0,0,1,0,1,1,1,0,0,2,0,1,1,0
2021,2,총,"55,939","9,304","6,652","8,096","3,779",853,"1,755","1,397","1,736","2,982","2,556","3,150","7,451","3,507","2,588",133
2021,2,0,"4,170",704,722,"1,023",297,24,53,41,38,84,120,219,524,161,158,2
2021,2,10,"5,270",896,800,"1,023",341,22,81,49,73,159,161,272,848,330,210,5
2021,2,20,"6,371","1,332",831,973,298,73,174,95,151,235,300,312,910,423,257,7
2021,2,30,"6,346","1,305",984,"1,232",432,60,103,70,93,261,254,352,661,302,231,6
2021,2,40,"9,375","1,716","1,195","1,626",679,102,204,166,209,401,378,511,"1,189",604,370,25
2021,2,50,"9,789","1,622","1,038","1,070",627,175,340,306,387,568,477,556,"1,454",694,448,27
2021,2,60,"8,085","1,028",643,638,596,218,388,339,377,670,477,503,"1,100",580,500,28
2021,2,70,"4,579",477,296,361,351,111,269,213,280,443,289,318,560,295,290,26
2021,2,80,"1,818",206,130,140,144,62,130,110,121,153,95,98,198,107,117,7
2021,2,90,127,17,13,10,13,6,12,7,6,8,5,7,7,10,6,0
2021,2,100,9,1,0,0,1,0,1,1,1,0,0,2,0,1,1,0
2021,3,총,"55,785","9,270","6,669","8,091","3,792",844,"1,750","1,401","1,721","2,967","2,534","3,134","7,394","3,508","2,578",132
2021,3,0,"4,151",699,723,"1,017",306,24,53,42,39,85,115,220,515,158,153,2
2021,3,10,"5,234",888,798,"1,022",341,22,78,48,70,153,162,272,835,330,210,5
2021,3,20,"6,346","1,331",830,982,298,70,170,96,150,234,293,311,895,421,259,6
2021,3,30,"6,288","1,293",991,"1,212",432,57,105,68,89,256,252,348,647,306,226,6
2021,3,40,"9,347","1,709","1,199","1,631",680,101,204,167,204,403,369,505,"1,179",604,367,25
2021,3,50,"9,758","1,611","1,039","1,077",626,171,340,303,381,562,477,558,"1,442",693,450,28
2021,3,60,"8,111","1,040",649,644,595,214,384,345,376,665,475,500,"1,118",582,496,28
2021,3,70,"4,593",479,298,356,355,115,272,214,280,446,290,317,555,298,292,26
2021,3,80,"1,822",204,129,140,145,64,130,110,124,155,96,95,201,106,117,6
2021,3,90,128,16,13,10,13,6,13,7,7,8,5,7,7,9,7,0
2021,3,100,7,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0
2021,4,총,"55,738","9,243","6,679","8,086","3,792",843,"1,746","1,394","1,722","2,964","2,523","3,108","7,396","3,523","2,588",131
2021,4,0,"4,128",700,715,"1,023",302,24,52,42,39,81,118,214,506,157,153,2
2021,4,10,"5,251",886,808,"1,020",341,22,78,50,70,154,160,271,840,339,208,4
2021,4,20,"6,305","1,318",833,973,300,70,164,97,146,229,287,308,896,419,258,7
2021,4,30,"6,244","1,285",978,"1,214",428,54,106,66,87,253,245,342,642,309,229,6
2021,4,40,"9,335","1,703","1,213","1,628",682,98,200,164,203,404,368,501,"1,175",601,371,24
2021,4,50,"9,752","1,610","1,041","1,082",625,173,337,301,376,558,477,553,"1,443",702,448,26
2021,4,60,"8,140","1,039",648,642,599,218,391,342,385,672,475,496,"1,123",580,500,30
2021,4,70,"4,608",483,299,355,356,113,274,211,281,447,290,320,562,297,295,25
2021,4,80,"1,839",203,131,139,145,65,131,113,127,156,98,95,202,109,118,7
2021,4,90,129,16,13,10,13,6,12,7,7,10,5,7,7,9,7,0
2021,4,100,7,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0
2021,5,총,"55,696","9,243","6,703","8,066","3,789",836,"1,746","1,402","1,720","2,947","2,511","3,110","7,377","3,533","2,582",131
2021,5,0,"4,087",700,715,"1,013",291,24,53,42,38,83,115,211,496,152,153,1
2021,5,10,"5,260",883,804,"1,027",348,22,76,50,70,148,160,275,836,350,206,5
2021,5,20,"6,325","1,316",842,962,301,68,166,94,141,228,286,311,912,430,260,8
2021,5,30,"6,194","1,289",978,"1,190",418,53,106,69,88,252,240,339,636,303,227,6
2021,5,40,"9,318","1,700","1,215","1,632",691,95,196,165,202,401,362,498,"1,163",605,370,23
2021,5,50,"9,717","1,604","1,044","1,089",620,169,335,301,373,558,477,558,"1,434",691,438,26
2021,5,60,"8,209","1,051",657,645,604,222,397,346,390,668,480,502,"1,130",582,505,30
2021,5,70,"4,608",484,305,357,356,112,272,213,282,443,284,317,565,299,294,25
2021,5,80,"1,842",201,130,141,146,64,131,114,128,157,100,93,198,111,121,7
2021,5,90,130,15,13,10,13,7,13,7,7,9,7,6,7,9,7,0
2021,5,100,6,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0
2021,6,총,"55,729","9,235","6,740","8,058","3,769",837,"1,747","1,395","1,724","2,920","2,490","3,097","7,511","3,513","2,562",131
2021,6,0,"4,071",688,717,"1,009",284,23,53,41,38,84,111,209,507,150,156,1
2021,6,10,"5,271",884,812,"1,028",354,23,76,49,69,152,159,269,838,352,201,5
2021,6,20,"6,333","1,311",844,966,297,65,166,95,141,225,281,312,942,427,254,7
2021,6,30,"6,180","1,297",989,"1,174",408,55,105,69,87,244,238,331,656,295,225,7
2021,6,40,"9,325","1,693","1,215","1,635",692,93,195,161,204,395,359,499,"1,186",605,370,23
2021,6,50,"9,680","1,603","1,046","1,089",612,167,334,297,370,543,476,556,"1,444",691,427,25
2021,6,60,"8,276","1,057",664,651,610,228,400,345,396,669,476,504,"1,159",579,507,31
2021,6,70,"4,609",484,311,354,353,112,274,215,283,444,281,316,572,292,293,25
2021,6,80,"1,841",203,128,142,146,64,129,115,127,154,102,95,199,111,119,7
2021,6,90,137,15,14,10,12,7,14,7,8,10,7,6,8,10,9,0
2021,6,100,6,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0
2021,7,총,"55,697","9,245","6,759","8,049","3,739",830,"1,741","1,398","1,710","2,902","2,452","3,093","7,586","3,510","2,553",130
2021,7,0,"4,049",682,712,"1,007",279,22,54,41,37,83,103,208,519,149,152,1
2021,7,10,"5,274",887,819,"1,033",353,24,76,45,69,148,157,272,839,348,199,5
2021,7,20,"6,319","1,320",846,953,294,64,164,96,140,223,278,305,953,423,253,7
2021,7,30,"6,149","1,290",992,"1,166",396,55,102,69,87,243,227,328,673,295,219,7
2021,7,40,"9,298","1,698","1,213","1,636",694,92,194,158,197,394,353,495,"1,186",597,368,23
2021,7,50,"9,666","1,602","1,056","1,087",600,164,323,298,367,540,463,559,"1,455",702,425,25
2021,7,60,"8,334","1,062",666,663,606,229,411,351,395,666,479,508,"1,173",582,512,31
2021,7,70,"4,611",485,313,351,358,111,275,218,279,442,282,315,575,290,293,24
2021,7,80,"1,857",205,129,144,145,63,128,114,130,154,102,97,205,113,121,7
2021,7,90,134,14,13,9,13,6,13,7,8,9,8,6,8,10,10,0
2021,7,100,6,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0
2021,8,총,"55,613","9,232","6,776","8,024","3,726",827,"1,739","1,390","1,699","2,889","2,450","3,096","7,587","3,497","2,552",129
2021,8,0,"4,037",679,716,997,282,20,51,40,36,83,105,206,519,150,152,1
2021,8,10,"5,253",883,816,"1,023",352,24,78,48,66,147,152,273,838,348,200,5
2021,8,20,"6,272","1,311",850,940,295,60,164,98,142,216,280,296,946,415,252,7
2021,8,30,"6,141","1,293","1,002","1,156",390,57,99,70,86,243,226,331,673,296,214,5
2021,8,40,"9,239","1,689","1,197","1,633",692,90,194,156,189,385,350,493,"1,183",592,371,25
2021,8,50,"9,688","1,599","1,076","1,101",600,166,322,294,365,540,463,562,"1,457",695,424,24
2021,8,60,"8,356","1,068",662,669,598,228,415,347,398,671,482,512,"1,178",583,514,31
2021,8,70,"4,610",487,314,349,358,112,273,216,278,439,280,315,580,290,295,24
2021,8,80,"1,870",208,129,146,144,64,129,113,129,156,104,102,204,117,119,6
2021,8,90,139,14,14,10,14,6,12,7,9,9,8,6,9,10,10,1
2021,8,100,8,1,0,0,1,0,2,1,1,0,0,0,0,1,1,0
2021,9,총,"55,543","9,226","6,804","7,995","3,719",814,"1,728","1,388","1,694","2,894","2,437","3,105","7,597","3,476","2,537",129
2021,9,0,"4,025",680,716,986,279,18,50,37,34,87,102,208,527,148,152,1
2021,9,10,"5,215",884,817,"1,012",354,25,76,49,65,146,149,268,830,340,195,5
2021,9,20,"6,229","1,303",856,930,291,57,159,93,141,215,273,293,950,417,244,7
2021,9,30,"6,133","1,288","1,002","1,154",391,58,99,69,84,241,230,331,672,292,217,5
2021,9,40,"9,198","1,682","1,195","1,630",691,83,191,158,185,385,345,497,"1,183",584,366,23
2021,9,50,"9,719","1,611","1,092","1,102",596,165,319,295,369,543,461,565,"1,457",692,426,26
2021,9,60,"8,369","1,062",665,675,600,229,417,348,396,666,485,520,"1,181",583,511,31
2021,9,70,"4,618",490,317,346,355,110,273,219,280,444,279,314,585,288,294,24
2021,9,80,"1,888",212,129,147,147,63,130,112,129,158,105,103,203,122,122,6
2021,9,90,140,13,14,13,14,6,12,7,10,9,8,6,9,9,9,1
2021,9,100,9,1,1,0,1,0,2,1,1,0,0,0,0,1,1,0
2021,10,총,"55,531","9,232","6,829","7,994","3,711",808,"1,728","1,385","1,695","2,889","2,430","3,095","7,606","3,482","2,520",127
2021,10,0,"4,003",675,721,971,275,18,49,36,34,87,102,210,527,148,149,1
2021,10,10,"5,204",883,816,"1,015",350,24,77,50,64,144,153,266,829,334,194,5
2021,10,20,"6,230","1,294",857,940,292,58,159,93,142,215,268,292,943,426,244,7
2021,10,30,"6,127","1,301","1,009","1,150",384,56,101,68,82,237,230,323,678,292,211,5
2021,10,40,"9,162","1,675","1,200","1,623",688,82,189,155,183,385,343,493,"1,176",589,358,23
2021,10,50,"9,739","1,619","1,101","1,108",601,164,321,294,369,542,463,562,"1,462",683,426,24
2021,10,60,"8,389","1,065",666,680,603,224,420,345,398,665,478,526,"1,187",586,515,31
2021,10,70,"4,630",494,316,347,355,113,267,224,279,445,277,313,591,293,292,24
2021,10,80,"1,902",212,130,147,149,63,132,112,132,160,109,104,204,121,121,6
2021,10,90,138,13,13,13,13,6,12,7,11,9,7,6,9,9,9,1
2021,10,100,7,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0
2021,11,총,"55,498","9,245","6,848","7,983","3,706",804,"1,720","1,388","1,687","2,882","2,424","3,076","7,597","3,495","2,516",127
2021,11,0,"3,982",670,720,969,271,17,49,35,34,85,103,205,527,149,147,1
2021,11,10,"5,215",890,824,"1,017",348,24,76,51,62,143,150,267,825,337,196,5
2021,11,20,"6,205","1,293",857,931,287,57,154,94,137,213,267,286,942,432,248,7
2021,11,30,"6,074","1,294","1,007","1,140",378,52,100,67,83,235,231,319,673,286,204,5
2021,11,40,"9,166","1,673","1,204","1,625",688,84,186,158,178,385,343,494,"1,174",591,360,23
2021,11,50,"9,762","1,629","1,099","1,113",607,165,325,298,371,540,463,556,"1,459",688,426,23
2021,11,60,"8,394","1,072",674,682,605,222,416,343,398,662,475,524,"1,188",591,510,32
2021,11,70,"4,647",496,318,350,359,114,270,219,280,449,277,313,593,291,294,24
2021,11,80,"1,909",214,131,143,150,63,131,114,132,161,108,106,208,121,121,6
2021,11,90,137,13,14,13,12,6,12,8,11,9,7,6,7,9,9,1
2021,11,100,7,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0
2021,12,총,"55,433","9,259","6,889","7,973","3,682",802,"1,717","1,388","1,686","2,871","2,406","3,056","7,582","3,485","2,510",127
2021,12,0,"3,958",668,719,967,259,17,49,35,34,84,100,203,522,151,149,1
2021,12,10,"5,215",895,818,"1,022",347,24,76,50,60,141,150,268,830,334,195,5
2021,12,20,"6,167","1,288",873,918,287,56,150,95,138,217,266,281,928,427,236,7
2021,12,30,"6,054","1,288","1,017","1,137",370,54,100,69,83,234,224,311,667,288,207,5
2021,12,40,"9,167","1,679","1,205","1,634",688,86,185,156,181,376,341,493,"1,172",583,365,23
2021,12,50,"9,775","1,644","1,109","1,112",605,161,329,301,369,545,456,556,"1,455",687,424,22
2021,12,60,"8,373","1,068",681,678,606,221,411,340,398,654,476,517,"1,191",594,505,33
2021,12,70,"4,661",502,321,349,354,115,274,219,279,450,279,315,595,285,300,24
2021,12,80,"1,913",212,130,144,151,62,130,113,132,161,108,106,214,126,118,6
2021,12,90,145,14,16,12,14,6,13,9,12,9,6,6,7,10,10,1
2021,12,100,5,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
