년도,월,나이,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면,강원도 양구군 국토정중앙면
2021,10,70,857,403,,113,63,85,193
2021,10,80,424,196,,54,37,36,101
2021,10,90,43,20,,7,5,2,9
2021,10,100,7,6,,0,0,0,1
2021,11,총,"11,525","7,063",,"1,140",741,685,"1,896"
2021,11,0,837,692,,53,20,17,55
2021,11,10,991,773,,45,31,43,99
2021,11,20,"1,901",984,,279,218,63,357
2021,11,30,"1,382","1,005",,111,60,48,158
2021,11,40,"1,318",948,,81,43,79,167
2021,11,50,"1,817","1,046",,181,104,144,342
2021,11,60,"1,953",993,,216,162,169,413
2021,11,70,854,405,,113,61,84,191
2021,11,80,424,193,,54,37,36,104
2021,11,90,44,21,,7,5,2,9
2021,11,100,4,3,,0,0,0,1
2021,12,총,"11,464","7,012",,"1,132",746,680,"1,894"
2021,12,0,823,684,,52,20,15,52
2021,12,10,969,746,,45,31,43,104
2021,12,20,"1,897",978,,275,220,64,360
2021,12,30,"1,373","1,004",,110,59,47,153
2021,12,40,"1,310",940,,80,47,76,167
2021,12,50,"1,818","1,042",,184,104,145,343
2021,12,60,"1,948",994,,211,161,169,413
2021,12,70,854,408,,111,62,83,190
2021,12,80,427,194,,57,37,36,103
2021,12,90,42,19,,7,5,2,9
2021,12,100,3,3,,0,0,0,0
