년도,월,나이,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020,5,0,"7,074","3,065",84,217,35,108,706,73,184,151,130,42,24,388,"1,029",838
2020,5,10,"8,827","3,588",132,335,67,133,601,144,174,206,194,223,38,543,"1,210","1,239"
2020,5,20,"9,897","3,125",218,338,116,190,910,185,298,295,293,189,83,746,"1,443","1,468"
2020,5,30,"10,611","4,083",165,341,112,199,"1,145",160,348,253,234,97,62,649,"1,504","1,259"
2020,5,40,"13,988","5,778",231,519,144,260,992,229,341,354,332,137,76,847,"1,905","1,843"
2020,5,50,"14,635","4,016",487,654,315,505,"1,014",462,547,668,619,301,181,"1,127","1,798","1,941"
2020,5,60,"11,860","2,641",530,639,357,519,825,530,423,786,631,350,218,971,"1,226","1,214"
2020,5,70,"7,285","1,542",397,396,256,359,451,338,248,491,440,251,129,588,668,731
2020,5,80,"4,747",828,288,288,190,278,274,288,169,366,318,176,107,354,404,419
2020,5,90,772,112,50,55,27,44,47,79,27,66,32,19,20,65,58,71
2020,5,100,44,5,5,2,1,4,3,3,2,4,4,1,1,5,1,3
2020,6,총,"89,858","28,830","2,585","3,765","1,622","2,612","6,943","2,501","2,753","3,654","3,233","1,781",943,"6,283","11,294","11,059"
2020,6,0,"7,049","3,052",84,209,33,107,706,73,182,153,129,42,24,384,"1,029",842
2020,6,10,"8,818","3,597",132,336,68,131,588,145,171,203,190,218,37,542,"1,219","1,241"
2020,6,20,"9,909","3,132",215,333,118,194,904,183,293,298,296,193,85,748,"1,450","1,467"
2020,6,30,"10,562","4,051",167,334,113,197,"1,141",164,347,249,232,94,61,645,"1,498","1,269"
2020,6,40,"14,014","5,788",234,518,144,266,984,233,338,364,330,138,78,851,"1,907","1,841"
2020,6,50,"14,620","4,029",484,648,310,508,"1,010",462,546,667,619,299,179,"1,118","1,801","1,940"
2020,6,60,"11,971","2,670",529,643,358,524,830,531,425,794,634,354,222,982,"1,248","1,227"
2020,6,70,"7,324","1,553",399,398,258,355,455,341,253,490,444,246,129,591,675,737
2020,6,80,"4,767",840,287,289,192,283,273,285,169,366,321,177,106,351,407,421
2020,6,90,780,113,49,55,27,43,49,81,27,66,34,19,21,66,59,71
2020,6,100,44,5,5,2,1,4,3,3,2,4,4,1,1,5,1,3
2020,7,총,"89,969","28,841","2,582","3,751","1,611","2,632","6,915","2,513","2,759","3,652","3,243","1,825",945,"6,245","11,345","11,110"
2020,7,0,"7,023","3,033",87,201,33,108,703,73,176,153,126,43,24,380,"1,040",843
2020,7,10,"8,846","3,595",132,337,66,130,576,150,171,206,192,256,37,533,"1,212","1,253"
2020,7,20,"9,875","3,111",214,333,114,196,888,185,297,295,303,193,85,734,"1,464","1,463"
2020,7,30,"10,541","4,034",165,332,111,197,"1,135",165,342,244,227,95,59,635,"1,497","1,303"
2020,7,40,"14,029","5,804",234,506,142,269,993,230,348,361,331,137,77,847,"1,910","1,840"
2020,7,50,"14,653","4,047",484,653,309,513,"1,004",461,544,664,623,297,182,"1,111","1,815","1,946"
2020,7,60,"12,036","2,686",525,643,358,528,830,537,427,803,638,355,224,987,"1,263","1,232"
2020,7,70,"7,339","1,554",403,397,256,358,457,342,252,490,439,253,128,593,680,737
2020,7,80,"4,787",851,284,290,192,286,277,286,173,367,325,175,105,354,406,416
2020,7,90,796,121,49,57,29,43,49,80,27,66,35,20,23,66,57,74
2020,7,100,44,5,5,2,1,4,3,4,2,3,4,1,1,5,1,3
2020,8,총,"90,224","28,988","2,570","3,740","1,613","2,639","6,855","2,498","2,738","3,682","3,249","1,861",944,"6,242","11,462","11,143"
2020,8,0,"6,985","3,015",85,195,34,108,689,71,167,155,127,42,23,379,"1,043",852
2020,8,10,"8,902","3,611",132,335,67,131,562,148,166,237,193,281,39,528,"1,212","1,260"
2020,8,20,"9,921","3,128",209,335,112,197,874,183,297,296,305,202,85,733,"1,510","1,455"
2020,8,30,"10,565","4,071",166,330,112,196,"1,108",165,340,244,222,95,59,636,"1,514","1,307"
2020,8,40,"14,036","5,813",232,497,144,270,995,227,346,358,328,140,80,844,"1,920","1,842"
2020,8,50,"14,672","4,087",482,647,306,510,998,461,539,657,626,298,180,"1,115","1,819","1,947"
2020,8,60,"12,141","2,713",527,649,363,537,845,536,429,805,644,357,221,985,"1,286","1,244"
2020,8,70,"7,349","1,555",400,401,253,354,455,339,252,492,441,252,126,598,689,742
2020,8,80,"4,807",866,284,292,193,289,276,286,173,369,322,173,106,352,409,417
2020,8,90,802,124,48,57,28,43,50,78,27,66,37,20,24,67,59,74
2020,8,100,44,5,5,2,1,4,3,4,2,3,4,1,1,5,1,3
2020,9,총,"90,338","29,078","2,561","3,718","1,608","2,642","6,806","2,493","2,751","3,667","3,250","1,837",940,"6,254","11,563","11,170"
2020,9,0,"6,941","2,995",83,194,34,106,670,68,169,150,123,43,22,376,"1,042",866
2020,9,10,"8,869","3,619",128,334,66,132,554,150,170,236,190,263,37,530,"1,214","1,246"
2020,9,20,"9,976","3,152",214,328,112,190,872,184,293,296,306,200,83,736,"1,551","1,459"
2020,9,30,"10,542","4,075",163,320,110,194,"1,090",163,339,239,218,95,58,627,"1,537","1,314"
2020,9,40,"13,997","5,813",228,491,142,275,991,226,348,352,333,136,76,835,"1,917","1,834"
2020,9,50,"14,740","4,120",479,644,306,509,995,462,546,654,628,297,183,"1,129","1,836","1,952"
2020,9,60,"12,248","2,738",527,654,364,544,849,533,432,809,649,356,220,994,"1,312","1,267"
2020,9,70,"7,339","1,561",400,402,250,350,455,338,252,492,438,250,129,603,681,738
2020,9,80,"4,839",876,285,290,195,295,279,288,174,369,323,175,108,352,415,415
2020,9,90,802,124,49,59,28,43,48,77,26,67,37,21,23,67,57,76
2020,9,100,45,5,5,2,1,4,3,4,2,3,5,1,1,5,1,3
2020,10,총,"90,454","29,174","2,542","3,711","1,607","2,645","6,799","2,495","2,764","3,662","3,229","1,796",936,"6,242","11,647","11,205"
2020,10,0,"6,896","2,970",80,191,39,108,663,68,165,149,119,42,22,375,"1,040",865
2020,10,10,"8,798","3,619",125,331,68,133,548,151,169,232,181,226,35,526,"1,211","1,243"
2020,10,20,"10,039","3,179",216,329,110,188,871,186,297,301,305,198,82,729,"1,587","1,461"
2020,10,30,"10,508","4,053",157,314,110,196,"1,084",163,335,238,215,94,57,623,"1,538","1,331"
2020,10,40,"14,041","5,847",223,485,138,272,988,226,354,354,330,138,74,839,"1,936","1,837"
2020,10,50,"14,745","4,144",476,645,300,504,998,458,549,651,621,297,182,"1,124","1,843","1,953"
2020,10,60,"12,336","2,763",528,658,368,552,857,534,438,808,660,354,224,987,"1,332","1,273"
2020,10,70,"7,380","1,590",399,398,248,350,455,342,251,495,432,248,129,609,690,744
2020,10,80,"4,851",877,282,297,197,295,283,286,178,364,322,176,106,353,414,421
2020,10,90,814,127,51,61,28,43,49,77,26,67,39,22,24,71,55,74
2020,10,100,46,5,5,2,1,4,3,4,2,3,5,1,1,6,1,3
2020,11,총,"90,540","29,251","2,525","3,713","1,609","2,655","6,797","2,496","2,743","3,653","3,213","1,781",933,"6,237","11,688","11,246"
2020,11,0,"6,844","2,949",77,191,39,109,659,68,164,149,116,42,22,368,"1,024",867
2020,11,10,"8,761","3,617",123,326,64,132,544,152,163,228,180,211,36,527,"1,216","1,242"
2020,11,20,"10,087","3,184",216,329,111,190,870,185,297,299,306,198,83,736,"1,610","1,473"
2020,11,30,"10,484","4,045",156,312,108,198,"1,090",166,329,235,211,92,55,618,"1,529","1,340"
2020,11,40,"14,038","5,858",216,483,136,273,981,227,352,349,322,142,73,830,"1,953","1,843"
2020,11,50,"14,768","4,184",468,641,300,499,"1,006",455,545,641,614,296,184,"1,127","1,859","1,949"
2020,11,60,"12,435","2,791",527,672,371,560,857,541,439,817,668,356,223,992,"1,334","1,287"
2020,11,70,"7,400","1,607",399,401,252,350,456,341,250,496,429,243,128,609,692,747
2020,11,80,"4,862",885,284,294,198,296,281,283,176,368,323,178,106,354,413,423
2020,11,90,815,126,54,62,29,44,50,74,26,68,39,22,22,70,57,72
2020,11,100,46,5,5,2,1,4,3,4,2,3,5,1,1,6,1,3
2020,12,총,"90,657","29,382","2,520","3,698","1,603","2,663","6,770","2,510","2,770","3,643","3,216","1,704",945,"6,226","11,746","11,261"
2020,12,0,"6,829","2,938",77,189,38,110,653,71,159,157,111,43,22,365,"1,027",869
2020,12,10,"8,659","3,631",122,320,66,127,540,152,170,195,182,146,38,525,"1,213","1,232"
2020,12,20,"10,138","3,215",213,333,108,197,871,185,299,300,303,187,86,733,"1,630","1,478"
2020,12,30,"10,467","4,041",152,305,107,200,"1,067",168,332,239,206,92,56,617,"1,538","1,347"
2020,12,40,"14,076","5,881",220,481,138,274,982,228,359,353,324,143,75,832,"1,953","1,833"
2020,12,50,"14,768","4,202",468,641,299,499,997,451,549,636,611,295,183,"1,118","1,871","1,948"
2020,12,60,"12,563","2,829",529,675,371,560,872,547,444,828,680,353,226,997,"1,350","1,302"
2020,12,70,"7,395","1,610",392,394,249,352,449,342,252,495,434,242,128,608,694,754
2020,12,80,"4,892",899,287,296,198,297,287,286,178,369,319,180,107,353,411,425
2020,12,90,826,130,56,62,28,44,49,76,26,68,42,22,23,72,58,70
2020,12,100,44,6,4,2,1,3,3,4,2,3,4,1,1,6,1,3
2021,1,총,"90,758","29,482","2,521","3,712","1,595","2,674","6,728","2,507","2,769","3,639","3,231","1,660",947,"6,218","11,801","11,274"
2021,1,0,"6,791","2,933",74,189,38,111,641,68,160,152,112,39,23,362,"1,012",877
2021,1,10,"8,602","3,640",126,316,67,125,525,154,169,198,179,109,36,511,"1,222","1,225"
2021,1,20,"10,154","3,245",209,334,105,203,861,186,297,292,305,179,89,733,"1,646","1,470"
2021,1,30,"10,458","4,027",152,312,106,204,"1,053",167,338,241,210,88,57,613,"1,546","1,344"
2021,1,40,"14,090","5,894",221,476,135,272,982,226,356,351,320,145,74,833,"1,958","1,847"
2021,1,50,"14,763","4,207",466,644,301,497,991,452,544,632,611,293,181,"1,117","1,882","1,945"
2021,1,60,"12,676","2,878",529,682,366,564,877,547,449,837,689,360,227,"1,003","1,356","1,312"
2021,1,70,"7,439","1,622",390,397,249,349,458,340,254,497,438,243,131,612,705,754
2021,1,80,"4,908",900,292,296,200,300,287,287,174,365,320,181,105,356,418,427
2021,1,90,833,130,58,64,28,46,50,76,26,71,43,22,23,71,55,70
2021,1,100,44,6,4,2,0,3,3,4,2,3,4,1,1,7,1,3
2021,2,총,"90,866","29,576","2,527","3,694","1,590","2,686","6,739","2,514","2,772","3,633","3,201","1,677",941,"6,222","11,875","11,219"
2021,2,0,"6,750","2,919",75,186,38,113,633,71,162,148,111,37,23,362,"1,013",859
2021,2,10,"8,585","3,643",122,310,64,126,539,150,168,198,172,108,35,507,"1,229","1,214"
2021,2,20,"10,182","3,263",212,328,101,202,864,188,298,292,302,187,91,739,"1,668","1,447"
2021,2,30,"10,386","3,998",149,307,103,207,"1,043",169,338,235,204,93,57,611,"1,533","1,339"
2021,2,40,"14,113","5,919",223,469,139,273,988,222,358,351,314,148,73,834,"1,978","1,824"
2021,2,50,"14,821","4,263",469,643,297,497,986,450,540,629,601,294,178,"1,108","1,903","1,963"
2021,2,60,"12,776","2,901",532,691,368,565,889,556,452,838,690,361,227,"1,019","1,361","1,326"
2021,2,70,"7,453","1,633",389,400,249,353,456,339,255,499,438,241,129,607,714,751
2021,2,80,"4,923",902,293,295,204,301,286,289,175,369,320,184,105,356,419,425
2021,2,90,832,130,59,63,26,46,52,76,24,71,45,23,21,72,56,68
2021,2,100,45,5,4,2,1,3,3,4,2,3,4,1,2,7,1,3
2021,3,총,"90,829","29,565","2,523","3,689","1,583","2,702","6,747","2,523","2,746","3,632","3,191","1,705",937,"6,166","11,925","11,195"
2021,3,0,"6,702","2,895",72,179,39,112,621,72,164,149,113,39,23,360,"1,002",862
2021,3,10,"8,606","3,640",124,311,62,127,539,151,168,197,173,137,34,502,"1,237","1,204"
2021,3,20,"10,196","3,253",204,329,105,211,866,189,290,293,302,192,89,732,"1,696","1,445"
2021,3,30,"10,371","3,969",155,304,105,210,"1,042",171,354,238,202,88,57,608,"1,556","1,312"
2021,3,40,"14,037","5,910",217,474,134,279,"1,001",219,352,342,310,141,74,807,"1,958","1,819"
2021,3,50,"14,762","4,286",466,637,287,501,976,453,524,623,587,293,171,"1,100","1,899","1,959"
2021,3,60,"12,908","2,934",543,697,371,562,910,551,449,847,695,367,235,"1,017","1,384","1,346"
2021,3,70,"7,444","1,636",386,401,246,350,452,343,251,499,439,239,126,608,715,753
2021,3,80,"4,934",904,293,294,206,303,288,293,171,368,323,184,103,357,422,425
2021,3,90,836,133,59,61,27,45,51,77,23,73,44,24,23,73,56,67
2021,3,100,33,5,4,2,1,2,1,4,0,3,3,1,2,2,0,3
2021,4,총,"91,013","29,638","2,530","3,687","1,583","2,710","6,749","2,516","2,775","3,624","3,181","1,738",937,"6,157","12,014","11,174"
2021,4,0,"6,657","2,874",77,176,38,109,609,72,161,144,112,39,24,358,"1,010",854
2021,4,10,"8,634","3,645",122,312,64,125,539,149,173,210,173,143,35,504,"1,248","1,192"
2021,4,20,"10,187","3,238",201,329,106,209,873,185,296,291,297,202,91,724,"1,707","1,438"
2021,4,30,"10,384","3,977",166,300,103,217,"1,028",169,366,236,200,92,55,612,"1,554","1,309"
2021,4,40,"14,067","5,935",215,470,137,276,999,218,358,327,311,150,73,808,"1,981","1,809"
2021,4,50,"14,777","4,302",465,635,288,500,991,452,526,628,588,285,171,"1,085","1,908","1,953"
2021,4,60,"13,045","2,969",540,703,372,573,921,553,453,849,693,376,235,"1,019","1,419","1,370"
2021,4,70,"7,417","1,638",385,401,243,352,453,342,249,494,439,235,125,603,711,747
2021,4,80,"4,967",917,294,299,205,303,284,293,170,367,324,191,101,365,421,433
2021,4,90,846,138,61,60,26,44,51,79,23,75,42,24,25,77,55,66
2021,4,100,32,5,4,2,1,2,1,4,0,3,2,1,2,2,0,3
2021,5,총,"91,285","29,696","2,534","3,691","1,580","2,712","6,749","2,527","2,790","3,640","3,263","1,786",929,"6,162","12,041","11,185"
2021,5,0,"6,624","2,860",79,177,34,105,610,71,161,142,113,38,23,361,"1,000",850
2021,5,10,"8,738","3,664",122,315,68,127,528,146,175,214,228,180,34,503,"1,248","1,186"
2021,5,20,"10,238","3,241",198,328,106,209,880,188,298,298,303,210,88,718,"1,711","1,462"
2021,5,30,"10,347","3,969",165,302,102,217,"1,021",163,362,240,199,91,54,615,"1,553","1,294"
2021,5,40,"14,088","5,930",219,474,133,272,"1,002",226,365,331,309,146,69,805,"1,991","1,816"
2021,5,50,"14,799","4,333",464,627,290,498,981,451,528,622,593,285,170,"1,083","1,913","1,961"
2021,5,60,"13,147","2,988",546,710,371,578,939,561,456,855,700,380,237,"1,025","1,433","1,368"
2021,5,70,"7,428","1,639",382,403,246,357,456,341,250,493,444,238,127,600,711,741
2021,5,80,"4,993",930,295,296,203,301,278,296,173,365,328,192,100,372,425,439
2021,5,90,850,137,60,57,26,46,53,80,22,76,44,25,25,78,56,65
2021,5,100,33,5,4,2,1,2,1,4,0,4,2,1,2,2,0,3
2021,6,총,"91,499","29,793","2,524","3,690","1,586","2,689","6,759","2,526","2,809","3,625","3,259","1,870",930,"6,183","12,047","11,209"
2021,6,0,"6,602","2,847",79,170,36,102,600,70,167,137,109,40,24,362,998,861
2021,6,10,"8,764","3,663",115,316,68,126,529,141,173,218,225,231,34,499,"1,239","1,187"
2021,6,20,"10,306","3,282",201,322,108,207,874,184,299,293,305,228,88,726,"1,724","1,465"
2021,6,30,"10,333","3,946",166,304,102,212,"1,033",157,369,236,197,97,55,610,"1,552","1,297"
2021,6,40,"14,092","5,954",219,470,132,268,"1,010",230,365,327,305,144,70,812,"1,978","1,808"
2021,6,50,"14,791","4,347",461,637,288,491,980,444,527,618,592,296,169,"1,077","1,904","1,960"
2021,6,60,"13,279","3,026",548,714,373,578,945,574,463,861,709,379,236,"1,040","1,449","1,384"
2021,6,70,"7,446","1,653",380,399,244,358,457,339,250,491,445,238,126,605,723,738
2021,6,80,"4,992",930,291,296,207,298,276,302,172,367,326,192,101,372,420,442
2021,6,90,861,140,60,60,27,47,54,81,24,73,44,24,25,78,60,64
2021,6,100,33,5,4,2,1,2,1,4,0,4,2,1,2,2,0,3
2021,7,총,"91,599","29,817","2,523","3,691","1,580","2,690","6,763","2,520","2,824","3,621","3,274","1,890",931,"6,189","12,065","11,221"
2021,7,0,"6,552","2,821",80,168,37,98,602,65,165,133,109,40,23,362,988,861
2021,7,10,"8,803","3,681",114,312,66,126,522,142,175,218,234,259,34,500,"1,236","1,184"
2021,7,20,"10,302","3,283",195,322,109,206,869,185,304,293,303,230,89,729,"1,717","1,468"
2021,7,30,"10,326","3,934",171,303,100,209,"1,026",160,368,241,196,88,54,615,"1,561","1,300"
2021,7,40,"14,081","5,944",219,468,135,272,"1,016",228,365,325,315,138,70,805,"1,979","1,802"
2021,7,50,"14,800","4,365",455,632,283,495,981,445,538,607,592,297,168,"1,069","1,914","1,959"
2021,7,60,"13,380","3,054",555,726,371,580,954,571,467,866,710,380,242,"1,049","1,462","1,393"
2021,7,70,"7,448","1,655",378,401,242,356,462,338,249,495,440,240,121,603,728,740
2021,7,80,"5,006",932,293,298,209,297,275,300,169,365,328,194,103,377,420,446
2021,7,90,869,143,59,60,27,49,55,82,24,74,45,23,25,78,60,65
2021,7,100,32,5,4,1,1,2,1,4,0,4,2,1,2,2,0,3
2021,8,총,"91,730","29,849","2,522","3,690","1,571","2,679","6,756","2,519","2,814","3,654","3,299","1,902",934,"6,186","12,131","11,224"
2021,8,0,"6,500","2,790",81,167,36,97,596,64,165,134,107,39,21,354,985,864
2021,8,10,"8,845","3,684",113,312,65,126,521,140,169,238,254,262,37,497,"1,244","1,183"
2021,8,20,"10,332","3,282",196,323,109,205,870,190,304,296,309,234,86,733,"1,734","1,461"
2021,8,30,"10,330","3,946",170,297,97,206,"1,015",158,366,238,196,93,54,621,"1,575","1,298"
2021,8,40,"14,032","5,924",216,469,133,269,"1,024",230,354,332,313,133,69,803,"1,963","1,800"
2021,8,50,"14,858","4,403",455,629,285,491,978,443,546,604,588,300,171,"1,063","1,940","1,962"
2021,8,60,"13,462","3,063",558,732,369,579,963,575,472,875,714,383,244,"1,054","1,479","1,402"
2021,8,70,"7,457","1,664",374,406,240,356,458,337,246,495,443,241,121,599,733,744
2021,8,80,"5,011",943,296,296,205,298,275,297,168,364,326,192,103,381,420,447
2021,8,90,871,145,59,58,31,50,55,81,24,74,47,24,26,79,58,60
2021,8,100,32,5,4,1,1,2,1,4,0,4,2,1,2,2,0,3
2021,9,총,"91,792","29,843","2,536","3,707","1,568","2,688","6,794","2,524","2,830","3,649","3,270","1,858",932,"6,170","12,190","11,233"
2021,9,0,"6,469","2,776",81,172,36,98,591,65,162,132,107,38,21,346,981,863
2021,9,10,"8,717","3,667",114,309,64,122,521,139,165,224,229,219,37,497,"1,237","1,173"
2021,9,20,"10,381","3,261",198,322,108,210,909,192,314,297,310,229,87,719,"1,753","1,472"
2021,9,30,"10,347","3,980",172,302,95,205,994,161,367,234,192,95,53,623,"1,582","1,292"
2021,9,40,"14,009","5,903",219,469,134,273,"1,039",224,356,332,312,133,68,793,"1,963","1,791"
2021,9,50,"14,931","4,421",458,630,282,489,986,448,553,602,593,298,172,"1,066","1,956","1,977"
2021,9,60,"13,557","3,087",562,740,375,581,965,581,475,889,717,387,240,"1,062","1,491","1,405"
2021,9,70,"7,447","1,655",370,407,236,359,455,333,245,488,438,242,122,603,743,751
2021,9,80,"5,018",940,296,298,206,296,279,294,166,372,324,190,103,382,428,444
2021,9,90,883,148,62,57,31,53,54,83,27,75,46,26,27,76,56,62
2021,9,100,33,5,4,1,1,2,1,4,0,4,2,1,2,3,0,3
2021,10,총,"91,763","29,826","2,529","3,702","1,570","2,700","6,788","2,514","2,836","3,618","3,264","1,838",933,"6,177","12,217","11,251"
2021,10,0,"6,439","2,746",79,168,36,100,582,63,162,132,107,39,24,351,976,874
2021,10,10,"8,655","3,658",118,306,63,120,520,135,167,212,226,192,37,499,"1,234","1,168"
2021,10,20,"10,376","3,273",199,326,107,211,907,194,307,295,310,234,83,711,"1,750","1,469"
2021,10,30,"10,316","3,969",168,297,94,203,986,157,366,233,191,98,55,622,"1,583","1,294"
2021,10,40,"13,997","5,891",216,471,136,280,"1,049",220,354,326,312,128,71,790,"1,974","1,779"
2021,10,50,"14,940","4,424",453,623,283,486,983,444,559,599,594,300,173,"1,071","1,969","1,979"
2021,10,60,"13,631","3,111",566,749,375,586,966,583,481,885,715,387,238,"1,063","1,501","1,425"
2021,10,70,"7,472","1,659",373,404,233,364,461,337,247,487,439,243,123,609,745,748
2021,10,80,"5,018",942,292,298,210,296,280,294,167,369,324,188,101,381,427,449
2021,10,90,890,148,63,59,32,52,53,84,26,76,45,28,26,78,58,62
2021,10,100,29,5,2,1,1,2,1,3,0,4,1,1,2,2,0,4
2021,11,총,"91,685","29,806","2,523","3,680","1,557","2,659","6,768","2,516","2,848","3,588","3,258","1,777",928,"6,177","12,423","11,177"
2021,11,0,"6,385","2,716",76,166,34,96,572,61,162,128,108,39,23,349,992,863
2021,11,10,"8,582","3,650",118,303,64,119,524,137,169,196,219,135,36,500,"1,243","1,169"
2021,11,20,"10,333","3,254",203,322,106,204,907,189,305,284,311,223,80,710,"1,782","1,453"
2021,11,30,"10,299","3,953",159,291,93,189,983,160,368,237,189,96,54,611,"1,645","1,271"
2021,11,40,"14,003","5,897",216,461,132,282,"1,041",222,357,320,313,126,71,795,"2,006","1,764"
2021,11,50,"15,002","4,442",452,630,281,486,988,441,558,600,593,307,174,"1,076","1,992","1,982"
2021,11,60,"13,669","3,124",571,747,377,574,963,584,490,889,717,386,238,"1,065","1,523","1,421"
2021,11,70,"7,470","1,663",372,403,231,364,454,338,246,488,437,245,123,611,747,748
2021,11,80,"5,035",952,294,299,208,291,282,296,166,366,327,191,101,381,436,445
2021,11,90,879,150,60,57,30,52,53,83,27,76,42,28,26,78,57,60
2021,11,100,28,5,2,1,1,2,1,5,0,4,2,1,2,1,0,1
