년도,월,나이,부안군,부안읍,주산면,동진면,행안면,계화면,보안면,변산면,진서면,백산면,상서면,하서면,줄포면,위도면
2020,4,10,"2,034","1,247",41,60,77,81,49,156,71,45,51,68,72,16
2020,4,20,"2,424","1,163",66,122,106,129,83,205,89,92,87,113,128,41
2020,4,30,"2,199",985,71,107,122,162,71,212,86,84,87,92,69,51
2020,4,40,"3,551","1,538",106,193,163,248,131,348,135,157,117,166,171,78
2020,4,50,"4,923","1,707",182,303,239,333,254,482,234,257,249,274,264,145
2020,4,60,"4,714","1,400",219,297,228,360,285,423,287,263,242,290,271,149
2020,4,70,"3,306",849,158,246,150,320,213,280,189,220,166,213,214,88
2020,4,80,"1,482",351,89,131,70,121,112,94,61,140,76,119,78,40
2020,4,90,123,25,6,11,11,9,8,7,7,14,3,11,7,4
2020,4,100,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020,5,총,"26,132","10,189",966,"1,517","1,199","1,800","1,236","2,315","1,206","1,285","1,114","1,376","1,312",617
2020,5,0,"1,395",871,21,53,42,50,25,122,48,26,40,38,45,14
2020,5,10,"2,037","1,249",45,62,75,83,49,155,73,46,50,64,70,16
2020,5,20,"2,420","1,172",66,120,97,126,84,203,91,89,89,114,129,40
2020,5,30,"2,188","1,001",74,107,118,156,69,209,85,80,83,89,68,49
2020,5,40,"3,549","1,548",107,194,169,250,133,346,130,154,113,160,170,75
2020,5,50,"4,904","1,716",179,296,236,326,255,477,234,255,248,276,263,143
2020,5,60,"4,715","1,411",221,297,230,360,287,421,283,261,243,290,264,147
2020,5,70,"3,307",842,157,244,152,319,213,281,191,221,167,214,217,89
2020,5,80,"1,485",354,89,133,69,120,114,94,63,137,76,118,78,40
2020,5,90,127,24,7,11,11,10,7,7,7,16,3,13,7,4
2020,5,100,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020,6,총,"26,110","10,219",964,"1,505","1,195","1,783","1,235","2,321","1,197","1,280","1,110","1,373","1,309",619
2020,6,0,"1,385",862,21,50,41,49,26,123,46,27,41,38,46,15
2020,6,10,"2,035","1,256",45,61,73,80,50,156,72,47,49,63,67,16
2020,6,20,"2,418","1,175",67,120,96,124,82,208,91,86,87,112,129,41
2020,6,30,"2,181","1,015",73,104,116,151,70,208,83,76,81,87,68,49
2020,6,40,"3,512","1,539",103,193,166,246,130,341,128,157,110,156,168,75
2020,6,50,"4,903","1,708",182,289,242,328,256,479,231,252,251,280,260,145
2020,6,60,"4,752","1,434",221,300,231,362,286,425,282,264,244,293,265,145
2020,6,70,"3,307",849,157,245,152,309,215,280,194,221,165,211,220,89
2020,6,80,"1,484",357,88,132,67,124,113,94,62,134,76,120,78,39
2020,6,90,128,23,7,11,11,10,7,7,7,16,4,13,7,5
2020,6,100,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020,7,총,"26,095","10,219",972,"1,503","1,193","1,774","1,237","2,327","1,197","1,279","1,114","1,355","1,307",618
2020,7,0,"1,387",869,22,45,38,48,25,124,48,25,42,39,47,15
2020,7,10,"2,028","1,250",44,64,73,79,50,151,71,51,49,63,67,16
2020,7,20,"2,408","1,171",69,121,93,122,83,212,90,83,88,108,126,42
2020,7,30,"2,179","1,018",76,104,118,150,68,207,83,76,84,80,67,48
2020,7,40,"3,509","1,534",102,192,163,247,133,344,129,156,109,155,170,75
2020,7,50,"4,888","1,710",182,290,243,322,255,477,228,254,247,283,256,141
2020,7,60,"4,746","1,427",221,301,234,360,285,429,282,265,244,286,264,148
2020,7,70,"3,327",856,158,241,154,314,219,282,197,218,170,208,222,88
2020,7,80,"1,493",361,91,134,67,122,111,94,61,136,76,121,80,39
2020,7,90,126,22,7,11,10,10,8,7,7,15,4,12,7,6
2020,7,100,4,1,0,0,0,0,0,0,1,0,1,0,1,0
2020,8,총,"26,060","10,263",966,"1,490","1,177","1,773","1,234","2,322","1,194","1,274","1,100","1,347","1,303",617
2020,8,0,"1,375",875,22,42,31,47,25,123,46,26,40,36,48,14
2020,8,10,"2,023","1,255",44,63,72,76,51,150,71,51,47,61,66,16
2020,8,20,"2,411","1,180",69,120,95,120,80,213,92,84,85,107,124,42
2020,8,30,"2,157","1,020",72,102,113,150,66,203,81,73,84,80,66,47
2020,8,40,"3,502","1,543",99,187,162,250,134,344,128,153,108,152,166,76
2020,8,50,"4,874","1,709",181,285,238,321,255,475,229,251,248,284,260,138
2020,8,60,"4,759","1,439",223,303,236,357,285,432,280,267,240,286,262,149
2020,8,70,"3,329",855,155,244,153,318,215,282,199,217,170,207,224,90
2020,8,80,"1,502",363,94,133,68,123,115,93,62,137,74,122,79,39
2020,8,90,125,23,7,11,9,11,8,7,6,15,3,12,7,6
2020,8,100,3,1,0,0,0,0,0,0,0,0,1,0,1,0
2020,9,총,"26,009","10,269",958,"1,480","1,171","1,757","1,233","2,321","1,188","1,274","1,100","1,338","1,304",616
2020,9,0,"1,365",872,24,41,29,45,26,122,42,27,39,36,48,14
2020,9,10,"1,998","1,243",44,65,71,73,49,145,71,50,47,59,66,15
2020,9,20,"2,402","1,180",68,121,94,115,78,218,91,82,85,108,122,40
2020,9,30,"2,152","1,024",69,99,109,152,67,203,79,72,84,78,68,48
2020,9,40,"3,491","1,554",99,186,155,247,135,337,126,154,107,152,165,74
2020,9,50,"4,851","1,699",177,282,242,313,253,476,231,255,248,276,260,139
2020,9,60,"4,782","1,449",223,300,240,361,288,433,279,265,242,290,265,147
2020,9,70,"3,334",861,152,243,151,315,214,287,201,218,169,205,224,94
2020,9,80,"1,503",362,95,131,71,125,114,93,62,135,75,122,79,39
2020,9,90,128,24,7,12,9,11,9,7,6,16,3,12,6,6
2020,9,100,3,1,0,0,0,0,0,0,0,0,1,0,1,0
2020,10,총,"26,001","10,290",958,"1,465","1,172","1,750","1,230","2,319","1,184","1,281","1,096","1,335","1,299",622
2020,10,0,"1,358",870,25,37,29,45,26,120,41,27,39,37,49,13
2020,10,10,"1,982","1,235",42,63,67,73,49,147,70,53,47,57,64,15
2020,10,20,"2,418","1,197",68,118,96,115,76,218,93,82,85,109,121,40
2020,10,30,"2,143","1,029",70,95,108,149,66,201,77,73,84,77,68,46
2020,10,40,"3,475","1,549",97,182,155,248,133,334,125,157,102,152,163,78
2020,10,50,"4,842","1,703",179,287,240,308,251,471,231,254,242,275,259,142
2020,10,60,"4,797","1,462",219,300,244,361,288,438,276,263,247,286,265,148
2020,10,70,"3,340",855,154,241,149,315,218,289,204,220,170,208,223,94
2020,10,80,"1,509",362,97,127,75,124,114,94,61,136,76,122,80,41
2020,10,90,134,27,7,15,9,12,9,7,6,16,3,12,6,5
2020,10,100,3,1,0,0,0,0,0,0,0,0,1,0,1,0
2020,11,총,"25,953","10,291",956,"1,454","1,165","1,741","1,225","2,326","1,179","1,277","1,098","1,332","1,292",617
2020,11,0,"1,348",867,26,35,26,45,25,120,40,26,39,37,48,14
2020,11,10,"1,967","1,231",42,64,68,71,48,145,66,51,46,59,61,15
2020,11,20,"2,422","1,202",68,116,93,116,76,217,97,84,86,108,120,39
2020,11,30,"2,123","1,016",69,94,109,145,65,204,74,73,83,78,68,45
2020,11,40,"3,463","1,556",94,181,148,249,132,339,127,153,103,148,158,75
2020,11,50,"4,828","1,706",179,287,234,304,249,468,229,254,242,274,261,141
2020,11,60,"4,812","1,466",219,299,252,360,289,444,275,266,244,288,264,146
2020,11,70,"3,345",859,156,237,149,314,219,287,202,217,174,209,224,98
2020,11,80,"1,508",361,96,126,77,125,113,95,64,137,77,118,80,39
2020,11,90,134,26,7,15,9,12,9,7,5,16,3,13,7,5
2020,11,100,3,1,0,0,0,0,0,0,0,0,1,0,1,0
2020,12,총,"25,914","10,288",952,"1,465","1,156","1,741","1,222","2,320","1,178","1,276","1,090","1,323","1,289",614
2020,12,0,"1,341",863,22,36,26,42,25,120,40,27,38,38,49,15
2020,12,10,"1,961","1,225",42,64,67,74,47,144,63,53,44,60,63,15
2020,12,20,"2,420","1,214",68,119,90,114,73,214,99,84,83,106,119,37
2020,12,30,"2,109","1,015",68,92,108,144,67,205,74,76,79,74,65,42
2020,12,40,"3,443","1,547",97,182,142,251,129,333,128,149,104,147,159,75
2020,12,50,"4,827","1,705",178,293,234,304,250,469,227,252,242,273,259,141
2020,12,60,"4,820","1,475",221,296,255,357,290,447,274,265,243,284,267,146
2020,12,70,"3,344",858,153,240,149,317,218,284,203,215,175,214,222,96
2020,12,80,"1,513",362,96,128,76,125,113,97,65,139,78,115,78,41
2020,12,90,132,23,7,15,9,13,10,7,5,16,3,12,7,5
2020,12,100,4,1,0,0,0,0,0,0,0,0,1,0,1,1
2021,1,총,"25,873","10,276",948,"1,465","1,155","1,734","1,218","2,329","1,185","1,266","1,086","1,315","1,287",609
2021,1,0,"1,330",849,24,39,27,42,25,119,41,24,38,40,47,15
2021,1,10,"1,964","1,225",40,63,67,76,47,145,63,52,46,60,65,15
2021,1,20,"2,399","1,202",69,118,86,109,73,216,104,83,81,104,117,37
2021,1,30,"2,100","1,016",62,92,105,146,67,205,73,78,78,70,65,43
2021,1,40,"3,426","1,545",98,182,143,245,129,332,129,145,102,143,162,71
2021,1,50,"4,811","1,707",181,289,238,302,244,467,227,249,240,274,253,140
2021,1,60,"4,842","1,479",219,300,256,361,290,455,277,267,244,282,270,142
2021,1,70,"3,358",867,155,241,148,315,221,288,202,213,173,213,223,99
2021,1,80,"1,508",363,93,127,76,126,112,94,64,139,80,116,77,41
2021,1,90,129,22,7,14,8,12,9,8,5,16,3,13,7,5
2021,1,100,6,1,0,0,1,0,1,0,0,0,1,0,1,1
2021,2,총,"25,838","10,289",948,"1,456","1,150","1,734","1,220","2,325","1,181","1,259","1,089","1,311","1,272",604
2021,2,0,"1,328",853,23,38,26,44,24,117,40,24,38,42,46,13
2021,2,10,"1,945","1,221",40,63,63,75,48,143,64,50,45,56,62,15
2021,2,20,"2,383","1,196",66,115,85,108,72,211,105,82,85,106,116,36
2021,2,30,"2,089","1,007",67,91,106,145,67,204,74,79,74,68,65,42
2021,2,40,"3,430","1,559",97,182,140,246,128,330,127,141,104,145,158,73
2021,2,50,"4,802","1,720",178,285,234,303,243,470,225,247,242,269,250,136
2021,2,60,"4,856","1,483",220,299,259,362,295,456,276,267,242,286,268,143
2021,2,70,"3,356",862,157,240,150,314,219,289,201,216,174,210,225,99
2021,2,80,"1,505",364,92,128,76,125,112,96,65,136,81,115,74,41
2021,2,90,138,23,8,15,10,12,11,9,4,17,3,14,7,5
2021,2,100,6,1,0,0,1,0,1,0,0,0,1,0,1,1
2021,3,총,"25,742","10,276",937,"1,447","1,143","1,734","1,215","2,293","1,169","1,266","1,092","1,303","1,263",604
2021,3,0,"1,330",859,22,37,24,43,26,116,40,25,38,40,46,14
2021,3,10,"1,922","1,209",39,62,60,77,47,140,63,49,47,54,60,15
2021,3,20,"2,350","1,182",64,111,83,106,71,209,104,82,85,101,116,36
2021,3,30,"2,088","1,009",65,91,107,148,63,202,74,79,72,72,67,39
2021,3,40,"3,409","1,550",98,179,143,246,128,316,125,145,105,143,154,77
2021,3,50,"4,775","1,728",171,283,228,296,239,464,225,245,244,268,247,137
2021,3,60,"4,887","1,489",223,305,261,367,299,454,273,270,243,284,270,149
2021,3,70,"3,342",864,156,238,149,314,218,285,196,219,171,214,223,95
2021,3,80,"1,498",365,90,125,76,126,112,99,64,135,84,111,73,38
2021,3,90,139,21,9,16,11,11,11,8,5,17,3,16,7,4
2021,3,100,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021,4,총,"25,685","10,250",931,"1,443","1,145","1,722","1,226","2,290","1,167","1,257","1,088","1,300","1,260",606
2021,4,0,"1,321",857,22,35,22,42,24,116,41,25,36,40,46,15
2021,4,10,"1,911","1,204",38,61,60,76,50,139,61,48,46,55,57,16
2021,4,20,"2,354","1,183",63,113,84,105,73,206,106,85,85,100,114,37
2021,4,30,"2,066","1,001",63,90,110,144,61,201,74,78,72,71,65,36
2021,4,40,"3,385","1,546",94,175,140,242,131,311,122,142,106,143,154,79
2021,4,50,"4,773","1,721",174,287,232,295,243,465,223,243,239,268,247,136
2021,4,60,"4,892","1,495",222,305,261,366,298,454,275,267,248,279,272,150
2021,4,70,"3,352",862,157,237,146,317,221,288,197,221,170,216,225,95
2021,4,80,"1,491",361,89,125,78,124,113,101,63,131,83,113,72,38
2021,4,90,138,20,9,15,11,11,11,9,5,17,3,15,8,4
2021,4,100,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021,5,총,"25,629","10,261",933,"1,424","1,148","1,712","1,218","2,275","1,164","1,248","1,089","1,295","1,257",605
2021,5,0,"1,303",845,23,35,23,39,23,116,41,25,33,40,45,15
2021,5,10,"1,912","1,215",39,59,62,76,50,134,61,51,44,53,54,14
2021,5,20,"2,363","1,196",62,114,85,106,72,202,105,85,88,99,111,38
2021,5,30,"2,034",992,63,90,105,141,60,196,74,78,70,67,64,34
2021,5,40,"3,346","1,534",95,165,139,239,131,308,118,139,103,143,152,80
2021,5,50,"4,785","1,735",169,281,233,296,240,465,228,242,241,272,248,135
2021,5,60,"4,893","1,492",225,306,263,360,295,453,267,266,253,281,277,155
2021,5,70,"3,359",870,158,235,145,318,222,288,202,219,171,213,224,94
2021,5,80,"1,491",360,88,124,81,126,113,104,63,128,81,111,74,38
2021,5,90,141,22,11,15,11,11,11,9,5,15,5,16,8,2
2021,5,100,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021,6,총,"25,563","10,243",926,"1,419","1,143","1,697","1,216","2,265","1,165","1,246","1,087","1,288","1,257",611
2021,6,0,"1,297",843,22,35,23,38,23,114,41,25,33,38,45,17
2021,6,10,"1,899","1,216",39,54,62,75,49,131,60,50,42,53,54,14
2021,6,20,"2,352","1,204",63,116,80,101,68,204,103,83,85,100,107,38
2021,6,30,"2,024",979,64,91,107,140,60,193,73,79,69,68,64,37
2021,6,40,"3,320","1,524",91,160,140,236,129,307,119,135,106,142,149,82
2021,6,50,"4,775","1,728",170,279,232,294,241,461,229,245,240,272,250,134
2021,6,60,"4,896","1,491",221,310,262,356,298,453,271,268,254,278,281,153
2021,6,70,"3,362",874,156,236,145,320,222,288,200,221,171,213,220,96
2021,6,80,"1,496",361,89,122,80,126,114,105,64,126,82,110,79,38
2021,6,90,140,23,11,16,11,11,11,9,5,14,5,14,8,2
2021,6,100,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021,7,총,"25,528","10,243",932,"1,409","1,141","1,689","1,206","2,266","1,167","1,239","1,083","1,286","1,250",617
2021,7,0,"1,292",839,22,33,23,38,22,112,45,24,33,39,45,17
2021,7,10,"1,887","1,208",37,54,63,72,49,136,60,51,41,50,52,14
2021,7,20,"2,355","1,220",64,109,81,102,66,202,101,82,83,97,109,39
2021,7,30,"2,008",972,63,92,105,138,58,195,72,77,66,70,62,38
2021,7,40,"3,297","1,516",91,157,140,234,128,302,123,132,105,140,147,82
2021,7,50,"4,793","1,735",175,279,232,293,240,463,228,248,243,272,249,136
2021,7,60,"4,894","1,492",222,310,261,358,294,455,268,268,253,279,280,154
2021,7,70,"3,361",874,157,236,145,318,222,288,201,219,172,213,219,97
2021,7,80,"1,502",364,89,123,80,125,116,105,64,124,81,113,80,38
2021,7,90,137,23,12,16,10,11,10,8,5,14,6,13,7,2
2021,7,100,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021,8,총,"25,466","10,232",931,"1,403","1,130","1,683","1,205","2,265","1,172","1,230","1,075","1,281","1,245",614
2021,8,0,"1,284",838,22,32,19,41,22,110,45,24,31,39,44,17
2021,8,10,"1,868","1,199",35,54,63,70,47,133,60,51,42,51,49,14
2021,8,20,"2,352","1,223",66,106,79,104,66,200,103,80,81,95,112,37
2021,8,30,"1,986",958,63,92,104,132,58,198,71,76,66,70,61,37
2021,8,40,"3,275","1,511",88,155,135,232,124,304,121,136,101,141,147,80
2021,8,50,"4,811","1,750",177,279,236,294,244,461,229,242,242,272,249,136
2021,8,60,"4,888","1,487",222,312,258,354,296,459,273,266,253,277,278,153
2021,8,70,"3,358",881,158,232,147,320,221,287,200,218,171,211,213,99
2021,8,80,"1,507",364,87,125,78,126,116,105,65,123,82,112,85,39
2021,8,90,135,21,13,16,10,10,10,8,5,14,6,13,7,2
2021,8,100,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021,9,총,"25,358","10,203",924,"1,403","1,122","1,675","1,192","2,249","1,157","1,222","1,073","1,283","1,248",607
2021,9,0,"1,276",839,21,33,17,44,21,108,42,24,31,36,43,17
2021,9,10,"1,857","1,197",35,53,62,69,47,130,57,51,41,53,49,13
2021,9,20,"2,292","1,197",67,104,73,103,62,190,99,77,80,94,109,37
2021,9,30,"1,968",946,62,94,107,130,56,197,64,75,67,70,64,36
2021,9,40,"3,259","1,500",85,158,131,229,122,307,124,134,101,143,145,80
2021,9,50,"4,787","1,748",178,278,235,291,241,457,227,241,237,270,253,131
2021,9,60,"4,916","1,504",218,312,260,352,295,461,274,267,257,282,280,154
2021,9,70,"3,355",883,159,232,148,320,218,287,200,217,171,211,212,97
2021,9,80,"1,511",369,86,123,78,126,118,105,65,122,82,111,86,40
2021,9,90,135,20,13,16,10,11,11,7,5,14,6,13,7,2
2021,9,100,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021,10,총,"25,300","10,184",923,"1,392","1,118","1,668","1,193","2,242","1,156","1,219","1,071","1,277","1,252",605
2021,10,0,"1,259",828,20,29,19,43,23,103,42,24,32,36,45,15
2021,10,10,"1,852","1,192",36,51,62,69,47,133,56,50,41,53,50,12
2021,10,20,"2,290","1,192",70,105,72,102,61,187,102,77,79,94,111,38
2021,10,30,"1,957",944,62,92,105,129,56,198,64,76,66,69,60,36
2021,10,40,"3,240","1,498",84,153,128,231,123,305,122,133,103,138,143,79
2021,10,50,"4,751","1,742",178,280,236,286,234,456,224,235,232,267,252,129
2021,10,60,"4,947","1,518",216,311,259,354,300,458,278,274,256,285,281,157
2021,10,70,"3,363",880,160,232,149,321,217,291,201,217,174,212,212,97
2021,10,80,"1,505",369,85,122,78,124,120,104,62,119,82,109,91,40
2021,10,90,134,21,12,17,9,9,11,7,5,14,6,14,7,2
2021,10,100,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021,11,총,"25,286","10,183",918,"1,393","1,120","1,667","1,201","2,236","1,158","1,222","1,068","1,273","1,246",601
2021,11,0,"1,257",824,19,31,19,42,27,101,42,22,32,36,46,16
2021,11,10,"1,847","1,195",35,50,60,69,46,134,57,50,40,51,49,11
2021,11,20,"2,279","1,192",67,103,73,99,61,186,104,77,79,94,108,36
2021,11,30,"1,950",934,62,94,104,132,56,195,64,77,67,69,60,36
2021,11,40,"3,222","1,493",81,149,129,233,123,304,119,131,103,137,142,78
2021,11,50,"4,754","1,747",182,281,235,282,236,450,227,237,229,264,256,128
2021,11,60,"4,959","1,528",212,313,261,350,301,463,278,273,256,288,279,157
2021,11,70,"3,370",874,163,231,151,325,218,292,203,220,173,212,211,97
2021,11,80,"1,514",375,86,124,78,126,121,105,60,120,83,108,88,40
2021,11,90,132,21,11,17,9,9,11,6,4,15,6,14,7,2
2021,11,100,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021,12,총,"25,262","10,178",923,"1,397","1,119","1,666","1,201","2,232","1,154","1,214","1,063","1,272","1,244",599
2021,12,0,"1,249",817,19,31,19,45,26,98,42,22,32,36,46,16
2021,12,10,"1,831","1,195",33,48,59,66,46,132,55,47,40,52,48,10
2021,12,20,"2,269","1,188",71,106,72,98,61,181,103,80,74,91,107,37
2021,12,30,"1,961",937,59,93,107,134,57,199,62,76,69,72,59,37
2021,12,40,"3,212","1,488",87,148,125,234,119,302,118,132,102,137,141,79
2021,12,50,"4,752","1,749",181,283,238,281,236,448,232,231,229,261,256,127
2021,12,60,"4,971","1,528",214,315,263,350,307,467,277,273,255,289,280,153
2021,12,70,"3,367",873,163,233,149,321,216,291,203,219,175,215,211,98
2021,12,80,"1,517",382,85,123,77,128,120,108,58,120,81,105,89,41
2021,12,90,131,21,11,17,9,9,12,6,4,14,6,14,7,1
2021,12,100,2,0,0,0,1,0,1,0,0,0,0,0,0,0
