년도,월,나이,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2021,2,10,"4,353","2,892",528,135,155,201,181,163,98
2021,2,20,"4,879","2,896",536,94,410,269,255,297,122
2021,2,30,"4,992","3,183",549,117,240,310,237,250,106
2021,2,40,"7,635","4,447",995,249,388,466,517,389,184
2021,2,50,"10,793","4,972","1,528",430,748,988,973,780,374
2021,2,60,"12,171","4,371","1,922",550,"1,017","1,402","1,359","1,007",543
2021,2,70,"8,856","2,908","1,447",447,734,"1,019","1,045",797,459
2021,2,80,"4,510","1,366",601,258,407,504,592,486,296
2021,2,90,632,167,106,25,60,80,75,78,41
2021,2,100,27,5,11,1,2,3,1,2,2
2021,3,총,"61,771","29,321","8,516","2,372","4,276","5,348","5,338","4,332","2,268"
2021,3,0,"2,991","2,142",306,66,114,110,96,112,45
2021,3,10,"4,349","2,894",533,132,159,200,179,158,94
2021,3,20,"4,829","2,873",526,92,406,267,252,291,122
2021,3,30,"4,927","3,152",543,114,236,307,231,240,104
2021,3,40,"7,600","4,434",983,252,395,459,515,375,187
2021,3,50,"10,724","4,940","1,521",426,737,984,965,779,372
2021,3,60,"12,272","4,409","1,941",559,"1,020","1,411","1,379","1,011",542
2021,3,70,"8,863","2,923","1,443",439,730,"1,017","1,052",800,459
2021,3,80,"4,553","1,377",603,267,418,510,593,483,302
2021,3,90,643,174,109,24,59,80,76,81,40
2021,3,100,20,3,8,1,2,3,0,2,1
2021,4,총,"61,802","29,332","8,537","2,357","4,290","5,369","5,344","4,322","2,251"
2021,4,0,"2,976","2,123",304,67,116,117,97,106,46
2021,4,10,"4,335","2,874",539,126,167,203,176,159,91
2021,4,20,"4,812","2,893",524,91,399,258,245,285,117
2021,4,30,"4,912","3,133",540,114,242,300,245,234,104
2021,4,40,"7,590","4,426",985,248,398,466,509,370,188
2021,4,50,"10,694","4,937","1,522",414,734,989,961,779,358
2021,4,60,"12,393","4,457","1,955",564,"1,029","1,423","1,392","1,024",549
2021,4,70,"8,859","2,928","1,447",439,720,"1,022","1,048",799,456
2021,4,80,"4,561","1,377",603,268,424,510,596,482,301
2021,4,90,648,181,108,25,59,78,75,82,40
2021,4,100,22,3,10,1,2,3,0,2,1
2021,5,총,"61,818","29,357","8,565","2,344","4,282","5,366","5,329","4,323","2,252"
2021,5,0,"2,975","2,117",309,65,114,120,97,107,46
2021,5,10,"4,319","2,859",549,125,164,199,172,159,92
2021,5,20,"4,835","2,912",534,89,396,256,246,288,114
2021,5,30,"4,874","3,111",532,111,244,299,234,237,106
2021,5,40,"7,572","4,424",973,247,400,465,509,365,189
2021,5,50,"10,625","4,929","1,524",408,721,979,945,770,349
2021,5,60,"12,481","4,488","1,964",562,"1,042","1,435","1,399","1,034",557
2021,5,70,"8,896","2,947","1,454",446,720,"1,018","1,058",797,456
2021,5,80,"4,566","1,382",605,267,418,516,594,482,302
2021,5,90,651,184,110,23,61,76,75,82,40
2021,5,100,24,4,11,1,2,3,0,2,1
2021,6,총,"61,867","29,411","8,535","2,345","4,272","5,382","5,355","4,333","2,234"
2021,6,0,"2,957","2,106",306,65,112,120,99,106,43
2021,6,10,"4,301","2,852",544,124,163,194,180,155,89
2021,6,20,"4,828","2,921",527,89,386,257,244,288,116
2021,6,30,"4,836","3,097",524,111,242,292,227,239,104
2021,6,40,"7,588","4,433",975,243,404,469,513,363,188
2021,6,50,"10,597","4,915","1,518",411,711,987,947,767,341
2021,6,60,"12,589","4,552","1,967",565,"1,050","1,441","1,412","1,048",554
2021,6,70,"8,919","2,960","1,452",443,720,"1,028","1,061",799,456
2021,6,80,"4,567","1,384",602,270,420,513,594,483,301
2021,6,90,662,187,110,23,62,78,78,83,41
2021,6,100,23,4,10,1,2,3,0,2,1
2021,7,총,"61,931","29,384","8,568","2,340","4,278","5,412","5,365","4,345","2,239"
2021,7,0,"2,945","2,094",303,64,117,119,99,106,43
2021,7,10,"4,334","2,848",580,120,163,196,183,157,87
2021,7,20,"4,819","2,902",536,89,380,261,244,291,116
2021,7,30,"4,814","3,090",517,109,241,286,229,239,103
2021,7,40,"7,543","4,403",971,242,403,471,506,362,185
2021,7,50,"10,610","4,934","1,514",413,709,986,945,760,349
2021,7,60,"12,654","4,567","1,965",568,"1,060","1,459","1,417","1,061",557
2021,7,70,"8,918","2,964","1,453",439,719,"1,030","1,059",799,455
2021,7,80,"4,606","1,391",611,271,423,521,606,481,302
2021,7,90,667,188,109,24,61,80,77,87,41
2021,7,100,21,3,9,1,2,3,0,2,1
2021,8,총,"61,890","29,375","8,598","2,334","4,261","5,411","5,345","4,336","2,230"
2021,8,0,"2,923","2,075",304,64,117,116,98,106,43
2021,8,10,"4,364","2,849",617,116,162,197,184,156,83
2021,8,20,"4,818","2,895",548,91,372,260,244,291,117
2021,8,30,"4,764","3,068",508,106,236,286,225,235,100
2021,8,40,"7,512","4,387",970,243,404,464,508,356,180
2021,8,50,"10,582","4,933","1,499",410,701,987,936,764,352
2021,8,60,"12,699","4,602","1,970",565,"1,063","1,463","1,417","1,062",557
2021,8,70,"8,904","2,977","1,449",438,723,"1,018","1,051",794,454
2021,8,80,"4,639","1,397",617,274,421,537,609,483,301
2021,8,90,665,189,107,26,61,80,73,87,42
2021,8,100,20,3,9,1,1,3,0,2,1
2021,9,총,"61,808","29,393","8,578","2,323","4,228","5,393","5,335","4,334","2,224"
2021,9,0,"2,914","2,065",307,65,113,114,98,107,45
2021,9,10,"4,343","2,851",601,116,158,197,182,156,82
2021,9,20,"4,782","2,898",543,88,351,258,243,287,114
2021,9,30,"4,724","3,058",504,108,233,276,217,229,99
2021,9,40,"7,495","4,386",967,234,407,463,505,353,180
2021,9,50,"10,532","4,919","1,492",405,696,982,925,763,350
2021,9,60,"12,765","4,638","1,973",570,"1,062","1,469","1,428","1,064",561
2021,9,70,"8,887","2,970","1,445",437,725,"1,012","1,052",796,450
2021,9,80,"4,671","1,413",626,273,420,537,612,488,302
2021,9,90,674,192,111,26,62,82,73,88,40
2021,9,100,21,3,9,1,1,3,0,3,1
2021,10,총,"61,782","29,447","8,545","2,328","4,206","5,379","5,324","4,330","2,223"
2021,10,0,"2,893","2,060",304,67,109,111,96,104,42
2021,10,10,"4,320","2,842",590,116,158,196,177,159,82
2021,10,20,"4,762","2,909",537,89,337,254,242,282,112
2021,10,30,"4,727","3,071",502,107,232,277,213,228,97
2021,10,40,"7,462","4,372",961,235,404,460,498,352,180
2021,10,50,"10,540","4,941","1,486",403,698,970,921,767,354
2021,10,60,"12,794","4,656","1,980",567,"1,058","1,475","1,433","1,065",560
2021,10,70,"8,900","2,981","1,440",440,728,"1,010","1,058",794,449
2021,10,80,"4,672","1,417",626,276,414,542,608,486,303
2021,10,90,693,195,112,27,67,81,78,90,43
2021,10,100,19,3,7,1,1,3,0,3,1
2021,11,총,"61,600","29,427","8,441","2,329","4,215","5,343","5,309","4,334","2,202"
2021,11,0,"2,862","2,053",297,66,105,108,91,100,42
2021,11,10,"4,272","2,845",543,117,159,192,176,160,80
2021,11,20,"4,741","2,916",519,91,340,246,234,284,111
2021,11,30,"4,702","3,053",494,105,234,273,218,230,95
2021,11,40,"7,398","4,338",950,233,403,452,492,355,175
2021,11,50,"10,529","4,958","1,475",404,706,959,920,759,348
2021,11,60,"12,822","4,662","1,981",567,"1,058","1,487","1,438","1,067",562
2021,11,70,"8,890","2,991","1,434",440,726,"1,002","1,057",797,443
2021,11,80,"4,673","1,410",632,277,414,542,606,491,301
2021,11,90,696,199,109,28,70,79,77,89,45
2021,11,100,15,2,7,1,0,3,0,2,0
2021,12,총,"61,526","29,393","8,417","2,330","4,197","5,347","5,300","4,348","2,194"
2021,12,0,"2,828","2,032",286,65,106,108,90,101,40
2021,12,10,"4,256","2,850",527,117,159,187,172,163,81
2021,12,20,"4,727","2,918",506,91,336,246,235,287,108
2021,12,30,"4,655","3,028",488,107,229,269,212,230,92
2021,12,40,"7,381","4,310",961,234,398,451,501,350,176
2021,12,50,"10,543","4,969","1,470",400,705,970,915,767,347
2021,12,60,"12,825","4,671","1,988",563,"1,048","1,486","1,443","1,068",558
2021,12,70,"8,862","2,980","1,434",442,720,997,"1,051",798,440
2021,12,80,"4,737","1,436",641,280,426,550,605,491,308
2021,12,90,697,197,109,30,70,80,76,91,44
2021,12,100,15,2,7,1,0,3,0,2,0
